RheologyParameters,Value,Depth meter,FormationName,Lithology,HoleSize inch,WellName
"GlycolVolume %",0,805,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"KClConcentration %wt.",0,805,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"KClConcentration ppb",0,805,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"OilVolume %",0,851,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"GlycolVolume %",0,851,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"KClConcentration %wt.",0,851,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"KClConcentration ppb",0,851,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"OilVolume %",0,903,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"GlycolVolume %",0,903,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"KClConcentration %wt.",0,903,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"KClConcentration ppb",0,903,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"OilVolume %",0,916,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"GlycolVolume %",0,916,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"KClConcentration %wt.",0,916,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"KClConcentration ppb",0,916,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"OilVolume %",0,994,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"GlycolVolume %",0,994,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"KClConcentration %wt.",0,994,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"KClConcentration ppb",0,994,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"OilVolume %",0,1026,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"GlycolVolume %",0,1026,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"KClConcentration %wt.",0,1026,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"KClConcentration ppb",0,1026,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"OilVolume %",0,1026,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"GlycolVolume %",0,1026,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"KClConcentration %wt.",0,1026,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"KClConcentration ppb",0,1026,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"OilVolume %",0,1026,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"GlycolVolume %",0,1026,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"KClConcentration %wt.",0,1026,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"KClConcentration ppb",0,1026,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"OilVolume %",0,1026,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"GlycolVolume %",0,1026,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"KClConcentration %wt.",0,1026,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"KClConcentration ppb",0,1026,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"OilVolume %",0,1069,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"GlycolVolume %",0,1069,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"KClConcentration %wt.",0,1069,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"KClConcentration ppb",0,1069,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"OilVolume %",0,1126,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"GlycolVolume %",0,1126,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"KClConcentration %wt.",0,1126,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"KClConcentration ppb",0,1126,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"OilVolume %",0,1171,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"GlycolVolume %",0,1171,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"KClConcentration %wt.",0,1171,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"KClConcentration ppb",0,1171,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"OilVolume %",0,1211,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"GlycolVolume %",0,1211,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"KClConcentration %wt.",0,1211,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"KClConcentration ppb",0,1211,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"OilVolume %",0,1266,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"GlycolVolume %",0,1266,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"KClConcentration %wt.",0,1266,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"KClConcentration ppb",0,1266,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"OilVolume %",0,1327,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"GlycolVolume %",0,1327,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"KClConcentration %wt.",0,1327,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"KClConcentration ppb",0,1327,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"OilVolume %",0,430,"Gachsaran7","LST/MRL/ANHY",26,"WellB"
"GlycolVolume %",0,430,"Gachsaran7","LST/MRL/ANHY",26,"WellB"
"KClConcentration %wt.",0,430,"Gachsaran7","LST/MRL/ANHY",26,"WellB"
"KClConcentration ppb",0,430,"Gachsaran7","LST/MRL/ANHY",26,"WellB"
"OilVolume %",0,467,"Gachsaran7","LST/MRL/ANHY",26,"WellB"
"GlycolVolume %",0,467,"Gachsaran7","LST/MRL/ANHY",26,"WellB"
"KClConcentration %wt.",0,467,"Gachsaran7","LST/MRL/ANHY",26,"WellB"
"KClConcentration ppb",0,467,"Gachsaran7","LST/MRL/ANHY",26,"WellB"
"OilVolume %",0,495,"Gachsaran7","ANHY",26,"WellB"
"GlycolVolume %",0,495,"Gachsaran7","ANHY",26,"WellB"
"KClConcentration %wt.",0,495,"Gachsaran7","ANHY",26,"WellB"
"KClConcentration ppb",0,495,"Gachsaran7","ANHY",26,"WellB"
"OilVolume %",0,531,"Gachsaran7","ANHY/MARL",26,"WellB"
"GlycolVolume %",0,531,"Gachsaran7","ANHY/MARL",26,"WellB"
"KClConcentration %wt.",0,531,"Gachsaran7","ANHY/MARL",26,"WellB"
"KClConcentration ppb",0,531,"Gachsaran7","ANHY/MARL",26,"WellB"
"OilVolume %",0,545,"Gachsaran7","ANHY/MARL",26,"WellB"
"GlycolVolume %",0,545,"Gachsaran7","ANHY/MARL",26,"WellB"
"KClConcentration %wt.",0,545,"Gachsaran7","ANHY/MARL",26,"WellB"
"KClConcentration ppb",0,545,"Gachsaran7","ANHY/MARL",26,"WellB"
"OilVolume %",0,545,"Gachsaran7","ANHY/MARL",26,"WellB"
"GlycolVolume %",0,545,"Gachsaran7","ANHY/MARL",26,"WellB"
"KClConcentration %wt.",0,545,"Gachsaran7","ANHY/MARL",26,"WellB"
"KClConcentration ppb",0,545,"Gachsaran7","ANHY/MARL",26,"WellB"
"OilVolume %",0,545,"Gachsaran7","ANHY/MARL",26,"WellB"
"GlycolVolume %",0,545,"Gachsaran7","ANHY/MARL",26,"WellB"
"KClConcentration %wt.",0,545,"Gachsaran7","ANHY/MARL",26,"WellB"
"KClConcentration ppb",0,545,"Gachsaran7","ANHY/MARL",26,"WellB"
"OilVolume %",0,545,"Gachsaran7","ANHY/MARL",17.5,"WellB"
"GlycolVolume %",0,545,"Gachsaran7","ANHY/MARL",17.5,"WellB"
"KClConcentration %wt.",0,545,"Gachsaran7","ANHY/MARL",17.5,"WellB"
"KClConcentration ppb",0,545,"Gachsaran7","ANHY/MARL",17.5,"WellB"
"OilVolume %",0,545,"Gachsaran7","ANHY/MARL",17.5,"WellB"
"GlycolVolume %",0,545,"Gachsaran7","ANHY/MARL",17.5,"WellB"
"KClConcentration %wt.",0,545,"Gachsaran7","ANHY/MARL",17.5,"WellB"
"KClConcentration ppb",0,545,"Gachsaran7","ANHY/MARL",17.5,"WellB"
"OilVolume %",0,546,"Gachsaran7","ANHY",17.5,"WellB"
"GlycolVolume %",0,546,"Gachsaran7","ANHY",17.5,"WellB"
"KClConcentration %wt.",0,546,"Gachsaran7","ANHY",17.5,"WellB"
"KClConcentration ppb",0,546,"Gachsaran7","ANHY",17.5,"WellB"
"OilVolume %",0,547.6,"Gachsaran7","ANHY",17.5,"WellB"
"GlycolVolume %",0,547.6,"Gachsaran7","ANHY",17.5,"WellB"
"KClConcentration %wt.",0,547.6,"Gachsaran7","ANHY",17.5,"WellB"
"KClConcentration ppb",0,547.6,"Gachsaran7","ANHY",17.5,"WellB"
"OilVolume %",0,594,"Gachsaran6","G.MARL/ SALT/ANHY",17.5,"WellB"
"GlycolVolume %",0,594,"Gachsaran6","G.MARL/ SALT/ANHY",17.5,"WellB"
"KClConcentration %wt.",0,594,"Gachsaran6","G.MARL/ SALT/ANHY",17.5,"WellB"
"KClConcentration ppb",0,594,"Gachsaran6","G.MARL/ SALT/ANHY",17.5,"WellB"
"OilVolume %",0,681,"Gachsaran6","G.MARL/ SALT/ANHY",17.5,"WellB"
"GlycolVolume %",0,681,"Gachsaran6","G.MARL/ SALT/ANHY",17.5,"WellB"
"KClConcentration %wt.",0,681,"Gachsaran6","G.MARL/ SALT/ANHY",17.5,"WellB"
"KClConcentration ppb",0,681,"Gachsaran6","G.MARL/ SALT/ANHY",17.5,"WellB"
"MudWeight pcf",71,430,"Gachsaran7","LST/MRL/ANHY",26,"WellB"
"FunnelViscosity spq",42,430,"Gachsaran7","LST/MRL/ANHY",26,"WellB"
"PV cp",11,430,"Gachsaran7","LST/MRL/ANHY",26,"WellB"
"YP lbs/100 sq.ft",14,430,"Gachsaran7","LST/MRL/ANHY",26,"WellB"
"Gel 10sec",3,430,"Gachsaran7","LST/MRL/ANHY",26,"WellB"
"Gel 10min",5,430,"Gachsaran7","LST/MRL/ANHY",26,"WellB"
"TotalHardness ppm",1120,430,"Gachsaran7","LST/MRL/ANHY",26,"WellB"
"Salinity*1000 ppm",206,430,"Gachsaran7","LST/MRL/ANHY",26,"WellB"
"FluidLoss cc/30min",13,430,"Gachsaran7","LST/MRL/ANHY",26,"WellB"
"pH",9.8,430,"Gachsaran7","LST/MRL/ANHY",26,"WellB"
"WaterVolume %",92,430,"Gachsaran7","LST/MRL/ANHY",26,"WellB"
"SolidVolume %",8,430,"Gachsaran7","LST/MRL/ANHY",26,"WellB"
"MBT ppb",7.5,430,"Gachsaran7","LST/MRL/ANHY",26,"WellB"
"MudWeight pcf",73,467,"Gachsaran7","LST/MRL/ANHY",26,"WellB"
"FunnelViscosity spq",43,467,"Gachsaran7","LST/MRL/ANHY",26,"WellB"
"PV cp",11,467,"Gachsaran7","LST/MRL/ANHY",26,"WellB"
"YP lbs/100 sq.ft",15,467,"Gachsaran7","LST/MRL/ANHY",26,"WellB"
"Gel 10sec",3,467,"Gachsaran7","LST/MRL/ANHY",26,"WellB"
"Gel 10min",5,467,"Gachsaran7","LST/MRL/ANHY",26,"WellB"
"TotalHardness ppm",1280,467,"Gachsaran7","LST/MRL/ANHY",26,"WellB"
"Salinity*1000 ppm",240,467,"Gachsaran7","LST/MRL/ANHY",26,"WellB"
"FluidLoss cc/30min",13,467,"Gachsaran7","LST/MRL/ANHY",26,"WellB"
"pH",9.6,467,"Gachsaran7","LST/MRL/ANHY",26,"WellB"
"WaterVolume %",92,467,"Gachsaran7","LST/MRL/ANHY",26,"WellB"
"SolidVolume %",8,467,"Gachsaran7","LST/MRL/ANHY",26,"WellB"
"MBT ppb",7.5,467,"Gachsaran7","LST/MRL/ANHY",26,"WellB"
"MudWeight pcf",75,495,"Gachsaran7","ANHY",26,"WellB"
"FunnelViscosity spq",43,495,"Gachsaran7","ANHY",26,"WellB"
"PV cp",11,495,"Gachsaran7","ANHY",26,"WellB"
"YP lbs/100 sq.ft",14,495,"Gachsaran7","ANHY",26,"WellB"
"Gel 10sec",3,495,"Gachsaran7","ANHY",26,"WellB"
"Gel 10min",5,495,"Gachsaran7","ANHY",26,"WellB"
"TotalHardness ppm",1200,495,"Gachsaran7","ANHY",26,"WellB"
"Salinity*1000 ppm",267,495,"Gachsaran7","ANHY",26,"WellB"
"FluidLoss cc/30min",13,495,"Gachsaran7","ANHY",26,"WellB"
"pH",9.6,495,"Gachsaran7","ANHY",26,"WellB"
"WaterVolume %",90,495,"Gachsaran7","ANHY",26,"WellB"
"SolidVolume %",10,495,"Gachsaran7","ANHY",26,"WellB"
"MBT ppb",7.5,495,"Gachsaran7","ANHY",26,"WellB"
"MudWeight pcf",75,531,"Gachsaran7","ANHY/MARL",26,"WellB"
"FunnelViscosity spq",43,531,"Gachsaran7","ANHY/MARL",26,"WellB"
"PV cp",11,531,"Gachsaran7","ANHY/MARL",26,"WellB"
"YP lbs/100 sq.ft",14,531,"Gachsaran7","ANHY/MARL",26,"WellB"
"Gel 10sec",3,531,"Gachsaran7","ANHY/MARL",26,"WellB"
"Gel 10min",5,531,"Gachsaran7","ANHY/MARL",26,"WellB"
"TotalHardness ppm",1200,531,"Gachsaran7","ANHY/MARL",26,"WellB"
"Salinity*1000 ppm",267,531,"Gachsaran7","ANHY/MARL",26,"WellB"
"FluidLoss cc/30min",13,531,"Gachsaran7","ANHY/MARL",26,"WellB"
"pH",9.8,531,"Gachsaran7","ANHY/MARL",26,"WellB"
"WaterVolume %",90,531,"Gachsaran7","ANHY/MARL",26,"WellB"
"SolidVolume %",10,531,"Gachsaran7","ANHY/MARL",26,"WellB"
"MBT ppb",7.5,531,"Gachsaran7","ANHY/MARL",26,"WellB"
"MudWeight pcf",80,546,"Gachsaran7","ANHY",17.5,"WellB"
"FunnelViscosity spq",42,546,"Gachsaran7","ANHY",17.5,"WellB"
"PV cp",11,546,"Gachsaran7","ANHY",17.5,"WellB"
"YP lbs/100 sq.ft",14,546,"Gachsaran7","ANHY",17.5,"WellB"
"Gel 10sec",3,546,"Gachsaran7","ANHY",17.5,"WellB"
"Gel 10min",5,546,"Gachsaran7","ANHY",17.5,"WellB"
"TotalHardness ppm",1200,546,"Gachsaran7","ANHY",17.5,"WellB"
"Salinity*1000 ppm",267,546,"Gachsaran7","ANHY",17.5,"WellB"
"FluidLoss cc/30min",12,546,"Gachsaran7","ANHY",17.5,"WellB"
"pH",9.6,546,"Gachsaran7","ANHY",17.5,"WellB"
"WaterVolume %",84,546,"Gachsaran7","ANHY",17.5,"WellB"
"SolidVolume %",16,546,"Gachsaran7","ANHY",17.5,"WellB"
"MBT ppb",7.5,546,"Gachsaran7","ANHY",17.5,"WellB"
"MudWeight pcf",120,547.6,"Gachsaran7","ANHY",17.5,"WellB"
"FunnelViscosity spq",49,547.6,"Gachsaran7","ANHY",17.5,"WellB"
"PV cp",30,547.6,"Gachsaran7","ANHY",17.5,"WellB"
"YP lbs/100 sq.ft",16,547.6,"Gachsaran7","ANHY",17.5,"WellB"
"Gel 10sec",2,547.6,"Gachsaran7","ANHY",17.5,"WellB"
"Gel 10min",4,547.6,"Gachsaran7","ANHY",17.5,"WellB"
"TotalHardness ppm",1600,547.6,"Gachsaran7","ANHY",17.5,"WellB"
"Salinity*1000 ppm",290,547.6,"Gachsaran7","ANHY",17.5,"WellB"
"FluidLoss cc/30min",3,547.6,"Gachsaran7","ANHY",17.5,"WellB"
"pH",9.6,547.6,"Gachsaran7","ANHY",17.5,"WellB"
"WaterVolume %",66,547.6,"Gachsaran7","ANHY",17.5,"WellB"
"SolidVolume %",34,547.6,"Gachsaran7","ANHY",17.5,"WellB"
"MBT ppb",5,547.6,"Gachsaran7","ANHY",17.5,"WellB"
"MudWeight pcf",120,594,"Gachsaran6","G.MARL/ SALT/ANHY",17.5,"WellB"
"FunnelViscosity spq",45,594,"Gachsaran6","G.MARL/ SALT/ANHY",17.5,"WellB"
"PV cp",24,594,"Gachsaran6","G.MARL/ SALT/ANHY",17.5,"WellB"
"YP lbs/100 sq.ft",14,594,"Gachsaran6","G.MARL/ SALT/ANHY",17.5,"WellB"
"Gel 10sec",2,594,"Gachsaran6","G.MARL/ SALT/ANHY",17.5,"WellB"
"Gel 10min",4,594,"Gachsaran6","G.MARL/ SALT/ANHY",17.5,"WellB"
"TotalHardness ppm",1600,594,"Gachsaran6","G.MARL/ SALT/ANHY",17.5,"WellB"
"Salinity*1000 ppm",290,594,"Gachsaran6","G.MARL/ SALT/ANHY",17.5,"WellB"
"FluidLoss cc/30min",3,594,"Gachsaran6","G.MARL/ SALT/ANHY",17.5,"WellB"
"pH",9.6,594,"Gachsaran6","G.MARL/ SALT/ANHY",17.5,"WellB"
"WaterVolume %",66,594,"Gachsaran6","G.MARL/ SALT/ANHY",17.5,"WellB"
"SolidVolume %",34,594,"Gachsaran6","G.MARL/ SALT/ANHY",17.5,"WellB"
"MBT ppb",5,594,"Gachsaran6","G.MARL/ SALT/ANHY",17.5,"WellB"
"MudWeight pcf",125,681,"Gachsaran6","G.MARL/ SALT/ANHY",17.5,"WellB"
"FunnelViscosity spq",50,681,"Gachsaran6","G.MARL/ SALT/ANHY",17.5,"WellB"
"PV cp",28,681,"Gachsaran6","G.MARL/ SALT/ANHY",17.5,"WellB"
"YP lbs/100 sq.ft",16,681,"Gachsaran6","G.MARL/ SALT/ANHY",17.5,"WellB"
"Gel 10sec",3,681,"Gachsaran6","G.MARL/ SALT/ANHY",17.5,"WellB"
"Gel 10min",5,681,"Gachsaran6","G.MARL/ SALT/ANHY",17.5,"WellB"
"TotalHardness ppm",1520,681,"Gachsaran6","G.MARL/ SALT/ANHY",17.5,"WellB"
"Salinity*1000 ppm",300,681,"Gachsaran6","G.MARL/ SALT/ANHY",17.5,"WellB"
"FluidLoss cc/30min",3,681,"Gachsaran6","G.MARL/ SALT/ANHY",17.5,"WellB"
"pH",9.5,681,"Gachsaran6","G.MARL/ SALT/ANHY",17.5,"WellB"
"WaterVolume %",64,681,"Gachsaran6","G.MARL/ SALT/ANHY",17.5,"WellB"
"SolidVolume %",36,681,"Gachsaran6","G.MARL/ SALT/ANHY",17.5,"WellB"
"MBT ppb",7.5,681,"Gachsaran6","G.MARL/ SALT/ANHY",17.5,"WellB"
"MudWeight pcf",78,545,"Gachsaran7","ANHY/MARL",26,"WellB"
"FunnelViscosity spq",43,545,"Gachsaran7","ANHY/MARL",26,"WellB"
"PV cp",11,545,"Gachsaran7","ANHY/MARL",26,"WellB"
"YP lbs/100 sq.ft",15,545,"Gachsaran7","ANHY/MARL",26,"WellB"
"Gel 10sec",3,545,"Gachsaran7","ANHY/MARL",26,"WellB"
"Gel 10min",5,545,"Gachsaran7","ANHY/MARL",26,"WellB"
"TotalHardness ppm",1200,545,"Gachsaran7","ANHY/MARL",26,"WellB"
