Date AD,Date,HoleSize inch,Depth meter,FormationName,Lithology,MudWeight pcf,FunnelViscosity spq,PV cp,YP lbs/100 sq.ft,Gel 10sec,Gel 10min,TotalHardness ppm,Salinity*1000 ppm,FluidLoss cc/30min,pH,WaterVolume %,OilVolume %,SolidVolume %,MBT ppb,GlycolVolume %,KClConcentration %wt.,KClConcentration ppb,WellName,WellPhase,Category,PhaseSection
2020-05-27 00:00:00.000,"1399/03/07",26,545,"Gachsaran7","ANHY/MARL",78,43,11,15,3,5,1200,267,12,9.6,86,0,14,7.5,"","","","WellB","Drilling","Mud","FluidSection"
2020-05-28 00:00:00.000,"1399/03/08",26,545,"Gachsaran7","ANHY/MARL",80,43,11,15,3,5,1200,267,12,9.5,84,0,16,7.5,"","","","WellB","Drilling","Mud","FluidSection"
2020-05-29 00:00:00.000,"1399/03/09",26,545,"Gachsaran7","ANHY/MARL",80,43,11,15,3,5,1200,267,12,9.5,84,0,16,7.5,"","","","WellB","Drilling","Mud","FluidSection"
2020-05-30 00:00:00.000,"1399/03/10",17.5,545,"Gachsaran7","ANHY/MARL",80,43,11,15,3,5,1200,267,12,9.5,84,0,16,7.5,"","","","WellB","Drilling","Mud","FluidSection"
2020-05-31 00:00:00.000,"1399/03/11",17.5,545,"Gachsaran7","ANHY/MARL",80,43,11,15,3,5,1200,267,12,9.5,84,0,16,7.5,"","","","WellB","Drilling","Mud","FluidSection"
2020-06-01 00:00:00.000,"1399/03/12",17.5,546,"Gachsaran7","ANHY",80,42,11,14,3,5,1200,267,12,9.6,84,0,16,7.5,"","","","WellB","Drilling","Mud","FluidSection"
2020-06-02 00:00:00.000,"1399/03/13",17.5,547.6,"Gachsaran7","ANHY",120,49,30,16,2,4,1600,290,3,9.6,66,0,34,5,"","","","WellB","Drilling","Mud","FluidSection"
2020-06-03 00:00:00.000,"1399/03/14",17.5,594,"Gachsaran6","G.MARL/ SALT/ANHY",120,45,24,14,2,4,1600,290,3,9.6,66,0,34,5,"","","","WellB","Drilling","Mud","FluidSection"
2020-06-04 00:00:00.000,"1399/03/15",17.5,681,"Gachsaran6","G.MARL/ SALT/ANHY",125,50,28,16,3,5,1520,300,3,9.5,64,0,36,7.5,"","","","WellB","Drilling","Mud","FluidSection"
2020-06-05 00:00:00.000,"1399/03/16",17.5,758,"Gachsaran6","MARL/SALT/ANHY",127,50,30,18,3,5,1520,300,3,9.5,64,0,36,7.5,"","","","WellB","Drilling","Mud","FluidSection"
2020-06-06 00:00:00.000,"1399/03/17",17.5,805,"Gachsaran6","MARL/SALT/ANHY",127,60,30,24,5,7,1520,300,3,9.6,64,0,36,7.5,"","","","WellB","Drilling","Mud","FluidSection"
2020-06-07 00:00:00.000,"1399/03/18",17.5,851,"Gachsaran6","MARL/SALT/ANHY",130,95,32,34,21,23,1920,300,25,9.5,62,0,38,7.5,"","","","WellB","Drilling","Mud","FluidSection"
2020-06-08 00:00:00.000,"1399/03/19",17.5,903,"Gachsaran6","MARL/SALT/ANHY",130,65,40,24,6,8,1400,300,8,9.1,62,0,38,10,"","","","WellB","Drilling","Mud","FluidSection"
2020-06-09 00:00:00.000,"1399/03/20",17.5,916,"Gachsaran6","MARL/SALT/ANHY",130,65,37,23,6,8,1480,310,6,9.2,62,0,38,10,"","","","WellB","Drilling","Mud","FluidSection"
2020-06-10 00:00:00.000,"1399/03/21",17.5,994,"Gachsaran6","MARL/SALT/ANHY",130,67,39,26,8,10,1520,310,6,9.3,62,0,38,10,"","","","WellB","Drilling","Mud","FluidSection"
2020-06-11 00:00:00.000,"1399/03/22",17.5,1026,"Gachsaran6","MARL/SALT/ANHY",130,57,34,23,5,7,1480,310,6,9.2,62,0,38,10,"","","","WellB","Drilling","Mud","FluidSection"
2020-06-12 00:00:00.000,"1399/03/23",17.5,1026,"Gachsaran6","MARL/SALT/ANHY",130,57,34,22,5,7,1480,310,5,9.2,62,0,38,10,"","","","WellB","Drilling","Mud","FluidSection"
2020-06-13 00:00:00.000,"1399/03/24",17.5,1026,"Gachsaran6","MARL/SALT/ANHY",130,57,37,21,3,5,1480,310,3,9.2,62,,38,7.5,"","","","WellB","Drilling","Mud","FluidSection"
2020-06-14 00:00:00.000,"1399/03/25",17.5,1026,"Gachsaran6","MARL/SALT/ANHY",130,55,38,21,3,5,1480,310,3,9.2,62,,38,7.5,"","","","WellB","Drilling","Mud","FluidSection"
2020-06-15 00:00:00.000,"1399/03/26",17.5,1069,"Gachsaran6","MARL/SALT/ANHY",130,51,37,18,3,5,1480,310,4,9.4,62,,38,7.5,"","","","WellB","Drilling","Mud","FluidSection"
2020-06-16 00:00:00.000,"1399/03/27",17.5,1126,"Gachsaran6","MARL/SALT/ANHY",130,51,33,18,3,5,1480,310,3.4,9.2,62,,38,7.5,"","","","WellB","Drilling","Mud","FluidSection"
2020-06-17 00:00:00.000,"1399/03/28",17.5,1171,"Gachsaran6","MARL/SALT/ANHY",130,53,39,18,3,5,1480,310,3.5,9.3,62,,38,7.5,"","","","WellB","Drilling","Mud","FluidSection"
2020-06-18 00:00:00.000,"1399/03/29",17.5,1211,"Gachsaran6","MARL/SALT/ANHY",131,58,32,21,4,6,1480,310,3.8,9.3,62,,38,8.75,"","","","WellB","Drilling","Mud","FluidSection"
2020-06-19 00:00:00.000,"1399/03/30",17.5,1266,"Gachsaran6","MARL/SALT/ANHY",132,60,30,20,4,6,1800,310,4.2,9.2,61,,39,7.5,"","","","WellB","Drilling","Mud","FluidSection"
2020-06-20 00:00:00.000,"1399/03/31",17.5,1327,"Gachsaran6","MARL/SALT/ANHY",134,69,35,27,7,9,1560,310,4.6,9.2,60,,40,8.75,"","","","WellB","Drilling","Mud","FluidSection"
