Date AD,HoleSize inch,Depth meter,FormationName,Lithology,MudMade bbl,Gain bbl,Evaporate bbl,PitCleaning bbl,Dump bbl,Contamitate bbl,Refine bbl,Surf. Loss bbl,FormationLoss bbl,WellName,WellPhase,PhaseSection,Category,MudWeight pcf
2020-06-02 00:00:00.000,17.5,547.6,"Gachsaran7","ANHY",250,0,0,40,50,35,15,0,0,"WellB","Drilling","FluidSection","Mud","120"
2020-06-03 00:00:00.000,17.5,594,"Gachsaran6","G.MARL/ SALT/ANHY",110,0,0,0,0,0,10,0,0,"WellB","Drilling","FluidSection","Mud","120"
2020-06-04 00:00:00.000,17.5,681,"Gachsaran6","G.MARL/ SALT/ANHY",190,0,0,0,0,80,35,0,0,"WellB","Drilling","FluidSection","Mud","125"
2020-06-05 00:00:00.000,17.5,758,"Gachsaran6","MARL/SALT/ANHY",120,0,0,40,0,0,65,0,0,"WellB","Drilling","FluidSection","Mud","127"
2020-06-06 00:00:00.000,17.5,805,"Gachsaran6","MARL/SALT/ANHY",0,0,0,0,0,0,50,0,0,"WellB","Drilling","FluidSection","Mud","127"
2020-06-07 00:00:00.000,17.5,851,"Gachsaran6","MARL/SALT/ANHY",110,0,0,0,0,0,198,0,0,"WellB","Drilling","FluidSection","Mud","130"
2020-06-08 00:00:00.000,17.5,903,"Gachsaran6","MARL/SALT/ANHY",400,0,0,0,370,0,342,0,0,"WellB","Drilling","FluidSection","Mud","130"
2020-06-09 00:00:00.000,17.5,916,"Gachsaran6","MARL/SALT/ANHY",300,0,0,0,0,0,96,0,0,"WellB","Drilling","FluidSection","Mud","130"
2020-06-10 00:00:00.000,17.5,994,"Gachsaran6","MARL/SALT/ANHY",150,0,0,0,0,0,162,0,0,"WellB","Drilling","FluidSection","Mud","130"
2020-06-11 00:00:00.000,17.5,1026,"Gachsaran6","MARL/SALT/ANHY",150,0,0,0,0,0,161,0,0,"WellB","Drilling","FluidSection","Mud","130"
2020-06-12 00:00:00.000,17.5,1026,"Gachsaran6","MARL/SALT/ANHY",10,0,0,0,0,0,80,0,0,"WellB","Drilling","FluidSection","Mud","130"
2020-06-13 00:00:00.000,17.5,1026,"Gachsaran6","MARL/SALT/ANHY",180,0,0,0,0,0,111,0,0,"WellB","Drilling","FluidSection","Mud","130"
2020-06-14 00:00:00.000,17.5,1026,"Gachsaran6","MARL/SALT/ANHY",0,0,0,0,0,0,12,0,0,"WellB","Drilling","FluidSection","Mud","130"
2020-06-15 00:00:00.000,17.5,1069,"Gachsaran6","MARL/SALT/ANHY",40,0,0,0,0,0,11,0,10,"WellB","Drilling","FluidSection","Mud","130"
2020-06-16 00:00:00.000,17.5,1126,"Gachsaran6","MARL/SALT/ANHY",150,0,0,0,0,0,111,0,30,"WellB","Drilling","FluidSection","Mud","130"
2020-06-17 00:00:00.000,17.5,1171,"Gachsaran6","MARL/SALT/ANHY",140,0,0,0,0,0,36,0,12,"WellB","Drilling","FluidSection","Mud","130"
2020-06-18 00:00:00.000,17.5,1211,"Gachsaran6","MARL/SALT/ANHY",140,0,0,0,0,0,96,0,32,"WellB","Drilling","FluidSection","Mud","131"
2020-06-19 00:00:00.000,17.5,1266,"Gachsaran6","MARL/SALT/ANHY",160,0,0,0,0,0,72,0,18,"WellB","Drilling","FluidSection","Mud","132"
2020-06-20 00:00:00.000,17.5,1327,"Gachsaran6","MARL/SALT/ANHY",190,0,0,0,0,0,24,0,40,"WellB","Drilling","FluidSection","Mud","134"
2020-06-21 00:00:00.000,17.5,1200,"Gachsaran5","SALT",500,0,0,0,0,0,0,0,250,"GS417","Drilling","FluidSection","Mud","110"
2020-06-22 00:00:00.000,17.5,1250,"Gachsaran6","SALT",250,0,0,0,0,0,0,0,740,"GS417","Drilling","FluidSection","Mud","125"
