WellName," Date ",Depth(m),Hole Size(in),Days," Summery ",Event,Z (m)
"WellA",2019-09-17 00:00:00.000,667,26,22," DUE TO CHANGE BHA POOH F/345 TO SURF. NL-NG, OBS WELL ON BHA STATIC, L/D 24"" PDC BIT # 3 RR1 & 24"" S.STAB. P/U & M/U 24"" USED PDC BIT # 4 & DRLG BHA # 8 FOLLOWED 5"" DP TO 642M, SHORT CIRC. RESUME DRLG FM TO 667M, NL-NG.","",-667
"WellA",2019-09-18 00:00:00.000,714,26,23," CONT. DRLG FM F/667 TO 705M WHILE INC MW F/82 TO 83 PCF, RUN TOTCO SURVEY @ 700M, INC:2 DEG, CONT. DRLG FM TO 714M, NL-NG TILL MN.","",-714
"WellA",2019-09-19 00:00:00.000,746,26,24," CONT. DRLG FM F/714 TO 726 M, WORK ON MUD PUMP 1&3, CONT DRLG TO 746 M, OBS DEC. PRESS, POOH F/ 746 TO 287 M WHILE CHECK THE STRG, OBS WASH OUT 1 JT  5"" D.P (SLIPS AREA), CONT POOH TO 122 M WHILE L/D 15 JTS 5"" H.W.D.P, OBS WASH OUT 11 JTS 5"" H.W.D.P FROM CONNECTION CIRC C.W.H W/ NL-NG TILL M.N.","",-746
"WellA",2019-09-20 00:00:00.000,756,26,25," CONT. POOH TO SURF., L/D 24"" PDC BIT & 2NO. 24"" S.STAB & VISUALLY CHECK. ALL CONN., RIH W/24""USED PDC BIT & SAME BHA (P/U 5 STD 5"" HWDP  JT BY JT) TO 746M, (WORK ON TDS @ 30M), RESUME DRLG F/746 TO 756M, RUN TOTCO SURVEY, RESULT INC.: 1.25 DEG, WORK ON MUD PUMP # 2 WHILE CIRC. & MOVMENT STRG, NL-NG TILL MN.","",-756
"WellA",2019-09-21 00:00:00.000,798,26,26," CONT. WORK ON MUD PUMP# 2 & 3 @ 756M, RESUME DRLG TO 769M, WORK ON PUMP AGAIN, CONT. DRLG TO 785M, WORK ON TDS & PUMP, CONT. DRLG TO 798M, INC. MW F/84 TO 85 PCF AS PROGRAM, POOH TO 720M, WORK ON TDS SYS., RIH TO 798 M NL-NG TILL MN.","",-798
"WellA",2019-09-22 00:00:00.000,848,26,27," CONT. DRLG F/798 TO 806M, CIRC., GET SURVEY @ 800M, RESULT INC: 2DEG, CONT. DRLG F/806 TO 848M WHILE INC. MW F/85 TO 86 PCF AS PROGRAM, NL-NG.","",-848
"WellA",2019-09-23 00:00:00.000,866,26,28," CONT. DRLG FM F/848 TO 852M, GET SURVEY @ 850M, RESULT INC: 2DEG, CONT. DRLG TO 862M, STOP DRLG, CBU, WORK ON TDS, CONT. DRLG TO 866M, OBS DEC. PRESS 80 PSI, STOP DRLG, CHECK SURF. EQUIP. ""OK"", INC 1-2 STROKE, POOH WHILE CHECK STRG, OBS 5"" DP CONNECTION  & 2 JT @ CONNECTION HWDP IS WASHOUT TILL M.N.","",-866
"WellA",2019-09-24 00:00:00.000,873,26,29," CONT. POOH F/230 TO SURF. WHILE CHECK BHA, OBS 6 JT HWDP IS WASHOUT. P/U & M/U SAME 24"" PDC BIT # 4 RR2 &  BHA 10 FOLLOWED BY 5"" DP TO 866M, RESUME DRLG F/866 TO 873M, NL-NG.","",-873
"WellA",2019-09-25 00:00:00.000,916,26,30," CONT DRLG F/873 TO 890 M WHILE INC. MW F/87 TO 88 PCF AS PROGRAM, NL-NG. WORK ON MUD PUMP 1&2. CONT DRLG F/890 TO 916 M, WAIT ON NIDC OPERATION DEPARTMENT DUE TO OBS DECREASE 40 PSI PRESS, CHECK SURF EQUIPMENT, OK & CHECK S.P.R, POOH F/ 916 TO 400 M WHILE CHECK STRG JT BY JT TILL M.N.","",-916
"WellA",2019-09-26 00:00:00.000,932,26,31," WHILE WAITING FOR NIDC OPERATION POOH F/ 400 TO SURF., L/D 5 JTs WASH OUT HWDPs. RIH W/ SAME PDC BIT & BHA #11 TO 916M (BTM). CONT. DRLG FORM. F/ 916 TO 932M. DUE TO GENERATOR FAILURE POOH F/ 932 TO 105 M (30 "" CSG SHOE) TILL M.N.","",-932
"WellA",2019-09-27 00:00:00.000,932,26,32," WAITING FOR NIDC OPERATION DEPARTMENT DUE TO FAILURE  GENERATOR #1 WHILE SLOW CIRC. MUD W/ NL-NG & WORK ON GENERATOR TILL M.N.","",-932
"WellA",2019-09-28 00:00:00.000,973,26,33," WAITING FOR NIDC OPERATION DEPARTMENT DUE TO FAILURE OF GENERATOR #1 WHILE RIH F/ 105 (30"" SHOE) TO 932 M (BTM), CONT DRLG FORM. F/ 932 TO 973 M W/ NL-NG WHILE PUMPING PILL PERIODICALLY & RUN TOTCO @ 950 M, INC.: 1.5 DEG. TILL M.N.","",-973
"WellA",2019-09-30 00:00:00.000,998,26,35," INC. MW F/ 88 TO 90 PCF, RUN TOTCO @ 998 M, INC.: 1.5 DEG, SPOT 300 BBL HI-VIS PILL, POOH TO SURF. R/U CSG EQUIP., RUN 18-5/8"" CSG TO 380 M TILL M.N.","",-998
"WellA",2019-10-03 00:00:00.000,998,26,38," W.O.C WHILE CONT POOH 5"" DP STRING F/ 520 TO SURF., N/D 30"" BOP STACK,  DRESS & BEVEL 18-5/8"" CSG NECK, INSTALL & LEVEL 20-3/4"" C.H.H ( 3K, MSP DRILLEX, WELD TYPE),  WELD 20 3/4"" C.H.H ON 18 5/8"" CSG NECK & WAIT TILL WELDED AREA BE COLD TILL M.N.","",-998
"WellA",2019-10-04 00:00:00.000,998,26,39," TEST 20 3/4"" C.H.H W/400 PSI & TWO 2 1/6"", 5K SIDE VAVES W/ 3000 PSI, ""OK"" , N/U 20 3/4""-3K BOP STACK & RECTIFY LEAKAGES, PERFORM 20-3/4"" BOP STACK  TEST AS NIDC POLICY TILL M.N.","",-998
"WellA",2019-10-05 00:00:00.000,998,26,40," WHILE WAITING FOR NIDC DRILLING FLUID MGT, RIH W/ B.BIT #5 NEW (TSK, 437, 3*20+ C.J 18) TO 955 M, TAKE WEIGHT, D/O SOFT TO HARD CMT F/ 955 TO 974 M (F.C DEPTH), PERFORM 18-5/8"" CSG INTEGRITY TEST, ""OK"", CONT. D/O MED TO HARD CMT TO 984 M TILL M.N.","",-998
"WellA",2019-10-07 00:00:00.000,1023,17.5,42," CONT DRLG FORM. W/ 17"" B.BIT # 5 NEW (TSK, 437, 3*20 + C.J 18) F/ 1006 TO 1023 M, CIRC BTM  S UP, POOH STRG FOR JUNK SUB TRIP F/ 1023 TO 460 M WHILE CIRC. C.W.H W/ NL-NG TILL M.N.","",-1023
"WellA",2019-10-08 00:00:00.000,1023,17.5,43," POOH STRG F/ 460 M TO SURF., RIH W/ SAME BIT & 17"" JUNK SUB TO 1023 M (BTM), WORK ON JUNK SUB SEVERAL TIMES, POOH TO SURF., L/D JUNK SUB ( RECOVER 0.1 LB JUNK), RIH W/ PDC BIT#6 NEW (BESTE, SN: 234352, 4*13+ 4* 14)  & BHA#13 TO 93 M TILL M.N.","",-1023
"WellA",2019-10-09 00:00:00.000,1023,17.5,44," CONT RIH W/ PDC BIT#6 NEW (BESTE, SN: 234352, 4*13+ 4* 14)  & BHA#13 TO 1023M, CIRC MUD& INC MUD WT T0 108 PCF TILL M.N.","",-1023
"WellA",2019-10-10 00:00:00.000,1023,17.5,45," CONT WAIT ON REC. MUD MATERIAL WHILE CIRC MUD @ 991 MT (18-5/8"" CSG SHOE @ 997.5M), W/NL-NG .","",-1023
"WellA",2019-10-11 00:00:00.000,1078,17.5,46," CONT WAIT ON REC. MUD MATERIAL WHILE CIRC MUD @ 991 MT (18-5/8"" CSG SHOE @ 997.5M), W/NL-NG, REC BARITE (TOTALLY STOCK:129 TN), START DRLG FM F/1023 TO 1078 M W/0-24BPH LOSS TILL MN.","",-1078
"WellA",2019-10-12 00:00:00.000,1149,17.5,47," CONT. DRLG FM F/1078 TO 1115M WHILE DEC. MW F/108 TO 106PCF, 6-12BPH LOSS, RUN TOTCO SURVEY, RESULT INC: 1DEG, CONT. DRLG F/1115 TO 1149M WHILE DEC. MW F/106 TO 105 PCF, 2-4BPH LOSS.","",-1149
"WellA",2019-10-13 00:00:00.000,1206,17.5,48," CONT. DRLG FM F/1149 TO 1188M, WORK ON MUD PUMP # 2, CONT. DRLG F/1188 TO 1206M, NL-NG.","",-1206
"WellA",2019-10-14 00:00:00.000,1232,17.5,49," CONT. DRLG 17"" HOLE SECTION F/1206  TO 1232M, WHILE WORK ON MUD PUMP # 1-2-3 & CHANGE WASH PIPE, NL-NG, RUN TOTCO SURVEY @ 1200M, INC: 3/4 DEG TILL M.N","",-1232
"WellA",2019-10-15 00:00:00.000,1289,17.5,50," CONT. DRLG 17"" HOLE SECTION F/1232  TO 1254M, CHANGE WASH PIPE, CONT. DRLG TO 1289M, NL-NG TILL MN.","",-1289
"WellA",2019-10-16 00:00:00.000,1289,17.5,51," DUE TO FAILURE & SHUT DOWN TDS, C.BU WHILE MOVEMENT STRG, L/D 1JT 5"" DP, TRY TO L/D SECOND JOINT STUCK STRG @ 1276M, WORK ON STUCK STRG W/PUMPING 4 STEP SALT WTR  @ APPLY TRQ & WEIGHT DOWNWARD, FREE STRG, CIRC. TILL BALANCE MW TO 105PCF, POOH FOR CHECK COND. F/1276 TO 1220M W/B.REAM TILL MN.","",-1289
"WellA",2019-10-17 00:00:00.000,1295,17.5,52," CONT. CHECK COND. F/1220 TO 997M, B.REAM SOME POINT(1220M-1046M), WORK ON TDS, OBS WELL ""STATIC"", DUE TO CHECK STRG POOH F/997 TO 122M (BHA), OK"", OBS WELL STATIC, RUN BACK TO 1280M, W & R TO 1289M (BTM), RESUME DRLG TO 1292M, CHANGE WASH PIPE, CONT. DRLG TO 1295M, WHILE INC. MW F/105 TO 106M, NL-NG TILL M.N","",-1295
"WellA",2019-10-18 00:00:00.000,1321,17.5,53," CONT. DRLG FM F/1295 TO 1321M, NL-NG. WORK ON MUD PUMP SEVERAL TIMES & WHASH PIPE WHILE CIRC. TILL M.N","",-1321
"WellA",2019-10-19 00:00:00.000,1358,17.5,54," CONT. DRLG 17"" HOLE SECTION  F/1321 TO 1358M, NL-NG, WORK ON MUD PUMP # 1,2,3 SEVERAL TIMEs. DUE TO NOT EXISTENCE EQUIP. FOR MUD PUMP, POOH TO 997M( 18-5/8"" CSG SHOE) WHILE F/U WELL CONTINUOUSLY, NL-NG.","",-1358
"WellA",2019-10-20 00:00:00.000,1358,17.5,55," WHILE WAIT ON REC. MUD PUMPS EQUIP.  CONT. POOH F/997.5M TO SURF. OBS WELL ON SHOE & BHA ""STATIC"", L/D 17"" PDC BIT, PERFORM BOP TEST AS NIOC POLICY, RIH W/NEW 17"" PDC BIT & SAME BHA # 14 TO 500M, NL-NG TILL MN.","",-1358
"WellA",2019-10-21 00:00:00.000,1358,17.5,56," WHILE WAIT ON REC. MUD PUMPS EQUIP. CONT. RIH F/500 TO 997.5M, SLOW CIRC. MUD & MOVEMENT STRG, NL-NG TILL M.N","",-1358
"WellA",2019-10-22 00:00:00.000,1358,17.5,57," WHILE WAIT ON REC. MUD PUMPS EQUIP. CONT. CIRC. MUD & MOVEMENT STRG @997.5M(18-5/8"" CSG SHOE), NL-NG TILL M.N","",-1358
"WellA",2019-10-23 00:00:00.000,1378,17.5,58," WHILE WAIT ON REC. MUD PUMPS EQUIP. CONT. CIRC. MUD @997.5M, RECEIVE EQUIP. REPAIR & CHECK MUD PUMPS, OK.  RIH F/ 997.5 TO 1358 M ( BTM ), CONT. DRLG 17"" HOLE SECTION F/ 1358 TO 1378 M W/ NL-NG TILL M.N","",-1378
"WellA",2019-10-24 00:00:00.000,1417,17.5,59,"   C.B.U & RUN TOTCO SURVEY@ 1367 M, RESULT INC.: 0.5 DEG, CONT. DRLG 17"" HOLE SECTION F/ 1378 TO 1417 M W/ NL-NG WHILE WORK ON TDS WASH PIPE & MUD PUMP TILL M.N","",-1417
"WellA",2019-10-25 00:00:00.000,1495,17.5,60," CONT DRLG FORM F/ 1417 TO 1495 M W/ NL-NG WHILE INC. MW F/ 106 TO 108 PCF DUE TO TIGHT HOLE & OBS. PIPE STUCK @ 1413 M  TILL M.N","",-1495
"WellA",2019-10-26 00:00:00.000,1539,17.5,61," CONT DRLG FORM F/ 1495 TO 1539 M W/ NL-NG TILL M.N","",-1539
"WellA",2019-10-27 00:00:00.000,1594,17.5,62," CONT DRLG FORM F/ 1539 TO 1594 M W/ NL-NG WHILE WASH & BACKREAM EACH STD TILL M.N","",-1594
"WellA",2019-10-28 00:00:00.000,1629,17.5,63," CONT DRLG FORM F/ 1594 TO 1629 M W/ NL-NG WHILE WASH & BACKREAM EACH STD, STUCK STRG @ 1627M, WORK ON STUCK TILL FREE STRG, W&R LAST STD WHILE INC MW F/ 108 TO 109 PCF IN PROGRESS TILL M.N","",-1629
"WellA",2019-10-29 00:00:00.000,1632,17.5,64," BALANCE MW ON 109 PCF @ 1629 M, POOH AS CONDITION TRIP F/ 1629 TO 997.5 (18-5/8"" SHOE), RUN BACK TO 1629 M (BTM) WHILE INC MW F/ 109 TO 111 PCF, CONT. DRLG FORM F/ 1629 TO 1632 M W/ NL-NG TILL M.N","",-1632
"WellA",2019-10-30 00:00:00.000,1668,17.5,65," CONT. DRLG FORM F/ 1632 TO 1668 M W/ NL-NG, CIRC. BTM  S UP, DROP TOTCO SURVEY @ 1667 M, POOH FOR CHANGE BHA F/ 1668 TO 1300 M  TILL M.N","",-1668
"WellA",2019-10-31 00:00:00.000,1668,17.5,66," CONT. POOH FOR CHANGE BHA F/ 1300 TO SURF WHILE L/D ALL D.Cs & HWDPs, RECOVER TOTCO: INC 0.25 DEG @1667 M. RIH W/ NEW PDC BIT & BHA # 15 TO 1190 M  TILL M.N","",-1668
"WellA",2019-11-01 00:00:00.000,1685,17.5,67," CONT. RIH W/ NEW PDC BIT & BHA # 15 F/ 1190 TO 1668 M (BTM), CONT. DRLG 17"" HOLE SECTION F/ 1668 TO 1685 M W/ NL-NG TILL M.N","",-1685
"WellA",2019-11-02 00:00:00.000,1709,17.5,68," CONT. DRLG 17"" HOLE SECTION F/ 1685 TO 1709 M W/ NL-NG TILL M.N","",-1709
"WellA",2019-11-03 00:00:00.000,1744,17.5,69," CONT. DRLG 17"" HOLE SECTION F/ 1709 TO 1744 M W/ NL-NG WHILE BACKREAM EACH STD TILL M.N","",-1744
"WellA",2019-11-04 00:00:00.000,1793,17.5,70," CONT. DRLG 17"" HOLE SECTION F/ 1744 TO 1793 M W/ 0-6 BPH LOSS WHILE BACKREAM EACH STD TILL M.N","",-1793
"WellA",2019-11-05 00:00:00.000,1817,17.5,71," CONT. DRLG 17"" HOLE SECTION F/ 1793 TO 1817 M W/ 0-2 BPH LOSS WHILE BACKREAM EACH STD TILL M.N","",-1817
"WellA",2019-11-06 00:00:00.000,1832,17.5,72," CONT. DRLG 17"" HOLE SECTION F/1817 TO 1832M, DUE TO FAILURE MUD PUMPS & SHORTAGE MUD PUMP EQUIP.  PUMP OUT F/1832(BTM) TO 1685M, CONT. POOH TO 997.5M(18-5/8"" CSG SHOE) W/GOOD HOLE COND., OBS WELL STATIC, DUE TO CHANGE PDC BIT POOH F/997.5 TO 286M, OBS WELL ON BHA ""STATIC"", TILL MN.","",-1832
"WellA",2019-11-07 00:00:00.000,1832,17.5,73," CONT. POOH F/286 TO SURF., L/D 17"" S.STAB & PDC BIT. PERFORM BOP TEST AS NIOC POLICY. P/U & M/U 17"" NEW B.BIT & BHA # 15 TO 316M, WORK ON TDS, CONT. RIH F/316 TO 1752M, W/GOOD HOLE COND., W & R F/1752 TO 1832M, CIRC. MUD BY WELL SITE GEOLOGIST, NL-NG TILL M.N","",-1832
"WellA",2019-11-08 00:00:00.000,1849,17.5,74," RESUME DRLG 17"" HOLE SECTION F/1832 TO 1849M, WHILE WORK ON MUD PUMP & TDS & DRAWWORKS, 0-2 BPH LOSS.","",-1849
"WellA",2019-11-09 00:00:00.000,1864.7,17.5,75," CONT. DRLG FM F/1849 TO 1864.70M, 0-2 BPH LOSS.","",-1864.7
"WellA",2019-11-10 00:00:00.000,1872.4,17.5,76," CONT. DRLG FM F/1864.70 TO 1872.4M, 0-2BPH LOSS TILL M.N","",-1872.4
"WellA",2019-11-11 00:00:00.000,1877,17.5,77," CONT. DRLG FM F/1872.4 TO 1877M, 0-2BPH LOSS, CONFIRM 13-5/8"" CSG POINT @ THIS POINT, CIRC. MUD WHILE INC. MW F/111 TO 113 PCF TILL M.N","",-1877
"WellA",2019-11-12 00:00:00.000,1877,17.5,78," CONT. CIRC. MUD TILL UNIFORM MW TO 113PCF, POOH AS COND. TRIP F/1877 TO 1700M W/B.REAM, REAM & B.REAM THIS INTERVAL & CHECK COND. ""OK"", CONT. POOH TO 997.5M (18-5/8"" CSG SHOE) W/GOOD COND., OBS WELL""STATIC"", BOP DRILL, RUN BACK TO 1747M, TOOK WEIGHT, W & R TO 1770M, RIH TO 1857M, TOOK WEIGHT, W & R TO 1877M (13-5/8"" CSG POINT), C. B.U TILL CLEAN SHAKER.","",-1877
"WellA",2019-11-13 00:00:00.000,1877,17.5,79," START POOH F/1887 TO 997.5M, W/GOOD COND. OBS WELL @ SHOE ""STATIC"", CONT. POOH F/997.5 TO SURF., OBS WELL ON BHA ""STATIC"", L/D 17"" B.BIT, R/U LOGGING TOOLS & RIH RUN # 1 W/SONC-CALIPER-CDR-GR TO 1322M, DROP TENSION, POOH TO SURF., L/D CALIPER, SONIC TOOLS, RIH RUN # 2 W/CDR-GR TO 1877M, LOG UP TO SURF., L/D LOGGING EQUIP., INSTAL W.BUSHING, RIH W/17"" USED B.BIT # 9 RR1 & S.STAB @ 20M TO 60M, 0-1 BPH LOSS TILL M.N","",-1877
"WellA",2019-11-14 00:00:00.000,1877,17.5,80," CONT. RIH W/17"" USED B.BIT & 17"" S.STAB @ 20M TO 350M, TWISTING DRLG LINE, WORK ON IT, CONT. RIH TO 950M, SLIP & CUT DRLG LINE, CONT. RIH AS COND. TRIP TO 1060M, TOOK WEIGHT, W & R TO 1240M, 1-2BPH LOSS TILL M.N","",-1877
"WellA",2019-11-15 00:00:00.000,1877,17.5,81," CONT. W & R F/1240 TO 1685M WHILE INC. MW F/113 TO 115PCF @ 2 STAGE, OBS WELL 0-2 BPH LOSS TILL M.N","",-1877
"WellA",2019-11-16 00:00:00.000,1877,17.5,82," CONT. W & R F/1685 TO 1877M WHILE INC. MW F/115 TO 117PCF STEP BY STEP, 0-2 BPH LOSS TILL M.N","",-1877
"WellA",2019-11-17 00:00:00.000,1877,17.5,83," CONT. CIRC. MUD TILL BALANCE MW TO 117PCF, DUE TO CHECK COND. POOH F/1877 TO 1665M, B.REAM TO 1657M, CONT. POOH TO 1470M, B.REAM TO 1400M, CONT. POOH F/1400 TO 997.5M(SHOE), PUMP 50 BBL SALT WTR FOR CLEAN BIT & STAB, RIH TO CHECK COND. F/997.5 TO 1483M, TOOK WEIGHT, W & R TO 1570M WHILE INC. MW TO 119 PCF, 0-2 BPH LOSS.","",-1877
"WellA",2019-11-18 00:00:00.000,1877,17.5,84," CONT. W & R F/1570 TO 1877M(BTM) WHILE INC. MW F/117 TO 1179PCF, C.B.U, POOH AS COND. TRIP, OBS WELL @ SHOE,STATIC, RIH AS COND. TRIP TO 1877M W/GOOD COND., 0-2 BPH LOSS TILL M.N","",-1877
"WellA",2019-11-19 00:00:00.000,1877,17.5,85," CIRC. MUD @ 1877M(BTM) TILL CLEAN HOLE, SPOT 300BBL HI-VIS PILL, START POOH FOR RUN CSG F/BTM TO 18-5/8"" CSG SHOE W/GOOD COND., OBS WELL ""STATIC"", CONT. POOH TO SURF., L/D 17"" B.BIT. REMOVE W.BUSHING, CHANGE RAMS, R/U CSG RUNNING EQUIP. & RUN 13-5/8"" CSG SHOE + 4 JT 13-5/8"" CSG + 13-5/8"" COLLAR + 1JT 13-5/8"" CSG TO 59.262M, CIRC. & CHECK SHOE & COLLAR ""OK"".","",-1877
"WellA",2019-11-20 00:00:00.000,1877,17.5,86," CONT. RIH CSG (TOTALLY 84 JTs 13-5/8""(88.2#) & 76 JTs 13-3/8""(72#)) F/ 59 TO 1877 M (BTM) WHILE FILL UP STRING EACH JTs & M/UP CENTRALIZER AS PROGRAM TILL M.N.","",-1877
"WellA",2019-11-21 00:00:00.000,1877,17.5,87," WAITING FOR NIDC CEMENT DEPT. WHILE SLOW CIRC MUD THROUGH CSG STRING W/ 0-1 BPH LOSS & CUT MW F/ 119 TO 117 PCF AS PROGRAM ( STEP BY STEP) TILL M.N.","",-1877
"WellA",2019-11-22 00:00:00.000,1877,17.5,88," CONT PREPARE CMT SOLUTION, PERFORM CSG CMT JOB, INSTALL CSG SLIPS & TEST IT. WORK ON N/D BOP STACK IN PROGRESS TILL M.N.","",-1877
"WellA",2019-11-23 00:00:00.000,1877,17.5,89," N/D 20-3/4"" BOP STACK, DRESS & BEVEL 13-3/8"" CSG NECK, INSTALL 20-3/4"", 3K * 13-5/8"", 5K DSA + 13 5/8"" * 13 5/8"", 5K C.H.S, N/UP 13 5/8""-10K BOP STACK IN PROGRESS TILL M.N.","",-1877
"WellA",2019-11-24 00:00:00.000,1877,17.5,90," N/UP 13 5/8""-10K BOP STACK & WORK ON REMOVE LEAKAGES TILL M.N.","",-1877
"WellA",2019-11-25 00:00:00.000,1877,17.5,91," WORK ON REMOVE 13 5/8""-10K BOP STACK LEAKAGES, TEST BOP STACK AS NIDC POLICY. L/D 6 JTs 9-3/4"" DC. P/U & M/U 12 1/4"" R.BIT#10 NEW TILL M.N.","",-1877
"WellA",2019-11-26 00:00:00.000,1877,17.5,92," RIH W/ 12 1/4"" R.BIT#10 NEW & 6 JTS 8-1/2"" DC NEW (JT BY JT) FOLLOW BY 99 JTS 5"" UBD DP (JT BY JT) TO 1000 M, POOH TO SURF., INSTALL ROTATING HEAD IN PROGRESS TILL M.N.","",-1877
"WellA",2019-11-27 00:00:00.000,1877,17.5,93," INSTALL ROTATING HEAD & TEST W/ 600 PSI ""OK"", RIH W/ 12 1/4"" R.BIT & BHA #17 TO 870M, MAKE 27 STD 5"" UBD DP, L/D 90 JTS 5"" DP. RIH W/ 12 1/4"" R.BIT & BHA #17 FOLLOW BY 5"" DP F/ 269 TO 650 M  TILL M.N.","",-1877
"WellA",2019-11-28 00:00:00.000,1877,17.5,94," CONT. RIH W/ 12 1/4"" R.BIT & BHA #17 FOLLOW BY 5"" DP F/ 650 TO 1790 M, TAG TOP OF CMT @ 1790 M (F.C @ 1829 M). D/OUT CMT F/ 1790 TO 1828 M, CIRC. BTM  S UP, SLOW CIRC. MUD TILL M.N.","",-1877
"WellA",2019-11-29 00:00:00.000,1877,17.5,95," CLIENT (NISOC) WAITING DUE TO CHANGE 12 1/4"" HOLE SECTION PROGRAM TILL M.N.","",-1877
"WellA",2019-11-30 00:00:00.000,1877,17.5,96," CLIENT (NISOC) WAITING DUE TO CHANGE 12 1/4"" HOLE SECTION PROGRAM TILL M.N.","",-1877
"WellA",2019-12-01 00:00:00.000,1877,17.5,97," CLIENT (NISOC) WAITING DUE TO CHANGE 12 1/4"" HOLE SECTION PROGRAM TILL M.N.","",-1877
"WellA",2019-12-02 00:00:00.000,1877,17.5,98," CLIENT (NISOC) WAITING DUE TO CHANGE 12 1/4"" HOLE SECTION PROGRAM TILL M.N.","",-1877
