ID_Segmento,SegmentStart,SegmentEnd,SegmentMode,SegmentCostPerUnit,Combinada2
"Segment0080","DC005","Customer007","Rail",2,"DC005 - Customer007 - Rail"
"Segment0081","DC002","Customer007","Road",9,"DC002 - Customer007 - Road"
"Segment0082","DC002","Customer007","Rail",2,"DC002 - Customer007 - Rail"
"Segment0083","DC004","Customer007","Road",7,"DC004 - Customer007 - Road"
"Segment0084","DC002","Customer005","Road",5,"DC002 - Customer005 - Road"
"Segment0085","DC005","Customer005","Road",8,"DC005 - Customer005 - Road"
"Segment0086","DC002","Customer005","Rail",10,"DC002 - Customer005 - Rail"
"Segment0087","DC004","Customer007","Rail",2,"DC004 - Customer007 - Rail"
"Segment0088","DC004","Customer006","Road",8,"DC004 - Customer006 - Road"
"Segment0089","Plant001","Customer001","Road",6,"Plant001 - Customer001 - Road"
"Segment0090","Plant002","Customer001","Rail",7,"Plant002 - Customer001 - Rail"
"Segment0091","Plant001","Customer001","Rail",5,"Plant001 - Customer001 - Rail"
"Segment0092","Plant002","Customer001","Road",1,"Plant002 - Customer001 - Road"
"Segment0093","Plant002","Customer002","Road",5,"Plant002 - Customer002 - Road"
"Segment0094","Plant003","Customer001","Rail",1,"Plant003 - Customer001 - Rail"
"Segment0096","Plant004","Customer002","Road",1,"Plant004 - Customer002 - Road"
"Segment0097","Plant001","Customer002","Road",7,"Plant001 - Customer002 - Road"
"Segment0098","Plant004","Customer001","Rail",7,"Plant004 - Customer001 - Rail"
"Segment00100","Plant004","Customer003","Road",9,"Plant004 - Customer003 - Road"
"Segment00103","Plant003","Customer003","Road",7,"Plant003 - Customer003 - Road"
"Segment00104","Plant002","Customer003","Road",6,"Plant002 - Customer003 - Road"
"Segment00105","Plant003","Customer002","Rail",7,"Plant003 - Customer002 - Rail"
"Segment00106","Plant001","Customer004","Road",1,"Plant001 - Customer004 - Road"
"Segment00107","Plant001","Customer002","Rail",1,"Plant001 - Customer002 - Rail"
"Segment00108","Plant001","Customer005","Road",10,"Plant001 - Customer005 - Road"
"Segment00110","Plant002","Customer006","Road",5,"Plant002 - Customer006 - Road"
"Segment00112","Plant001","Customer006","Road",9,"Plant001 - Customer006 - Road"
"Segment00113","Plant002","Customer002","Rail",10,"Plant002 - Customer002 - Rail"
"Segment00114","Plant001","Customer007","Road",2,"Plant001 - Customer007 - Road"
"Segment00116","Plant002","Customer007","Road",9,"Plant002 - Customer007 - Road"
"Segment00118","Plant003","Customer002","Road",9,"Plant003 - Customer002 - Road"
"Segment00119","Plant004","Customer002","Rail",7,"Plant004 - Customer002 - Rail"
"Segment00120","Plant001","Customer003","Road",7,"Plant001 - Customer003 - Road"
