Year,Month,AGID,Offense,Offense Code,Reported,Unfounded,Actual,Cleared,Juvenile Cleared,Uninhabited,Est Damage
2014,1,MU5226055,OMP-Other Mobile Property,OMP,0,0,0,0,0,0,0
2014,12,MU5645755,STR-Storage,STR,0,0,0,0,0,0,0
2014,1,MU5075455,MV-Motor Vehicles,MV,0,0,0,0,0,0,0
2014,11,MU5295055,NSC-Not Specified Classificati,NSC,0,0,0,0,0,0,0
2014,12,MU5945155,STR-Storage,STR,0,0,0,0,0,0,0
2014,5,MU5746955,COM-Other Commercial,COM,0,0,0,0,0,0,0
2014,6,MU5545755,OTH-Other,OTH,0,0,0,0,0,0,0
2014,12,MU5925655,IND-Industrial/Manufacturing,IND,0,0,0,0,0,0,0
2014,5,MU5155655,STR-Storage,STR,0,0,0,0,0,0,0
2014,12,MU5906755,NSM-Not Specified - Mobile,NSM,0,0,0,0,0,0,0
2014,8,MU5295555,NSS-Not Specified - Structure,NSS,0,0,0,0,0,0,0
2014,10,MU5785455,PUB-Community/Public,PUB,0,0,0,0,0,0,0
2014,7,MU5176755,IND-Industrial/Manufacturing,IND,0,0,0,0,0,0,0
2014,7,MU5685755,NSM-Not Specified - Mobile,NSM,0,0,0,0,0,0,0
2014,12,MU5525855,MV-Motor Vehicles,MV,0,0,0,0,0,0,0
2014,2,MU5526855,OR-Other Residential,OR,0,0,0,0,0,0,0
2014,10,MU5285555,IND-Industrial/Manufacturing,IND,0,0,0,0,0,0,0
2014,8,MU5585755,MV-Motor Vehicles,MV,0,0,0,0,0,0,0
2014,3,MU5615555,NSS-Not Specified - Structure,NSS,0,0,0,0,0,0,0
2014,2,MU5515055,OR-Other Residential,OR,0,0,0,0,0,0,0
2014,9,MU5736355,IND-Industrial/Manufacturing,IND,0,0,0,0,0,0,0
2014,4,MU5866855,NSC-Not Specified Classificati,NSC,0,0,0,0,0,0,0
2014,5,MU5866455,OST-All Other Structure,OST,0,0,0,0,0,0,0
