OrderNumber,ProductKey,SalespersonKey,Channel,Quantity,UnitPrice,Multiplication,OrderDate
1738746,158,265,Distributor,3,3.98,11.94,2019-11-13 00:00:00.000
1652578,1830,196,Retail,11,1.65,18.15,2019-08-20 00:00:00.000
2140301,1603,144,Online,24,7.22,173.28,2020-12-11 00:00:00.000
1842617,2445,215,Retail,24,1.91,45.84,2019-12-26 00:00:00.000
1601541,202,144,Online,48,1.75,84.0,2019-08-20 00:00:00.000
2023862,2445,326,Online,24,1.36,32.64,2020-08-07 00:00:00.000
2083753,1769,144,Online,12,3.93,47.16,2020-08-31 00:00:00.000
1999616,2445,285,Online,48,1.95,93.6,2020-06-23 00:00:00.000
1880161,527,215,Retail,6,5.33,31.98,2020-05-15 00:00:00.000
2106398,210,285,Online,30,1.17,35.099999999999994,2020-11-07 00:00:00.000
2018152,1830,265,Distributor,11,1.7,18.7,2020-09-28 00:00:00.000
2082762,1560,194,Distributor,4,2.67,10.68,2020-12-09 00:00:00.000
2117811,2524,326,Online,14,3.93,55.02,2020-11-19 00:00:00.000
2097802,1759,265,Distributor,18,1.48,26.64,2020-12-21 00:00:00.000
1501548,1421,125,Distributor,6,6.02,36.12,2019-04-13 00:00:00.000
1671455,2399,215,Retail,6,7.48,44.88,2019-10-24 00:00:00.000
1735974,384,265,Distributor,10,1.01,10.1,2019-09-19 00:00:00.000
2057445,1769,326,Online,12,3.65,43.8,2020-10-04 00:00:00.000
1496357,2173,196,Retail,1,18.08,18.08,2019-03-25 00:00:00.000
2153826,2473,144,Online,20,1.05,21.0,2020-11-10 00:00:00.000
1659744,2239,215,Retail,6,5.06,30.36,2019-07-17 00:00:00.000
1958505,2273,215,Retail,56,3.27,183.12,2020-06-26 00:00:00.000
1936135,1154,196,Retail,12,2.91,34.92,2020-07-13 00:00:00.000
1935612,2423,125,Distributor,13,1.61,20.93,2020-04-27 00:00:00.000
1809605,2491,125,Distributor,2,15.95,31.9,2020-03-07 00:00:00.000
1878651,839,144,Online,63,1.59,100.17,2020-05-30 00:00:00.000
1918521,321,144,Online,48,0.66,31.68,2020-05-06 00:00:00.000
2135341,2633,194,Distributor,4,5.78,23.12,2021-01-26 00:00:00.000
1771684,379,265,Distributor,12,2.2,26.4,2019-11-14 00:00:00.000
2110998,1135,326,Online,10,2.33,23.3,2020-11-14 00:00:00.000
1886896,2255,125,Distributor,72,0.41,29.52,2020-05-14 00:00:00.000
1792650,2272,265,Distributor,14,4.29,60.06,2020-02-22 00:00:00.000
2060789,662,215,Retail,24,9.25,222.0,2020-11-05 00:00:00.000
1720307,513,125,Distributor,18,1.87,33.660000000000004,2019-09-06 00:00:00.000
1809489,271,265,Distributor,10,1.91,19.1,2019-12-13 00:00:00.000
1765086,1722,215,Retail,26,0.76,19.76,2019-12-17 00:00:00.000
2005198,2023,285,Online,5,2.99,14.95,2020-09-30 00:00:00.000
1677984,238,144,Online,30,1.12,33.6,2019-09-26 00:00:00.000
1867348,2024,125,Distributor,20,3.02,60.4,2020-05-15 00:00:00.000
1753699,838,144,Online,63,1.55,97.65,2019-10-09 00:00:00.000
2091780,291,215,Retail,24,3.78,90.72,2020-10-25 00:00:00.000
1787980,2161,125,Distributor,11,1.74,19.14,2019-11-05 00:00:00.000
2007136,1154,326,Online,6,3.21,19.26,2020-08-21 00:00:00.000
1798551,2422,215,Retail,52,1.17,60.84,2019-12-08 00:00:00.000
1996020,839,215,Retail,9,1.72,15.48,2020-09-13 00:00:00.000
2021567,1170,125,Distributor,600,7.99,4794.0,2020-09-11 00:00:00.000
1863651,238,196,Retail,30,1.09,32.7,2020-04-30 00:00:00.000
1833295,2392,669,Retail,2,87.17,174.34,2020-03-17 00:00:00.000
1670975,2399,215,Retail,4,7.36,29.44,2019-08-12 00:00:00.000
2142043,668,326,Online,6,3.32,19.92,2021-01-26 00:00:00.000
2056474,2574,215,Retail,8,2.32,18.56,2020-11-08 00:00:00.000
1528195,318,125,Distributor,48,0.86,41.28,2019-05-15 00:00:00.000
2096943,2494,144,Online,40,3.95,158.0,2020-11-15 00:00:00.000
1773713,386,196,Retail,10,1.02,10.2,2019-12-08 00:00:00.000
2020208,1154,196,Retail,6,3.01,18.06,2020-09-06 00:00:00.000
2033006,1763,102,Retail,18,1.31,23.58,2020-08-16 00:00:00.000
1903103,2272,125,Distributor,14,4.04,56.56,2020-06-19 00:00:00.000
2004742,845,215,Retail,60,4.21,252.6,2020-06-22 00:00:00.000
2150828,406,669,Retail,1,152.21,152.21,2020-11-17 00:00:00.000
