Pedido,Data,ID Cliente,ID Produto,Quantidade,Preço Unitário,Total,Custo Unitário
"VA - 44162156",2020-11-27 00:00:00.000,156,26,7,1120.5,7843.5,463.22460000000007
"VA - 43671157",2019-07-25 00:00:00.000,157,26,7,6393.4000000000015,44753.8,3796.7292000000007
"VA - 43987157",2020-06-05 00:00:00.000,157,26,7,6393.4000000000015,44753.8,3796.7292000000007
"DT - 43394158",2018-10-21 00:00:00.000,158,26,7,256.2,1793.3999999999999,135.1926
"VA - 43795162",2019-11-26 00:00:00.000,162,26,7,2319.8,16238.600000000002,1752.5592000000001
"VA - 43801164",2019-12-02 00:00:00.000,164,26,7,1100.3999999999999,7702.7999999999993,494.46
"VA - 432412",2018-05-21 00:00:00.000,2,26,6,1087,6522,752.18220000000008
"DT - 437774",2019-11-08 00:00:00.000,4,26,6,3324.8,19948.800000000003,1674.8928000000003
"VA - 433605",2018-09-17 00:00:00.000,5,26,6,1053.5,6321,444.9537
"VA - 437677",2019-10-29 00:00:00.000,7,26,6,2011.6,12069.599999999999,1212.03
"EX - 4354314",2019-03-19 00:00:00.000,14,26,6,5736.8,34420.8,2322.7560000000003
"EX - 4383114",2020-01-01 00:00:00.000,14,26,6,5736.8,34420.8,2322.7560000000003
"DT - 4341519",2018-11-11 00:00:00.000,19,26,6,5113.7000000000007,30682.200000000004,2944.5696000000003
"EX - 4350020",2019-02-04 00:00:00.000,20,26,6,2607.9,15647.400000000001,1454.3154000000002
"EX - 4420720",2021-01-11 00:00:00.000,20,26,6,2607.9,15647.400000000001,1454.3154000000002
"DT - 4346223",2018-12-28 00:00:00.000,23,26,6,2520.8,15124.800000000001,1269.6768000000002
"DT - 4418130",2020-12-16 00:00:00.000,30,26,6,229.4,1376.4,145.5642
"DT - 4372235",2019-09-14 00:00:00.000,35,26,6,999.90000000000009,5999.4000000000015,700.80660000000012
"VA - 4316936",2018-03-10 00:00:00.000,36,26,6,1716.8,10300.8,694.65600000000006
"VA - 4345536",2018-12-21 00:00:00.000,36,26,6,1716.8,10300.8,694.65600000000006
"DT - 4388136",2020-02-20 00:00:00.000,36,26,6,1080.3,6481.7999999999993,553.37309999999991
"VA - 4388336",2020-02-22 00:00:00.000,36,26,6,1716.8,10300.8,694.65600000000006
"EX - 4376737",2019-10-29 00:00:00.000,37,26,6,175.8,1054.8000000000002,106.61040000000001
"DT - 4405041",2020-08-07 00:00:00.000,41,26,6,5582.7000000000007,33496.200000000004,3717.0126
"VA - 4337345",2018-09-30 00:00:00.000,45,26,6,6085.2000000000007,36511.200000000004,2682.8676
"DT - 4373449",2019-09-26 00:00:00.000,49,26,6,2520.8,15124.800000000001,1768.4784000000004
"VA - 4373256",2019-09-24 00:00:00.000,56,26,6,2393.5,14361,1033.3008000000002
"VA - 4382856",2019-12-29 00:00:00.000,56,26,6,2393.5,14361,1033.3008000000002
"VA - 4415256",2020-11-17 00:00:00.000,56,26,6,2393.5,14361,1033.3008000000002
"VA - 4440757",2021-07-30 00:00:00.000,57,26,6,1877.6,11265.599999999999,945.50400000000013
"DT - 4330663",2018-07-25 00:00:00.000,63,26,6,1140.6,6843.5999999999995,707.319
"DT - 4409366",2020-09-19 00:00:00.000,66,26,6,879.30000000000007,5275.8,552.951
"VA - 4401172",2020-06-29 00:00:00.000,72,26,6,2728.5,16371,1276.1892
"VA - 4425972",2021-03-04 00:00:00.000,72,26,6,2728.5,16371,1276.1892
"DT - 4451574",2021-11-15 00:00:00.000,74,26,6,3981.4,23888.4,2793.8196000000003
"DT - 4388177",2020-02-20 00:00:00.000,77,26,6,6366.6,38199.600000000006,4525.515
"DT - 4452977",2021-11-29 00:00:00.000,77,26,6,6366.6,38199.600000000006,4525.515
"DT - 4371686",2019-09-08 00:00:00.000,86,26,6,1723.5,10341,1239.7680000000003
"DT - 4422888",2021-02-01 00:00:00.000,88,26,6,3619.6,21717.6,2246.778
"DT - 4345794",2018-12-23 00:00:00.000,94,26,6,256.2,1537.1999999999998,158.1066
"EX - 4374294",2019-10-04 00:00:00.000,94,26,6,3472.2,20833.199999999997,1405.593
"EX - 4407594",2020-09-01 00:00:00.000,94,26,6,3472.2,20833.199999999997,1405.593
"VA - 4345596",2018-12-21 00:00:00.000,96,26,6,1160.7,6964.2000000000007,824.12010000000021
"VA - 4360596",2019-05-20 00:00:00.000,96,26,6,1160.7,6964.2000000000007,824.12010000000021
"VA - 4366496",2019-07-18 00:00:00.000,96,26,6,1160.7,6964.2000000000007,824.12010000000021
"VA - 4339698",2018-10-23 00:00:00.000,98,26,6,3894.3,23365.800000000003,2487.4353
"VA - 4404998",2020-08-06 00:00:00.000,98,26,6,3894.3,23365.800000000003,2487.4353
"VA - 44318101",2021-05-02 00:00:00.000,101,26,6,2246.1,13476.599999999999,949.4235
"DT - 43110113",2018-01-10 00:00:00.000,113,26,6,1006.6,6039.6,542.7
"DT - 44032113",2020-07-20 00:00:00.000,113,26,6,1006.6,6039.6,542.7
"DT - 43437116",2018-12-03 00:00:00.000,116,26,6,1757,10542,679.3398
"DT - 43882116",2020-02-21 00:00:00.000,116,26,6,1757,10542,679.3398
"VA - 43986119",2020-06-04 00:00:00.000,119,26,6,1060.2,6361.2000000000007,514.47960000000012
"VA - 44157123",2020-11-22 00:00:00.000,123,26,6,175.8,1054.8000000000002,131.6952
"VA - 44301123",2021-04-15 00:00:00.000,123,26,6,175.8,1054.8000000000002,131.6952
"VA - 43647124",2019-07-01 00:00:00.000,124,26,6,1120.5,6723,443.0844
"VA - 43968124",2020-05-17 00:00:00.000,124,26,6,1120.5,6723,443.0844
"VA - 44114124",2020-10-10 00:00:00.000,124,26,6,1120.5,6723,443.0844
"DT - 43659125",2019-07-13 00:00:00.000,125,26,6,1334.8999999999999,8009.4,887.9778
"DT - 44054125",2020-08-11 00:00:00.000,125,26,6,1334.8999999999999,8009.4,887.9778
"DT - 44281125",2021-03-26 00:00:00.000,125,26,6,1334.8999999999999,8009.4,887.9778
"VA - 43833128",2020-01-03 00:00:00.000,128,26,6,5133.8,30802.800000000003,2632.8186
"VA - 44376128",2021-06-29 00:00:00.000,128,26,6,5133.8,30802.800000000003,2632.8186
"VA - 43210135",2018-04-20 00:00:00.000,135,26,6,1924.5,11547,1090.2843000000003
"VA - 43372135",2018-09-29 00:00:00.000,135,26,6,1924.5,11547,1090.2843000000003
"VA - 43632141",2019-06-16 00:00:00.000,141,26,6,2480.6,14883.599999999999,937.06200000000013
"VA - 44163141",2020-11-28 00:00:00.000,141,26,6,2480.6,14883.599999999999,937.06200000000013
"VA - 44342142",2021-05-26 00:00:00.000,142,26,6,1234.3999999999999,7406.4,454.90319999999997
"VA - 43459146",2018-12-25 00:00:00.000,146,26,6,3860.8,23164.800000000003,2396.5632
"VA - 43928154",2020-04-07 00:00:00.000,154,26,6,5763.6,34581.600000000006,3163.3379999999997
"VA - 44047168",2020-08-04 00:00:00.000,168,26,6,685,4110,344.4336
"VA - 44229168",2021-02-02 00:00:00.000,168,26,6,1053.5,6321,407.0853
"VA - 43950170",2020-04-29 00:00:00.000,170,26,6,1107.1,6642.5999999999995,507.42450000000008
"VA - 433664",2018-09-23 00:00:00.000,4,26,11,859.2,9451.2,447.6672
"VA - 439654",2020-05-14 00:00:00.000,4,26,11,859.2,9451.2,447.6672
"VA - 444274",2021-08-19 00:00:00.000,4,26,11,859.2,9451.2,447.6672
"VA - 4431817",2021-05-02 00:00:00.000,17,26,11,1026.7,11293.7,507.42450000000019
"VA - 4450417",2021-11-04 00:00:00.000,17,26,11,1026.7,11293.7,507.42450000000019
"DT - 4319920",2018-04-09 00:00:00.000,20,26,11,2540.9,27949.9,1348.3683
"DT - 4375420",2019-10-16 00:00:00.000,20,26,11,2540.9,27949.9,1348.3683
"VA - 4409124",2020-09-17 00:00:00.000,24,26,11,3874.2,42616.2,2091.204
"VA - 4455724",2021-12-27 00:00:00.000,24,26,11,3874.2,42616.2,2091.204
"VA - 4351825",2019-02-22 00:00:00.000,25,26,11,256.2,2818.2,178.7292
"VA - 4420125",2021-01-05 00:00:00.000,25,26,11,256.2,2818.2,178.7292
"EX - 4399729",2020-06-15 00:00:00.000,29,26,11,3927.8,43205.8,2544.1776
"VA - 4338030",2018-10-07 00:00:00.000,30,26,11,986.5,10851.5,620.487
"VA - 4403031",2020-07-18 00:00:00.000,31,26,11,5830.6,64136.600000000006,3357.504
"VA - 4364841",2019-07-02 00:00:00.000,41,26,11,6024.9000000000015,66273.900000000009,4065.7275000000004
"DT - 4313850",2018-02-07 00:00:00.000,50,26,11,1750.3,19253.3,1211.8491000000001
"DT - 4366658",2019-07-20 00:00:00.000,58,26,11,3887.6,42763.6,2623.05
"DT - 4379858",2019-11-29 00:00:00.000,58,26,11,3887.6,42763.6,2623.05
"EX - 4322661",2018-05-06 00:00:00.000,61,26,11,2681.6,29497.6,1616.0400000000002
"EX - 4313265",2018-02-01 00:00:00.000,65,26,11,249.5,2744.5,169.5636
"EX - 4348565",2019-01-20 00:00:00.000,65,26,11,249.5,2744.5,169.5636
"VA - 4346666",2019-01-01 00:00:00.000,66,26,11,5877.5000000000009,64652.500000000007,3860.4663
"VA - 4383566",2020-01-05 00:00:00.000,66,26,11,5877.5000000000009,64652.500000000007,3860.4663
"VA - 4402666",2020-07-14 00:00:00.000,66,26,11,5877.5000000000009,64652.500000000007,3860.4663
"VA - 4330071",2018-07-19 00:00:00.000,71,26,11,3820.6,42026.6,2818.422
"DT - 4345174",2018-12-17 00:00:00.000,74,26,11,3391.8,37309.8,1800.1962
"VA - 4354874",2019-03-24 00:00:00.000,74,26,11,236.1,2597.1,113.96700000000001
"VA - 4423474",2021-02-07 00:00:00.000,74,26,11,236.1,2597.1,113.96700000000001
"DT - 4423574",2021-02-08 00:00:00.000,74,26,11,3391.8,37309.8,1800.1962
"VA - 4346678",2019-01-01 00:00:00.000,78,26,11,1087,11957,771.71940000000018
"VA - 4342087",2018-11-16 00:00:00.000,87,26,11,912.80000000000007,10040.800000000001,369.036
"DT - 4378591",2019-11-16 00:00:00.000,91,26,11,1797.2,19769.2,953.4636
"DT - 4397591",2020-05-24 00:00:00.000,91,26,11,1797.2,19769.2,953.4636
"EX - 4452491",2021-11-24 00:00:00.000,91,26,11,1803.8999999999999,19842.899999999998,746.1522
"VA - 4358792",2019-05-02 00:00:00.000,92,26,11,1127.2,12399.2,648.3456000000001
"VA - 4389793",2020-03-07 00:00:00.000,93,26,11,3927.8,43205.8,2332.1628000000005
"VA - 4404593",2020-08-02 00:00:00.000,93,26,11,3927.8,43205.8,2332.1628000000005
"EX - 4319898",2018-04-08 00:00:00.000,98,26,11,1087,11957,722.8764
"EX - 4334599",2018-09-02 00:00:00.000,99,26,11,3827.3,42100.3,1583.8398000000002
"EX - 4364399",2019-06-27 00:00:00.000,99,26,11,3827.3,42100.3,1583.8398000000002
"EX - 4408099",2020-09-06 00:00:00.000,99,26,11,3827.3,42100.3,1583.8398000000002
"VA - 4430899",2021-04-22 00:00:00.000,99,26,11,1730.2,19032.2,1042.3458000000003
"EX - 4455199",2021-12-21 00:00:00.000,99,26,11,3827.3,42100.3,1583.8398000000002
"EX - 43128102",2018-01-28 00:00:00.000,102,26,11,993.2,10925.2,517.6152
"DT - 44195107",2020-12-30 00:00:00.000,107,26,11,3988.1,43869.1,2439.7380000000003
"DT - 44388108",2021-07-11 00:00:00.000,108,26,11,1790.5,19695.5,1094.8068000000003
"DT - 43600109",2019-05-15 00:00:00.000,109,26,11,189.2,2081.2,84.42
"DT - 44542109",2021-12-12 00:00:00.000,109,26,11,189.2,2081.2,67.536
"DT - 43462115",2018-12-28 00:00:00.000,115,26,11,993.2,10925.2,490.8420000000001
"VA - 44384122",2021-07-07 00:00:00.000,122,26,11,236.1,2597.1,122.40899999999999
"EX - 43807131",2019-12-08 00:00:00.000,131,26,11,222.7,2449.7,101.4849
"VA - 43596134",2019-05-11 00:00:00.000,134,26,11,6313.0000000000009,69443.000000000015,4487.4054000000006
"VA - 43590147",2019-05-05 00:00:00.000,147,26,11,959.7,10556.7,422.5221
"VA - 43709147",2019-09-01 00:00:00.000,147,26,11,959.7,10556.7,422.5221
"DT - 43741149",2019-10-03 00:00:00.000,149,26,11,953,10483,607.94459999999992
"DT - 43754149",2019-10-16 00:00:00.000,149,26,11,953,10483,607.94459999999992
"DT - 43677152",2019-07-31 00:00:00.000,152,26,11,3867.5,42542.5,1426.5171
"DT - 44059153",2020-08-16 00:00:00.000,153,26,11,1267.8999999999999,13946.899999999998,888.9426
"DT - 43831154",2020-01-01 00:00:00.000,154,26,11,1723.5,18958.5,697.3695
"EX - 44116154",2020-10-12 00:00:00.000,154,26,11,3894.3,42837.3,1961.9208000000003
"DT - 43446158",2018-12-12 00:00:00.000,158,26,11,1984.8,21832.8,1070.928
"DT - 43937158",2020-04-16 00:00:00.000,158,26,11,1984.8,21832.8,1070.928
"DT - 44287165",2021-04-01 00:00:00.000,165,26,11,1736.8999999999999,19105.899999999998,858.97350000000006
"VA - 43565167",2019-04-10 00:00:00.000,167,26,11,256.2,2818.2,93.9474
"VA - 43602167",2019-05-17 00:00:00.000,167,26,11,256.2,2818.2,93.9474
"EX - 44055169",2020-08-12 00:00:00.000,169,26,11,3968,43648,2498.832
"VA - 44281172",2021-03-26 00:00:00.000,172,26,11,2634.7,28981.699999999997,1042.7076000000002
"VA - 44088175",2020-09-14 00:00:00.000,175,26,11,1107.1,12178.099999999999,447.7275
"VA - 432192",2018-04-29 00:00:00.000,2,26,8,2648.1,21184.8,1262.3805
"VA - 435512",2019-03-27 00:00:00.000,2,26,8,2648.1,21184.8,1262.3805
"VA - 443202",2021-05-04 00:00:00.000,2,26,9,3934.5,35410.5,2513.1231
"VA - 444372",2021-08-29 00:00:00.000,2,26,8,2648.1,21184.8,1262.3805
"VA - 433356",2018-08-23 00:00:00.000,6,26,8,2621.3,20970.4,1626.8337000000001
"VA - 444086",2021-07-31 00:00:00.000,6,26,8,2621.3,20970.4,1626.8337000000001
"VA - 432007",2018-04-10 00:00:00.000,7,26,12,242.8,2913.6000000000004,145.4436
"VA - 439167",2020-03-26 00:00:00.000,7,26,8,1066.8999999999999,8535.1999999999989,709.48980000000006
"VA - 440777",2020-09-03 00:00:00.000,7,26,8,1066.8999999999999,8535.1999999999989,709.48980000000006
