PK_SalesOrder,variable,value
14544,CreditCardApprovalCode,26861Vi69778
109600,CreditCardApprovalCode,1224535Vi32333
32934,CreditCardApprovalCode,48357Vi79183
108224,CreditCardApprovalCode,724281Vi16225
21069,CreditCardApprovalCode,66357Vi58190
99118,CreditCardApprovalCode,1220430Vi25111
112565,CreditCardApprovalCode,97023Vi29675
17773,CreditCardApprovalCode,98590Vi51811
106622,CreditCardApprovalCode,528000Vi2270
93654,CreditCardApprovalCode,1021966Vi92435
91420,CreditCardApprovalCode,
75067,CreditCardApprovalCode,124843Vi50250
93986,CreditCardApprovalCode,324106Vi1881
45083,CreditCardApprovalCode,239638Vi93190
109348,CreditCardApprovalCode,243449Vi24209
40325,CreditCardApprovalCode,96252Vi53599
45793,CreditCardApprovalCode,840598Vi77845
15122,CreditCardApprovalCode,48282Vi68229
81866,CreditCardApprovalCode,115269Vi83774
19789,CreditCardApprovalCode,
115056,CreditCardApprovalCode,236581Vi42559
34659,CreditCardApprovalCode,117773Vi49012
115248,CreditCardApprovalCode,636262Vi40044
104800,CreditCardApprovalCode,87960Vi89711
23128,CreditCardApprovalCode,26261Vi91102
20083,CreditCardApprovalCode,105277Vi20078
33669,CreditCardApprovalCode,45235Vi31551
36981,CreditCardApprovalCode,117626Vi89887
71917,CreditCardApprovalCode,1040518Vi31663
96007,CreditCardApprovalCode,126367Vi34642
26940,CreditCardApprovalCode,28085Vi49638
57882,CreditCardApprovalCode,628076Vi90762
28830,CreditCardApprovalCode,98420Vi29675
34181,CreditCardApprovalCode,26441Vi19267
104355,CreditCardApprovalCode,57089Vi38263
16619,CreditCardApprovalCode,45922Vi99543
4863,CreditCardApprovalCode,38640Vi92926
110135,CreditCardApprovalCode,337648Vi50944
62035,CreditCardApprovalCode,57399Vi75492
19854,CreditCardApprovalCode,1035750Vi74722
47998,CreditCardApprovalCode,76245Vi33948
113115,CreditCardApprovalCode,47124Vi258
95396,CreditCardApprovalCode,75470Vi9665
7929,CreditCardApprovalCode,126440Vi52413
117133,CreditCardApprovalCode,227445Vi68656
53642,CreditCardApprovalCode,927546Vi49769
52744,CreditCardApprovalCode,822092Vi8464
116037,CreditCardApprovalCode,639120Vi83612
80336,CreditCardApprovalCode,238299Vi33495
54669,CreditCardApprovalCode,35939Vi19824
53698,CreditCardApprovalCode,317705Vi33201
45813,CreditCardApprovalCode,517156Vi9265
51533,CreditCardApprovalCode,720628Vi73456
114662,CreditCardApprovalCode,436035Vi77187
54635,CreditCardApprovalCode,125818Vi75379
83849,CreditCardApprovalCode,1125746Vi77948
96004,CreditCardApprovalCode,126367Vi34642
12326,CreditCardApprovalCode,108755Vi92831
50563,CreditCardApprovalCode,728619Vi85851
115829,CreditCardApprovalCode,740970Vi22356
94600,CreditCardApprovalCode,924345Vi76850
3704,CreditCardApprovalCode,128314Vi52839
94255,CreditCardApprovalCode,1243574Vi3167
118679,CreditCardApprovalCode,329737Vi77142
19746,CreditCardApprovalCode,732647Vi77697
102378,CreditCardApprovalCode,85455Vi82470
43979,CreditCardApprovalCode,
6521,CreditCardApprovalCode,108500Vi62954
84619,CreditCardApprovalCode,243131Vi63172
121298,CreditCardApprovalCode,928953Vi94119
102280,CreditCardApprovalCode,125236Vi32625
86588,CreditCardApprovalCode,1129198Vi38061
82934,CreditCardApprovalCode,57237Vi38263
811,CreditCardApprovalCode,116188Vi1051
98430,CreditCardApprovalCode,137472Vi56821
120060,CreditCardApprovalCode,729295Vi86920
42665,CreditCardApprovalCode,27934Vi36111
111389,CreditCardApprovalCode,15845Vi18487
120590,CreditCardApprovalCode,1117720Vi55940
116560,CreditCardApprovalCode,1124333Vi55459
20336,CreditCardApprovalCode,45558Vi94762
6821,CreditCardApprovalCode,45232Vi31551
59329,CreditCardApprovalCode,437168Vi52285
54003,CreditCardApprovalCode,728892Vi17227
85751,CreditCardApprovalCode,1020297Vi75039
46489,CreditCardApprovalCode,1016029Vi87083
114254,CreditCardApprovalCode,1128909Vi82695
