atributo,nome_servico,nome_campo,tipo_campo,cod_campo,contexto,tipo_metrica,unidade,Column9
"abrigoParaMulheresEmSituacaoDeViolenciaMulheresEmSituacaoDeDeViolencia-instrumentaisMetodologicosAUnidadeUtilizaPlanoIndividualDeAtendimentoPIA","Abrigo para Mulheres em Situação de Violência - Mulheres em Situacao De Violência","Instrumentais Metodológicos - A Unidade Utiliza Plano Individual de Atendimento - PIA","binary","AMV-1",1,"1","Abrigos",""
"abrigoParaMulheresEmSituacaoDeViolenciaMulheresEmSituacaoDeDeViolencia-quantidadeDeUnidadesNoMunicipio","Abrigo para Mulheres em Situação de Violência - Mulheres em Situacao De Violência","Unidades No Município","numeric","AMV-8",1,"2","Abrigos",""
"abrigoTemporarioCestasBasicasColchoesProgramasDeTransferenciaDeRendasChuvasAlagamentosPandemiasEpidemias-decretouASituacaoDeEmergeciaOuCalamidadePublicaPorMeioDeLeiMunicipal","abrigo Temporario/Cestas Basicas/Colchoes/Programas De Transferencia De Rendas - Chuvas/Alagamentos/Pandemias Epidemias","Decretou a Situação de Emergencia ou Calamidade Pública por meio de Lei Municipal","binary","ATC-1",1,"1","Abrigos",""
"abrigoTemporarioCestasBasicasColchoesProgramasDeTransferenciaDeRendasChuvasAlagamentosPandemiasEpidemias-oMunicipioJaRealizouAOfertaDesteServico","abrigo Temporario/Cestas Basicas/Colchoes/Programas De Transferencia De Rendas - Chuvas/Alagamentos/Pandemias Epidemias","Realizou a Oferta deste Serviço","binary","ATC-2",1,"1","Abrigos",""
"aConcessaoDosBeneficiosEventuaisEstaRegulamentada","Benefícios eventuais","Concessão dos Benefícios Eventuais está Regulamentada","binary","BE-1",1,"1","",""
"aEquipeTecnicaDoPAIFUtilizaOProntuarioSUAS","Serviço de Proteção e Atendimento Integral a Família - PAIF","aEquipeTecnicaDoPAIFUtilizaOProntuarioSUAS","binary","PAI-1",1,"1","<classificar>",""
"casasLaresCriancasAdolescentes0A17Anos-instrumentaisMetodologicosAUnidadeUtilizaPlanoIndividualDeAtendimentoPIA","Casas Lares Criancas/Adolescentes (0 a 17 Anos)","Instrumentais Metodológicos - A Unidade Utiliza Plano Individual de Atendimento - PIA","binary","CLC-1",1,"1","<classificar>",""
"casasLaresCriancasAdolescentes0A17Anos-quantidadeDeUnidadesDeNaturezaGovernamental","Casas Lares Criancas/Adolescentes (0 a 17 Anos)","Unidades De Natureza Governamental","numeric","CLC-8",1,"2","Unidades",""
"casasLaresCriancasAdolescentes0A17Anos-quantidadeDeUnidadesDeNaturezaOrganizacaoDaSociedadeCivil","Casas Lares Criancas/Adolescentes (0 a 17 Anos)","Unidades de Natureza Organizacao Da Sociedade Civil","numeric","CLC-9",1,"2","Unidades",""
"casasLaresCriancasAdolescentes0A17Anos-quantidadeDeUnidadesDeNaturezaPrivado","Casas Lares Criancas/Adolescentes (0 a 17 Anos)","Unidades de Natureza Privada","numeric","CLC-10",1,"2","Unidades",""
"casasLaresCriancasAdolescentes0A17Anos-quantidadeDeUnidadesNoMunicipio","Casas Lares Criancas/Adolescentes (0 a 17 Anos)","Unidades No Município","numeric","CLC-11",1,"2","Unidades",""
"casasLaresIdosos-instrumentaisMetodologicosAUnidadeUtilizaPlanoIndividualDeAtendimentoPIA","Casas Lares - Idosos","Instrumentais Metodológicos - A Unidade Utiliza Plano Individual de Atendimento - PIA","numeric","CL-1",1,"2","<classificar>",""
"casasLaresIdosos-quantidadeDeUnidadesDeNaturezaGovernamental","Casas Lares - Idosos","Unidades De Natureza Governamental","numeric","CL-8",1,"2","Unidades",""
"casasLaresIdosos-quantidadeDeUnidadesDeNaturezaOrganizacaoDaSociedadeCivil","Casas Lares - Idosos","Unidades de Natureza Organizacao Da Sociedade Civil","numeric","CL-9",1,"2","Unidades",""
"casasLaresIdosos-quantidadeDeUnidadesDeNaturezaPrivado","Casas Lares - Idosos","Unidades de Natureza Privada","numeric","CL-10",1,"2","Unidades",""
"casasLaresIdosos-quantidadeDeUnidadesNoMunicipio","Casas Lares - Idosos","Unidades No Município","numeric","CL-11",1,"2","Unidades",""
"diagnosticoSocioterritorial-possui","Instrumentos de Gestão","Diagnóstico Socioterritorial","binary","IG-4",1,"1","<classificar>",""
"instituicaoDeLongaPermanenciaParaIdososILPIsIdosos-instrumentaisMetodologicosAUnidadeUtilizaPlanoIndividualDeAtendimentoPIA","Instituicao de Longa Permanência para Idosos (ILPIs) - Idosos","Instrumentais Metodológicos - A Unidade Utiliza Plano Individual de Atendimento - PIA","binary","IPI-1",1,"1","<classificar>",""
"instituicaoDeLongaPermanenciaParaIdososILPIsIdosos-quantidadeDeUnidadesDeNaturezaOrganizacaoDaSociedadeCivil","Instituicao de Longa Permanência para Idosos (ILPIs) - Idosos","Unidades de Natureza Organizacao Da Sociedade Civil","numeric","IPI-9",1,"2","Unidades",""
"instituicaoDeLongaPermanenciaParaIdososILPIsIdosos-quantidadeDeUnidadesDeNaturezaPrivado","Instituicao de Longa Permanência para Idosos (ILPIs) - Idosos","Unidades de Natureza Privada","numeric","IPI-10",1,"2","Unidades",""
"instituicaoDeLongaPermanenciaParaIdososILPIsIdosos-quantidadeDeUnidadesNoMunicipio","Instituicao de Longa Permanência para Idosos (ILPIs) - Idosos","Unidades No Município","numeric","IPI-11",1,"2","Unidades",""
"LeideRegulamentacaodoSUAS-possui","Instrumentos de Gestão","Lei de Regulamentação do SUAS","binary","IG-1",1,"1","<classificar>",""
"numeroDeFamiliasAcompanhadasCujoResponsavelFamiliaSejaMulher","Serviço de Proteção e Atendimento Integral a Família - PAIF","Famílias Acompanhadas cujo Responsável da Família seja Mulher","numeric","PAI-2",1,"2","Famílias",""
"numeroDeFamiliasAcompanhadasNoTotal","Serviço de Proteção e Atendimento Integral a Família - PAIF","Famílias Acompanhadas no Total","numeric","PAI-3",1,"2","Famílias",""
"numeroDeFamiliasAcompanhadasPeloPAIFComConcessaoDeBeneficioEventual","Serviço de Proteção e Atendimento Integral a Família - PAIF","Famílias Acompanhadas pelo PAIF Com Concessão De Benefício Eventual","numeric","PAI-4",1,"2","Famílias",""
"numeroDeFamiliasAtendidasDePovosEComunidadesTradicionais-ciganos","Famílias Atendidas de Povos e Comunidades Tradicionais","Ciganos","numeric","FAC-1",1,"2","Famílias",""
"numeroDeFamiliasAtendidasDePovosEComunidadesTradicionais-comunidadesDeMatrizAfrinacana","Famílias Atendidas de Povos e Comunidades Tradicionais","Comunidades de Matriz Africana","numeric","FAC-2",1,"2","Famílias",""
"numeroDeFamiliasAtendidasDePovosEComunidadesTradicionais-extrativistas","Famílias Atendidas de Povos e Comunidades Tradicionais","Extrativistas","numeric","FAC-3",1,"2","Famílias",""
"numeroDeFamiliasAtendidasDePovosEComunidadesTradicionais-quilombolas","Famílias Atendidas de Povos e Comunidades Tradicionais","Quilombolas","numeric","FAC-4",1,"2","Famílias",""
"numeroDeFamiliasAtendidasDePovosEComunidadesTradicionais-rIbeirinhos","Famílias Atendidas de Povos e Comunidades Tradicionais","Ribeirinhos","numeric","FAC-5",1,"2","Famílias",""
"numeroDeFamiliasAtendidasPeloCRASQueEstaoInseridasNoCadastroUnico","Serviço de Proteção e Atendimento Integral a Família - PAIF","Famílias Atendidas pelo CRAS que estão Inseridas no Cadastro Único","numeric","PAI-5",1,"2","Famílias",""
"oMunicipioDesenvolveQuaisAcoesDeVigilanciaSocioassistencial-analisa_dados_levantados","Ações de Vigilância Socioassistencial","Analisa dados levantados","binary","VS-1",1,"1","<classificar>",""
"oMunicipioDesenvolveQuaisAcoesDeVigilanciaSocioassistencial-dissemina_dados_e/ou_relatorios","Ações de Vigilância Socioassistencial","Dissemina dados e/ou relatórios","binary","VS-2",1,"1","<classificar>",""
"oMunicipioDesenvolveQuaisAcoesDeVigilanciaSocioassistencial-levanta_dados_no_territorio_equipamento_da_pas","Ações de Vigilância Socioassistencial","Levanta dados no território/equipamento da PAS","binary","VS-3",1,"1","<classificar>",""
"oMunicipioDesenvolveQuaisAcoesDeVigilanciaSocioassistencial-realiza_diagnostico_socioterritorial","Ações de Vigilância Socioassistencial","Realiza diagnóstico socioterritorial","binary","VS-4",1,"1","<classificar>",""
"oMunicipioDesenvolveQuaisAcoesDeVigilanciaSocioassistencial-realiza_monitoramento_sistematico_dos_servicos_socioassistenciais","Ações de Vigilância Socioassistencial","Realiza monitoramento sistemático dos serviços socioassistenciais","binary","VS-5",1,"1","<classificar>",""
"oMunicipioDesenvolveQuaisAcoesDeVigilanciaSocioassistencial-realiza_reunioes_com_as_equipes_responsaveis_pela_execucao_dos_servicos_socioassistenciais","Ações de Vigilância Socioassistencial","Realiza reuniões com as equipes responsáveis pela execução dos serviços socioassistenciais","binary","VS-6",1,"1","<classificar>",""
"oMunicipioDesenvolveQuaisAcoesDeVigilanciaSocioassistencial-sistematiza_dados_e_produz_relatorios","Ações de Vigilância Socioassistencial","Sistematiza dados e produz relatórios","binary","VS-7",1,"1","<classificar>",""
"oMunicipioDispoeDeComiteGestorIntersetorialDoPrimeiraInfanciaNoSUASProgramaCriancaFelizInstituido","Programa Primeira Infância no SUAS / Programa Criança Feliz - PCF","Município Dispõe de Comitê Gestor Intersetorial do Primeira Infância no SUAS - Programa Criança Feliz Instituido","binary","CF-6",1,"2","<classificar>","verificar serviço e campo"
"oMunicipioDispoeDePlanoMunicipalDePromocaoEDefesaDoDireitoAConvivenciaFamiliarEComunitariaDeCriancasEAdolescentes","Programa Primeira Infância no SUAS / Programa Criança Feliz - PCF","Municipio Dispõe De Plano Municipal de Promoção e Defesa do Direito a Convivência Familiar e Comunitária de Crianças e Adolescentes","binary","CF-6",1,"2","<classificar>","verificar serviço e campo"
"oMunicipioDispoeDePlanoMunicipalPelaPrimeiraInfancia","Programa Primeira Infância no SUAS / Programa Criança Feliz - PCF","Município Dispõe de Plano Municipal pela Primeira Infância","binary","CF-6",1,"2","<classificar>","verificar serviço e campo"
"oProgramaPrimeiraInfanciaNoSUASProgramaCriancaFelizPromoveAcoesDeInterlocucaoComOProgramaBPCNaEscola","Programa Primeira Infância no SUAS / Programa Criança Feliz - PCF","Programa Primeira Infância no SUAS - Programa Criança Feliz Promove Ações de Interlocução com o Programa BPC na Escola","numeric","CF-6",1,"2","<classificar>",""
"oServicoDeProtecaoSocialBasicaNoDomicilioNoMunicipioPossuiEquipeExclusiva","Serviço de Proteção Social Básica no Domicilio para Pessoas com Deficiências e Idosas","Serviço de Proteção Social Básica no Domicílio no Município possui Equipe Exclusiva","binary","DF-4",1,"1","<classificar>",""
"planoDecenalDeAssistenciaSocial-possui","Instrumentos de Gestão","Plano Decenal de Assistência Social","binary","IG-5",1,"1","<classificar>",""
"planoMunicipalDeAssistenciaSocial-possui","Instrumentos de Gestão","Plano Municipal de Assistência Social","binary","IG-6",1,"1","<classificar>",""
"PlanoMunicipaldeEducacaoPermanentedoSUAS-possui","Instrumentos de Gestão","Plano Municipal de Educação Permanente do SUAS","binary","IG-2",1,"1","<classificar>",""
"quaisAreasEssenciaisDoSUASEstaoImplantadosOficialmente-gestao_do_suas","Áreas Essenciais do SUAS Implantadas","Gestão do SUAS","binary","AE-1",1,"1","<classificar>",""
"quaisAreasEssenciaisDoSUASEstaoImplantadosOficialmente-gestao_do_trabalho","Áreas Essenciais do SUAS Implantadas","Gestão do Trabalho","binary","AE-2",1,"1","<classificar>",""
"quaisAreasEssenciaisDoSUASEstaoImplantadosOficialmente-protecao_social_basica","Áreas Essenciais do SUAS Implantadas","Proteção Social Básica","binary","AE-3",1,"1","<classificar>",""
"quaisAreasEssenciaisDoSUASEstaoImplantadosOficialmente-protecao_social_especial","Áreas Essenciais do SUAS Implantadas","Proteção Social Especial","binary","AE-4",1,"1","<classificar>",""
"quantidadeDeEncaminhamentosAsDemaisPoliticasPublicas","Programa Primeira Infância no SUAS / Programa Criança Feliz - PCF","Encaminhamentos às demais Políticas Públicas","numeric","CF-4",1,"2","<classificar>",""
"quantidadeDeEncaminhamentosParaAosDemaisServicosDaRedeSocioassistencial","Programa Primeira Infância no SUAS / Programa Criança Feliz - PCF","Encaminhamentos para os demais Serviços da Rede Socioassistencial","numeric","CF-3",1,"2","<classificar>",""
