Type,Component,Year,2018-01-01 00:00:00.000,2018-02-01 00:00:00.000,2018-03-01 00:00:00.000,2018-04-01 00:00:00.000,2018-05-01 00:00:00.000,2018-06-01 00:00:00.000,2018-07-01 00:00:00.000,2018-08-01 00:00:00.000,2018-09-01 00:00:00.000,2018-10-01 00:00:00.000,2018-11-01 00:00:00.000,2018-12-01 00:00:00.000,2019-01-01 00:00:00.000,2019-02-01 00:00:00.000,2019-03-01 00:00:00.000,2019-04-01 00:00:00.000,2019-05-01 00:00:00.000,2019-06-01 00:00:00.000,2019-07-01 00:00:00.000,2019-08-01 00:00:00.000,2019-09-01 00:00:00.000,2019-10-01 00:00:00.000,2019-11-01 00:00:00.000,2019-12-01 00:00:00.000,2020-01-01 00:00:00.000,2020-02-01 00:00:00.000,2020-03-01 00:00:00.000,2020-04-01 00:00:00.000,2020-05-01 00:00:00.000,2020-06-01 00:00:00.000,2020-07-01 00:00:00.000,2020-08-01 00:00:00.000,2020-09-01 00:00:00.000,2020-10-01 00:00:00.000,2020-11-01 00:00:00.000,2020-12-01 00:00:00.000,2021-01-01 00:00:00.000
Expense,Health,2020,,,,,,,,,,,,,,,,,,,,,,,,,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,4000,
Expense,Health,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000
Expense,House Rent,2018,10000,10000,10000,10000,10000,10000,12000,12000,12000,12000,12000,12000,,,,,,,,,,,,,,,,,,,,,,,,,
Expense,House Rent,2019,,,,,,,,,,,,,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,15000,15000,,,,,,,,,,,,,
Expense,House Rent,2020,,,,,,,,,,,,,,,,,,,,,,,,,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,
Expense,House Rent,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000
Expense,Leisure,2018,500,1500,500,1500,500,1500,500,1500,4000,1500,1500,1500,,,,,,,,,,,,,,,,,,,,,,,,,
Expense,Leisure,2019,,,,,,,,,,,,,0,0,0,1000,1000,1000,1500,1500,1500,1500,1500,1500,,,,,,,,,,,,,
Expense,Leisure,2020,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1500,500,1500,3000,1500,1500,1500,1500,
Expense,Leisure,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500
Expense,Shopping,2018,1000,1000,1000,1000,1000,1000,1000,1000,2000,1000,1000,1000,,,,,,,,,,,,,,,,,,,,,,,,,
Expense,Shopping,2019,,,,,,,,,,,,,0,0,0,0,0,1000,0,0,0,1000,1000,2000,,,,,,,,,,,,,
Expense,Shopping,2020,,,,,,,,,,,,,,,,,,,,,,,,,2000,2000,500,2000,2000,0,3000,2000,2000,2000,2000,3000,
Expense,Shopping,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000
Income,Salary,2018,30000,30000,30000,30000,30000,30000,30000,30000,35000,35000,35000,35000,,,,,,,,,,,,,,,,,,,,,,,,,
Income,Salary,2019,,,,,,,,,,,,,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,,,,,,,,,,,,,
Income,Salary,2020,,,,,,,,,,,,,,,,,,,,,,,,,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,51500,51500,
Income,Salary,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51500
Income,Source 2,2018,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,,,,,,,,,,,,,,,,,,,,,,,,,
Income,Source 2,2019,,,,,,,,,,,,,1000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,,,,,,,,,,,,,
Income,Source 2,2020,,,,,,,,,,,,,,,,,,,,,,,,,4000,4000,4000,4000,4000,4000,6000,6000,6000,6000,6000,6000,
Income,Source 2,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000
Savings,Emergency Fund,2018,2000,2000,2000,2000,2000,2000,2000,0,0,2000,2000,2000,,,,,,,,,,,,,,,,,,,,,,,,,
Savings,Emergency Fund,2019,,,,,,,,,,,,,2000,2000,2000,2000,2000,2000,2000,1000,0,0,0,0,,,,,,,,,,,,,
Savings,Emergency Fund,2020,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2000,0,1000,1000,1000,1000,2000,1000,
Savings,Emergency Fund,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000
Savings,Fixed Deposit,2018,2000,2000,2000,2000,2000,2000,2000,2000,0,2000,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Savings,Fixed Deposit,2019,,,,,,,,,,,,,0,2000,2000,2000,2000,1000,1000,1000,2000,0,0,0,,,,,,,,,,,,,
Savings,Fixed Deposit,2020,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2000,0,0,2000,2000,2500,2500,
Savings,Fixed Deposit,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500
Savings,Liquid Cash,2018,1000,0,1000,0,1000,0,-1000,0,1000,500,2500,-1500,,,,,,,,,,,,,,,,,,,,,,,,,
Savings,Liquid Cash,2019,,,,,,,,,,,,,-1000,1500,1500,500,500,500,0,1000,0,1000,-2000,500,,,,,,,,,,,,,
Savings,Liquid Cash,2020,,,,,,,,,,,,,,,,,,,,,,,,,-1500,-1500,0,500,-1500,1500,-1500,-2000,-2500,-500,1500,500,
Savings,Liquid Cash,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-500
Savings,Mutual funds,2018,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,7000,,,,,,,,,,,,,,,,,,,,,,,,,
Savings,Mutual funds,2019,,,,,,,,,,,,,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,0,,,,,,,,,,,,,
Savings,Mutual funds,2020,,,,,,,,,,,,,,,,,,,,,,,,,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,8000,8000,
Savings,Mutual funds,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000
