UID,PeriodID,StartDate,EndDate,CycleID,Cycle,Year,RefCycleID,CycleText,DateTime,Date
32774,998,2019-02-11 00:00:00.000,2019-02-17 23:59:59.000,71,2,2019,250,2019-C02,2019-02-13 13:00:00.000,2019-02-13 00:00:00.000
35636,1015,2019-06-10 12:00:01.000,2019-06-17 12:00:00.000,76,7,2019,255,2019-C07,2019-06-12 19:00:00.000,2019-06-12 00:00:00.000
34491,1008,2019-04-22 12:00:01.000,2019-04-29 12:00:00.000,74,5,2019,253,2019-C05,2019-04-26 02:00:00.000,2019-04-26 00:00:00.000
32659,997,2019-02-04 00:00:00.000,2019-02-10 23:59:59.000,71,2,2019,250,2019-C02,2019-02-08 18:00:00.000,2019-02-08 00:00:00.000
35642,1015,2019-06-10 12:00:01.000,2019-06-17 12:00:00.000,76,7,2019,255,2019-C07,2019-06-13 01:00:00.000,2019-06-13 00:00:00.000
32930,999,2019-02-18 00:00:00.000,2019-02-24 23:59:59.000,72,3,2019,251,2019-C03,2019-02-20 01:00:00.000,2019-02-20 00:00:00.000
32469,996,2019-01-28 00:00:00.000,2019-02-03 23:59:59.000,71,2,2019,250,2019-C02,2019-01-31 20:00:00.000,2019-01-31 00:00:00.000
33108,1000,2019-02-25 00:00:00.000,2019-03-03 23:59:59.000,72,3,2019,251,2019-C03,2019-02-27 11:00:00.000,2019-02-27 00:00:00.000
36356,1019,2019-07-08 12:00:01.000,2019-07-15 12:00:00.000,77,8,2019,256,2019-C08,2019-07-12 19:00:00.000,2019-07-12 00:00:00.000
31483,990,2018-12-17 00:00:00.000,2018-12-23 23:59:59.000,69,13,2018,248,2018-C13,2018-12-21 18:00:00.000,2018-12-21 00:00:00.000
32617,997,2019-02-04 00:00:00.000,2019-02-10 23:59:59.000,71,2,2019,250,2019-C02,2019-02-07 00:00:00.000,2019-02-07 00:00:00.000
37560,1026,2019-08-26 12:00:01.000,2019-09-02 12:00:00.000,78,9,2019,257,2019-C09,2019-08-31 23:00:00.000,2019-08-31 00:00:00.000
34572,1008,2019-04-22 12:00:01.000,2019-04-29 12:00:00.000,74,5,2019,253,2019-C05,2019-04-29 11:00:00.000,2019-04-29 00:00:00.000
32359,995,2019-01-21 00:00:00.000,2019-01-27 23:59:59.000,71,2,2019,250,2019-C02,2019-01-27 06:00:00.000,2019-01-27 00:00:00.000
31059,988,2018-12-03 00:00:00.000,2018-12-09 23:59:59.000,69,13,2018,248,2018-C13,2018-12-04 02:00:00.000,2018-12-04 00:00:00.000
35880,1016,2019-06-17 12:00:01.000,2019-06-24 12:00:00.000,76,7,2019,255,2019-C07,2019-06-22 23:00:00.000,2019-06-22 00:00:00.000
34529,1008,2019-04-22 12:00:01.000,2019-04-29 12:00:00.000,74,5,2019,253,2019-C05,2019-04-27 16:00:00.000,2019-04-27 00:00:00.000
31615,991,2018-12-24 00:00:00.000,2018-12-30 23:59:59.000,70,1,2019,249,2019-C01,2018-12-27 06:00:00.000,2018-12-27 00:00:00.000
35095,1012,2019-05-20 12:00:01.000,2019-05-27 12:00:00.000,75,6,2019,254,2019-C06,2019-05-21 06:00:00.000,2019-05-21 00:00:00.000
31663,991,2018-12-24 00:00:00.000,2018-12-30 23:59:59.000,70,1,2019,249,2019-C01,2018-12-29 06:00:00.000,2018-12-29 00:00:00.000
