Title,Date,Average Salary,Salary
Marketing,2020-12-01 00:00:00.000,192.95,192950.0
Mechanical Engineer,2020-03-01 00:00:00.000,120.0,120000.0
Mechanical Engineer,2020-05-01 00:00:00.000,205.0,205000.0
Mechanical Engineer,2020-07-01 00:00:00.000,138.273,138273.0
Mechanical Engineer,2020-08-01 00:00:00.000,183.483,183483.0
Mechanical Engineer,2020-09-01 00:00:00.000,155.143,155143.0
Mechanical Engineer,2020-10-01 00:00:00.000,151.097,151097.0
Mechanical Engineer,2020-11-01 00:00:00.000,135.143,135143.0
Mechanical Engineer,2020-12-01 00:00:00.000,122.35,122350.0
Product Designer,2020-01-01 00:00:00.000,234.625,234625.0
Product Designer,2020-02-01 00:00:00.000,215.3,215300.0
Product Designer,2020-03-01 00:00:00.000,211.5,211500.0
Product Designer,2020-04-01 00:00:00.000,278.571,278571.0
Product Designer,2020-05-01 00:00:00.000,192.182,192182.0
Product Designer,2020-06-01 00:00:00.000,206.0,206000.0
Product Designer,2020-07-01 00:00:00.000,194.579,194579.0
Product Designer,2020-08-01 00:00:00.000,194.839,194839.0
Product Designer,2020-09-01 00:00:00.000,218.119,218119.0
Product Designer,2020-10-01 00:00:00.000,225.867,225867.0
Product Designer,2020-11-01 00:00:00.000,198.613,198613.0
Product Designer,2020-12-01 00:00:00.000,214.63,214630.0
Product Manager,2020-01-01 00:00:00.000,290.048,290048.0
Product Manager,2020-02-01 00:00:00.000,284.127,284127.0
Product Manager,2020-03-01 00:00:00.000,255.326,255326.0
Product Manager,2020-04-01 00:00:00.000,273.87,273870.0
Product Manager,2020-05-01 00:00:00.000,259.475,259475.0
Product Manager,2020-06-01 00:00:00.000,230.774,230774.0
Product Manager,2020-07-01 00:00:00.000,248.157,248157.0
Product Manager,2020-08-01 00:00:00.000,233.341,233341.0
Product Manager,2020-09-01 00:00:00.000,219.982,219982.0
Product Manager,2020-10-01 00:00:00.000,216.495,216495.0
Product Manager,2020-11-01 00:00:00.000,246.244,246244.0
Product Manager,2020-12-01 00:00:00.000,234.495,234495.0
Recruiter,2020-05-01 00:00:00.000,150.0,150000.0
Recruiter,2020-06-01 00:00:00.000,194.0,194000.0
Recruiter,2020-07-01 00:00:00.000,138.952,138952.0
Recruiter,2020-08-01 00:00:00.000,152.955,152955.0
Recruiter,2020-09-01 00:00:00.000,140.0,140000.0
Recruiter,2020-10-01 00:00:00.000,162.107,162107.0
Recruiter,2020-11-01 00:00:00.000,164.938,164938.0
Recruiter,2020-12-01 00:00:00.000,158.429,158429.0
Sales,2020-02-01 00:00:00.000,260.0,260000.0
Sales,2020-05-01 00:00:00.000,120.0,120000.0
Sales,2020-07-01 00:00:00.000,237.75,237750.0
Sales,2020-08-01 00:00:00.000,248.5,248500.0
Sales,2020-09-01 00:00:00.000,188.29,188290.0
Sales,2020-10-01 00:00:00.000,188.071,188071.0
Sales,2020-11-01 00:00:00.000,169.375,169375.0
Sales,2020-12-01 00:00:00.000,237.375,237375.0
Software Engineer,2020-01-01 00:00:00.000,230.83,230830.0
Software Engineer,2020-02-01 00:00:00.000,221.148,221148.0
Software Engineer,2020-03-01 00:00:00.000,217.994,217994.0
Software Engineer,2020-04-01 00:00:00.000,217.394,217394.0
Software Engineer,2020-05-01 00:00:00.000,230.114,230114.0
Software Engineer,2020-06-01 00:00:00.000,224.473,224473.0
Software Engineer,2020-07-01 00:00:00.000,198.223,198223.0
Software Engineer,2020-08-01 00:00:00.000,189.584,189584.0
Software Engineer,2020-09-01 00:00:00.000,186.822,186822.0
Software Engineer,2020-10-01 00:00:00.000,187.966,187966.0
Software Engineer,2020-11-01 00:00:00.000,182.426,182426.0
Software Engineer,2020-12-01 00:00:00.000,202.185,202185.0
Software Engineering Manager,2020-01-01 00:00:00.000,350.333,350333.0
Software Engineering Manager,2020-02-01 00:00:00.000,358.476,358476.0
Software Engineering Manager,2020-03-01 00:00:00.000,439.429,439429.0
Software Engineering Manager,2020-04-01 00:00:00.000,381.034,381034.0
Software Engineering Manager,2020-05-01 00:00:00.000,340.162,340162.0
Software Engineering Manager,2020-06-01 00:00:00.000,324.032,324032.0
Software Engineering Manager,2020-07-01 00:00:00.000,380.149,380149.0
Software Engineering Manager,2020-08-01 00:00:00.000,318.316,318316.0
Software Engineering Manager,2020-09-01 00:00:00.000,327.731,327731.0
Software Engineering Manager,2020-10-01 00:00:00.000,323.208,323208.0
Software Engineering Manager,2020-11-01 00:00:00.000,333.949,333949.0
Software Engineering Manager,2020-12-01 00:00:00.000,361.508,361508.0
Solution Architect,2020-01-01 00:00:00.000,270.455,270455.0
Solution Architect,2020-02-01 00:00:00.000,192.889,192889.0
Solution Architect,2020-03-01 00:00:00.000,191.6,191600.0
Solution Architect,2020-04-01 00:00:00.000,182.714,182714.0
Solution Architect,2020-05-01 00:00:00.000,209.0,209000.0
Solution Architect,2020-06-01 00:00:00.000,173.846,173846.0
Solution Architect,2020-07-01 00:00:00.000,217.083,217083.0
Solution Architect,2020-08-01 00:00:00.000,213.24,213240.0
Solution Architect,2020-09-01 00:00:00.000,221.97,221970.0
Solution Architect,2020-10-01 00:00:00.000,211.95,211950.0
Solution Architect,2020-11-01 00:00:00.000,190.643,190643.0
Solution Architect,2020-12-01 00:00:00.000,233.476,233476.0
Technical Program Manager,2020-03-01 00:00:00.000,215.941,215941.0
Technical Program Manager,2020-04-01 00:00:00.000,205.0,205000.0
Technical Program Manager,2020-05-01 00:00:00.000,246.579,246579.0
Technical Program Manager,2020-06-01 00:00:00.000,258.478,258478.0
Technical Program Manager,2020-07-01 00:00:00.000,217.146,217146.0
Technical Program Manager,2020-08-01 00:00:00.000,237.981,237981.0
Technical Program Manager,2020-09-01 00:00:00.000,237.51,237510.0
Technical Program Manager,2020-10-01 00:00:00.000,211.407,211407.0
Technical Program Manager,2020-11-01 00:00:00.000,209.7,209700.0
Technical Program Manager,2020-12-01 00:00:00.000,294.477,294477.0
