EmployeeKey,SalesTerritoryKey,Sales Amount,TimePeriod
282,3,70003.522300000011,"2014Q2"
272,6,40708.441399999996,"2014Q2"
272,2,3962.2441000000003,"2014Q2"
285,5,670322.45929999894,"2014Q3"
283,3,337118.69369999983,"2014Q3"
282,4,793483.66999999725,"2014Q3"
291,6,1437355.0890000002,"2014Q3"
286,1,428595.80269999988,"2014Q3"
281,2,929711.99549999868,"2014Q3"
289,1,355268.71199999982,"2014Q3"
272,1,5386.644,"2014Q3"
288,10,398116.36439999961,"2014Q3"
287,4,691307.59399999923,"2014Q3"
281,3,205088.89979999996,"2014Q3"
292,7,523933.6319,"2014Q3"
272,5,857.25,"2014Q3"
281,5,110704.30080000001,"2014Q3"
284,6,422455.9898000001,"2014Q3"
283,4,925878.96249999781,"2014Q3"
282,1,169312.25530000005,"2014Q3"
282,3,206630.0340000001,"2014Q3"
272,2,52948.425100000008,"2014Q3"
287,3,85294.715799999991,"2014Q3"
290,7,65.6018,"2014Q3"
290,10,73666.866700000013,"2014Q3"
287,1,56211.69230000001,"2014Q3"
272,6,523.788,"2014Q3"
283,4,757893.26219999837,"2014Q4"
283,3,292374.03759999957,"2014Q4"
285,5,543933.15099999961,"2014Q4"
282,4,603836.56459999911,"2014Q4"
291,6,1085480.8480999991,"2014Q4"
281,2,820560.88759999874,"2014Q4"
289,1,310150.28009999992,"2014Q4"
282,1,157114.96169999993,"2014Q4"
288,10,366050.57110000012,"2014Q4"
272,1,423.42499999999995,"2014Q4"
281,3,158435.05190000002,"2014Q4"
272,4,29482.0603,"2014Q4"
292,7,324399.7706,"2014Q4"
281,5,1965.5053,"2014Q4"
284,6,308026.47679999989,"2014Q4"
287,4,468461.8572,"2014Q4"
286,1,130092.87190000003,"2014Q4"
282,3,188319.41120000003,"2014Q4"
272,2,26305.464300000007,"2014Q4"
290,7,8724.1741,"2014Q4"
272,6,2709.6518000000005,"2014Q4"
293,1,256076.15590000007,"2014Q4"
287,3,79443.723700000017,"2014Q4"
287,1,37005.456600000005,"2014Q4"
290,10,3923.9585,"2014Q4"
272,5,79994.1743,"2014Q4"
285,5,462021.2613999999,"2015Q1"
281,3,242292.4956999998,"2015Q1"
289,1,209478.9384,"2015Q1"
292,7,207814.53289999996,"2015Q1"
284,6,191640.34939999992,"2015Q1"
287,4,351571.88460000016,"2015Q1"
283,2,669685.58839999966,"2015Q1"
281,4,440697.59140000003,"2015Q1"
293,1,215899.1401,"2015Q1"
282,1,140294.81599999996,"2015Q1"
291,6,816978.131199999,"2015Q1"
286,1,106026.78420000004,"2015Q1"
282,4,463744.53579999931,"2015Q1"
283,5,15521.532899999993,"2015Q1"
288,10,273906.5921999999,"2015Q1"
283,3,79048.894099999961,"2015Q1"
282,3,166285.62190000003,"2015Q1"
290,7,30957.9884,"2015Q1"
287,3,74066.3651,"2015Q1"
272,4,97302.026600000027,"2015Q1"
287,1,11108.434299999999,"2015Q1"
281,4,742475.878799998,"2015Q2"
285,5,534113.31529999967,"2015Q2"
281,3,276319.83030000003,"2015Q2"
282,4,604282.79609999876,"2015Q2"
283,2,853015.70469999861,"2015Q2"
289,1,264631.62410000007,"2015Q2"
291,6,1046653.3502999987,"2015Q2"
293,1,264008.19739999995,"2015Q2"
292,7,332124.67579999997,"2015Q2"
287,4,422231.87480000022,"2015Q2"
284,6,303345.46759999992,"2015Q2"
286,1,81348.174300000042,"2015Q2"
282,1,165004.01049999997,"2015Q2"
283,3,148155.14329999994,"2015Q2"
288,10,195312.9438000001,"2015Q2"
283,5,60155.4794,"2015Q2"
272,5,600.2625,"2015Q2"
272,4,49375.259900000019,"2015Q2"
290,10,95514.6626,"2015Q2"
282,3,197211.7472,"2015Q2"
287,3,74502.000800000009,"2015Q2"
287,1,23521.4219,"2015Q2"
285,5,655917.15029999963,"2015Q3"
282,4,774176.31329999981,"2015Q3"
288,10,807782.24849999964,"2015Q3"
281,3,438482.4412,"2015Q3"
296,9,338959.47389999975,"2015Q3"
283,2,750813.8679999978,"2015Q3"
289,1,529661.58759999974,"2015Q3"
291,6,1180231.6229999992,"2015Q3"
287,4,633405.41419999988,"2015Q3"
295,8,487683.29859999992,"2015Q3"
292,7,939190.510499999,"2015Q3"
283,5,82555.4003,"2015Q3"
284,6,463996.05500000011,"2015Q3"
281,4,789583.99899999984,"2015Q3"
286,1,357548.5332,"2015Q3"
293,1,392441.42669999995,"2015Q3"
283,3,189510.83220000015,"2015Q3"
282,3,270831.4249000001,"2015Q3"
282,1,255814.0755,"2015Q3"
290,8,72469.202199999985,"2015Q3"
287,3,44720.4782,"2015Q3"
290,7,18306.673699999988,"2015Q3"
272,6,100556.38059999997,"2015Q3"
290,10,54444.3775,"2015Q3"
287,1,68199.2491,"2015Q3"
272,1,113583.95170000003,"2015Q3"
294,9,111924.93150000014,"2015Q3"
272,5,3405.1668,"2015Q3"
281,4,610414.9757,"2015Q4"
285,5,570076.023699999,"2015Q4"
282,4,617264.885499999,"2015Q4"
288,10,560612.5491,"2015Q4"
295,8,473444.28809999954,"2015Q4"
281,3,386984.58350000024,"2015Q4"
283,2,590422.68519999913,"2015Q4"
296,9,362527.38659999945,"2015Q4"
289,1,368726.00099999981,"2015Q4"
291,6,1128596.3409999977,"2015Q4"
287,4,533298.79169999866,"2015Q4"
292,7,807570.03009999963,"2015Q4"
283,5,44914.304299999996,"2015Q4"
284,6,419307.7273,"2015Q4"
282,1,232467.48540000006,"2015Q4"
293,1,346625.92600000004,"2015Q4"
290,8,65269.896000000015,"2015Q4"
286,1,344945.76340000005,"2015Q4"
283,3,158069.4637,"2015Q4"
272,4,1946.022,"2015Q4"
282,3,214872.45130000002,"2015Q4"
287,3,44237.657999999996,"2015Q4"
290,7,37839.624,"2015Q4"
294,9,34019.171999999991,"2015Q4"
272,1,90806.32100000004,"2015Q4"
287,1,58393.196899999995,"2015Q4"
290,10,172572.45910000004,"2015Q4"
285,5,483937.84029999975,"2016Q1"
281,3,277390.54260000022,"2016Q1"
288,10,502176.77949999983,"2016Q1"
295,8,338292.54340000008,"2016Q1"
291,6,778625.42360000033,"2016Q1"
282,4,494250.26379999932,"2016Q1"
294,9,5313.012,"2016Q1"
283,2,475330.1176999996,"2016Q1"
289,1,293810.76449999987,"2016Q1"
287,4,422146.47450000007,"2016Q1"
281,4,451199.79950000026,"2016Q1"
290,8,55608.708000000006,"2016Q1"
286,1,287360.76470000017,"2016Q1"
272,4,72192.3533,"2016Q1"
296,9,335166.41700000007,"2016Q1"
282,3,194398.51180000004,"2016Q1"
293,1,387635.9604,"2016Q1"
284,6,245520.36310000019,"2016Q1"
292,7,595612.63429999945,"2016Q1"
283,5,16289.302799999998,"2016Q1"
283,3,119509.63390000002,"2016Q1"
282,1,162854.80030000003,"2016Q1"
287,3,32933.004,"2016Q1"
290,7,1754.9399999999998,"2016Q1"
290,10,40287.018000000004,"2016Q1"
287,1,33049.884,"2016Q1"
272,5,37.254,"2016Q1"
285,5,605254.59719999926,"2016Q2"
288,10,733969.14159999962,"2016Q2"
281,3,338226.0292000004,"2016Q2"
283,2,581126.80809999956,"2016Q2"
296,9,385157.6476999998,"2016Q2"
289,1,380814.58580000012,"2016Q2"
291,6,1029417.8409999989,"2016Q2"
282,4,656129.22149999929,"2016Q2"
287,4,510098.59529999905,"2016Q2"
292,7,779243.14689999982,"2016Q2"
272,5,29524.050100000004,"2016Q2"
295,8,491220.10099999938,"2016Q2"
283,5,38268.6724,"2016Q2"
284,6,324895.32100000035,"2016Q2"
272,6,11802.564,"2016Q2"
281,4,470895.80839999934,"2016Q2"
286,1,362722.0721000004,"2016Q2"
293,1,449858.88399999985,"2016Q2"
283,3,142607.27949999998,"2016Q2"
282,1,196099.68500000008,"2016Q2"
282,3,182209.43260000003,"2016Q2"
287,3,930.282,"2016Q2"
272,4,98190.5784,"2016Q2"
290,10,672.294,"2016Q2"
287,1,77122.590000000026,"2016Q2"
294,9,21267.336,"2016Q2"
272,3,35331.66,"2016Q2"
272,1,2321.262,"2016Q2"
