herbivore species,voucher,URL adult,URL cp lateral,sex,host plant species,host plant family,year,date eclosion,elevation,wingspan (mm),primary eco,latitude,longitude
"Astraptes INGCUP","02-SRNP-19721","http://janzen.sas.upenn.edu/2700ARCHIVES/02/02-SRNP-19721-DHJ90400.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/02/02-SRNP-19721-DHJ70183.jpg","male","Inga oerstediana","Fabaceae",2002,2002-12-17 00:00:00.000,620,51,"rain forest",10.87868,-85.38963
"Astraptes LOHAMP","03-SRNP-5544","http://janzen.sas.upenn.edu/2700ARCHIVES/03/03-SRNP-5544-DHJ341050.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/03/03-SRNP-5544-DHJ400704.jpg","female","Hampea appendiculata","Malvaceae",2003,2003-04-08 00:00:00.000,570,56,"rain forest",10.88111,-85.38889
"Astraptes YESENN","00-SRNP-11188","http://janzen.sas.upenn.edu/2700ARCHIVES/00/00-SRNP-11188-DHJ93076.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/00/00-SRNP-11188-DHJ54086.jpg","female","Dioclea malacocarpa","Fabaceae",2000,2000-07-06 00:00:00.000,570,57,"rain forest",10.88186,-85.38221
"Astraptes LOHAMP","03-SRNP-10879","http://janzen.sas.upenn.edu/2700ARCHIVES/03/03-SRNP-10879-DHJ341042.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/03/03-SRNP-10879-DHJ75437.jpg","female","Hampea appendiculata","Malvaceae",2003,2003-06-08 00:00:00.000,420,54,"rain forest",10.88264,-85.25164
"Astraptes INGCUP","92-SRNP-3121","http://janzen.sas.upenn.edu/2700ARCHIVES/92/92-SRNP-3121-DHJ90386.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/92/92-SRNP-3121-DHJ15843.jpg","male","Inga vera","Fabaceae",1992,1992-08-13 00:00:00.000,255,51,"dry forest",10.88268,-85.61202
"Astraptes CELT","01-SRNP-1413","http://janzen.sas.upenn.edu/2700ARCHIVES/01/01-SRNP-1413-DHJ90244.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/01/01-SRNP-1413-DHJ63137.jpg","female","Celtis iguanaea","Ulmaceae",2001,2001-06-07 00:00:00.000,560,53,"rain forest",10.884,-85.386
"Astraptes SENNOV","04-SRNP-49527","http://janzen.sas.upenn.edu/2700ARCHIVES/04/04-SRNP-49527-DHJ341458.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/04/04-SRNP-49527-DHJ87410.jpg","male","Senna hayesiana","Fabaceae",2004,2004-11-16 00:00:00.000,390,57,"dry forest",10.88585,-85.49222
"Astraptes CELT","94-SRNP-9389","http://janzen.sas.upenn.edu/2700ARCHIVES/94/94-SRNP-9389-DHJ90250.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/94/94-SRNP-9389-DHJ26303.jpg","female","Celtis iguanaea","Ulmaceae",1994,1994-11-16 00:00:00.000,570,45,"dry forest",10.887,-85.47443
"Astraptes HIHAMP","07-SRNP-45714","http://janzen.sas.upenn.edu/2700ARCHIVES/07/07-SRNP-45714-DHJ378668.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/07/07-SRNP-45714-DHJ428315.jpg","","Hampea appendiculata","Malvaceae",2007,2007-09-25 00:00:00.000,760,55,"",10.88875,-85.43483
"Astraptes YESENN","07-SRNP-45998","http://janzen.sas.upenn.edu/2700ARCHIVES/07/07-SRNP-45998-DHJ383990.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/07/07-SRNP-45998-DHJ431161.jpg","","Senna papillosa","Fabaceae",2007,2007-10-28 00:00:00.000,760,49,"",10.88875,-85.43483
"Astraptes INGCUP","04-SRNP-46477","http://janzen.sas.upenn.edu/2700ARCHIVES/04/04-SRNP-46477-DHJ341478.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/04/04-SRNP-46477-DHJ85636.jpg","male","Cupania guatemalensis","Sapindaceae",2004,2004-08-07 00:00:00.000,550,52,"dry forest",10.88996,-85.47966
"Astraptes FABOV","05-SRNP-45420","http://janzen.sas.upenn.edu/2700ARCHIVES/05/05-SRNP-45420-DHJ339440.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/05/05-SRNP-45420-DHJ408012.jpg","female","Centrosema plumieri","Fabaceae",2005,2005-06-26 00:00:00.000,640,57,"dry forest",10.8908,-85.47192
"Astraptes YESENN","05-SRNP-41425","http://janzen.sas.upenn.edu/2700ARCHIVES/05/05-SRNP-41425-DHJ339446.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/05/05-SRNP-41425-DHJ407006.jpg","male","Rhynchosia calycosa","Fabaceae",2005,2005-07-19 00:00:00.000,420,43,"rain forest",10.89678,-85.27001
"Astraptes TRIGO","93-SRNP-8663","http://janzen.sas.upenn.edu/2700ARCHIVES/93/93-SRNP-8663-DHJ90120.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/93/93-SRNP-8663-DHJ26482.jpg","male","Trigonia rugosa","Trigoniaceae",1993,1994-01-29 00:00:00.000,160,47,"dry forest",10.89857,-85.56419
"Astraptes CELT","05-SRNP-754","http://janzen.sas.upenn.edu/2700ARCHIVES/05/05-SRNP-754-DHJ339494.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/05/05-SRNP-754-DHJ88166.jpg","female","Celtis iguanaea","Ulmaceae",2005,2005-04-04 00:00:00.000,500,54,"rain forest",10.90037,-85.37254
"Astraptes YESENN","03-SRNP-11291","http://janzen.sas.upenn.edu/2700ARCHIVES/03/03-SRNP-11291-DHJ341142.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/03/03-SRNP-11291-DHJ75678.jpg","female","Senna papillosa","Fabaceae",2003,2003-07-13 00:00:00.000,415,63,"rain forest",10.90187,-85.27495
"Astraptes YESENN","03-SRNP-11292","http://janzen.sas.upenn.edu/2700ARCHIVES/03/03-SRNP-11292-DHJ341144.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/03/03-SRNP-11292-DHJ75679.jpg","male","Senna papillosa","Fabaceae",2003,2003-07-13 00:00:00.000,415,54,"rain forest",10.90187,-85.27495
"Astraptes INGCUP","05-SRNP-40683","http://janzen.sas.upenn.edu/2700ARCHIVES/05/05-SRNP-40683-DHJ339486.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/05/05-SRNP-40683-DHJ89014.jpg","female","Inga oerstediana","Fabaceae",2005,2005-04-18 00:00:00.000,415,60,"rain forest",10.90187,-85.27495
"Astraptes YESENN","03-SRNP-11346","http://janzen.sas.upenn.edu/2700ARCHIVES/03/03-SRNP-11346-DHJ341308.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/03/03-SRNP-11346-DHJ75693.jpg","male","Senna papillosa","Fabaceae",2003,2003-07-29 00:00:00.000,410,52,"rain forest",10.90424,-85.2712
"Astraptes YESENN","03-SRNP-23561","http://janzen.sas.upenn.edu/2700ARCHIVES/03/03-SRNP-23561-DHJ341162.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/03/03-SRNP-23561-DHJ401214.jpg","female","Senna papillosa","Fabaceae",2003,2004-01-14 00:00:00.000,1060,62,"cloud forest",10.9146,-85.46262
"Astraptes LOHAMP","03-SRNP-23573","http://janzen.sas.upenn.edu/2700ARCHIVES/03/03-SRNP-23573-DHJ341112.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/03/03-SRNP-23573-DHJ401218.jpg","female","Hampea appendiculata","Malvaceae",2003,2003-11-19 00:00:00.000,1060,59,"cloud forest",10.9146,-85.46262
"Astraptes YESENN","03-SRNP-13045.1","http://janzen.sas.upenn.edu/2700ARCHIVES/03/03-SRNP-13045.1-DHJ341108.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/03/03-SRNP-13045.1-DHJ78377.jpg","male","Dioclea malacocarpa","Fabaceae",2003,2003-11-17 00:00:00.000,320,50,"rain forest",10.91847,-85.30338
"Astraptes LOHAMP","03-SRNP-3100","http://janzen.sas.upenn.edu/2700ARCHIVES/03/03-SRNP-3100-DHJ341356.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/03/03-SRNP-3100-DHJ400166.jpg","male","Hampea appendiculata","Malvaceae",2003,2003-03-26 00:00:00.000,1090,51,"cloud forest",10.92446,-85.46953
"Astraptes LOHAMP","03-SRNP-3138","http://janzen.sas.upenn.edu/2700ARCHIVES/03/03-SRNP-3138-DHJ341374.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/03/03-SRNP-3138-DHJ90528.jpg","female","Hampea appendiculata","Malvaceae",2003,2003-03-18 00:00:00.000,1090,55,"cloud forest",10.92446,-85.46953
"Astraptes LOHAMP","03-SRNP-3139","http://janzen.sas.upenn.edu/2700ARCHIVES/03/03-SRNP-3139-DHJ341370.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/03/03-SRNP-3139-DHJ400193.jpg","male","Hampea appendiculata","Malvaceae",2003,,1090,49,"cloud forest",10.92446,-85.46953
"Astraptes LOHAMP","03-SRNP-3354","http://janzen.sas.upenn.edu/2700ARCHIVES/03/03-SRNP-3354-DHJ341362.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/03/03-SRNP-3354-DHJ400372.jpg","female","Hampea appendiculata","Malvaceae",2003,2003-04-29 00:00:00.000,1090,57,"cloud forest",10.92446,-85.46953
"Astraptes LOHAMP","03-SRNP-3509","http://janzen.sas.upenn.edu/2700ARCHIVES/03/03-SRNP-3509-DHJ341360.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/03/03-SRNP-3509-DHJ400398.jpg","male","Hampea appendiculata","Malvaceae",2003,2003-04-29 00:00:00.000,1090,50,"cloud forest",10.92446,-85.46953
"Astraptes YESENN","03-SRNP-4202","http://janzen.sas.upenn.edu/2700ARCHIVES/03/03-SRNP-4202-DHJ341060.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/03/03-SRNP-4202-DHJ73122.jpg","male","Senna papillosa","Fabaceae",2003,2003-07-14 00:00:00.000,1090,49,"cloud forest",10.92446,-85.46953
"Astraptes LOHAMP","03-SRNP-22087","http://janzen.sas.upenn.edu/2700ARCHIVES/03/03-SRNP-22087-DHJ341104.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/03/03-SRNP-22087-DHJ401100.jpg","","Hampea appendiculata","Malvaceae",2003,2003-10-11 00:00:00.000,1090,54,"cloud forest",10.92446,-85.46953
"Astraptes SENNOV","03-SRNP-22238","http://janzen.sas.upenn.edu/2700ARCHIVES/03/03-SRNP-22238-DHJ341114.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/03/03-SRNP-22238-DHJ77647.jpg","","Senna papillosa","Fabaceae",2003,2003-10-24 00:00:00.000,1090,63,"cloud forest",10.92446,-85.46953
"Astraptes SENNOV","03-SRNP-22239","http://janzen.sas.upenn.edu/2700ARCHIVES/03/03-SRNP-22239-DHJ341312.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/03/03-SRNP-22239-DHJ401113.jpg","male","Senna papillosa","Fabaceae",2003,2003-10-06 00:00:00.000,1090,54,"cloud forest",10.92446,-85.46953
"Astraptes HIHAMP","04-SRNP-35081","http://janzen.sas.upenn.edu/2700ARCHIVES/04/04-SRNP-35081-DHJ92028.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/04/04-SRNP-35081-DHJ82747.jpg","male","Hampea appendiculata","Malvaceae",2004,2004-04-10 00:00:00.000,1090,53,"cloud forest",10.92446,-85.46953
"Astraptes INGCUP","02-SRNP-9734","http://janzen.sas.upenn.edu/2700ARCHIVES/02/02-SRNP-9734-DHJ92580.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/02/02-SRNP-9734-DHJ67760.jpg","male","Cupania glabra","Sapindaceae",2002,2002-09-08 00:00:00.000,1080,59,"cloud forest",10.92471,-85.46738
"Astraptes SENNOV","03-SRNP-3011","http://janzen.sas.upenn.edu/2700ARCHIVES/03/03-SRNP-3011-DHJ341058.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/03/03-SRNP-3011-DHJ400130.jpg","female","Senna hayesiana","Fabaceae",2003,2003-03-30 00:00:00.000,1080,63,"cloud forest",10.92471,-85.46738
"Astraptes YESENN","03-SRNP-22479","http://janzen.sas.upenn.edu/2700ARCHIVES/03/03-SRNP-22479-DHJ341386.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/03/03-SRNP-22479-DHJ401132.jpg","female","Senna hayesiana","Fabaceae",2003,2003-11-10 00:00:00.000,1080,61,"cloud forest",10.92471,-85.46738
"Astraptes LOHAMP","95-SRNP-365","http://janzen.sas.upenn.edu/2700ARCHIVES/95/95-SRNP-365-DHJ90372.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/95/95-SRNP-365-DHJ21763.jpg","female","Hampea appendiculata","Malvaceae",1995,1995-03-25 00:00:00.000,1150,51,"cloud forest",10.92691,-85.46822
"Astraptes HIHAMP","97-SRNP-988","http://janzen.sas.upenn.edu/2700ARCHIVES/97/97-SRNP-988-DHJ92564.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/97/97-SRNP-988-DHJ40658.jpg","female","Hampea appendiculata","Malvaceae",1997,1997-05-05 00:00:00.000,1150,59,"cloud forest",10.92691,-85.46822
"Astraptes HIHAMP","02-SRNP-23035","http://janzen.sas.upenn.edu/2700ARCHIVES/02/02-SRNP-23035-DHJ92730.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/02/02-SRNP-23035-DHJ68537.jpg","female","Hampea appendiculata","Malvaceae",2002,2002-09-02 00:00:00.000,1150,60,"cloud forest",10.92691,-85.46822
"Astraptes LOHAMP","03-SRNP-4369","http://janzen.sas.upenn.edu/2700ARCHIVES/03/03-SRNP-4369-DHJ341344.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/03/03-SRNP-4369-DHJ400577.jpg","female","Hampea appendiculata","Malvaceae",2003,2003-08-08 00:00:00.000,1150,51,"cloud forest",10.92691,-85.46822
"Astraptes HIHAMP","04-SRNP-35067","http://janzen.sas.upenn.edu/2700ARCHIVES/04/04-SRNP-35067-DHJ90054.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/04/04-SRNP-35067-DHJ401592.jpg","female","Hampea appendiculata","Malvaceae",2004,2004-03-12 00:00:00.000,1150,57,"cloud forest",10.92691,-85.46822
"Astraptes LONCHO","02-SRNP-24219","http://janzen.sas.upenn.edu/2700ARCHIVES/02/02-SRNP-24219-DHJ90336.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/02/02-SRNP-24219-DHJ70693.jpg","male","Lonchocarpus oliganthus","Fabaceae",2002,2003-01-31 00:00:00.000,1185,55,"cloud forest",10.92714,-85.46683
"Astraptes YESENN","04-SRNP-35012","http://janzen.sas.upenn.edu/2700ARCHIVES/04/04-SRNP-35012-DHJ341106.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/04/04-SRNP-35012-DHJ82647.jpg","male","Senna papillosa","Fabaceae",2004,2004-03-23 00:00:00.000,1185,51,"cloud forest",10.92714,-85.46683
"Astraptes LOHAMP","03-SRNP-3112","http://janzen.sas.upenn.edu/2700ARCHIVES/03/03-SRNP-3112-DHJ341046.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/03/03-SRNP-3112-DHJ400175.jpg","female","Hampea appendiculata","Malvaceae",2003,2003-03-24 00:00:00.000,1220,56,"cloud forest",10.92918,-85.46426
"Astraptes LOHAMP","03-SRNP-4251","http://janzen.sas.upenn.edu/2700ARCHIVES/03/03-SRNP-4251-DHJ341330.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/03/03-SRNP-4251-DHJ73183.jpg","male","Hampea appendiculata","Malvaceae",2003,2003-07-27 00:00:00.000,1220,48,"cloud forest",10.92918,-85.46426
"Astraptes LOHAMP","03-SRNP-4252","http://janzen.sas.upenn.edu/2700ARCHIVES/03/03-SRNP-4252-DHJ341334.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/03/03-SRNP-4252-DHJ73187.jpg","female","Hampea appendiculata","Malvaceae",2003,2003-07-25 00:00:00.000,1220,55,"cloud forest",10.92918,-85.46426
"Astraptes LOHAMP","04-SRNP-35218","http://janzen.sas.upenn.edu/2700ARCHIVES/04/04-SRNP-35218-DHJ341508.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/04/04-SRNP-35218-DHJ82845.jpg","","Hampea appendiculata","Malvaceae",2004,2004-04-22 00:00:00.000,1220,52,"cloud forest",10.92918,-85.46426
"Astraptes LOHAMP","04-SRNP-35269","http://janzen.sas.upenn.edu/2700ARCHIVES/04/04-SRNP-35269-DHJ341210.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/04/04-SRNP-35269-DHJ401612.jpg","","Hampea appendiculata","Malvaceae",2004,2004-05-25 00:00:00.000,1220,57,"cloud forest",10.92918,-85.46426
"Astraptes LOHAMP","04-SRNP-35321","http://janzen.sas.upenn.edu/2700ARCHIVES/04/04-SRNP-35321-DHJ341252.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/04/04-SRNP-35321-DHJ401616.jpg","","Hampea appendiculata","Malvaceae",2004,2004-05-17 00:00:00.000,1220,46,"cloud forest",10.92918,-85.46426
"Astraptes LONCHO","04-SRNP-35510","http://janzen.sas.upenn.edu/2700ARCHIVES/04/04-SRNP-35510-DHJ341180.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/04/04-SRNP-35510-DHJ85148.jpg","","Lonchocarpus oliganthus","Fabaceae",2004,2004-07-05 00:00:00.000,1220,59,"cloud forest",10.92918,-85.46426
"Astraptes LONCHO","07-SRNP-35892","http://janzen.sas.upenn.edu/2700ARCHIVES/07/07-SRNP-35892-DHJ375162.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/07/07-SRNP-35892-DHJ421816.jpg","female","Lonchocarpus oliganthus","Fabaceae",2007,2007-08-01 00:00:00.000,1220,56,"",10.92918,-85.46426
"Astraptes LONCHO","07-SRNP-36055","http://janzen.sas.upenn.edu/2700ARCHIVES/07/07-SRNP-36055-DHJ378618.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/07/07-SRNP-36055-DHJ421919.jpg","","Lonchocarpus oliganthus","Fabaceae",2007,2007-09-03 00:00:00.000,1220,58,"",10.92918,-85.46426
"Astraptes INGCUP","08-SRNP-35599","http://janzen.sas.upenn.edu/2700ARCHIVES/08/08-SRNP-35599-DHJ390020.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/08/08-SRNP-35599-DHJ441064.jpg","","","",2008,2008-06-19 00:00:00.000,1220,69,"cloud forest",10.92918,-85.46426
"Astraptes YESENN","08-SRNP-2539","http://janzen.sas.upenn.edu/2700ARCHIVES/08/08-SRNP-2539-DHJ390022.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/08/08-SRNP-2539-DHJ437208.jpg","","Dioclea malacocarpa","Fabaceae",2008,2008-07-08 00:00:00.000,500,59,"rain forest",10.9305,-85.37223
"Astraptes LOHAMP","02-SRNP-23926","http://janzen.sas.upenn.edu/2700ARCHIVES/02/02-SRNP-23926-DHJ92632.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/02/02-SRNP-23926-DHJ70620.jpg","male","Hampea appendiculata","Malvaceae",2002,2002-12-21 00:00:00.000,760,55,"cloud forest",10.93644,-85.47764
"Astraptes HIHAMP","03-SRNP-3079","http://janzen.sas.upenn.edu/2700ARCHIVES/03/03-SRNP-3079-DHJ341366.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/03/03-SRNP-3079-DHJ400150.jpg","female","Hampea appendiculata","Malvaceae",2003,2003-02-22 00:00:00.000,760,61,"cloud forest",10.93644,-85.47764
"Astraptes INGCUP","96-SRNP-934","http://janzen.sas.upenn.edu/2700ARCHIVES/96/96-SRNP-934-DHJ90402.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/96/96-SRNP-934-DHJ27394.jpg","male","Inga punctata","Fabaceae",1996,1996-04-26 00:00:00.000,580,51,"dry forest",10.9538,-85.49094
"Astraptes YESENN","95-SRNP-840","http://janzen.sas.upenn.edu/2700ARCHIVES/95/95-SRNP-840-DHJ92950.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/95/95-SRNP-840-DHJ22279.jpg","female","Senna papillosa","Fabaceae",1995,1995-05-15 00:00:00.000,675,62,"rain forest",10.98931,-85.42581
"Astraptes INGCUP","08-SRNP-70409","http://janzen.sas.upenn.edu/2700ARCHIVES/08/08-SRNP-70409-DHJ390006.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/08/08-SRNP-70409-DHJ443271.jpg","","Inga sapindoides","Fabaceae",2008,2008-07-14 00:00:00.000,465,52,"",11.00054,-85.39341
"Astraptes YESENN","03-SRNP-16333","http://janzen.sas.upenn.edu/2700ARCHIVES/03/03-SRNP-16333-DHJ341294.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/03/03-SRNP-16333-DHJ401016.jpg","female","Senna hayesiana","Fabaceae",2003,2003-07-27 00:00:00.000,480,61,"rain forest",11.00766,-85.47926
"Astraptes YESENN","03-SRNP-15877","http://janzen.sas.upenn.edu/2700ARCHIVES/03/03-SRNP-15877-DHJ341380.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/03/03-SRNP-15877-DHJ400968.jpg","male","Senna undulata","Fabaceae",2003,2003-07-27 00:00:00.000,400,47,"rain forest",11.01087,-85.48817
"Astraptes LOHAMP","03-SRNP-15889","http://janzen.sas.upenn.edu/2700ARCHIVES/03/03-SRNP-15889-DHJ341098.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/03/03-SRNP-15889-DHJ400970.jpg","male","Hampea appendiculata","Malvaceae",2003,2003-07-27 00:00:00.000,400,49,"rain forest",11.01087,-85.48817
"Astraptes YESENN","03-SRNP-15893","http://janzen.sas.upenn.edu/2700ARCHIVES/03/03-SRNP-15893-DHJ341140.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/03/03-SRNP-15893-DHJ400972.jpg","female","Senna undulata","Fabaceae",2003,2003-07-15 00:00:00.000,400,55,"rain forest",11.01087,-85.48817
"Astraptes YESENN","03-SRNP-16844","http://janzen.sas.upenn.edu/2700ARCHIVES/03/03-SRNP-16844-DHJ341300.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/03/03-SRNP-16844-DHJ401032.jpg","male","Senna hayesiana","Fabaceae",2003,2003-08-03 00:00:00.000,400,53,"rain forest",11.01087,-85.48817
"Astraptes YESENN","03-SRNP-18626","http://janzen.sas.upenn.edu/2700ARCHIVES/03/03-SRNP-18626-DHJ341072.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/03/03-SRNP-18626-DHJ77103.jpg","male","Senna undulata","Fabaceae",2003,2003-09-26 00:00:00.000,400,51,"rain forest",11.01087,-85.48817
