cod,descricao
20024,"TEMPERO  COMPLETO  NATURAL  S/PIMENTA 300GR"
20025,"TEMPERO  COMPLETO BACON  C/PIMENTA 340GR"
20026,"TEMPERO  COMPLETO  NATURAL 340GR"
20027,"TEMPERO  COMPLETO  PICANTE 340GR"
20028,"PASTA DE ALHO  C/SAL 380GR"
20029,"REFOGA  (OREGANO) 380GR"
20030,"REFOGA  (SALSA/CEBOLINHA 380GR"
20031,"TEMPERO  COMPLETO  C/PASTA DE ALHO  380GR"
20032,"SAL GROSSO  C/ALHO 500GR"
20033,"SAL GROSSO  C/ERVAS FINAS  500GR"
20034,"TEMPERO  COMPLETO P/  CHURRASCO  500GR"
20035,"CANELA EM PO  20GR (TUBO)"
20036,"CANELA EM PO  40GR (TUBO)"
20037,"PIMENTA DO  REINO EM PO  20GR (TUBO)"
20038,"PIMENTA DO  REINO EM PO  40GR (TUBO)"
20039,"ALHO EM PASTA S/  SAL 200G"
20041,"ALHO FRITO  100GR CX 24 UNID"
20042,"ALHO E CEBOLA  PICADINHO S/SAL  180GR CX 36 UNID"
20043,"ALHO PICADINHO  C/ERVAS FINAS  S/SAL 180GR CX 36  UNID"
20044,"ALHO PICADINHO  S/SAL 180GR CX 36  UNID"
20045,"ALHO PICADINHO  S/SAL 1.010KG CX  12 UNID"
20046,"COLORIFICO DA  ROCA 150GR CX  36 UNID"
20047,"COLORIFICO  NORDESTINO  200GR FD 50 UNID"
20048,"COLORIFICO  EXTRA S/SAL  500GR FD 30 UNID"
20049,"CREME P/PAO DE  ALHO  TRADICIONAL  200GR CX 36 UNID"
20050,"CREME P/PAO DE  ALHO PICANTE  200GR CX 36 UNID"
20051,"EMPANA  CAMARAO E  LEGUMES 250GR  FD 50 UNID"
20052,"EMPANA PRATICO  CARNE 250GR FD  50 UNID"
20053,"EMPANA PRATICO  FRANGO 250GR FD  50 UNID"
20054,"EMPANA PRATICO  PEIXE 250GR FD 50  UNID"
20055,"EMPANA PRATICO  CARNE 500GR FD  40 UNID"
20056,"EMPANA PRATICO  FRANGO 500GR FD  40 UNID"
20057,"EMPANA PRATICO  PEIXE 500GR FD 40  UNID"
20058,"EMPANA TUDO  500GR FD 40 UNID"
20059,"OREGANO 100GR  FD 24 UNID"
20060,"ALHO E SAL 300GR  CX 24 UNID"
20061,"TEMPERO  COMPLETO BACON  C/PIMENTA 300GR  CX 24 UNID"
20062,"TEMPERO  COMPLETO  C/OREGANO  300GR CX 24 UNID"
20063,"TEMPERO  COMPLETO GRILL  300GR CX 24 UNID"
20064,"TEMPERO  COMPLETO  NATURAL  S/PIMENTA 300GR  CX 24 UNID"
20065,"TEMPERO  COMPLETO BACON  C/PIMENTA 340GR  FD 30 UNID"
20066,"TEMPERO  COMPLETO  NATURAL 340GR  FD 30 UNID"
20067,"TEMPERO  COMPLETO  PICANTE 340GR FD  30 UNID"
20068,"PASTA DE ALHO  C/SAL 380GR CX  24 UNID"
20069,"REFOGA  (OREGANO) 380GR  CX 24 UNID"
20070,"REFOGA  (SALSA/CEBOLINHA 380GR CX 24 UNID"
20071,"TEMPERO  COMPLETO  C/PASTA DE ALHO  380GR CX 24 UNID"
20072,"SAL GROSSO  C/ALHO 500GR FD  60 UNID"
20073,"SAL GROSSO  C/ERVAS FINAS  500GR FD 60 UNID"
20074,"TEMPERO  COMPLETO P/  CHURRASCO  500GR FD 60 UNID"
20075,"CANELA EM PO  20GR (TUBO) FD  24 UNID"
20076,"CANELA EM PO  40GR (TUBO) FD  24 UNID"
20077,"PIMENTA DO  REINO EM PO  20GR (TUBO) FD  24 UNID"
20078,"PIMENTA DO  REINO EM PO  40GR (TUBO) FD  24 UNID"
20082,"COLORIFICO  EXTRA (PACOTE)  200G"
20083,"ALHO EM PASTA S/  SAL 1.010KG"
20084,"ALHO EM PASTA S/  SAL 200G CX 36  UNID"
20085,"TEMPERO  COMPLETO GRILL  340GR"
20086,"TEMPERO  COMPLETO GRILL  340GR FD 30 UNID"
20088,"ALHO EM PASTA S/  SAL 1.010KG CX 12  UNID"
20090,"CEBOLA PICADA  180G CX 36 UNID"
20093,"CALDO DE  CAMARAO C/  ERVAS FINAS POTE  180G"
20094,"CALDO DE PEIXE  C/ ERVAS FINAS  POTE 180G"
20097,"SALGADINHO  PURURUCA  LISTRADO 200G"
20098,"SALGADINHO  PURURUCA  NATURAL 200G"
20099,"CEBOLA PICADA  180G"
20100,"SALGADINHO  PURURUCA  NATURAL 200G FD  30 UNID"
20101,"SALGADINHO  PURURUCA  LISTRADO 200G FD  30 UNID"
20106,"MISTURA P/  TAPIOCA 500G"
20107,"SALGADINHO  PURURUCA BACON  350G"
20108,"SALGADINHO  PURURUCA  NATURAL 350G"
20109,"SALGADINHO  PURURUCA BACON  350G"
20110,"SALGADINHO  PURURUCA  NATURAL 350G"
20111,"MISTURA P/  TAPIOCA 500G CX  30 UNID"
20112,"PURO ALHO 200G"
20113,"PURO ALHO 200G  CX 36 UNID"
20114,"PURO ALHO 1KG"
20115,"PURO ALHO 1KG  CX 12 UNID"
20116,"PURO ALHO 2KG"
20117,"PURO ALHO 2KG  FD 06 UNID"
20130,"SAL GROSSO 500G"
20131,"SAL DEFUMADO  500G"
20287,"SUPRASAL 500G"
20288,"SUPRASAL 500GR  FD 60 UNID"
3,"MOLHOS"
30001,"MOLHO DE ALHO  C/ ERVAS FINAS  150ML"
30002,"MOLHO DE ALHO  C/ PIMENTA 150ML."
30003,"MOLHO ARABE  150ML."
30004,"MOLHO DE ALHO  150ML."
30005,"MOLHO DE CEBOLA  150ML"
30006,"MOLHO DE  PIMENTA  CALABRESA 150ML"
30007,"MOLHO DE  PIMENTA 150ML"
30008,"MOLHO DE  PIMENTA AMARELA  150ML"
30009,"MOLHO DE  PIMENTA VERDE  150ML"
30011,"MOLHO DE SALSA  150ML"
30012,"MOLHO P/  CHURRASCO 150ML"
30013,"MOLHO INGLES  150ML"
30014,"MOLHO SHOYU  150ML"
30032,"MOLHO DE ALHO  C/ ERVAS FINAS  150ML CX 24 UNID"
30033,"MOLHO DE ALHO  C/ PIMENTA 150ML  CX 24 UNID"
30034,"MOLHO ARABE  150ML CX 24 UNID"
30035,"MOLHO DE ALHO  150ML CX 24 UNID"
30036,"MOLHO DE CEBOLA  150ML CX 24UNID"
30037,"MOLHO DE  PIMENTA  CALABRESA 150ML  CX 24 UNID"
30038,"MOLHO DE  PIMENTA 150ML CX  24 UNID"
30039,"MOLHO DE  PIMENTA AMARELA  150ML CX 24 UNID"
30041,"MOLHO DE  PIMENTA VERDE  150ML CX 24 UNID"
30045,"MOLHO DE  PIMENTA VULCÃO  1.010KG"
30047,"MOLHO DE ALHO  1.010KG"
30048,"MOLHO DE SALSA  150ML CX 24 UNID"
30049,"MOLHO P/  CHURRASCO  150ML CX 24UNID"
30050,"MOLHO INGLES  150ML CX 24 UNID"
30051,"MOLHO SHOYU  150ML CX 24 UNID"
30063,"MOLHO P/  GRELHADOS 145ML"
30064,"MOLHO P/  GRELHADOS 145ML  CX 24 UNID"
30068,"MOLHO DE  PIMENTA VULCAO  150ML"
30069,"MOLHO DE  PIMENTA VULCAO  150ML CX 24 UNID"
30070,"MOLHO DE ALHO  C/ ERVAS FINAS  1.010KG"
30071,"MOLHO DE ALHO  C/ PIMENTA  1.010KG"
30072,"MOLHO ÁRABE  1.010KG"
30073,"MOLHO DE  PIMENTA  CALABRESA  1.010KG"
30074,"MOLHO DE  PIMENTA 1.010KG"
30075,"MOLHO P/  CHURRASCO  1.010KG"
30076,"MOLHO INGLÊS  1.010KG"
30077,"MOLHO SHOYU  1.010KG"
30078,"MOLHO P/  GRELHADOS  1.010KG"
30079,"MOLHO DE CEBOLA  1.010KG"
30080,"MOLHO DE  PIMENTA VERDE  1.010KG"
30081,"MOLHO DE  PIMENTA AMARELA  1.010KG"
30082,"KETCHUP  TRADICIONAL 200G"
30083,"KETCHUP  TRADICIONAL 400G"
30084,"MOLHO BARBECUE  200G"
30085,"MOSTARDA 200G"
30086,"MOLHO DE  PIMENTA  VERMELHA  CREMOSO 150ML"
30087,"MOLHO DE  PIMENTA C/ AÇAÍ  CREMOSO 150ML"
30090,"MOLHO DE  PIMENTA C/ ALHO  E ERVAS CREMOSO  150ML"
30092,"KETCHUP  TRADICIONAL  400G CX 24 UNID"
30095,"MOLHO DE  PIMENTA C/ AÇAÍ  CREMOSO 150ML  CX 24 UNID"
30096,"MAIONESE  DEFUMADA 200G"
30097,"CHIMI CHURRI  CREMOSO 200G"
30098,"SUPRA JACK 200G"
30099,"MAIONESE  TEMPERADA 200G"
30102,"MOLHO DE  PIMENTA  BIQUINHO  CREMOSO 150ML"
30103,"MOLHO DE  PIMENTA  VERMELHA  CREMOSO 150ML  CX 24 UNID"
30104,"MOLHO DE  PIMENTA  DEFUMADA  CREMOSO 150ML  CX 24 UNID"
30105,"MOLHO DE  PIMENTA VERDE  CREMOSO 150ML  CX 24 UNID"
30106,"MOLHO DE  PIMENTA C/ ALHO  E ERVAS CREMOSO  150ML CX 24 UNID"
30107,"MAIONESE  TEMPERADA 200G  CX 24 UNID"
30108,"MAIONESE  DEFUMADA 200G  CX 24 UNID"
30109,"SUPRA JACK 200G  CX 24 UNID"
30110,"CHIMI CHURRI  CREMOSO 200G CX  24 UNID"
30111,"MOLHO DE  PIMENTA  DEFUMADA  CREMOSO 150ML"
30112,"MOLHO DE  PIMENTA VERDE  CREMOSO 150ML"
30113,"MOLHO BARBECUE  200G CX 24 UNID"
30114,"PASTA DE  PIMENTA  CREMOSA 200G"
30115,"PASTA DE  PIMENTA  CREMOSA 200G CX  24 UNID"
30116,"MOLHO DE  PIMENTA  DEFUMADA  CREMOSO 1.010KG"
30117,"MOSTARDA 200G  CX 24 UNID"
30123,"MOLHO DE  PIMENTA  BIQUINHO  CREMOSO 150ML  CX 24 UNID"
30124,"KETCHUP  TRADICIONAL  200G CX 24 UNID"
4,"CONSERVAS"
40001,"AZEITE DE DENDE  150ML"
40002,"PIMENTA  MALAGUETA (CON.  VERDE) 50G"
40003,"PIMENTA  MALAGUETA (CON.  VERM) 50G"
40004,"MIX DE PIMENTAS  170GR"
40005,"PIMENTA  BIQUINHO 150GR"
40006,"PIMENTA DEDO DE  MOCA 130GR"
40007,"PIMENTA CUMARI  DO PARA 180GR"
40008,"PIMENTA  MALAGUETA  CURTIDA 180GR"
40009,"PIMENTA  MALAGUETA  CURTIDA  VERMELHA 900ML"
40010,"PIMENTA  MALAGUETA  CURTIDA VERDE  900ML"
40014,"AZEITE DE DENDE  150ML CX 24 UNID"
40015,"PIMENTA  MALAGUETA (CON.  VERDE) 50G FD 24  UNID"
40016,"PIMENTA  MALAGUETA (CON.  VERM) 50G FD 24  UNID"
40017,"MIX DE PIMENTAS  170GR CX 24 UNID"
40018,"PIMENTA  BIQUINHO 150GR  CX 24 UNID"
40019,"PIMENTA DEDO DE  MOCA 130GR CX  24 UNID"
40020,"PIMENTA CUMARI  DO PARA 180GR  CX 24 UNID"
40021,"PIMENTA  MALAGUETA  CURTIDA 180GR  CX 24 UNID"
40024,"AZEITE DE DENDÊ  1.010KG"
5,"INSTITUCIONAL"
50001,"ACAFRAO 500GR"
50002,"ALECRIM 500GR"
50003,"ALFAVACA 500GR"
50004,"ALHO FRITO  TEMPERADO  (PACOTE) 500GR"
50005,"ALHO PICADINHO  C/ERVAS FINAS  1.010KG"
50007,"AMIDO DE MILHO  1.010KG"
50008,"BICARBONATO DE  SODIO 500GR"
50009,"CALDO DE BACON  C/ERVAS FINAS  1.010KG"
50010,"CALDO DE  CAMARAO  C/ERVAS FINAS  1.010KG"
50011,"CALDO DE CARNE  C/ERVAS FINAS  1.010KG"
50012,"CALDO DE  GALINHA C/ERVAS  FINAS 1.010KG"
50013,"CALDO DE PEIXE  C/ERVAS FINAS  1.010KG"
50022,"CANELA EM CASCA  500GR"
50023,"CANELA EM PO  PURA 500GR"
50024,"CEBOLINHA VERDE  DESIDRATADA  500GR"
50025,"CHIMI CHURRI  500GR"
50026,"CONFEITO  CHOCOLATE  GRANULADO 500GR"
50027,"COENTRO  DESIDRATADO  500GR"
50028,"COENTRO MOIDO  500GR"
50029,"COLORIFICO  EXTRA 1KG"
50030,"COLORIFICO  PRATICO S/SAL  1KG"
50031,"COMINHO MOIDO  PURO 500GR"
50032,"CRAVO DA INDIA  500GR"
50033,"ALHO E SAL  1.010KG"
50034,"CEBOLA EM PO 1KG"
50035,"CREME P/PAO DE  ALHO 1.010KG"
50036,"CURRY 500GR"
50037,"EMPANA CEBOLA  20KG"
50038,"EMPANA PRATICO  FRANGO 1KG"
50040,"ERVA DOCE 500GR"
50041,"ERVAS FINAS  500GR"
50042,"LEMON PEPPER  500GR"
50043,"LOURO EM FOLHA  500GR"
50044,"MANJERICAO  500GR"
50045,"MOLHO DE ALHO  3.100KG"
50046,"MOLHO DE ALHO  COM ERVAS FINAS  3.100KG"
50047,"MOLHO DE  CHURRASCO  3.100KG"
50048,"MOLHO DE  PIMENTA 3.100KG"
50049,"MOLHO DE  PIMENTA  CALABRESA  3.100KG"
50050,"MOLHO INGLES  3.100KG"
50051,"MOLHO  CONDIMENTADO  COLOSSAL 12KG"
50052,"MOLHO  CONDIMENTADO  PICANTE 6KG"
50054,"NOZ MOSCADA  MOIDA 500GR"
50055,"OREGANO 500GR"
50056,"PAPRICA DOCE  500GR"
50057,"PASTA DE ALHO C/  SAL 1.010KG"
50061,"PIMENTA  CALABRESA  FLOCOS 500GR"
50062,"PIMENTA DO  REINO E COMINHO  MOIDO 500GR"
50063,"PIMENTA DO  REINO GRAO  500GR"
50064,"PIMENTA DO  REINO MOIDA  500GR"
50065,"PIMENTA DO  REINO MOIDA  BRANCA 500GR"
50066,"PIMENTA CUMARI  DO PARA PET 2LTS"
50067,"PIMENTA  MALAGUETA PET  2LTS"
50068,"PIMENTA MIX 2LTS"
50069,"REALCADOR DE  SABOR 1KG."
50070,"SALSA  DESIDRATADA   500GR"
50071,"TEMPERO BAIANO  500GR"
50072,"TEMPERO MISTO  500GR"
50073,"TEMPERO  CHURRASCO 10KG"
50074,"TEMPERO  COMPLETO  C/PASTA DE ALHO  1.010KG"
50075,"TEMPERO  COMPLETO  C/ERVAS FINAS  1.010KG"
50076,"TEMPERO  COMPLETO BACON  1.010KG"
50077,"TEMPERO  COMPLETO GRILL  1.010KG"
50078,"TEMPERO  COMPLETO  NATURAL 1.010KG"
50079,"TEMPERO  COMPLETO  PICANTE  C/PIMENTA  1.010KG"
50080,"TEMPERO  P/CHURRASCO  1.010KG"
50081,"URUCUM 500GR"
50082,"UVA PASSAS 500GR"
50083,"LOURO EM PO  500GR"
50084,"COLORIFICO  PRATICO 500GR"
50085,"CONFEITO  CHOCOLATE  REDONDO 500G"
50086,"CONFEITO  COLORIDO 500G"
50089,"GERGELIM 500GR"
50095,"PIMENTA  BIQUINHO 2 LT"
50096,"ALHO E CEBOLA  PICADINHO S/ SAL  1 KG"
50102,"TOMILHO 500G"
50104,"AMACIANTE DE  CARNE C/ ERVAS  FINAS 1.010KG"
50105,"CALDO DE  BACALHAU C/  ERVAS FINAS  1.010KG"
50106,"HORTELA 500G"
50107,"ALHO FRITO  (POTE) 500G"
50108,"ALHO FRITO 500G  (POTE) FD 12 UNID"
50112,"CEBOLA PICADA  1.010KG"
50113,"CEBOLA EM  FLOCOS  DESIDRATADA  500G"
50114,"ALHO EM PO 500G."
50115,"MOLHO SHOYU  3.100 LTS"
50116,"CREME DE CEBOLA  1KG"
50119,"EMPANA FOODS  20KG"
50120,"KETCHUP  TRADICIONAL  1.010KG"
50121,"KETCHUP  TRADICIONAL  3.100KG"
50122,"BARBECUE 1.010KG"
50123,"ALHO E CEBOLA  PICADINHO S/ SAL  1 KG CX 12 UNID"
50124,"ALHO PICADINHO  C/ ERVAS FINA S/  SAL 1KG CX 12  UNID"
50125,"BARBECUE 3.100KG"
50126,"MOSTARDA  1.010KG"
50127,"MOSTARDA  3.100KG"
50128,"ALHO  DESIDRATADO  500G"
50129,"ALHO EM FLOCOS  500G"
50130,"GENGIBRE EM PÓ  500G"
50131,"COLORIFICO  PRATICO 500GR  FD 30 UNID"
50132,"MOLHO FOODS  3.100 KG"
50134,"SUPRA JACK  1.010KG"
50135,"MAIONESE  DEFUMADA  1.010KG."
50136,"CHIMI CHURRI  CREMOSO  1.010KG."
50138,"PATÊ DE ALHO  1.010KG"
50139,"MAIONESE  TEMPERADA  1.010KG."
50140,"MOLHO 3 EM 1  1.010KG"
50142,"LEMON PEPPER  CREMOSO 1.010KG"
50143,"PASTA DE  PIMENTA  CREMOSA 1.010KG"
50144,"FECULA DE  MANDIOCA 25KG"
50145,"ORÉGANO 250G"
50146,"PASTA DE  PIMENTA  CREMOSA 1.010KG  CX 12 UNID"
50147,"CALDO DE  GALINHA FOODS  1.010KG"
50148,"CALDO DE CARNE  FOODS 1.010KG"
50149,"CALDO DE BACON  FOODS 1.010KG"
50150,"EMPANA FACIL 1KG"
50152,"ALHO FRITO 20KG"
50153,"PAPRICA PICANTE  500G"
50154,"PIMENTA  BIQUINHO 2KG"
50155,"OREGANO  36X6X20G"
50156,"MANJERICÃO  36X6X10G"
50157,"HORTELÃ 36X6X6G"
50158,"GENGIBRE EM PÓ  36X6X20G"
50159,"ERVAS FINAS  36X6X10G"
50160,"ALHO FRITO  36X6X30G"
50161,"ALHO EM FLOCOS  36X6X20G"
50162,"COENTRO MOIDO  36X6X10G"
50163,"CURRY 36X6X15G"
50164,"CALDO DE  BACALHAU C/  ERVAS FINAS  36X6X60G"
50165,"CALDO DE  CAMARÃO C/  ERVAS FINAS  36X6X60G"
50166,"CALDO DE PEIXE  C/ ERVAS FINAS  36X6X60G"
50167,"MOLHO P/  GRELHADOS  12X1.010L"
50168,"MOLHO DE ALHO  C/ PIMENTA  12X1.010L"
50169,"MOLHO DE  PIMENTA VERDE  12X1.010L"
50170,"MOLHO DE  PIMENTA VULCÃO  12X1.010L"
50171,"MOLHO DE  PIMENTA AMARELA  12X1.010L"
6,"DIVERSOS"
60001,"IMPRESSOS -  SOLAPA COM  VERNIZ TOTAL"
60002,"VENTILADOR 40  CM TURBO"
60003,"RODA CARRINHO  COMPLETA 3.25X8"
60004,"CANECA ALUM.  N14 2.5L CB LUXO"
60005,"GOMA ELASTICA P/  CEDULA MERCUR"
60006,"FITA EMPACOT.  45X45"
60007,"VEIC. PUBL -  REVISTA SUPER  RIO"
60008,"TESOURA"
60009,"LUVA DE  BORRACHA TAM M  AMARELA"
60010,"FITILHO ROLO 1KG"
60011,"FITA QUALITAPE  TRANSP 48X40  ADELBRAS"
60012,"PANO DE CHAO"
60013,"DESINFETANTE 5 LT"
60014,"CLORO/ALVEJANTE  5 LT"
60015,"SABONETE 5 LT  ERVA DOCE"
60016,"ET ADES 48X50 CR"
60017,"TONER  COMPATIVEL HP  CF283A"
60018,"SELO 75 MM AL +  PE -NL CASCA"
60019,"CIMENTCOLA  QUARTZOLIT  PORC.INTERNO  BRANCO 20KG"
60020,"AGUARRAS TEMPO  900ML"
60021,"1 - GRELHA 10X10  QUADRADA C/  PRESSAO MEBER -  266820"
60022,"MIXER/TRITURADO MP450 ULTRA EP  220/60/1"
60023,"PNEU 175/70R14  84T YH11 JINYU"
60024,"VALVULA TR418"
60025,"4 - MOSAICO  30.5X30.5 PADUA  TRAVERTINO  INCEPA -  74650000A"
60027,"4 - REV.46X67  TRAMA NUDE. 1L  ITAGRES -"
60028,"7 - REV.32X60  RET.TRADICIONAL BEIGE  BIANCOGRES -  BR0111B1"
60029,"1 - ARGAMASSA  P/PAST.BRANCO  (VIDRO/NGK) 5 KG  CERAMFIX - 603313"
60030,"3 - PISO 60X60  PORC.RET.RIVIERA CLAIRE MATE  ROCA - 450560041"
