Year,variable,value
1981,LabelVisibility,0
1982,LabelVisibility,0
1983,LabelVisibility,0
1984,LabelVisibility,0
1985,LabelVisibility,0
1986,LabelVisibility,0
1987,LabelVisibility,0
1988,LabelVisibility,0
1989,LabelVisibility,0
1990,LabelVisibility,0
1991,LabelVisibility,0
1992,LabelVisibility,0
1993,LabelVisibility,0
1994,LabelVisibility,0
1995,LabelVisibility,0
1996,LabelVisibility,0
1997,LabelVisibility,0
1998,LabelVisibility,0
1999,LabelVisibility,0
2000,LabelVisibility,0
2001,LabelVisibility,0
2002,LabelVisibility,0
2003,LabelVisibility,0
2004,LabelVisibility,0
2005,LabelVisibility,0
2006,LabelVisibility,0
2007,LabelVisibility,0
2008,LabelVisibility,0
2009,LabelVisibility,0
2010,LabelVisibility,0
2011,LabelVisibility,0
2012,LabelVisibility,1
