Project Application,Project Application Date,Projects,Project Application ID,Final Interview,Interview,Counter Proposal Date,Proposal Rejection Date,Project Application Stage,Project Application Status,Source,Proposal Status,Proposal ID,Resolved,Consultant ID,Project ID
"Project Application10",2021-02-25 16:32:03.000,"Projects21","Project Application ID32","Final Interview19","Interview16",2021-03-31 16:32:03.000,2021-03-30 16:32:03.000,"Project Application Stage2","Inactive","Source49","Hold","Proposal ID27","Yes","Consultant ID3","Project ID34"
"Project Application36",2020-09-12 19:51:21.000,"Projects5","Project Application ID25","Final Interview21","Interview11",2020-09-30 19:51:21.000,2020-09-29 19:51:21.000,"Project Application Stage3","Inactive","Source10","Reject","Proposal ID4","Yes","Consultant ID44","Project ID14"
"Project Application45",2020-03-29 18:05:49.000,"Projects10","Project Application ID28","Final Interview20","Interview49",2020-04-18 18:05:49.000,2020-04-17 18:05:49.000,"Project Application Stage3","Inactive","Source13","Reject","Proposal ID27","Yes","Consultant ID28","Project ID49"
"Project Application11",2021-01-22 10:03:53.000,"Projects32","Project Application ID37","Final Interview25","Interview29",2021-02-20 10:03:53.000,2021-02-19 10:03:53.000,"Project Application Stage3","Inactive","Source9","Reject","Proposal ID27","No","Consultant ID49","Project ID25"
"Project Application22",2020-06-24 23:51:08.000,"Projects50","Project Application ID25","Final Interview31","Interview41",2020-07-15 23:51:08.000,2020-07-14 23:51:08.000,"Project Application Stage2","Inactive","Source21","Accept","Proposal ID34","Yes","Consultant ID47","Project ID44"
"Project Application11",2020-02-11 20:08:39.000,"Projects24","Project Application ID41","Final Interview20","Interview17",2020-04-06 20:08:39.000,2020-04-05 20:08:39.000,"Project Application Stage2","Inactive","Source40","Reject","Proposal ID14","Yes","Consultant ID42","Project ID42"
"Project Application33",2020-02-26 11:59:14.000,"Projects10","Project Application ID26","Final Interview11","Interview27",2020-04-08 11:59:14.000,2020-04-07 11:59:14.000,"Project Application Stage2","Inactive","Source4","Accept","Proposal ID49","Yes","Consultant ID36","Project ID45"
"Project Application15",2021-06-24 13:56:11.000,"Projects8","Project Application ID27","Final Interview3","Interview12",2021-07-17 13:56:11.000,2021-07-16 13:56:11.000,"Project Application Stage1","Inactive","Source37","Reject","Proposal ID44","Yes","Consultant ID31","Project ID24"
"Project Application17",2021-06-04 12:14:41.000,"Projects4","Project Application ID4","Final Interview16","Interview8",2021-06-09 12:14:41.000,2021-06-08 12:14:41.000,"Project Application Stage2","Inactive","Source9","Reject","Proposal ID34","Yes","Consultant ID14","Project ID40"
"Project Application46",2021-11-16 06:27:52.000,"Projects23","Project Application ID26","Final Interview10","Interview13",2022-01-07 06:27:52.000,2022-01-06 06:27:52.000,"Project Application Stage3","Inactive","Source45","Reject","Proposal ID42","No","Consultant ID18","Project ID35"
"Project Application29",2021-01-28 11:58:06.000,"Projects48","Project Application ID44","Final Interview29","Interview16",2021-04-19 11:58:06.000,2021-04-18 11:58:06.000,"Project Application Stage4","Inactive","Source16","Accept","Proposal ID45","Yes","Consultant ID17","Project ID2"
"Project Application46",2020-05-20 11:06:17.000,"Projects15","Project Application ID14","Final Interview20","Interview36",2020-07-03 11:06:17.000,2020-07-02 11:06:17.000,"Project Application Stage1","Inactive","Source8","Reject","Proposal ID29","Yes","Consultant ID1","Project ID48"
"Project Application26",2021-06-09 12:46:10.000,"Projects43","Project Application ID14","Final Interview40","Interview44",2021-08-26 12:46:10.000,2021-08-25 12:46:10.000,"Project Application Stage1","Inactive","Source17","Accept","Proposal ID4","Yes","Consultant ID47","Project ID17"
"Project Application16",2020-04-29 08:26:21.000,"Projects24","Project Application ID17","Final Interview21","Interview7",2020-06-05 08:26:21.000,2020-06-04 08:26:21.000,"Project Application Stage1","Inactive","Source17","Reject","Proposal ID50","No","Consultant ID7","Project ID37"
"Project Application26",2021-07-22 10:44:44.000,"Projects44","Project Application ID8","Final Interview6","Interview30",2021-09-17 10:44:44.000,2021-09-16 10:44:44.000,"Project Application Stage2","Inactive","Source35","Reject","Proposal ID40","Yes","Consultant ID27","Project ID15"
"Project Application37",2021-02-26 02:41:27.000,"Projects27","Project Application ID1","Final Interview26","Interview41",2021-04-05 02:41:27.000,2021-04-04 02:41:27.000,"Project Application Stage2","Inactive","Source45","Reject","Proposal ID14","No","Consultant ID34","Project ID29"
"Project Application16",2020-08-07 17:37:20.000,"Projects45","Project Application ID41","Final Interview33","Interview7",2020-10-15 17:37:20.000,2020-10-14 17:37:20.000,"Project Application Stage3","Inactive","Source21","Accept","Proposal ID29","Yes","Consultant ID9","Project ID46"
"Project Application44",2020-12-19 00:19:12.000,"Projects14","Project Application ID38","Final Interview22","Interview41",2021-02-17 00:19:12.000,2021-02-16 00:19:12.000,"Project Application Stage3","Inactive","Source31","Reject","Proposal ID35","Yes","Consultant ID48","Project ID43"
"Project Application17",2021-08-19 11:26:19.000,"Projects35","Project Application ID22","Final Interview44","Interview1",2021-11-01 11:26:19.000,2021-10-31 11:26:19.000,"Project Application Stage3","Inactive","Source13","Accept","Proposal ID44","Yes","Consultant ID25","Project ID22"
"Project Application38",2020-07-31 20:42:11.000,"Projects46","Project Application ID24","Final Interview7","Interview15",2020-08-19 20:42:11.000,2020-08-18 20:42:11.000,"Project Application Stage2","Inactive","Source8","Reject","Proposal ID40","No","Consultant ID49","Project ID11"
"Project Application11",2021-05-16 22:58:35.000,"Projects35","Project Application ID31","Final Interview33","Interview15",2021-06-12 22:58:35.000,2021-06-11 22:58:35.000,"Project Application Stage2","Inactive","Source37","Hold","Proposal ID2","Yes","Consultant ID16","Project ID30"
"Project Application9",2020-05-21 09:41:08.000,"Projects40","Project Application ID42","Final Interview17","Interview48",2020-06-28 09:41:08.000,2020-06-27 09:41:08.000,"Project Application Stage1","Inactive","Source15","Reject","Proposal ID4","No","Consultant ID14","Project ID39"
"Project Application44",2021-11-22 13:44:35.000,"Projects40","Project Application ID23","Final Interview46","Interview10",2021-12-13 13:44:35.000,2021-12-12 13:44:35.000,"Project Application Stage1","Inactive","Source24","Accept","Proposal ID25","Yes","Consultant ID25","Project ID27"
"Project Application27",2020-05-05 22:49:35.000,"Projects41","Project Application ID40","Final Interview50","Interview13",2020-06-22 22:49:35.000,2020-06-21 22:49:35.000,"Project Application Stage2","Inactive","Source23","Reject","Proposal ID17","Yes","Consultant ID36","Project ID34"
"Project Application7",2021-02-14 20:38:25.000,"Projects32","Project Application ID10","Final Interview18","Interview46",2021-03-02 20:38:25.000,2021-03-01 20:38:25.000,"Project Application Stage3","Inactive","Source16","Accept","Proposal ID37","Yes","Consultant ID39","Project ID14"
"Project Application12",2020-05-16 17:24:09.000,"Projects47","Project Application ID18","Final Interview21","Interview26",2020-08-10 17:24:09.000,2020-08-09 17:24:09.000,"Project Application Stage4","Inactive","Source19","Reject","Proposal ID34","No","Consultant ID22","Project ID49"
"Project Application14",2020-10-31 15:07:14.000,"Projects33","Project Application ID18","Final Interview49","Interview33",2020-12-05 15:07:14.000,2020-12-04 15:07:14.000,"Project Application Stage1","Inactive","Source9","Hold","Proposal ID25","Yes","Consultant ID6","Project ID25"
"Project Application19",2020-02-14 23:39:17.000,"Projects35","Project Application ID13","Final Interview5","Interview41",2020-04-12 23:39:17.000,2020-04-11 23:39:17.000,"Project Application Stage1","Inactive","Source9","Reject","Proposal ID42","Yes","Consultant ID32","Project ID44"
"Project Application17",2021-05-26 13:27:23.000,"Projects47","Project Application ID46","Final Interview43","Interview26",2021-07-07 13:27:23.000,2021-07-06 13:27:23.000,"Project Application Stage1","Inactive","Source1","Accept","Proposal ID15","Yes","Consultant ID29","Project ID50"
"Project Application26",2020-10-06 17:49:14.000,"Projects4","Project Application ID1","Final Interview48","Interview39",2020-12-23 17:49:14.000,2020-12-22 17:49:14.000,"Project Application Stage2","Inactive","Source16","Reject","Proposal ID39","Yes","Consultant ID42","Project ID41"
"Project Application24",2020-09-21 12:49:42.000,"Projects29","Project Application ID14","Final Interview29","Interview16",2020-11-28 12:49:42.000,2020-11-27 12:49:42.000,"Project Application Stage2","Inactive","Source2","Accept","Proposal ID25","Yes","Consultant ID31","Project ID24"
"Project Application9",2021-06-17 08:20:41.000,"Projects5","Project Application ID3","Final Interview23","Interview11",2021-06-18 08:20:41.000,2021-06-17 08:20:41.000,"Project Application Stage3","Inactive","Source35","Reject","Proposal ID39","No","Consultant ID35","Project ID40"
"Project Application4",2020-01-19 01:59:05.000,"Projects33","Project Application ID13","Final Interview49","Interview25",2020-02-19 01:59:05.000,2020-02-18 01:59:05.000,"Project Application Stage1","Active","Source33","Accept","Proposal ID29","Yes","Consultant ID12","Project ID29"
"Project Application36",2021-05-07 14:46:28.000,"","Project Application ID19","","",2021-06-07 14:46:28.000,2021-06-06 14:46:28.000,"","","","","","No","Consultant ID12",""
"Project Application26",2021-09-27 21:56:18.000,"","Project Application ID21","","",2021-12-16 21:56:18.000,2021-12-15 21:56:18.000,"","","","","","Yes","Consultant ID13",""
"Project Application26",2021-05-15 18:01:22.000,"Projects49","Project Application ID24","Final Interview22","Interview45",2021-07-27 18:01:22.000,2021-07-26 18:01:22.000,"Project Application Stage1","Active","Source22","Accept","Proposal ID4","Yes","Consultant ID21","Project ID39"
"Project Application27",2020-05-07 10:32:27.000,"Projects16","Project Application ID45","Final Interview23","Interview46",2020-07-23 10:32:27.000,2020-07-22 10:32:27.000,"Project Application Stage2","Active","Source16","Reject","Proposal ID39","No","Consultant ID10","Project ID27"
"Project Application11",2021-04-22 08:19:31.000,"Projects26","Project Application ID45","Final Interview12","Interview8",2021-05-01 08:19:31.000,2021-04-30 08:19:31.000,"Project Application Stage1","Active","Source48","Reject","Proposal ID25","No","Consultant ID32","Project ID50"
"Project Application9",2021-07-22 18:11:27.000,"Projects37","Project Application ID13","Final Interview46","Interview31",2021-10-05 18:11:27.000,2021-10-04 18:11:27.000,"Project Application Stage1","Active","Source19","Hold","Proposal ID27","Yes","Consultant ID29","Project ID41"
"Project Application15",2021-06-24 13:56:11.000,"","Project Application ID27","","",2021-07-17 13:56:11.000,2021-07-16 13:56:11.000,"","","","","","Yes","Consultant ID31",""
"Project Application38",2021-05-18 23:45:46.000,"Projects19","Project Application ID3","Final Interview41","Interview33",2021-06-09 23:45:46.000,2021-06-08 23:45:46.000,"Project Application Stage1","Active","Source2","Hold","Proposal ID41","Yes","Consultant ID36","Project ID7"
"Project Application30",2021-11-03 03:07:39.000,"Projects46","Project Application ID14","Final Interview31","Interview7",2021-11-20 03:07:39.000,2021-11-19 03:07:39.000,"Project Application Stage1","Active","Source43","Reject","Proposal ID24","Yes","Consultant ID13","Project ID19"
"Project Application42",2020-08-01 11:17:40.000,"Projects7","Project Application ID49","Final Interview39","Interview25",2020-10-08 11:17:40.000,2020-10-07 11:17:40.000,"Project Application Stage2","Active","Source27","Reject","Proposal ID18","Yes","Consultant ID25","Project ID18"
"Project Application36",2020-11-28 23:47:45.000,"Projects45","Project Application ID29","Final Interview45","Interview15",2021-02-16 23:47:45.000,2021-02-15 23:47:45.000,"Project Application Stage1","Active","Source47","Reject","Proposal ID48","Yes","Consultant ID26","Project ID4"
"Project Application12",2020-08-03 01:11:02.000,"Projects30","Project Application ID8","Final Interview1","Interview22",2020-10-14 01:11:02.000,2020-10-13 01:11:02.000,"Project Application Stage1","Active","Source31","Reject","Proposal ID7","Yes","Consultant ID29","Project ID42"
"Project Application46",2020-07-06 05:27:35.000,"Projects43","Project Application ID2","Final Interview13","Interview46",2020-09-11 05:27:35.000,2020-09-10 05:27:35.000,"Project Application Stage1","Active","Source38","Reject","Proposal ID19","No","Consultant ID13","Project ID45"
"Project Application4",2020-01-19 01:59:05.000,"Projects33","Project Application ID13","Final Interview49","Interview25",2020-02-19 01:59:05.000,2020-02-18 01:59:05.000,"Project Application Stage1","Active","Source33","Accept","Proposal ID29","Yes","Consultant ID12","Project ID29"
"Project Application26",2021-05-15 18:01:22.000,"Projects49","Project Application ID24","Final Interview22","Interview45",2021-07-27 18:01:22.000,2021-07-26 18:01:22.000,"Project Application Stage1","Active","Source22","Accept","Proposal ID4","Yes","Consultant ID21","Project ID39"
"Project Application27",2020-05-07 10:32:27.000,"Projects16","Project Application ID45","Final Interview23","Interview46",2020-07-23 10:32:27.000,2020-07-22 10:32:27.000,"Project Application Stage2","Active","Source16","Reject","Proposal ID39","No","Consultant ID10","Project ID27"
"Project Application11",2021-04-22 08:19:31.000,"Projects26","Project Application ID45","Final Interview12","Interview8",2021-05-01 08:19:31.000,2021-04-30 08:19:31.000,"Project Application Stage1","Active","Source48","Reject","Proposal ID25","No","Consultant ID32","Project ID50"
"Project Application9",2021-07-22 18:11:27.000,"Projects37","Project Application ID13","Final Interview46","Interview31",2021-10-05 18:11:27.000,2021-10-04 18:11:27.000,"Project Application Stage1","Active","Source19","Hold","Proposal ID27","Yes","Consultant ID29","Project ID41"
"Project Application38",2021-05-18 23:45:46.000,"Projects19","Project Application ID3","Final Interview41","Interview33",2021-06-09 23:45:46.000,2021-06-08 23:45:46.000,"Project Application Stage1","Active","Source2","Hold","Proposal ID41","Yes","Consultant ID36","Project ID7"
"Project Application30",2021-11-03 03:07:39.000,"Projects46","Project Application ID14","Final Interview31","Interview7",2021-11-20 03:07:39.000,2021-11-19 03:07:39.000,"Project Application Stage1","Active","Source43","Reject","Proposal ID24","Yes","Consultant ID13","Project ID19"
"Project Application42",2020-08-01 11:17:40.000,"Projects7","Project Application ID49","Final Interview39","Interview25",2020-10-08 11:17:40.000,2020-10-07 11:17:40.000,"Project Application Stage2","Active","Source27","Reject","Proposal ID18","Yes","Consultant ID25","Project ID18"
"Project Application36",2020-11-28 23:47:45.000,"Projects45","Project Application ID29","Final Interview45","Interview15",2021-02-16 23:47:45.000,2021-02-15 23:47:45.000,"Project Application Stage1","Active","Source47","Reject","Proposal ID48","Yes","Consultant ID26","Project ID4"
"Project Application12",2020-08-03 01:11:02.000,"Projects30","Project Application ID8","Final Interview1","Interview22",2020-10-14 01:11:02.000,2020-10-13 01:11:02.000,"Project Application Stage1","Active","Source31","Reject","Proposal ID7","Yes","Consultant ID29","Project ID42"
"Project Application46",2020-07-06 05:27:35.000,"Projects43","Project Application ID2","Final Interview13","Interview46",2020-09-11 05:27:35.000,2020-09-10 05:27:35.000,"Project Application Stage1","Active","Source38","Reject","Proposal ID19","No","Consultant ID13","Project ID45"
