DATE,PRODUCT ID,QUANTITY,SALE TYPE,PAYMENT MODE,DISCOUNT %,Day,Year,Month Name,Master Data.PRODUCT,Master Data.CATEGORY,Master Data.UOM,Master Data.BUYING PRIZE,Master Data.SELLING PRICE,Total Buying Value,Total Selling Value
2022-10-30 00:00:00.000,P0042,3,Direct Sales,Cash,0,30,2022,Oct,Product42,Catagory04,Kg,120,162.0,360,486.0
2022-08-26 00:00:00.000,P0037,8,Online,Online,0,26,2022,Aug,Product37,Catagory04,Kg,67,85.76,536,686.08
2022-09-19 00:00:00.000,P0033,8,Wholesaler,Cash,0,19,2022,Sep,Product33,Catagory04,Kg,95,119.7,760,957.6
2021-03-08 00:00:00.000,P0027,6,Online,Cash,0,8,2021,Mar,Product27,Catagory04,Kg,48,57.120000000000005,288,342.72
2022-05-02 00:00:00.000,P0013,4,Online,Cash,0,2,2022,May,Product13,Catagory02,Kg,112,122.08,448,488.32
2022-02-08 00:00:00.000,P0005,11,Online,Cash,0,8,2022,Feb,Product05,Catagory01,Kg,133,155.61,1463,1711.71
2021-07-20 00:00:00.000,P0038,11,Online,Online,0,20,2021,Jul,Product38,Catagory04,Kg,72,79.92,792,879.12
2021-07-03 00:00:00.000,P0033,9,Online,Cash,0,3,2021,Jul,Product33,Catagory04,Kg,95,119.7,855,1077.3
2021-06-08 00:00:00.000,P0004,11,Wholesaler,Cash,0,8,2021,Jun,Product04,Catagory01,Kg,44,48.84,484,537.24
2022-08-23 00:00:00.000,P0044,11,Online,Online,0,23,2022,Aug,Product44,Catagory04,Kg,76,82.08,836,902.88
2022-07-20 00:00:00.000,P0042,8,Wholesaler,Online,0,20,2022,Jul,Product42,Catagory04,Kg,120,162.0,960,1296.0
2022-12-03 00:00:00.000,P0028,5,Wholesaler,Cash,0,3,2022,Dec,Product28,Catagory04,Kg,37,41.81,185,209.05
2021-08-26 00:00:00.000,P0039,4,Direct Sales,Online,0,26,2021,Aug,Product39,Catagory04,Kg,37,42.55,148,170.2
2021-06-03 00:00:00.000,P0021,10,Direct Sales,Cash,0,3,2021,Jun,Product21,Catagory03,Kg,126,162.54,1260,1625.4
2021-02-25 00:00:00.000,P0002,4,Wholesaler,Online,0,25,2021,Feb,Product02,Catagory01,Kg,105,142.8,420,571.2
2021-04-23 00:00:00.000,P0042,6,Direct Sales,Online,0,23,2021,Apr,Product42,Catagory04,Kg,120,162.0,720,972.0
2021-11-30 00:00:00.000,P0039,15,Direct Sales,Online,0,30,2021,Nov,Product39,Catagory04,Kg,37,42.55,555,638.25
2022-01-31 00:00:00.000,P0023,6,Online,Cash,0,31,2022,Jan,Product23,Catagory03,Kg,141,149.46,846,896.76
2021-10-07 00:00:00.000,P0026,6,Direct Sales,Cash,0,7,2021,Oct,Product26,Catagory04,Kg,18,24.66,108,147.96
2021-01-18 00:00:00.000,P0044,13,Direct Sales,Online,0,18,2021,Jan,Product44,Catagory04,Kg,76,82.08,988,1067.04
2022-01-03 00:00:00.000,P0043,9,Direct Sales,Cash,0,3,2022,Jan,Product43,Catagory04,Kg,67,83.08,603,747.72
2022-05-26 00:00:00.000,P0028,2,Direct Sales,Online,0,26,2022,May,Product28,Catagory04,Kg,37,41.81,74,83.62
2022-06-26 00:00:00.000,P0034,4,Direct Sales,Cash,0,26,2022,Jun,Product34,Catagory04,Kg,55,58.3,220,233.2
2022-11-25 00:00:00.000,P0004,5,Direct Sales,Cash,0,25,2022,Nov,Product04,Catagory01,Kg,44,48.84,220,244.2
2022-10-31 00:00:00.000,P0038,8,Direct Sales,Online,0,31,2022,Oct,Product38,Catagory04,Kg,72,79.92,576,639.36
2022-03-19 00:00:00.000,P0041,6,Wholesaler,Cash,0,19,2022,Mar,Product41,Catagory04,Kg,138,173.88,828,1043.28
2022-02-19 00:00:00.000,P0002,13,Online,Cash,0,19,2022,Feb,Product02,Catagory01,Kg,105,142.8,1365,1856.4
2021-11-28 00:00:00.000,P0040,2,Direct Sales,Cash,0,28,2021,Nov,Product40,Catagory04,Kg,90,115.2,180,230.4
2021-06-27 00:00:00.000,P0005,11,Direct Sales,Cash,0,27,2021,Jun,Product05,Catagory01,Kg,133,155.61,1463,1711.71
2021-04-18 00:00:00.000,P0038,9,Wholesaler,Online,0,18,2021,Apr,Product38,Catagory04,Kg,72,79.92,648,719.28
2021-12-28 00:00:00.000,P0029,6,Direct Sales,Cash,0,28,2021,Dec,Product29,Catagory04,Kg,47,53.11,282,318.66
2022-12-11 00:00:00.000,P0013,9,Wholesaler,Online,0,11,2022,Dec,Product13,Catagory02,Kg,112,122.08,1008,1098.72
2022-03-18 00:00:00.000,P0027,10,Direct Sales,Cash,0,18,2022,Mar,Product27,Catagory04,Kg,48,57.120000000000005,480,571.2
2022-07-17 00:00:00.000,P0041,8,Online,Cash,0,17,2022,Jul,Product41,Catagory04,Kg,138,173.88,1104,1391.04
2022-09-27 00:00:00.000,P0038,3,Wholesaler,Cash,0,27,2022,Sep,Product38,Catagory04,Kg,72,79.92,216,239.76
2021-02-12 00:00:00.000,P0008,7,Direct Sales,Cash,0,12,2021,Feb,Product08,Catagory01,Kg,83,94.62,581,662.34
2022-11-15 00:00:00.000,P0012,14,Direct Sales,Cash,0,15,2022,Nov,Product12,Catagory02,Kg,73,94.17,1022,1318.38
2022-09-21 00:00:00.000,P0026,5,Direct Sales,Cash,0,21,2022,Sep,Product26,Catagory04,Kg,18,24.66,90,123.3
2022-01-25 00:00:00.000,P0017,14,Direct Sales,Cash,0,25,2022,Jan,Product17,Catagory02,Kg,134,156.78,1876,2194.92
2021-11-21 00:00:00.000,P0014,1,Wholesaler,Online,0,21,2021,Nov,Product14,Catagory02,Kg,112,146.72,112,146.72
2021-01-21 00:00:00.000,P0004,15,Wholesaler,Cash,0,21,2021,Jan,Product04,Catagory01,Kg,44,48.84,660,732.6
2022-04-21 00:00:00.000,P0026,14,Online,Online,0,21,2022,Apr,Product26,Catagory04,Kg,18,24.66,252,345.24
2022-03-10 00:00:00.000,P0033,12,Wholesaler,Online,0,10,2022,Mar,Product33,Catagory04,Kg,95,119.7,1140,1436.4
2021-10-22 00:00:00.000,P0024,13,Online,Cash,0,22,2021,Oct,Product24,Catagory03,Kg,144,156.96,1872,2040.48
2022-05-18 00:00:00.000,P0038,8,Wholesaler,Online,0,18,2022,May,Product38,Catagory04,Kg,72,79.92,576,639.36
2021-10-10 00:00:00.000,P0035,14,Direct Sales,Cash,0,10,2021,Oct,Product35,Catagory04,Kg,5,6.7,70,93.8
2021-09-22 00:00:00.000,P0040,2,Online,Cash,0,22,2021,Sep,Product40,Catagory04,Kg,90,115.2,180,230.4
2021-01-02 00:00:00.000,P0013,6,Direct Sales,Cash,0,2,2021,Jan,Product13,Catagory02,Kg,112,122.08,672,732.48
2022-02-14 00:00:00.000,P0028,3,Direct Sales,Cash,0,14,2022,Feb,Product28,Catagory04,Kg,37,41.81,111,125.43
2021-09-13 00:00:00.000,P0041,7,Direct Sales,Cash,0,13,2021,Sep,Product41,Catagory04,Kg,138,173.88,966,1217.16
2022-08-19 00:00:00.000,P0007,3,Online,Online,0,19,2022,Aug,Product07,Catagory01,Kg,43,47.73,129,143.19
2022-03-14 00:00:00.000,P0026,13,Direct Sales,Online,0,14,2022,Mar,Product26,Catagory04,Kg,18,24.66,234,320.58
2021-06-05 00:00:00.000,P0022,15,Wholesaler,Online,0,5,2021,Jun,Product22,Catagory03,Kg,121,141.57,1815,2123.55
2022-01-02 00:00:00.000,P0010,7,Direct Sales,Cash,0,2,2022,Jan,Product10,Catagory02,Kg,148,164.28,1036,1149.96
2021-04-29 00:00:00.000,P0030,7,Direct Sales,Online,0,29,2021,Apr,Product30,Catagory04,Kg,148,201.28,1036,1408.96
2021-12-27 00:00:00.000,P0029,14,Direct Sales,Cash,0,27,2021,Dec,Product29,Catagory04,Kg,47,53.11,658,743.54
2022-01-23 00:00:00.000,P0042,8,Direct Sales,Online,0,23,2022,Jan,Product42,Catagory04,Kg,120,162.0,960,1296.0
2021-01-19 00:00:00.000,P0035,6,Direct Sales,Cash,0,19,2021,Jan,Product35,Catagory04,Kg,5,6.7,30,40.2
2021-01-25 00:00:00.000,P0034,6,Direct Sales,Cash,0,25,2021,Jan,Product34,Catagory04,Kg,55,58.3,330,349.79999999999995
2021-12-19 00:00:00.000,P0023,12,Direct Sales,Online,0,19,2021,Dec,Product23,Catagory03,Kg,141,149.46,1692,1793.52
2021-03-26 00:00:00.000,P0042,1,Direct Sales,Cash,0,26,2021,Mar,Product42,Catagory04,Kg,120,162.0,120,162.0
2022-04-02 00:00:00.000,P0002,3,Direct Sales,Cash,0,2,2022,Apr,Product02,Catagory01,Kg,105,142.8,315,428.4
2021-01-26 00:00:00.000,P0044,9,Wholesaler,Cash,0,26,2021,Jan,Product44,Catagory04,Kg,76,82.08,684,738.72
2021-05-05 00:00:00.000,P0009,13,Direct Sales,Cash,0,5,2021,May,Product09,Catagory01,Kg,6,7.8599999999999985,78,102.18
2022-11-08 00:00:00.000,P0019,10,Wholesaler,Online,0,8,2022,Nov,Product19,Catagory02,Kg,150,210.0,1500,2100.0
2021-05-12 00:00:00.000,P0016,3,Direct Sales,Online,0,12,2021,May,Product16,Catagory02,Kg,13,16.64,39,49.92
2022-09-10 00:00:00.000,P0035,15,Online,Cash,0,10,2022,Sep,Product35,Catagory04,Kg,5,6.7,75,100.5
2021-03-11 00:00:00.000,P0025,11,Direct Sales,Cash,0,11,2021,Mar,Product25,Catagory04,Kg,7,8.33,77,91.63
2022-02-03 00:00:00.000,P0014,8,Direct Sales,Online,0,3,2022,Feb,Product14,Catagory02,Kg,112,146.72,896,1173.76
2021-02-22 00:00:00.000,P0013,5,Online,Cash,0,22,2021,Feb,Product13,Catagory02,Kg,112,122.08,560,610.4
2021-02-05 00:00:00.000,P0043,9,Direct Sales,Cash,0,5,2021,Feb,Product43,Catagory04,Kg,67,83.08,603,747.72
2021-07-10 00:00:00.000,P0034,6,Wholesaler,Cash,0,10,2021,Jul,Product34,Catagory04,Kg,55,58.3,330,349.79999999999995
2021-06-05 00:00:00.000,P0035,10,Direct Sales,Online,0,5,2021,Jun,Product35,Catagory04,Kg,5,6.7,50,67.0
2021-08-29 00:00:00.000,P0034,12,Wholesaler,Online,0,29,2021,Aug,Product34,Catagory04,Kg,55,58.3,660,699.5999999999999
2021-07-06 00:00:00.000,P0041,15,Direct Sales,Cash,0,6,2021,Jul,Product41,Catagory04,Kg,138,173.88,2070,2608.2
2022-04-07 00:00:00.000,P0026,7,Direct Sales,Online,0,7,2022,Apr,Product26,Catagory04,Kg,18,24.66,126,172.62
2021-09-23 00:00:00.000,P0018,12,Direct Sales,Cash,0,23,2021,Sep,Product18,Catagory02,Kg,37,49.21,444,590.52
2022-11-10 00:00:00.000,P0018,7,Direct Sales,Online,0,10,2022,Nov,Product18,Catagory02,Kg,37,49.21,259,344.47
2022-12-11 00:00:00.000,P0014,10,Online,Cash,0,11,2022,Dec,Product14,Catagory02,Kg,112,146.72,1120,1467.2
2022-05-28 00:00:00.000,P0010,9,Online,Cash,0,28,2022,May,Product10,Catagory02,Kg,148,164.28,1332,1478.52
2021-02-18 00:00:00.000,P0015,6,Online,Cash,0,18,2021,Feb,Product15,Catagory02,Kg,12,15.72,72,94.32
