Fin Yr,Month,Wk Start,Fy Week,Cal Week,Department,Sub Department,Class,Sub Class,Products,Status,Supplier,State,Store,Sales Value,Units Sold,Cost,GP Dollar,Stock on Hand,Value of Stock on hand,Load Date
2021,202012,20201221,26,51,Department 4,Sub Department 11,Class 54,Sub Class 82,Product 4015,Status 1,Supplier 4,Location 4,Store 219,27870.0,0,0.0,0.0,14,98.7,2020-12-21 00:00:00.000
2019,201903,20190311,38,10,Department 1,Sub Department 1,Class 2,Sub Class 4,Product 1504,Status 4,Supplier 1,Location 4,Store 97,42024.36,0,0.0,0.0,4,110.08,2019-03-11 00:00:00.000
2020,202005,20200504,45,18,Department 4,Sub Department 11,Class 33,Sub Class 54,Product 4081,Status 1,Supplier 4,Location 1,Store 42,42321.0,1,2.81,4.44,19,53.34,2020-05-04 00:00:00.000
2020,201908,20190819,8,33,Department 6,Sub Department 15,Class 32,Sub Class 42,Product 3939,Status 1,Supplier 4,Location 4,Store 162,11611.0,0,0.0,0.0,16,61.28,2019-08-19 00:00:00.000
2019,201902,20190211,34,6,Department 4,Sub Department 11,Class 26,Sub Class 36,Product 4088,Status 6,Supplier 4,Location 2,Store 95,42682.0,4,17.79,33.05,3,13.34,2019-02-11 00:00:00.000
2020,201912,20191202,23,48,Department 4,Sub Department 21,Class 70,Sub Class 98,Product 4180,Status 1,Supplier 5,Location 5,Store 47,402.4,0,0.0,0.0,62,77.96,2019-12-02 00:00:00.000
2019,201902,20190225,36,8,Department 4,Sub Department 11,Class 33,Sub Class 54,Product 3854,Status 1,Supplier 4,Location 5,Store 21,7857.1,0,0.0,0.0,21,119.07,2019-02-25 00:00:00.000
2021,202007,20200720,4,29,Department 2,Sub Department 4,Class 24,Sub Class 34,Product 3724,Status 1,Supplier 3,Location 1,Store 267,14615.2,2,25.48,9.06,13,165.62,2020-07-20 00:00:00.000
2019,201904,20190422,44,16,Department 1,Sub Department 1,Class 1,Sub Class 1,Product 519,Status 1,Supplier 1,Location 5,Store 117,20426.45,0,0.0,0.0,4,233.52,2019-04-22 00:00:00.000
2020,201909,20190923,13,38,Department 4,Sub Department 11,Class 54,Sub Class 82,Product 3907,Status 1,Supplier 4,Location 2,Store 91,4800.0,0,0.0,0.0,18,75.78,2019-09-23 00:00:00.000
2019,201812,20181203,24,48,Department 1,Sub Department 5,Class 9,Sub Class 16,Product 3625,Status 3,Supplier 3,Location 4,Store 221,4730.2,0,0.0,0.0,3,131.19,2018-12-03 00:00:00.000
2020,202001,20200120,30,3,Department 1,Sub Department 1,Class 1,Sub Class 1,Product 3190,Status 1,Supplier 1,Location 5,Store 33,40206.0,2,3.27,3.26,67,109.47,2020-01-20 00:00:00.000
2019,201812,20181203,24,48,Department 1,Sub Department 3,Class 7,Sub Class 11,Product 396,Status 2,Supplier 1,Location 1,Store 229,15719.45,0,0.0,0.0,1,58.98,2018-12-03 00:00:00.000
2020,202004,20200420,43,16,Department 4,Sub Department 11,Class 33,Sub Class 88,Product 3817,Status 1,Supplier 4,Location 2,Store 46,31642.2,17,45.73,70.38,73,196.37,2020-04-20 00:00:00.000
2019,201810,20181008,16,40,Department 4,Sub Department 11,Class 33,Sub Class 54,Product 4108,Status 1,Supplier 4,Location 3,Store 187,47349.0,3,16.8,33.23,22,123.2,2018-10-08 00:00:00.000
2019,201808,20180820,9,33,Department 1,Sub Department 1,Class 4,Sub Class 9,Product 1782,Status 4,Supplier 1,Location 3,Store 115,56904.36,0,0.0,0.0,2,33.54,2018-08-20 00:00:00.000
2020,201912,20191202,23,48,Department 1,Sub Department 3,Class 12,Sub Class 19,Product 3730,Status 1,Supplier 3,Location 2,Store 6,15433.2,0,0.0,0.0,2,52.29,2019-12-02 00:00:00.000
2020,201911,20191118,21,46,Department 4,Sub Department 11,Class 33,Sub Class 54,Product 3787,Status 1,Supplier 4,Location 5,Store 210,26081.2,0,0.0,0.0,18,124.76,2019-11-18 00:00:00.000
2020,202005,20200504,45,18,Department 1,Sub Department 1,Class 4,Sub Class 5,Product 3193,Status 2,Supplier 1,Location 2,Store 196,40221.0,0,0.0,0.0,1,24.04,2020-05-04 00:00:00.000
2019,201811,20181105,20,44,Department 4,Sub Department 11,Class 26,Sub Class 36,Product 4046,Status 1,Supplier 4,Location 2,Store 302,34147.0,0,0.0,0.0,11,26.05,2018-11-05 00:00:00.000
2021,202008,20200803,6,31,Department 1,Sub Department 1,Class 5,Sub Class 6,Product 1369,Status 1,Supplier 1,Location 2,Store 22,38264.36,0,0.0,0.0,2,124.13,2020-08-03 00:00:00.000
2019,201809,20180917,13,37,Department 4,Sub Department 11,Class 54,Sub Class 82,Product 3795,Status 1,Supplier 4,Location 2,Store 223,27723.2,0,0.0,0.0,12,50.88,2018-09-17 00:00:00.000
2019,201807,20180730,6,30,Department 4,Sub Department 11,Class 33,Sub Class 54,Product 4124,Status 1,Supplier 4,Location 5,Store 204,50747.0,2,13.4,34.3,20,134.0,2018-07-30 00:00:00.000
2019,201902,20190218,35,7,Department 4,Sub Department 11,Class 43,Sub Class 86,Product 3911,Status 1,Supplier 4,Location 6,Store 315,4343.0,1,14.07,29.09,2,28.14,2019-02-18 00:00:00.000
2019,201807,20180709,3,27,Department 4,Sub Department 11,Class 33,Sub Class 54,Product 3811,Status 1,Supplier 4,Location 1,Store 235,31121.2,1,5.69,11.56,13,73.97,2018-07-09 00:00:00.000
2021,202101,20210125,31,3,Department 1,Sub Department 1,Class 1,Sub Class 1,Product 1404,Status 1,Supplier 1,Location 4,Store 185,39568.36,0,0.0,0.0,3,4.95,2021-01-25 00:00:00.000
2019,201902,20190225,36,8,Department 4,Sub Department 11,Class 26,Sub Class 36,Product 4146,Status 1,Supplier 4,Location 5,Store 114,55464.0,1,5.54,7.17,5,27.72,2019-02-25 00:00:00.000
2019,201808,20180806,7,31,Department 6,Sub Department 15,Class 32,Sub Class 42,Product 3939,Status 1,Supplier 4,Location 2,Store 263,11556.0,1,3.83,6.15,16,61.28,2018-08-06 00:00:00.000
2020,201911,20191118,21,46,Department 1,Sub Department 3,Class 12,Sub Class 19,Product 3654,Status 1,Supplier 3,Location 5,Store 28,8189.2,0,0.0,0.0,2,37.14,2019-11-18 00:00:00.000
2020,202001,20200106,28,1,Department 1,Sub Department 1,Class 2,Sub Class 2,Product 2337,Status 2,Supplier 1,Location 5,Store 238,5698.0,0,0.0,0.0,7,84.44,2020-01-06 00:00:00.000
2020,202003,20200316,38,11,Department 6,Sub Department 15,Class 32,Sub Class 42,Product 3986,Status 1,Supplier 4,Location 7,Store 89,21866.0,1,5.22,9.31,8,41.76,2020-03-16 00:00:00.000
2020,201912,20191202,23,48,Department 1,Sub Department 1,Class 2,Sub Class 4,Product 2757,Status 3,Supplier 1,Location 2,Store 70,22732.0,1,29.76,17.42,0,0.0,2019-12-02 00:00:00.000
2020,201910,20191007,15,40,Department 1,Sub Department 1,Class 5,Sub Class 6,Product 1414,Status 1,Supplier 1,Location 7,Store 192,39924.36,0,0.0,0.0,3,174.59,2019-10-07 00:00:00.000
2019,201807,20180730,6,30,Department 2,Sub Department 12,Class 38,Sub Class 48,Product 3651,Status 1,Supplier 3,Location 5,Store 124,7694.2,1,17.51,5.79,4,70.04,2018-07-30 00:00:00.000
2020,201907,20190701,1,26,Department 1,Sub Department 1,Class 4,Sub Class 5,Product 1072,Status 1,Supplier 1,Location 5,Store 178,25852.36,0,0.0,0.0,6,44.28,2019-07-01 00:00:00.000
2021,202009,20200921,13,38,Department 1,Sub Department 1,Class 2,Sub Class 4,Product 985,Status 4,Supplier 1,Location 5,Store 151,21231.36,0,0.0,0.0,3,625.56,2020-09-21 00:00:00.000
2021,202010,20201005,15,40,Department 6,Sub Department 15,Class 32,Sub Class 42,Product 3939,Status 1,Supplier 4,Location 1,Store 160,11671.0,0,0.0,0.0,15,57.45,2020-10-05 00:00:00.000
2020,202005,20200504,45,18,Department 2,Sub Department 4,Class 24,Sub Class 34,Product 3628,Status 1,Supplier 3,Location 1,Store 235,5232.2,6,40.19,14.29,41,274.73,2020-05-04 00:00:00.000
2019,201810,20181022,18,42,Department 4,Sub Department 11,Class 33,Sub Class 54,Product 3962,Status 1,Supplier 4,Location 3,Store 298,16679.0,0,0.0,0.0,4,34.12,2018-10-22 00:00:00.000
2021,202011,20201123,22,47,Department 1,Sub Department 1,Class 2,Sub Class 4,Product 2736,Status 4,Supplier 1,Location 4,Store 139,21932.0,0,0.0,0.0,2,172.46,2020-11-23 00:00:00.000
2021,202011,20201116,21,46,Department 1,Sub Department 1,Class 1,Sub Class 1,Product 1300,Status 1,Supplier 1,Location 2,Store 157,36149.36,0,0.0,0.0,7,90.93,2020-11-16 00:00:00.000
2019,201810,20181022,18,42,Department 1,Sub Department 1,Class 1,Sub Class 1,Product 858,Status 1,Supplier 1,Location 2,Store 13,14313.36,2,147.28,100.9,7,515.48,2018-10-22 00:00:00.000
2019,201902,20190211,34,6,Department 1,Sub Department 1,Class 1,Sub Class 1,Product 750,Status 1,Supplier 1,Location 1,Store 235,10070.36,0,0.0,0.0,63,314.06,2019-02-11 00:00:00.000
2020,202005,20200525,48,21,Department 4,Sub Department 11,Class 43,Sub Class 83,Product 3815,Status 1,Supplier 4,Location 5,Store 226,32073.2,0,0.0,0.0,4,60.39,2020-05-25 00:00:00.000
2020,202005,20200511,46,19,Department 4,Sub Department 11,Class 26,Sub Class 36,Product 3789,Status 1,Supplier 4,Location 3,Store 115,26533.2,0,0.0,0.0,8,34.79,2020-05-11 00:00:00.000
2020,202003,20200302,36,9,Department 4,Sub Department 11,Class 40,Sub Class 51,Product 4080,Status 1,Supplier 4,Location 2,Store 54,41034.0,4,17.71,18.12,37,163.81,2020-03-02 00:00:00.000
2019,201812,20181224,27,51,Department 1,Sub Department 1,Class 2,Sub Class 4,Product 1880,Status 2,Supplier 1,Location 2,Store 131,59904.36,0,0.0,0.0,2,69.28,2018-12-24 00:00:00.000
2019,201810,20181015,17,41,Department 1,Sub Department 2,Class 3,Sub Class 3,Product 1829,Status 2,Supplier 1,Location 3,Store 206,58616.36,0,0.0,0.0,2,217.2,2018-10-15 00:00:00.000
2019,201812,20181210,25,49,Department 1,Sub Department 1,Class 1,Sub Class 1,Product 1674,Status 1,Supplier 1,Location 6,Store 149,51808.36,0,0.0,0.0,18,29.7,2018-12-10 00:00:00.000
2020,201910,20191028,18,43,Department 4,Sub Department 11,Class 26,Sub Class 36,Product 4146,Status 1,Supplier 4,Location 5,Store 148,55499.0,0,0.0,0.0,6,33.2,2019-10-28 00:00:00.000
2019,201902,20190204,33,5,Department 1,Sub Department 1,Class 4,Sub Class 5,Product 1525,Status 2,Supplier 1,Location 5,Store 283,43723.36,0,0.0,0.0,3,21.71,2019-02-04 00:00:00.000
2020,201907,20190722,4,29,Department 1,Sub Department 1,Class 1,Sub Class 1,Product 1699,Status 6,Supplier 1,Location 5,Store 16,53545.36,4,34.32,19.03,10,85.8,2019-07-22 00:00:00.000
2020,201912,20191230,27,52,Department 4,Sub Department 11,Class 33,Sub Class 54,Product 3854,Status 1,Supplier 4,Location 4,Store 171,7476.1,4,22.67,32.24,8,45.35,2019-12-30 00:00:00.000
2020,201908,20190819,8,33,Department 4,Sub Department 21,Class 70,Sub Class 98,Product 4177,Status 1,Supplier 5,Location 2,Store 129,358.3,1,2.15,2.12,19,40.87,2019-08-19 00:00:00.000
2020,201911,20191118,21,46,Department 1,Sub Department 1,Class 6,Sub Class 10,Product 491,Status 1,Supplier 1,Location 1,Store 229,19604.45,1,75.17,37.1,8,601.36,2019-11-18 00:00:00.000
2020,202002,20200203,32,5,Department 6,Sub Department 15,Class 32,Sub Class 42,Product 3910,Status 1,Supplier 4,Location 2,Store 263,5672.0,1,3.58,5.49,7,25.05,2020-02-03 00:00:00.000
2021,202008,20200810,7,32,Department 1,Sub Department 1,Class 6,Sub Class 12,Product 1149,Status 1,Supplier 1,Location 5,Store 215,29319.36,1,61.06,15.85,2,122.12,2020-08-10 00:00:00.000
2019,201807,20180716,4,28,Department 4,Sub Department 11,Class 33,Sub Class 54,Product 3763,Status 1,Supplier 4,Location 2,Store 72,20472.2,0,0.0,0.0,8,64.4,2018-07-16 00:00:00.000
2019,201904,20190422,44,16,Department 4,Sub Department 11,Class 40,Sub Class 51,Product 4101,Status 1,Supplier 4,Location 1,Store 289,45248.0,0,0.0,0.0,20,158.0,2019-04-22 00:00:00.000
2019,201811,20181119,22,46,Department 4,Sub Department 11,Class 33,Sub Class 54,Product 4105,Status 1,Supplier 4,Location 5,Store 47,46077.0,11,13.97,45.02,134,170.18,2018-11-19 00:00:00.000
2019,201905,20190506,46,18,Department 4,Sub Department 11,Class 35,Sub Class 45,Product 3778,Status 7,Supplier 4,Location 4,Store 113,23071.2,0,0.0,0.0,3,16.2,2019-05-06 00:00:00.000
2019,201811,20181112,21,45,Department 1,Sub Department 1,Class 1,Sub Class 1,Product 821,Status 1,Supplier 1,Location 1,Store 290,12186.36,5,123.8,65.7,24,594.22,2018-11-12 00:00:00.000
2020,202006,20200615,51,24,Department 1,Sub Department 1,Class 1,Sub Class 1,Product 721,Status 1,Supplier 1,Location 5,Store 238,8011.36,0,0.0,0.0,9,18.9,2020-06-15 00:00:00.000
2019,201810,20181022,18,42,Department 1,Sub Department 1,Class 2,Sub Class 4,Product 867,Status 4,Supplier 1,Location 2,Store 245,14739.36,0,0.0,0.0,1,83.21,2018-10-22 00:00:00.000
2019,201904,20190401,41,13,Department 1,Sub Department 3,Class 12,Sub Class 19,Product 3596,Status 3,Supplier 3,Location 2,Store 157,914.2,0,0.0,0.0,3,131.4,2019-04-01 00:00:00.000
2020,201909,20190930,14,39,Department 4,Sub Department 11,Class 26,Sub Class 36,Product 4136,Status 1,Supplier 4,Location 2,Store 193,52513.0,0,0.0,0.0,9,25.65,2019-09-30 00:00:00.000
2020,202006,20200615,51,24,Department 1,Sub Department 1,Class 1,Sub Class 1,Product 3078,Status 1,Supplier 1,Location 3,Store 140,35115.0,0,0.0,0.0,8,17.6,2020-06-15 00:00:00.000
2019,201810,20181001,15,39,Department 4,Sub Department 11,Class 37,Sub Class 47,Product 3878,Status 1,Supplier 4,Location 2,Store 85,3744.0,1,3.02,2.79,14,42.24,2018-10-01 00:00:00.000
2020,201912,20191202,23,48,Department 1,Sub Department 3,Class 12,Sub Class 19,Product 3112,Status 1,Supplier 1,Location 4,Store 200,36790.0,0,0.0,0.0,4,343.44,2019-12-02 00:00:00.000
2019,201905,20190513,47,19,Department 2,Sub Department 4,Class 11,Sub Class 18,Product 1574,Status 1,Supplier 1,Location 2,Store 61,46719.36,5,40.05,16.09,0,0.0,2019-05-13 00:00:00.000
2020,201910,20191014,16,41,Department 1,Sub Department 1,Class 5,Sub Class 6,Product 151,Status 1,Supplier 1,Location 7,Store 259,6393.45,0,0.0,0.0,5,85.27,2019-10-14 00:00:00.000
2020,202004,20200420,43,16,Department 4,Sub Department 11,Class 54,Sub Class 82,Product 4083,Status 1,Supplier 4,Location 1,Store 87,42319.0,6,21.66,50.22,22,79.42,2020-04-20 00:00:00.000
2020,202004,20200420,43,16,Department 4,Sub Department 11,Class 33,Sub Class 54,Product 3826,Status 1,Supplier 4,Location 2,Store 27,2380.1,0,0.0,0.0,3,18.86,2020-04-20 00:00:00.000
2019,201906,20190624,53,25,Department 1,Sub Department 3,Class 12,Sub Class 19,Product 485,Status 2,Supplier 1,Location 6,Store 306,18731.45,0,0.0,0.0,2,206.0,2019-06-24 00:00:00.000
2019,201810,20181015,17,41,Department 1,Sub Department 1,Class 6,Sub Class 8,Product 2378,Status 1,Supplier 1,Location 6,Store 141,7762.0,1,252.62,119.2,6,1515.72,2018-10-15 00:00:00.000
2021,202010,20201026,18,43,Department 4,Sub Department 11,Class 54,Sub Class 87,Product 4129,Status 1,Supplier 4,Location 5,Store 118,51718.0,0,0.0,0.0,23,45.54,2020-10-26 00:00:00.000
2021,202011,20201102,19,44,Department 1,Sub Department 1,Class 1,Sub Class 1,Product 1976,Status 1,Supplier 1,Location 4,Store 177,64689.36,0,0.0,0.0,7,11.55,2020-11-02 00:00:00.000
2019,201809,20180910,12,36,Department 4,Sub Department 17,Class 36,Sub Class 46,Product 3736,Status 1,Supplier 3,Location 4,Store 57,16220.2,1,2.74,5.28,18,49.34,2018-09-10 00:00:00.000
2020,201908,20190826,9,34,Department 6,Sub Department 15,Class 32,Sub Class 53,Product 4137,Status 1,Supplier 4,Location 4,Store 49,53360.0,0,0.0,0.0,3,5.36,2019-08-26 00:00:00.000
2020,201910,20191021,17,42,Department 1,Sub Department 5,Class 9,Sub Class 16,Product 1557,Status 1,Supplier 1,Location 2,Store 64,45890.36,1,219.57,104.07,1,219.57,2019-10-21 00:00:00.000
2021,202010,20201005,15,40,Department 1,Sub Department 1,Class 1,Sub Class 1,Product 1580,Status 6,Supplier 1,Location 4,Store 177,47219.36,0,0.0,0.0,10,11.2,2020-10-05 00:00:00.000
2019,201906,20190603,50,22,Department 1,Sub Department 1,Class 1,Sub Class 1,Product 2114,Status 1,Supplier 1,Location 5,Store 60,70578.36,1,3.02,2.62,34,102.71,2019-06-03 00:00:00.000
2020,202001,20200106,28,1,Department 1,Sub Department 3,Class 7,Sub Class 11,Product 660,Status 2,Supplier 1,Location 5,Store 75,4154.36,0,0.0,0.0,2,107.16,2020-01-06 00:00:00.000
2021,202012,20201221,26,51,Department 4,Sub Department 11,Class 33,Sub Class 54,Product 3863,Status 1,Supplier 4,Location 4,Store 173,9657.1,2,11.34,15.9,14,79.38,2020-12-21 00:00:00.000
2020,202006,20200601,49,22,Department 4,Sub Department 11,Class 43,Sub Class 86,Product 3864,Status 1,Supplier 4,Location 5,Store 260,1277.0,0,0.0,0.0,9,109.64,2020-06-01 00:00:00.000
2019,201812,20181231,28,52,Department 1,Sub Department 5,Class 9,Sub Class 16,Product 3369,Status 4,Supplier 2,Location 5,Store 246,42706.0,2,507.51,242.47,0,0.0,2018-12-31 00:00:00.000
