iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
"COG","Africa","Congo",2022-02-15 00:00:00.000,23874,0,11.714,375,0,0,4220.245,0,2.071,66.289,0,0,0.67,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,5657017,15.405,19,3.402,2.063,4881.406,37,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,"","","",""
"COK","Oceania","Cook Islands",2022-02-15 00:00:00.000,2,0,0,,,,113.817,0,0,,,,,,,,,,,,,,,,,,,,,"",25764,13062,12702,,,6,146.62,74.33,72.29,,341,3,0.017,,17572,,,,,,,,,,,,,76.25,,"","","",""
"COD","Africa","Democratic Republic of Congo",2022-02-15 00:00:00.000,85793,0,15.286,1316,0,0,928.717,0,0.165,14.246,0,0,0.71,,,,,,,,,,,,,,,,,"",528485,440134,253900,,,5476,0.57,0.48,0.27,,59,6143,0.007,33.33,92377986,35.879,17,3.02,1.745,808.133,77.1,318.949,6.1,,,4.472,,60.68,0.48,"","","",""
"DMA","North America","Dominica",2022-02-15 00:00:00.000,10669,142,85.143,54,1,0.143,147827.412,1967.522,1179.721,748.213,13.856,1.979,1.19,,,,,,,,,,,,,,,,,"",61178,31927,29251,,,25,84.77,44.24,40.53,,346,11,0.015,37.04,72172,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75,0.742,"","","",""
"EGY","Africa","Egypt",2022-02-15 00:00:00.000,459198,2117,2154.429,23465,56,58.857,4404.425,20.305,20.664,225.066,0.537,0.565,1.04,,,,,,,,,,,,,,,,,"",67724897,39317370,28777097,,,249547,64.96,37.71,27.6,,2394,91919,0.088,43.52,104258327,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99,0.707,"","","",""
"ERI","Africa","Eritrea",2022-02-15 00:00:00.000,9679,4,4,103,0,0.286,2687.52,1.111,1.111,28.599,0,0.079,0.75,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,56.48,3601462,44.304,19.3,3.607,2.171,1510.459,,311.11,6.05,0.2,11.4,,0.7,66.32,0.459,"","","",""
"SWZ","Africa","Eswatini",2022-02-15 00:00:00.000,68858,43,28.143,1384,0,0.571,58734.068,36.678,24.005,1180.516,0,0.487,0.89,,,,,,,,,,,,,,,,,"",486162,378854,336066,,,949,41.47,32.32,28.67,,809,384,0.033,,1172369,79.492,21.5,3.163,1.845,7738.975,,333.436,3.94,1.7,16.5,24.097,2.1,60.19,0.611,"","","",""
"FLK","South America","Falkland Islands",2022-02-15 00:00:00.000,101,3,1.429,,,,28628.118,850.34,404.924,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,3528,,,,,,,,,,,,,81.44,,"","","",""
"PYF","Oceania","French Polynesia",2022-02-15 00:00:00.000,56658,2805,1019.571,637,0,0.143,200535.157,9928.009,3608.668,2254.596,0,0.506,,,,,,,,,,,,,,,,,,"",348775,182726,166049,,,208,123.45,64.67,58.77,,736,208,0.074,,282534,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,"","","",""
"GRL","North America","Greenland",2022-02-15 00:00:00.000,11460,32,26.286,9,2,0.286,201519.308,562.707,462.223,158.261,35.169,5.024,,,,,,,,,,,,,,,,,,"",79703,41229,38474,,15,11,140.15,72.5,67.65,,193,2,0.004,25,56868,0.137,,,,,,199.941,2.16,,,,,71.7,,"","","",""
"GRD","North America","Grenada",2022-02-15 00:00:00.000,13373,107,69.571,214,1,0.429,118329.425,946.777,615.595,1893.554,8.848,3.792,0.71,,,,,,,,,,,,,,,,,"",85113,42742,37182,,,58,75.31,37.82,32.9,,513,20,0.018,,113015,317.132,29.4,7.304,5.021,13593.877,,243.964,10.71,,,,3.7,72.4,0.779,"","","",""
"GGY","Europe","Guernsey",2022-02-15 00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",147399,,,,,81,232.55,,,,1278,,,,63385,,,,,,,,,,,,,,,"","","",""
"GIN","Africa","Guinea",2022-02-15 00:00:00.000,36329,0,6.857,436,0,0.571,2691.588,0,0.508,32.303,0,0.042,0.68,,,,,,,,,,,,,,,,,"",4758842,3531742,1875830,,522,132,35.26,26.17,13.9,,10,95,0.001,54.63,13497237,51.755,19,3.135,1.733,1998.926,35.3,336.717,2.42,,,17.45,0.3,61.6,0.477,"","","",""
"GNB","Africa","Guinea-Bissau",2022-02-15 00:00:00.000,7878,29,10.857,164,0,0.857,3908.727,14.389,5.387,81.37,0,0.425,0.93,,,,,,,,,,,,,,,,,"",548661,506823,335557,,,9601,27.22,25.15,16.65,,4764,8686,0.431,,2015490,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,"","","",""
"HTI","North America","Haiti",2022-02-15 00:00:00.000,30055,72,25.143,809,2,0.429,2604.04,6.238,2.178,70.094,0.173,0.037,0.86,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,43.52,11541683,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64,0.51,"","","",""
"OWID_INT","","International",2022-02-15 00:00:00.000,721,0,0,15,0,0,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",""
"KIR","Oceania","Kiribati",2022-02-15 00:00:00.000,2665,83,102,8,5,1.143,21954.394,683.758,840.281,65.904,41.19,9.415,,,,,,,,,,,,,,,,,,"",120594,74579,46015,,,330,99.35,61.44,37.91,,2719,127,0.105,81.48,121388,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,"","","",""
"KGZ","Asia","Kyrgyzstan",2022-02-15 00:00:00.000,200121,55,72,2932,2,3.286,30191.69,8.298,10.862,442.343,0.302,0.496,0.56,,,,,,,,,,,,,,,,,"",2620518,1389771,1125909,,8736,8484,39.54,20.97,16.99,,1280,3622,0.055,,6628347,32.333,26.3,4.489,2.882,3393.474,1.4,436.362,7.11,3.6,50.5,89.22,4.5,71.45,0.697,"","","",""
"LSO","Africa","Lesotho",2022-02-15 00:00:00.000,32434,0,12,696,0,0.143,15022.23,0,5.558,322.361,0,0.066,0.65,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,45.37,2159067,73.562,22.2,4.506,2.647,2851.153,59.6,405.126,3.94,0.4,53.9,2.117,,54.33,0.527,"","","",""
"LBR","Africa","Liberia",2022-02-15 00:00:00.000,7360,1,2,290,0,0,1420.792,0.193,0.386,55.982,0,0,0.36,,,,,,,,,,,,,,,,,"",1200630,1116709,1084591,,,1580,23.18,21.56,20.94,,305,2874,0.055,29.63,5180208,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.48,"","","",""
"MLI","Africa","Mali",2022-02-15 00:00:00.000,30286,20,8.429,717,1,0.286,1452.167,0.959,0.404,34.379,0.048,0.014,0.33,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,20855724,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23,52.232,0.1,59.31,0.434,"","","",""
"MHL","Oceania","Marshall Islands",2022-02-15 00:00:00.000,7,0,0,,,,117.414,0,0,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,59618,295.15,,,,3819.202,,557.793,30.53,,,82.502,2.7,73.7,0.704,"","","",""
"MUS","Africa","Mauritius",2022-02-15 00:00:00.000,70862,0,0,786,0,0,55646.648,0,0,617.232,0,0,0.33,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,43.52,1273428,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804,"","","",""
"FSM","Oceania","Micronesia (country)",2022-02-15 00:00:00.000,1,0,0,,,,8.602,0,0,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,116255,150.777,23,4.81,2.392,3299.464,16,454.343,12.02,,,,,67.88,0.62,"","","",""
"MCO","Europe","Monaco",2022-02-15 00:00:00.000,9085,65,29.286,50,0,0.286,229883.603,1644.737,741.035,1265.182,0,7.23,0.57,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,35.19,39520,19347.5,,,,,,,5.46,,,,13.8,86.75,,"","","",""
"MSR","North America","Montserrat",2022-02-15 00:00:00.000,163,0,0,2,0,0,32724.353,0,0,401.526,0,0,,,,,,,,,,,,,,,,,,"",3951,1842,1697,,,16,79.32,36.98,34.07,,3212,2,0.04,,4981,,,,,,,,,,,,,74.16,,"","","",""
"NCL","Oceania","New Caledonia",2022-02-15 00:00:00.000,40344,1958,1337.571,284,0,0,139977.864,6793.492,4640.848,985.369,0,0,,,,,,,,,,,,,,,,,,"",365039,186918,178121,,,159,126.65,64.85,61.8,,552,74,0.026,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,"","","",""
"NIC","North America","Nicaragua",2022-02-15 00:00:00.000,17895,104,14.857,222,0,0.143,2669.947,15.517,2.217,33.123,0,0.021,1.27,,,,,,,,,,,,,,,,,"",9066172,5334996,3731176,,,20522,135.27,79.6,55.67,,3062,6140,0.092,,6702379,51.667,27.3,5.445,3.519,5321.444,3.2,137.016,11.47,,,,0.9,74.48,0.66,"","","",""
"OMN","Asia","Oman",2022-02-15 00:00:00.000,369190,1511,1755.714,4216,5,4,70680.342,289.277,336.126,807.141,0.957,0.766,1.35,,,,,,,,,,,,,,,,,"",6692790,3194312,2979513,,,13177,128.13,61.15,57.04,,2523,1839,0.035,,5223376,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813,"","","",""
"PLW","Oceania","Palau",2022-02-15 00:00:00.000,3303,47,65.714,4,0,0.571,181743.15,2586.112,3615.841,220.095,0,31.442,0.98,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,18174,47.237,,,,13240.405,,,15.89,7.7,22.7,,4.8,73.7,0.826,"","","",""
"PNG","Oceania","Papua New Guinea",2022-02-15 00:00:00.000,38671,190,126.143,610,13,1.857,4240.704,20.836,13.833,66.893,1.426,0.204,1.35,,,,,,,,,,,,,,,,,"",534612,297688,236924,,,613,5.86,3.26,2.6,,67,297,0.003,50.93,9119005,18.22,22.6,3.808,2.142,3823.194,,561.494,17.65,23.5,48.8,,,64.5,0.555,"","","",""
"SHN","Africa","Saint Helena",2022-02-15 00:00:00.000,4,0,0,,,,656.276,0,0,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,6095,,,,,,,,,,,,,80.56,,"","","",""
"LCA","North America","Saint Lucia",2022-02-15 00:00:00.000,22177,56,58.429,347,0,0.714,120265.074,303.686,316.856,1881.769,0,3.874,0.75,,,,,,,,,,,,,,,,,"",109044,57428,51616,,30,74,59.13,31.14,27.99,,401,30,0.016,,184401,293.187,34.9,9.721,6.405,12951.839,,204.62,11.62,,,87.202,1.3,76.2,0.759,"","","",""
"SPM","North America","Saint Pierre and Miquelon",2022-02-15 00:00:00.000,1040,7,6.143,1,0,0,180211.402,1212.961,1064.435,173.28,0,0,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,5771,,,,,,,,,,,,,81.07,,"","","",""
"WSM","Oceania","Samoa",2022-02-15 00:00:00.000,33,0,0,,,,164.881,0,0,,,,,,,,,,,,,,,,,,,,,"",275439,145589,129850,,,401,137.62,72.74,64.88,,2004,150,0.075,,200144,69.413,22,5.606,3.564,6021.557,,348.977,9.21,16.7,38.1,,,73.32,0.715,"","","",""
"SMR","Europe","San Marino",2022-02-15 00:00:00.000,14044,56,67.429,110,0,0.143,412937.371,1646.575,1982.61,3234.343,0,4.2,0.88,,,,,,,,,,,,,,,,,"",63686,24570,21777,,,46,187.26,72.24,64.03,,1353,0,0,,34010,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,"","","",""
"STP","Africa","Sao Tome and Principe",2022-02-15 00:00:00.000,5920,0,1.143,71,0,0,26503.823,0,5.117,317.867,0,0,0.2,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,223364,212.841,18.7,2.886,2.162,3052.714,32.3,270.113,2.42,,,41.34,2.9,70.39,0.625,"","","",""
"SYC","Africa","Seychelles",2022-02-15 00:00:00.000,38766,107,91.714,159,2,0.286,391932.059,1081.792,927.25,1607.522,20.22,2.889,0.82,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,75,98910,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,,3.6,73.4,0.796,"","","",""
"SLE","Africa","Sierra Leone",2022-02-15 00:00:00.000,7659,7,3.143,125,0,0,940.754,0.86,0.386,15.354,0,0,0.9,,,,,,,,,,,,,,,,,"",1484231,1208855,737209,,,6243,18.23,14.85,9.06,,767,5090,0.063,29.63,8141343,104.7,19.1,2.538,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,,54.7,0.452,"","","",""
"SXM","North America","Sint Maarten (Dutch part)",2022-02-11 00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",60929,27743,25679,,,59,140.32,63.89,59.14,,1359,11,0.025,,43421,1209.088,,,,36327.232,,,,,,,,78.95,,"","","",""
"SLB","Oceania","Solomon Islands",2022-02-15 00:00:00.000,4910,83,227.286,65,4,4,6974.481,117.899,322.851,92.33,5.682,5.682,1.34,,,,,,,,,,,,,,,,,"",277797,197796,80001,,,962,39.46,28.1,11.36,,1366,362,0.051,72.69,703995,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73,0.567,"","","",""
"SOM","Africa","Somalia",2022-02-15 00:00:00.000,26260,57,8.143,1345,5,0.714,1605.184,3.484,0.498,82.215,0.306,0.044,0.18,,,,,,,,,,,,,,,,,"",1659803,1354850,870006,,,2985,10.15,8.28,5.32,,182,2979,0.018,35.19,16359500,23.5,16.8,2.731,1.496,,,365.769,6.05,,,9.831,0.9,57.4,,"","","",""
"SYR","Asia","Syria",2022-02-15 00:00:00.000,53011,130,127.429,3035,3,3,2900.627,7.113,6.973,166.067,0.164,0.164,1.45,,,,,,,,,,,,,,,,,"",3053717,2125205,1163125,,,2829,16.71,11.63,6.36,,155,17553,0.096,55.09,18275704,,21.7,,2.577,,,376.264,,,,70.598,1.5,72.7,0.567,"","","",""
"TJK","Asia","Tajikistan",2022-02-15 00:00:00.000,17780,7,4.429,125,0,0,1823.66,0.718,0.454,12.821,0,0,0.58,,,,,,,,,,,,,,,,,"",8600703,4659726,3871743,,,42206,88.22,47.79,39.71,,4329,19538,0.2,18.52,9749625,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668,"","","",""
"TZA","Africa","Tanzania",2022-02-15 00:00:00.000,33549,113,45.571,796,4,1,545.526,1.837,0.741,12.943,0.065,0.016,0.62,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,13.89,61498438,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.529,"","","",""
"TON","Oceania","Tonga",2022-02-15 00:00:00.000,141,0,18,,,,1320.732,0,168.604,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,106759,150.028,22.3,5.82,4.032,5425.621,,227.49,15.42,11.8,44.4,,2.6,70.91,0.725,"","","",""
"TCA","North America","Turks and Caicos Islands",2022-02-15 00:00:00.000,5832,4,6.143,35,0,0,148676.898,101.973,156.602,892.265,0,0,,,,,,,,,,,,,,,,,,"",67463,30801,28811,,,122,171.99,78.52,73.45,,3110,17,0.043,,39226,37.312,,,,,,,,,,,,80.22,,"","","",""
"UZB","Asia","Uzbekistan",2022-02-15 00:00:00.000,234063,302,523.143,1607,3,2.714,6897.237,8.899,15.416,47.354,0.088,0.08,0.81,,,,,,,,,,,,,,,,,"",40872222,18221843,12598509,,,100940,120.44,53.7,37.12,,2974,21433,0.063,45.37,33935765,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4,71.72,0.72,"","","",""
"VUT","Oceania","Vanuatu",2022-02-15 00:00:00.000,7,0,0,1,0,0,22.26,0,0,3.18,0,0,,,,,,,,,,,,,,,,,,"",184045,110235,73810,,,399,58.53,35.05,23.47,,1269,76,0.024,22.22,314464,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.609,"","","",""
"VAT","Europe","Vatican",2022-02-15 00:00:00.000,29,0,0,,,,35714.286,0,0,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,812,,,,,,,,,,,,,75.12,,"","","",""
"WLF","Oceania","Wallis and Futuna",2022-02-15 00:00:00.000,454,0,0,7,0,0,40923.021,0,0,630.972,0,0,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,11094,,,,,,,,,,,,,79.94,,"","","",""
"YEM","Asia","Yemen",2022-02-15 00:00:00.000,11699,20,20.857,2107,0,2.714,383.692,0.656,0.684,69.103,0,0.089,1.23,,,,,,,,,,,,,,,,,"",768104,610183,368448,,,1669,2.52,2,1.21,,55,1618,0.005,,30490639,53.508,20.3,2.922,1.583,1479.147,18.8,495.003,5.35,7.6,29.2,49.542,0.7,66.12,0.47,"","","",""
"AND","Europe","Andorra",2022-02-15 00:00:00.000,37361,84,79,150,1,0.429,482987.305,1085.917,1021.279,1939.137,12.928,5.54,0.62,,,,,,,,,,298927,3864.403,,183,2.366,0.472,2.1,"people tested",,,,,,,,,,,,,,35.19,77354,163.755,,,,,,109.135,7.97,29,37.8,,,83.73,0.868,"","","",""
"AGO","Africa","Angola",2022-02-15 00:00:00.000,98555,41,18.714,1899,1,0.429,2904.348,1.208,0.551,55.962,0.029,0.013,0.25,,,,,,,,,,1397845,41.194,,1436,0.042,0.015,67,"tests performed",15505389,10241793,5088239,,,66547,45.69,30.18,14.99,,1961,34594,0.102,70.37,33933611,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,"","","",""
"BGD","Asia","Bangladesh",2022-02-15 00:00:00.000,1919102,4746,5692.429,28872,34,28.857,11539.758,28.538,34.229,173.61,0.204,0.174,0.72,,,,,,,,,34689,13010337,78.232,0.209,36987,0.222,0.179,5.6,"tests performed",,,,,,,,,,,,,,68.52,166303494,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59,0.632,"","","",""
"BLR","Europe","Belarus",2022-02-15 00:00:00.000,843717,5146,7826.143,6278,13,14.714,89349.665,544.962,828.789,664.84,1.377,1.558,1.49,,,,,,,,,32880,12078002,1279.061,3.482,29600,3.135,0.258,3.9,"tests performed",10199665,5387508,4372737,,,24481,108.01,57.05,46.31,,2593,8043,0.085,23.15,9442867,46.858,40.3,14.799,9.788,17167.967,,443.129,5.18,10.5,46.1,,11,74.79,0.823,"","","",""
"BEN","Africa","Benin",2022-02-15 00:00:00.000,26552,0,7.714,163,0,0,2132.514,0,0.62,13.091,0,0,0.55,,,,,,,,,,604310,48.535,,,,,,"tests performed",2391396,2269942,1767745,,,14887,19.21,18.23,14.2,,1196,13538,0.109,53.7,12451031,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,"","","",""
"BTN","Asia","Bhutan",2022-02-15 00:00:00.000,7916,250,208.143,5,0,0.143,10150.019,320.554,266.884,6.411,0,0.183,1.32,,,,,,,,,11905,1588772,2037.148,15.265,12731,16.324,0.016,62.5,"samples tested",1457542,594185,571194,,,3110,186.89,76.19,73.24,,3988,29,0.004,,779900,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,,,79.807,1.7,71.78,0.654,"","","",""
"BWA","Africa","Botswana",2022-02-15 00:00:00.000,260491,836,474.857,2603,0,1.429,108662.879,348.734,198.085,1085.832,0,0.596,1.07,,,,,,,,,,2108285,879.463,,2025,0.845,0.374,2.7,"tests performed",1376754,1376754,1124733,,,2733,57.43,57.43,46.92,,1140,7954,0.332,13.89,2397240,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,"","","",""
"BFA","Africa","Burkina Faso",2022-02-15 00:00:00.000,20725,4,5.714,375,0,0,964.084,0.186,0.266,17.444,0,0,0.35,,,,,,,,,,314407,14.626,,422,0.02,0.012,79.8,"tests performed",,,,,,,,,,,,,,,21497097,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.452,"","","",""
