SKFact,SKCasualty_Type,SKDate,SKGender,SKAge_Band,SKCasualty_Severity,Number_of_Casualties,create_date,update_date
98741,1,946,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
98758,1,947,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
98787,1,949,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
98817,1,951,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
98858,1,954,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
98876,1,955,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
98892,1,956,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
99029,1,966,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
99044,1,967,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
99056,1,968,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
99083,1,970,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
99108,1,971,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
99168,1,976,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
99182,1,977,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
99251,1,981,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
99270,1,982,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
99283,1,983,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
99341,1,987,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
99365,1,988,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
99381,1,989,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
99399,1,990,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
99487,1,995,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
99566,1,1000,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
99588,1,1001,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
99608,1,1002,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
99625,1,1003,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
99677,1,1006,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
99697,1,1007,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
99712,1,1008,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
99785,1,1012,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
99799,1,1013,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
99846,1,1016,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
99863,1,1017,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
99937,1,1022,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
99979,1,1024,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
100046,1,1028,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
100057,1,1029,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
100078,1,1030,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
100107,1,1032,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
100133,1,1034,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
100199,1,1038,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
100246,1,1041,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
100269,1,1042,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
100279,1,1043,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
100295,1,1044,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
100356,1,1048,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
100395,1,1050,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
100440,1,1053,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
100492,1,1056,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
100619,1,1063,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
100681,1,1066,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
100696,1,1067,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
100716,1,1068,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
100735,1,1069,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
100756,1,1070,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
100791,1,1072,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
100840,1,1075,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
100890,1,1078,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
100909,1,1079,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
100926,1,1080,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
100992,1,1084,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
101165,1,1095,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
101214,1,1098,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
101227,1,1099,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
101265,1,1101,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
101298,1,1103,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
87446,1,161,1,4,3,1,2021-12-06 10:43:40.586,2021-12-06 10:43:40.586
87457,1,162,1,4,3,1,2021-12-06 10:43:40.586,2021-12-06 10:43:40.586
87472,1,163,1,4,3,1,2021-12-06 10:43:40.586,2021-12-06 10:43:40.586
87489,1,164,1,4,3,1,2021-12-06 10:43:40.586,2021-12-06 10:43:40.586
87508,1,165,1,4,3,1,2021-12-06 10:43:40.586,2021-12-06 10:43:40.586
87588,1,170,1,4,3,1,2021-12-06 10:43:40.586,2021-12-06 10:43:40.586
87670,1,175,1,4,3,1,2021-12-06 10:43:40.586,2021-12-06 10:43:40.586
87796,1,183,1,4,3,1,2021-12-06 10:43:40.586,2021-12-06 10:43:40.586
87814,1,184,1,4,3,1,2021-12-06 10:43:40.586,2021-12-06 10:43:40.586
87872,1,188,1,4,3,1,2021-12-06 10:43:40.586,2021-12-06 10:43:40.586
87893,1,190,1,4,3,1,2021-12-06 10:43:40.586,2021-12-06 10:43:40.586
87911,1,191,1,4,3,1,2021-12-06 10:43:40.586,2021-12-06 10:43:40.586
87971,1,195,1,4,3,1,2021-12-06 10:43:40.586,2021-12-06 10:43:40.586
88017,1,198,1,4,3,1,2021-12-06 10:43:40.586,2021-12-06 10:43:40.586
88083,1,203,1,4,3,1,2021-12-06 10:43:40.586,2021-12-06 10:43:40.586
88099,1,204,1,4,3,1,2021-12-06 10:43:40.586,2021-12-06 10:43:40.586
88116,1,205,1,4,3,1,2021-12-06 10:43:40.586,2021-12-06 10:43:40.586
88152,1,207,1,4,3,1,2021-12-06 10:43:40.586,2021-12-06 10:43:40.586
88193,1,210,1,4,3,1,2021-12-06 10:43:40.586,2021-12-06 10:43:40.586
88277,1,215,1,4,3,1,2021-12-06 10:43:40.586,2021-12-06 10:43:40.586
88318,1,218,1,4,3,1,2021-12-06 10:43:40.586,2021-12-06 10:43:40.586
88392,1,222,1,4,3,1,2021-12-06 10:43:40.586,2021-12-06 10:43:40.586
88442,1,226,1,4,3,1,2021-12-06 10:43:40.586,2021-12-06 10:43:40.586
88486,1,229,1,4,3,1,2021-12-06 10:43:40.586,2021-12-06 10:43:40.586
88508,1,231,1,4,3,1,2021-12-06 10:43:40.586,2021-12-06 10:43:40.586
88580,1,236,1,4,3,1,2021-12-06 10:43:40.586,2021-12-06 10:43:40.586
88620,1,239,1,4,3,1,2021-12-06 10:43:40.586,2021-12-06 10:43:40.586
88676,1,243,1,4,3,1,2021-12-06 10:43:40.586,2021-12-06 10:43:40.586
88694,1,244,1,4,3,1,2021-12-06 10:43:40.586,2021-12-06 10:43:40.586
88713,1,245,1,4,3,1,2021-12-06 10:43:40.586,2021-12-06 10:43:40.586
88741,1,247,1,4,3,1,2021-12-06 10:43:40.586,2021-12-06 10:43:40.586
88768,1,249,1,4,3,1,2021-12-06 10:43:40.586,2021-12-06 10:43:40.586
88795,1,251,1,4,3,1,2021-12-06 10:43:40.586,2021-12-06 10:43:40.586
88812,1,252,1,4,3,1,2021-12-06 10:43:40.586,2021-12-06 10:43:40.586
88827,1,253,1,4,3,1,2021-12-06 10:43:40.586,2021-12-06 10:43:40.586
88858,1,255,1,4,3,1,2021-12-06 10:43:40.586,2021-12-06 10:43:40.586
88887,1,257,1,4,3,1,2021-12-06 10:43:40.586,2021-12-06 10:43:40.586
88901,1,258,1,4,3,1,2021-12-06 10:43:40.586,2021-12-06 10:43:40.586
88916,1,259,1,4,3,1,2021-12-06 10:43:40.586,2021-12-06 10:43:40.586
89027,1,267,1,4,3,1,2021-12-06 10:43:40.586,2021-12-06 10:43:40.586
89079,1,270,1,4,3,1,2021-12-06 10:43:40.586,2021-12-06 10:43:40.586
89138,1,274,1,4,3,1,2021-12-06 10:43:40.586,2021-12-06 10:43:40.586
89169,1,276,1,4,3,1,2021-12-06 10:43:40.586,2021-12-06 10:43:40.586
89188,1,277,1,4,3,1,2021-12-06 10:43:40.586,2021-12-06 10:43:40.586
89229,1,280,1,4,3,1,2021-12-06 10:43:40.586,2021-12-06 10:43:40.586
89253,1,282,1,4,3,1,2021-12-06 10:43:40.586,2021-12-06 10:43:40.586
89269,1,283,1,4,3,1,2021-12-06 10:43:40.586,2021-12-06 10:43:40.586
89291,1,284,1,4,3,1,2021-12-06 10:43:40.586,2021-12-06 10:43:40.586
89306,1,285,1,4,3,1,2021-12-06 10:43:40.586,2021-12-06 10:43:40.586
89323,1,286,1,4,3,1,2021-12-06 10:43:40.586,2021-12-06 10:43:40.586
89394,1,291,1,4,3,1,2021-12-06 10:43:40.586,2021-12-06 10:43:40.586
89410,1,292,1,4,3,1,2021-12-06 10:43:40.586,2021-12-06 10:43:40.586
89439,1,294,1,4,3,1,2021-12-06 10:43:40.586,2021-12-06 10:43:40.586
89451,1,295,1,4,3,1,2021-12-06 10:43:40.586,2021-12-06 10:43:40.586
89464,1,296,1,4,3,1,2021-12-06 10:43:40.586,2021-12-06 10:43:40.586
89476,1,297,1,4,3,1,2021-12-06 10:43:40.586,2021-12-06 10:43:40.586
89504,1,299,1,4,3,1,2021-12-06 10:43:40.586,2021-12-06 10:43:40.586
89520,1,300,1,4,3,1,2021-12-06 10:43:40.586,2021-12-06 10:43:40.586
89557,1,303,1,4,3,1,2021-12-06 10:43:40.586,2021-12-06 10:43:40.586
89613,1,307,1,4,3,1,2021-12-06 10:43:40.586,2021-12-06 10:43:40.586
89643,1,309,1,4,3,1,2021-12-06 10:43:40.586,2021-12-06 10:43:40.586
89659,1,310,1,4,3,1,2021-12-06 10:43:40.586,2021-12-06 10:43:40.586
89691,1,312,1,4,3,1,2021-12-06 10:43:40.586,2021-12-06 10:43:40.586
89718,1,314,1,4,3,1,2021-12-06 10:43:40.586,2021-12-06 10:43:40.586
89735,1,315,1,4,3,1,2021-12-06 10:43:40.586,2021-12-06 10:43:40.586
89754,1,316,1,4,3,1,2021-12-06 10:43:40.586,2021-12-06 10:43:40.586
89879,1,324,1,4,3,1,2021-12-06 10:43:40.586,2021-12-06 10:43:40.586
89892,1,325,1,4,3,1,2021-12-06 10:43:40.586,2021-12-06 10:43:40.586
90051,1,335,1,4,3,1,2021-12-06 10:43:40.586,2021-12-06 10:43:40.586
84915,1,2,1,4,3,1,2021-12-06 10:43:40.110,2021-12-06 10:43:40.110
84938,1,4,1,4,3,1,2021-12-06 10:43:40.110,2021-12-06 10:43:40.110
84946,1,5,1,4,3,1,2021-12-06 10:43:40.110,2021-12-06 10:43:40.110
84980,1,8,1,4,3,1,2021-12-06 10:43:40.110,2021-12-06 10:43:40.110
85054,1,13,1,4,3,1,2021-12-06 10:43:40.110,2021-12-06 10:43:40.110
85134,1,18,1,4,3,1,2021-12-06 10:43:40.110,2021-12-06 10:43:40.110
85150,1,19,1,4,3,1,2021-12-06 10:43:40.110,2021-12-06 10:43:40.110
85167,1,20,1,4,3,1,2021-12-06 10:43:40.110,2021-12-06 10:43:40.110
85225,1,24,1,4,3,1,2021-12-06 10:43:40.110,2021-12-06 10:43:40.110
85243,1,25,1,4,3,1,2021-12-06 10:43:40.110,2021-12-06 10:43:40.110
85353,1,32,1,4,3,1,2021-12-06 10:43:40.110,2021-12-06 10:43:40.110
85422,1,37,1,4,3,1,2021-12-06 10:43:40.110,2021-12-06 10:43:40.110
85520,1,44,1,4,3,1,2021-12-06 10:43:40.110,2021-12-06 10:43:40.110
85532,1,45,1,4,3,1,2021-12-06 10:43:40.110,2021-12-06 10:43:40.110
85545,1,46,1,4,3,1,2021-12-06 10:43:40.110,2021-12-06 10:43:40.110
85604,1,50,1,4,3,1,2021-12-06 10:43:40.110,2021-12-06 10:43:40.110
85716,1,58,1,4,3,1,2021-12-06 10:43:40.110,2021-12-06 10:43:40.110
85747,1,60,1,4,3,1,2021-12-06 10:43:40.110,2021-12-06 10:43:40.110
85775,1,62,1,4,3,1,2021-12-06 10:43:40.110,2021-12-06 10:43:40.110
85795,1,63,1,4,3,1,2021-12-06 10:43:40.110,2021-12-06 10:43:40.110
85874,1,67,1,4,3,1,2021-12-06 10:43:40.110,2021-12-06 10:43:40.110
85892,1,68,1,4,3,1,2021-12-06 10:43:40.110,2021-12-06 10:43:40.110
85906,1,69,1,4,3,1,2021-12-06 10:43:40.110,2021-12-06 10:43:40.110
85933,1,71,1,4,3,1,2021-12-06 10:43:40.110,2021-12-06 10:43:40.110
85950,1,72,1,4,3,1,2021-12-06 10:43:40.110,2021-12-06 10:43:40.110
85964,1,73,1,4,3,1,2021-12-06 10:43:40.110,2021-12-06 10:43:40.110
85998,1,75,1,4,3,1,2021-12-06 10:43:40.110,2021-12-06 10:43:40.110
86230,1,88,1,4,3,1,2021-12-06 10:43:40.583,2021-12-06 10:43:40.583
86256,1,90,1,4,3,1,2021-12-06 10:43:40.583,2021-12-06 10:43:40.583
86275,1,91,1,4,3,1,2021-12-06 10:43:40.583,2021-12-06 10:43:40.583
86367,1,96,1,4,3,1,2021-12-06 10:43:40.583,2021-12-06 10:43:40.583
86382,1,97,1,4,3,1,2021-12-06 10:43:40.583,2021-12-06 10:43:40.583
86420,1,99,1,4,3,1,2021-12-06 10:43:40.583,2021-12-06 10:43:40.583
86557,1,108,1,4,3,1,2021-12-06 10:43:40.583,2021-12-06 10:43:40.583
86587,1,110,1,4,3,1,2021-12-06 10:43:40.583,2021-12-06 10:43:40.583
86601,1,111,1,4,3,1,2021-12-06 10:43:40.583,2021-12-06 10:43:40.583
86617,1,112,1,4,3,1,2021-12-06 10:43:40.583,2021-12-06 10:43:40.583
86635,1,113,1,4,3,1,2021-12-06 10:43:40.583,2021-12-06 10:43:40.583
86791,1,123,1,4,3,1,2021-12-06 10:43:40.583,2021-12-06 10:43:40.583
86810,1,124,1,4,3,1,2021-12-06 10:43:40.583,2021-12-06 10:43:40.583
86887,1,128,1,4,3,1,2021-12-06 10:43:40.583,2021-12-06 10:43:40.583
86903,1,129,1,4,3,1,2021-12-06 10:43:40.583,2021-12-06 10:43:40.583
86933,1,131,1,4,3,1,2021-12-06 10:43:40.583,2021-12-06 10:43:40.583
86979,1,134,1,4,3,1,2021-12-06 10:43:40.583,2021-12-06 10:43:40.583
87139,1,143,1,4,3,1,2021-12-06 10:43:40.583,2021-12-06 10:43:40.583
87156,1,144,1,4,3,1,2021-12-06 10:43:40.583,2021-12-06 10:43:40.583
87188,1,146,1,4,3,1,2021-12-06 10:43:40.583,2021-12-06 10:43:40.583
87222,1,148,1,4,3,1,2021-12-06 10:43:40.583,2021-12-06 10:43:40.583
87236,1,149,1,4,3,1,2021-12-06 10:43:40.583,2021-12-06 10:43:40.583
87256,1,150,1,4,3,1,2021-12-06 10:43:40.583,2021-12-06 10:43:40.583
87275,1,151,1,4,3,1,2021-12-06 10:43:40.583,2021-12-06 10:43:40.583
87289,1,152,1,4,3,1,2021-12-06 10:43:40.583,2021-12-06 10:43:40.583
87412,1,159,1,4,3,1,2021-12-06 10:43:40.583,2021-12-06 10:43:40.583
87428,1,160,1,4,3,1,2021-12-06 10:43:40.583,2021-12-06 10:43:40.583
90125,1,340,1,4,3,1,2021-12-06 10:43:40.590,2021-12-06 10:43:40.590
90140,1,341,1,4,3,1,2021-12-06 10:43:40.590,2021-12-06 10:43:40.590
90154,1,342,1,4,3,1,2021-12-06 10:43:40.590,2021-12-06 10:43:40.590
90186,1,344,1,4,3,1,2021-12-06 10:43:40.590,2021-12-06 10:43:40.590
90203,1,345,1,4,3,1,2021-12-06 10:43:40.590,2021-12-06 10:43:40.590
90252,1,348,1,4,3,1,2021-12-06 10:43:40.590,2021-12-06 10:43:40.590
90266,1,349,1,4,3,1,2021-12-06 10:43:40.590,2021-12-06 10:43:40.590
90318,1,353,1,4,3,1,2021-12-06 10:43:40.590,2021-12-06 10:43:40.590
90352,1,355,1,4,3,1,2021-12-06 10:43:40.590,2021-12-06 10:43:40.590
90367,1,356,1,4,3,1,2021-12-06 10:43:40.590,2021-12-06 10:43:40.590
90390,1,358,1,4,3,1,2021-12-06 10:43:40.590,2021-12-06 10:43:40.590
90405,1,359,1,4,3,1,2021-12-06 10:43:40.590,2021-12-06 10:43:40.590
90463,1,363,1,4,3,1,2021-12-06 10:43:40.590,2021-12-06 10:43:40.590
90534,1,368,1,4,3,1,2021-12-06 10:43:40.590,2021-12-06 10:43:40.590
90567,1,370,1,4,3,1,2021-12-06 10:43:40.590,2021-12-06 10:43:40.590
90607,1,373,1,4,3,1,2021-12-06 10:43:40.590,2021-12-06 10:43:40.590
90626,1,374,1,4,3,1,2021-12-06 10:43:40.590,2021-12-06 10:43:40.590
90674,1,377,1,4,3,1,2021-12-06 10:43:40.590,2021-12-06 10:43:40.590
90691,1,378,1,4,3,1,2021-12-06 10:43:40.590,2021-12-06 10:43:40.590
90739,1,381,1,4,3,1,2021-12-06 10:43:40.590,2021-12-06 10:43:40.590
90870,1,389,1,4,3,1,2021-12-06 10:43:40.590,2021-12-06 10:43:40.590
90969,1,395,1,4,3,1,2021-12-06 10:43:40.590,2021-12-06 10:43:40.590
90987,1,396,1,4,3,1,2021-12-06 10:43:40.590,2021-12-06 10:43:40.590
91005,1,397,1,4,3,1,2021-12-06 10:43:40.590,2021-12-06 10:43:40.590
91121,1,404,1,4,3,1,2021-12-06 10:43:40.590,2021-12-06 10:43:40.590
91216,1,410,1,4,3,1,2021-12-06 10:43:40.590,2021-12-06 10:43:40.590
91282,1,414,1,4,3,1,2021-12-06 10:43:40.590,2021-12-06 10:43:40.590
91295,1,415,1,4,3,1,2021-12-06 10:43:40.590,2021-12-06 10:43:40.590
91338,1,418,1,4,3,1,2021-12-06 10:43:40.590,2021-12-06 10:43:40.590
91374,1,420,1,4,3,1,2021-12-06 10:43:40.590,2021-12-06 10:43:40.590
91409,1,422,1,4,3,1,2021-12-06 10:43:40.590,2021-12-06 10:43:40.590
91471,1,426,1,4,3,1,2021-12-06 10:43:40.590,2021-12-06 10:43:40.590
91553,1,431,1,4,3,1,2021-12-06 10:43:40.590,2021-12-06 10:43:40.590
91570,1,432,1,4,3,1,2021-12-06 10:43:40.590,2021-12-06 10:43:40.590
91602,1,434,1,4,3,1,2021-12-06 10:43:40.590,2021-12-06 10:43:40.590
91634,1,436,1,4,3,1,2021-12-06 10:43:40.590,2021-12-06 10:43:40.590
91781,1,445,1,4,3,1,2021-12-06 10:43:40.590,2021-12-06 10:43:40.590
91827,1,448,1,4,3,1,2021-12-06 10:43:40.590,2021-12-06 10:43:40.590
91901,1,453,1,4,3,1,2021-12-06 10:43:40.590,2021-12-06 10:43:40.590
91942,1,455,1,4,3,1,2021-12-06 10:43:40.590,2021-12-06 10:43:40.590
91979,1,457,1,4,3,1,2021-12-06 10:43:40.590,2021-12-06 10:43:40.590
92012,1,459,1,4,3,1,2021-12-06 10:43:40.590,2021-12-06 10:43:40.590
92029,1,460,1,4,3,1,2021-12-06 10:43:40.590,2021-12-06 10:43:40.590
92046,1,461,1,4,3,1,2021-12-06 10:43:40.590,2021-12-06 10:43:40.590
92088,1,463,1,4,3,1,2021-12-06 10:43:40.590,2021-12-06 10:43:40.590
92124,1,465,1,4,3,1,2021-12-06 10:43:40.593,2021-12-06 10:43:40.593
92139,1,466,1,4,3,1,2021-12-06 10:43:40.593,2021-12-06 10:43:40.593
92188,1,469,1,4,3,1,2021-12-06 10:43:40.593,2021-12-06 10:43:40.593
92201,1,470,1,4,3,1,2021-12-06 10:43:40.593,2021-12-06 10:43:40.593
92220,1,471,1,4,3,1,2021-12-06 10:43:40.593,2021-12-06 10:43:40.593
92237,1,472,1,4,3,1,2021-12-06 10:43:40.593,2021-12-06 10:43:40.593
92250,1,473,1,4,3,1,2021-12-06 10:43:40.593,2021-12-06 10:43:40.593
92355,1,480,1,4,3,1,2021-12-06 10:43:40.593,2021-12-06 10:43:40.593
92431,1,484,1,4,3,1,2021-12-06 10:43:40.593,2021-12-06 10:43:40.593
92448,1,485,1,4,3,1,2021-12-06 10:43:40.593,2021-12-06 10:43:40.593
92466,1,486,1,4,3,1,2021-12-06 10:43:40.593,2021-12-06 10:43:40.593
92497,1,488,1,4,3,1,2021-12-06 10:43:40.593,2021-12-06 10:43:40.593
92514,1,489,1,4,3,1,2021-12-06 10:43:40.593,2021-12-06 10:43:40.593
92570,1,492,1,4,3,1,2021-12-06 10:43:40.593,2021-12-06 10:43:40.593
92608,1,494,1,4,3,1,2021-12-06 10:43:40.593,2021-12-06 10:43:40.593
92623,1,495,1,4,3,1,2021-12-06 10:43:40.593,2021-12-06 10:43:40.593
92667,1,498,1,4,3,1,2021-12-06 10:43:40.593,2021-12-06 10:43:40.593
92793,1,506,1,4,3,1,2021-12-06 10:43:40.593,2021-12-06 10:43:40.593
92808,1,507,1,4,3,1,2021-12-06 10:43:40.593,2021-12-06 10:43:40.593
92823,1,508,1,4,3,1,2021-12-06 10:43:40.593,2021-12-06 10:43:40.593
92855,1,510,1,4,3,1,2021-12-06 10:43:40.593,2021-12-06 10:43:40.593
92880,1,512,1,4,3,1,2021-12-06 10:43:40.593,2021-12-06 10:43:40.593
92940,1,516,1,4,3,1,2021-12-06 10:43:40.593,2021-12-06 10:43:40.593
93024,1,521,1,4,3,1,2021-12-06 10:43:40.593,2021-12-06 10:43:40.593
93040,1,522,1,4,3,1,2021-12-06 10:43:40.593,2021-12-06 10:43:40.593
93122,1,527,1,4,3,1,2021-12-06 10:43:40.593,2021-12-06 10:43:40.593
93159,1,529,1,4,3,1,2021-12-06 10:43:40.593,2021-12-06 10:43:40.593
93249,1,535,1,4,3,1,2021-12-06 10:43:40.593,2021-12-06 10:43:40.593
93281,1,537,1,4,3,1,2021-12-06 10:43:40.593,2021-12-06 10:43:40.593
93359,1,542,1,4,3,1,2021-12-06 10:43:40.593,2021-12-06 10:43:40.593
93392,1,544,1,4,3,1,2021-12-06 10:43:40.593,2021-12-06 10:43:40.593
93403,1,545,1,4,3,1,2021-12-06 10:43:40.593,2021-12-06 10:43:40.593
93418,1,546,1,4,3,1,2021-12-06 10:43:40.593,2021-12-06 10:43:40.593
93450,1,548,1,4,3,1,2021-12-06 10:43:40.593,2021-12-06 10:43:40.593
93509,1,552,1,4,3,1,2021-12-06 10:43:40.593,2021-12-06 10:43:40.593
93525,1,553,1,4,3,1,2021-12-06 10:43:40.593,2021-12-06 10:43:40.593
93624,1,559,1,4,3,1,2021-12-06 10:43:40.593,2021-12-06 10:43:40.593
93641,1,560,1,4,3,1,2021-12-06 10:43:40.593,2021-12-06 10:43:40.593
93653,1,561,1,4,3,1,2021-12-06 10:43:40.593,2021-12-06 10:43:40.593
93711,1,565,1,4,3,1,2021-12-06 10:43:40.593,2021-12-06 10:43:40.593
93727,1,566,1,4,3,1,2021-12-06 10:43:40.593,2021-12-06 10:43:40.593
93753,1,568,1,4,3,1,2021-12-06 10:43:40.593,2021-12-06 10:43:40.593
93825,1,574,1,4,3,1,2021-12-06 10:43:40.593,2021-12-06 10:43:40.593
93836,1,575,1,4,3,1,2021-12-06 10:43:40.593,2021-12-06 10:43:40.593
93847,1,576,1,4,3,1,2021-12-06 10:43:40.593,2021-12-06 10:43:40.593
93926,1,582,1,4,3,1,2021-12-06 10:43:40.593,2021-12-06 10:43:40.593
