Channel,Month & Year,Category,First Date,Sales Values
"Wholesale","Oct 2017","Revenue",2017-10-01 00:00:00.000,2836404.7999999993
"Wholesale","Dec 2017","Revenue",2017-12-01 00:00:00.000,2439001.0000000005
"Wholesale","Jan 2018","Revenue",2018-01-01 00:00:00.000,1993973.6000000006
"Wholesale","Feb 2018","Revenue",2018-02-01 00:00:00.000,2681185.9000000004
"Wholesale","Mar 2018","Revenue",2018-03-01 00:00:00.000,2457124.5
"Wholesale","Apr 2018","Revenue",2018-04-01 00:00:00.000,2217579.4000000004
"Wholesale","May 2018","Revenue",2018-05-01 00:00:00.000,2391846.4000000004
"Wholesale","Jun 2018","Revenue",2018-06-01 00:00:00.000,2290113.5999999996
"Wholesale","Aug 2018","Revenue",2018-08-01 00:00:00.000,1501188.6
"Wholesale","Feb 2017","Revenue",2017-02-01 00:00:00.000,2240138.2999999989
"Wholesale","Aug 2017","Revenue",2017-08-01 00:00:00.000,2238101.5000000005
"Wholesale","Jul 2018","Revenue",2018-07-01 00:00:00.000,3163907.4999999991
"Wholesale","Nov 2017","Revenue",2017-11-01 00:00:00.000,2498135.2000000011
"Distributor","Jan 2015","Revenue",2015-01-01 00:00:00.000,1586017.3000000003
"Distributor","Feb 2015","Revenue",2015-02-01 00:00:00.000,1574191.8000000003
"Distributor","Mar 2015","Revenue",2015-03-01 00:00:00.000,1862057.2999999998
"Distributor","Apr 2015","Revenue",2015-04-01 00:00:00.000,1809582.9
"Distributor","May 2015","Revenue",2015-05-01 00:00:00.000,1297408.1
"Distributor","Jun 2015","Revenue",2015-06-01 00:00:00.000,1151066.7
"Distributor","Jul 2015","Revenue",2015-07-01 00:00:00.000,877612.90000000026
"Distributor","Aug 2015","Revenue",2015-08-01 00:00:00.000,1456700.5999999996
"Distributor","Sep 2015","Revenue",2015-09-01 00:00:00.000,1264678.6
"Distributor","Oct 2015","Revenue",2015-10-01 00:00:00.000,2064973.5000000002
"Distributor","Nov 2015","Revenue",2015-11-01 00:00:00.000,1439870.2
"Distributor","Dec 2015","Revenue",2015-12-01 00:00:00.000,1364495.1999999997
"Distributor","Jan 2016","Revenue",2016-01-01 00:00:00.000,1374860.0999999999
"Distributor","Feb 2016","Revenue",2016-02-01 00:00:00.000,1345721.8000000003
"Distributor","Mar 2016","Revenue",2016-03-01 00:00:00.000,1411703.4000000004
"Distributor","Apr 2016","Revenue",2016-04-01 00:00:00.000,1403355.2000000002
"Distributor","May 2016","Revenue",2016-05-01 00:00:00.000,1566506.9
"Distributor","Jun 2016","Revenue",2016-06-01 00:00:00.000,1451662.1999999997
"Distributor","Jul 2016","Revenue",2016-07-01 00:00:00.000,1663542.9999999995
"Distributor","Aug 2016","Revenue",2016-08-01 00:00:00.000,1475340.0000000002
"Distributor","Oct 2016","Revenue",2016-10-02 00:00:00.000,1746261.2000000002
"Distributor","Nov 2016","Revenue",2016-11-01 00:00:00.000,1386350.5999999994
"Distributor","Jan 2017","Revenue",2017-01-01 00:00:00.000,1298158.4999999998
"Distributor","Feb 2017","Revenue",2017-02-01 00:00:00.000,1312275.4
"Distributor","Mar 2017","Revenue",2017-03-01 00:00:00.000,1444901.9
"Distributor","Apr 2017","Revenue",2017-04-02 00:00:00.000,1538688.4999999995
"Distributor","Jun 2017","Revenue",2017-06-01 00:00:00.000,1421539
"Distributor","Jul 2017","Revenue",2017-07-01 00:00:00.000,1661325.2999999996
"Distributor","Aug 2017","Revenue",2017-08-01 00:00:00.000,1634143.3999999997
"Distributor","Sep 2017","Revenue",2017-09-02 00:00:00.000,1165572.1999999997
"Distributor","Oct 2017","Revenue",2017-10-01 00:00:00.000,1800993.4999999998
"Distributor","Nov 2017","Revenue",2017-11-01 00:00:00.000,1153438.4999999998
"Distributor","Dec 2017","Revenue",2017-12-01 00:00:00.000,1734254.7999999998
"Distributor","Jan 2018","Revenue",2018-01-01 00:00:00.000,1690932.6
"Distributor","Feb 2018","Revenue",2018-02-01 00:00:00.000,892674.5
"Distributor","Mar 2018","Revenue",2018-03-01 00:00:00.000,1523204.7999999996
"Distributor","Apr 2018","Revenue",2018-04-01 00:00:00.000,1562366.2999999998
"Distributor","May 2018","Revenue",2018-05-01 00:00:00.000,1820557.5
"Distributor","Jun 2018","Revenue",2018-06-01 00:00:00.000,1089942.6
"Distributor","Jul 2018","Revenue",2018-07-01 00:00:00.000,1368897.0999999999
"Distributor","Aug 2018","Revenue",2018-08-01 00:00:00.000,1369513.4999999998
"Distributor","May 2017","Revenue",2017-05-01 00:00:00.000,1208298.1000000003
"Distributor","Sep 2016","Revenue",2016-09-01 00:00:00.000,1669928.1000000003
"Distributor","Dec 2016","Revenue",2016-12-01 00:00:00.000,1587732.5
"Export","Jan 2015","Revenue",2015-01-01 00:00:00.000,552810.3
"Export","Feb 2015","Revenue",2015-02-01 00:00:00.000,555590.80000000016
"Export","Mar 2015","Revenue",2015-03-02 00:00:00.000,891669.5
"Export","Apr 2015","Revenue",2015-04-01 00:00:00.000,783203.2
"Export","May 2015","Revenue",2015-05-01 00:00:00.000,718983.70000000007
"Export","Jun 2015","Revenue",2015-06-01 00:00:00.000,1003144.1000000001
"Export","Jul 2015","Revenue",2015-07-01 00:00:00.000,704927.10000000021
"Export","Aug 2015","Revenue",2015-08-01 00:00:00.000,652613.50000000023
"Export","Sep 2015","Revenue",2015-09-01 00:00:00.000,674649.80000000028
"Export","Oct 2015","Revenue",2015-10-01 00:00:00.000,580226.7
"Export","Nov 2015","Revenue",2015-11-02 00:00:00.000,1153518.9
"Export","Dec 2015","Revenue",2015-12-01 00:00:00.000,1015217.4999999999
"Export","Jan 2016","Revenue",2016-01-01 00:00:00.000,626805.1
"Export","Feb 2016","Revenue",2016-02-01 00:00:00.000,606296.4
"Export","Mar 2016","Revenue",2016-03-01 00:00:00.000,890986.09999999986
"Export","Apr 2016","Revenue",2016-04-03 00:00:00.000,581050.79999999993
"Export","May 2016","Revenue",2016-05-01 00:00:00.000,648097.70000000007
"Export","Jun 2016","Revenue",2016-06-01 00:00:00.000,513668.89999999997
"Export","Jul 2016","Revenue",2016-07-01 00:00:00.000,795598.1999999996
"Export","Aug 2016","Revenue",2016-08-01 00:00:00.000,641618.8
"Export","Sep 2016","Revenue",2016-09-01 00:00:00.000,512489.69999999995
"Export","Nov 2016","Revenue",2016-11-03 00:00:00.000,701014.3
"Export","Mar 2017","Revenue",2017-03-01 00:00:00.000,546552.5
"Export","Aug 2017","Revenue",2017-08-01 00:00:00.000,901183.49999999977
"Export","Sep 2017","Revenue",2017-09-01 00:00:00.000,596045.4
"Export","Nov 2017","Revenue",2017-11-01 00:00:00.000,667259.70000000007
"Export","Mar 2018","Revenue",2018-03-01 00:00:00.000,706025.9
"Export","May 2018","Revenue",2018-05-01 00:00:00.000,819068.3
"Export","Aug 2018","Revenue",2018-08-02 00:00:00.000,280374.89999999997
"Export","Oct 2016","Revenue",2016-10-01 00:00:00.000,441195
"Export","Dec 2016","Revenue",2016-12-01 00:00:00.000,840689.20000000007
"Export","Jan 2017","Revenue",2017-01-01 00:00:00.000,614604.40000000014
"Export","Apr 2017","Revenue",2017-04-02 00:00:00.000,570833.3
"Export","Jul 2018","Revenue",2018-07-01 00:00:00.000,458373.79999999993
"Export","Feb 2017","Revenue",2017-02-02 00:00:00.000,893478.50000000012
"Export","Jul 2017","Revenue",2017-07-02 00:00:00.000,673872.60000000009
"Export","Oct 2017","Revenue",2017-10-01 00:00:00.000,641967.2
"Export","Dec 2017","Revenue",2017-12-01 00:00:00.000,644942
"Export","Apr 2018","Revenue",2018-04-03 00:00:00.000,640245.3
"Export","Jun 2018","Revenue",2018-06-02 00:00:00.000,898302.50000000023
"Export","May 2017","Revenue",2017-05-01 00:00:00.000,576548.39999999991
"Export","Jun 2017","Revenue",2017-06-01 00:00:00.000,863683.60000000009
"Export","Jan 2018","Revenue",2018-01-02 00:00:00.000,606423.70000000007
"Export","Feb 2018","Revenue",2018-02-02 00:00:00.000,419460.2
