Category,Subcategory,ProductName,ProductKey,variable,value
Bikes,Mountain Bikes,"Mountain-100 Silver, 38",344,2016-06-01 00:00:00.000,619456
Bikes,Road Bikes,"Road-150 Red, 62",310,2016-06-01 00:00:00.000,546092
Bikes,Touring Bikes,"Touring-2000 Blue, 60",560,2016-06-01 00:00:00.000,445270
Clothing,Caps,AWC Logo Cap,223,2016-06-01 00:00:00.000,2180
Clothing,Gloves,"Half-Finger Gloves, S",462,2016-06-01 00:00:00.000,2966
Clothing,Jerseys,"Long-Sleeve Logo Jersey, S",226,2016-06-01 00:00:00.000,18153
Clothing,Shorts,"Men's Sports Shorts, S",445,2016-06-01 00:00:00.000,6829
Clothing,Socks,"Mountain Bike Socks, M",218,2016-06-01 00:00:00.000,372
Clothing,Vests,"Classic Vest, S",471,2016-06-01 00:00:00.000,2591
Accessories,Bike Racks,Hitch Rack - 4-Bike,483,2016-07-01 00:00:00.000,2218
Accessories,Bike Stands,All-Purpose Bike Stand,486,2016-07-01 00:00:00.000,2774
Accessories,Bottles and Cages,Water Bottle - 30 oz.,477,2016-07-01 00:00:00.000,4871
Accessories,Cleaners,Bike Wash - Dissolver,484,2016-07-01 00:00:00.000,777
Accessories,Fenders,Fender Set - Mountain,485,2016-07-01 00:00:00.000,4190
Accessories,Helmets,"Sport-100 Helmet, Red",212,2016-07-01 00:00:00.000,17584
Accessories,Hydration Packs,Hydration Pack - 70 oz.,487,2016-07-01 00:00:00.000,3773
Accessories,Tires and Tubes,Patch Kit/8 Patches,480,2016-07-01 00:00:00.000,23995
Bikes,Mountain Bikes,"Mountain-100 Silver, 38",344,2016-07-01 00:00:00.000,524348
Bikes,Road Bikes,"Road-150 Red, 62",310,2016-07-01 00:00:00.000,441037
Bikes,Touring Bikes,"Touring-2000 Blue, 60",560,2016-07-01 00:00:00.000,299106
Clothing,Caps,AWC Logo Cap,223,2016-07-01 00:00:00.000,1588
Clothing,Gloves,"Half-Finger Gloves, S",462,2016-07-01 00:00:00.000,2975
Clothing,Jerseys,"Long-Sleeve Logo Jersey, S",226,2016-07-01 00:00:00.000,16846
Clothing,Shorts,"Men's Sports Shorts, S",445,2016-07-01 00:00:00.000,4617
Clothing,Socks,"Mountain Bike Socks, M",218,2016-07-01 00:00:00.000,839
Clothing,Vests,"Classic Vest, S",471,2016-07-01 00:00:00.000,3379
Accessories,Bike Racks,Hitch Rack - 4-Bike,483,2016-08-01 00:00:00.000,3287
Accessories,Bike Stands,All-Purpose Bike Stand,486,2016-08-01 00:00:00.000,3003
Accessories,Bottles and Cages,Water Bottle - 30 oz.,477,2016-08-01 00:00:00.000,5231
Accessories,Cleaners,Bike Wash - Dissolver,484,2016-08-01 00:00:00.000,777
Accessories,Fenders,Fender Set - Mountain,485,2016-08-01 00:00:00.000,3618
Accessories,Helmets,"Sport-100 Helmet, Red",212,2016-08-01 00:00:00.000,20409
Accessories,Hydration Packs,Hydration Pack - 70 oz.,487,2016-08-01 00:00:00.000,3523
Accessories,Tires and Tubes,Patch Kit/8 Patches,480,2016-08-01 00:00:00.000,22922
Bikes,Mountain Bikes,"Mountain-100 Silver, 38",344,2016-08-01 00:00:00.000,647048
Bikes,Road Bikes,"Road-150 Red, 62",310,2016-08-01 00:00:00.000,432400
Bikes,Touring Bikes,"Touring-2000 Blue, 60",560,2016-08-01 00:00:00.000,407069
Clothing,Caps,AWC Logo Cap,223,2016-08-01 00:00:00.000,2065
Clothing,Gloves,"Half-Finger Gloves, S",462,2016-08-01 00:00:00.000,3264
Clothing,Jerseys,"Long-Sleeve Logo Jersey, S",226,2016-08-01 00:00:00.000,13497
Clothing,Shorts,"Men's Sports Shorts, S",445,2016-08-01 00:00:00.000,5384
Clothing,Socks,"Mountain Bike Socks, M",218,2016-08-01 00:00:00.000,487
Clothing,Vests,"Classic Vest, S",471,2016-08-01 00:00:00.000,3580
Accessories,Bike Racks,Hitch Rack - 4-Bike,483,2016-09-01 00:00:00.000,3885
Accessories,Bike Stands,All-Purpose Bike Stand,486,2016-09-01 00:00:00.000,2401
Accessories,Bottles and Cages,Water Bottle - 30 oz.,477,2016-09-01 00:00:00.000,5461
Accessories,Cleaners,Bike Wash - Dissolver,484,2016-09-01 00:00:00.000,239
Accessories,Fenders,Fender Set - Mountain,485,2016-09-01 00:00:00.000,3975
Accessories,Helmets,"Sport-100 Helmet, Red",212,2016-09-01 00:00:00.000,18268
Accessories,Hydration Packs,Hydration Pack - 70 oz.,487,2016-09-01 00:00:00.000,4252
Accessories,Tires and Tubes,Patch Kit/8 Patches,480,2016-09-01 00:00:00.000,20950
Bikes,Mountain Bikes,"Mountain-100 Silver, 38",344,2016-09-01 00:00:00.000,557368
Bikes,Road Bikes,"Road-150 Red, 62",310,2016-09-01 00:00:00.000,468572
Bikes,Touring Bikes,"Touring-2000 Blue, 60",560,2016-09-01 00:00:00.000,391580
Clothing,Caps,AWC Logo Cap,223,2016-09-01 00:00:00.000,2013
Clothing,Gloves,"Half-Finger Gloves, S",462,2016-09-01 00:00:00.000,2424
Clothing,Jerseys,"Long-Sleeve Logo Jersey, S",226,2016-09-01 00:00:00.000,15988
Clothing,Shorts,"Men's Sports Shorts, S",445,2016-09-01 00:00:00.000,6277
Clothing,Socks,"Mountain Bike Socks, M",218,2016-09-01 00:00:00.000,425
Clothing,Vests,"Classic Vest, S",471,2016-09-01 00:00:00.000,3600
Accessories,Bike Racks,Hitch Rack - 4-Bike,483,2016-10-01 00:00:00.000,2484
Accessories,Bike Stands,All-Purpose Bike Stand,486,2016-10-01 00:00:00.000,4413
Accessories,Bottles and Cages,Water Bottle - 30 oz.,477,2016-10-01 00:00:00.000,5529
Accessories,Cleaners,Bike Wash - Dissolver,484,2016-10-01 00:00:00.000,496
Accessories,Fenders,Fender Set - Mountain,485,2016-10-01 00:00:00.000,3892
Accessories,Helmets,"Sport-100 Helmet, Red",212,2016-10-01 00:00:00.000,20567
Accessories,Hydration Packs,Hydration Pack - 70 oz.,487,2016-10-01 00:00:00.000,3111
Accessories,Tires and Tubes,Patch Kit/8 Patches,480,2016-10-01 00:00:00.000,21905
Bikes,Mountain Bikes,"Mountain-100 Silver, 38",344,2016-10-01 00:00:00.000,615032
Bikes,Road Bikes,"Road-150 Red, 62",310,2016-10-01 00:00:00.000,483913
Bikes,Touring Bikes,"Touring-2000 Blue, 60",560,2016-10-01 00:00:00.000,481316
Clothing,Caps,AWC Logo Cap,223,2016-10-01 00:00:00.000,2138
Clothing,Gloves,"Half-Finger Gloves, S",462,2016-10-01 00:00:00.000,3181
Clothing,Jerseys,"Long-Sleeve Logo Jersey, S",226,2016-10-01 00:00:00.000,15920
Clothing,Shorts,"Men's Sports Shorts, S",445,2016-10-01 00:00:00.000,6337
Clothing,Socks,"Mountain Bike Socks, M",218,2016-10-01 00:00:00.000,335
Clothing,Vests,"Classic Vest, S",471,2016-10-01 00:00:00.000,4248
Accessories,Bike Racks,Hitch Rack - 4-Bike,483,2016-11-01 00:00:00.000,5441
Accessories,Bike Stands,All-Purpose Bike Stand,486,2016-11-01 00:00:00.000,3881
Accessories,Bottles and Cages,Water Bottle - 30 oz.,477,2016-11-01 00:00:00.000,5220
Accessories,Cleaners,Bike Wash - Dissolver,484,2016-11-01 00:00:00.000,686
Accessories,Fenders,Fender Set - Mountain,485,2016-11-01 00:00:00.000,4740
Accessories,Helmets,"Sport-100 Helmet, Red",212,2016-11-01 00:00:00.000,25571
Accessories,Hydration Packs,Hydration Pack - 70 oz.,487,2016-11-01 00:00:00.000,4985
Accessories,Tires and Tubes,Patch Kit/8 Patches,480,2016-11-01 00:00:00.000,24019
Bikes,Mountain Bikes,"Mountain-100 Silver, 38",344,2016-11-01 00:00:00.000,802831
Bikes,Road Bikes,"Road-150 Red, 62",310,2016-11-01 00:00:00.000,558232
Bikes,Touring Bikes,"Touring-2000 Blue, 60",560,2016-11-01 00:00:00.000,506411
Clothing,Caps,AWC Logo Cap,223,2016-11-01 00:00:00.000,1830
Clothing,Gloves,"Half-Finger Gloves, S",462,2016-11-01 00:00:00.000,3518
Clothing,Jerseys,"Long-Sleeve Logo Jersey, S",226,2016-11-01 00:00:00.000,17426
Clothing,Shorts,"Men's Sports Shorts, S",445,2016-11-01 00:00:00.000,6300
Clothing,Socks,"Mountain Bike Socks, M",218,2016-11-01 00:00:00.000,660
Clothing,Vests,"Classic Vest, S",471,2016-11-01 00:00:00.000,3685
Accessories,Bike Racks,Hitch Rack - 4-Bike,483,2016-12-01 00:00:00.000,3551
Accessories,Bike Stands,All-Purpose Bike Stand,486,2016-12-01 00:00:00.000,2143
Accessories,Bottles and Cages,Water Bottle - 30 oz.,477,2016-12-01 00:00:00.000,6025
Accessories,Cleaners,Bike Wash - Dissolver,484,2016-12-01 00:00:00.000,455
Accessories,Fenders,Fender Set - Mountain,485,2016-12-01 00:00:00.000,4844
Accessories,Helmets,"Sport-100 Helmet, Red",212,2016-12-01 00:00:00.000,22106
Accessories,Hydration Packs,Hydration Pack - 70 oz.,487,2016-12-01 00:00:00.000,4348
Accessories,Tires and Tubes,Patch Kit/8 Patches,480,2016-12-01 00:00:00.000,23587
Bikes,Mountain Bikes,"Mountain-100 Silver, 38",344,2016-12-01 00:00:00.000,788234
Bikes,Road Bikes,"Road-150 Red, 62",310,2016-12-01 00:00:00.000,590261
Bikes,Touring Bikes,"Touring-2000 Blue, 60",560,2016-12-01 00:00:00.000,494823
Clothing,Caps,AWC Logo Cap,223,2016-12-01 00:00:00.000,2113
Clothing,Gloves,"Half-Finger Gloves, S",462,2016-12-01 00:00:00.000,4084
Clothing,Jerseys,"Long-Sleeve Logo Jersey, S",226,2016-12-01 00:00:00.000,20043
Clothing,Shorts,"Men's Sports Shorts, S",445,2016-12-01 00:00:00.000,7641
Clothing,Socks,"Mountain Bike Socks, M",218,2016-12-01 00:00:00.000,699
Clothing,Vests,"Classic Vest, S",471,2016-12-01 00:00:00.000,3439
