TICKET_NMBR,PARENT_SERVICE,service,org_id,ASSIGNED_GROUP,OPEN_DATE,CLOSE_DATE,PRIORITY,STATUS,ACTUAL_COMPLETION_HRS,BUSINESS_COMPLETION_HRS,AGING,CLASS_STRUCTURE_ID,class_structure,CLASSIFICATION_ID,classification,EXTERNAL_SYSTEM,GLOBAL_TICKET_ID,CLOSURE_CODE,LAST_MODIFIED_DATE
"IN10062454","GC WAN","GC WAN","1342","NW000417","22AUG2017:12:48:07","23AUG2017:06:53:00","Medium","CLOSED",18.08,4.2,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","03SEP2017:05:30:16"
"IN10063640","GC WAN","GC WAN","1342","NW000417","07SEP2017:07:15:14","08SEP2017:10:20:40","Medium","CLOSED",27.09,13.08,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","19SEP2017:05:30:04"
"IN10064919","GC WAN","GC WAN","1342","NW000417","22SEP2017:01:38:41","22SEP2017:15:22:03","Medium","CLOSED",13.72,8.37,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","03OCT2017:05:30:10"
"IN10064980","GC WAN","GC WAN","1342","NW000417","22SEP2017:13:51:34","11OCT2017:06:54:29","Medium","CLOSED",449.05,113.15,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","22OCT2017:05:30:10"
"IN10065316","GC WAN","GC WAN","1342","NW000417","27SEP2017:07:26:58","28SEP2017:07:33:44","Medium","CLOSED",24.11,10.12,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","09OCT2017:05:30:17"
"IN10066332","GC WAN","GC WAN","1342","NW000417","07OCT2017:00:52:16","11OCT2017:09:32:13","Medium","CLOSED",104.67,12.53,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","22OCT2017:05:30:02"
"IN10066357","GC WAN","GC WAN","1342","NW000417","07OCT2017:09:05:17","10OCT2017:06:36:15","Medium","CLOSED",69.52,0,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","21OCT2017:05:30:04"
"IN10066358","GC WAN","GC WAN","1342","NW000417","07OCT2017:09:14:42","10OCT2017:06:35:15","Medium","CLOSED",69.34,0,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","21OCT2017:05:30:04"
"IN10068442","GC WAN","GC WAN","1342","NW000417","31OCT2017:03:44:46","31OCT2017:13:07:23","Medium","CLOSED",9.38,6.12,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","11NOV2017:05:30:18"
"IN10069843","GC WAN","GC WAN","1342","NW000417","15NOV2017:12:56:45","16NOV2017:09:10:19","Medium","CLOSED",20.23,6.24,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","27NOV2017:05:30:35"
"IN10070739","GC WAN","GC WAN","1342","NW000417","24NOV2017:12:57:16","24NOV2017:13:04:10","Medium","CLOSED",0.12,0.12,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","05DEC2017:05:30:15"
"IN10070898","GC WAN","GC WAN","1342","NW000417","27NOV2017:06:51:47","28NOV2017:11:55:20","Medium","CLOSED",29.06,14.92,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","09DEC2017:05:30:11"
"IN10071099","GC WAN","GC WAN","1342","NW000417","29NOV2017:08:46:16","01DEC2017:11:35:04","Medium","CLOSED",50.81,22.81,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","12DEC2017:05:30:03"
"IN10072615","GC WAN","GC WAN","1342","NW000417","13DEC2017:12:06:44","13DEC2017:13:30:00","Medium","CLOSED",1.39,1.4,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","24DEC2017:05:30:22"
"IN10072843","GC WAN","GC WAN","1342","NW000417","15DEC2017:08:43:01","21DEC2017:07:20:04","Medium","CLOSED",142.62,38.61,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","01JAN2018:05:30:09"
"IN10073612","GC WAN","GC WAN","1342","NW000417","26DEC2017:02:50:46","27DEC2017:09:55:13","Medium","CLOSED",31.07,2.92,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","07JAN2018:05:30:18"
"IN10073613","GC WAN","GC WAN","1342","NW000417","26DEC2017:03:04:16","27DEC2017:09:56:10","Medium","CLOSED",30.87,2.93,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","07JAN2018:05:30:18"
"IN10073785","GC WAN","GC WAN","1342","NW000417","29DEC2017:03:44:52","29DEC2017:09:45:49","Medium","CLOSED",6.02,2.75,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","09JAN2018:05:30:02"
"IN10093743","GC WAN","GC WAN","1342","NW000417","01JUL2018:23:30:16","03JUL2018:07:02:08","Medium","CLOSED",31.53,0.03,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","14JUL2018:05:30:05"
"IN10093942","GC WAN","GC WAN","1342","NW000417","04JUL2018:09:05:07","04JUL2018:20:56:38","Medium","CLOSED",11.86,7.92,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","15JUL2018:05:30:09"
"IN10093949","GC WAN","GC WAN","1342","NW000417","04JUL2018:09:37:26","04JUL2018:20:53:34","Medium","CLOSED",11.27,7.38,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","15JUL2018:05:30:06"
"IN10094168","GC WAN","GC WAN","1342","NW000417","05JUL2018:16:58:51","05JUL2018:17:45:32","Medium","CLOSED",0.78,0.78,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","16JUL2018:05:30:10"
"IN10094417","GC WAN","GC WAN","1342","NW000417","08JUL2018:06:39:48","09JUL2018:07:03:34","Medium","CLOSED",24.4,0.05,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","09JUL2018:10:28:39"
"IN10094594","GC WAN","GC WAN","1342","NW000417","10JUL2018:02:18:49","13JUL2018:17:45:02","Medium","CLOSED",87.44,40.75,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","24JUL2018:05:30:07"
"IN10096544","GC WAN","GC WAN","1342","NW000417","24JUL2018:07:04:14","03OCT2018:14:52:38","Medium","CLOSED",1711.81,507.8,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","14OCT2018:05:30:00"
"IN10098890","GC WAN","GC WAN","1342","NW000417","12AUG2018:07:44:25","13AUG2018:10:08:05","Medium","CLOSED",26.39,3.13,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","24AUG2018:05:30:14"
"IN10102135","GC WAN","GC WAN","1342","NW000417","09SEP2018:06:18:09","10SEP2018:06:26:17","Medium","CLOSED",24.14,0,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","21SEP2018:05:30:03"
"IN10103257","GC WAN","GC WAN","1342","NW000417","17SEP2018:18:10:54","18SEP2018:08:25:21","Medium","CLOSED",14.24,1.42,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","29SEP2018:05:30:05"
"IN10103261","GC WAN","GC WAN","1342","NW000417","17SEP2018:18:39:59","19SEP2018:07:32:59","Medium","CLOSED",36.88,10.53,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","30SEP2018:05:30:09"
"IN10105247","GC WAN","GC WAN","1342","NW000417","29SEP2018:09:47:36","02OCT2018:11:39:36","Medium","CLOSED",73.87,14.65,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","13OCT2018:05:30:53"
"IN10105325","GC WAN","GC WAN","1342","NW000417","30SEP2018:04:24:31","02OCT2018:11:37:42","Medium","CLOSED",55.22,14.62,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","13OCT2018:05:30:54"
"IN10107204","GC WAN","GC WAN","1342","NW000417","11OCT2018:16:21:50","16OCT2018:09:42:18","Medium","CLOSED",113.34,23.35,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","27OCT2018:05:30:31"
"IN10111081","GC WAN","GC WAN","1342","NW000417","03NOV2018:22:06:33","05NOV2018:07:06:53","Medium","CLOSED",33.01,0.1,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","16NOV2018:05:30:33"
"IN10111570","GC WAN","GC WAN","1342","NW000417","07NOV2018:10:11:25","08NOV2018:06:18:25","Medium","CLOSED",20.12,6.82,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","19NOV2018:05:30:28"
"IN10111876","GC WAN","GC WAN","1342","NW000417","08NOV2018:19:53:49","08NOV2018:21:14:06","Medium","CLOSED",1.34,0,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","19NOV2018:05:30:53"
"IN10112845","GC WAN","GC WAN","1342","NW000417","14NOV2018:22:30:52","16NOV2018:08:13:33","Medium","CLOSED",33.71,11.22,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","27NOV2018:05:30:06"
"IN10113514","GC WAN","GC WAN","1342","NW000417","19NOV2018:22:17:41","05DEC2018:12:59:23","Medium","CLOSED",374.7,115.98,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","16DEC2018:05:30:07"
"IN10113535","GC WAN","GC WAN","1342","NW000417","19NOV2018:23:50:00","12DEC2018:12:14:15","Medium","CLOSED",540.4,165.23,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","23DEC2018:05:30:05"
"IN10115970","GC WAN","GC WAN","1342","NW000417","04DEC2018:14:03:25","05DEC2018:07:03:37","Medium","CLOSED",17,3,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","16DEC2018:05:30:16"
"IN10116550","GC WAN","GC WAN","1342","NW000417","08DEC2018:14:50:50","10DEC2018:09:49:46","Medium","CLOSED",42.98,2.82,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","21DEC2018:05:30:33"
"IN10118452","GC WAN","GC WAN","1342","NW000417","21DEC2018:19:11:55","31DEC2018:06:47:43","Medium","CLOSED",227.6,30,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","11JAN2019:05:30:06"
"IN10120960","GC WAN","GC WAN","1342","NW000417","09JAN2019:02:39:28","09JAN2019:13:33:57","Medium","CLOSED",10.91,6.55,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","20JAN2019:05:30:16"
"IN10122620","GC WAN","GC WAN","1342","NW000417","19JAN2019:23:02:37","29APR2019:09:40:17","Medium","CLOSED",2386.63,682.67,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","10MAY2019:05:30:03"
"IN10123574","GC WAN","GC WAN","1342","NW000417","25JAN2019:15:13:53","25JAN2019:15:18:16","Medium","CLOSED",0.07,0.08,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","05FEB2019:05:30:32"
"IN10126506","GC WAN","GC WAN","1342","NW000417","11FEB2019:11:42:34","18FEB2019:11:15:13","Medium","CLOSED",167.54,49.55,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","01MAR2019:05:30:11"
"IN10126575","GC WAN","GC WAN","1342","NW000417","11FEB2019:19:14:28","12FEB2019:08:47:34","Medium","CLOSED",13.55,1.78,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","23FEB2019:05:30:26"
"IN10126721","GC WAN","GC WAN","1342","NW000417","12FEB2019:14:42:44","14FEB2019:08:53:32","Medium","CLOSED",42.18,14.18,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","25FEB2019:05:30:20"
"IN10126741","GC WAN","GC WAN","1342","NW000417","12FEB2019:16:28:02","15FEB2019:16:14:20","Medium","CLOSED",71.77,29.76,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","26FEB2019:05:30:21"
"IN10127003","GC WAN","GC WAN","1342","NW000417","14FEB2019:13:26:19","14FEB2019:13:55:53","Medium","CLOSED",0.49,0.48,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","25FEB2019:05:30:31"
"IN10127785","GC WAN","GC WAN","1342","NW000417","19FEB2019:12:43:55","03MAR2019:14:10:42","Medium","CLOSED",289.45,84.28,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","14MAR2019:05:30:00"
"IN10128066","GC WAN","GC WAN","1342","NW000417","20FEB2019:18:25:47","21FEB2019:09:57:05","Medium","CLOSED",15.52,2.95,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","04MAR2019:05:30:33"
"IN10128099","GC WAN","GC WAN","1342","NW000417","20FEB2019:22:03:34","20FEB2019:22:10:15","Medium","CLOSED",0.11,0,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","03MAR2019:05:30:26"
"IN10128222","GC WAN","GC WAN","1342","NW000417","21FEB2019:10:50:58","22FEB2019:08:56:19","Medium","CLOSED",22.09,8.1,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","05MAR2019:05:30:10"
"IN10128252","GC WAN","GC WAN","1342","NW000417","21FEB2019:12:43:41","22FEB2019:08:55:19","Medium","CLOSED",20.19,6.2,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","05MAR2019:05:30:08"
"IN10128347","GC WAN","GC WAN","1342","NW000417","21FEB2019:18:24:57","14MAR2019:10:58:52","Medium","CLOSED",496.57,143.97,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","25MAR2019:05:30:05"
"IN10128878","GC WAN","GC WAN","1342","NW000417","25FEB2019:18:54:03","26FEB2019:10:37:39","Medium","CLOSED",15.73,3.62,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","09MAR2019:05:30:32"
"IN10128886","GC WAN","GC WAN","1342","NW000417","25FEB2019:20:00:47","26FEB2019:07:49:30","Medium","CLOSED",11.81,0.82,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","09MAR2019:05:30:27"
"IN10128899","GC WAN","GC WAN","1342","NW000417","25FEB2019:22:29:18","26FEB2019:10:39:33","Medium","CLOSED",12.17,3.65,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","09MAR2019:05:30:34"
"IN10130251","GC WAN","GC WAN","1342","NW000417","06MAR2019:18:34:24","07MAR2019:09:24:13","Medium","CLOSED",14.83,2.4,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","18MAR2019:05:30:18"
"IN10130270","GC WAN","GC WAN","1342","NW000417","06MAR2019:22:34:08","07MAR2019:12:02:56","Medium","CLOSED",13.48,5.03,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","18MAR2019:05:30:20"
"IN10131949","GC WAN","GC WAN","1342","NW000417","14MAR2019:22:45:02","15MAR2019:07:22:57","Medium","CLOSED",8.63,0.37,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","26MAR2019:05:30:24"
"IN10132219","GC WAN","GC WAN","1342","NW000417","16MAR2019:14:05:33","18MAR2019:10:02:04","Medium","CLOSED",43.94,3.03,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","29MAR2019:05:30:08"
"IN10132525","GC WAN","GC WAN","1342","NW000417","19MAR2019:04:57:45","19MAR2019:14:08:34","Medium","CLOSED",9.18,7.13,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","30MAR2019:05:30:28"
"IN10135296","GC WAN","GC WAN","1342","NW000417","04APR2019:22:14:46","05APR2019:07:21:34","Medium","CLOSED",9.11,0.35,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","16APR2019:05:30:24"
"IN10135298","GC WAN","GC WAN","1342","NW000417","04APR2019:23:04:09","05APR2019:11:08:04","Medium","CLOSED",12.07,4.13,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","16APR2019:05:30:05"
"IN10136643","GC WAN","GC WAN","1342","NW000417","13APR2019:21:21:23","16APR2019:16:03:50","Medium","CLOSED",66.71,19.05,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","27APR2019:05:30:01"
"IN10136745","GC WAN","GC WAN","1342","NW000417","15APR2019:06:44:10","05MAY2019:18:03:15","Medium","CLOSED",491.32,130,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","16MAY2019:05:30:00"
"IN10137141","GC WAN","GC WAN","1342","NW000417","16APR2019:22:37:42","23APR2019:10:28:09","Medium","CLOSED",155.84,23.47,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","04MAY2019:05:30:31"
"IN10138406","GC WAN","GC WAN","1342","NW000417","25APR2019:21:41:26","26APR2019:08:55:20","Medium","CLOSED",11.23,1.92,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","07MAY2019:05:30:27"
"IN10138919","GC WAN","GC WAN","1342","NW000417","30APR2019:06:54:53","30APR2019:08:33:40","Medium","CLOSED",1.65,1.55,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","11MAY2019:05:30:17"
"IN10142305","GC WAN","GC WAN","1342","NW000417","24MAY2019:19:25:01","27MAY2019:06:27:58","Medium","CLOSED",59.05,0,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","07JUN2019:05:30:29"
"IN10142312","GC WAN","GC WAN","1342","NW000417","24MAY2019:21:41:26","29MAY2019:07:54:22","Medium","CLOSED",106.22,20.9,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","09JUN2019:05:30:25"
"IN10142316","GC WAN","GC WAN","1342","NW000417","24MAY2019:21:58:36","27MAY2019:09:36:22","Medium","CLOSED",59.63,2.6,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","07JUN2019:05:30:31"
"IN10142967","GC WAN","GC WAN","1342","NW000417","30MAY2019:06:17:52","30MAY2019:16:35:55","Medium","CLOSED",10.3,9.58,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","10JUN2019:05:30:16"
"IN10144031","GC WAN","GC WAN","1342","NW000417","06JUN2019:18:27:05","11JUN2019:07:35:43","Medium","CLOSED",109.14,20.58,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","22JUN2019:05:30:06"
"IN10144317","GC WAN","GC WAN","1342","NW000417","09JUN2019:04:42:01","10JUN2019:10:27:37","Medium","CLOSED",29.76,3.45,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","21JUN2019:05:30:31"
"IN10145422","GC WAN","GC WAN","1342","NW000417","17JUN2019:02:12:20","17JUN2019:08:05:33","Medium","CLOSED",5.89,1.08,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","28JUN2019:05:30:20"
"IN10145790","GC WAN","GC WAN","1342","NW000417","19JUN2019:01:53:21","20JUN2019:07:45:48","Medium","CLOSED",29.87,10.75,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","01JUL2019:05:30:16"
"IN10145807","GC WAN","GC WAN","1342","NW000417","19JUN2019:06:18:22","19JUN2019:07:52:51","Medium","CLOSED",1.57,0.87,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","30JUN2019:05:30:17"
"IN10149062","GC WAN","GC WAN","1342","NW000417","12JUL2019:03:15:07","12JUL2019:07:50:39","Medium","CLOSED",4.59,0.83,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","23JUL2019:05:30:11"
"IN10150823","GC WAN","GC WAN","1342","NW000417","24JUL2019:22:36:26","25JUL2019:08:28:31","Medium","CLOSED",9.87,1.47,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","05AUG2019:05:30:05"
