product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,profit
95.0,1058.0,2017-01-13 00:00:00.000,True,Approved,Giant Bicycles,Standard,medium,large,569.56,528.43,1994-08-10 00:00:00.000,41.13
58.0,3141.0,2017-03-09 00:00:00.000,True,Approved,OHM Cycles,Standard,medium,medium,912.52,141.4,2011-08-24 00:00:00.000,771.12
89.0,1795.0,2017-12-27 00:00:00.000,False,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,1993-04-20 00:00:00.000,1305.25
52.0,374.0,2017-12-17 00:00:00.000,True,Approved,OHM Cycles,Road,medium,medium,1280.28,829.51,2011-08-24 00:00:00.000,450.77
46.0,2940.0,2017-08-31 00:00:00.000,False,Approved,Solex,Standard,low,medium,1289.85,74.51,2009-04-12 00:00:00.000,1215.34
35.0,1570.0,2017-09-19 00:00:00.000,False,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,1994-07-12 00:00:00.000,903.11
90.0,2927.0,2017-09-01 00:00:00.000,True,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,2016-03-29 00:00:00.000,72.6
9.0,2502.0,2017-04-10 00:00:00.000,False,Approved,OHM Cycles,Road,medium,medium,742.54,667.4,2004-08-17 00:00:00.000,75.14
60.0,2666.0,2017-03-17 00:00:00.000,True,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85,2011-08-24 00:00:00.000,217.51
27.0,366.0,2017-01-01 00:00:00.000,False,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,1994-07-12 00:00:00.000,903.11
41.0,1950.0,2017-07-07 00:00:00.000,False,Approved,Solex,Road,medium,medium,416.98,312.74,1999-12-04 00:00:00.000,104.24
80.0,1527.0,2017-07-07 00:00:00.000,True,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,1997-01-25 00:00:00.000,139.23
19.0,1067.0,2017-01-22 00:00:00.000,True,Approved,OHM Cycles,Road,high,large,12.01,7.21,1993-05-26 00:00:00.000,4.8
3.0,2590.0,2017-11-10 00:00:00.000,True,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,1991-07-10 00:00:00.000,1702.55
93.0,1126.0,2017-03-04 00:00:00.000,True,Approved,WeareA2B,Standard,medium,medium,1065.03,230.09,2000-11-03 00:00:00.000,834.94
68.0,1970.0,2017-07-24 00:00:00.000,False,Approved,OHM Cycles,Standard,medium,medium,1636.9,44.71,2010-08-20 00:00:00.000,1592.19
23.0,3273.0,2017-10-26 00:00:00.000,False,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,1993-04-12 00:00:00.000,75.75
54.0,1124.0,2017-01-24 00:00:00.000,True,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,2011-08-24 00:00:00.000,1279.4
31.0,2051.0,2017-11-09 00:00:00.000,False,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18,2006-11-10 00:00:00.000,57.73
54.0,444.0,2017-01-02 00:00:00.000,False,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,2011-08-24 00:00:00.000,1279.4
62.0,3164.0,2017-09-10 00:00:00.000,True,Approved,Solex,Standard,medium,medium,478.16,298.72,1992-10-02 00:00:00.000,179.44
23.0,820.0,2017-03-27 00:00:00.000,False,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1,1998-12-16 00:00:00.000,817.36
9.0,1936.0,2017-01-03 00:00:00.000,True,Approved,OHM Cycles,Road,medium,medium,742.54,667.4,2004-08-17 00:00:00.000,75.14
2.0,237.0,2017-02-26 00:00:00.000,True,Approved,Giant Bicycles,Road,low,small,590.26,525.33,2005-10-22 00:00:00.000,64.93
56.0,1640.0,2017-04-07 00:00:00.000,True,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,1993-05-26 00:00:00.000,75.75
19.0,562.0,2017-01-11 00:00:00.000,False,Approved,OHM Cycles,Road,high,large,12.01,7.21,2009-03-08 00:00:00.000,4.8
17.0,2112.0,2017-09-22 00:00:00.000,False,Approved,Solex,Standard,high,medium,1024.66,614.8,1993-07-15 00:00:00.000,409.86
81.0,977.0,2017-01-12 00:00:00.000,True,Approved,Solex,Standard,medium,medium,1151.96,649.49,2006-10-01 00:00:00.000,502.47
80.0,2700.0,2017-08-14 00:00:00.000,False,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,1997-01-25 00:00:00.000,139.23
51.0,2346.0,2017-04-08 00:00:00.000,True,Approved,OHM Cycles,Standard,high,medium,2005.66,1203.4,1993-04-12 00:00:00.000,802.26
82.0,1792.0,2017-05-03 00:00:00.000,False,Approved,Norco Bicycles,Standard,high,medium,1148.64,689.18,2015-08-10 00:00:00.000,459.46
90.0,1198.0,2017-05-08 00:00:00.000,True,Approved,Solex,Standard,low,medium,945.04,507.58,1995-12-19 00:00:00.000,437.46
17.0,702.0,2017-02-20 00:00:00.000,True,Approved,Solex,Standard,high,medium,1024.66,614.8,1996-11-09 00:00:00.000,409.86
39.0,1576.0,2017-04-16 00:00:00.000,False,Approved,Giant Bicycles,Standard,medium,large,1812.75,582.48,2010-06-07 00:00:00.000,1230.27
25.0,3309.0,2017-07-21 00:00:00.000,False,Approved,OHM Cycles,Standard,high,medium,2005.66,1203.4,2012-04-10 00:00:00.000,802.26
98.0,677.0,2017-10-20 00:00:00.000,False,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03,2004-01-16 00:00:00.000,143.36
