RuleID,LeftItemSetId,RightItemSetId,Probability,Importance,Support
321241,6,20,0.853,1.469,180
377152,6,10,0.771,0.661,37
493718,6,8,0.597,0.533,126
538941,6,2,0.458,0.479,22
499617,6,16,0.583,0.331,28
281346,6,15,0.938,0.3,45
526744,6,14,0.502,0.214,106
455088,6,18,0.667,0.209,32
441350,6,19,0.688,0.176,33
527910,6,4,0.5,0.166,24
331966,6,3,0.833,0.165,40
535083,6,7,0.474,0.149,100
462751,6,13,0.654,0.139,138
265456,6,21,0.967,0.133,204
316338,6,17,0.863,0.129,182
303027,6,11,0.891,0.124,188
316337,6,9,0.863,0.095,182
291764,6,5,0.917,0.058,44
521873,6,24,0.521,0.056,25
285077,6,1,0.929,0.044,196
539705,6,23,0.455,0.044,96
467805,6,22,0.646,0.034,31
537949,4,7,0.462,0.899,276
517607,4,9,0.534,0.855,319
476720,4,15,0.63,0.85,376
495438,4,23,0.593,0.749,354
439513,4,12,0.69,0.66,412
541287,4,14,0.449,0.575,396
469134,4,2,0.643,0.448,384
447815,4,16,0.678,0.316,405
507458,4,24,0.564,0.315,337
429324,4,10,0.705,0.253,421
538402,4,6,0.461,0.25,275
473856,4,19,0.635,0.196,379
359368,4,13,0.794,0.185,474
493577,4,3,0.598,0.16,527
397340,4,22,0.747,0.136,446
312325,4,21,0.871,0.122,768
480988,4,18,0.622,0.12,549
344785,4,11,0.814,0.119,718
518069,4,1,0.533,0.117,470
373705,4,17,0.776,0.114,684
280971,4,5,0.938,0.1,560
329253,4,8,0.839,0.052,740
535808,14,4,0.471,0.689,441
551255,14,15,0.408,0.595,382
551785,14,23,0.406,0.56,380
543744,14,12,0.439,0.38,411
499512,14,7,0.584,0.325,348
445969,14,16,0.681,0.285,406
533589,14,24,0.479,0.263,449
388405,14,13,0.758,0.197,710
548036,14,2,0.422,0.193,395
498831,14,10,0.586,0.169,549
290890,14,9,0.918,0.156,547
534892,14,6,0.475,0.142,283
423278,14,22,0.714,0.135,669
461622,14,18,0.656,0.132,391
516534,14,1,0.538,0.129,504
471324,14,11,0.639,0.128,599
255211,14,5,0.978,0.125,583
515842,14,19,0.54,0.119,506
483766,14,3,0.617,0.101,368
317820,14,21,0.859,0.094,512
405382,14,17,0.737,0.065,439
334634,14,8,0.83,0.047,778
521980,23,7,0.52,1.023,292
476124,23,4,0.631,0.714,354
506470,23,15,0.567,0.688,318
541226,23,9,0.449,0.624,252
353902,23,2,0.8,0.618,449
450664,23,12,0.674,0.61,378
448470,23,14,0.677,0.386,380
436345,23,16,0.695,0.324,390
529001,23,6,0.499,0.297,280
519112,23,24,0.529,0.264,297
496726,23,1,0.591,0.227,629
424259,23,3,0.712,0.21,758
464947,23,10,0.651,0.195,365
314852,23,11,0.866,0.19,922
398680,23,18,0.745,0.187,418
396560,23,13,0.748,0.167,797
350294,23,17,0.807,0.165,859
302091,23,21,0.893,0.162,951
515839,23,19,0.54,0.094,303
300995,23,5,0.895,0.07,502
453217,23,22,0.668,0.068,375
333746,23,8,0.832,0.039,467
539606,18,5,0.456,1.054,72
525967,18,16,0.506,1.033,80
386989,18,24,0.759,0.982,120
386991,18,22,0.759,0.979,120
386995,18,6,0.759,0.973,120
391806,18,15,0.753,0.474,119
535685,18,9,0.472,0.461,499
505491,18,12,0.57,0.396,603
482219,18,2,0.62,0.371,656
475161,18,1,0.632,0.293,669
345469,18,10,0.813,0.287,860
509133,18,14,0.56,0.287,592
478433,18,7,0.627,0.278,99
296213,18,17,0.907,0.274,960
313904,18,13,0.867,0.27,137
388206,18,3,0.758,0.27,802
280143,18,11,0.94,0.268,995
510027,18,4,0.557,0.227,88
460379,18,23,0.658,0.216,104
277742,18,21,0.945,0.213,1000
529004,18,19,0.499,0.066,528
317178,18,8,0.861,0.046,136
330788,12,8,0.836,0.045,592
392534,12,17,0.752,0.094,688
281020,12,5,0.938,0.107,664
519771,12,1,0.527,0.111,482
423422,12,22,0.713,0.115,505
511393,12,19,0.554,0.119,392
315417,12,21,0.864,0.12,791
343920,12,13,0.815,0.124,746
333717,12,11,0.833,0.139,762
538503,12,6,0.46,0.151,421
492924,12,3,0.6,0.167,549
515164,12,18,0.542,0.174,384
433957,12,10,0.698,0.194,639
536651,12,24,0.468,0.203,331
498150,12,16,0.588,0.236,416
500997,12,14,0.721,0.311,411
552709,12,9,0.401,0.613,284
534632,12,20,0.476,0.616,337
517744,12,23,0.654,0.732,378
346469,12,2,0.812,0.763,575
500340,12,4,0.582,0.764,412
542165,12,7,0.805,1.037,315
552537,9,23,0.402,1.284,187
315415,9,15,0.865,1.085,402
502468,9,16,0.577,0.871,1043
538285,9,4,0.462,0.854,834
537319,9,7,0.465,0.832,840
535610,9,12,0.472,0.755,853
257124,9,19,0.976,0.454,454
430748,9,14,0.703,0.383,327
505300,9,3,0.571,0.353,1031
366478,9,17,0.785,0.347,1419
439514,9,10,0.69,0.328,1247
542912,9,6,0.442,0.324,799
297391,9,11,0.904,0.319,1634
316447,9,21,0.862,0.317,1558
505462,9,13,0.57,0.288,1030
509253,9,24,0.559,0.281,260
535086,9,2,0.474,0.259,856
493734,9,18,0.597,0.235,1079
524746,9,1,0.511,0.225,924
399431,9,22,0.744,0.124,346
267730,9,5,0.963,0.108,448
325980,9,8,0.845,0.045,393
515224,22,5,0.542,3.087,168
241218,22,24,0.99,2.871,307
235466,24,22,0.994,2.747,307
485930,22,16,0.613,2.663,190
232775,22,6,0.997,2.652,309
486473,24,16,0.612,2.537,189
544179,24,12,0.437,2.517,135
544522,22,12,0.435,2.516,135
517712,24,5,0.534,2.479,165
544514,22,15,0.435,2.391,135
544996,24,15,0.434,2.292,134
494308,22,7,0.596,2.142,140
415293,22,13,0.723,2.08,170
311368,10,15,0.873,1.955,158
448784,22,10,0.677,1.835,159
329244,12,15,0.989,1.823,219
411267,20,6,0.729,1.722,180
304934,20,12,0.887,1.678,219
491183,10,7,0.602,1.544,109
358165,10,6,0.796,1.521,144
352477,5,16,0.804,1.52,135
419120,10,13,0.718,1.5,130
473632,10,16,0.635,1.498,115
308584,10,22,0.878,1.433,159
420224,1,15,0.717,1.333,86
536019,5,12,0.47,1.282,79
250816,5,24,0.982,1.208,165
234116,5,6,0.994,1.207,167
544835,5,15,0.435,1.199,73
550276,11,14,0.412,1.095,808
368156,10,9,0.783,0.881,18
365808,22,9,0.786,0.865,11
548382,21,14,0.42,0.841,786
515841,8,10,0.54,0.822,290
471593,10,8,0.639,0.735,290
547197,8,2,0.425,0.685,228
480546,20,10,0.623,0.681,154
357321,8,6,0.797,0.655,428
546067,10,2,0.43,0.634,195
459368,20,8,0.66,0.61,163
545828,17,14,0.431,0.57,726
543557,9,20,0.44,0.563,327
492828,20,9,0.6,0.462,327
544157,10,14,0.437,0.426,652
552448,11,4,0.403,0.418,790
541583,19,6,0.448,0.38,525
539457,24,9,0.457,0.349,399
531160,8,16,0.488,0.345,262
497407,20,24,0.589,0.332,321
535399,10,24,0.473,0.32,565
529812,8,9,0.493,0.319,265
535995,19,24,0.471,0.307,552
548964,3,14,0.418,0.307,591
467539,10,4,0.646,0.303,117
474559,1,4,0.633,0.282,76
535218,20,16,0.474,0.269,117
551756,17,4,0.406,0.254,684
504930,5,4,0.571,0.24,96
526763,20,14,0.502,0.218,124
519535,24,4,0.528,0.218,163
548840,3,24,0.418,0.215,565
545679,3,4,0.431,0.212,527
542152,8,14,0.445,0.186,239
537495,5,14,0.464,0.172,78
548584,22,14,0.419,0.133,130
549001,24,14,0.417,0.13,129
544881,11,12,0.434,0.552,883
537608,17,12,0.464,0.391,782
518264,10,12,0.532,0.369,636
545718,21,12,0.431,0.327,807
480440,8,12,0.624,0.315,335
529619,19,12,0.494,0.272,580
538378,3,12,0.461,0.253,652
531161,1,12,0.488,0.253,563
545668,19,14,0.431,0.143,506
531069,11,7,0.488,1.077,859
535601,17,7,0.472,0.636,796
534882,3,7,0.475,0.395,672
462402,5,7,0.655,0.302,110
495911,24,7,0.592,0.275,183
538867,1,7,0.458,0.251,529
532835,20,7,0.482,0.16,119
542161,11,15,0.445,1.014,873
538323,21,15,0.462,0.962,864
533475,17,15,0.48,0.671,809
526596,3,15,0.503,0.377,615
539206,20,15,0.457,0.131,113
511323,5,19,0.554,0.753,1121
475940,24,19,0.632,0.235,552
509955,10,19,0.557,0.177,666
483236,20,19,0.618,0.174,337
521060,22,19,0.523,0.16,795
528990,3,19,0.5,0.094,725
517579,8,19,0.534,0.087,287
537826,1,19,0.463,0.034,1002
545952,17,19,0.43,-0.074,725
549587,11,19,0.415,-0.086,570
552755,21,19,0.4,-0.185,749
534208,11,6,0.477,1.117,936
529567,17,6,0.495,0.545,834
548337,1,6,0.42,0.537,909
530121,3,6,0.492,0.335,696
530118,24,6,0.492,0.139,152
500073,19,16,0.583,0.346,684
533756,11,16,0.479,0.162,657
540205,17,16,0.454,0.146,765
543198,3,16,0.441,0.079,640
548838,21,16,0.418,0.036,783
526775,19,10,0.502,0.851,1181
506897,5,10,0.566,0.779,1145
467537,24,10,0.646,0.239,565
529003,1,10,0.499,0.238,1080
523221,3,10,0.517,0.101,698
529009,11,10,0.499,0.066,685
536653,21,10,0.467,0.005,875
536982,17,10,0.466,0,786
456892,11,18,0.667,1.045,1355
470468,5,18,0.641,0.586,1297
458665,21,18,0.661,0.488,1238
444145,17,18,0.684,0.41,1153
271371,20,18,0.958,0.349,522
496738,1,18,0.591,0.338,1278
278537,8,18,0.944,0.337,507
392897,10,18,0.751,0.323,898
449939,3,18,0.675,0.255,955
509491,19,18,0.559,0.216,1315
427044,24,18,0.708,0.193,619
521699,22,18,0.521,-0.037,792
249615,8,15,0.983,0.236,528
427378,19,15,0.708,0.062,830
308311,19,7,0.879,0.197,1031
276362,8,7,0.948,0.169,509
529016,11,23,0.498,0.534,978
525567,21,23,0.508,0.487,951
525232,17,23,0.509,0.336,859
517268,3,23,0.536,0.301,758
522031,10,23,0.52,0.285,776
415350,22,23,0.723,0.273,170
439293,5,23,0.69,0.24,116
545980,19,23,0.43,0.227,1012
476111,24,23,0.631,0.213,195
544826,8,23,0.435,0.095,865
541184,20,23,0.449,0.038,111
333712,19,5,0.833,0.441,1961
271223,10,5,0.958,0.174,1145
334590,1,5,0.83,0.165,1797
265400,20,5,0.967,0.115,527
270576,8,5,0.959,0.109,515
339318,17,5,0.823,0.055,1387
343673,3,5,0.816,0.031,1102
261973,21,11,0.971,0.667,1818
320452,1,11,0.855,0.483,1850
350271,19,11,0.807,0.427,1899
260207,17,11,0.973,0.425,1641
252657,10,11,0.981,0.323,1463
268675,3,11,0.962,0.264,1361
232774,22,11,0.997,0.132,309
232776,24,11,0.997,0.132,308
269296,20,11,0.961,0.13,524
274636,8,11,0.952,0.123,511
363203,5,11,0.789,0.067,1597
497409,17,1,0.589,0.505,993
478379,10,1,0.627,0.486,935
473912,3,1,0.635,0.454,898
535764,19,1,0.471,0.337,1109
447367,20,1,0.679,0.242,370
506301,24,1,0.568,0.163,496
489090,5,1,0.607,0.14,102
534302,8,1,0.476,0.122,948
508549,17,2,0.561,0.66,946
543880,19,2,0.438,0.606,1031
538028,1,2,0.462,0.528,999
508806,3,2,0.56,0.393,793
473855,20,2,0.635,0.258,346
489089,5,2,0.607,0.184,102
507923,24,2,0.563,0.159,174
491068,11,13,0.603,1.059,1225
474285,21,13,0.634,0.824,1187
521019,19,13,0.524,0.744,1233
461926,17,13,0.655,0.591,1105
514609,1,13,0.544,0.465,1178
473636,3,13,0.635,0.315,899
348672,24,13,0.809,0.259,250
340160,5,13,0.821,0.245,138
473519,20,13,0.636,0.128,157
519187,8,13,0.529,0.044,284
400658,10,3,0.742,0.147,337
420083,8,3,0.717,0.134,385
401608,20,3,0.741,0.13,183
502863,19,3,0.576,0.109,1357
488873,24,3,0.607,0.058,713
502917,1,3,0.576,0.053,1247
502124,5,3,0.578,0.046,1170
500793,17,3,0.581,0.033,979
356417,19,4,0.799,0.396,1880
257572,20,4,0.976,0.143,532
273729,8,4,0.953,0.129,512
286731,11,21,0.927,1.007,1818
277198,17,21,0.947,0.478,1596
377943,19,21,0.769,0.42,1811
281931,10,21,0.937,0.326,1398
289276,3,21,0.922,0.271,1305
280367,20,21,0.939,0.144,512
272841,22,21,0.955,0.134,296
272851,24,21,0.955,0.134,295
287769,8,21,0.924,0.133,496
271067,5,21,0.958,0.125,161
528993,8,24,0.499,0.201,994
531356,11,24,0.487,0.06,669
536141,17,24,0.47,0.033,792
537180,21,24,0.465,0.026,871
346949,11,17,0.811,1.056,1649
321555,21,17,0.853,0.813,1596
432112,19,17,0.701,0.604,1650
307773,10,17,0.88,0.402,1313
318245,3,17,0.857,0.318,1213
297348,20,17,0.905,0.184,493
311215,8,17,0.873,0.162,469
285319,22,17,0.929,0.125,13
350933,24,17,0.806,0.101,249
348362,5,17,0.81,0.096,136
483990,19,22,0.617,0.284,1452
474894,8,22,0.633,0.145,1259
452141,11,22,0.671,0.126,921
480146,5,22,0.625,0.123,1265
438500,20,22,0.692,0.087,377
468483,3,22,0.645,0.082,871
489220,17,22,0.607,0.031,1023
497505,21,22,0.589,-0.01,1102
359664,19,8,0.794,0.136,1868
353901,1,8,0.8,0.094,1732
328582,3,8,0.84,0.076,1135
335405,22,8,0.829,0.074,1259
324529,24,8,0.847,0.072,994
310762,5,8,0.875,0.054,147
356960,17,8,0.798,0.036,1345
373349,1,9,0.776,0.383,1679
402407,19,9,0.74,0.376,1742
327992,17,9,0.842,0.279,1419
326786,3,9,0.844,0.164,1031
250805,5,9,0.982,0.154,165
