Zip,City,State,Region,District,Country
"71767","","Oaxaca","","San Agustin Chayuco","Mexico"
"71238","","Oaxaca","","San Agustin de las Juntas","Mexico"
"68247","","Oaxaca","","San Agustin Etla","Mexico"
"70920","","Oaxaca","","San Agustin Loxicha","Mexico"
"70921","","Oaxaca","","San Agustin Loxicha","Mexico"
"69860","","Oaxaca","","San Agustin Tlacotepec","Mexico"
"68290","","Oaxaca","","San Agustin Yatareni","Mexico"
"71170","","Oaxaca","","San Andres Cabecera Nueva","Mexico"
"69064","","Oaxaca","","San Andres Dinicuiti","Mexico"
"71770","","Oaxaca","","San Andres Huaxpaltepec","Mexico"
"71771","","Oaxaca","","San Andres Huaxpaltepec","Mexico"
"68287","","Oaxaca","","San Andres Huayapam","Mexico"
"71224","","Oaxaca","","San Andres Ixtlahuaca","Mexico"
"69550","","Oaxaca","","San Andres Lagunas","Mexico"
"69551","","Oaxaca","","San Andres Lagunas","Mexico"
"69950","","Oaxaca","","San Andres Nuxiño","Mexico"
"69951","","Oaxaca","","San Andres Nuxiño","Mexico"
"70868","","Oaxaca","","San Andres Paxtlan","Mexico"
"70869","","Oaxaca","","San Andres Paxtlan","Mexico"
"69665","","Oaxaca","","San Andres Sinaxtla","Mexico"
"68844","","Oaxaca","","San Andres Solaga","Mexico"
"68846","","Oaxaca","","San Andres Solaga","Mexico"
"68630","","Oaxaca","","San Andres Teotilalpam","Mexico"
"68631","","Oaxaca","","San Andres Teotilalpam","Mexico"
"68632","","Oaxaca","","San Andres Teotilalpam","Mexico"
"68633","","Oaxaca","","San Andres Teotilalpam","Mexico"
"69160","","Oaxaca","","San Andres Tepetlapa","Mexico"
"68854","","Oaxaca","","San Andres Yaa","Mexico"
"71548","","Oaxaca","","San Andres Zabache","Mexico"
"68244","","Oaxaca","","San Andres Zautla","Mexico"
"71520","","Oaxaca","","San Antonino Castillo Velasco","Mexico"
"71283","","Oaxaca","","San Antonino El Alto","Mexico"
"71284","","Oaxaca","","San Antonino El Alto","Mexico"
"69546","","Oaxaca","","San Antonino Monte Verde","Mexico"
"69547","","Oaxaca","","San Antonino Monte Verde","Mexico"
"69548","","Oaxaca","","San Antonino Monte Verde","Mexico"
"69526","","Oaxaca","","San Antonio Acutla","Mexico"
"71236","","Oaxaca","","San Antonio de La Cal","Mexico"
"71263","","Oaxaca","","San Antonio Huitepec","Mexico"
"71264","","Oaxaca","","San Antonio Huitepec","Mexico"
"68565","","Oaxaca","","San Antonio Nanahuatipam","Mexico"
"68569","","Oaxaca","","San Antonio Nanahuatipam","Mexico"
"69870","","Oaxaca","","San Antonio Sinicahua","Mexico"
"71650","","Oaxaca","","San Antonio Tepetlapa","Mexico"
"71537","","Oaxaca","","San Baltazar Chichicapam","Mexico"
"70930","","Oaxaca","","San Baltazar Loxicha","Mexico"
"68860","","Oaxaca","","San Baltazar Yatzachi El Bajo","Mexico"
"68861","","Oaxaca","","San Baltazar Yatzachi El Bajo","Mexico"
"68865","","Oaxaca","","San Baltazar Yatzachi El Bajo","Mexico"
"71256","","Oaxaca","","San Bartolo Coyotepec","Mexico"
"71257","","Oaxaca","","San Bartolo Coyotepec","Mexico"
"68577","","Oaxaca","","San Bartolome Ayautla","Mexico"
"68578","","Oaxaca","","San Bartolome Ayautla","Mexico"
"70940","","Oaxaca","","San Bartolome Loxicha","Mexico"
"70474","","Oaxaca","","San Bartolome Quialana","Mexico"
"69850","","Oaxaca","","San Bartolome Yucuañe","Mexico"
"68857","","Oaxaca","","San Bartolome Zoogocho","Mexico"
"69565","","Oaxaca","","San Bartolo Soyaltepec","Mexico"
"69566","","Oaxaca","","San Bartolo Soyaltepec","Mexico"
"69567","","Oaxaca","","San Bartolo Soyaltepec","Mexico"
"69569","","Oaxaca","","San Bartolo Soyaltepec","Mexico"
"70550","","Oaxaca","","San Bartolo Yautepec","Mexico"
"71210","","Oaxaca","","San Bernardo Mixtepec","Mexico"
"71211","","Oaxaca","","San Bernardo Mixtepec","Mexico"
"71213","","Oaxaca","","San Bernardo Mixtepec","Mexico"
"70789","","Oaxaca","","San Blas Atempa","Mexico"
"70500","","Oaxaca","","San Carlos Yautepec","Mexico"
"70501","","Oaxaca","","San Carlos Yautepec","Mexico"
"70502","","Oaxaca","","San Carlos Yautepec","Mexico"
"70503","","Oaxaca","","San Carlos Yautepec","Mexico"
"70505","","Oaxaca","","San Carlos Yautepec","Mexico"
"70506","","Oaxaca","","San Carlos Yautepec","Mexico"
"70509","","Oaxaca","","San Carlos Yautepec","Mexico"
"70510","","Oaxaca","","San Carlos Yautepec","Mexico"
"70511","","Oaxaca","","San Carlos Yautepec","Mexico"
"70512","","Oaxaca","","San Carlos Yautepec","Mexico"
"70835","","Oaxaca","","San Cristobal Amatlan","Mexico"
"70836","","Oaxaca","","San Cristobal Amatlan","Mexico"
"70837","","Oaxaca","","San Cristobal Amatlan","Mexico"
"69837","","Oaxaca","","San Cristobal Amoltepec","Mexico"
"69838","","Oaxaca","","San Cristobal Amoltepec","Mexico"
"68830","","Oaxaca","","San Cristobal Lachirioag","Mexico"
"69380","","Oaxaca","","San Cristobal Suchixtlahuaca","Mexico"
"70137","","Oaxaca","","San Dionisio Del Mar","Mexico"
"70495","","Oaxaca","","San Dionisio Ocotepec","Mexico"
"70496","","Oaxaca","","San Dionisio Ocotepec","Mexico"
"71526","","Oaxaca","","San Dionisio Ocotlan","Mexico"
"71120","","Oaxaca","","San Esteban Atatlahuca","Mexico"
"71121","","Oaxaca","","San Esteban Atatlahuca","Mexico"
"71122","","Oaxaca","","San Esteban Atatlahuca","Mexico"
"71123","","Oaxaca","","San Esteban Atatlahuca","Mexico"
"71124","","Oaxaca","","San Esteban Atatlahuca","Mexico"
"68461","","Oaxaca","","San Felipe Jalapa de Diaz","Mexico"
"68462","","Oaxaca","","San Felipe Jalapa de Diaz","Mexico"
"68464","","Oaxaca","","San Felipe Jalapa de Diaz","Mexico"
"68260","","Oaxaca","","San Felipe Tejalapam","Mexico"
"68262","","Oaxaca","","San Felipe Tejalapam","Mexico"
"68490","","Oaxaca","","San Felipe Usila","Mexico"
"68491","","Oaxaca","","San Felipe Usila","Mexico"
"68492","","Oaxaca","","San Felipe Usila","Mexico"
"68493","","Oaxaca","","San Felipe Usila","Mexico"
"68494","","Oaxaca","","San Felipe Usila","Mexico"
"68495","","Oaxaca","","San Felipe Usila","Mexico"
"68496","","Oaxaca","","San Felipe Usila","Mexico"
"68497","","Oaxaca","","San Felipe Usila","Mexico"
"71320","","Oaxaca","","San Francisco Cahuacua","Mexico"
"71321","","Oaxaca","","San Francisco Cahuacua","Mexico"
"71329","","Oaxaca","","San Francisco Cahuacua","Mexico"
"68875","","Oaxaca","","San Francisco Cajonos","Mexico"
"68635","","Oaxaca","","San Francisco Chapulapa","Mexico"
"68636","","Oaxaca","","San Francisco Chapulapa","Mexico"
"69685","","Oaxaca","","San Francisco Chindua","Mexico"
"69686","","Oaxaca","","San Francisco Chindua","Mexico"
"70146","","Oaxaca","","San Francisco Del Mar","Mexico"
"68520","","Oaxaca","","San Francisco Huehuetlan","Mexico"
"70177","","Oaxaca","","San Francisco Ixhuatan","Mexico"
"70178","","Oaxaca","","San Francisco Ixhuatan","Mexico"
"69935","","Oaxaca","","San Francisco Jaltepetongo","Mexico"
"70424","","Oaxaca","","San Francisco Lachigolo","Mexico"
"70818","","Oaxaca","","San Francisco Logueche","Mexico"
"69925","","Oaxaca","","San Francisco Nuxaño","Mexico"
"70887","","Oaxaca","","San Francisco Ozolotepec","Mexico"
"70888","","Oaxaca","","San Francisco Ozolotepec","Mexico"
"70889","","Oaxaca","","San Francisco Ozolotepec","Mexico"
"71470","","Oaxaca","","San Francisco Sola","Mexico"
"68214","","Oaxaca","","San Francisco Telixtlahuaca","Mexico"
"69345","","Oaxaca","","San Francisco Teopan","Mexico"
"69480","","Oaxaca","","San Francisco Tlapancingo","Mexico"
"69481","","Oaxaca","","San Francisco Tlapancingo","Mexico"
"71970","","Oaxaca","","San Gabriel Mixtepec","Mexico"
"71971","","Oaxaca","","San Gabriel Mixtepec","Mexico"
"70828","","Oaxaca","","San Ildefonso Amatlan","Mexico"
"71480","","Oaxaca","","San Ildefonso Sola","Mexico"
"68800","","Oaxaca","","San Ildefonso Villa Alta","Mexico"
"68801","","Oaxaca","","San Ildefonso Villa Alta","Mexico"
"68803","","Oaxaca","","San Ildefonso Villa Alta","Mexico"
"68804","","Oaxaca","","San Ildefonso Villa Alta","Mexico"
"68285","","Oaxaca","","San Jacinto Amilpas","Mexico"
"71390","","Oaxaca","","San Jacinto Tlacotepec","Mexico"
"71399","","Oaxaca","","San Jacinto Tlacotepec","Mexico"
"70843","","Oaxaca","","San Jeronimo Coatlan","Mexico"
"70844","","Oaxaca","","San Jeronimo Coatlan","Mexico"
"69055","","Oaxaca","","San Jeronimo Silacayoapilla","Mexico"
"69059","","Oaxaca","","San Jeronimo Silacayoapilla","Mexico"
"68207","","Oaxaca","","San Jeronimo Sosola","Mexico"
"68208","","Oaxaca","","San Jeronimo Sosola","Mexico"
"68209","","Oaxaca","","San Jeronimo Sosola","Mexico"
"71545","","Oaxaca","","San Jeronimo Taviche","Mexico"
"68550","","Oaxaca","","San Jeronimo Tecoatl","Mexico"
"69280","","Oaxaca","","San Jorge Nuchita","Mexico"
"69282","","Oaxaca","","San Jorge Nuchita","Mexico"
"69230","","Oaxaca","","San Jose Ayuquila","Mexico"
"69231","","Oaxaca","","San Jose Ayuquila","Mexico"
"68456","","Oaxaca","","San Jose Chiltepec","Mexico"
"68457","","Oaxaca","","San Jose Chiltepec","Mexico"
"68458","","Oaxaca","","San Jose Chiltepec","Mexico"
"68459","","Oaxaca","","San Jose Chiltepec","Mexico"
"70833","","Oaxaca","","San Jose Del Peñasco","Mexico"
"71686","","Oaxaca","","San Jose Estancia Grande","Mexico"
"68407","","Oaxaca","","San Jose Independencia","Mexico"
"70813","","Oaxaca","","San Jose Lachiguiri","Mexico"
"70814","","Oaxaca","","San Jose Lachiguiri","Mexico"
"68570","","Oaxaca","","San Jose Tenango","Mexico"
"68571","","Oaxaca","","San Jose Tenango","Mexico"
"69830","","Oaxaca","","San Juan Achiutla","Mexico"
"68730","","Oaxaca","","San Juan Atepec","Mexico"
"71244","","Oaxaca","","Animas Trujano","Mexico"
"68204","","Oaxaca","","San Juan Bautista Atatlahuca","Mexico"
"69300","","Oaxaca","","San Juan Bautista Coixtlahuaca","Mexico"
"69302","","Oaxaca","","San Juan Bautista Coixtlahuaca","Mexico"
"69304","","Oaxaca","","San Juan Bautista Coixtlahuaca","Mexico"
"69305","","Oaxaca","","San Juan Bautista Coixtlahuaca","Mexico"
"69307","","Oaxaca","","San Juan Bautista Coixtlahuaca","Mexico"
"68600","","Oaxaca","","San Juan Bautista Cuicatlan","Mexico"
"68601","","Oaxaca","","San Juan Bautista Cuicatlan","Mexico"
"68602","","Oaxaca","","San Juan Bautista Cuicatlan","Mexico"
"68603","","Oaxaca","","San Juan Bautista Cuicatlan","Mexico"
"68604","","Oaxaca","","San Juan Bautista Cuicatlan","Mexico"
"68605","","Oaxaca","","San Juan Bautista Cuicatlan","Mexico"
"68234","","Oaxaca","","San Juan Bautista Guelache","Mexico"
"68235","","Oaxaca","","San Juan Bautista Guelache","Mexico"
"68236","","Oaxaca","","San Juan Bautista Guelache","Mexico"
"68210","","Oaxaca","","San Juan Bautista Jayacatlan","Mexico"
"71624","","Oaxaca","","San Juan Bautista Lo de Soto","Mexico"
"69040","","Oaxaca","","San Juan Bautista Suchitepec","Mexico"
"69041","","Oaxaca","","San Juan Bautista Suchitepec","Mexico"
"68650","","Oaxaca","","San Juan Bautista Tlacoatzintepec","Mexico"
"68651","","Oaxaca","","San Juan Bautista Tlacoatzintepec","Mexico"
"68652","","Oaxaca","","San Juan Bautista Tlacoatzintepec","Mexico"
"69190","","Oaxaca","","San Juan Bautista Tlachichilco","Mexico"
"68440","","Oaxaca","","San Juan Bautista Tuxtepec","Mexico"
"68442","","Oaxaca","","San Juan Bautista Tuxtepec","Mexico"
"68443","","Oaxaca","","San Juan Bautista Tuxtepec","Mexico"
"68444","","Oaxaca","","San Juan Bautista Tuxtepec","Mexico"
"68445","","Oaxaca","","San Juan Bautista Tuxtepec","Mexico"
"68446","","Oaxaca","","San Juan Bautista Tuxtepec","Mexico"
"68447","","Oaxaca","","San Juan Bautista Tuxtepec","Mexico"
"68448","","Oaxaca","","San Juan Bautista Tuxtepec","Mexico"
"68449","","Oaxaca","","San Juan Bautista Tuxtepec","Mexico"
"71612","","Oaxaca","","San Juan Cacahuatepec","Mexico"
"71613","","Oaxaca","","San Juan Cacahuatepec","Mexico"
"69110","","Oaxaca","","San Juan Cieneguilla","Mexico"
"68557","","Oaxaca","","San Juan Coatzospam","Mexico"
"68558","","Oaxaca","","San Juan Coatzospam","Mexico"
"71720","","Oaxaca","","San Juan Colorado","Mexico"
"71721","","Oaxaca","","San Juan Colorado","Mexico"
"71722","","Oaxaca","","San Juan Colorado","Mexico"
"68990","","Oaxaca","","San Juan Comaltepec","Mexico"
"70210","","Oaxaca","","San Juan Cotzocon","Mexico"
"70211","","Oaxaca","","San Juan Cotzocon","Mexico"
"70212","","Oaxaca","","San Juan Cotzocon","Mexico"
"70213","","Oaxaca","","San Juan Cotzocon","Mexico"
"70215","","Oaxaca","","San Juan Cotzocon","Mexico"
"70220","","Oaxaca","","San Juan Cotzocon","Mexico"
"70221","","Oaxaca","","San Juan Cotzocon","Mexico"
"70222","","Oaxaca","","San Juan Cotzocon","Mexico"
"70223","","Oaxaca","","San Juan Cotzocon","Mexico"
"70224","","Oaxaca","","San Juan Cotzocon","Mexico"
"70225","","Oaxaca","","San Juan Cotzocon","Mexico"
"70226","","Oaxaca","","San Juan Cotzocon","Mexico"
"70229","","Oaxaca","","San Juan Cotzocon","Mexico"
"68757","","Oaxaca","","San Juan Chicomezuchil","Mexico"
"71508","","Oaxaca","","San Juan Chilateca","Mexico"
"68224","","Oaxaca","","San Juan Del Estado","Mexico"
"70470","","Oaxaca","","San Juan Del Rio","Mexico"
"69946","","Oaxaca","","San Juan Diuxi","Mexico"
"68748","","Oaxaca","","San Juan Evangelista Analco","Mexico"
"70464","","Oaxaca","","San Juan Guelavia","Mexico"
"70330","","Oaxaca","","San Juan Guichicovi","Mexico"
"70331","","Oaxaca","","San Juan Guichicovi","Mexico"
"70332","","Oaxaca","","San Juan Guichicovi","Mexico"
"70333","","Oaxaca","","San Juan Guichicovi","Mexico"
"70334","","Oaxaca","","San Juan Guichicovi","Mexico"
"70335","","Oaxaca","","San Juan Guichicovi","Mexico"
"70336","","Oaxaca","","San Juan Guichicovi","Mexico"
"70337","","Oaxaca","","San Juan Guichicovi","Mexico"
"70338","","Oaxaca","","San Juan Guichicovi","Mexico"
"70340","","Oaxaca","","San Juan Guichicovi","Mexico"
"70341","","Oaxaca","","San Juan Guichicovi","Mexico"
"70342","","Oaxaca","","San Juan Guichicovi","Mexico"
"70343","","Oaxaca","","San Juan Guichicovi","Mexico"
"69130","","Oaxaca","","San Juan Ihualtepec","Mexico"
"69139","","Oaxaca","","San Juan Ihualtepec","Mexico"
"70520","","Oaxaca","","San Juan Juquila Mixes","Mexico"
"70521","","Oaxaca","","San Juan Juquila Mixes","Mexico"
"70529","","Oaxaca","","San Juan Juquila Mixes","Mexico"
"68827","","Oaxaca","","San Juan Juquila Vijanos","Mexico"
"68828","","Oaxaca","","San Juan Juquila Vijanos","Mexico"
"71940","","Oaxaca","","San Juan Lachao","Mexico"
"71941","","Oaxaca","","San Juan Lachao","Mexico"
"71575","","Oaxaca","","San Juan Lachigalla","Mexico"
"71576","","Oaxaca","","San Juan Lachigalla","Mexico"
"71577","","Oaxaca","","San Juan Lachigalla","Mexico"
"70546","","Oaxaca","","San Juan Lajarcia","Mexico"
"68940","","Oaxaca","","San Juan Lalana","Mexico"
"68941","","Oaxaca","","San Juan Lalana","Mexico"
"68942","","Oaxaca","","San Juan Lalana","Mexico"
"68943","","Oaxaca","","San Juan Lalana","Mexico"
"68944","","Oaxaca","","San Juan Lalana","Mexico"
"68950","","Oaxaca","","San Juan Lalana","Mexico"
"68957","","Oaxaca","","San Juan Lalana","Mexico"
"68585","","Oaxaca","","San Juan de los Cues","Mexico"
"70230","","Oaxaca","","San Juan Mazatlan","Mexico"
"70231","","Oaxaca","","San Juan Mazatlan","Mexico"
"70232","","Oaxaca","","San Juan Mazatlan","Mexico"
"70234","","Oaxaca","","San Juan Mazatlan","Mexico"
"70235","","Oaxaca","","San Juan Mazatlan","Mexico"
"70236","","Oaxaca","","San Juan Mazatlan","Mexico"
"70240","","Oaxaca","","San Juan Mazatlan","Mexico"
"70241","","Oaxaca","","San Juan Mazatlan","Mexico"
"70242","","Oaxaca","","San Juan Mazatlan","Mexico"
"70243","","Oaxaca","","San Juan Mazatlan","Mexico"
"70244","","Oaxaca","","San Juan Mazatlan","Mexico"
"70249","","Oaxaca","","San Juan Mazatlan","Mexico"
"69770","","Oaxaca","","San Juan Mixtepec Juxtlahuaca","Mexico"
"69771","","Oaxaca","","San Juan Mixtepec Juxtlahuaca","Mexico"
"69772","","Oaxaca","","San Juan Mixtepec Juxtlahuaca","Mexico"
"69773","","Oaxaca","","San Juan Mixtepec Juxtlahuaca","Mexico"
"69774","","Oaxaca","","San Juan Mixtepec Juxtlahuaca","Mexico"
"69776","","Oaxaca","","San Juan Mixtepec Juxtlahuaca","Mexico"
"69777","","Oaxaca","","San Juan Mixtepec Juxtlahuaca","Mexico"
"70838","","Oaxaca","","San Juan Mixtepec Miahuatlan","Mexico"
"69807","","Oaxaca","","San Juan Ñumi","Mexico"
"69808","","Oaxaca","","San Juan Ñumi","Mexico"
"69809","","Oaxaca","","San Juan Ñumi","Mexico"
"70897","","Oaxaca","","San Juan Ozolotepec","Mexico"
"70899","","Oaxaca","","San Juan Ozolotepec","Mexico"
"68980","","Oaxaca","","San Juan Petlapa","Mexico"
"68987","","Oaxaca","","San Juan Petlapa","Mexico"
"71870","","Oaxaca","","San Juan Quiahije","Mexico"
"68704","","Oaxaca","","San Juan Quiotepec","Mexico"
"68706","","Oaxaca","","San Juan Quiotepec","Mexico"
"69675","","Oaxaca","","San Juan Sayultepec","Mexico"
"69676","","Oaxaca","","San Juan Sayultepec","Mexico"
"68847","","Oaxaca","","San Juan Tabaa","Mexico"
"69955","","Oaxaca","","San Juan Tamazola","Mexico"
"69956","","Oaxaca","","San Juan Tamazola","Mexico"
"69895","","Oaxaca","","San Juan Teita","Mexico"
"70453","","Oaxaca","","San Juan Teitipac","Mexico"
"68660","","Oaxaca","","San Juan Tepeuxila","Mexico"
"68661","","Oaxaca","","San Juan Tepeuxila","Mexico"
"69560","","Oaxaca","","San Juan Teposcolula","Mexico"
"69561","","Oaxaca","","San Juan Teposcolula","Mexico"
"69562","","Oaxaca","","San Juan Teposcolula","Mexico"
"69563","","Oaxaca","","San Juan Teposcolula","Mexico"
"68810","","Oaxaca","","San Juan Yaee","Mexico"
"68811","","Oaxaca","","San Juan Yaee","Mexico"
"68812","","Oaxaca","","San Juan Yaee","Mexico"
"68817","","Oaxaca","","San Juan Yatzona","Mexico"
"69670","","Oaxaca","","San Juan Yucuita","Mexico"
"71760","","Oaxaca","","San Lorenzo","Mexico"
"71761","","Oaxaca","","San Lorenzo","Mexico"
"71762","","Oaxaca","","San Lorenzo","Mexico"
"70477","","Oaxaca","","San Lorenzo Albarradas","Mexico"
"70478","","Oaxaca","","San Lorenzo Albarradas","Mexico"
"70479","","Oaxaca","","San Lorenzo Albarradas","Mexico"
"68263","","Oaxaca","","San Lorenzo Cacaotepec","Mexico"
"68264","","Oaxaca","","San Lorenzo Cacaotepec","Mexico"
"68518","","Oaxaca","","San Lorenzo Cuaunecuiltitla","Mexico"
"71450","","Oaxaca","","San Lorenzo Texmelucan","Mexico"
"71459","","Oaxaca","","San Lorenzo Texmelucan","Mexico"
"69430","","Oaxaca","","San Lorenzo Victoria","Mexico"
"70296","","Oaxaca","","San Lucas Camotlan","Mexico"
"68470","","Oaxaca","","San Lucas Ojitlan","Mexico"
"68471","","Oaxaca","","San Lucas Ojitlan","Mexico"
"68472","","Oaxaca","","San Lucas Ojitlan","Mexico"
"68473","","Oaxaca","","San Lucas Ojitlan","Mexico"
"68474","","Oaxaca","","San Lucas Ojitlan","Mexico"
"68475","","Oaxaca","","San Lucas Ojitlan","Mexico"
"68476","","Oaxaca","","San Lucas Ojitlan","Mexico"
"68479","","Oaxaca","","San Lucas Ojitlan","Mexico"
"70467","","Oaxaca","","San Lucas Quiavini","Mexico"
"68560","","Oaxaca","","San Lucas Zoquiapam","Mexico"
"68561","","Oaxaca","","San Lucas Zoquiapam","Mexico"
"68562","","Oaxaca","","San Lucas Zoquiapam","Mexico"
"70810","","Oaxaca","","San Luis Amatlan","Mexico"
"70811","","Oaxaca","","San Luis Amatlan","Mexico"
"70894","","Oaxaca","","San Marcial Ozolotepec","Mexico"
"69270","","Oaxaca","","San Marcos Arteaga","Mexico"
"71560","","Oaxaca","","San Martin de los Cansecos","Mexico"
"69815","","Oaxaca","","San Martin Huamelulpam","Mexico"
"69816","","Oaxaca","","San Martin Huamelulpam","Mexico"
"69817","","Oaxaca","","San Martin Huamelulpam","Mexico"
"69818","","Oaxaca","","San Martin Huamelulpam","Mexico"
"69845","","Oaxaca","","San Martin Itunyoso","Mexico"
"71562","","Oaxaca","","San Martin Lachila","Mexico"
"69780","","Oaxaca","","San Martin Peras","Mexico"
"69787","","Oaxaca","","San Martin Peras","Mexico"
"71506","","Oaxaca","","San Martin Tilcajete","Mexico"
"68547","","Oaxaca","","San Martin Toxpalan","Mexico"
"68548","","Oaxaca","","San Martin Toxpalan","Mexico"
"69235","","Oaxaca","","San Martin Zacatepec","Mexico"
"68880","","Oaxaca","","San Mateo Cajonos","Mexico"
"68760","","Oaxaca","","Capulalpam de Mendez","Mexico"
"70780","","Oaxaca","","San Mateo Del Mar","Mexico"
"68575","","Oaxaca","","San Mateo Yoloxochitlan","Mexico"
"69690","","Oaxaca","","San Mateo Etlatongo","Mexico"
"69180","","Oaxaca","","San Mateo Nejapam","Mexico"
"69875","","Oaxaca","","San Mateo Peñasco","Mexico"
"70970","","Oaxaca","","San Mateo Piñas","Mexico"
"70971","","Oaxaca","","San Mateo Piñas","Mexico"
"70972","","Oaxaca","","San Mateo Piñas","Mexico"
"70860","","Oaxaca","","San Mateo Rio Hondo","Mexico"
"70861","","Oaxaca","","San Mateo Rio Hondo","Mexico"
"70862","","Oaxaca","","San Mateo Rio Hondo","Mexico"
"69995","","Oaxaca","","San Mateo Sindihui","Mexico"
"69355","","Oaxaca","","San Mateo Tlapiltepec","Mexico"
"68850","","Oaxaca","","San Melchor Betaza","Mexico"
"68851","","Oaxaca","","San Melchor Betaza","Mexico"
"69840","","Oaxaca","","San Miguel Achiutla","Mexico"
"69841","","Oaxaca","","San Miguel Achiutla","Mexico"
"69170","","Oaxaca","","San Miguel Ahuehuetitlan","Mexico"
"69171","","Oaxaca","","San Miguel Ahuehuetitlan","Mexico"
"68737","","Oaxaca","","San Miguel Aloapam","Mexico"
"69240","","Oaxaca","","San Miguel Amatitlan","Mexico"
"69241","","Oaxaca","","San Miguel Amatitlan","Mexico"
"69243","","Oaxaca","","San Miguel Amatitlan","Mexico"
"69244","","Oaxaca","","San Miguel Amatitlan","Mexico"
"69249","","Oaxaca","","San Miguel Amatitlan","Mexico"
"68785","","Oaxaca","","San Miguel Amatlan","Mexico"
"68786","","Oaxaca","","San Miguel Amatlan","Mexico"
"70874","","Oaxaca","","San Miguel Coatlan","Mexico"
"69615","","Oaxaca","","San Miguel Chicahua","Mexico"
"70155","","Oaxaca","","San Miguel Chimalapa","Mexico"
"70156","","Oaxaca","","San Miguel Chimalapa","Mexico"
"70157","","Oaxaca","","San Miguel Chimalapa","Mexico"
"70158","","Oaxaca","","San Miguel Chimalapa","Mexico"
"70990","","Oaxaca","","San Miguel Del Puerto","Mexico"
"70991","","Oaxaca","","San Miguel Del Puerto","Mexico"
"70992","","Oaxaca","","San Miguel Del Puerto","Mexico"
"70993","","Oaxaca","","San Miguel Del Puerto","Mexico"
"68754","","Oaxaca","","San Miguel Del Rio","Mexico"
"71588","","Oaxaca","","San Miguel Ejutla","Mexico"
"71142","","Oaxaca","","San Miguel El Grande","Mexico"
"71143","","Oaxaca","","San Miguel El Grande","Mexico"
"71145","","Oaxaca","","San Miguel El Grande","Mexico"
"69610","","Oaxaca","","San Miguel Huautla","Mexico"
"71218","","Oaxaca","","San Miguel Mixtepec","Mexico"
"71890","","Oaxaca","","San Miguel Panixtlahuaca","Mexico"
"71273","","Oaxaca","","San Miguel Peras","Mexico"
"71274","","Oaxaca","","San Miguel Peras","Mexico"
"71275","","Oaxaca","","San Miguel Peras","Mexico"
"69990","","Oaxaca","","San Miguel Piedras","Mexico"
"69991","","Oaxaca","","San Miguel Piedras","Mexico"
"70288","","Oaxaca","","San Miguel Quetzaltepec","Mexico"
