Year,Full-time/part-time status,State/territory,School sector,Gender,School level,Indigenous status,Students
2016,Part-time students,Queensland,Catholic,Male,Primary,Non-Indigenous,24.0
2012,Part-time students,Northern Territory,Independent,Female,Primary,Non-Indigenous,0.0
2015,Part-time students,New South Wales,Government,Male,Secondary,Indigenous,118.0
2013,Full-time equivalent,Victoria,Government,Male,Secondary,Non-Indigenous,114663.5
2015,Full-time equivalent,Queensland,Independent,Male,Primary,Indigenous,738.0
2013,Full-time students,Australian Capital Territory,Government,Female,Secondary,Non-Indigenous,7599.0
2018,Full-time equivalent,Northern Territory,Government,Male,Secondary,Indigenous,2173.1
2018,Full-time equivalent,New South Wales,Catholic,Female,Primary,Non-Indigenous,62292.0
2016,Full-time students,Victoria,Independent,Male,Primary,Non-Indigenous,27619.0
2015,Full-time students,Victoria,Catholic,Male,Primary,Non-Indigenous,55850.0
2009,Full-time equivalent,Australian Capital Territory,Government,Female,Secondary,Indigenous,163.0
2016,Full-time equivalent,Western Australia,Independent,Female,Primary,Indigenous,280.0
2018,Full-time students,Queensland,Catholic,Female,Secondary,Non-Indigenous,31390.0
2016,Full-time students,Victoria,Catholic,Female,Primary,Indigenous,423.0
2017,Full-time students,New South Wales,Government,Female,Secondary,Indigenous,11139.0
2016,Full-time students,Tasmania,Catholic,Female,Primary,Indigenous,274.0
2011,Part-time students,Tasmania,Independent,Male,Secondary,Indigenous,0.0
2009,Full-time students,Queensland,Government,Male,Primary,Indigenous,13589.0
2013,Full-time students,Tasmania,Independent,Male,Primary,Non-Indigenous,2018.0
2018,Full-time equivalent,New South Wales,Government,Female,Primary,Non-Indigenous,220133.0
2013,Full-time equivalent,Northern Territory,Catholic,Male,Primary,Non-Indigenous,883.0
2015,Part-time students,New South Wales,Catholic,Male,Secondary,Indigenous,5.0
2011,Full-time equivalent,New South Wales,Independent,Male,Secondary,Non-Indigenous,36761.2
2016,Full-time students,Queensland,Catholic,Female,Secondary,Indigenous,1538.0
2018,Full-time students,Northern Territory,Independent,Female,Secondary,Non-Indigenous,1138.0
2016,Full-time equivalent,Queensland,Catholic,Male,Primary,Non-Indigenous,38099.8
2014,Full-time equivalent,New South Wales,Catholic,Female,Primary,Indigenous,1979.0
2014,Full-time students,Australian Capital Territory,Government,Female,Secondary,Indigenous,269.0
2009,Full-time equivalent,Northern Territory,Government,Female,Secondary,Indigenous,1921.6
2014,Full-time students,New South Wales,Government,Female,Primary,Non-Indigenous,206783.0
2017,Part-time students,Tasmania,Independent,Male,Secondary,Non-Indigenous,4.0
2016,Part-time students,South Australia,Independent,Male,Secondary,Non-Indigenous,59.0
2018,Part-time students,Western Australia,Government,Male,Secondary,Non-Indigenous,149.0
2013,Part-time students,Western Australia,Government,Male,Primary,Non-Indigenous,0.0
2015,Full-time students,South Australia,Catholic,Female,Primary,Indigenous,204.0
2013,Full-time equivalent,Tasmania,Government,Male,Primary,Non-Indigenous,15043.6
2017,Part-time students,South Australia,Government,Male,Secondary,Non-Indigenous,719.0
2010,Full-time students,New South Wales,Government,Male,Secondary,Non-Indigenous,148079.0
2012,Full-time students,Northern Territory,Catholic,Male,Secondary,Indigenous,311.0
2013,Full-time students,Australian Capital Territory,Catholic,Male,Primary,Indigenous,78.0
2011,Full-time students,Queensland,Government,Female,Secondary,Non-Indigenous,78827.0
