Store Key,Store Name,Open Date,Close Date,Zip Code,Store Phone,Address Line 1,Employee Count,Selling Area Size,ManagerFirstName,ManagerLastName,StoreManager,AddressLine2
121,"Brooklyn Store",2004-09-19 00:00:00.000,,11238,"158-555-0191","Flatbush Ave St",47,1125,"Mike","Ray",140,"Flatbush Ave St"
89,"Round Rock Store",2004-11-27 00:00:00.000,,70001,"373-555-0142","Egger Acres St",33,560,"Robert","Brown",107,"Egger Acres St"
178,"Litchfield County Store",2004-07-23 00:00:00.000,,6759,"164-555-0114","CTuDED Rd, Litchfield County",25,700,"Denis","Dehenne",193,"CTuDED Rd, Litchfield County"
83,"Pasadena Store",2004-05-21 00:00:00.000,,70001,"314-555-0113","Pasadena, TX St Shopping mall",47,1125,"Alan","Brewer",101,"Pasadena, TX St Shopping mall"
300,"Sydney  No.2 Store",2004-03-18 00:00:00.000,,59000,"1 (11) 500 555-"," PT St Sydney, Australia",95,480,"Daniel","Goldschmidt",294," PT St Sydney, Australia"
127,"Poestenkill Store",2004-01-25 00:00:00.000,,12140,"712-555-0113","Rensselaer County St",19,455,"Sean","Chai",145,"Rensselaer County St"
208,"West Yorkshire Store",2004-03-21 00:00:00.000,,,"318-555-0137","22 Market Sq Shipley, West Yorkshire, BD18 3QJ, United Kingdom",90,680,"Bernard","Tham",226,"22 Market Sq Shipley, West Yorkshire, BD18 3QJ, United Kingdom"
20,"Englewood Store",2004-09-29 00:00:00.000,,87001,"435-555-0113","Cherry Hills Village Shopping mall",33,560,"Steven","Wright",52,"Cherry Hills Village Shopping mall"
76,"Beaumont No.1 Store",2004-02-20 00:00:00.000,,70001,"896-555-0168","Beaumont, Tt Shopping mall",22,500,"Marc","Boyer",95,"Beaumont, Tt Shopping mall"
164,"Provincetown Store",2004-12-02 00:00:00.000,,2657,"181-555-0156","Alden St",26,680,"Pawel","Czernek",179,"Alden St"
250,"Athens Store",2004-04-17 00:00:00.000,,10559,"237-555-0128","",15,680,"Gabe","Frost",267,""
24,"New Castle Store",2004-02-15 00:00:00.000,,87001,"413-555-0136","New Castle CityCenter",25,700,"Mrina","Natarajan",56,"New Castle CityCenter"
25,"Greeley  No.1 Store",2004-03-16 00:00:00.000,,80631,"332-555-0150"," W 29th Street, Greeley CityCenter",25,700,"Dave","Barnett",57," W 29th Street, Greeley CityCenter"
31,"Greeley No.2 Store",2004-09-22 00:00:00.000,,80631,"138-555-0128","Greeley  Downtown Shopping mall",17,462,"Dave","Barnett",57,"Greeley  Downtown Shopping mall"
225,"Torino Store",2004-03-18 00:00:00.000,,10141,"931-555-0118","",24,500,"Antoine","Faisandier",243,""
104,"Tallahassee No.1 Store",2003-11-09 00:00:00.000,,32301,"200-555-0117","Woodland Drives St",19,455,"Iulian","Calinov",121,"Woodland Drives St"
30,"Fort Collins Store",2004-08-21 00:00:00.000,,87001,"656-555-0119","Old Town West ST",22,500,"Yossi","Ran",62,"Old Town West ST"
32,"Milliken Store",2004-10-23 00:00:00.000,,87001,"523-555-0175","Milliken Downtown",25,700,"Shaun","Beasley",63,"Milliken Downtown"
190,"Charleston Store",2004-02-22 00:00:00.000,,29406,"552-555-0111","Rockingham St Shopping mall",47,1125,"David","Simpson",204,"Rockingham St Shopping mall"
68,"Houston No.3 Store",2004-07-02 00:00:00.000,,70001,"226-555-0197","Texas Houston Brewster St",22,500,"Fabricio","Noriega",88,"Texas Houston Brewster St"
38,"Thornton Store",2003-04-29 00:00:00.000,,87001,"333-555-0173","Shopping mall, Citycenter",22,500,"Ann","Beebe",67,"Shopping mall, Citycenter"
237,"Giebelstadt Store",2004-12-26 00:00:00.000,,97232,"264-555-0150","Citycenter, Giebelstadt, Germany",15,500,"Robin","Wood",254,"Citycenter, Giebelstadt, Germany"
39,"Littleton Store",2003-05-30 00:00:00.000,,87001,"963-555-0134","Littleton, Citycenter",17,462,"Jeff","Teper",68,"Littleton, Citycenter"
177,"New Haven Store",2004-06-22 00:00:00.000,,6511,"118-555-0177","Lynwood PI Downtown",17,462,"Boris","Scholl",192,"Lynwood PI Downtown"
176,"Darien Store",2004-05-21 00:00:00.000,,6820,"438-555-0172","Lakeside Ave Shopping mall",22,500,"Eric","Davison",191,"Lakeside Ave Shopping mall"
50,"Waukesha No.1 Store",2004-04-19 00:00:00.000,,54001,"299-555-0113","Waukesha,  Water St",19,455,"Robert","Zare",76,"Waukesha,  Water St"
94,"Grand Prairie Store",2003-02-03 00:00:00.000,,75201,"845-555-0184","Grand Prairie, TX  Downtown",25,700,"Wirote","Petchdenlarp",112,"Grand Prairie, TX  Downtown"
57,"Port Washington Store",2004-11-25 00:00:00.000,,54001,"910-555-0116","Port Washington, WIMI St Shopping mall",26,680,"Jimmy","Bischoff",79,"Port Washington, WIMI St Shopping mall"
162,"Pittsfield Store",2004-10-26 00:00:00.000,2009-07-12 00:00:00.000,1201,"173-555-0179","Columbus Ave",17,462,"Scott","Culp",177,"Columbus Ave"
54,"Waukesha No.2 Store",2004-08-20 00:00:00.000,,54014,"669-555-0150","Waukesha, WI 8th Ave",17,462,"Robert","Zare",76,"Waukesha, WI 8th Ave"
97,"Lewisville Store",2003-04-02 00:00:00.000,,75201,"920-555-0177","Lewisville, Edeg ST Shopping mall",33,560,"Tzipi","Butnaru",115,"Lewisville, Edeg ST Shopping mall"
288,"Montreal No.2 Store",2003-02-13 00:00:00.000,,,"922-555-0165","De avenue du parc Shopping mall, Montréal, Canada",95,480,"Lorrin","Smith-Bates",216,"De avenue du parc Shopping mall, Montréal, Canada"
294,"Tehran No.2 Store",2004-04-30 00:00:00.000,,1698556,"775-555-0164","Seyfiyeh Davoodiyeh,second street, Tehran, Tehran, Iran",95,480,"Adina","Hagege",274,"Seyfiyeh Davoodiyeh,second street, Tehran, Tehran, Iran"
58,"Sheboygan Store",2004-12-26 00:00:00.000,,54001,"319-555-0139","Sheboygan, WIAmsterdam Ave",19,455,"Michael","Neipper",80,"Sheboygan, WIAmsterdam Ave"
60,"Madison Store",2004-02-28 00:00:00.000,,54001,"499-555-0125","Dudgeon-Monroe Shopping mall",47,1125,"Paulo","Neves",82,"Dudgeon-Monroe Shopping mall"
221,"Strasbourg Store",2004-09-04 00:00:00.000,,67000,"310-555-0117","Downtown Strasbourg, France",10,630,"Modesto","Estrada",239,"Downtown Strasbourg, France"
274,"Seoul Store",2008-10-13 00:00:00.000,,57,"370-555-0163","Seoul west district",50,480,"Leo","Giakoumakis",287,"Seoul west district"
63,"Edgerton Store",2004-05-31 00:00:00.000,,54001,"679-555-0113","Edgerton, WI Broadway",25,700,"Tomasz","Bochenek",85,"Edgerton, WI Broadway"
166,"Bangor Store",2004-10-17 00:00:00.000,,4401,"201-555-0163","Woodland Dr St Shopping mall",33,560,"Apurva","Dalia",181,"Woodland Dr St Shopping mall"
207,"Lancashire Store",2004-07-20 00:00:00.000,,,"393-555-0186","Rochdale Rd Todmorden, Lancashire Shopping mall, United Kingdom",36,680,"Terry","Earls",225,"Rochdale Rd Todmorden, Lancashire Shopping mall, United Kingdom"
143,"Hoboken Store",2004-10-23 00:00:00.000,,7030,"110-555-0182","322 8th St",33,560,"Ray","Chow",159,"322 8th St"
51,"Racine No.1 Store",2004-05-15 00:00:00.000,,54001,"846-555-0157","Racine shopping mall",33,560,"Corinna","Bolender",87,"Racine shopping mall"
136,"Passaic Store",2004-03-16 00:00:00.000,,7055,"180-555-0136","190 Paulison Ave",33,560,"Wendy","Richardson",152,"190 Paulison Ave"
69,"Houston No.4 Store",2004-08-03 00:00:00.000,,70001,"623-555-0155","Texas Houston Sakowitz St",17,460,"Fabricio","Noriega",88,"Texas Houston Sakowitz St"
291,"Calgary  Store",2004-05-27 00:00:00.000,,,"330-555-0120","209 4 Avenue Se, Calgary, Canada",95,480,"Martin","Spona",218,"209 4 Avenue Se, Calgary, Canada"
155,"Framingham Store",2004-03-19 00:00:00.000,,1701,"182-555-0134","29 Woodlan St",25,700,"Michael","Ruggiero",170,"29 Woodlan St"
78,"Beaumont No.2 Store",2004-02-22 00:00:00.000,,70001,"808-555-0172","Beaumont, TX Downtown",25,700,"Marc","Boyer",95,"Beaumont, TX Downtown"
180,"Norfolk Store",2004-08-25 00:00:00.000,,23504,"712-555-0170","Wide St Shopping mall",26,680,"Axel","Delgado",195,"Wide St Shopping mall"
215,"Paris Store",2004-03-28 00:00:00.000,,75001,"139-555-0131","Rue de Rivoli Citycenter  Paris, France",12,680,"Anil","Elson",233,"Rue de Rivoli Citycenter  Paris, France"
157,"Somerville Store",2004-05-21 00:00:00.000,,2145,"587-555-0114","Pembroke St",26,680,"Sharon","Salavaria",172,"Pembroke St"
77,"Orange Store",2004-02-21 00:00:00.000,,70001,"999-555-0155","Orange Citycenter Shopping mall",17,462,"Tude","Palma",96,"Orange Citycenter Shopping mall"
275,"Busan Store",2006-07-12 00:00:00.000,,,"465-555-0156","Korea Citycenter Namchendong, Suyeong-Gu, Busan",50,480,"Nikolay","Grachev",288,"Korea Citycenter Namchendong, Suyeong-Gu, Busan"
79,"Baytown Store",2004-01-17 00:00:00.000,,70001,"119-555-0117","Baytown, TX St Shopping mall",26,680,"Peter","Bankov",97,"Baytown, TX St Shopping mall"
80,"La Porte Store",2004-02-18 00:00:00.000,,70001,"420-555-0173","La Porte, TXS Shopping mall",26,680,"Dan","Park",98,"La Porte, TXS Shopping mall"
156,"Cambridge Store",2004-04-20 00:00:00.000,,2138,"594-555-0110","8 Story St  Shopping mall",26,680,"Cecilia","Cornejo",171,"8 Story St  Shopping mall"
88,"Cedar Park Store",2004-10-26 00:00:00.000,,70001,"577-555-0185","Cedar Park, TX St",19,455,"Yael","Peled",106,"Cedar Park, TX St"
264,"Ashgabat No.1 Store",2004-01-18 00:00:00.000,,744000,"521-555-0113","Gorogly Street, Turkmenistan",68,480,"Allan","Guinot",278,"Gorogly Street, Turkmenistan"
93,"Arlington Store",2003-08-31 00:00:00.000,,75201,"204-555-0115","Central Oaks Shopping mall",25,700,"Chris","Bryant",111,"Central Oaks Shopping mall"
96,"Richardson Store",2003-02-01 00:00:00.000,,75201,"208-555-0114","Richardson Downtown Shopping mall",19,455,"Palle","Petersen",114,"Richardson Downtown Shopping mall"
276,"Bishkek Store",2006-08-13 00:00:00.000,,720005,"238-555-0197","Biskek shopping mall, Chuskaya Oblast Kyrgyzstan",50,480,"Enrique","Gil",289,"Biskek shopping mall, Chuskaya Oblast Kyrgyzstan"
295,"Damascus No.2 Store",2004-05-31 00:00:00.000,,36805,"1 (11) 500 555-","19th Nissan Street, Mezze Damascus, Syria",95,480,"Cesar","Garcia",275,"19th Nissan Street, Mezze Damascus, Syria"
98,"Denton Store",2003-05-03 00:00:00.000,,75201,"913-555-0184","Denton Citycenter Shopping mall",47,1125,"Terrence","Philip",116,"Denton Citycenter Shopping mall"
189,"Greenville Store",2004-02-21 00:00:00.000,,29601,"517-555-0122","Lavinia St Shopping mall",33,560,"Michael","DeVoe",203,"Lavinia St Shopping mall"
100,"Plano Store",2003-07-05 00:00:00.000,,75201,"148-555-0145","City North St",17,462,"Michal","Piaseczny",118,"City North St"
17,"Spokane Store",2004-03-26 00:00:00.000,,97001,"984-555-0185","Logan Ave  Shopping mall",25,700,"Chase","Carpenter",135,"Logan Ave  Shopping mall"
185,"Roanoke Store",2004-10-17 00:00:00.000,,24011,"559-555-0175","Salem Ave SE StShopping mall",17,462,"Molly","Dempsey",199,"Salem Ave SE StShopping mall"
105,"Tallahassee No.2 Store",2003-11-29 00:00:00.000,,32301,"768-555-0123","Thomasville Rd",33,560,"Iulian","Calinov",121,"Thomasville Rd"
140,"Hackensack Store",2004-07-20 00:00:00.000,,7601,"352-555-0138","237 State St",25,700,"Titti","Ringstrom",156,"237 State St"
112,"Key West Store",2004-01-12 00:00:00.000,2009-07-02 00:00:00.000,33040,"637-555-0120","N Roosevelt Blvd St",19,455,"Josh","Pollock",128,"N Roosevelt Blvd St"
134,"Clifton Store",2004-01-24 00:00:00.000,,7013,"417-555-0154","Kowal Downtown",26,680,"Don","Richardson",150,"Kowal Downtown"
283,"Ottawa No.2 Store",2004-05-15 00:00:00.000,,,"210-555-0193","Carling Avenue, Ottawa, Canada",95,480,"Brian","Smith",214,"Carling Avenue, Ottawa, Canada"
244,"Ljubljana Store",2004-07-02 00:00:00.000,,1000,"129-555-0199","Citycenter Ljubljana, Slovenia",36,680,"Soren","Francker",261,"Citycenter Ljubljana, Slovenia"
267,"Tokyo No.1 Store",2004-04-02 00:00:00.000,,,"539-555-0149","Shinjuku, Tokyo Citycenter",68,480,"Inbar","Gazit",281,"Shinjuku, Tokyo Citycenter"
46,"Fond du Lac Store",2007-12-07 00:00:00.000,,54001,"992-555-0194","Fond du Lac Shopping mall",17,460,"Arvind","Rao",136,"Fond du Lac Shopping mall"
122,"Oswego Store",2004-10-20 00:00:00.000,,13126,"785-555-0110","East River St",22,500,"Giorgio","Cavaglieri",141,"East River St"
125,"Queens Store",2006-01-23 00:00:00.000,,11432,"150-555-0194","St Johns Downtown",25,700,"Luisa","Cazzaniga",143,"St Johns Downtown"
241,"Copenhagen Store",2004-04-30 00:00:00.000,,,"123-555-0167","Ny Carlsbergvej 14 St, Denmark",25,680,"Aziz","Hassouneh",258,"Ny Carlsbergvej 14 St, Denmark"
137,"Bayonne Store",2004-04-17 00:00:00.000,,7002,"500-555-0159","E 31st St",47,1125,"Aik","Chen",153,"E 31st St"
141,"Atlantic City Store",2004-08-21 00:00:00.000,,8401,"446-555-0118","Pacific Ave",26,680,"Michal","Chmiela",157,"Pacific Ave"
142,"Montclair Store",2004-09-22 00:00:00.000,,7042,"955-555-0169","Valley St",19,455,"John","Rodman",158,"Valley St"
145,"Cape May Store",2004-12-02 00:00:00.000,,8204,"615-555-0110","Delaware Ave St",22,500,"Alice","Ciccu",161,"Delaware Ave St"
149,"New Bedford Store",2004-02-19 00:00:00.000,,2740,"965-555-0155","Palmer CityCenter",26,680,"Daniel","Roth",164,"Palmer CityCenter"
181,"Virginia Beach Store",2004-10-26 00:00:00.000,,23451,"753-555-0129","Atlantic Shopping mall",19,455,"Miguel","Severino",196,"Atlantic Shopping mall"
152,"Leominster Store",2004-02-22 00:00:00.000,,1453,"678-555-0110","101 Union St Shopping mall",47,1125,"Kevin","Cook",167,"101 Union St Shopping mall"
234,"Dusseldorf Store",2007-09-12 00:00:00.000,,40229,"283-555-0185","Citycenter, Düsseldorf, Germany",24,500,"Franziska","Fiegler",251,"Citycenter, Düsseldorf, Germany"
269,"Yokohama Store",2004-05-15 00:00:00.000,,,"151-555-0113","Citycenter, Kanagawa Prefecture Japan",77,480,"Seth","Grossman",282,"Citycenter, Kanagawa Prefecture Japan"
301,"Osaka No.2 Store",2007-03-19 00:00:00.000,,89094,"380-558-0193","Citycenter, BigOne Rd-KuOsakaOsaka, Japan",95,480,"Christa","Geller",283,"Citycenter, BigOne Rd-KuOsakaOsaka, Japan"
277,"Shanghai No.1 Store",2004-02-14 00:00:00.000,,201800,"708-555-0141","China Shanghai, Jiading Distrct Yongguang Rd",95,480,"Mojca","Gostincar",290,"China Shanghai, Jiading Distrct Yongguang Rd"
226,"Milan Store",2004-04-09 00:00:00.000,,20149,"202-555-0187","",23,500,"Florian","Voss",244,""
175,"Old Saybrook Store",2004-04-20 00:00:00.000,,6475,"100-555-0174","18 W King Rd",47,1125,"Rainer","Schiller",190,"18 W King Rd"
191,"Annapolis Store",2004-01-17 00:00:00.000,,21401,"908-555-0159","Cherry Grove Ave Shopping mall",22,500,"Cari","Dick",205,"Cherry Grove Ave Shopping mall"
206,"Manchester Store",2004-06-19 00:00:00.000,,,"869-555-0125"," Windsor Ave Failsworth, Manchester Citycenter, United Kingdom",11,680,"Brad","Sutton",224," Windsor Ave Failsworth, Manchester Citycenter, United Kingdom"
280,"Guangzhou Store",2009-07-17 00:00:00.000,,510000,"124-555-0114","China Guangzhou, Guangdong Tianhe Distrct",131,480,"Stuart","Glasson",293,"China Guangzhou, Guangdong Tianhe Distrct"
182,"Winchester Store",2004-11-27 00:00:00.000,,22601,"654-555-0177","Handley St Shopping mall",33,560,"Luca","Dellamore",197,"Handley St Shopping mall"
292,"Thimphu No.2 Store",2006-02-28 00:00:00.000,,,"185-555-0169","Clock Tower Shooping mall, Thimphu, Bhutan",95,480,"Dean","Halstead",272,"Clock Tower Shooping mall, Thimphu, Bhutan"
193,"Howard Store",2004-03-19 00:00:00.000,,21794,"167-555-0139","River Valley Chase St Shopping mall",25,700,"Cliff","Didcock",207,"River Valley Chase St Shopping mall"
202,"Edinburgh Store",2004-08-02 00:00:00.000,,,"296-555-0121","Princes St Edinburgh, Midlothian Shopping mall, United Kingdom",25,700,"Jeff","Stammler",220,"Princes St Edinburgh, Midlothian Shopping mall, United Kingdom"
194,"Ridgely Store",2004-04-20 00:00:00.000,,21660,"310-555-0133","Deerfield St",25,700,"Bonnie","Skelly",208,"Deerfield St"
282,"Ottawa No.1 Store",2004-04-09 00:00:00.000,,,"210-555-0193","Elgin Street, Ottawa,  Canada",95,480,"Brian","Smith",214,"Elgin Street, Ottawa,  Canada"
212,"Liverpool Store",2004-03-02 00:00:00.000,,,"313-555-0196","Leinster Rd Liverpool, Merseyside Citycenter, UK",64,680,"Iben","Thorell",230,"Leinster Rd Liverpool, Merseyside Citycenter, UK"
287,"Montreal No.1 Store",2004-09-12 00:00:00.000,,,"517-555-0117","Boulevard Decarie, Montreal Rd, Canada",95,480,"Lorrin","Smith-Bates",216,"Boulevard Decarie, Montreal Rd, Canada"
290,"Vancouver  No.2 Store",2004-12-26 00:00:00.000,,,"340-555-0193","Johnston Street, Vancouver, Canada",95,480,"Andrea","Dunker",217,"Johnston Street, Vancouver, Canada"
268,"Tokyo No.2 Store",2006-04-19 00:00:00.000,,,"228-555-0159","Citycenter, Shinjuku-kuTokyo, Japan‎",68,480,"Inbar","Gazit",281,"Citycenter, Shinjuku-kuTokyo, Japan‎"
210,"Cheshire Store",2004-04-23 00:00:00.000,,,"663-555-0172","Market St  Marple, Stockport, Cheshire Citycenter, United Kingdom",,680,"Sandhya","Thodla",228,"Market St  Marple, Stockport, Cheshire Citycenter, United Kingdom"
257,"Kolkata Store",2005-06-11 00:00:00.000,,700017,"491-555-0183","Citycenter, Kolkata, West Bengal, India‎",35,480,"Mike","Gahrns",271,"Citycenter, Kolkata, West Bengal, India‎"
279,"Beijing Store",2008-07-16 00:00:00.000,,100007,"486-555-0150","China Beijing Chaoyang distrct Shanlitun Rd",86,480,"Nuria","Gonzalez",292,"China Beijing Chaoyang distrct Shanlitun Rd"
222,"Roma Store",2007-10-05 00:00:00.000,,192,"927-555-0150","",43,490,"Gregory","Verny",240,""
297,"Moscow  No.2 Store",2004-07-02 00:00:00.000,,107561,"615-555-0153","Russia, 107561 District shopping mall",95,480,"Hugo","Garcia",277,"Russia, 107561 District shopping mall"
230,"koln No.2 Store",2004-05-15 00:00:00.000,,50672,"916-555-0165","Downtown, Koln, Germany",25,500,"Yaniv","Feinberg",247,"Downtown, Koln, Germany"
231,"Hofheim Store",2004-06-17 00:00:00.000,,65719,"405-555-0171","Citycenter Hofheim am Taunus, Germany",25,500,"Martin","Weber",248,"Citycenter Hofheim am Taunus, Germany"
239,"Munich Store",2006-02-28 00:00:00.000,,80331,"497-555-0181","Citycenter München, Germany",18,500,"Karin","Zimprich",256,"Citycenter München, Germany"
246,"Berne Store",2004-04-20 00:00:00.000,,,"590-555-0152","",53,680,"Joel","Frauenheim",263,""
254,"Yerevan Store",2004-03-28 00:00:00.000,,10,"919-555-0140","Amiryan Street Yerevan,  Armenia",15,480,"Gerhard","Goeschl",295,"Amiryan Street Yerevan,  Armenia"
251,"Singapore Store",2004-04-22 00:00:00.000,,302699,"842-555-0158","Havelock Road Shopping mall, Singapore",27,480,"Jim","Hance",268,"Havelock Road Shopping mall, Singapore"
260,"Tehran No.1 Store",2004-09-04 00:00:00.000,,1698530,"325-555-0137","Citycenter, Tehran, Tehran, Iran",35,480,"Adina","Hagege",274,"Citycenter, Tehran, Tehran, Iran"
296,"Bangkok No.2 Store",2005-06-01 00:00:00.000,,15210,"1 (11) 500 555-","Bangkok Citycenter, Thailand",95,480,"Mary","Andersen",276,"Bangkok Citycenter, Thailand"
253,"Sydney No.1 Store",2005-06-27 00:00:00.000,,2000,"203-555-0196","Sydney Citycenter, Australia",20,480,"Daniel","Goldschmidt",294,"Sydney Citycenter, Australia"
201,"London Store",2004-11-27 00:00:00.000,,,"927-555-0168","London, W1C 1HG, United Kingdom",17,462,"Bart","Duncan",219,"London, W1C 1HG, United Kingdom"
52,"Burlington Store",2004-06-17 00:00:00.000,,54001,"639-555-0164","Burlington, WI St shopping mall",47,1125,"Carlos","Carvallo",137,"Burlington, WI St shopping mall"
110,"Orlando Store",2003-02-15 00:00:00.000,,32803,"476-555-0119","1400-1598 FL-50 St",25,700,"Grigory","Pogulsky",126,"1400-1598 FL-50 St"
163,"Falmouth Store",2004-11-27 00:00:00.000,,2540,"429-555-0137","Shore Citycenter Shopping mall",25,700,"Patrick","Sands",178,"Shore Citycenter Shopping mall"
204,"York Store",2004-08-27 00:00:00.000,,,"848-555-0163","Spurriergate York, North Yorkshire Citycenter, United Kingdom",78,680,"Mark","Steele",222,"Spurriergate York, North Yorkshire Citycenter, United Kingdom"
265,"Islamabad No.1 Store",2004-02-09 00:00:00.000,,10086,"306-555-0186"," Islamabad Capital Territory, Pakistan",71,480,"Davide","Garghentini",279," Islamabad Capital Territory, Pakistan"
197,"Back River Store",2004-07-23 00:00:00.000,,21219,"955-555-0131","Back River St Shopping mall",33,560,"Chris","Downs",211,"Back River St Shopping mall"
218,"Toulouse Store",2004-09-11 00:00:00.000,,31000,"575-555-0126","Citycenter  toulouse, France",23,680,"Olinda","Turner",236,"Citycenter  toulouse, France"
188,"Martinsville Store",2004-02-20 00:00:00.000,,24112,"809-555-0133","Monroe St",19,455,"Alex","Simmons",202,"Monroe St"
67,"Houston No.2 Store",2004-03-11 00:00:00.000,,70001,"434-555-0133","Texas Houston Ryon St",47,1125,"Fabricio","Noriega",88,"Texas Houston Ryon St"
242,"Stockholm Store",2004-05-31 00:00:00.000,,11145,"208-555-0114","Birger Jarlsg Shopping mall, Sweden",33,680,"Diane","Forsyth",259,"Birger Jarlsg Shopping mall, Sweden"
15,"Renton Store",2004-02-24 00:00:00.000,,97001,"424-555-0189","Renton,Citycenter",22,500,"Robin","Wakefield",48,"Renton,Citycenter"
154,"Quincy Store",2004-02-18 00:00:00.000,,2169,"870-555-0122","Thomas E Burgin St",17,462,"Jim","Corbin",169,"Thomas E Burgin St"
108,"Lakeland Store",2003-02-13 00:00:00.000,,33815,"477-555-0132","N Missouri Ave",17,460,"Ekaterina","Podkolzina",124,"N Missouri Ave"
48,"Milwaukee No.2 Store",2004-02-09 00:00:00.000,2009-05-12 00:00:00.000,54001,"399-555-0176","Riverwest St",25,700,"Antonio","Bermejo",75,"Riverwest St"
233,"Landstuhl Store",2004-08-20 00:00:00.000,,66917,"447-555-0186","Citycenter Wallhalben, Germany",21,500,"Cindy","White",250,"Citycenter Wallhalben, Germany"
263,"Moscow  No.1 Store",2004-06-07 00:00:00.000,,107031,"254-555-0114","Citycenter, Russia",65,480,"Hugo","Garcia",277,"Citycenter, Russia"
113,"Cape Canaveral Store",2004-02-14 00:00:00.000,,32920,"260-555-0119","Astronaut Blvd St",33,560,"Cyril","Carbonati",129,"Astronaut Blvd St"
213,"Knotty Ash Store",2004-03-26 00:00:00.000,,,"785-555-0132","East Prescot Road Knotty Ash, Citycenter, United Kingdom",24,680,"Patrick","Elliott",231,"East Prescot Road Knotty Ash, Citycenter, United Kingdom"
11,"Cle Elum Store",2004-10-20 00:00:00.000,,97001,"849-555-0139","Cle Elum, Citycenter",26,680,"Hans-Walter","Untch",44,"Cle Elum, Citycenter"
14,"Fall City Store",2006-01-23 00:00:00.000,,97001,"819-555-0175","Fall City, Citycenter",47,1125,"Vivian","Atlas",47,"Fall City, Citycenter"
