Strike,Date,Tribal Agency,Location,Latitude,Longitude,Time Period,Minimum All Targets,MaximumAllTargets,Minimum Domestic Buildings,Maximum Domestic Buildings,Minimum Religious Buildings,Maximum Religious Buildings,Minimum Other Buildings,Maximum Other Buildings,Minimum vehicles,Maximum vehicles,Strucutral Damage,Minimum Number of Missiles Reported Fired,Maximum Number of Missiles Reported FIred,Minimum Total Reported Killed,Maximum Total Reported Killed,Minimum Civilians Reported Killed,Maximum Civilians Reported Killed,Minimum Children Reported Killed,Maximum Children Reported Killed,Minimum Injured,Maximum Injured
"Ob326",2013-09-29 00:00:00.000,"NWA","Darga Mandi",33.040435,70.047863,"Morning",1,1,1,1,0,0,0,0,0,0,"4","2","2",3,6,0,0,0,0,1,3
"Ob327",2013-09-30 00:00:00.000,"NWA","Boya",32.944149,69.900169,"Night",1,1,1,1,0,0,0,0,0,0,"-","2","2",1,4,0,0,0,0,2,4
"Ob328",2013-10-31 00:00:00.000,"NWA","Miram Shah",33.00053,70.065479,"Night",1,2,1,1,0,0,0,0,0,1,"3","2","2",0,5,0,0,0,0,3,3
"Ob331",2013-11-29 00:00:00.000,"NWA","Miram Shah",33.00053,70.065479,"Night",1,1,1,1,0,0,0,0,0,0,"4","2","2",1,3,0,0,0,0,1,2
"Ob332",2013-12-25 00:00:00.000,"NWA","Miram Shah",33.00053,70.065479,"Night",1,1,1,1,0,0,0,0,0,0,"-","2","2",3,4,0,0,0,0,1,1
"Ob39",2009-09-30 00:00:00.000,"NWA","Norak",32.980948,70.171738,"Night",0,3,0,1,0,0,0,0,0,2,"-","2","2",6,9,0,0,0,0,2,5
"Ob69",2010-02-14 00:00:00.000,"NWA","Norak",32.980948,70.171738,"Afternoon",0,2,0,1,0,0,0,0,0,1,"4","2","2",5,7,0,0,0,0,4,4
"Ob72",2010-02-18 00:00:00.000,"NWA","Danda Darpakhel",33.037625,70.051998,"Afternoon",0,2,0,1,0,0,0,0,0,1,"3","2","2",3,5,0,0,0,0,4,4
"Ob77",2010-03-16 00:00:00.000,"NWA","Mohammad Khel",32.957221,69.885192,"Afternoon",0,3,0,1,0,0,0,0,0,2,"4","2","5",7,11,0,0,0,0,2,2
"Ob79",2010-03-17 00:00:00.000,"NWA","Mizar Madakhel",32.906109,69.748807,"Morning",0,2,0,1,0,0,0,0,0,1,"-","2","3",5,5,0,0,0,0,0,0
"Ob81",2010-03-23 00:00:00.000,"NWA","Machis",33.00053,70.065479,"Night",2,2,1,1,0,0,0,0,1,1,"4","2","2",6,6,0,0,0,0,3,3
"Ob92",2010-11-05 00:00:00.000,"NWA","Gurwak",32.849812,69.465265,"Afternoon",0,2,0,1,0,0,0,0,0,1,"-","2","2",7,15,0,0,0,0,4,4
"Ob117",2010-06-09 00:00:00.000,"NWA","Khar Qamar",32.905569,69.74885,"Afternoon",0,1,0,0,0,0,0,0,0,1,"-","2","2",3,6,0,0,0,0,1,1
"Ob133",2010-09-26 00:00:00.000,"NWA","Datta Khel",32.909136,69.76078,"Evening",0,2,0,1,0,0,0,0,0,1,"-","2","3",3,5,0,0,0,0,1,2
"Ob153",2010-01-11 00:00:00.000,"NWA","Haider Khel",32.945661,70.317135,"Morning",2,2,2,2,0,0,0,0,0,0,"-","2","5",5,6,0,0,0,0,2,2
"Ob183",2011-01-01 00:00:00.000,"NWA","Mohammad Khel",32.957221,69.885192,"Afternoon",0,2,0,1,0,0,0,0,0,1,"-","2","2",4,5,0,0,0,0,0,0
"Ob185",2011-07-01 00:00:00.000,"NWA","Ghar Laley",32.905569,69.748764,"Afternoon",0,3,0,1,0,0,0,0,0,2,"-","2","4",1,6,0,0,0,0,0,0
"Ob188",2011-01-23 00:00:00.000,"NWA","Doga Mada Khel",32.909136,69.76078,"Morning",2,2,1,1,0,0,0,0,1,1,"3","2","2",2,5,0,0,0,0,0,0
"Ob190",2011-01-23 00:00:00.000,"NWA","Razmak",32.699489,69.838715,"Morning",2,2,1,1,0,0,0,0,1,1,"-","2","4",4,6,0,0,0,0,3,3
"Ob193",2011-02-24 00:00:00.000,"NWA","Mohammad Khel",32.957221,69.885192,"Evening",2,2,1,1,0,0,0,0,1,1,"-","2","6",4,7,0,0,0,0,3,2
"Ob211",2011-05-20 00:00:00.000,"NWA","Isha Check Point",32.966934,70.111426,"Evening",0,2,0,1,0,0,0,0,0,1,"4","2","2",4,6,0,0,0,0,0,0
"Ob235",2011-10-08 00:00:00.000,"NWA","Miram Shah",33.00053,70.065479,"Night",2,2,1,1,0,0,0,0,1,1,"4","2","2",8,25,0,0,0,0,3,8
"Ob239",2011-11-09 00:00:00.000,"NWA","Khaso Khel",32.953548,70.26701,"Evening",0,2,0,1,0,0,0,0,0,1,"4","2","2",1,5,0,0,0,0,1,3
"Ob243",2011-10-13 00:00:00.000,"NWA","Danda Darpakhel",33.037625,70.051998,"Morning",0,3,0,1,0,1,0,0,0,1,"-","2","2",1,6,0,0,0,0,4,4
"Ob257",2012-12-01 00:00:00.000,"NWA","Doga Mada Khel",32.909136,69.76078,"Evening",2,2,0,0,0,0,0,0,2,2,"-","2","4",5,9,0,0,0,0,2,3
"Ob269",2012-04-29 00:00:00.000,"NWA","Miram Shah",33.00053,70.065479,"Afternoon",0,2,0,1,0,0,0,1,0,0,"3","2","2",3,6,0,0,0,0,1,3
"Ob273",2012-05-26 00:00:00.000,"NWA","Miram Shah",33.00053,70.065479,"Night",0,2,0,1,0,0,0,1,0,0,"4","2","2",1,4,0,0,0,0,1,2
"Ob280",2012-06-14 00:00:00.000,"NWA","Miram Shah",33.00053,70.065479,"Night",0,2,0,1,0,0,0,1,0,0,"4","2","2",1,4,0,0,0,0,2,3
"Ob288",2012-08-19 00:00:00.000,"NWA","Shawal NWA",32.61581,69.489212,"",0,1,0,1,0,0,0,0,0,0,"-","2","2",2,3,0,0,0,0,2,2
"Ob296",2012-01-10 00:00:00.000,"NWA","Haider Khel",32.945661,70.317135,"Morning",0,1,0,0,0,0,0,0,0,1,"-","2","2",2,4,0,0,0,0,0,0
"Ob315",2013-03-21 00:00:00.000,"NWA","Newey Adda",32.905893,69.749022,"Night",0,2,0,1,0,0,0,0,0,1,"-","2","2",1,4,0,0,0,0,1,1
"Ob322",2013-07-28 00:00:00.000,"NWA","Shawal NWA",32.61581,69.489212,"Evening",0,1,0,1,0,0,0,0,0,0,"4","2","2",5,8,0,0,0,0,2,4
"Ob329",2013-01-11 00:00:00.000,"NWA","Danda Darpakhel",33.037625,70.051998,"Evening",2,2,1,1,0,0,0,0,1,1,"-","2","4",4,7,0,0,0,0,2,2
"B2",2005-08-05 00:00:00.000,"NWA","Toorikhel",32.938927,70.247355,"Night",1,1,0,0,0,0,0,0,1,1,"-","Unreported","Unreported",2,2,0,0,0,0,0,0
"B23",2008-02-09 00:00:00.000,"NWA","Mohammad Khel",32.957221,69.885192,"",1,1,1,1,0,0,0,0,0,0,"-","Unreported","Unreported",0,10,0,0,0,0,0,1
"B24",2008-04-09 00:00:00.000,"NWA","Mohammad Khel",32.957221,69.885192,"Afternoon",1,1,1,1,0,0,0,0,0,0,"3","Unreported","Unreported",5,7,0,0,0,0,3,4
"B29",2008-09-30 00:00:00.000,"NWA","Khushali",32.938927,70.247355,"Night",1,1,1,1,0,0,0,0,0,0,"-","1","4",4,8,0,0,0,0,5,9
"Ob28",2009-07-17 00:00:00.000,"NWA","Garyom",32.716316,70.002737,"",1,2,1,2,0,0,0,0,0,0,"4","1","4",5,6,0,0,0,0,4,6
"Ob35",2009-09-14 00:00:00.000,"NWA","Khushali",32.938927,70.247355,"Night or morning",0,1,0,0,0,0,0,0,0,1,"-","Unreported","Unreported",5,5,0,0,0,0,2,3
"Ob41",2009-10-21 00:00:00.000,"NWA","Spalaga",32.923582,70.126977,"",1,1,1,1,0,0,0,0,0,0,"-","Unreported","Unreported",3,3,0,0,0,0,8,8
"Ob60",2010-01-15 00:00:00.000,"NWA","Zanani",32.971444,70.278168,"Evening",1,1,1,1,0,0,0,0,0,0,"4","4","5",5,10,0,0,0,0,3,3
"Ob64",2010-01-29 00:00:00.000,"NWA","Mohammad Khel",32.957221,69.885192,"Night",1,1,1,1,0,0,0,0,0,0,"-","3","3",2,15,0,0,0,0,4,4
"Ob65",2010-02-02 00:00:00.000,"NWA","Deegan",32.960354,69.867332,"",1,5,1,3,0,0,0,0,0,2,"4","16","19",23,24,0,0,0,0,0,0
"Ob66",2010-02-02 00:00:00.000,"NWA","Mohammad Khel",32.957221,69.885192,"",0,0,0,0,0,0,0,0,0,0,"-","Unreported","Unreported",0,0,0,0,0,0,0,0
"Ob67",2010-02-02 00:00:00.000,"NWA","Pai Khel",32.971084,69.839566,"",2,2,0,0,0,0,0,0,2,2,"-","Unreported","Unreported",0,0,0,0,0,0,0,0
"Ob70",2010-02-15 00:00:00.000,"NWA","Ghundikala",32.976448,70.244737,"Morning",1,1,0,0,0,0,0,0,1,1,"-","1","2",4,5,0,0,0,0,0,0
"Ob74",2010-08-03 00:00:00.000,"NWA","Miram Shah",33.00053,70.065479,"Evening",0,3,0,1,0,0,0,2,0,0,"4","3","5",9,9,0,0,0,0,2,2
"Ob75",2010-10-03 00:00:00.000,"NWA","Mizar Madakhel",32.906109,69.748807,"Afternoon or evening",0,2,0,1,0,0,0,0,0,1,"4","3","7",7,8,0,0,0,0,12,12
"Ob78",2010-03-17 00:00:00.000,"NWA","Hamzoni",32.97364,69.983339,"Morning",0,3,0,1,0,0,0,0,0,2,"4","4","5",3,5,0,0,0,0,4,4
"Ob86",2010-04-16 00:00:00.000,"NWA","Tol Khel",33.074677,70.144304,"Afternoon",3,3,1,1,0,0,0,0,2,2,"-","5","6",3,4,0,0,0,0,2,2
"Ob87",2010-04-24 00:00:00.000,"NWA","Machi Khel",33.030398,70.247011,"Evening",1,1,1,1,0,0,0,0,0,0,"-","3","3",7,9,0,0,0,0,0,0
"Ob88",2010-04-26 00:00:00.000,"NWA","Khushali",32.938927,70.247355,"Morning",0,2,0,1,0,1,0,0,0,0,"-","3","3",3,8,0,0,0,0,3,3
"Ob97",2010-11-06 00:00:00.000,"NWA","Mizar Madakhel",32.906109,69.748807,"Morning",1,1,1,1,0,0,0,0,0,0,"4","3","6",10,15,0,0,0,0,10,12
"Ob98",2010-06-19 00:00:00.000,"NWA","Haider Khel",32.945661,70.317135,"Morning",0,2,0,1,0,0,0,1,0,0,"4","1","2",16,17,0,0,0,0,10,18
"Ob99",2010-06-26 00:00:00.000,"NWA","Khushali",32.938927,70.247355,"Night or morning",1,2,1,2,0,0,0,0,0,0,"4","1","2",2,4,0,0,0,0,1,3
"Ob110",2010-08-23 00:00:00.000,"NWA","Darga Mandi",33.040435,70.047863,"Evening",1,1,1,1,0,0,0,0,0,0,"-","3","3",5,7,0,0,0,0,3,12
"Ob115",2010-03-09 00:00:00.000,"NWA","Khadar Khel",32.97355,69.62063,"Evening",0,1,0,1,0,0,0,0,0,0,"4","3","4",2,4,0,0,0,0,2,2
"Ob116",2010-04-09 00:00:00.000,"NWA","Maizer",32.906109,69.748807,"Evening",1,3,1,1,0,0,0,0,0,2,"-","Unreported","Unreported",7,8,0,0,0,0,12,12
"Ob123",2010-09-14 00:00:00.000,"NWA","Bushnarai",32.583271,69.455566,"Morning",1,1,1,1,0,0,0,0,0,0,"-","3","6",11,12,0,0,0,0,4,4
"Ob126",2010-09-15 00:00:00.000,"NWA","Pai Khel",32.971084,69.839566,"Evening",1,1,1,1,0,0,0,0,0,0,"-","Unreported","Unreported",4,7,0,0,0,0,3,3
"Ob131",2010-09-25 00:00:00.000,"NWA","Datta Khel",32.909136,69.76078,"Afternoon",1,1,0,0,0,0,0,0,1,1,"-","3","2",2,4,0,0,0,0,0,0
"Ob132",2010-09-26 00:00:00.000,"NWA","Lawra Mandi",32.97922,69.496036,"",0,2,0,1,0,0,0,0,0,1,"-","5","5",4,5,0,0,0,0,2,2
"Ob134",2010-09-26 00:00:00.000,"NWA","Sheerani",32.884272,69.654522,"",1,1,0,0,0,0,0,0,1,1,"-","Unreported","Unreported",2,3,0,0,0,0,0,0
