Borough,Incident Zip,Latitude (generated),Longitude (generated),Number of Records
"MANHATTAN",10017,40.7532,-73.9733,86
"MANHATTAN",10004,40.706,-74.0126,43
"MANHATTAN",10069,40.7772,-73.9888,31
"MANHATTAN",10005,40.7059,-74.0071,25
"MANHATTAN",10280,40.7076,-74.0166,21
"MANHATTAN",10282,40.7175,-74.0145,14
"MANHATTAN",10162,40.7525,-73.9792,10
"MANHATTAN",10044,40.761,-73.9511,10
"MANHATTAN",10020,40.7581,-73.979,2
"MANHATTAN",10271,40.7087,-74.0104,1
"MANHATTAN",10174,40.7519,-73.9778,1
"MANHATTAN",10151,40.7633,-73.9732,1
"MANHATTAN",10121,40.7497,-73.9917,1
"MANHATTAN",10120,40.75,-73.9887,1
"MANHATTAN",10118,40.7485,-73.9847,1
"MANHATTAN",10112,40.7592,-73.9803,1
"MANHATTAN",10111,40.7592,-73.9784,1
"MANHATTAN",10048,40.7126,-74.0097,1
"BROOKLYN",11221,40.6924,-73.9262,3424
"BROOKLYN",11216,40.6792,-73.9493,2826
"BROOKLYN",11238,40.6777,-73.9631,2570
"BROOKLYN",11233,40.6789,-73.9201,2163
"BROOKLYN",11207,40.6658,-73.8925,1937
"BROOKLYN",11385,40.7037,-73.9065,1
"BROOKLYN",10458,40.8611,-73.8899,1
"BROOKLYN",11206,40.7032,-73.9469,1673
"BROOKLYN",11217,40.6827,-73.9784,1596
"BROOKLYN",11215,40.6689,-73.9819,1588
"BROOKLYN",11213,40.6698,-73.9357,1588
"BROOKLYN",11226,40.6476,-73.9585,1569
"BROOKLYN",11211,40.7103,-73.9569,1540
"BROOKLYN",11237,40.7024,-73.9198,1508
"BROOKLYN",11225,40.6629,-73.956,1219
"BROOKLYN",11203,40.6554,-73.9335,1187
"BROOKLYN",11212,40.6608,-73.9201,1185
"BROOKLYN",11205,40.6924,-73.9618,1122
"BROOKLYN",11208,40.6734,-73.8702,1101
"BROOKLYN",11222,40.7299,-73.9525,1093
"BROOKLYN",11201,40.692,-73.9918,745
"BROOKLYN",11235,40.5818,-73.9597,692
"BROOKLYN",11236,40.6457,-73.8972,640
"BROOKLYN",11214,40.6032,-73.9962,567
"BROOKLYN",11231,40.6796,-73.9999,556
"BROOKLYN",11234,40.6306,-73.9235,513
"BROOKLYN",11230,40.6274,-73.966,473
"BROOKLYN",11220,40.6417,-74.0169,465
"BROOKLYN",11218,40.6402,-73.974,463
"BROOKLYN",11219,40.6367,-73.993,456
"BROOKLYN",11223,40.6009,-73.9786,452
"BROOKLYN",11210,40.6333,-73.9466,435
"BROOKLYN",11249,40.7128,-73.9627,377
"BROOKLYN",11204,40.6149,-73.9858,324
"BROOKLYN",11224,40.5756,-73.9952,311
"BROOKLYN",11229,40.6024,-73.955,303
"BROOKLYN",11209,40.6192,-74.0334,281
"BROOKLYN",11416,40.6835,-73.8493,2
"BROOKLYN",11232,40.6499,-74.0019,207
"BROOKLYN",11228,40.618,-74.0072,195
"BROOKLYN",11426,40.7292,-73.7242,1
"BROOKLYN",11239,40.6484,-73.8804,9
"BROOKLYN",11242,40.6934,-73.9909,1
"BROOKLYN",11202,40.6961,-73.9899,1
"BRONX",10467,40.8781,-73.8792,2026
"BRONX",10456,40.8308,-73.9118,1957
"BRONX",10457,40.8491,-73.8989,1849
"BRONX",10458,40.8611,-73.8899,1747
"BRONX",10453,40.8526,-73.9093,1419
"BRONX",10468,40.8655,-73.9014,1414
"BRONX",10026,40.8021,-73.953,1
"BRONX",10452,40.8368,-73.9216,1301
"BRONX",10459,40.8261,-73.8932,1169
"BRONX",10462,40.8379,-73.8561,1135
"BRONX",10460,40.8403,-73.8846,1113
"BRONX",10472,40.8299,-73.8754,1086
"BRONX",10463,40.8753,-73.9121,892
"BRONX",10455,40.8156,-73.9051,905
"BRONX",10451,40.8223,-73.9204,903
"BRONX",10469,40.8746,-73.8529,772
"BRONX",10466,40.8906,-73.8568,638
"BRONX",10454,40.8077,-73.92,624
"BRONX",10474,40.8134,-73.8879,405
"BRONX",10473,40.82,-73.8643,398
"BRONX",10461,40.8474,-73.8309,395
"BRONX",10465,40.826,-73.8216,377
"BRONX",10470,40.8986,-73.8688,219
"BRONX",10471,40.9038,-73.9008,175
"BRONX",10475,40.877,-73.8299,82
"BRONX",10464,40.868899999999996,-73.803,53
