Id,College Owner ID,Rating,College Name,Phone,College Site,Fax,Parent College ID,Website,College Number,Ticker Symbol,College Type,Ownership,Industry,Employees,Annual Revenue,SIC Code,Created by ID,Modified by ID,Created Time,Modified Time,Billing Street,Shipping Street,Billing City,Shipping City,Billing State,Shipping State,Billing Code,Shipping Code,Billing Country,Shipping Country,Description,ERP System,Initial Contact Date,Student (FTE) Headcount,Institution Level,Status,College Mailing Street Name,College Mailing Street Two,College City,College State,College Zip Code,College,ERP Services,SIG Client,ContractStartDate,Contract End Date,Contract Monthly Rate,Current Hourly Rate-Onsite,Institution Type,Contract Loaded Rate (Expenses),Current Hourly Rate-Remote,Next Scheduled Increase Date,Special Group Rate,Next Schedule Rate-Onsite,Associated Institution ID,Project Domain Name,Contract Type,Contract Notes Special Provisions,Initital Date of Busines,Contract Rate Notes,PO Number,Total Contract Amount,NTE Amount,Other ERP Systems,Original Contract Date,Original Contract Rate,Send Invoices To,Maximum Travel Time,Contract2 Start Date,Contract2 End Date,Current2 Hourly Rate-Onsite,Contract2 Monthly Rate,Contract2 Next Increase Date,Contract2 Next Increase Rate,Contract2 Notes,IT Services,Reporting Services,Procurement Services,Vendor Selected,Currency,Exchange Rate,NDA,Background Check,Exclude from Client Lists,Last Activity Time,Meals Included,Test,PM,FICE,Next Schedule Rate-Remote,Next Renewal Date,Previous Renewal Date,New Renewal Status,Current2 Hourly Rate-Remote,Per Diem?,Full Per Diem Rate,Is There Per Diem?,Partial Per Diem Rate,Layout ID,PO Contact,Score,Positive Score,Negative Score,Positive Touch Point Score,Touch Point Score,Negative Touch Point Score,Tag,Survival Clause,Contract Survival Clause,Special Reporting Reqmts,PO Roll Notes,College Image,User Modified Time,System Related Activity Time,User Related Activity Time,System Modified Time
"zcrm_210617000003382674","zcrm_210617000002355001","","Alexandria Technical & Community College","","","","","www.alextech.edu",0,"","","","",0,0,0,"zcrm_210617000002355001","zcrm_210617000002355001",2015-04-02 16:38:00.000,2015-04-02 16:38:00.000,"","","","","","",,"","","","","",,2877,"Two Year","","1601 Jefferson Street","","Alexandria","MN","56308-2796","","","No",,,,,"Public",,,,"",,"","","","",,"","",,,"",,,"","",,,,,"",,"","","","","","","","","","No",2015-04-02 16:38:00.000,"No","","","5544",,,,"Not Due",,"",,"",,"","",0,0,0,0,0,0,"","","","","","",,,,""
"zcrm_210617000003382675","zcrm_210617000002355001","","Alfred State College","","","","","www.alfredstate.edu",0,"","","","",0,0,0,"zcrm_210617000002355001","zcrm_210617000002355001",2015-04-02 16:38:00.000,2015-04-02 16:38:00.000,"","","","","","",,"","","","","",,3528,"Four Year","","10 Upper College Drive","","Alfred","NY","14802-1196","","","No",,,,,"Public",,,,"",,"","","","",,"","",,,"",,,"","",,,,,"",,"","","","","","","","","","No",2015-04-02 16:38:00.000,"No","","","2854",,,,"Not Due",,"",,"",,"","",0,0,0,0,0,0,"","","","","","",,,,""
"zcrm_210617000003382677","zcrm_210617000002355001","","Allegany College of Maryland","","","","","www.allegany.edu",0,"","","","",0,0,0,"zcrm_210617000002355001","zcrm_210617000002355001",2015-04-02 16:38:00.000,2015-04-02 16:38:00.000,"","","","","","",,"","","","","",,3672,"Two Year","","12401 Willowbrook Road, SE","","Cumberland","MD","21502-2596","","","No",,,,,"Public",,,,"",,"","","","",,"","",,,"",,,"","",,,,,"",,"","","","","","","","","","No",2015-04-02 16:38:00.000,"No","","","2057",,,,"Not Due",,"",,"",,"","",0,0,0,0,0,0,"","","","","","",,,,""
"zcrm_210617000003382678","zcrm_210617000002355001","","Allegheny College","","","","","www.allegheny.edu",0,"","","","",0,0,0,"zcrm_210617000002355001","zcrm_210617000002355001",2015-04-02 16:38:00.000,2015-04-02 16:38:00.000,"","","","","","",,"","","","","",,2140,"Four Year","","520 N Main St.","","Meadville","PA","16335-3902","","","No",,,,,"Private",,,,"",,"","","","",,"","",,,"",,,"","",,,,,"",,"","","","","","","","","","No",2015-04-02 16:38:00.000,"No","","","3230",,,,"Not Due",,"",,"",,"","",0,0,0,0,0,0,"","","","","","",,,,""
"zcrm_210617000003382679","zcrm_210617000002355001","","Allied American University","","","","","www.allied.edu",0,"","","","",0,0,0,"zcrm_210617000002355001","zcrm_210617000002355001",2015-04-02 16:38:00.000,2015-04-02 16:38:00.000,"","","","","","",,"","","","","",,3061,"Four Year","","22952 Alcalde Drive","","Laguna Hills","CA","92653-1337","","","No",,,,,"Proprietary",,,,"",,"","","","",,"","",,,"",,,"","",,,,,"",,"","","","","","","","","","No",2015-04-02 16:38:00.000,"No","","","41893",,,,"Not Due",,"",,"",,"","",0,0,0,0,0,0,"","","","","","",,,,""
"zcrm_210617000003382680","zcrm_210617000002355001","","Alvernia University","","","","","www.alvernia.edu",0,"","","","",0,0,0,"zcrm_210617000002355001","zcrm_210617000002355001",2015-04-02 16:38:00.000,2015-04-02 16:38:00.000,"","","","","","",,"","","","","",,2891,"Four Year","","400 Saint Bernardine Street","","Reading","PA","19607-1799","","","No",,,,,"Private",,,,"",,"","","","",,"","",,,"",,,"","",,,,,"",,"","","","","","","","","","No",2015-04-02 16:38:00.000,"No","","","3233",,,,"Not Due",,"",,"",,"","",0,0,0,0,0,0,"","","","","","",,,,""
"zcrm_210617000003382681","zcrm_210617000002355001","","Alverno College","","","","","www.alverno.edu",0,"","","","",0,0,0,"zcrm_210617000002355001","zcrm_210617000002355001",2015-04-02 16:38:00.000,2015-04-02 16:38:00.000,"","","","","","",,"","","","","",,2522,"Four Year","","3400 S 43rd Street, Box 343922","","Milwaukee","WI","53234-3922","","","No",,,,,"Private",,,,"",,"","","","",,"","",,,"",,,"","",,,,,"",,"","","","","","","","","","No",2015-04-02 16:38:00.000,"No","","","3832",,,,"Not Due",,"",,"",,"","",0,0,0,0,0,0,"","","","","","",,,,""
"zcrm_210617000003382682","zcrm_210617000002355001","","Alvin Community College","","","","","www.alvincollege.edu",0,"","","","",0,0,0,"zcrm_210617000002355001","zcrm_210617000002355001",2015-04-02 16:38:00.000,2015-04-02 16:38:00.000,"","","","","","",,"","","","","",,5190,"Two Year","","3110 Mustang Road","","Alvin","TX","77511-4898","","","No",,,,,"Public",,,,"",,"","","","",,"","",,,"",,,"","",,,,,"",,"","","","","","","","","","No",2015-04-02 16:38:00.000,"No","","","3539",,,,"Not Due",,"",,"",,"","",0,0,0,0,0,0,"","","","","","",,,,""
"zcrm_210617000003382683","zcrm_210617000002355001","","Amarillo College","","","","","www.actx.edu",0,"","","","",0,0,0,"zcrm_210617000002355001","zcrm_210617000002355001",2015-04-02 16:38:00.000,2015-04-02 16:38:00.000,"","","","","","",,"","","","","",,11426,"Two Year","","PO Box 447","","Amarillo","TX","79178-0001","","","No",,,,,"Public",,,,"",,"","","","",,"","",,,"",,,"","",,,,,"",,"","","","","","","","","","No",2015-04-02 16:38:00.000,"No","","","3540",,,,"Not Due",,"",,"",,"","",0,0,0,0,0,0,"","","","","","",,,,""
"zcrm_210617000003382684","zcrm_210617000002355001","","American College of Education","","","","","www.ace.edu",0,"","","","",0,0,0,"zcrm_210617000002355001","zcrm_210617000002355001",2015-04-02 16:38:00.000,2015-04-02 16:38:00.000,"","","","","","",,"","","","","",,3423,"Professional","","101 West Ohio St., Suite 1200","","Indianapolis","IN","46204","","","No",,,,,"Proprietary",,,,"",,"","","","",,"","",,,"",,,"","",,,,,"",,"","","","","","","","","","No",2015-04-02 16:38:00.000,"No","","","666242",,,,"Not Due",,"",,"",,"","",0,0,0,0,0,0,"","","","","","",,,,""
"zcrm_210617000003382685","zcrm_210617000002355001","","American InterContinental University","","","","","www.aiuonline.edu",0,"","","","",0,0,0,"zcrm_210617000002355001","zcrm_210617000002355001",2015-04-02 16:38:00.000,2015-04-02 16:38:00.000,"","","","","","",,"","","","","",,14170,"Four Year","","231 North Martingale Rd, 6th Fl","","Schaumburg","IL","60173","","","No",,,,,"Proprietary",,,,"",,"","","","",,"","",,,"",,,"","",,,,,"",,"","","","","","","","","","No",2015-04-02 16:38:00.000,"No","","","21136",,,,"Not Due",,"",,"",,"","",0,0,0,0,0,0,"","","","","","",,,,""
"zcrm_210617000003382686","zcrm_210617000002355001","","American International College","","","","","www.aic.edu",0,"","","","",0,0,0,"zcrm_210617000002355001","zcrm_210617000002355001",2015-04-02 16:38:00.000,2015-04-02 16:38:00.000,"","","","","","",,"","","","","",,3607,"Four Year","","1000 State Street","","Springfield","MA","01109-3155","","","No",,,,,"Private",,,,"",,"","","","",,"","",,,"",,,"","",,,,,"",,"","","","","","","","","","No",2015-04-02 16:38:00.000,"No","","","2114",,,,"Not Due",,"",,"",,"","",0,0,0,0,0,0,"","","","","","",,,,""
"zcrm_210617000003382687","zcrm_210617000002355001","","American Public University System","","","","","www.apus.edu",0,"","","","",0,0,0,"zcrm_210617000002355001","zcrm_210617000002355001",2015-04-02 16:38:00.000,2015-04-02 16:38:00.000,"","","","","","",,"","","","","",,58115,"Four Year","","111 W Congress Street","","Charles Town","WV","25414-1621","","","No",,,,,"Proprietary",,,,"",,"","","","",,"","",,,"",,,"","",,,,,"",,"","","","","","","","","","No",2016-09-05 07:46:00.000,"No","","","35393",,,,"Not Due",,"",,"",,"","",0,0,0,0,0,0,"","","","","","",,,,""
"zcrm_210617000003382688","zcrm_210617000002355001","","American River College","","","","","www.arc.losrios.edu",0,"","","","",0,0,0,"zcrm_210617000002355001","zcrm_210617000002355001",2015-04-02 16:38:00.000,2015-04-02 16:38:00.000,"","","","","","",,"","","","","",,32868,"Two Year","","4700 College Oak Drive","","Sacramento","CA","95841-4286","","","No",,,,,"Public",,,,"",,"","","","",,"","",,,"",,,"","",,,,,"",,"","","","","","","","","","No",2015-04-02 16:38:00.000,"No","","","1232",,,,"Not Due",,"",,"",,"","",0,0,0,0,0,0,"","","","","","",,,,""
"zcrm_210617000003382689","zcrm_210617000002355001","","American Sentinel University","","","","","www.americansentinel.edu",0,"","","","",0,0,0,"zcrm_210617000002355001","zcrm_210617000002355001",2015-04-02 16:38:00.000,2015-04-02 16:38:00.000,"","","","","","",,"","","","","",,2817,"Four Year","","2260 South Xanadu Way, Ste 310","","Aurora","CO","80014","","","No",,,,,"Proprietary",,,,"",,"","","","",,"","",,,"",,,"","",,,,,"",,"","","","","","","","","","No",2015-04-02 16:38:00.000,"No","","","41277",,,,"Not Due",,"",,"",,"","",0,0,0,0,0,0,"","","","","","",,,,""
"zcrm_210617000003382690","zcrm_210617000002355001","","American University","","","","","www.american.edu",0,"","","","",0,0,0,"zcrm_210617000002355001","zcrm_210617000002355001",2015-04-02 16:38:00.000,2015-04-02 16:38:00.000,"","","","","","",,"","","","","",,13165,"Four Year","","4400 Massachusetts Avenue, NW","","Washington","DC","20016","","","No",,,,,"Private",,,,"",,"","","","",,"","",,,"",,,"","",,,,,"",,"","","","","","","","","","No",2015-04-02 16:38:00.000,"No","","","1434",,,,"Not Due",,"",,"",,"","",0,0,0,0,0,0,"","","","","","",,,,""
"zcrm_210617000003382691","zcrm_210617000002355001","","American University of Puerto Rico","","","","","www.aupr.edu",0,"","","","",0,0,0,"zcrm_210617000002355001","zcrm_210617000002355001",2015-04-02 16:38:00.000,2015-04-02 16:38:00.000,"","","","","","",,"","","","","",,2460,"Four Year","","Box 2037","","Bayamon","PR","00960-2037","","","No",,,,,"Private",,,,"",,"","","","",,"","",,,"",,,"","",,,,,"",,"","","","","","","","","","No",2015-04-02 16:38:00.000,"No","","","11941",,,,"Not Due",,"",,"",,"","",0,0,0,0,0,0,"","","","","","",,,,""
"zcrm_210617000003382692","zcrm_210617000002355001","","Andrews University","","","","","www.andrews.edu",0,"","","","",0,0,0,"zcrm_210617000002355001","zcrm_210617000002355001",2015-04-02 16:38:00.000,2015-04-02 16:38:00.000,"","","","","","",,"","","","","",,3551,"Four Year","","8975 U.S. 31","","Berrien Springs","MI","49104-0001","","","No",,,,,"Private",,,,"",,"","","","",,"","",,,"",,,"","",,,,,"",,"","","","","","","","","","No",2015-04-02 16:38:00.000,"No","","","2238",,,,"Not Due",,"",,"",,"","",0,0,0,0,0,0,"","","","","","",,,,""
"zcrm_210617000003382694","zcrm_210617000002355001","","Anne Arundel Community College","","","","","www.aacc.edu",0,"","","","",0,0,0,"zcrm_210617000002355001","zcrm_210617000002355001",2015-04-02 16:38:00.000,2015-04-02 16:38:00.000,"","","","","","",,"","","","","",,17650,"Two Year","","101 College Parkway","","Arnold","MD","21012-1895","","","No",,,,,"Public",,,,"",,"","","","",,"","",,,"",,,"","",,,,,"",,"","","","","","","","","","No",2015-04-02 16:38:00.000,"No","","","2058",,,,"Not Due",,"",,"",,"","",0,0,0,0,0,0,"","","","","","",,,,""
"zcrm_210617000003382695","zcrm_210617000002355001","","Anoka Technical College","","","","","www.anokatech.edu",0,"","","","",0,0,0,"zcrm_210617000002355001","zcrm_210617000002355001",2015-04-02 16:38:00.000,2015-04-02 16:38:00.000,"","","","","","",,"","","","","",,2184,"Two Year","","1355 W Highway 10","","Anoka","MN","55303-1590","","","No",,,,,"Public",,,,"",,"","","","",,"","",,,"",,,"","",,,,,"",,"","","","","","","","","","No",2015-04-02 16:38:00.000,"No","","","7350",,,,"Not Due",,"",,"",,"","",0,0,0,0,0,0,"","","","","","",,,,""
"zcrm_210617000003382696","zcrm_210617000002355001","","Anoka-Ramsey Community College","","","","","www.anokaramsey.edu",0,"","","","",0,0,0,"zcrm_210617000002355001","zcrm_210617000002355001",2015-04-02 16:38:00.000,2015-04-02 16:38:00.000,"","","","","","",,"","","","","",,9485,"Two Year","","11200 Mississippi Boulevard NW","","Coon Rapids","MN","55433-3499","","","No",,,,,"Public",,,,"",,"","","","",,"","",,,"",,,"","",,,,,"",,"","","","","","","","","","No",2015-04-02 16:38:00.000,"No","","","2332",,,,"Not Due",,"",,"",,"","",0,0,0,0,0,0,"","","","","","",,,,""
"zcrm_210617000003382697","zcrm_210617000002355001","","Aquinas College","","","","","www.aquinas.edu",0,"","","","",0,0,0,"zcrm_210617000002355001","zcrm_210617000002355001",2015-04-02 16:38:00.000,2015-04-02 16:38:00.000,"","","","","","",,"","","","","",,2093,"Four Year","","1607 Robinson Road, SE","","Grand Rapids","MI","49506-1799","","","No",,,,,"Private",,,,"",,"","","","",,"","",,,"",,,"","",,,,,"",,"","","","","","","","","","No",2015-04-02 16:38:00.000,"No","","","2239",,,,"Not Due",,"",,"",,"","",0,0,0,0,0,0,"","","","","","",,,,""
"zcrm_210617000003382698","zcrm_210617000002355001","","Arapahoe Community College","","","","","www.arapahoe.edu",0,"","","","",0,0,0,"zcrm_210617000002355001","zcrm_210617000002355001",2015-04-02 16:38:00.000,2015-04-02 16:38:00.000,"","","","","","",,"","","","","",,9819,"Two Year","","5900 S Santa Fe Drive, PO Box 9002","","Littleton","CO","80160-9002","","","No",,,,,"Public",,,,"",,"","","","",,"","",,,"",,,"","",,,,,"",,"","","","","","","","","","No",2015-04-02 16:38:00.000,"No","","","1346",,,,"Not Due",,"",,"",,"","",0,0,0,0,0,0,"","","","","","",,,,""
"zcrm_210617000003382699","zcrm_210617000002355001","","Arcadia University","","","","","www.arcadia.edu",0,"","","","",0,0,0,"zcrm_210617000002355001","zcrm_210617000002355001",2015-04-02 16:38:00.000,2015-04-02 16:38:00.000,"","","","","","",,"","","","","",,4027,"Four Year","","450 S Easton Road","","Glenside","PA","19038-3295","","","No",,,,,"Private",,,,"",,"","","","",,"","",,,"",,,"","",,,,,"",,"","","","","","","","","","No",2015-04-02 16:38:00.000,"No","","","3235",,,,"Not Due",,"",,"",,"","",0,0,0,0,0,0,"","","","","","",,,,""
"zcrm_210617000003382700","zcrm_210617000002355001","","Argosy University, Atlanta","","","","","www.argosy.edu/atlanta",0,"","","","",0,0,0,"zcrm_210617000002355001","zcrm_210617000002355001",2015-04-02 16:38:00.000,2015-04-02 16:38:00.000,"","","","","","",,"","","","","",,2197,"Four Year","","980 Hammond Drive, Suite 100","","Atlanta","GA","30328-6162","","","No",,,,,"Proprietary",,,,"",,"","","","",,"","",,,"",,,"","",,,,,"",,"","","","","","","","","","No",2015-04-02 16:38:00.000,"No","","","666735",,,,"Not Due",,"",,"",,"","",0,0,0,0,0,0,"","","","","","",,,,""
"zcrm_210617000003382701","zcrm_210617000002355001","","Arizona State University","","","","","www.asu.edu",0,"","","","",0,0,0,"zcrm_210617000002355001","zcrm_210617000002355001",2015-04-02 16:38:00.000,2015-04-02 16:38:00.000,"","","","","","",,"","","","","",,73378,"Four Year","","300 E. University Drive","","Tempe","AZ","85281","","","No",,,,,"Public",,,,"",,"","","","",,"","",,,"",,,"","",,,,,"",,"","","","","","","","","","No",2015-04-02 16:38:00.000,"No","","","1081",,,,"Not Due",,"",,"",,"","",0,0,0,0,0,0,"","","","","","",,,,""
"zcrm_210617000003382702","zcrm_210617000002355001","","Arizona Western College","","","","","www.azwestern.edu",0,"","","","",0,0,0,"zcrm_210617000002355001","zcrm_210617000002355001",2015-04-02 16:38:00.000,2015-04-02 16:38:00.000,"","","","","","",,"","","","","",,8000,"Two Year","","2020 Avenue 8E","","Yuma","AZ","85365","","","No",,,,,"Public",,,,"",,"","","","",,"","",,,"",,,"","",,,,,"",,"","","","","","","","","","No",2015-04-02 16:38:00.000,"No","","","1071",,,,"Not Due",,"",,"",,"","",0,0,0,0,0,0,"","","","","","",,,,""
"zcrm_210617000003382703","zcrm_210617000002355001","","Arkansas State University-Newport","","","","","www.asun.edu",0,"","","","",0,0,0,"zcrm_210617000002355001","zcrm_210617000002355001",2015-04-02 16:38:00.000,2015-04-02 16:38:00.000,"","","","","","",,"","","","","",,2043,"Two Year","","7648 Victory Boulevard","","Newport","AR","72112-8912","","","No",,,,,"Public",,,,"",,"","","","",,"","",,,"",,,"","",,,,,"",,"","","","","","","","","","No",2015-04-02 16:38:00.000,"No","","","666153",,,,"Not Due",,"",,"",,"","",0,0,0,0,0,0,"","","","","","",,,,""
"zcrm_210617000003382705","zcrm_210617000002355001","","Art Institute of Philadelphia","","","","","http://www.artinstitutes.edu/philadelphia/",0,"","","","",0,0,0,"zcrm_210617000002355001","zcrm_210617000002355001",2015-04-02 16:38:00.000,2015-04-02 16:38:00.000,"","","","","","",,"","","","","",,2820,"Four Year","","1622 Chestnut Street","","Philadelphia","PA","19103-5198","","","No",,,,,"Proprietary",,,,"",,"","","","",,"","",,,"",,,"","",,,,,"",,"","","","","","","","","","No",2015-04-02 16:38:00.000,"No","","","8350",,,,"Not Due",,"",,"",,"","",0,0,0,0,0,0,"","","","","","",,,,""
"zcrm_210617000003382706","zcrm_210617000002355001","","Art Institute of Pittsburgh","","","","","www.artinstitutes.edu/pittsburgh",0,"","","","",0,0,0,"zcrm_210617000002355001","zcrm_210617000002355001",2015-04-02 16:38:00.000,2015-04-02 16:38:00.000,"","","","","","",,"","","","","",,16000,"Four Year","","420 Boulevard of the Allies","","Pittsburgh","PA","15219-1301","","","No",,,,,"Proprietary",,,,"",,"","","","",,"","",,,"",,,"","",,,,,"",,"","","","","","","","","","No",2015-04-02 16:38:00.000,"No","","","7470",,,,"Not Due",,"",,"",,"","",0,0,0,0,0,0,"","","","","","",,,,""
