Product Key,ProductSubcategoryKey,ProductSKU,ProductName,Product Code,ProductDescription,Product Units,Product Style,ProductCost,ProductPrice
282,42,"PD-M562","Red Label Ctc Tea Regular Ct","ACXU405","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","0",131.42,151.42
283,42,"PD-R347","Nescafe Coffee Classic Jar Qty","ACXU406","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","S",131.76,151.76
284,42,"PD-R563","Red Label Tea Natural Care Box Qty","ACXU407","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","S",132.1,152.1
285,42,"PD-R853","Red Label Ctc Tea Regular Box Qty","ACXU408","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","M",132.44,152.44
286,42,"PD-T852","Red Label Tea Natural Care Packet","ACXU409","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","U",132.78,152.78
287,43,"FR-M63S-38","Munch Mate Combo Set Qty","ACXU410","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","M",133.12,153.12
288,43,"BK-R50R-52","Tiffin Assorted Qty","ACXU411","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","U",133.46,153.46
289,43,"BK-R50B-58","Ppc-40 - Hungry Time Lunch Container Qty","ACXU412","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","0",133.8,153.8
290,43,"BK-R50B-60","Ppc-43-Happy Bite Lunch Container Qty","ACXU413","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","0",134.14,154.14
291,43,"BK-R50B-62","Ppc-36 - Half Time Lunch Container Qty","ACXU414","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","S",134.48,154.48
292,43,"BK-R50B-44","Ppt-63-Happytime Combo Junior Qty","ACXU415","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","S",134.82,154.82
293,43,"BK-R50B-48","Ppt-62 - Happy Time Combo Qty","ACXU416","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","M",135.16,155.16
294,43,"BK-R50B-52","Sports-22-Hyper Locked Combo Junior Qty","ACXU417","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","U",135.5,155.5
295,43,"BK-M82S-38","Ht-333 - Hungry Time Combo Qty","ACXU418","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","M",135.84,155.84
296,43,"BK-M82S-42","Ppc-26 - Hungry Kya Lunch Container","ACXU419","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","U",136.18,156.18
297,43,"BK-M82S-44","Ppc-45 - Happy Bite Plus Lunch Container Qty","ACXU420","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","0",136.52,156.52
298,43,"BK-M82S-48","Servewell 5 Partition Plate Mickey Qty","ACXU421","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","0",136.86,156.86
299,44,"BK-M82B-38","T7439-Barbie Brand Entry Doll Ast Qty","ACXU422","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","S",137.2,157.2
300,44,"BK-M82B-42","Djr56 Barbie Pets Set Qty","ACXU423","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","S",137.54,157.54
301,44,"BK-M82B-44","Dmx78 Barbie Fashion Shoes Qty","ACXU424","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","M",137.88,157.88
302,44,"BK-M82B-48","Djp92 Barbie Hair Accessory Set Qty","ACXU425","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","U",138.22,158.22
303,44,"BK-M68S-38","Doremon Colouring & Activity Book Qty","ACXU426","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","M",138.56,158.56
304,44,"BK-M68S-42","Best Of Fairy Tales","ACXU427","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","U",138.9,158.9
305,44,"BK-M68S-46","Favourite Childrens Stories","ACXU428","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","0",139.24,159.24
306,45,"FW-M928","Mamy Poko Pants Baby Diaper Small Qty","ACXU429","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","0",139.58,159.58
307,45,"FW-R623","Pampers Pants Active Baby Medium 60 Pieces Qty","ACXU430","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","S",139.92,159.92
308,45,"FW-R762","Johnson & Johnson Baby Shampoo No More Tear Qty","ACXU431","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","S",140.26,160.26
309,45,"FW-R820","Johnson & Johnson Baby Wipes Softcare 20 Pieces Qty","ACXU432","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","M",140.6,160.6
310,45,"FW-T905","Kara Cleansing Baby Wipes Packet 80 Pieces Qty","ACXU433","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","U",140.94,160.94
311,45,"FR-R72Y-38","Mamy Poko Baby Pants Small Packet 60 Pieces/62 Pieces Qty","ACXU434","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","M",141.28,161.28
312,45,"RW-M423","Johnson & Johnson Baby Soap Qty","ACXU435","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","U",141.62,161.62
313,45,"RW-M762","Johnson & Johnson Baby Pink Lotion Pump Qty","ACXU436","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","0",141.96,161.96
314,45,"RW-M928","Mamy Poko Pants Baby Standard Large Qty","ACXU437","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","0",142.3,162.3
315,45,"RW-R623","Pampers Pants Active Baby Medium 20 Pieces","ACXU438","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","S",142.64,162.64
316,45,"RW-R762","Pampers Baby Diapers Large 60 Pieces Qty","ACXU439","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","S",142.98,162.98
317,45,"RW-R820","Mamy Poko Pants Baby Standard Medium Qty","ACXU440","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","M",143.320000000001,163.320000000001
318,45,"RW-T905","Johnson & Johnson Baby Cream Milk Qty","ACXU441","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","U",143.660000000001,163.660000000001
319,45,"FR-M63B-40","Pampers Pants Active Baby Large 20 Pieces Qty","ACXU442","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","M",144.000000000001,164.000000000001
320,45,"FR-M63B-44","Johnson & Johnson Baby Cream Qty","ACXU443","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","U",144.34,164.34
321,45,"FR-M63B-48","Pampers Baby Diapers New Baby 24 Pieces Qty","ACXU444","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","0",144.68,164.68
322,45,"FR-R72Y-40","Pampers Baby Diapers Active Baby Extra Large 32 Pieces Qty","ACXU445","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","0",145.02,165.02
323,45,"VE-C304-M","Mamy Poko Pants Standard Medium Qty","ACXU446","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","S",145.36,165.36
324,45,"VE-C304-L","Mamy Poko Pants Baby Standard Small Qty","ACXU447","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","S",145.700000000001,165.700000000001
325,45,"SH-W890-S","Mamy Poko Pants Standard Large","ACXU448","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","M",146.040000000001,166.040000000001
326,45,"SH-W890-M","Pampers Pants Active Baby Extra Large 32 Pieces Qty","ACXU449","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","U",146.380000000001,166.380000000001
327,45,"SH-W890-L","Johnson & Johnson Baby Hair Oil Avocado Qty","ACXU450","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","M",146.72,166.72
328,45,"WB-H098","Pampers Baby Diaper Active Baby Small 46 Pieces Qty","ACXU451","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","U",147.060000000001,167.060000000001
329,45,"BC-M005","Johnson & Johnson Baby Soap Blossom Qty","ACXU452","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","0",147.4,167.4
330,45,"BC-R205","Pampers Baby Diapers Medium 66 Pieces Qty","ACXU453","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","0",147.74,167.74
331,45,"PK-7098","Mamy Poko Pants Baby Diaper Large Qty","ACXU454","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","S",148.08,168.08
332,45,"SO-R809-M","Mamy Poko Pants Baby Diaper Medium Qty","ACXU455","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","S",148.42,168.42
333,45,"SO-R809-L","Himalaya Baby Power Khus Khus Qty","ACXU456","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","M",148.760000000001,168.760000000001
334,45,"RA-H123","Mamy Poko Pants Baby Diaper Extra Large Qty","ACXU457","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","U",149.100000000001,169.100000000001
335,45,"CL-9009","Johnson & Johnson Baby Soap Moisturising","ACXU458","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","M",149.440000000001,169.440000000001
336,45,"FE-6654","Mamypoko Baby Pants Xxxl Packet Qty","ACXU459","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","U",149.78,169.78
337,45,"ST-1401","Johnson & Johnson Baby Talcum Powder","ACXU460","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","0",150.12,170.12
338,46,"FR-R72Y-42","Ponds Talcum Dream Flower Pink Qty","ACXU461","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","0",150.46,170.46
339,46,"FR-R72Y-44","Ponds Talcum Dream Flower Magic Qty","ACXU462","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","S",150.8,170.8
340,46,"FR-R72Y-48","Nivea Talcum Musk Gentle Care Qty","ACXU463","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","S",151.14,171.14
341,46,"FR-R92B-62","Santoor Talcum Qty","ACXU464","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","M",151.480000000001,171.480000000001
342,46,"FR-R92B-44","Ponds Talcum Sandal Qty","ACXU465","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","U",151.820000000001,171.820000000001
343,46,"FR-R92B-48","Yardley Talcum English Lavender Qty","ACXU466","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","M",152.160000000001,172.160000000001
344,46,"FR-R92B-52","Premium Talcum Lavender Qty","ACXU467","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","U",152.500000000001,172.500000000001
345,46,"SH-M897-S","Premium Talcum Beauty Qty","ACXU468","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","0",152.84,172.84
346,46,"PA-T100","Himami Talcum Navratna Cool Activ Deo Qty","ACXU469","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","0",153.18,173.18
347,46,"LO-C100","Ponds Talcum Oil Control Qty","ACXU470","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","S",153.520000000001,173.520000000001
348,46,"PU-0452","White Tone Talcum Face Powder Box Qty","ACXU471","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","S",153.860000000001,173.860000000001
349,46,"PU-M044","Yardley Talcum Gentleman Men Qty","ACXU472","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","M",154.200000000001,174.200000000001
350,46,"LT-T990","Yardley Talcum Red Roses","ACXU473","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","U",154.540000000001,174.540000000001
351,47,"LT-H902","Nivea Deo Body Deodorizer Ice Cool Qty","ACXU474","Freezed, Deo, Fragrance, Air tight, Healthy","Bottel","M",154.880000000001,174.880000000001
352,47,"LT-H903","Nivea Deo Fresh Active Qty","ACXU475","Freezed, Deo, Fragrance, Air tight, Healthy","Bottel","U",155.220000000001,175.220000000001
353,47,"SH-M897-M","Nivea Deo Body Deodorizer Energy Qty","ACXU476","Freezed, Deo, Fragrance, Air tight, Healthy","Bottel","0",155.560000000001,175.560000000001
354,47,"SH-M897-L","Park Avenue Deo Body Voyage Qty","ACXU477","Freezed, Deo, Fragrance, Air tight, Healthy","Bottel","0",155.900000000001,175.900000000001
355,47,"SH-M897-X","Nivea Deodorant Roll On Whitening Qty","ACXU478","Freezed, Deo, Fragrance, Air tight, Healthy","Bottel","S",156.240000000001,176.240000000001
356,47,"TG-W091-S","Nivea Deo Pearl & Beauty Qty","ACXU479","Freezed, Deo, Fragrance, Air tight, Healthy","Bottel","S",156.580000000001,176.580000000001
357,47,"TG-W091-M","Axe Deo Signature Intense Box Qty","ACXU480","Freezed, Deo, Fragrance, Air tight, Healthy","Bottel","M",156.920000000001,176.920000000001
358,47,"TG-W091-L","Axe Deo Signature Mysterious Box Qty","ACXU481","Freezed, Deo, Fragrance, Air tight, Healthy","Bottel","U",157.260000000001,177.260000000001
359,47,"SB-M891-S","Axe Deo Signature Champion Box Qty","ACXU482","Freezed, Deo, Fragrance, Air tight, Healthy","Bottel","M",157.600000000001,177.600000000001
360,47,"SB-M891-M","Kamasutra Deo Spark Qty","ACXU483","Freezed, Deo, Fragrance, Air tight, Healthy","Bottel","U",157.940000000001,177.940000000001
361,47,"SB-M891-L","Axe Deo Signature Maverick Box Qty","ACXU484","Freezed, Deo, Fragrance, Air tight, Healthy","Bottel","0",158.280000000001,178.280000000001
362,47,"GL-H102-S","Nivea Deo Fresh Power Boost Men Can Qty","ACXU485","Freezed, Deo, Fragrance, Air tight, Healthy","Bottel","0",158.620000000001,178.620000000001
363,47,"GL-H102-M","Axe Deo Dark Temptation Qty","ACXU486","Freezed, Deo, Fragrance, Air tight, Healthy","Bottel","S",158.960000000001,178.960000000001
364,47,"GL-H102-L","Yardley Deo Gentleman Qty","ACXU487","Freezed, Deo, Fragrance, Air tight, Healthy","Bottel","S",159.300000000001,179.300000000001
365,47,"GL-F110-S","Engage Deo Blush Women Can Qty","ACXU488","Freezed, Deo, Fragrance, Air tight, Healthy","Bottel","M",159.640000000001,179.640000000001
366,47,"GL-F110-M","Engage Deo Drizzle Women Can Qty","ACXU489","Freezed, Deo, Fragrance, Air tight, Healthy","Bottel","U",159.980000000001,179.980000000001
367,47,"GL-F110-L","Axe Deo Signature Rogue Box Qty","ACXU490","Freezed, Deo, Fragrance, Air tight, Healthy","Bottel","M",160.320000000001,180.320000000001
368,47,"VE-C304-S","Nivea Deo Fresh Natural White","ACXU491","Freezed, Deo, Fragrance, Air tight, Healthy","Bottel","U",160.660000000001,180.660000000001
369,48,"BK-M38S-42","Amul Butter Qty","ACXU492","Freezed, Deo, Fragrance, Air tight, Healthy","Bottel","0",161.000000000001,181.000000000001
370,48,"BK-M38S-46","Everyday Milkpowder Dairy Whitener Packet Qty","ACXU493","Freezed, Deo, Fragrance, Air tight, Healthy","Bottel","0",161.340000000001,181.340000000001
371,48,"BK-M18S-40","Amul Malai Paneer Packet Qty","ACXU494","Freezed, Deo, Fragrance, Air tight, Healthy","Bottel","S",161.680000000001,181.680000000001
372,48,"BK-M18S-42","Nestle Condensed Milk Milkmaid Qty","ACXU495","Freezed, Deo, Fragrance, Air tight, Healthy","Bottel","S",162.020000000001,182.020000000001
373,48,"BK-M18S-44","Everyday Milk Powder Dairy Whitener Packet Qty","ACXU496","Freezed, Deo, Fragrance, Air tight, Healthy","Bottel","M",162.360000000001,182.360000000001
374,48,"BK-M18S-48","Amul Fresh Cream Tetra Pack Qty","ACXU497","Freezed, Deo, Fragrance, Air tight, Healthy","Bottel","U",162.700000000001,182.700000000001
375,48,"BK-M18S-52","Amul Garlic & Herb Butter Qty","ACXU498","Freezed, Deo, Fragrance, Air tight, Healthy","Bottel","M",163.040000000001,183.040000000001
376,48,"BK-M18B-40","Amul Masti Buttermilk Tetrapack Qty","ACXU499","Freezed, Deo, Fragrance, Air tight, Healthy","Bottel","U",163.380000000001,183.380000000001
377,48,"BK-M18B-42","Amul Delicious Margarine Qty","ACXU500","Freezed, Deo, Fragrance, Air tight, Healthy","Bottel","0",163.720000000001,183.720000000001
378,48,"BK-M18B-44","Amul Mithai Mate Condensed Milk Can","ACXU501","Freezed, Deo, Fragrance, Air tight, Healthy","Bottel","0",164.060000000001,184.060000000001
379,48,"BK-M18B-48","Amul Uht Milk Taaza Tetra Pack Qty","ACXU502","Freezed, Deo, Fragrance, Air tight, Healthy","Bottel","S",164.400000000001,184.400000000001
380,48,"BK-M18B-52","Amul Uht Milk Gold Qty","ACXU503","Freezed, Deo, Fragrance, Air tight, Healthy","Bottel","S",164.740000000001,184.740000000001
381,48,"BB-7421","Nilgiris Milk Our Smooth Toned Tetrapack Qty","ACXU504","Freezed, Deo, Fragrance, Air tight, Healthy","Bottel","M",165.080000000001,185.080000000001
382,48,"BB-8107","Sofit Soya Milk Chocolate Qty","ACXU505","Freezed, Deo, Fragrance, Air tight, Healthy","Bottel","U",165.420000000001,185.420000000001
383,48,"BB-9108","Sofit Soya Milk Natural Qty","ACXU506","Freezed, Deo, Fragrance, Air tight, Healthy","Bottel","M",165.760000000001,185.760000000001
384,48,"BK-R19B-44","Britannia Cake Fruit Qty","ACXU507","Freezed, Deo, Fragrance, Air tight, Healthy","Bottel","U",166.100000000001,186.100000000001
385,48,"BK-R19B-48","Britannia Cake Nut&Raisin Packet Qty","ACXU508","Freezed, Deo, Fragrance, Air tight, Healthy","Bottel","0",166.440000000001,186.440000000001
386,48,"BK-R19B-52","Britannia Cake Chocolate Qty","ACXU509","Freezed, Deo, Fragrance, Air tight, Healthy","Bottel","0",166.780000000001,186.780000000001
387,49,"FR-M21B-40","Britannia Cake Pineapple Qty","ACXU510","Freezed, Deo, Fragrance, Air tight, Healthy","Bottel","S",167.120000000001,187.120000000001
388,49,"FR-M21S-40","Britannia Cake Nut Raisin Rromance Qty","ACXU511","Freezed, Deo, Fragrance, Air tight, Healthy","Bottel","S",167.460000000001,187.460000000001
389,49,"FD-2342","Parle Cakes Happy Tutti Fruity Packet Qty","ACXU512","Freezed, Deo, Fragrance, Air tight, Healthy","Bottel","M",167.800000000001,187.800000000001
390,49,"HB-T721","Parle Cakes Happy Happy Vanilla Packet","ACXU513","Freezed, Deo, Fragrance, Air tight, Healthy","Bottel","U",168.140000000001,188.140000000001
391,49,"HB-T928","Sofit Soya Milk Kesar Pista","ACXU514","Freezed, Deo, Fragrance, Air tight, Healthy","Bottel","M",168.480000000001,188.480000000001
392,50,"FB-9873","Britannia Cheese Slices Cheddar Qty","ACXU515","Freezed, Deo, Fragrance, Air tight, Healthy","Bottel","U",168.820000000001,188.820000000001
393,50,"CS-4759","Amul Cheese Slice Qty","ACXU516","Freezed, Deo, Fragrance, Air tight, Healthy","Bottel","0",169.160000000001,189.160000000001
394,50,"CS-6583","Amul Cheese Chiplet 25gx8 Qty","ACXU517","Freezed, Deo, Fragrance, Air tight, Healthy","Bottel","0",169.500000000001,189.500000000001
395,50,"CS-9183","Britannia Cheese Cheddar Cubes Qty","ACXU518","Freezed, Deo, Fragrance, Air tight, Healthy","Bottel","S",169.840000000001,189.840000000001
396,50,"CA-1098","Amul Cheese Spread Plain Qty","ACXU519","Freezed, Deo, Fragrance, Air tight, Healthy","Bottel","S",170.180000000001,190.180000000001
397,50,"LJ-0192-S","Britannia Cheese Cheezz Pizza Block Qty","ACXU520","Freezed, Deo, Fragrance, Air tight, Healthy","Bottel","M",170.520000000001,190.520000000001
398,50,"LJ-0192-M","Britannia Cheese Block","ACXU521","Freezed, Deo, Fragrance, Air tight, Healthy","Bottel","U",170.860000000001,190.860000000001
399,50,"LJ-0192-L","Amul Cheese Spread Pepper","ACXU522","Freezed, Deo, Fragrance, Air tight, Healthy","Bottel","M",171.200000000001,191.200000000001
209,29,"BK-M47B-38","Baker Street Toast Pita Chips Jalapeno Chips Qty","ACXU332","Air Tight, Fully Packed, Fresh Arrive","Pkt","0",105.92,125.92
210,29,"BK-M47B-40","Baker Street Toast Pita Chips Multigrain","ACXU333","Air Tight, Fully Packed, Fresh Arrive","Pkt","0",106.26,126.26
211,30,"BK-M47B-44","Cerelac Babycereal Multi Grain 5 Fruit Qty","ACXU334","Air Tight, Fully Packed, Fresh Arrive","Pkt","S",106.6,126.6
212,30,"BK-M47B-48","Cerelac Babycereal Multi Grain Dal Veg Qty","ACXU335","Air Tight, Fully Packed, Fresh Arrive","Pkt","S",106.94,126.94
213,30,"BK-R89R-44","Nestle Babycereal Nan 1 Box","ACXU336","Air Tight, Fully Packed, Fresh Arrive","Pkt","M",107.28,127.28
214,31,"BK-R89R-48","Premium Harvest Groundnut Qty","ACXU337","Air Tight, Fully Packed, Fresh Arrive","Pkt","U",107.62,127.62
215,31,"BK-R89R-52","Golden Harvest Fruit N Nut Premium Almonds Qty","ACXU338","Air Tight, Fully Packed, Fresh Arrive","Pkt","M",107.96,127.96
