recipe_id,product_id,cena produktu do przepisu,quantity
58,26,4,0.8
58,173,7,1.4
58,42,6,1.2
59,5,1.3,1.3
59,174,3,0.6
59,42,4,0.8
59,175,0.7,0.7
59,40,1.3,1.3
59,176,2.4,0.6
60,164,3.5,0.7
60,177,3,1.5
60,1,1.1,1.1
60,60,7,1.4
60,40,1.3,1.3
60,86,5.5,1.1
60,178,5.2,1.3
60,42,5,1
60,46,4,0.8
60,7,0.6,0.6
60,118,3.2,0.8
60,15,16,0.8
60,28,1.5,1.5
61,1,0.6,0.6
61,97,3.5,0.7
61,76,1.4,0.7
61,4,1,1
61,44,1.2,1.2
62,85,7,1.4
62,179,2,0.5
62,177,2.8,1.4
62,45,4.8,1.2
62,97,4,0.8
63,180,4.8,1.2
63,44,1,1
63,45,2.8,0.7
63,7,1,1
63,181,4.4,1.1
63,93,1.3,1.3
64,5,1.1,1.1
64,7,1,1
64,6,2.8,0.7
64,182,4.5,0.9
64,36,0.6,0.6
65,183,3.6,0.9
65,184,1.1,1.1
65,45,2,0.5
65,7,1.3,1.3
65,11,2.2,1.1
65,185,4,0.8
66,1,1.4,1.4
66,56,3.6,0.9
66,44,1.5,1.5
66,72,5.6,1.4
66,186,4.8,1.2
66,26,2.5,0.5
66,45,4.4,1.1
66,187,0.9,0.9
66,60,3,0.6
67,45,2.8,0.7
67,6,4.8,1.2
67,188,6,1.5
67,189,5.6,1.4
67,7,1.2,1.2
67,190,5.5,1.1
