SalesOrderLineKey,ResellerKey,CustomerKey,ProductKey,OrderDateKey,DueDateKey,ShipDateKey,SalesTerritoryKey,Order Quantity,Unit Price,Extended Amount,Product Standard Cost,Total Product Cost,Sales Amount,Unit Price Discount Pct,Profit Amount
51762029,684,-1,582,20190814,20190824,20190821.0,2,1,1020.594,1020.594,1082.51,1082.51,1020.594,0.0,-61.916
55268020,196,-1,601,20191012,20191022,20191019.0,10,2,32.394,64.788,23.9716,47.9432,64.788,0.0,16.8448
69167004,-1,21213,480,20200328,20200407,20200404.0,9,1,2.29,2.29,0.8565,0.8565,2.29,0.0,1.4335
55249016,475,-1,363,20191005,20191015,20191012.0,4,5,1376.994,6884.97,1251.9813,6259.9065,6884.97,0.0,625.0635
71794055,678,-1,475,20200602,20200612,20200609.0,6,4,41.994,167.976,26.1763,104.7052,167.976,0.0,63.2708
64579002,-1,18524,488,20200120,20200130,20200127.0,6,1,53.99,53.99,41.5723,41.5723,53.99,0.0,12.4177
65128001,-1,13582,225,20200129,20200208,20200205.0,10,1,8.99,8.99,6.9223,6.9223,8.99,0.0,2.0677
53530034,90,-1,376,20190914,20190924,20190921.0,5,4,1466.01,5864.04,1554.9479,6219.7916,5864.04,0.0,-355.7516
65303008,61,-1,359,20200326,20200405,20200402.0,4,6,1376.994,8261.964,1251.9813,7511.8878,8261.964,0.0,750.0762
69518020,63,-1,527,20200522,20200601,20200529.0,5,2,158.43,316.86,144.5938,289.1876,316.86,0.0,27.6724
67273030,475,-1,217,20200405,20200415,20200412.0,4,2,20.994,41.988,13.0863,26.1726,41.988,0.0,15.8154
50370001,-1,17941,377,20190403,20190413,20190410.0,8,1,2181.5625,2181.5625,1320.6838,1320.6838,2181.5625,0.0,860.8787
46970013,258,-1,385,20180810,20180820,20180817.0,4,3,600.2625,1800.7875,605.6492,1816.9476,1800.7875,0.0,-16.1601
50282005,345,-1,409,20190520,20190530,20190527.0,4,3,209.256,627.768,185.8193,557.4579,627.768,0.0,70.3101
51459003,-1,16807,480,20190617,20190627,20190624.0,4,1,2.29,2.29,0.8565,0.8565,2.29,0.0,1.4335
73460001,-1,13775,530,20200521,20200531,20200528.0,8,1,4.99,4.99,1.8663,1.8663,4.99,0.0,3.1237
48005013,638,-1,433,20181111,20181121,20181118.0,7,5,324.4527,1622.2635,300.1188,1500.594,1622.2635,0.0,121.6695
67266005,146,-1,599,20200403,20200413,20200410.0,1,9,323.994,2915.946,294.5797,2651.2173,2915.946,0.0,264.7287
62385002,-1,26066,479,20191219,20191229,20191226.0,4,1,8.99,8.99,3.3623,3.3623,8.99,0.0,5.6277
58930008,497,-1,476,20191208,20191218,20191215.0,6,7,41.994,293.958,26.1763,183.2341,293.958,0.0,110.7239
67071001,-1,12608,578,20200226,20200307,20200304.0,10,1,1214.85,1214.85,755.1508,755.1508,1214.85,0.0,459.6992
46647032,506,-1,365,20180722,20180801,20180729.0,1,3,647.994,1943.982,598.4354,1795.3062,1943.982,0.0,148.6758
53802002,-1,16383,491,20190804,20190814,20190811.0,4,1,53.99,53.99,41.5723,41.5723,53.99,0.0,12.4177
64385002,-1,19569,541,20200118,20200128,20200125.0,9,1,28.99,28.99,10.8423,10.8423,28.99,0.0,18.1477
48056015,257,-1,439,20181121,20181201,20181128.0,4,6,780.8182,4684.9092,722.2568,4333.5408,4684.9092,0.0,351.3684
57041005,363,-1,506,20191106,20191116,20191113.0,3,3,200.052,600.156,199.8519,599.5557,600.156,0.0,0.6003
54803001,-1,12103,355,20190822,20190901,20190829.0,4,1,2319.99,2319.99,1265.6195,1265.6195,2319.99,0.0,1054.3705
49357001,-1,23542,377,20190119,20190129,20190126.0,9,1,2181.5625,2181.5625,1320.6838,1320.6838,2181.5625,0.0,860.8787
48769018,221,-1,433,20190120,20190130,20190127.0,4,2,324.4527,648.9054,300.1188,600.2376,648.9054,0.0,48.6678
73203003,-1,23063,480,20200518,20200528,20200525.0,4,1,2.29,2.29,0.8565,0.8565,2.29,0.0,1.4335
71782036,582,-1,500,20200601,20200611,20200608.0,4,1,602.346,602.346,601.7437,601.7437,602.346,0.0,0.6023
53471021,306,-1,382,20190905,20190915,20190912.0,3,2,672.294,1344.588,713.0798,1426.1596,1344.588,0.0,-81.5716
53857002,-1,12153,478,20190805,20190815,20190812.0,4,1,9.99,9.99,3.7363,3.7363,9.99,0.0,6.2537
65481001,-1,23952,529,20200201,20200211,20200208.0,8,1,3.99,3.99,1.4923,1.4923,3.99,0.0,2.4977
70024001,-1,26036,529,20200406,20200416,20200413.0,9,1,3.99,3.99,1.4923,1.4923,3.99,0.0,2.4977
51716018,363,-1,575,20190804,20190814,20190811.0,3,2,1430.442,2860.884,1481.9379,2963.8758,2860.884,0.0,-102.9918
57178008,250,-1,491,20191129,20191209,20191206.0,10,7,32.394,226.758,41.5723,291.0061,226.758,0.0,-64.2481
46936010,210,-1,415,20180802,20180812,20180809.0,6,1,198.036,198.036,146.5466,146.5466,198.036,0.0,51.4894
58791001,-1,27442,538,20191029,20191108,20191105.0,4,1,21.49,21.49,8.0373,8.0373,21.49,0.0,13.4527
69536040,435,-1,516,20200526,20200605,20200602.0,4,3,23.484,70.452,17.3782,52.1346,70.452,0.0,18.3174
53480015,327,-1,476,20190906,20190916,20190913.0,3,25,34.995,874.875,26.1763,654.4075,787.3875,0.1,132.98
