ProductKey,Product Name,Product Description,Manufacturer,Brand Name,Class Name,Color Name,Size,Size Range,Weight,Unit Cost,Unit Price,Product Sub Category,Product Category,WeightUnitMeasureID
172,"SV 22xDVD X680 Black","Type:  22xDVD Playback, Line-In Recording - Satellite Link Recording.","Southridge Video","Southridge Video","Deluxe","Black","","",6.2,55.99,169,"VCD & DVD","TV and Video","pounds"
176,"SV 16xDVD M360 Black","Type: 16xDVD Playback, digital audio output type: HDMI, Optical & Coaxial, HDMI outputs","Southridge Video","Southridge Video","Regular","Black","","",9,58.36,126.9,"VCD & DVD","TV and Video","pounds"
180,"SV 8xDVD E100 Silver","Type:  8xDVD Playback, type Storage media - DVD-RAM. DVD-R/DVD-RAM purpose for video, native capacity 9.4 GB","Southridge Video","Southridge Video","Economy","Silver","","",8,35.18,69,"VCD & DVD","TV and Video","pounds"
184,"SV 16xDVD E340 Silver","Plays DVD Video, DVD+R/RW, DVD-R/RW, CD-R/RW and Audio CD, LED indicator","Southridge Video","Southridge Video","Economy","Silver","","",6.9,45.53,99,"VCD & DVD","TV and Video","pounds"
188,"SV 16xDVD M350 Silver","Type: 16xDVD Playback plays DVD, DVD-R/RW, CD, CD-R/RW, MP3, WMA, and JPEG","Southridge Video","Southridge Video","Regular","Silver","","",7.3,53.76,116.9,"VCD & DVD","TV and Video","pounds"
292,"SV Car Video LCD7W M7080 Black","7"" 16:9 wide motorized touch screen active matrix LCD, remote control","Southridge Video","Southridge Video","Regular","Black","","",4,229.93,500,"Car Video","TV and Video","pounds"
296,"SV Car Video TFT6.2W E6281 Black","6.2"" touch screen TFT widescreen active matrix display","Southridge Video","Southridge Video","Economy","Black","","",3,132.05,259,"Car Video","TV and Video","pounds"
300,"SV Car Video AM/FM E1001 Black","Plays AM/FM/MP3/WMA and MP4. USB and SD"" card reader","Southridge Video","Southridge Video","Economy","Black","","",4.5,111.65,219,"Car Video","TV and Video","pounds"
304,"SV Car Video LCD7W M7082 Black","7"" 16:9 wide motorized touch screen active matrix LCD, remote control","Southridge Video","Southridge Video","Regular","Black","","",8,321.44,699,"Car Video","TV and Video","pounds"
308,"SV Car Video LCD7W M7080 Silver","7"" 16:9 wide motorized touch screen active matrix LCD, remote control","Southridge Video","Southridge Video","Regular","Silver","","",3.5,229.93,500,"Car Video","TV and Video","pounds"
312,"SV Car Video TFT6.2W E6281 Silver","6.2"" touch screen TFT widescreen active matrix display","Southridge Video","Southridge Video","Economy","Silver","","",4.2,132.05,259,"Car Video","TV and Video","pounds"
316,"SV Car Video AM/FM E1001 Silver","Plays AM/FM/MP3/WMA and MP4, USB and SD"" card reader","Southridge Video","Southridge Video","Economy","Silver","","",6,111.65,219,"Car Video","TV and Video","pounds"
320,"SV Car Video LCD7W M7082 Silver","7"" 16:9 wide motorized touch screen active matrix LCD, remote control","Southridge Video","Southridge Video","Regular","Silver","","",5.5,321.44,699,"Car Video","TV and Video","pounds"
324,"SV Car Video LCD7W M7080 Brown","7"" 16:9 wide motorized touch screen active matrix LCD, remote control","Southridge Video","Southridge Video","Regular","Brown","","",5.5,229.93,500,"Car Video","TV and Video","pounds"
328,"SV Car Video TFT6.2W E6281 Brown","6.2"" touch screen TFT widescreen active matrix display","Southridge Video","Southridge Video","Economy","Brown","","",4.5,132.05,259,"Car Video","TV and Video","pounds"
332,"SV Car Video AM/FM E1001 Brown","Plays AM/FM/MP3/WMA and MP4, USB and SD"" card reader","Southridge Video","Southridge Video","Economy","Brown","","",6,111.65,219,"Car Video","TV and Video","pounds"
336,"SV Car Video LCD7W M7082 Brown","7"" 16:9 wide motorized touch screen active matrix LCD, remote control","Southridge Video","Southridge Video","Regular","Brown","","",5.5,321.44,699,"Car Video","TV and Video","pounds"
340,"Fabrikam Laptop17 M7000 Black","320 GB hard drive, 2 GB RAM 17-inches screens LCD","Fabrikam, Inc.","Fabrikam","Regular","Black","","",5.5,376.63,819,"Laptops","Computers","pounds"
344,"Fabrikam Laptop12 M2000 White","60GB hard drive, 512MB memory","Fabrikam, Inc.","Fabrikam","Regular","White","","",6.5,186.6,366,"Laptops","Computers","pounds"
348,"Fabrikam Laptop15.4W M5480 White","15.4-Inches widescreen TFT LCD display, 1280x800 resolutions","Fabrikam, Inc.","Fabrikam","Regular","White","","",5.5,348.58,758,"Laptops","Computers","pounds"
352,"Fabrikam Laptop8.9 E0800 Silver","1GB DDR2 SDRAM, 160GB hard drive (2.2 pounds), 1.6GHz CPU","Fabrikam, Inc.","Fabrikam","Economy","Silver","","",5.2,163.15,320,"Laptops","Computers","pounds"
356,"Fabrikam Laptop14.1W M4180 Red","Multimedia-focused laptop with 14.1-inches widescreen, 3 GB RAM (4 GB max)","Fabrikam, Inc.","Fabrikam","Regular","Red","","",3.8,210.11,456.9,"Laptops","Computers","pounds"
360,"Fabrikam Laptop13.3 M3000 Red","2 GB RAM (4 GB max), 120 GB hard drive, DVD/CD super drive","Fabrikam, Inc.","Fabrikam","Regular","Red","","",5.1,193.74,380,"Laptops","Computers","pounds"
364,"Adventure Works Laptop12 M1200 Black","80GB hard drive, 512MB memory","Adventure Works","Adventure Works","Regular","Black","","",10.6,195.24,382.95,"Laptops","Computers","pounds"
368,"Adventure Works Laptop19W X1980 White","320 GB hard drive, 4 GB RAM 19-inches widescreen LCD with perfect 16:9 aspect ratio","Adventure Works","Adventure Works","Deluxe","White","","",3,430.38,1299,"Laptops","Computers","pounds"
372,"Adventure Works Laptop15.4W M1548 White","15.4-Inches widescreen TFT LCD display, 1280x800 resolutions","Adventure Works","Adventure Works","Regular","White","","",3.2,348.58,758,"Laptops","Computers","pounds"
376,"Adventure Works Laptop12 M1201 Silver","80GB hard drive, 512MB memory","Adventure Works","Adventure Works","Regular","Silver","","",10.6,195.24,382.95,"Laptops","Computers","pounds"
380,"Adventure Works Laptop19W X1980 Red","320 GB hard drive, 4 GB RAM 19-inches widescreen LCD with perfect 16:9 aspect ratio","Adventure Works","Adventure Works","Deluxe","Red","","",3.5,430.38,1299,"Laptops","Computers","pounds"
384,"Adventure Works Laptop15.4W M1548 Red","15.4-Inches widescreen TFT LCD display, 1280x800 resolutions","Adventure Works","Adventure Works","Regular","Red","","",3.2,348.58,758,"Laptops","Computers","pounds"
388,"Adventure Works Laptop12 M1201 Blue","80GB hard drive, 512MB memory","Adventure Works","Adventure Works","Regular","Blue","","",5.5,195.24,382.95,"Laptops","Computers","pounds"
392,"WWI Laptop12 M0120 Black","80GB hard drive, 512MB memory","Wide World Importers","Wide World Importers","Regular","Black","","",2.7,195.24,382.95,"Laptops","Computers","pounds"
396,"WWI Laptop19W X0196 White","320 GB hard drive, 4 GB RAM 19-inches widescreen LCD with perfect 16:9 aspect ratio","Wide World Importers","Wide World Importers","Deluxe","White","","",2.7,430.38,1299,"Laptops","Computers","pounds"
400,"WWI Laptop15.4W M0156 White","15.4-Inches widescreen TFT LCD display, 1280x800 resolutions","Wide World Importers","Wide World Importers","Regular","White","","",2.7,348.58,758,"Laptops","Computers","pounds"
404,"Proseware Laptop19 X910 Black","320 GB hard drive, 4 GB RAM 19-inches LCD","Proseware, Inc.","Proseware","Deluxe","Black","","",2.7,430.38,1299,"Laptops","Computers","pounds"
408,"Proseware Laptop15.4W M518 Black","15.4-Inches widescreen TFT LCD display, 1280x800 resolutions","Proseware, Inc.","Proseware","Regular","Black","","",5.5,348.58,758,"Laptops","Computers","pounds"
412,"Proseware Laptop12 M210 White","80GB hard drive, 512MB memory","Proseware, Inc.","Proseware","Regular","White","","",2.7,195.24,382.95,"Laptops","Computers","pounds"
416,"Adventure Works Desktop PC2.33 XD233 Silver","2.33GHz dual processor, 4MB L2 cache, 750GB 7200RPM hard drive","Adventure Works","Adventure Works","Deluxe","Silver","","",,321.05,969,"Desktops","Computers","pounds"
420,"Adventure Works Desktop PC1.80 ED182 Silver","1.80GHz dual processor, 4GB DDR2 memory, 400GB 7200RPM hard drive","Adventure Works","Adventure Works","Regular","Silver","","",,254.86,499.9,"Desktops","Computers","pounds"
424,"Adventure Works Desktop PC1.60 ED160 Black","1.60GHz dual processor, 1GB DDR2 memory, 30GB 5400RPM hard drive","Adventure Works","Adventure Works","Economy","Black","","",,137.63,269.95,"Desktops","Computers","pounds"
428,"Adventure Works Desktop PC2.33 XD233 Brown","2.33GHz dual processor, 4MB L2 cache, 750GB 7200RPM hard drive","Adventure Works","Adventure Works","Deluxe","Brown","","",,321.05,969,"Desktops","Computers","pounds"
432,"Adventure Works Desktop PC1.80 ED182 Brown","1.80GHz dual processor, 4GB DDR2 memories, 400GB 7200RPM hard drive","Adventure Works","Adventure Works","Regular","Brown","","",,254.86,499.9,"Desktops","Computers","pounds"
436,"Adventure Works Desktop PC1.80 ED180 White","1.80GHz dual processor, 1GB DDR2 memory, 320GB 5400RPM hard drive","Adventure Works","Adventure Works","Regular","White","","",,188.13,369,"Desktops","Computers","pounds"
440,"WWI Desktop PC1.60 E1600 Silver","1.60GHz dual processor, 2GB DDR2 memories, 30GB 5400RPM hard drive","Wide World Importers","Wide World Importers","Economy","Silver","","",,112.14,219.95,"Desktops","Computers","pounds"
444,"WWI Desktop PC2.33 X2330 Black","2.33GHz dual processor, 4MB L2 cache, 750GB 7200RPM hard drive","Wide World Importers","Wide World Importers","Deluxe","Black","","",,304.48,919,"Desktops","Computers","pounds"
448,"WWI Desktop PC1.80 E1801 Black","1.80GHz dual processor, 4GB DDR2 memory, 400GB 7200RPM hard drive","Wide World Importers","Wide World Importers","Economy","Black","","",,137.6,269.9,"Desktops","Computers","pounds"
452,"WWI Desktop PC1.60 E1600 Red","1.60GHz dual processor, 2GB DDR2 memories, 30GB 5400RPM hard drive","Wide World Importers","Wide World Importers","Economy","Red","","",,112.14,219.95,"Desktops","Computers","pounds"
456,"WWI Desktop PC2.30 M2300 White","2.3GHz dual processor, 4 GB DDR2 SDRAM memories, 19"" widescreen LCD monitors","Wide World Importers","Wide World Importers","Regular","White","","",,257.06,559,"Desktops","Computers","pounds"
460,"WWI Desktop PC1.80 E1802 White","1.80GHz dual processor, 4GB DDR2 memory, 500GB 7200RPM hard drive","Wide World Importers","Wide World Importers","Economy","White","","",,152.9,299.9,"Desktops","Computers","pounds"
464,"Proseware LCD22W M2001 Black","22"" wide screen LCD, 0.285mm x 0.285mm pixel pitch, 300cd/m2 (typical) brightness","Proseware, Inc.","Proseware","Regular","Black","","",13.2,224.97,679,"Monitors","Computers","pounds"
468,"Proseware LCD19W M100 Black","19 inches widescreen LCD monitor 300cd/m2 (typical) brightness","Proseware, Inc.","Proseware","Regular","Black","","",10.8,82.32,179,"Monitors","Computers","pounds"
472,"Proseware CRT19 E201 Black","Reduces VLF/ELF radiation by up to 99.5%","Proseware, Inc.","Proseware","Economy","Black","","",10.8,35.18,69,"Monitors","Computers","pounds"
476,"Proseware LCD24W X300 White","24 widescreen HD display, 1920 x 1200 maximum resolution","Proseware, Inc.","Proseware","Deluxe","White","","",10.4,287.92,869,"Monitors","Computers","pounds"
480,"Proseware LCD20W M230 White","20"" widescreen 1600 x 900 VGA, brightness: 250cd/m2, contrast ratio: 10000:1","Proseware, Inc.","Proseware","Regular","White","","",10.4,128.3,279,"Monitors","Computers","pounds"
484,"Proseware LCD17W E202 White","17 inches widescreen LCD monitor 300cd/m2 (typical) brightness","Proseware, Inc.","Proseware","Economy","White","","",10.4,65.77,129,"Monitors","Computers","pounds"
488,"Proseware CRT15 E10 White","Reduces VLF/ELF radiation by up to 99.5%","Proseware, Inc.","Proseware","Economy","White","","",9.5,24.98,49,"Monitors","Computers","pounds"
492,"Adventure Works LCD22W M200 Black","22"" widescreen LCD, 0.285mm x 0.285mm pixel pitch, 300cd/m2 (typical) brightness","Adventure Works","Adventure Works","Regular","Black","","",10.4,224.97,679,"Monitors","Computers","pounds"
496,"Adventure Works LCD19W M100 Black","19 inches widescreen LCD monitor 300cd/m2 (typical) brightness","Adventure Works","Adventure Works","Regular","Black","","",10.8,82.32,179,"Monitors","Computers","pounds"
500,"Adventure Works CRT19 E10 Black","Reduces VLF/ELF radiation by up to 99.5%","Adventure Works","Adventure Works","Economy","Black","","",10.8,22.86,69,"Monitors","Computers","pounds"
504,"Adventure Works LCD24W X300 White","24 inches widescreen HD display, 1920 x 1200 maximum resolutions","Adventure Works","Adventure Works","Deluxe","White","","",10.8,287.92,869,"Monitors","Computers","pounds"
508,"Adventure Works LCD20W M240 White","20"" widescreen 1600 x 900 VGA, brightness: 250cd/m2, contrast ratio: 10000:1","Adventure Works","Adventure Works","Regular","White","","",15.2,128.3,279,"Monitors","Computers","pounds"
512,"Adventure Works LCD17W E203 White","17 inches widescreen LCD monitor, 300cd/m2 (typical) brightness","Adventure Works","Adventure Works","Economy","White","","",11.9,65.77,129,"Monitors","Computers","pounds"
516,"Adventure Works CRT15 E101 White","Reduces VLF/ELF radiation by up to 99.5%","Adventure Works","Adventure Works","Economy","White","","",22.2,29.82,90,"Monitors","Computers","pounds"
520,"WWI LCD22W M2003 Black","22"" widescreen LCD, 0.285mm x 0.285mm pixel pitch, 300cd/m2 (typical) brightness","Wide World Importers","Wide World Importers","Regular","Black","","",10.8,224.97,679,"Monitors","Computers","pounds"
524,"WWI LCD19W M100 Black","19 inches widescreen LCD monitor, 300cd/m2 (typical) brightness","Wide World Importers","Wide World Importers","Regular","Black","","",9.5,82.32,179,"Monitors","Computers","pounds"
528,"WWI LCD24 X300 White","24 inches HD display, 160° horizontal and vertical viewing angles","Wide World Importers","Wide World Importers","Deluxe","White","","",10.4,271.35,819,"Monitors","Computers","pounds"
532,"WWI LCD20 M220 White","Screen size: 20"", response time: 5ms, brightness: 300cd/m2","Wide World Importers","Wide World Importers","Regular","White","","",11.9,119.11,259,"Monitors","Computers","pounds"
536,"WWI LCD17 E205 White","Size/Type: 17"" TFT LCD, maximum resolution: 1280 x 1024, response time: 5ms","Wide World Importers","Wide World Importers","Economy","White","","",10.4,50.47,99,"Monitors","Computers","pounds"
72,"NT Wireless Bluetooth Stereo Headphones E102 Blue","Wireless range beyond 10 meters, MP3-quality stereo sound","Northwind Traders","Northwind Traders","Economy","Blue","5 x 9 x 7","",2.1,22.05,47.95,"Bluetooth Headphones","Audio","pounds"
76,"NT Bluetooth Active Headphones E202 Red","Wireless range up10 meters, beyond 7-hour talking time.","Northwind Traders","Northwind Traders","Economy","Red","5.6 x 3.5 x 9.1","",1,17.45,37.95,"Bluetooth Headphones","Audio","pounds"
96,"WWI Stereo Bluetooth Headphones E1000 White","Wireless headphones with 120 ft range, built-in microphone","Wide World Importers","Wide World Importers","Economy","White","5 x 5.5 x 2.1","",0.17,34.36,67.4,"Bluetooth Headphones","Audio","pounds"
112,"WWI Wireless Transmitter and Bluetooth Headphones X250 Blue","Seamlessly switch between music and calls, integrated ouch sensitive play-answer-end and volume controls","Wide World Importers","Wide World Importers","Deluxe","Blue","11 x 7.8 x 3","",2,82.83,249.99,"Bluetooth Headphones","Audio","pounds"
196,"Litware Home Theater System 2.1 Channel E211 Black","2.1 channel home theater systems, includes 2 front speakers, 1 subwoofer and 1 A/V receiver","Litware, Inc.","Litware","Economy","Black","17 x 16.3 x 3.3","",11.4,137.6,269.9,"Home Theater System","TV and Video","pounds"
204,"Litware Home Theater System 7.1 Channel X711 Black","660 watts into 7.1 Channels (110 watts per Channel at 6 Ohms, 1 kHz, 1 Channel Driven)","Litware, Inc.","Litware","Deluxe","Black","20.3 x 21.8 x 12.2","",30.5,367.43,1109,"Home Theater System","TV and Video","pounds"
212,"Litware Home Theater System 2.1 Channel E211 Silver","2.1 channel home theater system, includes 2 front speakers, 1 subwoofer and 1 A/V receiver","Litware, Inc.","Litware","Economy","Silver","23.8 x 20.8 x 19.6","",48,137.6,269.9,"Home Theater System","TV and Video","pounds"
220,"Litware Home Theater System 7.1 Channel X711 Silver","660 watts into 7.1 Channels (110 watts per Channel at 6 Ohms, 1 kHz, 1 Channel Driven)","Litware, Inc.","Litware","Deluxe","Silver","23 x 19 x 17","",37.2,367.43,1109,"Home Theater System","TV and Video","pounds"
228,"Litware Home Theater System 2.1 Channel E211 Brown","2.1 channel home theater system, includes 2 front speakers, 1 subwoofer and 1 A/V receiver","Litware, Inc.","Litware","Economy","Brown","19.8 x 25.3 x 22","",32,137.6,269.9,"Home Theater System","TV and Video","pounds"
236,"Litware Home Theater System 7.1 Channel X711 Brown","660 watts into 7.1 Channels (110 watts per Channel at 6 Ohms, 1 kHz, 1 Channel Driven)","Litware, Inc.","Litware","Deluxe","Brown","20 x 43 x 17","",66,367.43,1109,"Home Theater System","TV and Video","pounds"
540,"Proseware Projector 1080p DLP86 Black","1920 x 1080p pixel resolution, HDTV 1080p native resolution, 8000:1 contrast ratio","Proseware, Inc.","Proseware","Deluxe","Black","12.7 x 13.5 x 5.5","",10.6,827.97,2499,"Projectors & Screens","Computers","pounds"
548,"Proseware Screen 100in M1609 Black","16:9 aspect ratios-100in, designed for wall or ceiling installation","Proseware, Inc.","Proseware","Economy","Black","4.1 x 2 x 0.6","",4.1,87.37,190,"Projectors & Screens","Computers","pounds"
552,"Proseware Projector 1080p DLP86 White","1920 x 1080p pixel resolution, HDTV 1080p native resolution, 8000:1 contrast ratio","Proseware, Inc.","Proseware","Deluxe","White","12 x 9 x 4","",4.8,827.97,2499,"Projectors & Screens","Computers","pounds"
560,"Proseware Screen 100in M1609 White","16:9 aspect ratio-100in, designed for wall or ceiling installation","Proseware, Inc.","Proseware","Economy","White","15.5 x 17.7 x 5.4","",16.1,87.37,190,"Projectors & Screens","Computers","pounds"
564,"Proseware Projector 1080p DLP86 Silver","1920 x 1080p pixel resolution, HDTV 1080p native resolution, 8000:1 contrast ratio","Proseware, Inc.","Proseware","Deluxe","Silver","7.5 x 6 x 3.2","",1.5,827.97,2499,"Projectors & Screens","Computers","pounds"
572,"Proseware Screen 100in M1609 Silver","16:9 aspect ratios-100in, designed for wall or ceiling installation","Proseware, Inc.","Proseware","Economy","Silver","11.4 x 8.2 x 4.8","",4,87.37,190,"Projectors & Screens","Computers","pounds"
612,"WWI Projector 1080p DLP86 Black","1920 x 1080p pixel resolution, HDTV 1080p native resolution, 8000:1 contrast ratio","Wide World Importers","Wide World Importers","Deluxe","Black","10.7 x 7.6 x 3.1","",4.3,827.97,2499,"Projectors & Screens","Computers","pounds"
620,"WWI Screen 100in M1609 Black","16:9 aspect ratio-100in, designed for wall or ceiling installation","Wide World Importers","Wide World Importers","Economy","Black","6.6 x 5.4 x 5.2","",1.5,87.37,190,"Projectors & Screens","Computers","pounds"
632,"WWI Screen 85in E1010 White","1:1 aspect ratio-85in, enjoy fast, easy setup with the innovative, patent-pending design","Wide World Importers","Wide World Importers","Economy","White","5.2 x 10.4 x 2.9","",4.1,70.87,139,"Projectors & Screens","Computers","pounds"
644,"Proseware Laser Jet Printer E100 Black","19.4 x 17.1 x 8.9 inches, 34 pounds, various security features","Proseware, Inc.","Proseware","Economy","Black","19.4 x 17.1 x 8.9","",23.5,40.28,79,"Printers, Scanners & Fax","Computers","pounds"
648,"Proseware Fax Machine E100 Black","14.8 x 15.4 x 7.1 inches, 1 Wide 3.3"" color LCD","Proseware, Inc.","Proseware","Economy","Black","17 x 11.7 x 6","",17,40.28,79,"Printers, Scanners & Fax","Computers","pounds"
664,"Proseware Professional Quality Plain-Paper Fax and Copier X100 Black","Print, copy, with Ethernet, 2.4-in LCD color graphics display, lab quality borderless printing up to 8.5 x 11 in","Proseware, Inc.","Proseware","Deluxe","Black","16.1 x 18.1 x 9.3","",24,75.87,229,"Printers, Scanners & Fax","Computers","pounds"
676,"Proseware Fax phone E100 Grey","14.2 x 6.7 x 14.5 inches, perfect for home or office use","Proseware, Inc.","Proseware","Economy","Grey","20 x 12 x 15.8","",21,44.36,87,"Printers, Scanners & Fax","Computers","pounds"
692,"Proseware High-Performance Business-Class Laser Fax X200 Grey","17.7 x 13.9 x 6.7 inches, 12.8 pounds, Fax high-performance business-class Laser Fax","Proseware, Inc.","Proseware","Deluxe","Grey","12 x 4 x 10","",3.7,82.17,248,"Printers, Scanners & Fax","Computers","pounds"
708,"Proseware Ink Jet Fax Machine E100 White","17.7 x 14.5 x 6.9 inches, Ink jet Fax machine","Proseware, Inc.","Proseware","Economy","White","18 x 12 x 12","",11.3,39.77,78,"Printers, Scanners & Fax","Computers","pounds"
720,"Proseware Slim-Design Fax Machine with Answering System X180 White","22.5 x 15.6 x 9.6 inches, 15 pounds, Flatbed scanner","Proseware, Inc.","Proseware","Deluxe","White","15.7 x 10.6 x 6.9","",9,78.19,236,"Printers, Scanners & Fax","Computers","pounds"
740,"Proseware High-Performance Business-Class Laser Fax X200 Green","Fax high-Performance business-class Laser Fax, copy function can make up to 99 copies","Proseware, Inc.","Proseware","Deluxe","Green","17  x 6.5  x 13.8","",21.5,82.17,248,"Printers, Scanners & Fax","Computers","pounds"
944,"A. Datum Compact Digital Camera M200 Black","Digital camera, 3.7 in x 0.9 in x 2","A. Datum Corporation","A. Datum","Economy","Black","18.5  x 4.5  x 16.3","",35,59.32,129,"Digital Cameras","Cameras and camcorders","pounds"
1112,"Fabrikam SLR Camera X147 Silver","Compact 3x zoom lens covering the most frequently used focal range","Fabrikam, Inc.","Fabrikam","Deluxe","Silver","6.5  x 4.5  x 4.5","",6.1,213.7,645,"Digital SLR Cameras","Cameras and camcorders","pounds"
1116,"Fabrikam SLR Camera X147 Grey","Fast startup and split-second shutter response, shoot continuously at up to 3 frames per second","Fabrikam, Inc.","Fabrikam","Deluxe","Grey","8 x 10 x 6","",5,213.7,645,"Digital SLR Cameras","Cameras and camcorders","pounds"
1120,"Fabrikam SLR Camera X148 Silver Grey","Dynamic integrated dust reduction system","Fabrikam, Inc.","Fabrikam","Deluxe","Silver Grey","3.5 x 5 x 3.3","",4.6,217.68,657,"Digital SLR Cameras","Cameras and camcorders","pounds"
1124,"Fabrikam SLR Camera X148 Gold","Digital camera - SLR with live view mode, 5.8 in x 2.9 in x 4.5 in, 1.8 lbs","Fabrikam, Inc.","Fabrikam","Deluxe","Gold","4.2 x 4 x 4","",4.75,217.68,657,"Digital SLR Cameras","Cameras and camcorders","pounds"
1156,"Fabrikam Independent Filmmaker 1'' 25mm X400 Black","1080i/p or 720p high definition or standard definition","Fabrikam, Inc.","Fabrikam","Deluxe","Black","7.8 x 7.8 x 3","",2.5,530.11,1600,"Camcorders","Cameras and camcorders","pounds"
1164,"Fabrikam Social videographer 1'' 25mm E400 Black","720p high definition or VGA","Fabrikam, Inc.","Fabrikam","Economy","Black","2.7 x 2.8 x 4.9","",1.7,91.77,180,"Camcorders","Cameras and camcorders","pounds"
1180,"Fabrikam Independent filmmaker 1'' 25mm X400 White","1080i/p or 720p high definition or standard definition","Fabrikam, Inc.","Fabrikam","Deluxe","White","3 x 5.2  x 1.3","",1.8,530.11,1600,"Camcorders","Cameras and camcorders","pounds"
1188,"Fabrikam Social Videographer 1"" 25mm E400 Orange","720p high definition or VGA","Fabrikam, Inc.","Fabrikam","Economy","Orange","3.5  x 3  x 2","",2.9,91.77,180,"Camcorders","Cameras and camcorders","pounds"
1204,"Fabrikam Independent Filmmaker 1'' 25mm X400 Grey","1080i/p or 720p high definition or standard definition","Fabrikam, Inc.","Fabrikam","Deluxe","Grey","2.8  x 5.2  x 1.3","",2.3,530.11,1600,"Camcorders","Cameras and camcorders","pounds"
1212,"Fabrikam Social Videographer 1'' 25mm E400 Grey","720p high definition or VGA","Fabrikam, Inc.","Fabrikam","Economy","Grey","5  x 7.2  x 1.7","",2.3,91.77,180,"Camcorders","Cameras and camcorders","pounds"
1228,"Fabrikam Independent Filmmaker 1"" 25mm X400 Blue","1080i/p or 720p high definition or standard definition","Fabrikam, Inc.","Fabrikam","Deluxe","Blue","7.6 x 6 x 4.7","",2.4,536.74,1620,"Camcorders","Cameras and camcorders","pounds"
1236,"Fabrikam Social Videographer 1"" 25mm E400 Blue","720p high definition or VGA","Fabrikam, Inc.","Fabrikam","Economy","Blue","3 x 5.2  x 1.3","",2.5,95.85,188,"Camcorders","Cameras and camcorders","pounds"
1244,"Fabrikam Social Videographer 1/2'' 3mm E300 White","720p high definition or VGA","Fabrikam, Inc.","Fabrikam","Economy","White","5.8  x 7.8  x 1.7","",1.8,90.75,178,"Camcorders","Cameras and camcorders","pounds"
