ProductKey,CustomerKey,OrderDateKey,DueDateKey,ShipDateKey,SalesOrderNumber,SalesAmount,SalesCountry,SalesRegion
480,26821,20200605,20200617,20200612,SO59532,2.29,Germany,Germany
477,13597,20200819,20200831,20200826,SO64581,4.99,Germany,Germany
485,16055,20200413,20200425,20200420,SO56159,21.98,Germany,Germany
587,19447,20201202,20201214,20201209,SO72137,769.49,France,France
569,28828,20200316,20200328,20200323,SO54517,742.35,United States,Southwest
359,14155,20201005,20201017,20201012,SO67778,2294.99,United Kingdom,United Kingdom
381,25231,20191211,20191223,20191218,SO50912,1000.4375,Australia,Australia
477,14031,20200817,20200829,20200824,SO64434,4.99,Australia,Australia
471,15286,20201111,20201123,20201118,SO70547,63.5,United States,Northwest
222,11506,20200504,20200516,20200511,SO57438,34.99,Canada,Canada
353,17767,20201215,20201227,20201222,SO73116,2319.99,France,France
530,27703,20200622,20200704,20200629,SO60644,4.99,Australia,Australia
217,11331,20200313,20200325,20200320,SO54331,34.99,Canada,Canada
217,27970,20200404,20200416,20200411,SO55618,34.99,Australia,Australia
528,14475,20200417,20200429,20200424,SO56355,4.99,United States,Northwest
536,19578,20200704,20200716,20200711,SO61483,29.99,Australia,Australia
485,13490,20200311,20200323,20200318,SO54225,21.98,United States,Southwest
565,28500,20200713,20200725,20200720,SO62074,742.35,Germany,Germany
217,11341,20200719,20200731,20200726,SO62450,34.99,United Kingdom,United Kingdom
478,22337,20201014,20201026,20201021,SO68359,9.99,United States,Southwest
357,13735,20201228,20210109,20210104,SO74127,2319.99,United States,Northwest
529,28379,20200410,20200422,20200417,SO55996,3.99,France,France
478,21288,20200427,20200509,20200504,SO56872,9.99,United States,Southwest
479,18240,20200108,20200120,20200115,SO51359,8.99,Australia,Australia
477,13237,20200501,20200513,20200508,SO57287,4.99,United States,Southwest
529,25657,20200421,20200503,20200428,SO56595,3.99,United Kingdom,United Kingdom
222,16400,20200127,20200208,20200203,SO51673,34.99,France,France
477,12919,20200212,20200224,20200219,SO52635,4.99,Canada,Canada
485,17442,20200224,20200308,20200303,SO53255,21.98,Canada,Canada
561,11112,20200902,20200914,20200909,SO65625,2384.07,Australia,Australia
485,16968,20201118,20201130,20201125,SO71061,21.98,United States,Southwest
465,11619,20200408,20200420,20200415,SO55877,24.49,Canada,Canada
528,16407,20201016,20201028,20201023,SO68482,4.99,United Kingdom,United Kingdom
490,18518,20201222,20210103,20201229,SO73688,53.99,United States,Northwest
355,13220,20200401,20200413,20200408,SO55491,2319.99,United States,Southwest
528,23050,20200204,20200216,20200211,SO52236,4.99,United States,Northwest
478,17385,20201001,20201013,20201008,SO67540,9.99,Canada,Canada
485,15904,20200531,20200612,20200607,SO59187,21.98,United States,Southwest
530,16282,20200513,20200525,20200520,SO57931,4.99,United Kingdom,United Kingdom
477,22588,20200709,20200721,20200716,SO61822,4.99,United Kingdom,United Kingdom
479,29298,20201024,20201105,20201031,SO69071,8.99,Australia,Australia
491,29327,20200709,20200721,20200716,SO61797,53.99,United States,Northwest
539,28983,20200811,20200823,20200818,SO64010,24.99,United States,Southwest
485,17841,20200629,20200711,20200706,SO61111,21.98,United Kingdom,United Kingdom
214,23514,20200926,20201008,20201003,SO67100,34.99,United States,Northwest
530,19642,20200616,20200628,20200623,SO60268,4.99,Canada,Canada
484,21373,20200312,20200324,20200319,SO54261,7.95,Australia,Australia
353,11295,20200109,20200121,20200116,SO51380,2319.99,United States,Southwest
606,23515,20200920,20201002,20200927,SO66758,539.99,United States,Southwest
537,11703,20201116,20201128,20201123,SO70907,35.0,United States,Southwest
529,15826,20201008,20201020,20201015,SO67979,3.99,Canada,Canada
487,18998,20201206,20201218,20201213,SO72505,54.99,United States,Northwest
528,26688,20200330,20200411,20200406,SO55346,4.99,United States,Northwest
225,21398,20201125,20201207,20201202,SO71516,8.99,United States,Southwest
