Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13
"Kosovo","0.9","0.9","0.3","0.3","0.4","0.4","..","..","0.5","-0.3","..",".."
"Kuwait","0.3","0.3","0.1","0.1","0.4","0.4","..","..","-6.1","11.9","3.2","2.2"
"Kyrgyz Republic","69.9","68.9","21.9","22.5","0.3","0.3","..","..","6.1","4.6","0.4","3.2"
"Lao PDR","8,179.3","8,351.5","2,920.6","2,922.1","0.4","0.3","..","..","3.0","1.9","1.6","0.8"
"Lebanon","1,507.5","1,507.5","869.9","875.6","0.6","0.6","..","..","-1.7","2.5","-0.8","4.3"
"Liberia","1.0","1.0","0.6","0.6","0.6","0.6","..","..","5.0","0.3","8.8","12.4"
"Libya","1.4","1.4","0.5","0.6","0.3","0.4","..","..","14.0","24.4","..",".."
"Liechtenstein","1.0","1.0","..","..","..","..","..","..","..","..","..",".."
"Lithuania","0.9","0.9","0.5","0.5","0.5","0.5","..","..","1.0","4.3","0.9","3.7"
"Madagascar","3,176.5","3,116.1","847.2","901.2","0.3","0.3","..","..","6.7","8.3","6.7","8.3"
"Maldives","15.4","15.4","9.9","9.7","0.6","0.6","..","..","-0.7","0.0","0.5","2.7"
"Mali","593.0","582.1","217.6","217.0","0.4","0.4","..","..","1.5","1.5","-1.8","1.8"
"Marshall Islands","1.0","1.0","0.9","0.9","0.9","0.9","..","..","6.2","0.0","..",".."
"Mauritania","351.5","357.6","100.5","102.9","0.3","0.3","..","..","4.1","4.2","1.5","2.3"
"Mauritius","35.5","34.5","16.3","16.3","0.5","0.5","..","..","2.2","1.9","1.0","3.7"
"Micronesia, Fed. Sts.","1.0","1.0","0.9","0.9","0.9","0.9","..","..","4.7","0.0","..",".."
"Monaco","0.9","0.9","..","..","..","..","..","..","..","..","..",".."
"Mongolia","2,140.3","2,439.8","645.3","701.0","0.3","0.3","..","..","2.1","10.6","1.1","4.1"
"Montenegro","0.9","0.9","0.4","0.4","0.4","0.4","..","..","5.1","2.7","-0.3","2.4"
"Mozambique","62.6","63.6","19.7","21.2","0.3","0.3","..","..","12.3","9.8","17.4","15.1"
"Myanmar","1,260.9","1,348.6","263.5","285.4","..","..","..","..","3.6","10.2","7.0","4.6"
"Namibia","14.7","13.3","6.3","6.6","0.4","0.5","..","..","10.0","6.8","6.7","6.1"
"Nepal","106.4","106.2","31.3","33.1","0.3","0.3","..","..","5.1","7.6","8.8","3.2"
"New Caledonia","89.9","..","..","..","..","..","..","..","..","..","..",".."
"Niger","593.0","582.1","220.6","216.5","0.4","0.4","..","..","0.2","-0.1","0.2","2.4"
"Northern Mariana Islands","1.0","1.0","..","..","..","..","..","..","3.5","..","..",".."
"Oman","0.4","0.4","0.1","0.1","0.4","0.4","..","..","-8.0","9.0","1.1","1.6"
"Palau","1.0","1.0","0.9","0.9","0.9","0.9","..","..","3.2","0.0","-1.0","1.3"
"Panama","1.0","1.0","0.6","0.6","0.6","0.6","..","..","1.4","1.5","0.7","0.9"
"Peru","3.4","3.3","1.6","1.6","0.5","0.5","..","..","2.9","3.9","3.6","2.8"
"Puerto Rico","1.0","1.0","0.8","0.8","0.8","0.8","..","..","4.6","..","..",".."
"Qatar","3.6","3.6","1.7","1.8","0.5","0.5","..","..","-9.4","8.2","2.9",".."
"Rwanda","787.3","831.5","290.0","305.7","0.4","0.4","..","..","5.5","7.3","7.2","8.3"
"San Marino","0.9","0.9","0.7","0.7","0.8","0.8","..","..","0.7","1.1","0.6","1.0"
"Sao Tome and Principe","22,148.9","21,835.6","12,115.6","12,463.6","0.5","0.6","..","..","8.1","4.7","5.4","5.7"
"Senegal","593.0","582.1","220.2","221.7","0.4","0.4","..","..","1.1","2.5","0.8","1.3"
"Serbia","111.3","107.8","41.6","42.1","0.4","0.4","..","..","2.5","2.8","1.1","3.1"
"Seychelles","13.3","13.6","7.3","7.3","0.5","0.5","..","..","-0.8","2.4","-1.0","2.9"
"Sint Maarten (Dutch part)","..","..","..","..","..","..","..","..","..","..","..",".."
"Slovenia","0.9","0.9","0.6","0.6","0.7","0.7","..","..","0.9","2.0","-0.1","1.4"
"Somalia","23,007.0","23,099.0","..","..","..","..","..","..","..","..","..",".."
"South Sudan","49.4","49.4","6.9","6.9","0.1","0.1","..","..","273.4","..","379.8","187.9"
"Sri Lanka","145.6","152.4","45.5","48.4","0.3","0.3","..","..","4.1","8.2","4.0","7.7"
"St. Martin (French part)","..","..","..","..","..","..","..","..","..","..","..",".."
"Sudan","6.2","7.0","3.2","4.1","0.5","0.6","..","..","-2.7","32.9","..",".."
"Suriname","6.2","7.5","2.4","2.9","0.4","0.4","..","..","30.5","21.8","55.5","22.0"
"Eswatini","14.7","13.3","4.9","5.1","0.3","0.4","..","..","5.3","5.3","7.8","6.2"
"Syrian Arab Republic","..","..","..","..","..","..","..","..","..","..","..",".."
"Tajikistan","7.8","8.5","2.1","2.2","0.3","0.3","..","..","5.3","4.7","6.0",".."
"Tanzania","2,177.1","2,228.9","686.4","708.4","0.3","0.3","..","..","6.2","5.1","5.2","5.3"
"Thailand","35.3","33.9","12.5","12.5","0.4","0.4","..","..","2.4","2.3","0.2","0.7"
"Timor-Leste","1.0","1.0","0.3","0.3","0.3","0.3","..","..","-19.5","27.4","-1.3","0.6"
"Tonga","2.2","2.2","1.4","1.5","0.7","0.7","..","..","1.7","3.1","2.6",".."
"Turkey","3.0","3.6","1.3","1.4","0.4","0.4","..","..","8.1","10.8","7.8","11.1"
"Turkmenistan","3.5","3.5","1.3","1.4","0.4","0.4","..","..","-4.8","9.9","..",".."
"Turks and Caicos Islands","..","..","..","..","..","..","..","..","..","..","..",".."
"Tuvalu","1.3","1.3","1.2","1.2","0.9","0.9","..","..","1.0","1.4","..",".."
"United Arab Emirates","3.7","3.7","1.9","2.0","0.5","0.6","..","..","-3.2","6.3","1.6","2.0"
"Uzbekistan","2,965.3","5,113.9","958.8","1,120.5","0.3","0.2","..","..","7.4","19.0","..",".."
"Vanuatu","108.5","106.2","102.6","103.4","0.9","1.0","..","..","2.2","2.6","0.8",".."
"Vietnam","21,935.0","22,370.1","7,562.9","7,735.7","0.3","0.3","..","..","1.1","4.1","3.2","3.5"
"Virgin Islands (U.S.)","1.0","1.0","..","..","..","..","..","..","..","..","..",".."
"West Bank and Gaza","..","..","2.2","2.3","0.6","0.6","..","..","1.2","4.7","-0.2",".."
"Yemen, Rep.","280.0","280.0","115.9","115.9","0.4","0.4","..","..","4.5","..","..",".."
"Zimbabwe","1.0","1.0","0.5","0.5","0.5","0.5","..","..","1.3","3.8","-1.6","0.9"
"Algeria","109.4","111.0","28.6","30.0","0.3","0.3","99.3","101.3","0.9","6.8","6.4","5.6"
"Antigua and Barbuda","2.7","2.7","1.7","1.7","0.6","0.6","103.9","94.2","1.6","1.6","-0.5","2.4"
"Armenia","480.5","482.7","196.1","197.0","0.4","0.4","103.6","100.7","0.3","2.2","-1.4","1.0"
"Australia","1.4","1.3","1.5","1.5","1.1","1.1","93.4","96.1","-0.5","3.7","1.3","1.9"
"Austria","0.9","0.9","0.8","0.8","0.9","0.9","101.0","102.2","1.1","1.6","0.9","2.1"
"Bahamas, The","1.0","1.0","1.0","1.0","1.0","1.0","109.9","108.4","2.1","1.3","-0.3","1.5"
"Bahrain","0.4","0.4","0.2","0.2","0.5","0.5","114.6","115.1","0.1","5.7","2.8","1.4"
"Belgium","0.9","0.9","0.8","0.8","0.9","0.9","98.2","99.9","1.6","1.7","2.0","2.1"
"Belize","2.0","2.0","1.2","1.1","0.6","0.6","106.4","104.2","2.8","0.1","0.7","1.2"
"Bolivia","6.9","6.9","3.0","3.1","0.4","0.4","150.5","148.4","-1.4","6.1","3.6","2.8"
"Brazil","3.5","3.2","2.0","2.0","0.6","0.6","78.3","85.8","8.1","3.8","8.7","3.4"
"Bulgaria","1.8","1.7","0.7","0.7","0.4","0.4","98.5","100.7","2.2","1.2","-0.8","2.1"
"Burundi","1,654.6","1,729.1","607.9","717.9","0.4","0.4","121.9","131.0","3.8","20.2","5.6","16.1"
"Cameroon","593.0","582.1","225.8","228.0","0.4","0.4","99.7","99.9","0.0","2.8","0.9","0.6"
"Canada","1.3","1.3","1.3","1.3","0.9","1.0","82.1","83.4","0.6","2.3","1.4","1.6"
"Central African Republic","593.0","582.1","326.8","335.5","0.6","0.6","124.1","127.0","6.3","4.5","..",".."
"Chile","677.0","648.8","402.6","413.4","0.6","0.6","97.3","100.1","4.7","4.7","3.8","2.2"
"China","6.6","6.8","3.5","3.5","0.5","0.5","123.8","120.6","1.1","4.1","2.0","1.6"
"Colombia","3,054.1","2,951.3","1,241.2","1,278.0","0.4","0.4","67.8","65.1","4.9","4.8","7.5","4.3"
"Congo, Dem. Rep.","1,072.2","1,480.2","548.8","763.9","0.5","0.5","128.6","103.6","4.3","41.7","2.9",".."
"Costa Rica","544.7","572.6","390.0","390.7","0.7","0.7","117.0","111.5","1.8","2.0","0.0","1.6"
"Cote d'Ivoire","592.8","582.1","246.4","244.8","0.4","0.4","99.3","99.2","1.6","1.1","0.7","0.7"
"Croatia","6.8","6.6","3.5","3.5","0.5","0.5","93.7","95.0","-0.1","1.2","-1.1","1.1"
"Cyprus","0.9","0.9","0.7","0.6","0.7","0.7","89.9","90.5","-0.7","1.5","-1.7","0.5"
"Czech Republic","24.4","23.4","13.0","12.9","0.5","0.6","92.0","95.9","1.2","1.3","0.7","2.5"
"Denmark","6.7","6.6","7.4","7.4","1.1","1.1","96.6","97.3","0.0","1.6","0.2","1.1"
"Dominica","2.7","2.7","2.0","1.9","0.7","0.7","97.7","94.7","5.9","1.0","0.2","0.4"
"Dominican Republic","46.1","47.6","20.6","20.9","0.4","0.4","97.8","95.5","0.9","3.7","1.6","3.3"
"Equatorial Guinea","592.8","582.1","209.0","231.0","0.4","0.4","100.0","100.5","-6.4","12.5","1.4","0.7"
"Fiji","2.1","2.1","1.2","1.2","0.6","0.6","114.9","116.5","6.5","3.0","3.9","3.4"
"Finland","0.9","0.9","0.9","0.9","1.0","1.0","97.9","97.6","0.8","0.9","0.4","0.8"
"France","0.9","0.9","0.8","0.8","0.9","0.9","93.5","94.4","0.2","1.0","0.2","1.0"
"Gabon","593.0","582.1","232.3","231.2","0.4","0.4","100.6","102.4","-4.3","1.3","2.1",".."
"Gambia, The","43.9","46.6","12.4","13.1","0.3","0.3","91.2","92.7","7.1","8.1","7.2",".."
"Georgia","2.4","2.5","0.9","1.0","0.4","0.4","100.0","98.4","4.2","6.5","2.1","6.0"
"Germany","0.9","0.9","0.8","0.8","0.9","0.9","94.8","96.1","1.3","1.5","0.5","1.7"
"Ghana","3.9","4.4","1.4","1.5","0.4","0.4","79.0","77.7","17.8","13.4","17.5","12.4"
"Greece","0.9","0.9","0.6","0.6","0.7","0.7","89.5","90.4","-1.0","0.7","-0.8","1.1"
"Grenada","2.7","2.7","1.9","1.9","0.7","0.7","97.0","92.9","2.2","2.1","1.7","0.9"
"Guyana","206.5","206.5","119.4","119.5","0.6","0.6","111.7","110.5","7.1","1.9","0.8",".."
"Hungary","281.5","274.4","135.2","137.6","0.5","0.5","89.6","91.5","1.0","3.7","0.4","2.3"
"Iceland","120.8","106.8","144.1","139.9","1.2","1.3","129.2","144.8","2.1","0.5","1.7","1.8"
"Iran, Islamic Rep.","31,389.0","33,735.9","8,212.1","8,720.2","0.3","0.3","105.8","106.5","1.6","8.1","8.6","10.5"
"Ireland","0.9","0.9","0.8","0.8","0.9","0.9","90.1","90.6","0.0","-0.3","0.0","0.3"
"Israel","3.8","3.6","3.8","3.8","1.0","1.0","104.8","109.8","0.8","0.2","-0.5","0.2"
"Italy","0.9","0.9","0.7","0.7","0.8","0.8","95.9","96.6","0.8","0.6","-0.1","1.2"
"Japan","108.8","112.2","100.3","98.2","0.9","0.9","79.7","75.8","0.3","-0.2","-0.1","0.5"
"Korea, Rep.","1,160.4","1,130.4","874.6","878.8","0.8","0.8","143.8","149.7","2.0","2.3","1.0","1.9"
"Latvia","0.9","0.9","0.5","0.5","0.5","0.6","100.2","101.0","0.3","3.1","0.1","2.9"
"Lesotho","14.7","13.3","5.2","5.0","0.4","0.4","68.8","76.6","2.9","-1.1","6.6","5.3"
"Luxembourg","0.9","0.9","0.9","0.9","1.0","1.0","98.2","100.3","-1.3","2.1","0.3","1.7"
"Macedonia, FYR","55.7","54.7","19.5","19.5","0.4","0.4","101.0","101.5","4.2","3.5","-0.2","1.3"
"Malawi","718.0","730.3","184.5","205.6","0.3","0.3","72.3","74.4","19.5","13.5","21.7","12.2"
"Malaysia","4.1","4.3","1.4","1.5","0.3","0.3","88.2","86.7","2.0","3.8","2.1","3.9"
"Malta","0.9","0.9","0.6","0.6","0.7","0.7","94.7","95.9","1.6","2.5","0.6","1.4"
"Mexico","18.7","18.9","8.9","9.3","0.5","0.5","79.9","81.8","5.4","6.1","2.8","6.0"
"Moldova","19.9","18.5","7.1","7.4","0.4","0.4","102.9","113.5","5.7","6.3","6.4","6.6"
"Morocco","9.8","9.7","3.6","3.5","0.4","0.4","100.0","99.6","2.2","0.0","1.6","0.8"
"Netherlands","0.9","0.9","0.8","0.8","0.9","0.9","97.4","98.4","0.6","1.1","0.3","1.4"
"New Zealand","1.4","1.4","1.5","1.5","1.0","1.0","109.6","111.0","3.2","3.4","0.6","1.9"
"Nicaragua","28.6","30.1","11.1","11.4","0.4","0.4","103.1","99.6","4.9","4.9","3.5","3.9"
"Nigeria","253.5","305.8","94.1","102.7","0.4","0.3","116.2","105.4","9.5","11.1","15.7","16.5"
"Norway","8.4","8.3","10.1","10.2","1.2","1.2","86.6","87.4","-1.1","3.8","3.6","1.9"
"Pakistan","104.3","104.8","28.7","29.4","0.3","0.3","122.8","124.8","0.4","4.0","3.8","4.1"
"Papua New Guinea","3.1","3.2","1.9","1.9","0.6","0.6","123.6","124.0","7.1","5.5","6.7",".."
"Paraguay","5,670.5","5,562.3","2,416.9","2,505.7","0.4","0.5","114.9","115.3","5.3","5.5","4.1","3.6"
"Philippines","47.5","50.4","18.0","18.1","0.4","0.4","110.6","105.7","1.7","2.3","1.3","2.9"
"Poland","3.9","3.8","1.8","1.8","0.5","0.5","90.0","93.0","0.4","2.0","-0.7","2.1"
"Portugal","0.9","0.9","0.6","0.6","0.6","0.7","97.4","98.2","1.5","1.4","0.6","1.4"
"Romania","4.1","4.1","1.7","1.7","0.4","0.4","96.1","95.2","2.1","5.3","-1.5","1.3"
"Russian Federation","67.1","58.3","23.7","24.5","0.4","0.4","81.1","93.4","3.5","5.2","7.0","3.7"
"Samoa","2.6","2.5","1.7","1.6","0.6","0.7","109.8","109.5","-1.6","1.2","1.3","1.6"
"Saudi Arabia","3.8","3.8","1.4","1.4","0.4","0.4","123.5","122.2","-3.0","6.8","3.5","-0.2"
"Sierra Leone","6,500.0","7,315.1","2,124.7","2,393.5","0.3","0.3","129.9","112.2","1.8","14.7","10.9","18.2"
"Singapore","1.4","1.4","0.9","0.8","0.6","0.6","109.8","108.7","0.0","0.9","-0.5","0.6"
"Slovak Republic","0.9","0.9","0.5","0.5","0.5","0.5","98.6","98.5","-0.4","1.3","-0.5","1.3"
"Solomon Islands","7.9","7.9","7.0","6.9","0.9","0.9","134.5","132.3","3.6","1.6","0.5","0.5"
"South Africa","14.7","13.3","5.9","6.1","0.4","0.5","72.0","81.2","6.8","5.5","6.6","5.2"
"Spain","0.9","0.9","0.7","0.7","0.7","0.7","95.1","97.0","0.3","1.0","-0.2","2.0"
"St. Kitts and Nevis","2.7","2.7","1.7","1.7","0.6","0.6","108.2","105.6","1.4","2.2","-0.7","0.6"
"St. Lucia","2.7","2.7","1.9","1.8","0.7","0.7","105.4","103.6","-0.6","0.0","-3.1","0.1"
"St. Vincent and the Grenadines","2.7","2.7","1.7","1.6","0.6","0.6","112.4","110.3","-0.1","1.5","-0.1","2.2"
"Sweden","8.6","8.5","9.1","9.1","1.1","1.1","94.7","94.1","1.6","2.1","1.0","1.8"
"Switzerland","1.0","1.0","1.2","1.2","1.3","1.2","110.7","108.8","-0.6","0.4","-0.4","0.5"
"Togo","593.0","582.1","228.5","228.9","0.4","0.4","94.3","93.6","2.1","2.0","0.9","-0.8"
"Trinidad and Tobago","6.7","6.8","3.4","3.5","0.5","0.5","128.3","125.3","1.6","3.0","3.1","1.9"
"Tunisia","2.1","2.4","0.7","0.7","0.3","0.3","95.1","87.5","5.6","5.7","3.7","5.3"
"Uganda","3,443.0","3,528.3","1,098.3","1,143.5","0.3","0.3","101.1","97.4","3.5","6.0","5.7","5.2"
"Ukraine","25.6","26.6","6.8","8.1","0.3","0.3","72.6","76.0","17.1","22.1","13.9","14.4"
"United Kingdom","0.7","0.8","0.7","0.7","0.9","0.9","104.8","99.7","2.0","2.0","0.6","2.7"
"United States","1.0","1.0","1.0","1.0","1.0","1.0","117.8","117.5","1.3","1.8","1.3","2.1"
"Uruguay","30.2","30.2","21.3","21.8","0.7","0.7","119.3","127.6","7.3","4.0","9.6","6.2"
"Venezuela, RB","6.3","..","5.6","..","0.9","..","779.8","2,321.5","..","..","254.9",".."
"Zambia","10.3","9.5","3.3","3.5","0.3","0.4","88.5","96.4","13.6","9.2","17.9","6.6"
