FK_dim_Solicitacoes,Apoio,Notificação,Agendamento,Prazo,Data Criacao,Hora Criacao,Data Conclusao,Hora Conclusao,FK_dim_Entidades,FK_dim_Servicos,FK_dim_Usuarios,FK_dim_GruposUsuarios,FK_dim_Acoes,FK_dim_StatusExt,FK_dim_CategoriasServicos,FK_dim_GrupoResponsavel,FK_dim_MotivosCanc,FK_dim_Encaminhamento,Nota Avaliação,Motivo Avaliação,Data Avaliação,Hora Avaliação,FK_dim_Situacao
"2020.12-32.678",0,0,0,21600,2020-12-28 00:00:00.000,1899-12-30 18:37:26.000,,,,1,,1,,1,1,1,,"",-1,"",,,1
"2020.12-35.677",0,0,0,0,2020-12-28 00:00:00.000,1899-12-30 18:13:10.000,,,,2,,2,,1,2,2,,"",-1,"",,,1
"2020.12-32.676",0,0,0,21600,2020-12-28 00:00:00.000,1899-12-30 18:12:35.000,,,,1,,1,,1,1,1,,"",-1,"",,,1
"2020.12-32.675",0,0,0,21600,2020-12-28 00:00:00.000,1899-12-30 18:06:31.000,,,,1,,1,,1,1,1,,"",-1,"",,,1
"2020.12-35.674",0,0,0,0,2020-12-28 00:00:00.000,1899-12-30 17:55:12.000,,,,2,,2,,1,2,2,,"",-1,"",,,1
"2020.12-32.673",0,0,0,21600,2020-12-28 00:00:00.000,1899-12-30 17:55:08.000,,,,1,,1,,1,1,1,,"",-1,"",,,1
"2020.12-32.672",0,0,0,21600,2020-12-28 00:00:00.000,1899-12-30 17:49:22.000,,,,1,,1,,1,1,1,,"",-1,"",,,1
"2020.12-35.671",0,0,0,0,2020-12-28 00:00:00.000,1899-12-30 17:40:31.000,,,,2,,2,,1,2,2,,"",-1,"",,,1
"2020.12-32.670",0,0,0,21600,2020-12-28 00:00:00.000,1899-12-30 17:40:08.000,,,,1,,1,,1,1,1,,"",-1,"",,,1
"2020.7-516.54",0,0,0,4320,2020-10-02 00:00:00.000,1899-12-30 18:55:29.000,,,,5,,,,1,4,4,,"",-1,"",,,1
"2020.12-32.669",0,0,0,21600,2020-12-28 00:00:00.000,1899-12-30 17:20:46.000,,,,1,,1,,1,1,1,,"",-1,"",,,1
"2020.12-35.667",0,0,0,0,2020-12-21 00:00:00.000,1899-12-30 14:59:35.000,,,,2,,2,,1,2,2,,"",-1,"",,,1
"2020.12-32.666",0,0,0,21600,2020-12-21 00:00:00.000,1899-12-30 14:59:09.000,,,,1,,1,,1,1,1,,"",-1,"",,,1
"2020.12-35.665",0,0,0,0,2020-12-21 00:00:00.000,1899-12-30 14:57:31.000,,,,2,,2,,1,2,2,,"",-1,"",,,1
"2020.12-32.664",0,0,0,21600,2020-12-21 00:00:00.000,1899-12-30 14:32:01.000,,,,1,,1,,1,1,1,,"",-1,"",,,1
"2020.12-32.663",0,0,0,21600,2020-12-21 00:00:00.000,1899-12-30 14:29:29.000,,,,1,,1,,1,1,1,,"",-1,"",,,1
"2020.12-32.662",0,0,0,21600,2020-12-17 00:00:00.000,1899-12-30 22:03:20.000,,,,1,,1,,1,1,1,,"",-1,"",,,1
"2020.12-32.661",0,0,0,21600,2020-12-17 00:00:00.000,1899-12-30 22:01:54.000,,,,1,,1,,1,1,1,,"",-1,"",,,1
"2020.12-32.659",0,0,0,21600,2020-12-16 00:00:00.000,1899-12-30 13:39:24.000,,,,1,,1,,1,1,1,,"",-1,"",,,1
"2020.12-32.658",0,0,0,21600,2020-12-16 00:00:00.000,1899-12-30 13:37:28.000,,,,1,,1,,1,1,1,,"",-1,"",,,1
"2020.12-32.657",0,0,0,21600,2020-12-16 00:00:00.000,1899-12-30 13:29:01.000,,,,1,,1,,1,1,1,,"",-1,"",,,1
"2020.12-32.656",0,0,0,21600,2020-12-15 00:00:00.000,1899-12-30 20:21:06.000,,,,1,,1,,1,1,1,,"",-1,"",,,1
"2020.12-32.655",0,0,0,21600,2020-12-15 00:00:00.000,1899-12-30 18:42:19.000,,,,1,,1,,1,1,1,,"",-1,"",,,1
"2020.12-32.654",0,0,0,21600,2020-12-15 00:00:00.000,1899-12-30 18:41:40.000,,,,1,,1,,1,1,1,,"",-1,"",,,1
"2020.12-32.653",0,0,0,21600,2020-12-15 00:00:00.000,1899-12-30 18:38:34.000,,,,1,,1,,1,1,1,,"",-1,"",,,1
"2020.12-null.652",0,0,0,21600,2020-12-15 00:00:00.000,1899-12-30 18:37:29.000,,,,1,,1,,1,1,1,,"",-1,"",,,1
"2020.11-32.638",0,0,0,21600,2020-11-25 00:00:00.000,1899-12-30 17:09:54.000,,,,1,,1,,1,1,1,,"",-1,"",,,1
"2020.12-32.651",0,0,0,21600,2020-12-15 00:00:00.000,1899-12-30 18:33:45.000,,,,1,,1,,1,1,1,,"",-1,"",,,1
"2020.11-32.639",0,0,0,21600,2020-11-25 00:00:00.000,1899-12-30 17:10:20.000,,,,1,,1,,1,1,1,,"",-1,"",,,1
"2020.12-32.650",0,0,0,21600,2020-12-15 00:00:00.000,1899-12-30 18:17:17.000,,,,1,,1,,1,1,1,,"",-1,"",,,1
"2020.12-32.649",0,0,0,21600,2020-12-09 00:00:00.000,1899-12-30 18:38:31.000,,,,1,,1,,1,1,1,,"",-1,"",,,1
"2020.12-32.648",0,0,0,21600,2020-12-09 00:00:00.000,1899-12-30 17:45:06.000,,,,1,,1,,1,1,1,,"",-1,"",,,1
"2020.12-35.647",0,0,0,0,2020-12-09 00:00:00.000,1899-12-30 17:31:15.000,,,,2,,2,,1,2,2,,"",-1,"",,,1
"2020.12-35.646",0,0,0,0,2020-12-09 00:00:00.000,1899-12-30 17:26:10.000,,,,2,,2,,1,2,2,,"",-1,"",,,1
"2020.12-32.643",0,0,0,21600,2020-12-09 00:00:00.000,1899-12-30 15:01:27.000,,,,1,,1,,1,1,1,,"",-1,"",,,1
"2020.12-35.642",0,0,0,0,2020-12-09 00:00:00.000,1899-12-30 14:52:55.000,,,,2,,2,,1,2,2,,"",-1,"",,,1
"2020.11-59.641",0,0,0,43200,2020-11-25 00:00:00.000,1899-12-30 22:02:21.000,,,,3,,3,,1,3,3,,"",-1,"",,,1
"2020.11-59.631",0,0,0,43200,2020-11-04 00:00:00.000,1899-12-30 17:14:01.000,,,,3,,3,,1,3,3,,"",-1,"",,,1
"2020.11-59.633",0,0,0,43200,2020-11-05 00:00:00.000,1899-12-30 18:15:12.000,,,,3,,3,,1,3,3,,"",-1,"",,,1
"2020.7-34.574",0,0,0,21600,2020-11-24 00:00:00.000,1899-12-30 20:17:32.000,,,,4,,1,,1,1,1,,"",-1,"",,,1
"2020.11-59.636",0,0,0,43200,2020-11-05 00:00:00.000,1899-12-30 18:47:03.000,,,,3,,3,,1,3,3,,"",-1,"",,,1
"2020.7-34.567",0,0,0,21600,2020-08-24 00:00:00.000,1899-12-30 20:27:22.000,,,,4,,1,,1,1,1,,"",-1,"",,,1
"2020.7-34.562",0,0,0,21600,2020-08-24 00:00:00.000,1899-12-30 19:55:54.000,,,,4,,1,,1,1,1,,"",-1,"",,,1
"2020.7-34.560",0,0,0,21600,2020-08-24 00:00:00.000,1899-12-30 19:51:21.000,,,,4,,,,1,1,1,,"",-1,"",,,1
"2020.7-34.556",0,0,0,21600,2020-08-24 00:00:00.000,1899-12-30 19:42:12.000,,,,4,,1,,1,1,1,,"",-1,"",,,1
"2020.7-34.555",0,0,0,21600,2020-08-24 00:00:00.000,1899-12-30 19:41:35.000,,,,4,,1,,1,1,1,,"",-1,"",,,1
"2020.7-34.551",0,0,0,21600,2020-08-24 00:00:00.000,1899-12-30 19:38:24.000,,,,4,,1,,1,1,1,,"",-1,"",,,1
"2020.7-34.550",0,0,0,21600,2020-08-24 00:00:00.000,1899-12-30 18:53:26.000,,,,4,,1,,1,1,1,,"",-1,"",,,1
"2020.7-491.44",0,0,0,7200,2020-07-17 00:00:00.000,1899-12-30 16:09:05.000,,,,7,,11,,1,,5,,"",-1,"",,,1
"2020.7-490.44",0,0,0,7200,2020-07-17 00:00:00.000,1899-12-30 16:03:51.000,,,,7,,11,,1,,5,,"",-1,"",,,1
"2020.7-532.32",0,0,0,21600,2020-08-03 00:00:00.000,1899-12-30 17:54:19.000,,,,1,,9,,1,1,1,,"",-1,"",,,1
"2020.7-533.32",0,0,0,21600,2020-09-09 00:00:00.000,1899-12-30 18:46:20.000,,,,1,,,,1,1,1,,"",-1,"",,,1
"2020.8-32.576",0,0,0,21600,2020-11-24 00:00:00.000,1899-12-30 20:20:24.000,,,,1,,1,,1,1,1,,"",-1,"",,,1
"2020.8-32.578",0,0,0,21600,2020-09-02 00:00:00.000,1899-12-30 14:09:05.000,,,,1,,1,,1,1,1,,"",-1,"",,,1
"2020.8-32.579",0,0,0,21600,2020-09-01 00:00:00.000,1899-12-30 20:03:08.000,,,,1,,1,,1,1,1,,"",-1,"",,,1
"2020.9-32.580",0,0,0,21600,2020-09-03 00:00:00.000,1899-12-30 17:34:57.000,,,,1,,1,,1,1,1,,"",-1,"",,,1
"2020.9-32.586",0,0,0,21600,2020-11-04 00:00:00.000,1899-12-30 13:43:11.000,,,,1,,1,,1,1,1,,"",-1,"",,,1
"2020.9-32.588",0,0,0,21600,2020-09-09 00:00:00.000,1899-12-30 12:37:18.000,,,,1,,1,,1,1,1,,"",-1,"",,,1
"2020.9-32.591",0,0,0,21600,2020-11-23 00:00:00.000,1899-12-30 14:00:20.000,,,,1,,,,1,1,1,,"",-1,"",,,1
"2020.9-32.596",0,0,0,21600,2020-09-14 00:00:00.000,1899-12-30 23:42:18.000,,,,1,,1,,1,1,1,,"",-1,"",,,1
"2020.9-44.597",0,0,0,7200,2020-09-19 00:00:00.000,1899-12-30 15:37:29.000,,,,7,,11,,1,,5,,"",-1,"",,,1
"2020.7-55.539",0,0,0,0,2020-07-25 00:00:00.000,1899-12-30 20:28:00.000,,,,8,,13,,1,,6,,"",-1,"",,,1
"2020.7-55.545",0,0,0,0,2020-07-26 00:00:00.000,1899-12-30 15:32:00.000,,,,8,,13,,1,,6,,"",-1,"",,,1
"2020.10-32.615",0,0,0,21600,2020-10-09 00:00:00.000,1899-12-30 20:55:24.000,,,,1,,1,,10,1,1,,"",-1,"",,,1
"2020.10-32.617",0,0,0,21600,2020-10-13 00:00:00.000,1899-12-30 19:30:31.000,,,,1,,1,,10,1,1,,"",-1,"",,,1
"2020.10-32.614",0,0,0,21600,2020-10-09 00:00:00.000,1899-12-30 16:10:17.000,,,,1,,5,,2,1,1,,"",-1,"",,,1
"2020.10-32.618",0,0,0,21600,2020-10-14 00:00:00.000,1899-12-30 19:43:08.000,,,,1,,5,,2,1,1,,"",-1,"",,,1
"2020.7-32.549",0,0,0,21600,2020-12-03 00:00:00.000,1899-12-30 17:30:14.000,,,,1,,1,,2,1,1,,"",-1,"",,,1
"2020.7-34.561",0,0,0,21600,2020-09-28 00:00:00.000,1899-12-30 18:04:42.000,,,,4,,,,15,1,1,,"",-1,"",,,1
"2020.7-486.34",0,0,0,21600,2020-08-24 00:00:00.000,1899-12-30 19:36:54.000,,,,4,,1,,15,1,1,,"",-1,"",,,1
"2020.7-489.32",0,0,0,21600,2020-07-22 00:00:00.000,1899-12-30 20:20:21.000,,,,1,,12,,10,1,1,,"",-1,"",,,1
"2020.7-501.48",0,0,0,43200,2020-07-20 00:00:00.000,1899-12-30 15:59:18.000,,,,9,,21,,25,,7,,"",-1,"",,,1
"2020.7-510.48",0,0,0,43200,2020-07-20 00:00:00.000,1899-12-30 22:30:53.000,,,,9,,18,,23,,7,,"",-1,"",,,1
"2020.7-518.34",0,0,0,21600,2020-08-24 00:00:00.000,1899-12-30 17:32:01.000,,,,4,,,,15,1,1,,"",-1,"",,,1
"2020.7-527.32",0,0,0,21600,2020-11-24 00:00:00.000,1899-12-30 20:38:46.000,,,,1,,1,,2,1,1,,"",-1,"",,,1
"2020.7-528.32",0,0,0,21600,2020-09-03 00:00:00.000,1899-12-30 17:41:58.000,,,,1,,1,,2,1,1,3,"",-1,"",,,3
"2020.7-529.32",0,0,0,21600,2020-08-03 00:00:00.000,1899-12-30 16:48:32.000,,,,1,,12,,2,1,1,,"",-1,"",,,1
"2020.9-32.581",0,0,0,21600,2020-09-03 00:00:00.000,1899-12-30 17:32:06.000,,,,1,,1,,2,1,1,,"",-1,"",,,1
"2020.9-32.583",0,0,0,21600,2020-09-03 00:00:00.000,1899-12-30 17:13:06.000,,,,1,,1,,2,1,1,,"",-1,"",,,1
"2020.9-32.584",0,0,0,21600,2020-09-03 00:00:00.000,1899-12-30 18:34:34.000,,,,1,,1,,2,1,1,,"",-1,"",,,1
"2020.9-32.589",0,0,0,21600,2020-11-07 00:00:00.000,1899-12-30 04:00:24.000,,,,1,,5,,2,1,1,,"",-1,"",,,1
"2020.9-32.590",0,0,0,21600,2020-11-09 00:00:00.000,1899-12-30 13:08:01.000,,,,1,,5,,2,1,1,,"",-1,"",,,1
"2020.9-32.593",0,0,0,21600,2020-10-09 00:00:00.000,1899-12-30 15:18:44.000,,,,1,,5,,2,1,1,,"",-1,"",,,1
"2020.9-32.594",0,0,0,21600,2020-09-09 00:00:00.000,1899-12-30 19:02:29.000,,,,1,,1,,2,1,1,,"",-1,"",,,1
"2020.9-32.595",0,0,0,21600,2020-09-09 00:00:00.000,1899-12-30 19:20:55.000,,,,1,,1,,2,1,1,,"",-1,"",,,1
"2020.7-55.538",0,0,0,0,2020-07-24 00:00:00.000,1899-12-30 22:24:44.000,,,,8,,15,,17,,6,,"",-1,"",,,1
"2020.7-55.541",0,0,0,0,2020-07-26 00:00:00.000,1899-12-30 17:00:51.000,,,,8,,15,,17,,6,,"",-1,"",,,1
"2020.7-55.543",0,0,0,0,2020-07-26 00:00:00.000,1899-12-30 17:02:43.000,,,,8,,15,,17,,6,,"",-1,"",,,1
"2020.7-55.546",0,0,0,0,2020-07-27 00:00:00.000,1899-12-30 12:19:04.000,,,,8,,13,,19,,6,,"",-1,"",,,1
"2020.7-55.547",0,0,0,0,2020-07-27 00:00:00.000,1899-12-30 13:07:59.000,,,,8,,13,,17,,6,,"",-1,"",,,1
"2020.10-32.616",0,0,0,21600,2020-10-12 00:00:00.000,1899-12-30 22:23:29.000,,,,1,2,1,,1,1,1,,"",-1,"",,,1
"2020.12-32.660",0,0,0,21600,2020-12-16 00:00:00.000,1899-12-30 17:04:19.000,,,,1,2,1,,1,1,1,,"",-1,"",,,1
"2020.11-32.640",0,0,0,21600,2020-11-25 00:00:00.000,1899-12-30 19:44:35.000,,,,1,2,1,,1,1,1,,"",-1,"",,,1
"2020.11-59.635",0,0,0,43200,2020-11-05 00:00:00.000,1899-12-30 18:48:26.000,,,,3,4,7,,8,3,3,,"",-1,"",,,1
"2020.7-32.570",0,0,0,21600,2020-07-30 00:00:00.000,1899-12-30 17:24:18.000,,,,1,2,1,,1,1,1,,"",-1,"",,,1
"2020.7-32.571",0,0,0,21600,2020-07-30 00:00:00.000,1899-12-30 17:25:41.000,,,,1,2,1,,1,1,1,,"",-1,"",,,1
"2020.7-32.572",0,0,0,21600,2020-07-31 00:00:00.000,1899-12-30 20:55:23.000,,,,1,7,,,10,1,1,,"",-1,"",,,1
"2020.7-32.573",0,0,0,21600,2020-07-31 00:00:00.000,1899-12-30 19:24:10.000,,,,1,2,1,,1,1,1,,"",-1,"",,,1
"2020.7-34.569",0,0,0,21600,2020-07-30 00:00:00.000,1899-12-30 14:40:31.000,,,,4,2,1,,1,1,1,,"",-1,"",,,1
"2020.7-34.566",0,0,0,21600,2020-07-30 00:00:00.000,1899-12-30 14:35:17.000,,,,4,2,1,,1,1,1,,"",-1,"",,,1
"2020.7-34.565",0,0,0,21600,2020-07-30 00:00:00.000,1899-12-30 13:43:09.000,,,,4,2,1,,1,1,1,,"",-1,"",,,1
"2020.7-34.563",0,0,0,21600,2020-07-29 00:00:00.000,1899-12-30 20:52:56.000,,,,4,2,1,,1,1,1,,"",-1,"",,,1
"2020.7-492.48",0,0,0,43200,2020-07-20 00:00:00.000,1899-12-30 21:33:48.000,,,,9,4,21,,25,,7,,"",-1,"",,,1
"2020.7-493.48",0,0,0,43200,2020-07-20 00:00:00.000,1899-12-30 21:35:41.000,,,,9,4,21,,1,,7,,"",-1,"",,,1
"2020.7-496.48",0,0,0,43200,2020-07-20 00:00:00.000,1899-12-30 20:52:13.000,,,,9,4,21,,25,,7,,"",-1,"",,,1
"2020.7-497.48",0,0,0,43200,2020-07-17 00:00:00.000,1899-12-30 22:22:38.000,,,,9,4,21,,1,,7,,"",-1,"",,,1
"2020.7-503.48",0,0,0,43200,2020-07-20 00:00:00.000,1899-12-30 16:23:54.000,,,,9,17,19,,24,,7,,"",-1,"",,,1
"2020.7-504.48",0,0,0,43200,2020-07-20 00:00:00.000,1899-12-30 22:01:26.000,,,,9,15,17,,23,,7,,"",-1,"",,,1
"2020.7-505.48",0,0,0,43200,2020-07-20 00:00:00.000,1899-12-30 18:22:49.000,,,,9,6,16,,1,,7,,"",-1,"",,,1
"2020.7-507.48",0,0,0,43200,2020-07-20 00:00:00.000,1899-12-30 20:15:56.000,,,,9,6,16,,1,,7,,"",-1,"",,,1
"2020.7-512.48",0,0,0,43200,2020-07-20 00:00:00.000,1899-12-30 23:10:06.000,,,,9,6,16,,1,,7,,"",-1,"",,,1
"2020.7-514.48",0,0,0,43200,2020-07-20 00:00:00.000,1899-12-30 23:46:58.000,,,,9,6,16,,1,,7,,"",-1,"",,,1
"2020.8-32.577",0,0,0,21600,2020-09-01 00:00:00.000,1899-12-30 20:03:08.000,,,,1,2,1,,1,1,1,,"",-1,"",,,1
"2020.9-32.592",0,0,0,21600,2020-09-09 00:00:00.000,1899-12-30 18:27:29.000,,,,1,2,1,,1,1,1,,"",-1,"",,,1
"2020.9-59.600",0,0,0,43200,2020-09-22 00:00:00.000,1899-12-30 16:39:50.000,,,,3,6,3,,1,3,3,,"",-1,"",,,1
"2020.7-55.537",0,0,0,0,2020-07-24 00:00:00.000,1899-12-30 17:07:10.000,,,,8,11,13,,1,,6,,"",-1,"",,,1
"2020.7-55.540",0,0,0,0,2020-07-25 00:00:00.000,1899-12-30 20:28:20.000,,,,8,11,13,,1,,6,,"",-1,"",,,1
"2020.7-55.542",0,0,0,0,2020-07-26 00:00:00.000,1899-12-30 01:11:26.000,,,,8,11,13,,1,,6,,"",-1,"",,,1
"2020.7-34.557",0,0,1,21600,2020-08-24 00:00:00.000,1899-12-30 19:46:18.000,,,,4,,1,13,1,1,1,,"",-1,"",,,1
"2020.7-34.553",0,0,1,21600,2020-08-03 00:00:00.000,1899-12-30 21:07:37.000,,,,4,,1,13,15,1,1,,"",-1,"",,,1
"2020.7-506.48",0,0,0,43200,2020-07-20 00:00:00.000,1899-12-30 19:12:27.000,,,,9,6,16,30,25,,7,,"",-1,"",,,1
"2020.8-34.575",0,0,1,21600,2020-08-03 00:00:00.000,1899-12-30 21:16:27.000,,,,4,2,1,13,1,1,1,,"",-1,"",,,1
"2020.9-34.582",0,0,1,21600,2020-09-03 00:00:00.000,1899-12-30 15:34:42.000,,,,4,,1,13,1,1,1,,"",-1,"",,,1
"2020.9-34.609",0,0,1,21600,2020-09-28 00:00:00.000,1899-12-30 18:22:02.000,,,,4,,1,13,1,1,1,,"",-1,"",,,1
"2020.7-500.48",0,1,0,43200,2020-07-20 00:00:00.000,1899-12-30 15:36:27.000,2020-07-20 00:00:00.000,1899-12-30 22:04:31.000,,9,18,20,32,27,,7,4,"",-1,"",,,3
"2020.7-528.32",0,1,0,21600,2020-09-03 00:00:00.000,1899-12-30 16:12:16.000,2020-09-03 00:00:00.000,1899-12-30 17:41:06.000,,1,2,1,10,2,1,1,3,"",-1,"",,,3
"2020.9-60.604",0,1,0,28800,2020-09-23 00:00:00.000,1899-12-30 15:35:54.000,2020-11-05 00:00:00.000,1899-12-30 18:56:53.000,,6,3,6,2,1,3,3,2,"",-1,"",,,3
"2020.10-32.615",0,1,0,21600,2020-10-09 00:00:00.000,1899-12-30 19:23:11.000,2020-10-09 00:00:00.000,1899-12-30 20:54:35.000,,1,8,5,9,10,1,1,,"",-1,"",,,1
"2020.10-32.617",0,1,0,21600,2020-10-13 00:00:00.000,1899-12-30 19:28:20.000,2020-10-13 00:00:00.000,1899-12-30 19:29:52.000,,1,8,5,9,10,1,1,,"",-1,"",,,1
"2020.10-32.617",1,0,0,21600,2020-10-12 00:00:00.000,1899-12-30 22:44:11.000,2020-10-13 00:00:00.000,1899-12-30 19:26:50.000,,1,8,5,12,2,1,1,,"",-1,"",,,1
"2020.7-516.54",1,0,0,4320,2020-07-22 00:00:00.000,1899-12-30 17:22:01.000,2020-10-02 00:00:00.000,1899-12-30 18:55:29.000,,5,14,10,12,1,4,4,,"",-1,"",,,1
"2020.7-32.572",0,1,0,21600,2020-07-31 00:00:00.000,1899-12-30 18:01:00.000,2020-07-31 00:00:00.000,1899-12-30 19:57:14.000,,1,10,1,10,2,1,1,,"",-1,"",,,1
"2020.7-32.572",1,0,0,21600,2020-07-31 00:00:00.000,1899-12-30 19:57:37.000,2020-07-31 00:00:00.000,1899-12-30 20:00:20.000,,1,8,5,12,2,1,1,,"",-1,"",,,1
"2020.7-32.572",0,0,0,21600,2020-07-31 00:00:00.000,1899-12-30 20:00:20.000,2020-07-31 00:00:00.000,1899-12-30 20:10:26.000,,1,8,,11,2,1,1,,"",-1,"",,,1
"2020.7-32.572",1,0,0,21600,2020-07-31 00:00:00.000,1899-12-30 20:10:26.000,2020-07-31 00:00:00.000,1899-12-30 20:47:58.000,,1,8,5,12,2,1,1,,"",-1,"",,,1
"2020.7-32.572",0,0,0,21600,2020-07-31 00:00:00.000,1899-12-30 20:47:57.000,2020-07-31 00:00:00.000,1899-12-30 20:52:35.000,,1,9,,11,2,1,1,,"",-1,"",,,1
"2020.7-32.572",0,1,0,21600,2020-07-31 00:00:00.000,1899-12-30 20:52:35.000,2020-07-31 00:00:00.000,1899-12-30 20:53:39.000,,1,8,5,9,10,1,1,,"",-1,"",,,1
"2020.7-32.572",1,0,0,21600,2020-07-31 00:00:00.000,1899-12-30 20:54:03.000,2020-07-31 00:00:00.000,1899-12-30 20:55:23.000,,1,7,9,12,10,1,1,,"",-1,"",,,1
"2020.7-486.34",1,0,0,21600,2020-07-09 00:00:00.000,1899-12-30 19:14:54.000,2020-07-11 00:00:00.000,1899-12-30 00:33:38.000,,4,,1,12,1,1,1,,"",-1,"",,,1
"2020.7-486.34",0,0,0,21600,2020-07-11 00:00:00.000,1899-12-30 00:33:37.000,2020-07-11 00:00:00.000,1899-12-30 00:46:19.000,,4,,,11,1,1,1,,"",-1,"",,,1
"2020.7-529.32",0,1,0,21600,2020-07-23 00:00:00.000,1899-12-30 21:15:24.000,2020-08-03 00:00:00.000,1899-12-30 16:48:05.000,,1,10,1,10,2,1,1,,"",-1,"",,,1
"2020.7-532.32",0,1,0,21600,2020-07-24 00:00:00.000,1899-12-30 14:26:30.000,2020-08-03 00:00:00.000,1899-12-30 17:54:02.000,,1,10,1,10,1,1,1,,"",-1,"",,,1
"2020.9-32.587",0,1,0,21600,2020-11-04 00:00:00.000,1899-12-30 22:34:04.000,2020-11-04 00:00:00.000,1899-12-30 22:35:45.000,,1,8,5,9,10,1,1,,"",-1,"",,,2
"2020.9-32.587",0,1,0,21600,2020-11-04 00:00:00.000,1899-12-30 22:36:30.000,2020-11-04 00:00:00.000,1899-12-30 22:39:11.000,,1,7,9,8,10,1,1,,"",-1,"",,,2
"2020.9-60.602",0,1,0,28800,2020-09-23 00:00:00.000,1899-12-30 13:57:10.000,2020-11-05 00:00:00.000,1899-12-30 18:55:55.000,,6,3,6,2,4,3,3,,"",-1,"",,,2
"2020.9-60.603",0,1,0,28800,2020-09-23 00:00:00.000,1899-12-30 15:12:58.000,2020-11-05 00:00:00.000,1899-12-30 18:56:20.000,,6,3,6,2,4,3,3,,"",-1,"",,,2
"2020.9-60.605",0,1,0,28800,2020-09-23 00:00:00.000,1899-12-30 15:42:28.000,2020-09-23 00:00:00.000,1899-12-30 15:43:45.000,,6,3,6,16,13,3,3,,"",-1,"",,,2
"2020.9-60.605",0,1,0,28800,2020-09-23 00:00:00.000,1899-12-30 15:44:08.000,2020-09-23 00:00:00.000,1899-12-30 15:44:54.000,,6,3,6,15,12,3,3,,"",-1,"",,,2
"2020.9-60.605",0,1,0,28800,2020-09-23 00:00:00.000,1899-12-30 15:45:48.000,2020-09-23 00:00:00.000,1899-12-30 15:46:28.000,,6,3,6,14,11,3,3,,"",-1,"",,,2
"2020.9-60.605",0,1,0,28800,2020-09-23 00:00:00.000,1899-12-30 15:47:39.000,2020-09-23 00:00:00.000,1899-12-30 15:49:15.000,,6,3,6,2,4,3,3,,"",-1,"",,,2
"2020.7-55.536",0,0,0,0,2020-07-24 00:00:00.000,1899-12-30 15:36:24.000,2020-07-26 00:00:00.000,1899-12-30 15:49:47.000,,8,11,13,20,,,6,,"",-1,"",,,2
"2020.7-55.538",0,0,0,0,2020-07-24 00:00:00.000,1899-12-30 17:50:40.000,2020-07-24 00:00:00.000,1899-12-30 22:24:30.000,,8,11,13,23,17,,6,,"",-1,"",,,1
