FK_dim_Solicitacoes,Apoio,Notificação,Agendamento,Prazo,FK_dim_Entidades,FK_dim_Servicos,FK_dim_Usuarios,FK_dim_GruposUsuarios,FK_dim_Acoes,FK_dim_StatusExt,FK_dim_CategoriasServicos,FK_dim_GrupoResponsavel,FK_dim_MotivosCanc,FK_dim_Encaminhamento,FK_dim_Situacao,Nota Avaliação,Motivo Avaliação,Data Avaliação,Hora Avaliação,Hora Criacao,Hora Conclusao,FK_dim_SLA,Data Criacao,Data Conclusao
"2020.12-null.652","0","0","0",21600,1,1,1,1,1,1,1,1,1,"",1,-1,"",,,1899-12-30 15:37:29.700,,3,2020-12-15 00:00:00.000,
"2020.12-32.651","0","0","0",21600,1,1,1,1,1,1,1,1,1,"",1,-1,"",,,1899-12-30 15:33:45.570,,3,2020-12-15 00:00:00.000,
"2020.12-32.650","0","0","0",21600,1,1,1,1,1,1,1,1,1,"",1,-1,"",,,1899-12-30 15:17:17.170,,3,2020-12-15 00:00:00.000,
"2020.12-32.649","0","0","0",21600,1,1,1,1,1,1,1,1,1,"",1,-1,"",,,1899-12-30 15:38:31.206,,3,2020-12-09 00:00:00.000,
"2020.12-32.648","0","0","0",21600,1,1,1,1,1,1,1,1,1,"",1,-1,"",,,1899-12-30 14:45:06.233,,3,2020-12-09 00:00:00.000,
"2020.12-35.647","0","0","0",0,1,2,1,2,1,1,2,2,1,"",1,-1,"",,,1899-12-30 14:31:15.700,,3,2020-12-09 00:00:00.000,
"2020.12-35.646","0","0","0",0,1,2,1,2,1,1,2,2,1,"",1,-1,"",,,1899-12-30 14:26:10.356,,3,2020-12-09 00:00:00.000,
"2020.12-32.643","0","0","0",21600,1,1,1,1,1,1,1,1,1,"",1,-1,"",,,1899-12-30 12:01:27.540,,3,2020-12-09 00:00:00.000,
"2020.12-35.642","0","0","0",0,1,2,1,2,1,1,2,2,1,"",1,-1,"",,,1899-12-30 11:52:55.013,,3,2020-12-09 00:00:00.000,
"2020.11-59.641","0","0","0",43200,1,3,1,3,1,1,3,3,1,"",1,-1,"",,,1899-12-30 19:02:21.680,,3,2020-11-25 00:00:00.000,
"2020.11-32.639","0","0","0",21600,1,1,1,1,1,1,1,1,1,"",1,-1,"",,,1899-12-30 14:10:20.140,,3,2020-11-25 00:00:00.000,
"2020.11-32.638","0","0","0",21600,1,1,1,1,1,1,1,1,1,"",1,-1,"",,,1899-12-30 14:09:54.633,,3,2020-11-25 00:00:00.000,
"2020.8-32.576","0","0","0",21600,1,1,1,1,1,1,1,1,1,"",1,-1,"",,,1899-12-30 17:20:24.803,,3,2020-11-24 00:00:00.000,
"2020.7-34.574","0","0","0",21600,1,4,1,1,1,1,1,1,1,"",1,-1,"",,,1899-12-30 17:17:32.650,,3,2020-11-24 00:00:00.000,
"2020.11-59.636","0","0","0",43200,1,3,1,3,1,1,3,3,1,"",1,-1,"",,,1899-12-30 15:47:03.456,,3,2020-11-05 00:00:00.000,
"2020.11-59.633","0","0","0",43200,1,3,1,3,1,1,3,3,1,"",1,-1,"",,,1899-12-30 15:15:12.466,,3,2020-11-05 00:00:00.000,
"2020.11-59.631","0","0","0",43200,1,3,1,3,1,1,3,3,1,"",1,-1,"",,,1899-12-30 14:14:01.363,,3,2020-11-04 00:00:00.000,
"2020.9-32.586","0","0","0",21600,1,1,1,1,1,1,1,1,1,"",1,-1,"",,,1899-12-30 10:43:11.660,,3,2020-11-04 00:00:00.000,
"2020.10-32.613","0","0","0",21600,1,1,1,1,1,1,1,1,1,"",1,-1,"",,,1899-12-30 20:06:28.723,,3,2020-10-08 00:00:00.000,
"2020.10-32.612","0","0","0",21600,1,1,1,1,1,1,1,1,1,"",1,-1,"",,,1899-12-30 16:08:47.596,,3,2020-10-08 00:00:00.000,
"2020.10-54.611","0","0","0",4320,2,5,1,10,1,1,4,4,1,"",1,-1,"",,,1899-12-30 19:38:42.593,,3,2020-10-06 00:00:00.000,
"2020.10-54.610","0","0","0",4320,2,5,1,10,1,1,4,4,1,"",1,-1,"",,,1899-12-30 14:01:10.580,,3,2020-10-06 00:00:00.000,
"2020.9-44.597","0","0","0",7200,1,7,1,11,1,1,5,5,1,"",1,-1,"",,,1899-12-30 12:37:29.710,,3,2020-09-19 00:00:00.000,
"2020.9-32.596","0","0","0",21600,1,1,1,1,1,1,1,1,1,"",1,-1,"",,,1899-12-30 20:42:18.923,,3,2020-09-14 00:00:00.000,
"2020.9-32.588","0","0","0",21600,1,1,1,1,1,1,1,1,1,"",1,-1,"",,,1899-12-30 09:37:18.406,,3,2020-09-09 00:00:00.000,
"2020.9-32.580","0","0","0",21600,1,1,1,1,1,1,1,1,1,"",1,-1,"",,,1899-12-30 14:34:57.583,,3,2020-09-03 00:00:00.000,
"2020.8-32.578","0","0","0",21600,1,1,1,1,1,1,1,1,1,"",1,-1,"",,,1899-12-30 11:09:05.226,,3,2020-09-02 00:00:00.000,
"2020.8-32.579","0","0","0",21600,1,1,1,1,1,1,1,1,1,"",1,-1,"",,,1899-12-30 17:03:08.643,,3,2020-09-01 00:00:00.000,
"2020.7-34.567","0","0","0",21600,1,4,1,1,1,1,1,1,1,"",1,-1,"",,,1899-12-30 17:27:22.743,,3,2020-08-24 00:00:00.000,
"2020.7-34.562","0","0","0",21600,1,4,1,1,1,1,1,1,1,"",1,-1,"",,,1899-12-30 16:55:54.236,,3,2020-08-24 00:00:00.000,
"2020.7-34.556","0","0","0",21600,1,4,1,1,1,1,1,1,1,"",1,-1,"",,,1899-12-30 16:42:12.263,,3,2020-08-24 00:00:00.000,
"2020.7-34.555","0","0","0",21600,1,4,1,1,1,1,1,1,1,"",1,-1,"",,,1899-12-30 16:41:35.940,,3,2020-08-24 00:00:00.000,
"2020.7-34.551","0","0","0",21600,1,4,1,1,1,1,1,1,1,"",1,-1,"",,,1899-12-30 16:38:24.606,,3,2020-08-24 00:00:00.000,
"2020.7-34.550","0","0","0",21600,1,4,1,1,1,1,1,1,1,"",1,-1,"",,,1899-12-30 15:53:26.320,,3,2020-08-24 00:00:00.000,
"2020.7-532.32","0","0","0",21600,1,1,1,9,1,1,1,1,1,"",1,-1,"",,,1899-12-30 14:54:19.686,,3,2020-08-03 00:00:00.000,
"2020.7-55.545","0","0","0",0,3,8,1,13,1,1,5,6,1,"",1,-1,"",,,1899-12-30 12:32:00.156,,3,2020-07-26 00:00:00.000,
"2020.7-55.539","0","0","0",0,3,8,1,13,1,1,5,6,1,"",1,-1,"",,,1899-12-30 17:28:00.376,,3,2020-07-25 00:00:00.000,
"2020.7-520.54","0","0","0",4320,2,5,1,10,1,1,4,4,1,"",1,-1,"",,,1899-12-30 15:04:47.123,,3,2020-07-22 00:00:00.000,
"2020.7-517.54","0","0","0",4320,2,5,1,10,1,1,4,4,1,"",1,-1,"",,,1899-12-30 14:54:22.540,,3,2020-07-22 00:00:00.000,
"2020.7-491.44","0","0","0",7200,1,7,1,11,1,1,5,5,1,"",1,-1,"",,,1899-12-30 13:09:05.150,,3,2020-07-17 00:00:00.000,
"2020.7-490.44","0","0","0",7200,1,7,1,11,1,1,5,5,1,"",1,-1,"",,,1899-12-30 13:03:51.556,,3,2020-07-17 00:00:00.000,
"2020.7-32.549","0","0","0",21600,1,1,1,1,1,2,1,1,1,"",1,-1,"",,,1899-12-30 14:30:14.943,,3,2020-12-03 00:00:00.000,
"2020.7-527.32","0","0","0",21600,1,1,1,1,1,2,1,1,1,"",1,-1,"",,,1899-12-30 17:38:46.230,,3,2020-11-24 00:00:00.000,
"2020.9-32.591","0","0","0",21600,1,1,1,4,1,3,1,1,1,"",1,-1,"",,,1899-12-30 11:00:20.886,,3,2020-11-23 00:00:00.000,
"2020.9-32.590","0","0","0",21600,1,1,1,5,1,2,1,1,1,"",1,-1,"",,,1899-12-30 10:08:01.256,,3,2020-11-09 00:00:00.000,
"2020.9-32.589","0","0","0",21600,1,1,1,5,1,2,1,1,1,"",1,-1,"",,,1899-12-30 01:00:24.076,,3,2020-11-07 00:00:00.000,
"2020.10-32.618","0","0","0",21600,1,1,1,5,1,2,1,1,1,"",1,-1,"",,,1899-12-30 16:43:08.606,,3,2020-10-14 00:00:00.000,
"2020.10-32.617","0","0","0",21600,1,1,1,1,1,10,1,1,1,"",1,-1,"",,,1899-12-30 16:30:31.863,,3,2020-10-13 00:00:00.000,
"2020.10-32.615","0","0","0",21600,1,1,1,1,1,10,1,1,1,"",1,-1,"",,,1899-12-30 17:55:24.636,,3,2020-10-09 00:00:00.000,
"2020.10-32.614","0","0","0",21600,1,1,1,5,1,2,1,1,1,"",1,-1,"",,,1899-12-30 13:10:17.470,,3,2020-10-09 00:00:00.000,
"2020.9-32.593","0","0","0",21600,1,1,1,5,1,2,1,1,1,"",1,-1,"",,,1899-12-30 12:18:44.596,,3,2020-10-09 00:00:00.000,
"2020.7-516.54","0","0","0",4320,2,5,1,4,1,3,4,4,1,"",1,-1,"",,,1899-12-30 15:55:29.483,,3,2020-10-02 00:00:00.000,
"2020.7-34.561","0","0","0",21600,1,4,1,4,1,3,1,1,1,"",1,-1,"",,,1899-12-30 15:04:42.390,,3,2020-09-28 00:00:00.000,
"2020.9-32.595","0","0","0",21600,1,1,1,1,1,2,1,1,1,"",1,-1,"",,,1899-12-30 16:20:55.013,,3,2020-09-09 00:00:00.000,
"2020.9-32.594","0","0","0",21600,1,1,1,1,1,2,1,1,1,"",1,-1,"",,,1899-12-30 16:02:29.250,,3,2020-09-09 00:00:00.000,
"2020.7-533.32","0","0","0",21600,1,1,1,4,1,3,1,1,1,"",1,-1,"",,,1899-12-30 15:46:20.623,,3,2020-09-09 00:00:00.000,
"2020.9-32.584","0","0","0",21600,1,1,1,1,1,2,1,1,1,"",1,-1,"",,,1899-12-30 15:34:34.360,,3,2020-09-03 00:00:00.000,
"2020.7-528.32","0","0","0",21600,1,1,1,1,1,2,1,1,3,"",3,-1,"",,,1899-12-30 14:41:58.580,,3,2020-09-03 00:00:00.000,
"2020.9-32.581","0","0","0",21600,1,1,1,1,1,2,1,1,1,"",1,-1,"",,,1899-12-30 14:32:06.586,,3,2020-09-03 00:00:00.000,
"2020.9-32.583","0","0","0",21600,1,1,1,1,1,2,1,1,1,"",1,-1,"",,,1899-12-30 14:13:06.360,,3,2020-09-03 00:00:00.000,
"2020.7-34.560","0","0","0",21600,1,4,1,4,1,3,1,1,1,"",1,-1,"",,,1899-12-30 16:51:21.636,,3,2020-08-24 00:00:00.000,
"2020.7-486.34","0","0","0",21600,1,4,1,1,1,15,1,1,1,"",1,-1,"",,,1899-12-30 16:36:54.890,,3,2020-08-24 00:00:00.000,
"2020.7-518.34","0","0","0",21600,1,4,1,4,1,3,1,1,1,"",1,-1,"",,,1899-12-30 14:32:01.013,,3,2020-08-24 00:00:00.000,
"2020.7-529.32","0","0","0",21600,1,1,1,12,1,2,1,1,1,"",1,-1,"",,,1899-12-30 13:48:32.526,,3,2020-08-03 00:00:00.000,
"2020.7-55.547","0","0","0",0,3,8,1,13,1,17,5,6,1,"",1,-1,"",,,1899-12-30 10:07:59.086,,3,2020-07-27 00:00:00.000,
"2020.7-55.546","0","0","0",0,3,8,1,13,1,19,5,6,1,"",1,-1,"",,,1899-12-30 09:19:04.760,,3,2020-07-27 00:00:00.000,
"2020.7-55.543","0","0","0",0,3,8,1,15,1,17,5,6,1,"",1,-1,"",,,1899-12-30 14:02:43.100,,3,2020-07-26 00:00:00.000,
"2020.7-55.541","0","0","0",0,3,8,1,15,1,17,5,6,1,"",1,-1,"",,,1899-12-30 14:00:51.910,,3,2020-07-26 00:00:00.000,
"2020.7-55.538","0","0","0",0,3,8,1,15,1,17,5,6,1,"",1,-1,"",,,1899-12-30 19:24:44.340,,3,2020-07-24 00:00:00.000,
"2020.7-489.32","0","0","0",21600,1,1,1,12,1,10,1,1,1,"",1,-1,"",,,1899-12-30 17:20:21.383,,3,2020-07-22 00:00:00.000,
"2020.7-510.48","0","0","0",43200,1,9,1,18,1,3,5,7,1,"",1,-1,"",,,1899-12-30 19:30:53.590,,3,2020-07-20 00:00:00.000,
"2020.7-501.48","0","0","0",43200,1,9,1,21,1,25,5,7,1,"",1,-1,"",,,1899-12-30 12:59:18.183,,3,2020-07-20 00:00:00.000,
"2020.12-32.660","0","0","0",21600,1,1,2,1,1,1,1,1,1,"",1,-1,"",,,1899-12-30 14:04:19.380,,3,2020-12-16 00:00:00.000,
"2020.11-32.640","0","0","0",21600,1,1,2,1,1,1,1,1,1,"",1,-1,"",,,1899-12-30 16:44:35.273,,3,2020-11-25 00:00:00.000,
"2020.11-59.635","0","0","0",43200,1,3,4,7,1,8,3,3,1,"",1,-1,"",,,1899-12-30 15:48:26.273,,3,2020-11-05 00:00:00.000,
"2020.10-32.616","0","0","0",21600,1,1,2,1,1,1,1,1,1,"",1,-1,"",,,1899-12-30 19:23:29.406,,3,2020-10-12 00:00:00.000,
"2020.9-59.600","0","0","0",43200,1,3,6,3,1,1,3,3,1,"",1,-1,"",,,1899-12-30 13:39:50.803,,3,2020-09-22 00:00:00.000,
"2020.9-32.592","0","0","0",21600,1,1,2,1,1,1,1,1,1,"",1,-1,"",,,1899-12-30 15:27:29.093,,3,2020-09-09 00:00:00.000,
"2020.8-32.577","0","0","0",21600,1,1,2,1,1,1,1,1,1,"",1,-1,"",,,1899-12-30 17:03:08.643,,3,2020-09-01 00:00:00.000,
"2020.7-32.572","0","0","0",21600,1,1,7,4,1,3,1,1,1,"",1,-1,"",,,1899-12-30 17:55:23.336,,3,2020-07-31 00:00:00.000,
"2020.7-32.573","0","0","0",21600,1,1,2,1,1,1,1,1,1,"",1,-1,"",,,1899-12-30 16:24:10.100,,3,2020-07-31 00:00:00.000,
"2020.7-32.571","0","0","0",21600,1,1,2,1,1,1,1,1,1,"",1,-1,"",,,1899-12-30 14:25:41.613,,3,2020-07-30 00:00:00.000,
"2020.7-32.570","0","0","0",21600,1,1,2,1,1,1,1,1,1,"",1,-1,"",,,1899-12-30 14:24:18.280,,3,2020-07-30 00:00:00.000,
"2020.7-34.569","0","0","0",21600,1,4,2,1,1,1,1,1,1,"",1,-1,"",,,1899-12-30 11:40:31.606,,3,2020-07-30 00:00:00.000,
"2020.7-34.566","0","0","0",21600,1,4,2,1,1,1,1,1,1,"",1,-1,"",,,1899-12-30 11:35:17.820,,3,2020-07-30 00:00:00.000,
"2020.7-34.565","0","0","0",21600,1,4,2,1,1,1,1,1,1,"",1,-1,"",,,1899-12-30 10:43:09.300,,3,2020-07-30 00:00:00.000,
"2020.7-34.563","0","0","0",21600,1,4,2,1,1,1,1,1,1,"",1,-1,"",,,1899-12-30 17:52:56.023,,3,2020-07-29 00:00:00.000,
"2020.7-55.542","0","0","0",0,3,8,11,13,1,1,5,6,1,"",1,-1,"",,,1899-12-30 22:11:26.020,,3,2020-07-25 00:00:00.000,
"2020.7-55.540","0","0","0",0,3,8,11,13,1,1,5,6,1,"",1,-1,"",,,1899-12-30 17:28:20.256,,3,2020-07-25 00:00:00.000,
"2020.7-55.537","0","0","0",0,3,8,11,13,1,1,5,6,1,"",1,-1,"",,,1899-12-30 14:07:10.900,,3,2020-07-24 00:00:00.000,
"2020.7-514.48","0","0","0",43200,1,9,6,16,1,1,5,7,1,"",1,-1,"",,,1899-12-30 20:46:58.606,,3,2020-07-20 00:00:00.000,
"2020.7-512.48","0","0","0",43200,1,9,6,16,1,1,5,7,1,"",1,-1,"",,,1899-12-30 20:10:06.023,,3,2020-07-20 00:00:00.000,
"2020.7-504.48","0","0","0",43200,1,9,15,17,1,23,5,7,1,"",1,-1,"",,,1899-12-30 19:01:26.363,,3,2020-07-20 00:00:00.000,
"2020.7-493.48","0","0","0",43200,1,9,4,21,1,1,5,7,1,"",1,-1,"",,,1899-12-30 18:35:41.446,,3,2020-07-20 00:00:00.000,
"2020.7-492.48","0","0","0",43200,1,9,4,21,1,25,5,7,1,"",1,-1,"",,,1899-12-30 18:33:48.666,,3,2020-07-20 00:00:00.000,
"2020.7-496.48","0","0","0",43200,1,9,4,21,1,25,5,7,1,"",1,-1,"",,,1899-12-30 17:52:13.783,,3,2020-07-20 00:00:00.000,
"2020.7-507.48","0","0","0",43200,1,9,6,16,1,1,5,7,1,"",1,-1,"",,,1899-12-30 17:15:56.553,,3,2020-07-20 00:00:00.000,
"2020.7-505.48","0","0","0",43200,1,9,6,16,1,1,5,7,1,"",1,-1,"",,,1899-12-30 15:22:49.663,,3,2020-07-20 00:00:00.000,
"2020.7-503.48","0","0","0",43200,1,9,17,19,1,24,5,7,1,"",1,-1,"",,,1899-12-30 13:23:54.660,,3,2020-07-20 00:00:00.000,
"2020.7-497.48","0","0","0",43200,1,9,4,21,1,1,5,7,1,"",1,-1,"",,,1899-12-30 19:22:38.650,,3,2020-07-17 00:00:00.000,
"2020.9-34.609","0","0","1",21600,1,4,1,1,13,1,1,1,1,"",1,-1,"",,,1899-12-30 15:22:02.780,,3,2020-09-28 00:00:00.000,
"2020.9-34.582","0","0","1",21600,1,4,1,1,13,1,1,1,1,"",1,-1,"",,,1899-12-30 12:34:42.926,,3,2020-09-03 00:00:00.000,
"2020.7-34.557","0","0","1",21600,1,4,1,1,13,1,1,1,1,"",1,-1,"",,,1899-12-30 16:46:18.656,,3,2020-08-24 00:00:00.000,
"2020.8-34.575","0","0","1",21600,1,4,2,1,13,1,1,1,1,"",1,-1,"",,,1899-12-30 18:16:27.846,,3,2020-08-03 00:00:00.000,
"2020.7-34.553","0","0","1",21600,1,4,1,1,13,15,1,1,1,"",1,-1,"",,,1899-12-30 18:07:37.693,,3,2020-08-03 00:00:00.000,
"2020.7-506.48","0","0","0",43200,1,9,6,16,30,25,5,7,1,"",1,-1,"",,,1899-12-30 16:12:27.350,,3,2020-07-20 00:00:00.000,
"2020.9-60.604","0","1","0",28800,1,6,3,6,2,1,3,3,2,"",3,-1,"",,,1899-12-30 12:35:54.546,1899-12-30 15:56:53.690,3,2020-09-23 00:00:00.000,2020-11-05 00:00:00.000
"2020.7-528.32","0","1","0",21600,1,1,2,1,10,2,1,1,3,"",3,-1,"",,,1899-12-30 13:12:16.016,1899-12-30 14:41:06.880,3,2020-09-03 00:00:00.000,2020-09-03 00:00:00.000
"2020.7-500.48","0","1","0",43200,1,9,18,20,32,27,5,7,4,"",3,-1,"",,,1899-12-30 12:36:27.926,1899-12-30 19:04:31.203,1,2020-07-20 00:00:00.000,2020-07-20 00:00:00.000
"2020.7-55.547","0","0","0",0,3,8,12,14,21,17,5,6,1,"",1,-1,"",,,1899-12-30 09:49:14.113,1899-12-30 10:07:34.686,3,2020-07-27 00:00:00.000,2020-07-27 00:00:00.000
"2020.7-55.547","0","1","0",0,3,8,11,13,23,17,5,6,1,"",1,-1,"",,,1899-12-30 09:34:47.190,1899-12-30 09:48:39.626,3,2020-07-27 00:00:00.000,2020-07-27 00:00:00.000
"2020.7-55.546","0","0","0",0,3,8,12,14,21,19,5,6,1,"",1,-1,"",,,1899-12-30 09:17:37.606,1899-12-30 09:18:46.406,3,2020-07-27 00:00:00.000,2020-07-27 00:00:00.000
"2020.7-55.546","0","0","0",0,3,8,13,15,22,19,5,6,1,"",1,-1,"",,,1899-12-30 09:12:42.463,1899-12-30 09:17:21.880,3,2020-07-27 00:00:00.000,2020-07-27 00:00:00.000
"2020.7-55.546","0","1","0",0,3,8,11,13,23,17,5,6,1,"",1,-1,"",,,1899-12-30 09:05:55.573,1899-12-30 09:12:31.816,3,2020-07-27 00:00:00.000,2020-07-27 00:00:00.000
"2020.7-55.543","0","1","0",0,3,8,11,13,23,17,5,6,1,"",1,-1,"",,,1899-12-30 22:59:25.333,1899-12-30 14:02:22.360,3,2020-07-25 00:00:00.000,2020-07-26 00:00:00.000
"2020.7-55.541","0","1","0",0,3,8,11,13,23,17,5,6,1,"",1,-1,"",,,1899-12-30 19:41:49.343,1899-12-30 14:00:22.120,3,2020-07-25 00:00:00.000,2020-07-26 00:00:00.000
"2020.7-55.541","0","0","0",0,3,8,12,14,21,18,5,6,1,"",1,-1,"",,,1899-12-30 19:32:06.303,1899-12-30 19:41:38.140,3,2020-07-25 00:00:00.000,2020-07-25 00:00:00.000
"2020.7-55.541","0","0","0",0,3,8,13,15,22,19,5,6,1,"",1,-1,"",,,1899-12-30 19:21:08.833,1899-12-30 19:31:42.190,3,2020-07-25 00:00:00.000,2020-07-25 00:00:00.000
"2020.7-55.541","0","1","0",0,3,8,11,13,23,17,5,6,1,"",1,-1,"",,,1899-12-30 18:45:28.486,1899-12-30 19:20:52.046,3,2020-07-25 00:00:00.000,2020-07-25 00:00:00.000
"2020.7-55.538","0","0","0",0,3,8,11,13,23,17,5,6,1,"",1,-1,"",,,1899-12-30 14:50:40.273,1899-12-30 19:24:30.036,3,2020-07-24 00:00:00.000,2020-07-24 00:00:00.000
"2020.7-55.536","0","0","0",0,3,8,11,13,20,3,5,6,1,"",2,-1,"",,,1899-12-30 12:36:24.923,1899-12-30 12:49:47.520,3,2020-07-24 00:00:00.000,2020-07-26 00:00:00.000
"2020.7-516.54","1","0","0",4320,2,5,14,10,12,1,4,4,1,"",1,-1,"",,,1899-12-30 14:22:01.973,1899-12-30 15:55:29.586,3,2020-07-22 00:00:00.000,2020-10-02 00:00:00.000
"2020.9-32.587","0","1","0",21600,1,1,7,9,8,10,1,1,1,"",2,-1,"",,,1899-12-30 19:36:30.476,1899-12-30 19:39:11.473,3,2020-11-04 00:00:00.000,2020-11-04 00:00:00.000
"2020.9-32.587","0","1","0",21600,1,1,8,5,9,10,1,1,1,"",2,-1,"",,,1899-12-30 19:34:04.353,1899-12-30 19:35:45.966,3,2020-11-04 00:00:00.000,2020-11-04 00:00:00.000
"2020.10-32.617","0","1","0",21600,1,1,8,5,9,10,1,1,1,"",1,-1,"",,,1899-12-30 16:28:20.610,1899-12-30 16:29:52.216,3,2020-10-13 00:00:00.000,2020-10-13 00:00:00.000
