CostGroupResourceContainerId,CostGroupId,ResourceGroupId,SubscriptionId,DateCreated,DateUpdated,UpdatedByUserId,CreatedByUserId
20,8,"/subscriptions/4c6c2b0c-c619-480e-a3f9-4eec72aed9dc/resourceGroups/Test-SO","4c6c2b0c-c619-480e-a3f9-4eec72aed9dc",2021-01-28 16:53:00.000,2021-01-28 16:53:00.000,1,1
21,8,"/subscriptions/4c6c2b0c-c619-480e-a3f9-4eec72aed9dc/resourceGroups/tf-storage-rg","4c6c2b0c-c619-480e-a3f9-4eec72aed9dc",2021-01-28 16:53:00.000,2021-01-28 16:53:00.000,1,1
22,8,"/subscriptions/4c6c2b0c-c619-480e-a3f9-4eec72aed9dc/resourceGroups/RJ-WIP","4c6c2b0c-c619-480e-a3f9-4eec72aed9dc",2021-01-28 16:53:00.000,2021-01-28 16:53:00.000,1,1
24,8,"/subscriptions/c2065e1e-6a31-4778-af36-71fe4f0ef4bc/resourceGroups/RK-DD","c2065e1e-6a31-4778-af36-71fe4f0ef4bc",2021-01-28 16:53:00.000,2021-01-28 16:53:00.000,1,1
25,9,"/subscriptions/3b850c94-10ac-4e1b-8824-4d83a8002e5f/resourceGroups/costbot-storage-rg","3b850c94-10ac-4e1b-8824-4d83a8002e5f",2021-01-29 14:22:00.000,2021-01-29 14:22:00.000,1,1
26,9,"/subscriptions/3b850c94-10ac-4e1b-8824-4d83a8002e5f/resourceGroups/Engine","3b850c94-10ac-4e1b-8824-4d83a8002e5f",2021-01-29 14:22:00.000,2021-01-29 14:22:00.000,1,1
27,9,"/subscriptions/3b850c94-10ac-4e1b-8824-4d83a8002e5f/resourceGroups/Foundation","3b850c94-10ac-4e1b-8824-4d83a8002e5f",2021-01-29 14:22:00.000,2021-01-29 14:22:00.000,1,1
28,9,"/subscriptions/3b850c94-10ac-4e1b-8824-4d83a8002e5f/resourceGroups/CostBotDev","3b850c94-10ac-4e1b-8824-4d83a8002e5f",2021-01-29 14:22:00.000,2021-01-29 14:22:00.000,1,1
29,9,"/subscriptions/3b850c94-10ac-4e1b-8824-4d83a8002e5f/resourceGroups/Bot","3b850c94-10ac-4e1b-8824-4d83a8002e5f",2021-01-29 14:22:00.000,2021-01-29 14:22:00.000,1,1
30,9,"/subscriptions/0b99ca5c-439a-4841-9e1b-bc078bc5d07a/resourceGroups/DevOps-Build-Agents","0b99ca5c-439a-4841-9e1b-bc078bc5d07a",2021-01-29 14:22:00.000,2021-01-29 14:22:00.000,1,1
31,9,"/subscriptions/8c1e1941-46b6-4bce-a4eb-e9a27d69154f/resourceGroups/CostBot-DEV","8c1e1941-46b6-4bce-a4eb-e9a27d69154f",2021-01-29 14:22:00.000,2021-01-29 14:22:00.000,1,1
32,9,"/subscriptions/8c1e1941-46b6-4bce-a4eb-e9a27d69154f/resourceGroups/databricks-rg-technicaltest-bm-mddou5zuzjl4u","8c1e1941-46b6-4bce-a4eb-e9a27d69154f",2021-01-29 14:22:00.000,2021-01-29 14:22:00.000,1,1
33,10,"/subscriptions/bb0e5691-f47c-49ab-af30-bfe9dd28bdba/resourceGroups/NetworkWatcherRG","bb0e5691-f47c-49ab-af30-bfe9dd28bdba",2021-01-29 15:10:00.000,2021-01-29 15:10:00.000,1,1
35,10,"/subscriptions/d3e17d2e-fa87-4e79-933d-b3159bde6586/resourceGroups/terraform_grp","d3e17d2e-fa87-4e79-933d-b3159bde6586",2021-01-29 15:10:00.000,2021-01-29 15:10:00.000,1,1
36,10,"/subscriptions/d3e17d2e-fa87-4e79-933d-b3159bde6586/resourceGroups/TestResourceGroup","d3e17d2e-fa87-4e79-933d-b3159bde6586",2021-01-29 15:10:00.000,2021-01-29 15:10:00.000,1,1
38,10,"/subscriptions/4c6c2b0c-c619-480e-a3f9-4eec72aed9dc/resourceGroups/RJ-WIP","4c6c2b0c-c619-480e-a3f9-4eec72aed9dc",2021-01-29 15:10:00.000,2021-01-29 15:10:00.000,1,1
39,10,"/subscriptions/4c6c2b0c-c619-480e-a3f9-4eec72aed9dc/resourceGroups/Test-SO","4c6c2b0c-c619-480e-a3f9-4eec72aed9dc",2021-01-29 15:10:00.000,2021-01-29 15:10:00.000,1,1
40,10,"/subscriptions/4c6c2b0c-c619-480e-a3f9-4eec72aed9dc/resourceGroups/tf-storage-rg","4c6c2b0c-c619-480e-a3f9-4eec72aed9dc",2021-01-29 15:10:00.000,2021-01-29 15:10:00.000,1,1
