costid,variable,value
31760,id,/subscriptions/01639594-cf98-4011-b14a-905062f4aa23/providers/Microsoft.Billing/billingPeriods/202012/providers/Microsoft.Consumption/usageDetails/b2282f9e-1452-8637-afef-634ca045caf9
37307,id,/subscriptions/01639594-cf98-4011-b14a-905062f4aa23/providers/Microsoft.Billing/billingPeriods/202011/providers/Microsoft.Consumption/usageDetails/6a0acca2-fe94-e12d-aa4b-42c61474d6f4
30581,id,/subscriptions/01639594-cf98-4011-b14a-905062f4aa23/providers/Microsoft.Billing/billingPeriods/202011/providers/Microsoft.Consumption/usageDetails/e0516232-1c62-b6b0-f2da-e616161c87c5
2300,id,/subscriptions/ed42b78a-dad6-4e14-89b9-e88191618c37/providers/Microsoft.Billing/billingPeriods/202101/providers/Microsoft.Consumption/usageDetails/60e106fe-fb51-6be2-0e6a-890db8f27b82
15499,id,/subscriptions/d3e17d2e-fa87-4e79-933d-b3159bde6586/providers/Microsoft.Billing/billingPeriods/202010/providers/Microsoft.Consumption/usageDetails/a8b76829-3b63-bbdb-3e10-4a140105f8f6
11045,id,/subscriptions/d3e17d2e-fa87-4e79-933d-b3159bde6586/providers/Microsoft.Billing/billingPeriods/202012/providers/Microsoft.Consumption/usageDetails/ff00f5c5-26d3-0ac1-8a90-7f50fe6d06e8
38019,id,/subscriptions/01639594-cf98-4011-b14a-905062f4aa23/providers/Microsoft.Billing/billingPeriods/202011/providers/Microsoft.Consumption/usageDetails/420e2346-65d6-b72b-9d5a-17055932f203
5006,id,/subscriptions/ed42b78a-dad6-4e14-89b9-e88191618c37/providers/Microsoft.Billing/billingPeriods/202011/providers/Microsoft.Consumption/usageDetails/c32f0a2b-6d92-0271-8ebf-e3ce18277ad3
16190,id,/subscriptions/d3e17d2e-fa87-4e79-933d-b3159bde6586/providers/Microsoft.Billing/billingPeriods/202009/providers/Microsoft.Consumption/usageDetails/17517a9f-454f-3825-7722-947caa9cb223
23933,id,/subscriptions/01639594-cf98-4011-b14a-905062f4aa23/providers/Microsoft.Billing/billingPeriods/202102/providers/Microsoft.Consumption/usageDetails/0ce43cec-9f4b-7956-c59b-98de72e9fbd3
48467,id,/subscriptions/bb0e5691-f47c-49ab-af30-bfe9dd28bdba/providers/Microsoft.Billing/billingPeriods/202011/providers/Microsoft.Consumption/usageDetails/2122a988-90d0-60b6-2220-dd8aad48f577
42649,id,/subscriptions/01639594-cf98-4011-b14a-905062f4aa23/providers/Microsoft.Billing/billingPeriods/202008/providers/Microsoft.Consumption/usageDetails/c3ba5b91-bd36-65be-a638-1b714c1f6be4
29687,id,/subscriptions/01639594-cf98-4011-b14a-905062f4aa23/providers/Microsoft.Billing/billingPeriods/202012/providers/Microsoft.Consumption/usageDetails/de6bbe94-6324-918b-dc4c-d4a8ce2accc8
47340,id,/subscriptions/bb0e5691-f47c-49ab-af30-bfe9dd28bdba/providers/Microsoft.Billing/billingPeriods/202012/providers/Microsoft.Consumption/usageDetails/1e8d6787-3629-64bc-8551-c1e23017c684
40619,id,/subscriptions/01639594-cf98-4011-b14a-905062f4aa23/providers/Microsoft.Billing/billingPeriods/202010/providers/Microsoft.Consumption/usageDetails/2625e77b-2cc4-c6a5-7984-b34c2ac74d35
54695,id,/subscriptions/3b850c94-10ac-4e1b-8824-4d83a8002e5f/providers/Microsoft.Billing/billingPeriods/202012/providers/Microsoft.Consumption/usageDetails/50cd2b6e-3495-a230-8992-a3858f33ab80
30749,id,/subscriptions/01639594-cf98-4011-b14a-905062f4aa23/providers/Microsoft.Billing/billingPeriods/202012/providers/Microsoft.Consumption/usageDetails/2826a523-56c8-4034-0fb1-4741f62ba215
49276,id,/subscriptions/bb0e5691-f47c-49ab-af30-bfe9dd28bdba/providers/Microsoft.Billing/billingPeriods/202011/providers/Microsoft.Consumption/usageDetails/d368d350-b877-99b9-fd6e-79616c88d9aa
7524,id,/subscriptions/ed42b78a-dad6-4e14-89b9-e88191618c37/providers/Microsoft.Billing/billingPeriods/202009/providers/Microsoft.Consumption/usageDetails/2f609f4f-23b7-a07e-3380-159e81502aec
24097,id,/subscriptions/01639594-cf98-4011-b14a-905062f4aa23/providers/Microsoft.Billing/billingPeriods/202102/providers/Microsoft.Consumption/usageDetails/a7a13613-e73c-c45f-4202-6dea3f73ff3b
25558,id,/subscriptions/01639594-cf98-4011-b14a-905062f4aa23/providers/Microsoft.Billing/billingPeriods/202101/providers/Microsoft.Consumption/usageDetails/4b2a7cbf-c6b6-87bb-5c96-823dbb7f1914
38871,id,/subscriptions/01639594-cf98-4011-b14a-905062f4aa23/providers/Microsoft.Billing/billingPeriods/202010/providers/Microsoft.Consumption/usageDetails/4056098a-3906-9d6f-8952-443b6d3fe1c6
53725,id,/subscriptions/3b850c94-10ac-4e1b-8824-4d83a8002e5f/providers/Microsoft.Billing/billingPeriods/202101/providers/Microsoft.Consumption/usageDetails/217d41a1-743d-2708-e931-7dabfd7bb7b8
19917,id,/subscriptions/611f324a-33ae-4dba-bec3-e6d83cc1b0e4/providers/Microsoft.Billing/billingPeriods/202101/providers/Microsoft.Consumption/usageDetails/a71d3275-d1fd-34f7-0b09-29d7dce5de98
42071,id,/subscriptions/01639594-cf98-4011-b14a-905062f4aa23/providers/Microsoft.Billing/billingPeriods/202009/providers/Microsoft.Consumption/usageDetails/8b75ad0e-9e09-8d53-6e29-352bbe54547f
46729,id,/subscriptions/bb0e5691-f47c-49ab-af30-bfe9dd28bdba/providers/Microsoft.Billing/billingPeriods/202101/providers/Microsoft.Consumption/usageDetails/e01fbcb5-c79a-c5bb-0b14-c2da91df65ea
11874,id,/subscriptions/d3e17d2e-fa87-4e79-933d-b3159bde6586/providers/Microsoft.Billing/billingPeriods/202012/providers/Microsoft.Consumption/usageDetails/b4b2f315-e89a-de50-c3ef-ff7d40ffa3b2
17444,id,/subscriptions/d3e17d2e-fa87-4e79-933d-b3159bde6586/providers/Microsoft.Billing/billingPeriods/202008/providers/Microsoft.Consumption/usageDetails/1a5fa3d8-f274-ca9b-b9cc-2b2d1b3c0bb7
997,id,/subscriptions/ed42b78a-dad6-4e14-89b9-e88191618c37/providers/Microsoft.Billing/billingPeriods/202101/providers/Microsoft.Consumption/usageDetails/a5f27f18-7143-54e6-17a0-b732feb1d945
9855,id,/subscriptions/d3e17d2e-fa87-4e79-933d-b3159bde6586/providers/Microsoft.Billing/billingPeriods/202101/providers/Microsoft.Consumption/usageDetails/fb940183-5b6b-e729-9610-c66dcc6b745d
45766,id,/subscriptions/01639594-cf98-4011-b14a-905062f4aa23/providers/Microsoft.Billing/billingPeriods/202009/providers/Microsoft.Consumption/usageDetails/a5b335e1-a73a-22b5-2961-234261f2fc3e
22525,id,/subscriptions/01639594-cf98-4011-b14a-905062f4aa23/providers/Microsoft.Billing/billingPeriods/202102/providers/Microsoft.Consumption/usageDetails/320088cf-6100-8cf4-40a3-9e1f7622f07e
46736,id,/subscriptions/bb0e5691-f47c-49ab-af30-bfe9dd28bdba/providers/Microsoft.Billing/billingPeriods/202101/providers/Microsoft.Consumption/usageDetails/e8b92f99-43af-c8fe-103e-2c4fa53dfaed
52576,id,/subscriptions/3b850c94-10ac-4e1b-8824-4d83a8002e5f/providers/Microsoft.Billing/billingPeriods/202102/providers/Microsoft.Consumption/usageDetails/c6b12dab-7952-33c0-5d12-d0deb30837b5
2098,id,/subscriptions/ed42b78a-dad6-4e14-89b9-e88191618c37/providers/Microsoft.Billing/billingPeriods/202101/providers/Microsoft.Consumption/usageDetails/6dfc1fbf-8480-2cd8-e68a-0b158fbca962
36351,id,/subscriptions/01639594-cf98-4011-b14a-905062f4aa23/providers/Microsoft.Billing/billingPeriods/202011/providers/Microsoft.Consumption/usageDetails/8fb1e497-cacf-6da8-30b6-48fd10f4ac59
41018,id,/subscriptions/01639594-cf98-4011-b14a-905062f4aa23/providers/Microsoft.Billing/billingPeriods/202009/providers/Microsoft.Consumption/usageDetails/d75b1fe0-5c14-7c09-3e26-e64149692a2d
49184,id,/subscriptions/bb0e5691-f47c-49ab-af30-bfe9dd28bdba/providers/Microsoft.Billing/billingPeriods/202011/providers/Microsoft.Consumption/usageDetails/a4a2f701-8853-1fa9-ff69-e6fd26811f2f
25433,id,/subscriptions/01639594-cf98-4011-b14a-905062f4aa23/providers/Microsoft.Billing/billingPeriods/202101/providers/Microsoft.Consumption/usageDetails/71e0d6f5-4956-1bbf-e576-f8620aab05cb
2039,id,/subscriptions/ed42b78a-dad6-4e14-89b9-e88191618c37/providers/Microsoft.Billing/billingPeriods/202012/providers/Microsoft.Consumption/usageDetails/da5cd51d-2b05-7b20-4983-9feb0eb22b5e
13519,id,/subscriptions/d3e17d2e-fa87-4e79-933d-b3159bde6586/providers/Microsoft.Billing/billingPeriods/202011/providers/Microsoft.Consumption/usageDetails/89782121-c581-ec28-8034-3a0421c1b34a
1635,id,/subscriptions/ed42b78a-dad6-4e14-89b9-e88191618c37/providers/Microsoft.Billing/billingPeriods/202012/providers/Microsoft.Consumption/usageDetails/717300a7-1449-6338-a5e1-c1f48f26120b
26185,id,/subscriptions/01639594-cf98-4011-b14a-905062f4aa23/providers/Microsoft.Billing/billingPeriods/202012/providers/Microsoft.Consumption/usageDetails/b3fa2039-22f9-9ca0-e87b-9b672727fc68
51463,id,/subscriptions/bb0e5691-f47c-49ab-af30-bfe9dd28bdba/providers/Microsoft.Billing/billingPeriods/202008/providers/Microsoft.Consumption/usageDetails/66ccec70-3deb-42a0-cfa6-02dd7cfe46af
23219,id,/subscriptions/01639594-cf98-4011-b14a-905062f4aa23/providers/Microsoft.Billing/billingPeriods/202102/providers/Microsoft.Consumption/usageDetails/b706e29d-f11f-52a0-1f2a-c7bf582c61e3
43760,name,3e6e25a4-d6e1-5027-b4b7-de5bd6ab67cd
10259,name,e0a121b9-e993-306f-9745-743f0ebf75d8
17794,name,ba553ece-ff6b-c226-9514-c94b97c9c108
14970,name,a8b76829-3b63-bbdb-3e10-4a140105f8f6
30697,name,d5d4c9a9-bfc0-e6d2-eeed-64a0aa09ff1f
18863,name,d81a5065-4a45-0e0e-200b-906fe9c2fe64
54181,name,fb79867d-784e-5d98-8b04-02bca46f190e
49708,name,8301d641-93f9-5071-c34c-fcae34acd071
44591,name,738b3851-9696-9cf5-d8b1-57e99a9c787c
16128,name,4685ac2a-e345-0490-6670-c85114471dd7
18281,name,7f58642d-9e80-92bc-e22a-cdb04edc982c
45153,name,7b8b6f58-cf3f-cf0f-5330-0f74227943d3
7957,name,fad42bce-75f8-871e-9c0d-e44c2477b814
45655,name,a0d15ae7-9aea-a986-9571-d89fd198fd9b
7670,name,0dbd3cc9-1df9-1257-700c-c484230b319a
22397,name,9d415cce-7170-02c0-a100-15810713c853
39932,name,7f96fc9d-f394-5fe9-70db-766c63ea88d7
3599,name,3e19846d-7c64-849a-58d4-527cbec7ab31
42263,name,029eadb1-238c-a587-a138-669fa71d8c42
7151,name,28a9ac05-11e0-20ee-bfbb-aae32937858b
24771,name,d9a11793-c25a-fca5-d45a-935235a4d2c3
28167,name,44b24baf-a5e3-1ecc-0ac3-be919a04b972
46391,name,61ddec4e-3535-2594-75f9-4b4e9768fed7
11679,name,b3c91c79-f43b-3529-2145-30c85f8d47e9
34500,name,9a8a60a8-e69a-d11c-8f5d-d822ac5abbf6
52457,name,960f2726-6863-f182-8f4d-daa4962c3463
48871,name,1d22ded9-2783-43fe-2b31-5cce1e0c212f
7259,name,9f252889-d121-5f5b-e9c3-41197bb3b8b3
8536,name,aee64d03-92e6-39bd-2262-e2abe2b8244c
9734,name,6af82af7-da53-02bb-fb6f-d5bb976a291c
38140,name,3a507998-f83f-dc2d-d622-9cdbda17ddde
5596,name,0326ab0d-f7d8-2811-0ba7-9de07e1ce071
54215,name,f5559db6-9a1c-dce2-0e8c-f2157fb6c3e1
23418,name,9acf36a9-f599-aef3-cd9e-c27927f8c22c
47308,name,39153518-5a0e-9892-0a3c-a7247c890d24
1064,name,cd5c5771-2aff-094b-f164-3474d9222631
43433,name,7073317e-0b1d-c88d-80aa-8876d1c904f2
10206,name,cb9f53d0-a845-fc7e-93c9-35b225d8e6fd
24852,name,635fa913-4293-797c-062e-152b291d3246
15165,name,370d2d9c-a638-3a1f-81fa-ef1ef406340a
40558,name,d3ff59d0-65e8-a19d-c02b-b3102c53ec0d
32233,name,24085df0-b948-a181-8fe4-95411dad4e20
338,name,de2bc395-5ca5-1281-5810-a705114e8560
31242,name,a4e2b8a0-7469-f6f8-3d8b-070a41899f03
42275,name,d40f2bfa-0afa-7833-83b2-efc9d7ecd477
22373,name,630c074a-9884-0736-cfcc-f990598ea470
10336,name,0f946fe7-8c64-1424-b346-d50497786297
21888,name,4f022b8b-dbed-08d4-5bf0-762b04d6ad7d
13467,name,f17944bc-0951-1cc1-4fd9-c0685d27f654
28705,name,5d74fb3e-07cd-4d9f-fb60-95e24d8dd183
26125,name,a481d3c1-9978-3b13-9171-66cfe6d64190
41607,name,6dcce6b6-ea9e-0b1d-e89d-c5c55e753991
33251,name,27906ec8-5462-74d5-c322-33d3eda09687
11555,name,a56ac3da-8898-3c88-5784-534966a0c8e0
53118,name,93686c36-ab5b-487a-9d28-3993bc667706
31760,name,b2282f9e-1452-8637-afef-634ca045caf9
37307,name,6a0acca2-fe94-e12d-aa4b-42c61474d6f4
30581,name,e0516232-1c62-b6b0-f2da-e616161c87c5
2300,name,60e106fe-fb51-6be2-0e6a-890db8f27b82
15499,name,a8b76829-3b63-bbdb-3e10-4a140105f8f6
11045,name,ff00f5c5-26d3-0ac1-8a90-7f50fe6d06e8
38019,name,420e2346-65d6-b72b-9d5a-17055932f203
5006,name,c32f0a2b-6d92-0271-8ebf-e3ce18277ad3
16190,name,17517a9f-454f-3825-7722-947caa9cb223
23933,name,0ce43cec-9f4b-7956-c59b-98de72e9fbd3
48467,name,2122a988-90d0-60b6-2220-dd8aad48f577
42649,name,c3ba5b91-bd36-65be-a638-1b714c1f6be4
29687,name,de6bbe94-6324-918b-dc4c-d4a8ce2accc8
47340,name,1e8d6787-3629-64bc-8551-c1e23017c684
40619,name,2625e77b-2cc4-c6a5-7984-b34c2ac74d35
54695,name,50cd2b6e-3495-a230-8992-a3858f33ab80
30749,name,2826a523-56c8-4034-0fb1-4741f62ba215
49276,name,d368d350-b877-99b9-fd6e-79616c88d9aa
7524,name,2f609f4f-23b7-a07e-3380-159e81502aec
24097,name,a7a13613-e73c-c45f-4202-6dea3f73ff3b
25558,name,4b2a7cbf-c6b6-87bb-5c96-823dbb7f1914
38871,name,4056098a-3906-9d6f-8952-443b6d3fe1c6
53725,name,217d41a1-743d-2708-e931-7dabfd7bb7b8
19917,name,a71d3275-d1fd-34f7-0b09-29d7dce5de98
42071,name,8b75ad0e-9e09-8d53-6e29-352bbe54547f
46729,name,e01fbcb5-c79a-c5bb-0b14-c2da91df65ea
11874,name,b4b2f315-e89a-de50-c3ef-ff7d40ffa3b2
17444,name,1a5fa3d8-f274-ca9b-b9cc-2b2d1b3c0bb7
997,name,a5f27f18-7143-54e6-17a0-b732feb1d945
9855,name,fb940183-5b6b-e729-9610-c66dcc6b745d
45766,name,a5b335e1-a73a-22b5-2961-234261f2fc3e
22525,name,320088cf-6100-8cf4-40a3-9e1f7622f07e
46736,name,e8b92f99-43af-c8fe-103e-2c4fa53dfaed
52576,name,c6b12dab-7952-33c0-5d12-d0deb30837b5
2098,name,6dfc1fbf-8480-2cd8-e68a-0b158fbca962
36351,name,8fb1e497-cacf-6da8-30b6-48fd10f4ac59
41018,name,d75b1fe0-5c14-7c09-3e26-e64149692a2d
49184,name,a4a2f701-8853-1fa9-ff69-e6fd26811f2f
25433,name,71e0d6f5-4956-1bbf-e576-f8620aab05cb
2039,name,da5cd51d-2b05-7b20-4983-9feb0eb22b5e
13519,name,89782121-c581-ec28-8034-3a0421c1b34a
1635,name,717300a7-1449-6338-a5e1-c1f48f26120b
26185,name,b3fa2039-22f9-9ca0-e87b-9b672727fc68
51463,name,66ccec70-3deb-42a0-cfa6-02dd7cfe46af
23219,name,b706e29d-f11f-52a0-1f2a-c7bf582c61e3
