Orders,Base,Lift,Jack,Tax,OrderKey
"ORD0000188",24.48,,,,"ORD0000188______"
"ORD0000189",2.52,,,,"ORD0000189______"
"ORD000019",2.52,,,,"ORD000019_______"
"ORD0000190",24.57,,,,"ORD0000190______"
"ORD0000191",12.77,,,,"ORD0000191______"
"ORD0000192",18.89,,,,"ORD0000192______"
"ORD0000193",4.03,,,,"ORD0000193______"
"ORD0000194",18.85,,,,"ORD0000194______"
"ORD0000195",24.22,,,,"ORD0000195______"
"ORD0000196",5.52,,,,"ORD0000196______"
"ORD0000197",18.41,,,,"ORD0000197______"
"ORD0000198",13.11,,,,"ORD0000198______"
"ORD00002",7.83,,,,"ORD00002________"
"ORD000020",7.83,,,,"ORD000020_______"
"ORD0000201",9.92,,,,"ORD0000201______"
"ORD0000202",12.06,,,,"ORD0000202______"
"ORD0000203",9.03,,,,"ORD0000203______"
"ORD0000204",12.77,,,,"ORD0000204______"
"ORD0000205",6.48,,,,"ORD0000205______"
"ORD0000206",4.49,,,,"ORD0000206______"
"ORD0000208",14.74,,,,"ORD0000208______"
"ORD0000210",16.8,,,,"ORD0000210______"
"ORD0000211",11.84,,,,"ORD0000211______"
"ORD0000215",34.68,,,,"ORD0000215______"
"ORD000022, ORD000024",29.950000000000003,,,,"ORD000022_______, ORD000024_______"
"ORD0000221",31.08,,,,"ORD0000221______"
"ORD0000222",19.6,,,,"ORD0000222______"
"ORD0000223",5.13,,,,"ORD0000223______"
"ORD0000224",1.85,,,,"ORD0000224______"
"ORD0000225",12.67,,,,"ORD0000225______"
"ORD0000227",13.14,,,,"ORD0000227______"
"ORD0000228",17.3,,,,"ORD0000228______"
"ORD0000229",12.88,,,,"ORD0000229______"
"ORD0000230",0.94,,,,"ORD0000230______"
"ORD0000231",11.05,,,,"ORD0000231______"
"ORD0000232",23.4,,,,"ORD0000232______"
"ORD0000233",19.49,,,,"ORD0000233______"
"ORD0000234",10.58,,,,"ORD0000234______"
"ORD0000236",7,,,,"ORD0000236______"
"ORD0000237",5.28,,,,"ORD0000237______"
"ORD0000238, ORD0000241",12.260000000000002,,,,"ORD0000238______, ORD0000241______"
"ORD0000239",25.87,,,,"ORD0000239______"
"ORD0000242",1.56,,,,"ORD0000242______"
"ORD0000243",10.15,,,,"ORD0000243______"
"ORD0000245",5.54,,,,"ORD0000245______"
"ORD0000246",3.48,,,,"ORD0000246______"
"ORD0000247",28.11,,,,"ORD0000247______"
"ORD0000248",25.16,,,,"ORD0000248______"
"ORD0000249",1.09,,,,"ORD0000249______"
"ORD000025",1.09,,,,"ORD000025_______"
"ORD0000250",21.25,,,,"ORD0000250______"
"ORD0000251",15.12,,,,"ORD0000251______"
"ORD0000252",10.61,,,,"ORD0000252______"
"ORD0000253",24.95,,,,"ORD0000253______"
"ORD0000255, ORD0000257",4.93,,,,"ORD0000255______, ORD0000257______"
"ORD0000259",4.22,,,,"ORD0000259______"
"ORD000026",4.22,,,,"ORD000026_______"
"ORD0000260",7.69,,,,"ORD0000260______"
"ORD0000261",4.01,,,,"ORD0000261______"
"ORD0000263",2.48,,,,"ORD0000263______"
"ORD0000264",19.8,,,,"ORD0000264______"
"ORD0000265",25.98,,,,"ORD0000265______"
"ORD0000266",3.31,,,,"ORD0000266______"
"ORD0000267",19.27,,,,"ORD0000267______"
"ORD000027",0.96,,,,"ORD000027_______"
"ORD0000270",10.04,,,,"ORD0000270______"
"ORD0000273",16.52,,,,"ORD0000273______"
"ORD0000274",22.68,,,,"ORD0000274______"
"ORD0000275",14.87,,,,"ORD0000275______"
"ORD0000276",25.27,,,,"ORD0000276______"
"ORD0000277",12.56,,,,"ORD0000277______"
"ORD0000278",4.79,,,,"ORD0000278______"
"ORD0000279",14.09,,,,"ORD0000279______"
"ORD000028",14.09,,,,"ORD000028_______"
"ORD0000280",8.45,,,,"ORD0000280______"
"ORD0000282",21.83,,,,"ORD0000282______"
"ORD0000283",12.85,,,,"ORD0000283______"
"ORD0000284",7.02,,,,"ORD0000284______"
"ORD0000285",1.88,,,,"ORD0000285______"
"ORD0000290",9.3,,,,"ORD0000290______"
"ORD0000291",21.08,,,,"ORD0000291______"
"ORD0000292",8.58,,,,"ORD0000292______"
"ORD0000293",19.04,,,,"ORD0000293______"
"ORD0000294",9.07,,,,"ORD0000294______"
"ORD0000295",37.26,,,,"ORD0000295______"
"ORD0000296",42.12,,,,"ORD0000296______"
"ORD0000297",15.6,,,,"ORD0000297______"
"ORD0000298",6.33,,,,"ORD0000298______"
"ORD00003",12.54,,,,"ORD00003________"
"ORD000030",12.54,,,,"ORD000030_______"
"ORD0000300",1.51,,,,"ORD0000300______"
"ORD0000301",25.43,,,,"ORD0000301______"
"ORD0000302",23.4,,,,"ORD0000302______"
"ORD0000303",28.6,,,,"ORD0000303______"
"ORD0000304",12.17,,,,"ORD0000304______"
"ORD0000305",6.91,,,,"ORD0000305______"
"ORD0000306",13.85,,,,"ORD0000306______"
"ORD000031",6.4,,,,"ORD000031_______"
"ORD0000310",13.22,,,,"ORD0000310______"
"ORD0000311",1.63,,,,"ORD0000311______"
"ORD0000312",12,,,,"ORD0000312______"
"ORD0000313",6.73,,,,"ORD0000313______"
"ORD0000314",20.72,,,,"ORD0000314______"
"ORD0000315",32.26,,,,"ORD0000315______"
"ORD0000316",16.56,,,,"ORD0000316______"
"ORD0000317",23.44,,,,"ORD0000317______"
"ORD0000318, ORD0000321",32.21,,,,"ORD0000318______, ORD0000321______"
"ORD0000319",29.76,,,,"ORD0000319______"
"ORD000032",29.76,,,,"ORD000032_______"
"ORD0000323",8.64,,,,"ORD0000323______"
"ORD0000326",13.68,,,,"ORD0000326______"
"ORD0000327",3.47,,,,"ORD0000327______"
"ORD0000328",5.54,,,,"ORD0000328______"
"ORD0000329",3.62,,,,"ORD0000329______"
"ORD000033, ORD000035",36.379999999999995,,,,"ORD000033_______, ORD000035_______"
"ORD0000330",19.66,,,,"ORD0000330______"
"ORD0000332",14.14,,,,"ORD0000332______"
"ORD0000333",16.18,,,,"ORD0000333______"
"ORD0000334",22.23,,,,"ORD0000334______"
"ORD0000335",14.59,,,,"ORD0000335______"
"ORD0000338, ORD0000337",25.259999999999998,,,,"ORD0000338______, ORD0000337______"
"ORD0000339",17.89,,,,"ORD0000339______"
"ORD0000340, ORD0000344",14.7,,,,"ORD0000340______, ORD0000344______"
"ORD0000341",11.34,,,,"ORD0000341______"
"ORD0000342",8.74,,,,"ORD0000342______"
"ORD0000345",1.43,,,,"ORD0000345______"
"ORD0000346",12.87,,,,"ORD0000346______"
"ORD0000347",1.39,,,,"ORD0000347______"
"ORD0000349",32.76,,,,"ORD0000349______"
"ORD0000350",0.86,,,,"ORD0000350______"
"ORD0000351",13.86,,,,"ORD0000351______"
"ORD0000352",4.44,,,,"ORD0000352______"
"ORD0000353",7.81,,,,"ORD0000353______"
"ORD0000356",18.59,,,,"ORD0000356______"
"ORD0000357",23.52,,,,"ORD0000357______"
"ORD0000358, ORD0000360",25.31,,,,"ORD0000358______, ORD0000360______"
"ORD000036",4.73,,,,"ORD000036_______"
"ORD0000361",15.12,,,,"ORD0000361______"
"ORD0000362",8.95,,,,"ORD0000362______"
"ORD0000363",7.04,,,,"ORD0000363______"
"ORD0000364",10.24,,,,"ORD0000364______"
"ORD0000366",0.99,,,,"ORD0000366______"
"ORD0000367",10.22,,,,"ORD0000367______"
"ORD0000368",21.24,,,,"ORD0000368______"
"ORD0000369",1.08,,,,"ORD0000369______"
"ORD000037",1.08,,,,"ORD000037_______"
"ORD0000370, ORD0000372",30.419999999999998,,,,"ORD0000370______, ORD0000372______"
"ORD0000373",11.16,,,,"ORD0000373______"
"ORD0000374",42.71,,,,"ORD0000374______"
"ORD0000377",7.8,,,,"ORD0000377______"
"ORD0000378",6.72,,,,"ORD0000378______"
"ORD0000379",6.38,,,,"ORD0000379______"
"ORD000038",6.38,,,,"ORD000038_______"
"ORD0000380",6.26,,,,"ORD0000380______"
"ORD0000381",22.88,,,,"ORD0000381______"
"ORD0000382",16.7,,,,"ORD0000382______"
"ORD0000383",2.38,,,,"ORD0000383______"
"ORD0000384",36.72,,,,"ORD0000384______"
"ORD0000385",8.64,,,,"ORD0000385______"
"ORD0000387",11.76,,,,"ORD0000387______"
"ORD0000388",34.78,,,,"ORD0000388______"
"ORD0000389",10.51,,,,"ORD0000389______"
"ORD000039",10.51,,,,"ORD000039_______"
"ORD0000390",16.56,,,,"ORD0000390______"
"ORD0000391",8.64,,,,"ORD0000391______"
"ORD0000393",8.58,,,,"ORD0000393______"
"ORD0000394",12.42,,,,"ORD0000394______"
"ORD0000395",11.96,,,,"ORD0000395______"
"ORD0000396",3.06,,,,"ORD0000396______"
"ORD0000399",9.44,,,,"ORD0000399______"
"ORD000040",9.44,,,,"ORD000040_______"
"ORD0000400",8.93,,,,"ORD0000400______"
"ORD0000401",4.02,,,,"ORD0000401______"
"ORD0000402, ORD0000405",22.7,,,,"ORD0000402______, ORD0000405______"
"ORD0000406",24.01,,,,"ORD0000406______"
"ORD0000407",2.35,,,,"ORD0000407______"
"ORD0000408",14.59,,,,"ORD0000408______"
"ORD0000409",14.21,,,,"ORD0000409______"
"ORD000041",14.21,,,,"ORD000041_______"
"ORD0000410",22.98,,,,"ORD0000410______"
"ORD0000411",7.17,,,,"ORD0000411______"
"ORD0000413",4.56,,,,"ORD0000413______"
"ORD0000414",19.18,,,,"ORD0000414______"
"ORD0000415",5.88,,,,"ORD0000415______"
"ORD0000416",2.48,,,,"ORD0000416______"
"ORD0000417",4.14,,,,"ORD0000417______"
"ORD0000418",1.73,,,,"ORD0000418______"
"ORD0000419",6.64,,,,"ORD0000419______"
"ORD000042",6.64,,,,"ORD000042_______"
"ORD0000420",17.35,,,,"ORD0000420______"
"ORD0000421",13.22,,,,"ORD0000421______"
"ORD0000422",21.87,,,,"ORD0000422______"
"ORD0000424",10.74,,,,"ORD0000424______"
"ORD0000425",14.74,,,,"ORD0000425______"
"ORD0000426",16.08,,,,"ORD0000426______"
"ORD0000427",10.3,,,,"ORD0000427______"
"ORD0000428",1.76,,,,"ORD0000428______"
"ORD0000429",36.26,,,,"ORD0000429______"
"ORD000043",36.26,,,,"ORD000043_______"
"ORD0000430",13.1,,,,"ORD0000430______"
"ORD0000431",8.66,,,,"ORD0000431______"
"ORD0000434",5.38,,,,"ORD0000434______"
"ORD0000435, ORD0000433",17.56,,,,"ORD0000435______, ORD0000433______"
"ORD0000438",22.11,,,,"ORD0000438______"
"ORD0000440",3.6,,,,"ORD0000440______"
"ORD0000441",10.3,,,,"ORD0000441______"
"ORD0000444, ORD0000443",41.459999999999994,,,,"ORD0000444______, ORD0000443______"
"ORD0000446",17.78,,,,"ORD0000446______"
"ORD0000449",9.69,,,,"ORD0000449______"
"ORD000045",9.69,,,,"ORD000045_______"
"ORD0000450",25.08,,,,"ORD0000450______"
"ORD0000451",20.65,,,,"ORD0000451______"
"ORD0000452",31.68,,,,"ORD0000452______"
"ORD0000455",11.5,,,,"ORD0000455______"
"ORD0000456",8.12,,,,"ORD0000456______"
"ORD0000457",5.67,,,,"ORD0000457______"
"ORD0000458",8.33,,,,"ORD0000458______"
"ORD0000459",7.06,,,,"ORD0000459______"
"ORD000046",7.06,,,,"ORD000046_______"
"ORD0000460",31.2,,,,"ORD0000460______"
"ORD0000461",7.56,,,,"ORD0000461______"
"ORD0000462",35.28,,,,"ORD0000462______"
"ORD0000464",14.79,,,,"ORD0000464______"
"ORD0000465",9.28,,,,"ORD0000465______"
"ORD0000467",8.51,,,,"ORD0000467______"
"ORD0000468",6.05,,,,"ORD0000468______"
"ORD0000469",7.34,,,,"ORD0000469______"
"ORD000047",7.34,,,,"ORD000047_______"
"ORD0000470",7.07,,,,"ORD0000470______"
"ORD0000471",21.47,,,,"ORD0000471______"
"ORD0000472",2.28,,,,"ORD0000472______"
"ORD0000473",6.37,,,,"ORD0000473______"
"ORD0000475",34.27,,,,"ORD0000475______"
"ORD0000476",19.78,,,,"ORD0000476______"
"ORD0000477",4.45,,,,"ORD0000477______"
"ORD0000478",28.14,,,,"ORD0000478______"
"ORD0000479",4.03,,,,"ORD0000479______"
"ORD000048",4.03,,,,"ORD000048_______"
"ORD0000480",4.37,,,,"ORD0000480______"
"ORD0000481",15.1,,,,"ORD0000481______"
"ORD0000482",27.69,,,,"ORD0000482______"
"ORD0000483",19.32,,,,"ORD0000483______"
"ORD0000484",21.25,,,,"ORD0000484______"
"ORD0000485",27.14,,,,"ORD0000485______"
"ORD0000488",18.18,,,,"ORD0000488______"
"ORD000049",22.31,,,,"ORD000049_______"
"ORD0000491",9.92,,,,"ORD0000491______"
"ORD0000492",16.38,,,,"ORD0000492______"
"ORD0000493",22.93,,,,"ORD0000493______"
"ORD0000494",7.19,,,,"ORD0000494______"
"ORD0000495",14.76,,,,"ORD0000495______"
"ORD0000497",2.66,,,,"ORD0000497______"
"ORD0000498",1.41,,,,"ORD0000498______"
"ORD0000499",29.53,,,,"ORD0000499______"
"ORD00005",29.53,,,,"ORD00005________"
"ORD000050",29.53,,,,"ORD000050_______"
"ORD0000500",3.72,,,,"ORD0000500______"
"ORD0000501",14.5,,,,"ORD0000501______"
"ORD0000502",9.72,,,,"ORD0000502______"
"ORD0000503",38.48,,,,"ORD0000503______"
"ORD0000504",25.31,,,,"ORD0000504______"
"ORD0000506",10.89,,,,"ORD0000506______"
"ORD0000507",21.38,,,,"ORD0000507______"
"ORD0000508",12.31,,,,"ORD0000508______"
"ORD0000509",2.34,,,,"ORD0000509______"
"ORD000051",2.34,,,,"ORD000051_______"
"ORD0000510",11.76,,,,"ORD0000510______"
"ORD0000511, ORD0000515",39.39,,,,"ORD0000511______, ORD0000515______"
"ORD0000513, ORD0000519",15.16,,,,"ORD0000513______, ORD0000519______"
"ORD0000516",31.32,,,,"ORD0000516______"
"ORD0000517",22.79,,,,"ORD0000517______"
"ORD0000522",0.96,,,,"ORD0000522______"
"ORD0000524",25.08,,,,"ORD0000524______"
"ORD0000525",3.65,,,,"ORD0000525______"
"ORD0000526",10.08,,,,"ORD0000526______"
"ORD0000527",25.55,,,,"ORD0000527______"
"ORD0000528",2.24,,,,"ORD0000528______"
"ORD0000529",19.04,,,,"ORD0000529______"
"ORD000053",19.04,,,,"ORD000053_______"
"ORD0000530",9.86,,,,"ORD0000530______"
"ORD0000531",30.86,,,,"ORD0000531______"
"ORD0000532",30.51,,,,"ORD0000532______"
"ORD0000533",24.84,,,,"ORD0000533______"
"ORD0000534",31.42,,,,"ORD0000534______"
"ORD0000535",6.01,,,,"ORD0000535______"
"ORD0000536",10.53,,,,"ORD0000536______"
"ORD0000537",20.59,,,,"ORD0000537______"
"ORD0000538",3.86,,,,"ORD0000538______"
"ORD0000540",4.69,,,,"ORD0000540______"
"ORD0000543",17.67,,,,"ORD0000543______"
"ORD0000544",19.73,,,,"ORD0000544______"
"ORD0000545",33.17,,,,"ORD0000545______"
"ORD0000546",10.25,,,,"ORD0000546______"
"ORD0000547",29.95,,,,"ORD0000547______"
"ORD0000548",2.11,,,,"ORD0000548______"
"ORD0000549",34.15,,,,"ORD0000549______"
"ORD0000550",8.28,,,,"ORD0000550______"
"ORD0000551",5.88,,,,"ORD0000551______"
"ORD0000552",23.52,,,,"ORD0000552______"
"ORD0000554",9.67,,,,"ORD0000554______"
"ORD0000555",7.31,,,,"ORD0000555______"
"ORD0000556",12.2,,,,"ORD0000556______"
"ORD0000557",12.31,,,,"ORD0000557______"
"ORD0000558",2.27,,,,"ORD0000558______"
"ORD0000559",24.84,,,,"ORD0000559______"
"ORD000056",24.84,,,,"ORD000056_______"
"ORD0000560, ORD0000562",3.71,,,,"ORD0000560______, ORD0000562______"
"ORD0000563",10.5,,,,"ORD0000563______"
"ORD0000564",7.06,,,,"ORD0000564______"
"ORD0000565",34.09,,,,"ORD0000565______"
"ORD0000568",7.19,,,,"ORD0000568______"
"ORD0000569",38.64,,,,"ORD0000569______"
"ORD000057, ORD000059",40.660000000000004,,,,"ORD000057_______, ORD000059_______"
"ORD0000571",17.02,,,,"ORD0000571______"
"ORD0000572",40.2,,,,"ORD0000572______"
"ORD0000573",17.52,,,,"ORD0000573______"
"ORD0000574",15.68,,,,"ORD0000574______"
"ORD0000575",7.18,,,,"ORD0000575______"
"ORD0000576, ORD0000578",13.2,,,,"ORD0000576______, ORD0000578______"
"ORD0000579",19.6,,,,"ORD0000579______"
"ORD0000580",11.76,,,,"ORD0000580______"
"ORD0000581",5.04,,,,"ORD0000581______"
"ORD0000582",21.17,,,,"ORD0000582______"
"ORD0000583",7.1,,,,"ORD0000583______"
"ORD0000585",6.62,,,,"ORD0000585______"
"ORD0000586",15.1,,,,"ORD0000586______"
"ORD0000587",19.38,,,,"ORD0000587______"
"ORD0000588",2.16,,,,"ORD0000588______"
"ORD0000589",2.02,,,,"ORD0000589______"
"ORD0000590",12.1,,,,"ORD0000590______"
"ORD0000591",26.91,,,,"ORD0000591______"
"ORD0000592, ORD0000595",11.96,,,,"ORD0000592______, ORD0000595______"
"ORD0000593",19.01,,,,"ORD0000593______"
"ORD0000596",12.54,,,,"ORD0000596______"
"ORD0000599",4.45,,,,"ORD0000599______"
"ORD00006",4.45,,,,"ORD00006________"
"ORD000060",4.45,,,,"ORD000060_______"
"ORD0000601",2.08,,,,"ORD0000601______"
"ORD0000602",20.35,,,,"ORD0000602______"
"ORD0000603",18.79,,,,"ORD0000603______"
"ORD0000604",6.03,,,,"ORD0000604______"
"ORD0000605",6.24,,,,"ORD0000605______"
"ORD0000606",13.89,,,,"ORD0000606______"
"ORD0000607",8.06,,,,"ORD0000607______"
"ORD0000608",20.5,,,,"ORD0000608______"
"ORD0000609",24.75,,,,"ORD0000609______"
"ORD000061",24.75,,,,"ORD000061_______"
"ORD0000612",5.57,,,,"ORD0000612______"
"ORD0000613",0.93,,,,"ORD0000613______"
"ORD0000614",12.6,,,,"ORD0000614______"
"ORD0000616",32.76,,,,"ORD0000616______"
"ORD0000617",15.18,,,,"ORD0000617______"
"ORD0000618",6.14,,,,"ORD0000618______"
"ORD0000619",4.42,,,,"ORD0000619______"
"ORD000062",4.42,,,,"ORD000062_______"
"ORD0000620",36.06,,,,"ORD0000620______"
"ORD0000621",21.58,,,,"ORD0000621______"
"ORD0000622",2.11,,,,"ORD0000622______"
"ORD0000623",11.09,,,,"ORD0000623______"
"ORD0000626",3.33,,,,"ORD0000626______"
"ORD0000627",23.64,,,,"ORD0000627______"
"ORD0000628",5.47,,,,"ORD0000628______"
"ORD0000629",21.48,,,,"ORD0000629______"
"ORD0000631",29.3,,,,"ORD0000631______"
"ORD0000632",14.04,,,,"ORD0000632______"
"ORD0000633",11.52,,,,"ORD0000633______"
"ORD0000634",24.55,,,,"ORD0000634______"
"ORD0000635, ORD0000637",21.77,,,,"ORD0000635______, ORD0000637______"
"ORD0000638",17.68,,,,"ORD0000638______"
"ORD0000641",24.18,,,,"ORD0000641______"
"ORD0000642",5.23,,,,"ORD0000642______"
"ORD0000643",6.59,,,,"ORD0000643______"
"ORD0000644",1.61,,,,"ORD0000644______"
"ORD0000648",0.87,,,,"ORD0000648______"
"ORD0000649",20.15,,,,"ORD0000649______"
"ORD000065",20.15,,,,"ORD000065_______"
"ORD0000650",15,,,,"ORD0000650______"
"ORD0000651",6.27,,,,"ORD0000651______"
"ORD0000652",1.39,,,,"ORD0000652______"
"ORD0000653",0.96,,,,"ORD0000653______"
"ORD0000654",30.03,,,,"ORD0000654______"
"ORD0000655",7.34,,,,"ORD0000655______"
"ORD0000656",1.81,,,,"ORD0000656______"
"ORD0000657",10.94,,,,"ORD0000657______"
"ORD0000658",7.92,,,,"ORD0000658______"
"ORD0000659",5.12,,,,"ORD0000659______"
"ORD000066",5.12,,,,"ORD000066_______"
"ORD0000660",30.46,,,,"ORD0000660______"
"ORD0000662",9.22,,,,"ORD0000662______"
"ORD0000663",19.4,,,,"ORD0000663______"
"ORD0000664",10.21,,,,"ORD0000664______"
"ORD0000665",13.57,,,,"ORD0000665______"
"ORD0000666",36.56,,,,"ORD0000666______"
"ORD0000667",6.83,,,,"ORD0000667______"
"ORD0000669",5.19,,,,"ORD0000669______"
"ORD000067",5.19,,,,"ORD000067_______"
"ORD0000672",11.52,,,,"ORD0000672______"
"ORD0000673, ORD0000671",31.2,,,,"ORD0000673______, ORD0000671______"
"ORD0000674",8.97,,,,"ORD0000674______"
"ORD0000675",10.07,,,,"ORD0000675______"
"ORD0000677",0.78,,,,"ORD0000677______"
"ORD0000678",2.94,,,,"ORD0000678______"
"ORD0000679",20.88,,,,"ORD0000679______"
"ORD000068",20.88,,,,"ORD000068_______"
"ORD0000680",8.29,,,,"ORD0000680______"
"ORD0000683, ORD0000682",18.9,,,,"ORD0000683______, ORD0000682______"
"ORD0000684",3.48,,,,"ORD0000684______"
"ORD0000685",11.71,,,,"ORD0000685______"
"ORD0000686",11.97,,,,"ORD0000686______"
"ORD0000687",18.41,,,,"ORD0000687______"
"ORD0000688",15.91,,,,"ORD0000688______"
"ORD0000689, ORD0000691",23.64,,,,"ORD0000689______, ORD0000691______"
"ORD000069",9.47,,,,"ORD000069_______"
"ORD0000692",5.55,,,,"ORD0000692______"
"ORD0000693",34.78,,,,"ORD0000693______"
"ORD0000694",9.98,,,,"ORD0000694______"
"ORD0000695",0.98,,,,"ORD0000695______"
"ORD0000696",43.29,,,,"ORD0000696______"
"ORD0000697",15.29,,,,"ORD0000697______"
"ORD0000698",17.42,,,,"ORD0000698______"
"ORD0000699",14.34,,,,"ORD0000699______"
"ORD00007",14.34,,,,"ORD00007________"
"ORD000070",14.34,,,,"ORD000070_______"
"ORD0000701",17.02,,,,"ORD0000701______"
"ORD0000702",5.69,,,,"ORD0000702______"
"ORD0000703",33.15,,,,"ORD0000703______"
"ORD0000704",8.18,,,,"ORD0000704______"
"ORD0000705",20.3,,,,"ORD0000705______"
"ORD0000706",35.88,,,,"ORD0000706______"
"ORD0000707",32.76,,,,"ORD0000707______"
"ORD0000708",10.56,,,,"ORD0000708______"
"ORD0000709, ORD0000712",18.740000000000002,,,,"ORD0000709______, ORD0000712______"
"ORD0000710",12.4,,,,"ORD0000710______"
"ORD0000713",20.88,,,,"ORD0000713______"
"ORD0000714",7.75,,,,"ORD0000714______"
"ORD0000715",4.42,,,,"ORD0000715______"
"ORD0000716",14.45,,,,"ORD0000716______"
"ORD0000717",22.44,,,,"ORD0000717______"
"ORD0000718",17.09,,,,"ORD0000718______"
"ORD0000719",14.98,,,,"ORD0000719______"
"ORD000072",14.98,,,,"ORD000072_______"
"ORD0000720",13.63,,,,"ORD0000720______"
"ORD0000722",1.37,,,,"ORD0000722______"
"ORD0000723",22.2,,,,"ORD0000723______"
"ORD0000724",5.2,,,,"ORD0000724______"
"ORD0000725",21.31,,,,"ORD0000725______"
"ORD0000726",10.04,,,,"ORD0000726______"
"ORD0000727",14.16,,,,"ORD0000727______"
"ORD0000728",28.83,,,,"ORD0000728______"
"ORD0000729",13.91,,,,"ORD0000729______"
"ORD000073",13.91,,,,"ORD000073_______"
"ORD0000730",33.52,,,,"ORD0000730______"
"ORD0000731, ORD0000733",36.510000000000005,,,,"ORD0000731______, ORD0000733______"
"ORD0000735",1.48,,,,"ORD0000735______"
"ORD0000736",25.5,,,,"ORD0000736______"
"ORD0000737",12.26,,,,"ORD0000737______"
"ORD0000738",10.79,,,,"ORD0000738______"
"ORD0000739",7.3,,,,"ORD0000739______"
"ORD0000740",24.09,,,,"ORD0000740______"
"ORD0000741",34.56,,,,"ORD0000741______"
"ORD0000743",9.91,,,,"ORD0000743______"
"ORD0000744",21.39,,,,"ORD0000744______"
"ORD0000745",9.6,,,,"ORD0000745______"
"ORD0000746",41.54,,,,"ORD0000746______"
"ORD0000747",31.4,,,,"ORD0000747______"
"ORD0000748",15.12,,,,"ORD0000748______"
"ORD0000749",1.98,,,,"ORD0000749______"
"ORD000075",1.98,,,,"ORD000075_______"
"ORD0000750",26.88,,,,"ORD0000750______"
"ORD0000751",3.17,,,,"ORD0000751______"
"ORD0000752",14.8,,,,"ORD0000752______"
"ORD0000753",13.99,,,,"ORD0000753______"
"ORD0000754, ORD0000757",49.28,,,,"ORD0000754______, ORD0000757______"
"ORD0000755",17.52,,,,"ORD0000755______"
"ORD0000758",4.56,,,,"ORD0000758______"
