Year,Rank,IndexTypeId,variable,value
2017,125,7,DimLocation.LocationId,140.0
2020,6,6,DimLocation.LocationId,200.0
2016,106,6,DimLocation.LocationId,160.0
2016,28,9,DimLocation.LocationId,30.0
2018,58,7,DimLocation.LocationId,110.0
2021,126,5,DimLocation.LocationId,41.0
2016,108,5,DimLocation.LocationId,136.0
2021,211,3,DimLocation.LocationId,187.0
2018,102,3,DimLocation.LocationId,52.0
2018,137,6,DimLocation.LocationId,185.0
2015,86,8,DimLocation.LocationId,42.0
2021,123,4,DimLocation.LocationId,219.0
2020,130,5,DimLocation.LocationId,56.0
2021,229,8,DimLocation.LocationId,85.0
2014,17,8,DimLocation.LocationId,16.0
2018,17,1,DimLocation.LocationId,170.0
2018,66,4,DimLocation.LocationId,24.0
2015,122,2,DimLocation.LocationId,75.0
2021,116,4,DimLocation.LocationId,178.0
2014,12,5,DimLocation.LocationId,11.0
2016,92,7,DimLocation.LocationId,54.0
2019,218,1,DimLocation.LocationId,150.0
2016,8,6,DimLocation.LocationId,103.0
2020,170,6,DimLocation.LocationId,43.0
2020,111,4,DimLocation.LocationId,156.0
2020,149,8,DimLocation.LocationId,198.0
2015,93,3,DimLocation.LocationId,65.0
2014,34,4,DimLocation.LocationId,33.0
2018,101,4,DimLocation.LocationId,111.0
2017,17,9,DimLocation.LocationId,97.0
2021,183,3,DimLocation.LocationId,228.0
2021,26,3,DimLocation.LocationId,202.0
2017,110,6,DimLocation.LocationId,137.0
2021,210,8,DimLocation.LocationId,86.0
2021,188,4,DimLocation.LocationId,59.0
2021,246,3,DimLocation.LocationId,87.0
2021,224,8,DimLocation.LocationId,78.0
2018,12,3,DimLocation.LocationId,98.0
2016,137,9,DimLocation.LocationId,87.0
2015,83,2,DimLocation.LocationId,43.0
2018,152,8,DimLocation.LocationId,191.0
2016,74,3,Value,73.67
2015,141,7,Value,50.7
2017,47,8,Value,37.27
2019,17,8,Value,34.82
2019,150,4,Value,63.13
2014,45,8,Value,62.51
2014,56,1,Value,83.83
2019,203,7,Value,47.76
2018,84,2,Value,116.06
2015,21,2,Value,113.38
2020,148,1,Value,129.75
2016,37,5,Value,43.58
2021,10,3,Value,64.76
2020,72,7,Value,49.72
2014,20,6,Value,7.96
2016,141,1,Value,41.1
2018,32,8,Value,35.48
2019,127,8,Value,55.62
2016,19,8,Value,25.22
2021,9,1,Value,188.46
2021,182,1,Value,117.83
2018,53,5,Value,72.39
2014,9,4,Value,79.35
2015,39,4,Value,60.98
2015,49,3,Value,86.85
2018,102,4,Value,61.35
2017,76,8,Value,37.75
2020,165,9,Value,75.61
2020,65,2,Value,102.08
2020,102,3,Value,69.76
2017,125,4,Value,51.67
2018,148,7,Value,46.88
2019,96,6,Value,8.19
2018,38,3,Value,61.76
2014,81,8,Value,71.01
2017,73,4,Value,76.06
2019,154,8,Value,76.88
2019,107,1,Value,153.09
2021,72,5,Value,79.69
2017,86,4,Value,67.22
2020,158,2,Value,45.16
2020,187,8,Value,62.63
2020,133,8,Value,61.36
2021,198,4,Value,45.77
2021,144,7,Value,43.13
2019,83,9,Value,69.92
2019,106,3,Value,78.84
2017,145,5,Value,79.96
2014,76,1,Value,46.89
2014,36,5,Value,100.0
2017,123,1,Value,125.52
2019,219,6,Value,32.32
2014,88,5,Value,68.53
2019,135,6,Value,13.81
2020,90,5,Value,89.7
2015,53,3,Value,40.8
2016,65,8,Value,37.61
2017,149,3,Value,57.72
2020,117,2,Value,59.55
2017,125,7,Value,28.89
2020,6,6,Value,3.35
2016,106,6,Value,13.92
2016,28,9,Value,90.42
2018,58,7,Value,46.51
2021,126,5,Value,79.05
2016,108,5,Value,40.51
2021,211,3,Value,69.62
2018,102,3,Value,66.55
2018,137,6,Value,7.57
2015,86,8,Value,42.34
2021,123,4,Value,74.16
2020,130,5,Value,58.73
2021,229,8,Value,93.58
2014,17,8,Value,54.74
2018,17,1,Value,191.3
2018,66,4,Value,67.61
2015,122,2,Value,42.45
2021,116,4,Value,55.81
2014,12,5,Value,104.28
2016,92,7,Value,48.92
2019,218,1,Value,72.64
2016,8,6,Value,5.65
2020,170,6,Value,9.65
2020,111,4,Value,69.09
2020,149,8,Value,52.94
2015,93,3,Value,58.74
2014,34,4,Value,74.54
2018,101,4,Value,64.26
2017,17,9,Value,68.47
2021,183,3,Value,44.65
2021,26,3,Value,85.24
2017,110,6,Value,10.42
2021,210,8,Value,62.3
2021,188,4,Value,66.29
2021,246,3,Value,22.48
2021,224,8,Value,78.0
2018,12,3,Value,82.55
2016,137,9,Value,52.45
2015,83,2,Value,65.96
2018,152,8,Value,67.94
2016,74,3,IndexGroup,60.0
2015,141,7,IndexGroup,40.0
2017,47,8,IndexGroup,
2019,17,8,IndexGroup,
2019,150,4,IndexGroup,60.0
2014,45,8,IndexGroup,60.0
2014,56,1,IndexGroup,80.0
2019,203,7,IndexGroup,40.0
2018,84,2,IndexGroup,100.0
2015,21,2,IndexGroup,100.0
2020,148,1,IndexGroup,100.0
2016,37,5,IndexGroup,40.0
2021,10,3,IndexGroup,60.0
2020,72,7,IndexGroup,40.0
2014,20,6,IndexGroup,
2016,141,1,IndexGroup,40.0
2018,32,8,IndexGroup,
2019,127,8,IndexGroup,40.0
2016,19,8,IndexGroup,
2021,9,1,IndexGroup,140.0
2021,182,1,IndexGroup,100.0
2018,53,5,IndexGroup,60.0
2014,9,4,IndexGroup,60.0
2015,39,4,IndexGroup,60.0
2015,49,3,IndexGroup,80.0
2018,102,4,IndexGroup,60.0
2017,76,8,IndexGroup,
2020,165,9,IndexGroup,60.0
2020,65,2,IndexGroup,100.0
2020,102,3,IndexGroup,60.0
2017,125,4,IndexGroup,40.0
2018,148,7,IndexGroup,40.0
2019,96,6,IndexGroup,
2018,38,3,IndexGroup,60.0
2014,81,8,IndexGroup,60.0
2017,73,4,IndexGroup,60.0
2019,154,8,IndexGroup,60.0
2019,107,1,IndexGroup,140.0
2021,72,5,IndexGroup,60.0
2017,86,4,IndexGroup,60.0
2020,158,2,IndexGroup,40.0
2020,187,8,IndexGroup,60.0
2020,133,8,IndexGroup,60.0
2021,198,4,IndexGroup,40.0
2021,144,7,IndexGroup,40.0
2019,83,9,IndexGroup,60.0
2019,106,3,IndexGroup,60.0
2017,145,5,IndexGroup,60.0
2014,76,1,IndexGroup,40.0
2014,36,5,IndexGroup,100.0
2017,123,1,IndexGroup,100.0
2019,219,6,IndexGroup,
2014,88,5,IndexGroup,60.0
2019,135,6,IndexGroup,
2020,90,5,IndexGroup,80.0
2015,53,3,IndexGroup,40.0
2016,65,8,IndexGroup,
2017,149,3,IndexGroup,40.0
2020,117,2,IndexGroup,40.0
2017,125,7,IndexGroup,
2020,6,6,IndexGroup,
2016,106,6,IndexGroup,
2016,28,9,IndexGroup,80.0
2018,58,7,IndexGroup,40.0
2021,126,5,IndexGroup,60.0
2016,108,5,IndexGroup,40.0
2021,211,3,IndexGroup,60.0
2018,102,3,IndexGroup,60.0
2018,137,6,IndexGroup,
2015,86,8,IndexGroup,40.0
2021,123,4,IndexGroup,60.0
2020,130,5,IndexGroup,40.0
2021,229,8,IndexGroup,80.0
2014,17,8,IndexGroup,40.0
2018,17,1,IndexGroup,140.0
2018,66,4,IndexGroup,60.0
2015,122,2,IndexGroup,40.0
2021,116,4,IndexGroup,40.0
2014,12,5,IndexGroup,100.0
2016,92,7,IndexGroup,40.0
2019,218,1,IndexGroup,60.0
2016,8,6,IndexGroup,
2020,170,6,IndexGroup,
2020,111,4,IndexGroup,60.0
2020,149,8,IndexGroup,40.0
2015,93,3,IndexGroup,40.0
2014,34,4,IndexGroup,60.0
2018,101,4,IndexGroup,60.0
2017,17,9,IndexGroup,60.0
2021,183,3,IndexGroup,40.0
2021,26,3,IndexGroup,80.0
2017,110,6,IndexGroup,
2021,210,8,IndexGroup,60.0
2021,188,4,IndexGroup,60.0
2021,246,3,IndexGroup,
2021,224,8,IndexGroup,60.0
2018,12,3,IndexGroup,80.0
2016,137,9,IndexGroup,40.0
2015,83,2,IndexGroup,60.0
2018,152,8,IndexGroup,60.0
