DateKey,FullDateAlternateKey,Day Number Of Week,English Day Name Of Week,Spanish Day Name Of Week,French Day Name Of Week,Day Number Of Month,Day Number Of Year,Week Number Of Year,English Month Name,Spanish Month Name,French Month Name,Month Number Of Year,Calendar Quarter,Calendar Year,Calendar Semester,Fiscal Quarter,Fiscal Year,Fiscal Semester,Month Year,2 Digit Month Number,2 Digit Month Number SW
20050712,2005-07-12 00:00:00.000,3,"Tuesday","Martes","Mardi",12,193,29,"July","Julio","Juillet",7,3,2005,2,1,2006,1,"07-2005","07","07"
20050713,2005-07-13 00:00:00.000,4,"Wednesday","Miércoles","Mercredi",13,194,29,"July","Julio","Juillet",7,3,2005,2,1,2006,1,"07-2005","07","07"
20050714,2005-07-14 00:00:00.000,5,"Thursday","Jueves","Jeudi",14,195,29,"July","Julio","Juillet",7,3,2005,2,1,2006,1,"07-2005","07","07"
20050715,2005-07-15 00:00:00.000,6,"Friday","Viernes","Vendredi",15,196,29,"July","Julio","Juillet",7,3,2005,2,1,2006,1,"07-2005","07","07"
20050716,2005-07-16 00:00:00.000,7,"Saturday","Sábado","Samedi",16,197,29,"July","Julio","Juillet",7,3,2005,2,1,2006,1,"07-2005","07","07"
20050717,2005-07-17 00:00:00.000,1,"Sunday","Domingo","Dimanche",17,198,30,"July","Julio","Juillet",7,3,2005,2,1,2006,1,"07-2005","07","07"
20050718,2005-07-18 00:00:00.000,2,"Monday","Lunes","Lundi",18,199,30,"July","Julio","Juillet",7,3,2005,2,1,2006,1,"07-2005","07","07"
20050719,2005-07-19 00:00:00.000,3,"Tuesday","Martes","Mardi",19,200,30,"July","Julio","Juillet",7,3,2005,2,1,2006,1,"07-2005","07","07"
20050720,2005-07-20 00:00:00.000,4,"Wednesday","Miércoles","Mercredi",20,201,30,"July","Julio","Juillet",7,3,2005,2,1,2006,1,"07-2005","07","07"
20050721,2005-07-21 00:00:00.000,5,"Thursday","Jueves","Jeudi",21,202,30,"July","Julio","Juillet",7,3,2005,2,1,2006,1,"07-2005","07","07"
20050722,2005-07-22 00:00:00.000,6,"Friday","Viernes","Vendredi",22,203,30,"July","Julio","Juillet",7,3,2005,2,1,2006,1,"07-2005","07","07"
20050723,2005-07-23 00:00:00.000,7,"Saturday","Sábado","Samedi",23,204,30,"July","Julio","Juillet",7,3,2005,2,1,2006,1,"07-2005","07","07"
20050724,2005-07-24 00:00:00.000,1,"Sunday","Domingo","Dimanche",24,205,31,"July","Julio","Juillet",7,3,2005,2,1,2006,1,"07-2005","07","07"
20050725,2005-07-25 00:00:00.000,2,"Monday","Lunes","Lundi",25,206,31,"July","Julio","Juillet",7,3,2005,2,1,2006,1,"07-2005","07","07"
20050726,2005-07-26 00:00:00.000,3,"Tuesday","Martes","Mardi",26,207,31,"July","Julio","Juillet",7,3,2005,2,1,2006,1,"07-2005","07","07"
20050727,2005-07-27 00:00:00.000,4,"Wednesday","Miércoles","Mercredi",27,208,31,"July","Julio","Juillet",7,3,2005,2,1,2006,1,"07-2005","07","07"
20050728,2005-07-28 00:00:00.000,5,"Thursday","Jueves","Jeudi",28,209,31,"July","Julio","Juillet",7,3,2005,2,1,2006,1,"07-2005","07","07"
20050729,2005-07-29 00:00:00.000,6,"Friday","Viernes","Vendredi",29,210,31,"July","Julio","Juillet",7,3,2005,2,1,2006,1,"07-2005","07","07"
20050730,2005-07-30 00:00:00.000,7,"Saturday","Sábado","Samedi",30,211,31,"July","Julio","Juillet",7,3,2005,2,1,2006,1,"07-2005","07","07"
20050731,2005-07-31 00:00:00.000,1,"Sunday","Domingo","Dimanche",31,212,32,"July","Julio","Juillet",7,3,2005,2,1,2006,1,"07-2005","07","07"
20060701,2006-07-01 00:00:00.000,7,"Saturday","Sábado","Samedi",1,182,26,"July","Julio","Juillet",7,3,2006,2,1,2007,1,"07-2006","07","07"
20060702,2006-07-02 00:00:00.000,1,"Sunday","Domingo","Dimanche",2,183,27,"July","Julio","Juillet",7,3,2006,2,1,2007,1,"07-2006","07","07"
20060703,2006-07-03 00:00:00.000,2,"Monday","Lunes","Lundi",3,184,27,"July","Julio","Juillet",7,3,2006,2,1,2007,1,"07-2006","07","07"
20060704,2006-07-04 00:00:00.000,3,"Tuesday","Martes","Mardi",4,185,27,"July","Julio","Juillet",7,3,2006,2,1,2007,1,"07-2006","07","07"
20060705,2006-07-05 00:00:00.000,4,"Wednesday","Miércoles","Mercredi",5,186,27,"July","Julio","Juillet",7,3,2006,2,1,2007,1,"07-2006","07","07"
20060706,2006-07-06 00:00:00.000,5,"Thursday","Jueves","Jeudi",6,187,27,"July","Julio","Juillet",7,3,2006,2,1,2007,1,"07-2006","07","07"
20060707,2006-07-07 00:00:00.000,6,"Friday","Viernes","Vendredi",7,188,27,"July","Julio","Juillet",7,3,2006,2,1,2007,1,"07-2006","07","07"
20060708,2006-07-08 00:00:00.000,7,"Saturday","Sábado","Samedi",8,189,27,"July","Julio","Juillet",7,3,2006,2,1,2007,1,"07-2006","07","07"
20060709,2006-07-09 00:00:00.000,1,"Sunday","Domingo","Dimanche",9,190,28,"July","Julio","Juillet",7,3,2006,2,1,2007,1,"07-2006","07","07"
20060710,2006-07-10 00:00:00.000,2,"Monday","Lunes","Lundi",10,191,28,"July","Julio","Juillet",7,3,2006,2,1,2007,1,"07-2006","07","07"
20060711,2006-07-11 00:00:00.000,3,"Tuesday","Martes","Mardi",11,192,28,"July","Julio","Juillet",7,3,2006,2,1,2007,1,"07-2006","07","07"
20060712,2006-07-12 00:00:00.000,4,"Wednesday","Miércoles","Mercredi",12,193,28,"July","Julio","Juillet",7,3,2006,2,1,2007,1,"07-2006","07","07"
20060713,2006-07-13 00:00:00.000,5,"Thursday","Jueves","Jeudi",13,194,28,"July","Julio","Juillet",7,3,2006,2,1,2007,1,"07-2006","07","07"
20060714,2006-07-14 00:00:00.000,6,"Friday","Viernes","Vendredi",14,195,28,"July","Julio","Juillet",7,3,2006,2,1,2007,1,"07-2006","07","07"
20060715,2006-07-15 00:00:00.000,7,"Saturday","Sábado","Samedi",15,196,28,"July","Julio","Juillet",7,3,2006,2,1,2007,1,"07-2006","07","07"
20060716,2006-07-16 00:00:00.000,1,"Sunday","Domingo","Dimanche",16,197,29,"July","Julio","Juillet",7,3,2006,2,1,2007,1,"07-2006","07","07"
20060717,2006-07-17 00:00:00.000,2,"Monday","Lunes","Lundi",17,198,29,"July","Julio","Juillet",7,3,2006,2,1,2007,1,"07-2006","07","07"
20060718,2006-07-18 00:00:00.000,3,"Tuesday","Martes","Mardi",18,199,29,"July","Julio","Juillet",7,3,2006,2,1,2007,1,"07-2006","07","07"
20060719,2006-07-19 00:00:00.000,4,"Wednesday","Miércoles","Mercredi",19,200,29,"July","Julio","Juillet",7,3,2006,2,1,2007,1,"07-2006","07","07"
20060720,2006-07-20 00:00:00.000,5,"Thursday","Jueves","Jeudi",20,201,29,"July","Julio","Juillet",7,3,2006,2,1,2007,1,"07-2006","07","07"
20060721,2006-07-21 00:00:00.000,6,"Friday","Viernes","Vendredi",21,202,29,"July","Julio","Juillet",7,3,2006,2,1,2007,1,"07-2006","07","07"
20060722,2006-07-22 00:00:00.000,7,"Saturday","Sábado","Samedi",22,203,29,"July","Julio","Juillet",7,3,2006,2,1,2007,1,"07-2006","07","07"
20060723,2006-07-23 00:00:00.000,1,"Sunday","Domingo","Dimanche",23,204,30,"July","Julio","Juillet",7,3,2006,2,1,2007,1,"07-2006","07","07"
20060724,2006-07-24 00:00:00.000,2,"Monday","Lunes","Lundi",24,205,30,"July","Julio","Juillet",7,3,2006,2,1,2007,1,"07-2006","07","07"
20060725,2006-07-25 00:00:00.000,3,"Tuesday","Martes","Mardi",25,206,30,"July","Julio","Juillet",7,3,2006,2,1,2007,1,"07-2006","07","07"
20060726,2006-07-26 00:00:00.000,4,"Wednesday","Miércoles","Mercredi",26,207,30,"July","Julio","Juillet",7,3,2006,2,1,2007,1,"07-2006","07","07"
20060727,2006-07-27 00:00:00.000,5,"Thursday","Jueves","Jeudi",27,208,30,"July","Julio","Juillet",7,3,2006,2,1,2007,1,"07-2006","07","07"
20060728,2006-07-28 00:00:00.000,6,"Friday","Viernes","Vendredi",28,209,30,"July","Julio","Juillet",7,3,2006,2,1,2007,1,"07-2006","07","07"
20060729,2006-07-29 00:00:00.000,7,"Saturday","Sábado","Samedi",29,210,30,"July","Julio","Juillet",7,3,2006,2,1,2007,1,"07-2006","07","07"
20060730,2006-07-30 00:00:00.000,1,"Sunday","Domingo","Dimanche",30,211,31,"July","Julio","Juillet",7,3,2006,2,1,2007,1,"07-2006","07","07"
20060731,2006-07-31 00:00:00.000,2,"Monday","Lunes","Lundi",31,212,31,"July","Julio","Juillet",7,3,2006,2,1,2007,1,"07-2006","07","07"
20070701,2007-07-01 00:00:00.000,1,"Sunday","Domingo","Dimanche",1,182,27,"July","Julio","Juillet",7,3,2007,2,1,2008,1,"07-2007","07","07"
20070702,2007-07-02 00:00:00.000,2,"Monday","Lunes","Lundi",2,183,27,"July","Julio","Juillet",7,3,2007,2,1,2008,1,"07-2007","07","07"
20070703,2007-07-03 00:00:00.000,3,"Tuesday","Martes","Mardi",3,184,27,"July","Julio","Juillet",7,3,2007,2,1,2008,1,"07-2007","07","07"
20070704,2007-07-04 00:00:00.000,4,"Wednesday","Miércoles","Mercredi",4,185,27,"July","Julio","Juillet",7,3,2007,2,1,2008,1,"07-2007","07","07"
20070705,2007-07-05 00:00:00.000,5,"Thursday","Jueves","Jeudi",5,186,27,"July","Julio","Juillet",7,3,2007,2,1,2008,1,"07-2007","07","07"
20070706,2007-07-06 00:00:00.000,6,"Friday","Viernes","Vendredi",6,187,27,"July","Julio","Juillet",7,3,2007,2,1,2008,1,"07-2007","07","07"
20070707,2007-07-07 00:00:00.000,7,"Saturday","Sábado","Samedi",7,188,27,"July","Julio","Juillet",7,3,2007,2,1,2008,1,"07-2007","07","07"
20070708,2007-07-08 00:00:00.000,1,"Sunday","Domingo","Dimanche",8,189,28,"July","Julio","Juillet",7,3,2007,2,1,2008,1,"07-2007","07","07"
20070709,2007-07-09 00:00:00.000,2,"Monday","Lunes","Lundi",9,190,28,"July","Julio","Juillet",7,3,2007,2,1,2008,1,"07-2007","07","07"
20070710,2007-07-10 00:00:00.000,3,"Tuesday","Martes","Mardi",10,191,28,"July","Julio","Juillet",7,3,2007,2,1,2008,1,"07-2007","07","07"
20070711,2007-07-11 00:00:00.000,4,"Wednesday","Miércoles","Mercredi",11,192,28,"July","Julio","Juillet",7,3,2007,2,1,2008,1,"07-2007","07","07"
20070712,2007-07-12 00:00:00.000,5,"Thursday","Jueves","Jeudi",12,193,28,"July","Julio","Juillet",7,3,2007,2,1,2008,1,"07-2007","07","07"
20070713,2007-07-13 00:00:00.000,6,"Friday","Viernes","Vendredi",13,194,28,"July","Julio","Juillet",7,3,2007,2,1,2008,1,"07-2007","07","07"
20070714,2007-07-14 00:00:00.000,7,"Saturday","Sábado","Samedi",14,195,28,"July","Julio","Juillet",7,3,2007,2,1,2008,1,"07-2007","07","07"
20070715,2007-07-15 00:00:00.000,1,"Sunday","Domingo","Dimanche",15,196,29,"July","Julio","Juillet",7,3,2007,2,1,2008,1,"07-2007","07","07"
20070716,2007-07-16 00:00:00.000,2,"Monday","Lunes","Lundi",16,197,29,"July","Julio","Juillet",7,3,2007,2,1,2008,1,"07-2007","07","07"
20070717,2007-07-17 00:00:00.000,3,"Tuesday","Martes","Mardi",17,198,29,"July","Julio","Juillet",7,3,2007,2,1,2008,1,"07-2007","07","07"
20070718,2007-07-18 00:00:00.000,4,"Wednesday","Miércoles","Mercredi",18,199,29,"July","Julio","Juillet",7,3,2007,2,1,2008,1,"07-2007","07","07"
20070719,2007-07-19 00:00:00.000,5,"Thursday","Jueves","Jeudi",19,200,29,"July","Julio","Juillet",7,3,2007,2,1,2008,1,"07-2007","07","07"
20070720,2007-07-20 00:00:00.000,6,"Friday","Viernes","Vendredi",20,201,29,"July","Julio","Juillet",7,3,2007,2,1,2008,1,"07-2007","07","07"
20070721,2007-07-21 00:00:00.000,7,"Saturday","Sábado","Samedi",21,202,29,"July","Julio","Juillet",7,3,2007,2,1,2008,1,"07-2007","07","07"
20070722,2007-07-22 00:00:00.000,1,"Sunday","Domingo","Dimanche",22,203,30,"July","Julio","Juillet",7,3,2007,2,1,2008,1,"07-2007","07","07"
20070723,2007-07-23 00:00:00.000,2,"Monday","Lunes","Lundi",23,204,30,"July","Julio","Juillet",7,3,2007,2,1,2008,1,"07-2007","07","07"
20070724,2007-07-24 00:00:00.000,3,"Tuesday","Martes","Mardi",24,205,30,"July","Julio","Juillet",7,3,2007,2,1,2008,1,"07-2007","07","07"
20070725,2007-07-25 00:00:00.000,4,"Wednesday","Miércoles","Mercredi",25,206,30,"July","Julio","Juillet",7,3,2007,2,1,2008,1,"07-2007","07","07"
20070726,2007-07-26 00:00:00.000,5,"Thursday","Jueves","Jeudi",26,207,30,"July","Julio","Juillet",7,3,2007,2,1,2008,1,"07-2007","07","07"
20070727,2007-07-27 00:00:00.000,6,"Friday","Viernes","Vendredi",27,208,30,"July","Julio","Juillet",7,3,2007,2,1,2008,1,"07-2007","07","07"
20070728,2007-07-28 00:00:00.000,7,"Saturday","Sábado","Samedi",28,209,30,"July","Julio","Juillet",7,3,2007,2,1,2008,1,"07-2007","07","07"
20070729,2007-07-29 00:00:00.000,1,"Sunday","Domingo","Dimanche",29,210,31,"July","Julio","Juillet",7,3,2007,2,1,2008,1,"07-2007","07","07"
20070730,2007-07-30 00:00:00.000,2,"Monday","Lunes","Lundi",30,211,31,"July","Julio","Juillet",7,3,2007,2,1,2008,1,"07-2007","07","07"
20070731,2007-07-31 00:00:00.000,3,"Tuesday","Martes","Mardi",31,212,31,"July","Julio","Juillet",7,3,2007,2,1,2008,1,"07-2007","07","07"
20080701,2008-07-01 00:00:00.000,3,"Tuesday","Martes","Mardi",1,183,27,"July","Julio","Juillet",7,3,2008,2,1,2009,1,"07-2008","07","07"
20080702,2008-07-02 00:00:00.000,4,"Wednesday","Miércoles","Mercredi",2,184,27,"July","Julio","Juillet",7,3,2008,2,1,2009,1,"07-2008","07","07"
20080703,2008-07-03 00:00:00.000,5,"Thursday","Jueves","Jeudi",3,185,27,"July","Julio","Juillet",7,3,2008,2,1,2009,1,"07-2008","07","07"
20080704,2008-07-04 00:00:00.000,6,"Friday","Viernes","Vendredi",4,186,27,"July","Julio","Juillet",7,3,2008,2,1,2009,1,"07-2008","07","07"
20080705,2008-07-05 00:00:00.000,7,"Saturday","Sábado","Samedi",5,187,27,"July","Julio","Juillet",7,3,2008,2,1,2009,1,"07-2008","07","07"
20080706,2008-07-06 00:00:00.000,1,"Sunday","Domingo","Dimanche",6,188,28,"July","Julio","Juillet",7,3,2008,2,1,2009,1,"07-2008","07","07"
20080707,2008-07-07 00:00:00.000,2,"Monday","Lunes","Lundi",7,189,28,"July","Julio","Juillet",7,3,2008,2,1,2009,1,"07-2008","07","07"
20080708,2008-07-08 00:00:00.000,3,"Tuesday","Martes","Mardi",8,190,28,"July","Julio","Juillet",7,3,2008,2,1,2009,1,"07-2008","07","07"
20080709,2008-07-09 00:00:00.000,4,"Wednesday","Miércoles","Mercredi",9,191,28,"July","Julio","Juillet",7,3,2008,2,1,2009,1,"07-2008","07","07"
20080710,2008-07-10 00:00:00.000,5,"Thursday","Jueves","Jeudi",10,192,28,"July","Julio","Juillet",7,3,2008,2,1,2009,1,"07-2008","07","07"
20080711,2008-07-11 00:00:00.000,6,"Friday","Viernes","Vendredi",11,193,28,"July","Julio","Juillet",7,3,2008,2,1,2009,1,"07-2008","07","07"
20080712,2008-07-12 00:00:00.000,7,"Saturday","Sábado","Samedi",12,194,28,"July","Julio","Juillet",7,3,2008,2,1,2009,1,"07-2008","07","07"
20080713,2008-07-13 00:00:00.000,1,"Sunday","Domingo","Dimanche",13,195,29,"July","Julio","Juillet",7,3,2008,2,1,2009,1,"07-2008","07","07"
20080714,2008-07-14 00:00:00.000,2,"Monday","Lunes","Lundi",14,196,29,"July","Julio","Juillet",7,3,2008,2,1,2009,1,"07-2008","07","07"
20080715,2008-07-15 00:00:00.000,3,"Tuesday","Martes","Mardi",15,197,29,"July","Julio","Juillet",7,3,2008,2,1,2009,1,"07-2008","07","07"
20080716,2008-07-16 00:00:00.000,4,"Wednesday","Miércoles","Mercredi",16,198,29,"July","Julio","Juillet",7,3,2008,2,1,2009,1,"07-2008","07","07"
20080717,2008-07-17 00:00:00.000,5,"Thursday","Jueves","Jeudi",17,199,29,"July","Julio","Juillet",7,3,2008,2,1,2009,1,"07-2008","07","07"
20080718,2008-07-18 00:00:00.000,6,"Friday","Viernes","Vendredi",18,200,29,"July","Julio","Juillet",7,3,2008,2,1,2009,1,"07-2008","07","07"
20080719,2008-07-19 00:00:00.000,7,"Saturday","Sábado","Samedi",19,201,29,"July","Julio","Juillet",7,3,2008,2,1,2009,1,"07-2008","07","07"
20080720,2008-07-20 00:00:00.000,1,"Sunday","Domingo","Dimanche",20,202,30,"July","Julio","Juillet",7,3,2008,2,1,2009,1,"07-2008","07","07"
20080721,2008-07-21 00:00:00.000,2,"Monday","Lunes","Lundi",21,203,30,"July","Julio","Juillet",7,3,2008,2,1,2009,1,"07-2008","07","07"
20080722,2008-07-22 00:00:00.000,3,"Tuesday","Martes","Mardi",22,204,30,"July","Julio","Juillet",7,3,2008,2,1,2009,1,"07-2008","07","07"
20080723,2008-07-23 00:00:00.000,4,"Wednesday","Miércoles","Mercredi",23,205,30,"July","Julio","Juillet",7,3,2008,2,1,2009,1,"07-2008","07","07"
20080724,2008-07-24 00:00:00.000,5,"Thursday","Jueves","Jeudi",24,206,30,"July","Julio","Juillet",7,3,2008,2,1,2009,1,"07-2008","07","07"
20080725,2008-07-25 00:00:00.000,6,"Friday","Viernes","Vendredi",25,207,30,"July","Julio","Juillet",7,3,2008,2,1,2009,1,"07-2008","07","07"
20080726,2008-07-26 00:00:00.000,7,"Saturday","Sábado","Samedi",26,208,30,"July","Julio","Juillet",7,3,2008,2,1,2009,1,"07-2008","07","07"
20080727,2008-07-27 00:00:00.000,1,"Sunday","Domingo","Dimanche",27,209,31,"July","Julio","Juillet",7,3,2008,2,1,2009,1,"07-2008","07","07"
20080728,2008-07-28 00:00:00.000,2,"Monday","Lunes","Lundi",28,210,31,"July","Julio","Juillet",7,3,2008,2,1,2009,1,"07-2008","07","07"
20080729,2008-07-29 00:00:00.000,3,"Tuesday","Martes","Mardi",29,211,31,"July","Julio","Juillet",7,3,2008,2,1,2009,1,"07-2008","07","07"
20080730,2008-07-30 00:00:00.000,4,"Wednesday","Miércoles","Mercredi",30,212,31,"July","Julio","Juillet",7,3,2008,2,1,2009,1,"07-2008","07","07"
20080731,2008-07-31 00:00:00.000,5,"Thursday","Jueves","Jeudi",31,213,31,"July","Julio","Juillet",7,3,2008,2,1,2009,1,"07-2008","07","07"
20090701,2009-07-01 00:00:00.000,4,"Wednesday","Miércoles","Mercredi",1,182,27,"July","Julio","Juillet",7,3,2009,2,1,2010,1,"07-2009","07","07"
20090702,2009-07-02 00:00:00.000,5,"Thursday","Jueves","Jeudi",2,183,27,"July","Julio","Juillet",7,3,2009,2,1,2010,1,"07-2009","07","07"
20090703,2009-07-03 00:00:00.000,6,"Friday","Viernes","Vendredi",3,184,27,"July","Julio","Juillet",7,3,2009,2,1,2010,1,"07-2009","07","07"
20090704,2009-07-04 00:00:00.000,7,"Saturday","Sábado","Samedi",4,185,27,"July","Julio","Juillet",7,3,2009,2,1,2010,1,"07-2009","07","07"
20090705,2009-07-05 00:00:00.000,1,"Sunday","Domingo","Dimanche",5,186,28,"July","Julio","Juillet",7,3,2009,2,1,2010,1,"07-2009","07","07"
20090706,2009-07-06 00:00:00.000,2,"Monday","Lunes","Lundi",6,187,28,"July","Julio","Juillet",7,3,2009,2,1,2010,1,"07-2009","07","07"
20090707,2009-07-07 00:00:00.000,3,"Tuesday","Martes","Mardi",7,188,28,"July","Julio","Juillet",7,3,2009,2,1,2010,1,"07-2009","07","07"
20090708,2009-07-08 00:00:00.000,4,"Wednesday","Miércoles","Mercredi",8,189,28,"July","Julio","Juillet",7,3,2009,2,1,2010,1,"07-2009","07","07"
20090709,2009-07-09 00:00:00.000,5,"Thursday","Jueves","Jeudi",9,190,28,"July","Julio","Juillet",7,3,2009,2,1,2010,1,"07-2009","07","07"
20090710,2009-07-10 00:00:00.000,6,"Friday","Viernes","Vendredi",10,191,28,"July","Julio","Juillet",7,3,2009,2,1,2010,1,"07-2009","07","07"
20090711,2009-07-11 00:00:00.000,7,"Saturday","Sábado","Samedi",11,192,28,"July","Julio","Juillet",7,3,2009,2,1,2010,1,"07-2009","07","07"
20090712,2009-07-12 00:00:00.000,1,"Sunday","Domingo","Dimanche",12,193,29,"July","Julio","Juillet",7,3,2009,2,1,2010,1,"07-2009","07","07"
20090713,2009-07-13 00:00:00.000,2,"Monday","Lunes","Lundi",13,194,29,"July","Julio","Juillet",7,3,2009,2,1,2010,1,"07-2009","07","07"
20090714,2009-07-14 00:00:00.000,3,"Tuesday","Martes","Mardi",14,195,29,"July","Julio","Juillet",7,3,2009,2,1,2010,1,"07-2009","07","07"
20090715,2009-07-15 00:00:00.000,4,"Wednesday","Miércoles","Mercredi",15,196,29,"July","Julio","Juillet",7,3,2009,2,1,2010,1,"07-2009","07","07"
20090716,2009-07-16 00:00:00.000,5,"Thursday","Jueves","Jeudi",16,197,29,"July","Julio","Juillet",7,3,2009,2,1,2010,1,"07-2009","07","07"
20090717,2009-07-17 00:00:00.000,6,"Friday","Viernes","Vendredi",17,198,29,"July","Julio","Juillet",7,3,2009,2,1,2010,1,"07-2009","07","07"
20090718,2009-07-18 00:00:00.000,7,"Saturday","Sábado","Samedi",18,199,29,"July","Julio","Juillet",7,3,2009,2,1,2010,1,"07-2009","07","07"
20090719,2009-07-19 00:00:00.000,1,"Sunday","Domingo","Dimanche",19,200,30,"July","Julio","Juillet",7,3,2009,2,1,2010,1,"07-2009","07","07"
20090720,2009-07-20 00:00:00.000,2,"Monday","Lunes","Lundi",20,201,30,"July","Julio","Juillet",7,3,2009,2,1,2010,1,"07-2009","07","07"
20090721,2009-07-21 00:00:00.000,3,"Tuesday","Martes","Mardi",21,202,30,"July","Julio","Juillet",7,3,2009,2,1,2010,1,"07-2009","07","07"
20090722,2009-07-22 00:00:00.000,4,"Wednesday","Miércoles","Mercredi",22,203,30,"July","Julio","Juillet",7,3,2009,2,1,2010,1,"07-2009","07","07"
20090723,2009-07-23 00:00:00.000,5,"Thursday","Jueves","Jeudi",23,204,30,"July","Julio","Juillet",7,3,2009,2,1,2010,1,"07-2009","07","07"
20090724,2009-07-24 00:00:00.000,6,"Friday","Viernes","Vendredi",24,205,30,"July","Julio","Juillet",7,3,2009,2,1,2010,1,"07-2009","07","07"
20090725,2009-07-25 00:00:00.000,7,"Saturday","Sábado","Samedi",25,206,30,"July","Julio","Juillet",7,3,2009,2,1,2010,1,"07-2009","07","07"
20090726,2009-07-26 00:00:00.000,1,"Sunday","Domingo","Dimanche",26,207,31,"July","Julio","Juillet",7,3,2009,2,1,2010,1,"07-2009","07","07"
20090727,2009-07-27 00:00:00.000,2,"Monday","Lunes","Lundi",27,208,31,"July","Julio","Juillet",7,3,2009,2,1,2010,1,"07-2009","07","07"
20090728,2009-07-28 00:00:00.000,3,"Tuesday","Martes","Mardi",28,209,31,"July","Julio","Juillet",7,3,2009,2,1,2010,1,"07-2009","07","07"
20090729,2009-07-29 00:00:00.000,4,"Wednesday","Miércoles","Mercredi",29,210,31,"July","Julio","Juillet",7,3,2009,2,1,2010,1,"07-2009","07","07"
20090730,2009-07-30 00:00:00.000,5,"Thursday","Jueves","Jeudi",30,211,31,"July","Julio","Juillet",7,3,2009,2,1,2010,1,"07-2009","07","07"
20090731,2009-07-31 00:00:00.000,6,"Friday","Viernes","Vendredi",31,212,31,"July","Julio","Juillet",7,3,2009,2,1,2010,1,"07-2009","07","07"
20100701,2010-07-01 00:00:00.000,5,"Thursday","Jueves","Jeudi",1,182,27,"July","Julio","Juillet",7,3,2010,2,1,2011,1,"07-2010","07","07"
20100702,2010-07-02 00:00:00.000,6,"Friday","Viernes","Vendredi",2,183,27,"July","Julio","Juillet",7,3,2010,2,1,2011,1,"07-2010","07","07"
20100703,2010-07-03 00:00:00.000,7,"Saturday","Sábado","Samedi",3,184,27,"July","Julio","Juillet",7,3,2010,2,1,2011,1,"07-2010","07","07"
20100704,2010-07-04 00:00:00.000,1,"Sunday","Domingo","Dimanche",4,185,28,"July","Julio","Juillet",7,3,2010,2,1,2011,1,"07-2010","07","07"
20100705,2010-07-05 00:00:00.000,2,"Monday","Lunes","Lundi",5,186,28,"July","Julio","Juillet",7,3,2010,2,1,2011,1,"07-2010","07","07"
20100706,2010-07-06 00:00:00.000,3,"Tuesday","Martes","Mardi",6,187,28,"July","Julio","Juillet",7,3,2010,2,1,2011,1,"07-2010","07","07"
20100707,2010-07-07 00:00:00.000,4,"Wednesday","Miércoles","Mercredi",7,188,28,"July","Julio","Juillet",7,3,2010,2,1,2011,1,"07-2010","07","07"
20100708,2010-07-08 00:00:00.000,5,"Thursday","Jueves","Jeudi",8,189,28,"July","Julio","Juillet",7,3,2010,2,1,2011,1,"07-2010","07","07"
20100709,2010-07-09 00:00:00.000,6,"Friday","Viernes","Vendredi",9,190,28,"July","Julio","Juillet",7,3,2010,2,1,2011,1,"07-2010","07","07"
