Daily number of positive cases (old methodology),Cumulative number of positive cases (old methodology),Pillar,Nation,Date of reporting,Date of activity,DateDate,7 Day Rolling Average deaths
,,"Pillar 3","UK","12/05/2020","11/05/2020",2020-12-05 00:00:00.000,
,,"Pillar 3","UK","13/05/2020","12/05/2020",2020-05-13 00:00:00.000,
,,"Pillar 3","UK","14/05/2020","13/05/2020",2020-05-14 00:00:00.000,
,,"Pillar 3","UK","15/05/2020","14/05/2020",2020-05-15 00:00:00.000,
,,"Pillar 3","UK","16/05/2020","15/05/2020",2020-05-16 00:00:00.000,
,,"Pillar 3","UK","17/05/2020","16/05/2020",2020-05-17 00:00:00.000,
,,"Pillar 3","UK","18/05/2020","17/05/2020",2020-05-18 00:00:00.000,
,,"Pillar 3","UK","19/05/2020","18/05/2020",2020-05-19 00:00:00.000,
,,"Pillar 3","UK","20/05/2020","19/05/2020",2020-05-20 00:00:00.000,
,,"Pillar 3","UK","21/05/2020","20/05/2020",2020-05-21 00:00:00.000,
,,"Pillar 3","UK","22/05/2020","21/05/2020",2020-05-22 00:00:00.000,
,,"Pillar 3","UK","23/05/2020","22/05/2020",2020-05-23 00:00:00.000,
,,"Pillar 3","UK","24/05/2020","23/05/2020",2020-05-24 00:00:00.000,
,,"Pillar 3","UK","25/05/2020","24/05/2020",2020-05-25 00:00:00.000,
,,"Pillar 3","UK","26/05/2020","25/05/2020",2020-05-26 00:00:00.000,
,,"Pillar 3","UK","27/05/2020","26/05/2020",2020-05-27 00:00:00.000,
,,"Pillar 3","UK","28/05/2020","27/05/2020",2020-05-28 00:00:00.000,
,,"Pillar 3","UK","29/05/2020","28/05/2020",2020-05-29 00:00:00.000,
,,"Pillar 3","UK","30/05/2020","29/05/2020",2020-05-30 00:00:00.000,
,,"Pillar 3","UK","31/05/2020","30/05/2020",2020-05-31 00:00:00.000,
,,"Pillar 3","UK","01/06/2020","31/05/2020",2020-01-06 00:00:00.000,
,,"Pillar 3","UK","02/06/2020","01/06/2020",2020-02-06 00:00:00.000,
,,"Pillar 3","UK","03/06/2020","02/06/2020",2020-03-06 00:00:00.000,
,,"Pillar 3","UK","04/06/2020","03/06/2020",2020-04-06 00:00:00.000,
,,"Pillar 3","UK","05/06/2020","04/06/2020",2020-05-06 00:00:00.000,
,,"Pillar 3","UK","06/06/2020","05/06/2020",2020-06-06 00:00:00.000,
,,"Pillar 3","UK","07/06/2020","06/06/2020",2020-07-06 00:00:00.000,
,,"Pillar 3","UK","08/06/2020","07/06/2020",2020-08-06 00:00:00.000,
,,"Pillar 3","UK","09/06/2020","08/06/2020",2020-09-06 00:00:00.000,
,,"Pillar 3","UK","10/06/2020","09/06/2020",2020-10-06 00:00:00.000,
,,"Pillar 3","UK","11/06/2020","10/06/2020",2020-11-06 00:00:00.000,
,,"Pillar 3","UK","12/06/2020","11/06/2020",2020-12-06 00:00:00.000,
,,"Pillar 3","UK","13/06/2020","12/06/2020",2020-06-13 00:00:00.000,
,,"Pillar 3","UK","14/06/2020","13/06/2020",2020-06-14 00:00:00.000,
,,"Pillar 3","UK","15/06/2020","14/06/2020",2020-06-15 00:00:00.000,
,,"Pillar 3","UK","16/06/2020","15/06/2020",2020-06-16 00:00:00.000,
,,"Pillar 3","UK","17/06/2020","16/06/2020",2020-06-17 00:00:00.000,
,,"Pillar 3","UK","18/06/2020","17/06/2020",2020-06-18 00:00:00.000,
,,"Pillar 3","UK","19/06/2020","18/06/2020",2020-06-19 00:00:00.000,
,,"Pillar 3","UK","20/06/2020","19/06/2020",2020-06-20 00:00:00.000,
,,"Pillar 3","UK","21/06/2020","20/06/2020",2020-06-21 00:00:00.000,
,,"Pillar 3","UK","22/06/2020","21/06/2020",2020-06-22 00:00:00.000,
,,"Pillar 3","UK","23/06/2020","22/06/2020",2020-06-23 00:00:00.000,
,,"Pillar 3","UK","24/06/2020","23/06/2020",2020-06-24 00:00:00.000,
,,"Pillar 3","UK","25/06/2020","24/06/2020",2020-06-25 00:00:00.000,
,,"Pillar 3","UK","26/06/2020","25/06/2020",2020-06-26 00:00:00.000,
,,"Pillar 3","UK","27/06/2020","26/06/2020",2020-06-27 00:00:00.000,
,,"Pillar 3","UK","28/06/2020","27/06/2020",2020-06-28 00:00:00.000,
,,"Pillar 3","UK","29/06/2020","28/06/2020",2020-06-29 00:00:00.000,
,,"Pillar 3","UK","30/06/2020","29/06/2020",2020-06-30 00:00:00.000,
,,"Pillar 3","UK","01/07/2020","30/06/2020",2020-01-07 00:00:00.000,
,,"Pillar 3","UK","02/07/2020","01/07/2020",2020-02-07 00:00:00.000,
,,"Pillar 3","UK","03/07/2020","02/07/2020",2020-03-07 00:00:00.000,
,,"Pillar 3","UK","04/07/2020","03/07/2020",2020-04-07 00:00:00.000,
,,"Pillar 3","UK","05/07/2020","04/07/2020",2020-05-07 00:00:00.000,
,,"Pillar 3","UK","06/07/2020","05/07/2020",2020-06-07 00:00:00.000,
,,"Pillar 3","UK","07/07/2020","06/07/2020",2020-07-07 00:00:00.000,
,,"Pillar 3","UK","08/07/2020","07/07/2020",2020-08-07 00:00:00.000,
,,"Pillar 3","UK","09/07/2020","08/07/2020",2020-09-07 00:00:00.000,
,,"Pillar 3","UK","10/07/2020","09/07/2020",2020-10-07 00:00:00.000,
,,"Pillar 3","UK","11/07/2020","10/07/2020",2020-11-07 00:00:00.000,
,,"Pillar 3","UK","12/07/2020","11/07/2020",2020-12-07 00:00:00.000,
,,"Pillar 3","UK","13/07/2020","12/07/2020",2020-07-13 00:00:00.000,
,,"Pillar 3","UK","14/07/2020","13/07/2020",2020-07-14 00:00:00.000,
,,"Pillar 3","UK","15/07/2020","14/07/2020",2020-07-15 00:00:00.000,
,,"Pillar 3","UK","16/07/2020","15/07/2020",2020-07-16 00:00:00.000,
,,"Pillar 3","UK","17/07/2020","16/07/2020",2020-07-17 00:00:00.000,
,,"Pillar 3","UK","18/07/2020","17/07/2020",2020-07-18 00:00:00.000,
,,"Pillar 3","UK","19/07/2020","18/07/2020",2020-07-19 00:00:00.000,
,,"Pillar 3","UK","20/07/2020","19/07/2020",2020-07-20 00:00:00.000,
,,"Pillar 3","UK","21/07/2020","20/07/2020",2020-07-21 00:00:00.000,
,,"Pillar 3","UK","22/07/2020","21/07/2020",2020-07-22 00:00:00.000,
,,"Pillar 3","UK","23/07/2020","22/07/2020",2020-07-23 00:00:00.000,
,,"Pillar 3","UK","24/07/2020","23/07/2020",2020-07-24 00:00:00.000,
,,"Pillar 3","UK","25/07/2020","24/07/2020",2020-07-25 00:00:00.000,
,,"Pillar 3","UK","26/07/2020","25/07/2020",2020-07-26 00:00:00.000,
,,"Pillar 3","UK","27/07/2020","26/07/2020",2020-07-27 00:00:00.000,
,,"Pillar 3","UK","28/07/2020","27/07/2020",2020-07-28 00:00:00.000,
,,"Pillar 3","UK","29/07/2020","28/07/2020",2020-07-29 00:00:00.000,
,,"Pillar 3","UK","30/07/2020","29/07/2020",2020-07-30 00:00:00.000,
,,"Pillar 3","UK","31/07/2020","30/07/2020",2020-07-31 00:00:00.000,
,,"Pillar 3","UK","01/08/2020","31/07/2020",2020-01-08 00:00:00.000,
,,"Pillar 3","UK","02/08/2020","01/08/2020",2020-02-08 00:00:00.000,
,,"Pillar 3","UK","03/08/2020","02/08/2020",2020-03-08 00:00:00.000,
,,"Pillar 3","UK","04/08/2020","03/08/2020",2020-04-08 00:00:00.000,
,,"Pillar 4","UK","21/03/2020","20/03/2020",2020-03-21 00:00:00.000,
,,"Pillar 4","UK","22/03/2020","21/03/2020",2020-03-22 00:00:00.000,
,,"Pillar 4","UK","23/03/2020","22/03/2020",2020-03-23 00:00:00.000,
,,"Pillar 4","UK","24/03/2020","23/03/2020",2020-03-24 00:00:00.000,
,,"Pillar 4","UK","25/03/2020","24/03/2020",2020-03-25 00:00:00.000,
,,"Pillar 4","UK","26/03/2020","25/03/2020",2020-03-26 00:00:00.000,
,,"Pillar 4","UK","27/03/2020","26/03/2020",2020-03-27 00:00:00.000,
,,"Pillar 4","UK","28/03/2020","27/03/2020",2020-03-28 00:00:00.000,
,,"Pillar 4","UK","29/03/2020","28/03/2020",2020-03-29 00:00:00.000,
,,"Pillar 4","UK","30/03/2020","29/03/2020",2020-03-30 00:00:00.000,
,,"Pillar 4","UK","31/03/2020","30/03/2020",2020-03-31 00:00:00.000,
,,"Pillar 4","UK","01/04/2020","31/03/2020",2020-01-04 00:00:00.000,
,,"Pillar 4","UK","02/04/2020","01/04/2020",2020-02-04 00:00:00.000,
,,"Pillar 4","UK","03/04/2020","02/04/2020",2020-03-04 00:00:00.000,
,,"Pillar 4","UK","04/04/2020","03/04/2020",2020-04-04 00:00:00.000,
,,"Pillar 4","UK","05/04/2020","04/04/2020",2020-05-04 00:00:00.000,
,,"Pillar 4","UK","06/04/2020","05/04/2020",2020-06-04 00:00:00.000,
,,"Pillar 4","UK","07/04/2020","06/04/2020",2020-07-04 00:00:00.000,
,,"Pillar 4","UK","08/04/2020","07/04/2020",2020-08-04 00:00:00.000,
,,"Pillar 4","UK","09/04/2020","08/04/2020",2020-09-04 00:00:00.000,
,,"Pillar 4","UK","10/04/2020","09/04/2020",2020-10-04 00:00:00.000,
,,"Pillar 4","UK","11/04/2020","10/04/2020",2020-11-04 00:00:00.000,
,,"Pillar 4","UK","12/04/2020","11/04/2020",2020-12-04 00:00:00.000,
,,"Pillar 4","UK","13/04/2020","12/04/2020",2020-04-13 00:00:00.000,
,,"Pillar 4","UK","14/04/2020","13/04/2020",2020-04-14 00:00:00.000,
,,"Pillar 4","UK","15/04/2020","14/04/2020",2020-04-15 00:00:00.000,
,,"Pillar 4","UK","16/04/2020","15/04/2020",2020-04-16 00:00:00.000,
,,"Pillar 4","UK","17/04/2020","16/04/2020",2020-04-17 00:00:00.000,
,,"Pillar 4","UK","18/04/2020","17/04/2020",2020-04-18 00:00:00.000,
,,"Pillar 4","UK","19/04/2020","18/04/2020",2020-04-19 00:00:00.000,
,,"Pillar 4","UK","20/04/2020","19/04/2020",2020-04-20 00:00:00.000,
,,"Pillar 4","UK","21/04/2020","20/04/2020",2020-04-21 00:00:00.000,
,,"Pillar 4","UK","22/04/2020","21/04/2020",2020-04-22 00:00:00.000,
,,"Pillar 4","UK","23/04/2020","22/04/2020",2020-04-23 00:00:00.000,
,,"Pillar 4","UK","24/04/2020","23/04/2020",2020-04-24 00:00:00.000,
,,"Pillar 4","UK","25/04/2020","24/04/2020",2020-04-25 00:00:00.000,
,,"Pillar 4","UK","26/04/2020","25/04/2020",2020-04-26 00:00:00.000,
,,"Pillar 4","UK","27/04/2020","26/04/2020",2020-04-27 00:00:00.000,
,,"Pillar 4","UK","28/04/2020","27/04/2020",2020-04-28 00:00:00.000,
,,"Pillar 4","UK","29/04/2020","28/04/2020",2020-04-29 00:00:00.000,
,,"Pillar 4","UK","30/04/2020","29/04/2020",2020-04-30 00:00:00.000,
,,"Pillar 4","UK","01/05/2020","30/04/2020",2020-01-05 00:00:00.000,
,,"Pillar 4","UK","02/05/2020","01/05/2020",2020-02-05 00:00:00.000,
,,"Pillar 4","UK","03/05/2020","02/05/2020",2020-03-05 00:00:00.000,
,,"Pillar 4","UK","04/05/2020","03/05/2020",2020-04-05 00:00:00.000,
,,"Pillar 4","UK","05/05/2020","04/05/2020",2020-05-05 00:00:00.000,
,,"Pillar 4","UK","06/05/2020","05/05/2020",2020-06-05 00:00:00.000,
,,"Pillar 4","UK","07/05/2020","06/05/2020",2020-07-05 00:00:00.000,
,,"Pillar 4","UK","08/05/2020","07/05/2020",2020-08-05 00:00:00.000,
,,"Pillar 4","UK","09/05/2020","08/05/2020",2020-09-05 00:00:00.000,
,,"Pillar 4","UK","10/05/2020","09/05/2020",2020-10-05 00:00:00.000,
,,"Pillar 4","UK","11/05/2020","10/05/2020",2020-11-05 00:00:00.000,
,,"Pillar 4","UK","12/05/2020","11/05/2020",2020-12-05 00:00:00.000,
,,"Pillar 4","UK","13/05/2020","12/05/2020",2020-05-13 00:00:00.000,
,,"Pillar 4","UK","14/05/2020","13/05/2020",2020-05-14 00:00:00.000,
,,"Pillar 4","UK","15/05/2020","14/05/2020",2020-05-15 00:00:00.000,
,,"Pillar 4","UK","16/05/2020","15/05/2020",2020-05-16 00:00:00.000,
,,"Pillar 4","UK","17/05/2020","16/05/2020",2020-05-17 00:00:00.000,
,,"Pillar 4","UK","18/05/2020","17/05/2020",2020-05-18 00:00:00.000,
,,"Pillar 4","UK","19/05/2020","18/05/2020",2020-05-19 00:00:00.000,
,,"Pillar 4","UK","20/05/2020","19/05/2020",2020-05-20 00:00:00.000,
,,"Pillar 4","UK","21/05/2020","20/05/2020",2020-05-21 00:00:00.000,
,,"Pillar 4","UK","22/05/2020","21/05/2020",2020-05-22 00:00:00.000,
,,"Pillar 4","UK","23/05/2020","22/05/2020",2020-05-23 00:00:00.000,
,,"Pillar 4","UK","24/05/2020","23/05/2020",2020-05-24 00:00:00.000,
,,"Pillar 4","UK","25/05/2020","24/05/2020",2020-05-25 00:00:00.000,
,,"Pillar 4","UK","26/05/2020","25/05/2020",2020-05-26 00:00:00.000,
,,"Pillar 4","UK","27/05/2020","26/05/2020",2020-05-27 00:00:00.000,
,,"Pillar 4","UK","28/05/2020","27/05/2020",2020-05-28 00:00:00.000,
,,"Pillar 4","UK","29/05/2020","28/05/2020",2020-05-29 00:00:00.000,
,,"Pillar 4","UK","30/05/2020","29/05/2020",2020-05-30 00:00:00.000,
,,"Pillar 4","UK","31/05/2020","30/05/2020",2020-05-31 00:00:00.000,
,,"Pillar 4","UK","01/06/2020","31/05/2020",2020-01-06 00:00:00.000,
,,"Pillar 4","UK","02/06/2020","01/06/2020",2020-02-06 00:00:00.000,
,,"Pillar 4","UK","03/06/2020","02/06/2020",2020-03-06 00:00:00.000,
,,"Pillar 4","UK","04/06/2020","03/06/2020",2020-04-06 00:00:00.000,
,,"Pillar 4","UK","05/06/2020","04/06/2020",2020-05-06 00:00:00.000,
,,"Pillar 4","UK","06/06/2020","05/06/2020",2020-06-06 00:00:00.000,
,,"Pillar 4","UK","07/06/2020","06/06/2020",2020-07-06 00:00:00.000,
,,"Pillar 4","UK","08/06/2020","07/06/2020",2020-08-06 00:00:00.000,
,,"Pillar 4","UK","09/06/2020","08/06/2020",2020-09-06 00:00:00.000,
,,"Pillar 4","UK","10/06/2020","09/06/2020",2020-10-06 00:00:00.000,
,,"Pillar 4","UK","11/06/2020","10/06/2020",2020-11-06 00:00:00.000,
,,"Pillar 4","UK","12/06/2020","11/06/2020",2020-12-06 00:00:00.000,
,,"Pillar 4","UK","13/06/2020","12/06/2020",2020-06-13 00:00:00.000,
,,"Pillar 4","UK","14/06/2020","13/06/2020",2020-06-14 00:00:00.000,
,,"Pillar 4","UK","15/06/2020","14/06/2020",2020-06-15 00:00:00.000,
,,"Pillar 4","UK","16/06/2020","15/06/2020",2020-06-16 00:00:00.000,
,,"Pillar 4","UK","17/06/2020","16/06/2020",2020-06-17 00:00:00.000,
,,"Pillar 4","UK","18/06/2020","17/06/2020",2020-06-18 00:00:00.000,
,,"Pillar 4","UK","19/06/2020","18/06/2020",2020-06-19 00:00:00.000,
,,"Pillar 4","UK","20/06/2020","19/06/2020",2020-06-20 00:00:00.000,
,,"Pillar 4","UK","21/06/2020","20/06/2020",2020-06-21 00:00:00.000,
,,"Pillar 4","UK","22/06/2020","21/06/2020",2020-06-22 00:00:00.000,
,,"Pillar 4","UK","23/06/2020","22/06/2020",2020-06-23 00:00:00.000,
,,"Pillar 4","UK","24/06/2020","23/06/2020",2020-06-24 00:00:00.000,
,,"Pillar 4","UK","25/06/2020","24/06/2020",2020-06-25 00:00:00.000,
,,"Pillar 4","UK","26/06/2020","25/06/2020",2020-06-26 00:00:00.000,
,,"Pillar 4","UK","27/06/2020","26/06/2020",2020-06-27 00:00:00.000,
,,"Pillar 4","UK","28/06/2020","27/06/2020",2020-06-28 00:00:00.000,
,,"Pillar 4","UK","29/06/2020","28/06/2020",2020-06-29 00:00:00.000,
,,"Pillar 4","UK","30/06/2020","29/06/2020",2020-06-30 00:00:00.000,
,,"Pillar 4","UK","01/07/2020","30/06/2020",2020-01-07 00:00:00.000,
,,"Pillar 4","UK","02/07/2020","01/07/2020",2020-02-07 00:00:00.000,
,,"Pillar 4","UK","03/07/2020","02/07/2020",2020-03-07 00:00:00.000,
,,"Pillar 4","UK","04/07/2020","03/07/2020",2020-04-07 00:00:00.000,
,,"Pillar 4","UK","05/07/2020","04/07/2020",2020-05-07 00:00:00.000,
,,"Pillar 4","UK","06/07/2020","05/07/2020",2020-06-07 00:00:00.000,
,,"Pillar 4","UK","07/07/2020","06/07/2020",2020-07-07 00:00:00.000,
,,"Pillar 4","UK","08/07/2020","07/07/2020",2020-08-07 00:00:00.000,
,,"Pillar 4","UK","09/07/2020","08/07/2020",2020-09-07 00:00:00.000,
,,"Pillar 4","UK","10/07/2020","09/07/2020",2020-10-07 00:00:00.000,
,,"Pillar 4","UK","11/07/2020","10/07/2020",2020-11-07 00:00:00.000,
,,"Pillar 4","UK","12/07/2020","11/07/2020",2020-12-07 00:00:00.000,
,,"Pillar 4","UK","13/07/2020","12/07/2020",2020-07-13 00:00:00.000,
,,"Pillar 4","UK","14/07/2020","13/07/2020",2020-07-14 00:00:00.000,
,,"Pillar 4","UK","15/07/2020","14/07/2020",2020-07-15 00:00:00.000,
,,"Pillar 4","UK","16/07/2020","15/07/2020",2020-07-16 00:00:00.000,
,,"Pillar 4","UK","17/07/2020","16/07/2020",2020-07-17 00:00:00.000,
,,"Pillar 4","UK","18/07/2020","17/07/2020",2020-07-18 00:00:00.000,
,,"Pillar 4","UK","19/07/2020","18/07/2020",2020-07-19 00:00:00.000,
,,"Pillar 4","UK","20/07/2020","19/07/2020",2020-07-20 00:00:00.000,
,,"Pillar 4","UK","21/07/2020","20/07/2020",2020-07-21 00:00:00.000,
,,"Pillar 4","UK","22/07/2020","21/07/2020",2020-07-22 00:00:00.000,
,,"Pillar 4","UK","23/07/2020","22/07/2020",2020-07-23 00:00:00.000,
,,"Pillar 4","UK","24/07/2020","23/07/2020",2020-07-24 00:00:00.000,
,,"Pillar 4","UK","25/07/2020","24/07/2020",2020-07-25 00:00:00.000,
,,"Pillar 4","UK","26/07/2020","25/07/2020",2020-07-26 00:00:00.000,
,,"Pillar 4","UK","27/07/2020","26/07/2020",2020-07-27 00:00:00.000,
,,"Pillar 4","UK","28/07/2020","27/07/2020",2020-07-28 00:00:00.000,
,,"Pillar 4","UK","29/07/2020","28/07/2020",2020-07-29 00:00:00.000,
,,"Pillar 4","UK","30/07/2020","29/07/2020",2020-07-30 00:00:00.000,
,,"Pillar 4","UK","31/07/2020","30/07/2020",2020-07-31 00:00:00.000,
,,"Pillar 4","UK","01/08/2020","31/07/2020",2020-01-08 00:00:00.000,
,,"Pillar 4","UK","02/08/2020","01/08/2020",2020-02-08 00:00:00.000,
,,"Pillar 4","UK","03/08/2020","02/08/2020",2020-03-08 00:00:00.000,
,,"Pillar 4","UK","04/08/2020","03/08/2020",2020-04-08 00:00:00.000,
,,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","21/03/2020","20/03/2020",2020-03-21 00:00:00.000,
,,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","22/03/2020","21/03/2020",2020-03-22 00:00:00.000,
,,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","23/03/2020","22/03/2020",2020-03-23 00:00:00.000,
,,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","24/03/2020","23/03/2020",2020-03-24 00:00:00.000,
,,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","25/03/2020","24/03/2020",2020-03-25 00:00:00.000,
,,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","26/03/2020","25/03/2020",2020-03-26 00:00:00.000,
,,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","02/07/2020","01/07/2020",2020-02-07 00:00:00.000,2507.3333333333335
,,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","02/07/2020","01/07/2020",2020-02-07 00:00:00.000,1139.6666666666667
,,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","03/07/2020","02/07/2020",2020-03-07 00:00:00.000,2492
,,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","03/07/2020","02/07/2020",2020-03-07 00:00:00.000,1135.3333333333333
,,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","04/07/2020","03/07/2020",2020-04-07 00:00:00.000,2067
,,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","04/07/2020","03/07/2020",2020-04-07 00:00:00.000,1196.3333333333333
,,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","05/07/2020","04/07/2020",2020-05-07 00:00:00.000,2888.3333333333335
,,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","05/07/2020","04/07/2020",2020-05-07 00:00:00.000,1196.6666666666667
,,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","06/07/2020","05/07/2020",2020-06-07 00:00:00.000,2110.6666666666665
,,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","06/07/2020","05/07/2020",2020-06-07 00:00:00.000,1826.3333333333333
,,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","07/07/2020","06/07/2020",2020-07-07 00:00:00.000,2137
,,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","07/07/2020","06/07/2020",2020-07-07 00:00:00.000,1472.3333333333333
,,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","08/07/2020","07/07/2020",2020-08-07 00:00:00.000,2586
,,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","08/07/2020","07/07/2020",2020-08-07 00:00:00.000,1320.3333333333333
,,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","09/07/2020","08/07/2020",2020-09-07 00:00:00.000,2244.3333333333335
,,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","09/07/2020","08/07/2020",2020-09-07 00:00:00.000,1075
,,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","10/07/2020","09/07/2020",2020-10-07 00:00:00.000,2257.6666666666665
,,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","10/07/2020","09/07/2020",2020-10-07 00:00:00.000,1286.3333333333333
,,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","11/07/2020","10/07/2020",2020-11-07 00:00:00.000,2066
,,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","11/07/2020","10/07/2020",2020-11-07 00:00:00.000,1393
,,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","12/07/2020","11/07/2020",2020-12-07 00:00:00.000,2104.6666666666665
,,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","12/07/2020","11/07/2020",2020-12-07 00:00:00.000,1306
,,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","13/07/2020","12/07/2020",2020-07-13 00:00:00.000,
,,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","13/07/2020","12/07/2020",2020-07-13 00:00:00.000,
,,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","14/07/2020","13/07/2020",2020-07-14 00:00:00.000,
