Area name,Area code,Area type,Reporting date,Daily change in deaths,Cumulative deaths,7 Day Rolling Average deaths
"Northern Ireland","N92000002","Nation",2020-06-22 00:00:00.000,0,545,0.5714285714285714
"Northern Ireland","N92000002","Nation",2020-06-19 00:00:00.000,0,543,0.7142857142857143
"Scotland","S92000003","Nation",2020-06-16 00:00:00.000,0,2448,4.7142857142857144
"Northern Ireland","N92000002","Nation",2020-06-16 00:00:00.000,0,541,0.5714285714285714
"Northern Ireland","N92000002","Nation",2020-06-15 00:00:00.000,0,541,0.5714285714285714
"Northern Ireland","N92000002","Nation",2020-06-11 00:00:00.000,0,537,0.42857142857142855
"Northern Ireland","N92000002","Nation",2020-06-10 00:00:00.000,0,537,1.5714285714285714
"Scotland","S92000003","Nation",2020-06-09 00:00:00.000,0,2415,7.4285714285714288
"Northern Ireland","N92000002","Nation",2020-06-09 00:00:00.000,0,537,1.8571428571428572
"Scotland","S92000003","Nation",2020-06-08 00:00:00.000,0,2415,7.5714285714285712
"Northern Ireland","N92000002","Nation",2020-06-08 00:00:00.000,0,537,2
"Northern Ireland","N92000002","Nation",2020-05-27 00:00:00.000,0,514,3.5714285714285716
"Northern Ireland","N92000002","Nation",2020-03-23 00:00:00.000,0,2,0.33333333333333331
"Scotland","S92000003","Nation",2020-03-21 00:00:00.000,0,6,0.83333333333333337
"Northern Ireland","N92000002","Nation",2020-03-21 00:00:00.000,0,1,0
"Wales","W92000004","Nation",2020-03-20 00:00:00.000,0,1,0
"Wales","W92000004","Nation",2020-03-19 00:00:00.000,0,1,0
"Wales","W92000004","Nation",2020-03-18 00:00:00.000,0,1,0
"Scotland","S92000003","Nation",2020-03-17 00:00:00.000,0,1,0
"Scotland","S92000003","Nation",2020-03-16 00:00:00.000,0,1,0
"United Kingdom","K02000001","UK",2020-03-11 00:00:00.000,0,7,1.1666666666666667
"England","E92000001","Nation",2020-03-11 00:00:00.000,0,7,1.2
"United Kingdom","K02000001","UK",2020-03-08 00:00:00.000,0,2,0.66666666666666663
"England","E92000001","Nation",2020-03-08 00:00:00.000,0,2,0.5
"United Kingdom","K02000001","UK",2020-08-03 00:00:00.000,9,46210,64.428571428571431
"England","E92000001","Nation",2020-08-03 00:00:00.000,9,41598,62.142857142857146
"Wales","W92000004","Nation",2020-08-02 00:00:00.000,3,1565,2.2857142857142856
"United Kingdom","K02000001","UK",2020-08-02 00:00:00.000,8,46201,64.142857142857139
"England","E92000001","Nation",2020-08-02 00:00:00.000,5,41589,61.857142857142854
"Wales","W92000004","Nation",2020-08-01 00:00:00.000,2,1562,2
"United Kingdom","K02000001","UK",2020-08-01 00:00:00.000,74,46193,65
"England","E92000001","Nation",2020-08-01 00:00:00.000,72,41584,63
"Wales","W92000004","Nation",2020-07-31 00:00:00.000,6,1560,1.7142857142857142
"United Kingdom","K02000001","UK",2020-07-31 00:00:00.000,120,46119,63.142857142857146
"England","E92000001","Nation",2020-07-31 00:00:00.000,114,41512,61.428571428571431
"United Kingdom","K02000001","UK",2020-07-30 00:00:00.000,38,45999,63.571428571428569
"England","E92000001","Nation",2020-07-30 00:00:00.000,38,41398,62.714285714285715
"Wales","W92000004","Nation",2020-07-29 00:00:00.000,5,1554,0.8571428571428571
"United Kingdom","K02000001","UK",2020-07-29 00:00:00.000,83,45961,65.714285714285708
"England","E92000001","Nation",2020-07-29 00:00:00.000,78,41360,64.857142857142861
"United Kingdom","K02000001","UK",2020-07-28 00:00:00.000,119,45878,65.142857142857139
"England","E92000001","Nation",2020-07-28 00:00:00.000,119,41282,64.857142857142861
"United Kingdom","K02000001","UK",2020-07-27 00:00:00.000,7,45759,63.857142857142854
"England","E92000001","Nation",2020-07-27 00:00:00.000,7,41163,63.571428571428569
"Wales","W92000004","Nation",2020-07-26 00:00:00.000,1,1549,0.2857142857142857
"United Kingdom","K02000001","UK",2020-07-26 00:00:00.000,14,45752,64.428571428571431
"England","E92000001","Nation",2020-07-26 00:00:00.000,13,41156,64.142857142857139
"United Kingdom","K02000001","UK",2020-07-25 00:00:00.000,61,45738,66.428571428571431
"England","E92000001","Nation",2020-07-25 00:00:00.000,61,41143,66.142857142857139
"United Kingdom","K02000001","UK",2020-07-24 00:00:00.000,123,45677,63.428571428571431
"England","E92000001","Nation",2020-07-24 00:00:00.000,123,41082,63.142857142857146
"United Kingdom","K02000001","UK",2020-07-23 00:00:00.000,53,45554,62.142857142857146
"England","E92000001","Nation",2020-07-23 00:00:00.000,53,40959,61.571428571428569
"Wales","W92000004","Nation",2020-07-22 00:00:00.000,1,1548,0.42857142857142855
"United Kingdom","K02000001","UK",2020-07-22 00:00:00.000,79,45501,64
"England","E92000001","Nation",2020-07-22 00:00:00.000,78,40906,63.428571428571431
"United Kingdom","K02000001","UK",2020-07-21 00:00:00.000,110,45422,64.857142857142861
"England","E92000001","Nation",2020-07-21 00:00:00.000,110,40828,64.142857142857139
"United Kingdom","K02000001","UK",2020-07-20 00:00:00.000,11,45312,68.857142857142861
"England","E92000001","Nation",2020-07-20 00:00:00.000,11,40718,67.571428571428569
"Wales","W92000004","Nation",2020-07-19 00:00:00.000,1,1547,0.8571428571428571
"United Kingdom","K02000001","UK",2020-07-19 00:00:00.000,28,45301,68.857142857142861
"England","E92000001","Nation",2020-07-19 00:00:00.000,27,40707,67.571428571428569
"United Kingdom","K02000001","UK",2020-07-18 00:00:00.000,40,45273,67.857142857142861
"England","E92000001","Nation",2020-07-18 00:00:00.000,40,40680,66.714285714285708
"Wales","W92000004","Nation",2020-07-17 00:00:00.000,1,1546,0.8571428571428571
"Scotland","S92000003","Nation",2020-07-17 00:00:00.000,1,2491,0.14285714285714285
"United Kingdom","K02000001","UK",2020-07-17 00:00:00.000,114,45233,83.285714285714292
"England","E92000001","Nation",2020-07-17 00:00:00.000,112,40640,82
"United Kingdom","K02000001","UK",2020-07-16 00:00:00.000,66,45119,73.857142857142861
"England","E92000001","Nation",2020-07-16 00:00:00.000,66,40528,72.857142857142861
"Wales","W92000004","Nation",2020-07-15 00:00:00.000,2,1545,1
"United Kingdom","K02000001","UK",2020-07-15 00:00:00.000,85,45053,76.571428571428569
"England","E92000001","Nation",2020-07-15 00:00:00.000,83,40462,75.142857142857139
"Wales","W92000004","Nation",2020-07-14 00:00:00.000,2,1543,1.2857142857142858
"Northern Ireland","N92000002","Nation",2020-07-14 00:00:00.000,2,556,0.2857142857142857
"United Kingdom","K02000001","UK",2020-07-14 00:00:00.000,138,44968,82.428571428571431
"England","E92000001","Nation",2020-07-14 00:00:00.000,134,40379,80.571428571428569
"Northern Ireland","N92000002","Nation",2020-07-13 00:00:00.000,10,554,0
"United Kingdom","K02000001","UK",2020-07-13 00:00:00.000,11,44830,84.857142857142861
"England","E92000001","Nation",2020-07-13 00:00:00.000,11,40245,83.142857142857139
"Northern Ireland","N92000002","Nation",2020-07-12 00:00:00.000,-10,544,-1.4285714285714286
"United Kingdom","K02000001","UK",2020-07-12 00:00:00.000,21,44819,85.571428571428569
"England","E92000001","Nation",2020-07-12 00:00:00.000,21,40234,83.857142857142861
"Wales","W92000004","Nation",2020-07-11 00:00:00.000,1,1541,1.5714285714285714
"United Kingdom","K02000001","UK",2020-07-11 00:00:00.000,148,44798,85.714285714285708
"England","E92000001","Nation",2020-07-11 00:00:00.000,147,40213,83.857142857142861
"United Kingdom","K02000001","UK",2020-07-10 00:00:00.000,48,44650,74.142857142857139
"England","E92000001","Nation",2020-07-10 00:00:00.000,48,40066,71.285714285714292
"Wales","W92000004","Nation",2020-07-09 00:00:00.000,2,1540,2.2857142857142856
"Scotland","S92000003","Nation",2020-07-09 00:00:00.000,1,2490,0.5714285714285714
"United Kingdom","K02000001","UK",2020-07-09 00:00:00.000,85,44602,86.857142857142861
"England","E92000001","Nation",2020-07-09 00:00:00.000,82,40018,83.428571428571431
"Wales","W92000004","Nation",2020-07-08 00:00:00.000,4,1538,3.1428571428571428
"Scotland","S92000003","Nation",2020-07-08 00:00:00.000,1,2489,0.5714285714285714
"United Kingdom","K02000001","UK",2020-07-08 00:00:00.000,126,44517,87.428571428571431
"England","E92000001","Nation",2020-07-08 00:00:00.000,121,39936,83.142857142857139
"Wales","W92000004","Nation",2020-07-07 00:00:00.000,3,1534,3.4285714285714284
"United Kingdom","K02000001","UK",2020-07-07 00:00:00.000,155,44391,94.571428571428569
"England","E92000001","Nation",2020-07-07 00:00:00.000,152,39815,89.714285714285708
"United Kingdom","K02000001","UK",2020-07-06 00:00:00.000,16,44236,94.571428571428569
"England","E92000001","Nation",2020-07-06 00:00:00.000,16,39663,89.571428571428569
"Wales","W92000004","Nation",2020-07-05 00:00:00.000,1,1531,3.8571428571428572
"United Kingdom","K02000001","UK",2020-07-05 00:00:00.000,22,44220,95.857142857142861
"England","E92000001","Nation",2020-07-05 00:00:00.000,21,39647,90.285714285714292
"Wales","W92000004","Nation",2020-07-04 00:00:00.000,5,1530,4
"Scotland","S92000003","Nation",2020-07-04 00:00:00.000,1,2488,0.8571428571428571
"Northern Ireland","N92000002","Nation",2020-07-04 00:00:00.000,2,554,0.8571428571428571
"United Kingdom","K02000001","UK",2020-07-04 00:00:00.000,67,44198,97.857142857142861
"England","E92000001","Nation",2020-07-04 00:00:00.000,59,39626,92
"Wales","W92000004","Nation",2020-07-03 00:00:00.000,1,1525,4
"Scotland","S92000003","Nation",2020-07-03 00:00:00.000,1,2487,0.7142857142857143
"Northern Ireland","N92000002","Nation",2020-07-03 00:00:00.000,1,552,0.7142857142857143
"United Kingdom","K02000001","UK",2020-07-03 00:00:00.000,137,44131,102.57142857142857
"England","E92000001","Nation",2020-07-03 00:00:00.000,133,39567,97
"Wales","W92000004","Nation",2020-07-02 00:00:00.000,8,1524,3.8571428571428572
"Scotland","S92000003","Nation",2020-07-02 00:00:00.000,1,2486,0.8571428571428571
"United Kingdom","K02000001","UK",2020-07-02 00:00:00.000,89,43995,109.57142857142857
"England","E92000001","Nation",2020-07-02 00:00:00.000,80,39434,104
"Wales","W92000004","Nation",2020-07-01 00:00:00.000,6,1516,3.5714285714285716
"Scotland","S92000003","Nation",2020-07-01 00:00:00.000,3,2485,1.2857142857142858
"United Kingdom","K02000001","UK",2020-07-01 00:00:00.000,176,43906,118.14285714285714
"England","E92000001","Nation",2020-07-01 00:00:00.000,167,39354,112.28571428571429
"Wales","W92000004","Nation",2020-06-30 00:00:00.000,3,1510,3.8571428571428572
"Northern Ireland","N92000002","Nation",2020-06-30 00:00:00.000,1,551,0.8571428571428571
"United Kingdom","K02000001","UK",2020-06-30 00:00:00.000,155,43730,115
"England","E92000001","Nation",2020-06-30 00:00:00.000,151,39187,108.57142857142857
"Wales","W92000004","Nation",2020-06-29 00:00:00.000,3,1507,4.1428571428571432
"Northern Ireland","N92000002","Nation",2020-06-29 00:00:00.000,1,550,0.7142857142857143
"United Kingdom","K02000001","UK",2020-06-29 00:00:00.000,25,43575,117.28571428571429
"England","E92000001","Nation",2020-06-29 00:00:00.000,21,39036,110.71428571428571
"Wales","W92000004","Nation",2020-06-28 00:00:00.000,2,1504,3.8571428571428572
"Northern Ireland","N92000002","Nation",2020-06-28 00:00:00.000,1,549,0.5714285714285714
"United Kingdom","K02000001","UK",2020-06-28 00:00:00.000,36,43550,115.85714285714286
"England","E92000001","Nation",2020-06-28 00:00:00.000,33,39015,109.71428571428571
"Wales","W92000004","Nation",2020-06-27 00:00:00.000,5,1502,3.7142857142857144
"Northern Ireland","N92000002","Nation",2020-06-27 00:00:00.000,1,548,0.5714285714285714
"United Kingdom","K02000001","UK",2020-06-27 00:00:00.000,100,43514,116.85714285714286
"England","E92000001","Nation",2020-06-27 00:00:00.000,94,38982,110.57142857142857
"Scotland","S92000003","Nation",2020-06-26 00:00:00.000,2,2482,2.5714285714285716
"United Kingdom","K02000001","UK",2020-06-26 00:00:00.000,186,43414,121.14285714285714
"England","E92000001","Nation",2020-06-26 00:00:00.000,182,38888,114.57142857142857
"Wales","W92000004","Nation",2020-06-25 00:00:00.000,6,1497,3.7142857142857144
"Scotland","S92000003","Nation",2020-06-25 00:00:00.000,4,2480,2.5714285714285716
"Northern Ireland","N92000002","Nation",2020-06-25 00:00:00.000,1,547,0.5714285714285714
"United Kingdom","K02000001","UK",2020-06-25 00:00:00.000,149,43230,119.28571428571429
"England","E92000001","Nation",2020-06-25 00:00:00.000,138,38706,112.42857142857143
"Wales","W92000004","Nation",2020-06-24 00:00:00.000,8,1491,3.5714285714285716
"Scotland","S92000003","Nation",2020-06-24 00:00:00.000,4,2476,3.2857142857142856
"Northern Ireland","N92000002","Nation",2020-06-24 00:00:00.000,1,546,0.5714285714285714
"United Kingdom","K02000001","UK",2020-06-24 00:00:00.000,154,43081,117.57142857142857
"England","E92000001","Nation",2020-06-24 00:00:00.000,141,38568,110.14285714285714
"Wales","W92000004","Nation",2020-06-23 00:00:00.000,5,1483,3.8571428571428572
"United Kingdom","K02000001","UK",2020-06-23 00:00:00.000,171,42927,121.85714285714286
"England","E92000001","Nation",2020-06-23 00:00:00.000,166,38427,114
"Wales","W92000004","Nation",2020-06-22 00:00:00.000,1,1478,4.2857142857142856
"United Kingdom","K02000001","UK",2020-06-22 00:00:00.000,15,42756,131.14285714285714
"England","E92000001","Nation",2020-06-22 00:00:00.000,14,38261,122.85714285714286
"Wales","W92000004","Nation",2020-06-21 00:00:00.000,1,1477,4.7142857142857144
"Scotland","S92000003","Nation",2020-06-21 00:00:00.000,2,2472,3.5714285714285716
"Northern Ireland","N92000002","Nation",2020-06-21 00:00:00.000,1,545,0.5714285714285714
"United Kingdom","K02000001","UK",2020-06-21 00:00:00.000,43,42741,134.42857142857142
"England","E92000001","Nation",2020-06-21 00:00:00.000,39,38247,125.57142857142857
"Wales","W92000004","Nation",2020-06-20 00:00:00.000,1,1476,5
"Scotland","S92000003","Nation",2020-06-20 00:00:00.000,6,2470,4
"Northern Ireland","N92000002","Nation",2020-06-20 00:00:00.000,1,544,0.7142857142857143
"United Kingdom","K02000001","UK",2020-06-20 00:00:00.000,130,42698,133.42857142857142
"England","E92000001","Nation",2020-06-20 00:00:00.000,122,38208,123.71428571428571
"Wales","W92000004","Nation",2020-06-19 00:00:00.000,4,1475,5.7142857142857144
"Scotland","S92000003","Nation",2020-06-19 00:00:00.000,2,2464,3.5714285714285716
"United Kingdom","K02000001","UK",2020-06-19 00:00:00.000,173,42568,141
"England","E92000001","Nation",2020-06-19 00:00:00.000,167,38086,131
"Wales","W92000004","Nation",2020-06-18 00:00:00.000,5,1471,6.5714285714285712
"Scotland","S92000003","Nation",2020-06-18 00:00:00.000,9,2462,4
"Northern Ireland","N92000002","Nation",2020-06-18 00:00:00.000,1,543,0.8571428571428571
"United Kingdom","K02000001","UK",2020-06-18 00:00:00.000,137,42395,145.42857142857142
"England","E92000001","Nation",2020-06-18 00:00:00.000,122,37919,134
"Wales","W92000004","Nation",2020-06-17 00:00:00.000,10,1466,6.7142857142857144
"Scotland","S92000003","Nation",2020-06-17 00:00:00.000,5,2453,4.4285714285714288
"Northern Ireland","N92000002","Nation",2020-06-17 00:00:00.000,1,542,0.7142857142857143
"United Kingdom","K02000001","UK",2020-06-17 00:00:00.000,184,42258,147.57142857142858
"England","E92000001","Nation",2020-06-17 00:00:00.000,168,37797,135.71428571428572
"Wales","W92000004","Nation",2020-06-16 00:00:00.000,8,1456,6.5714285714285712
"United Kingdom","K02000001","UK",2020-06-16 00:00:00.000,236,42074,157
"England","E92000001","Nation",2020-06-16 00:00:00.000,228,37629,145.14285714285714
"Wales","W92000004","Nation",2020-06-15 00:00:00.000,4,1448,6.7142857142857144
"Scotland","S92000003","Nation",2020-06-15 00:00:00.000,1,2448,4.7142857142857144
"United Kingdom","K02000001","UK",2020-06-15 00:00:00.000,38,41838,164.57142857142858
"England","E92000001","Nation",2020-06-15 00:00:00.000,33,37401,152.57142857142858
"Wales","W92000004","Nation",2020-06-14 00:00:00.000,3,1444,6.5714285714285712
"Scotland","S92000003","Nation",2020-06-14 00:00:00.000,5,2447,4.5714285714285712
"Northern Ireland","N92000002","Nation",2020-06-14 00:00:00.000,2,541,0.5714285714285714
"United Kingdom","K02000001","UK",2020-06-14 00:00:00.000,36,41800,167
"England","E92000001","Nation",2020-06-14 00:00:00.000,26,37368,155.28571428571428
"Wales","W92000004","Nation",2020-06-13 00:00:00.000,6,1441,6.8571428571428568
"Scotland","S92000003","Nation",2020-06-13 00:00:00.000,3,2442,4.7142857142857144
"Northern Ireland","N92000002","Nation",2020-06-13 00:00:00.000,1,539,0.42857142857142855
"United Kingdom","K02000001","UK",2020-06-13 00:00:00.000,183,41764,172.85714285714286
"England","E92000001","Nation",2020-06-13 00:00:00.000,173,37342,160.85714285714286
"Wales","W92000004","Nation",2020-06-12 00:00:00.000,10,1435,7.4285714285714288
"Scotland","S92000003","Nation",2020-06-12 00:00:00.000,5,2439,6.2857142857142856
"Northern Ireland","N92000002","Nation",2020-06-12 00:00:00.000,1,538,0.42857142857142855
"United Kingdom","K02000001","UK",2020-06-12 00:00:00.000,204,41581,176.28571428571428
"England","E92000001","Nation",2020-06-12 00:00:00.000,188,37169,162.14285714285714
"Wales","W92000004","Nation",2020-06-11 00:00:00.000,6,1425,6.5714285714285712
"Scotland","S92000003","Nation",2020-06-11 00:00:00.000,12,2434,6.8571428571428568
"United Kingdom","K02000001","UK",2020-06-11 00:00:00.000,152,41377,198.28571428571428
"England","E92000001","Nation",2020-06-11 00:00:00.000,134,36981,184.42857142857142
"Wales","W92000004","Nation",2020-06-10 00:00:00.000,9,1419,6.8571428571428568
"Scotland","S92000003","Nation",2020-06-10 00:00:00.000,7,2422,6.7142857142857144
"United Kingdom","K02000001","UK",2020-06-10 00:00:00.000,250,41225,201.85714285714286
"England","E92000001","Nation",2020-06-10 00:00:00.000,234,36847,186.71428571428572
"Wales","W92000004","Nation",2020-06-09 00:00:00.000,9,1410,8
"United Kingdom","K02000001","UK",2020-06-09 00:00:00.000,289,40975,218.28571428571428
"England","E92000001","Nation",2020-06-09 00:00:00.000,280,36613,201
"Wales","W92000004","Nation",2020-06-08 00:00:00.000,3,1401,7.7142857142857144
"United Kingdom","K02000001","UK",2020-06-08 00:00:00.000,55,40686,223.57142857142858
"England","E92000001","Nation",2020-06-08 00:00:00.000,52,36333,206.28571428571428
"Wales","W92000004","Nation",2020-06-07 00:00:00.000,5,1398,8
"Scotland","S92000003","Nation",2020-06-07 00:00:00.000,6,2415,8.8571428571428577
"Northern Ireland","N92000002","Nation",2020-06-07 00:00:00.000,1,537,2.1428571428571428
"United Kingdom","K02000001","UK",2020-06-07 00:00:00.000,77,40631,231.57142857142858
"England","E92000001","Nation",2020-06-07 00:00:00.000,65,36281,212.57142857142858
"Wales","W92000004","Nation",2020-06-06 00:00:00.000,10,1393,8.8571428571428577
"Scotland","S92000003","Nation",2020-06-06 00:00:00.000,14,2409,11.142857142857142
"Northern Ireland","N92000002","Nation",2020-06-06 00:00:00.000,1,536,2.1428571428571428
"United Kingdom","K02000001","UK",2020-06-06 00:00:00.000,207,40554,237
"England","E92000001","Nation",2020-06-06 00:00:00.000,182,36216,214.85714285714286
"Wales","W92000004","Nation",2020-06-05 00:00:00.000,4,1383,9.4285714285714288
"Scotland","S92000003","Nation",2020-06-05 00:00:00.000,9,2395,11.285714285714286
"Northern Ireland","N92000002","Nation",2020-06-05 00:00:00.000,1,535,2.4285714285714284
"United Kingdom","K02000001","UK",2020-06-05 00:00:00.000,358,40347,240.28571428571428
"England","E92000001","Nation",2020-06-05 00:00:00.000,344,36034,217.14285714285714
"Wales","W92000004","Nation",2020-06-04 00:00:00.000,8,1379,10.285714285714286
"Scotland","S92000003","Nation",2020-06-04 00:00:00.000,11,2386,11.714285714285714
"Northern Ireland","N92000002","Nation",2020-06-04 00:00:00.000,8,534,2.5714285714285716
"United Kingdom","K02000001","UK",2020-06-04 00:00:00.000,177,39989,242.42857142857142
"England","E92000001","Nation",2020-06-04 00:00:00.000,150,35690,217.85714285714286
"Wales","W92000004","Nation",2020-06-03 00:00:00.000,17,1371,11.142857142857142
"Scotland","S92000003","Nation",2020-06-03 00:00:00.000,12,2375,12
"Northern Ireland","N92000002","Nation",2020-06-03 00:00:00.000,2,526,1.7142857142857142
"United Kingdom","K02000001","UK",2020-06-03 00:00:00.000,365,39812,276.57142857142856
"England","E92000001","Nation",2020-06-03 00:00:00.000,334,35540,251.71428571428572
"Wales","W92000004","Nation",2020-06-02 00:00:00.000,7,1354,10.285714285714286
"Scotland","S92000003","Nation",2020-06-02 00:00:00.000,1,2363,12.857142857142858
"Northern Ireland","N92000002","Nation",2020-06-02 00:00:00.000,1,524,1.4285714285714286
"United Kingdom","K02000001","UK",2020-06-02 00:00:00.000,326,39447,287.71428571428572
"England","E92000001","Nation",2020-06-02 00:00:00.000,317,35206,263.14285714285717
"Wales","W92000004","Nation",2020-06-01 00:00:00.000,5,1347,10.428571428571429
"Scotland","S92000003","Nation",2020-06-01 00:00:00.000,9,2362,13.142857142857142
