Transaction Type,Date,Name,Amount,Balance
"Bill",2025-01-10 00:00:00.000,"Sergeant Insurance",712.56,
"Bill",2025-01-16 00:00:00.000,"C.U. Electric",300,
"Bill",2025-01-17 00:00:00.000,"Timberloft Lumber",140,
"Bill",2025-01-20 00:00:00.000,"A Cheung Limited",2000,
"Bill",2025-01-20 00:00:00.000,"Cal Telephone",56.17,
"Bill",2025-01-21 00:00:00.000,"Cal Gas & Electric",122.68,
"Bill",2025-01-31 00:00:00.000,"A Cheung Limited",2000,
"Bill",2025-02-01 00:00:00.000,"Thomas Kitchen & Bath",1938,
"Bill",2025-02-05 00:00:00.000,"Thomas Kitchen & Bath",2320,
"Bill",2025-02-20 00:00:00.000,"Cal Telephone",44.94,
"Bill",2025-02-21 00:00:00.000,"Wheeler's Tile Etc.",634,
"Bill",2025-02-24 00:00:00.000,"Cal Gas & Electric",110.89,
"Bill",2025-03-01 00:00:00.000,"East Bayshore Tool & Supply",790,
"Bill",2025-03-07 00:00:00.000,"East Bayshore Auto Mall",532.97,
"Bill",2025-03-14 00:00:00.000,"Lew Plumbing",295,
"Bill",2025-03-15 00:00:00.000,"East Bayshore Auto Mall",0,
"Bill",2025-03-15 00:00:00.000,"Sloan Roofing",855,
"Bill",2025-03-18 00:00:00.000,"Middlefield Drywall",415,
"Bill",2025-03-20 00:00:00.000,"Cal Telephone",37.08,
"Bill",2025-03-24 00:00:00.000,"Cal Gas & Electric",104.15,
"Bill",2025-03-28 00:00:00.000,"Holly Heating and Electric",289.95,
"Bill",2025-04-03 00:00:00.000,"East Bayshore Auto Mall",532.97,
"Bill",2025-04-10 00:00:00.000,"Sergeant Insurance",712.56,
"Bill",2025-04-21 00:00:00.000,"Cal Gas & Electric",98.68,
"Bill",2025-04-21 00:00:00.000,"Cal Telephone",77.92,
"Bill",2025-04-28 00:00:00.000,"Custom Kitchens of Bayshore",3076.32,
"Bill",2025-05-01 00:00:00.000,"Kershaw Computer Services",6500,
"Bill",2025-05-03 00:00:00.000,"East Bayshore Auto Mall",532.97,
"Bill",2025-05-20 00:00:00.000,"Cal Telephone",81.79,
"Bill",2025-05-20 00:00:00.000,"Custom Kitchens of Bayshore",3076.32,
"Bill",2025-05-23 00:00:00.000,"Cal Gas & Electric",95.86,
"Bill",2025-06-03 00:00:00.000,"East Bayshore Auto Mall",532.97,
"Bill",2025-06-07 00:00:00.000,"Zeng Building Supplies",11807.8,
"Bill",2025-06-13 00:00:00.000,"Patton Hardware Supplies",1214.89,
"Bill",2025-06-15 00:00:00.000,"Patton Hardware Supplies",1109.15,
"Bill",2025-06-16 00:00:00.000,"Sergeant Insurance",4050,
"Bill",2025-06-20 00:00:00.000,"Cal Telephone",76.55,
"Bill",2025-06-23 00:00:00.000,"Cal Gas & Electric",112.75,
"Bill",2025-06-23 00:00:00.000,"Holly Heating and Electric",145,
"Bill",2025-06-26 00:00:00.000,"Middlefield Drywall",200,
"Bill",2025-06-30 00:00:00.000,"Vu Contracting",1000,
"Bill",2025-07-03 00:00:00.000,"East Bayshore Auto Mall",532.97,
"Bill",2025-07-10 00:00:00.000,"Sergeant Insurance",712.56,
"Bill",2025-07-17 00:00:00.000,"Thomas Kitchen & Bath",1440,
"Bill",2025-07-21 00:00:00.000,"Cal Gas & Electric",119.39,
"Bill",2025-07-21 00:00:00.000,"Cal Telephone",84.04,
"Bill",2025-07-29 00:00:00.000,"McClain Appliances",3915,
"Bill",2025-07-30 00:00:00.000,"Patton Hardware Supplies",754.5,
"Bill",2025-08-03 00:00:00.000,"East Bayshore Auto Mall",532.97,
"Bill",2025-08-05 00:00:00.000,"Thomas Kitchen & Bath",6279.95,
"Bill",2025-08-13 00:00:00.000,"Larson Flooring",1570,
"Bill",2025-08-13 00:00:00.000,"Lew Plumbing",97.5,
"Bill",2025-08-13 00:00:00.000,"Perry Windows & Doors",4998.95,
"Bill",2025-08-13 00:00:00.000,"Wheeler's Tile Etc.",675,
"Bill",2025-08-15 00:00:00.000,"C.U. Electric",490,
"Bill",2025-08-15 00:00:00.000,"Daigle Lighting",525,
"Bill",2025-08-15 00:00:00.000,"Keswick Insulation",590,
"Bill",2025-08-15 00:00:00.000,"Lew Plumbing",380,
"Bill",2025-08-15 00:00:00.000,"Middlefield Drywall",750,
"Bill",2025-08-15 00:00:00.000,"Sloan Roofing",4000,
"Bill",2025-08-20 00:00:00.000,"Cal Telephone",49.43,
"Bill",2025-08-25 00:00:00.000,"Cal Gas & Electric",122.68,
"Bill",2025-09-02 00:00:00.000,"Thomas Kitchen & Bath",2540,
"Bill",2025-09-02 00:00:00.000,"Timberloft Lumber",638,
"Bill",2025-09-03 00:00:00.000,"East Bayshore Auto Mall",532.97,
"Bill",2025-09-09 00:00:00.000,"Washuta & Son Painting",597,
"Bill",2025-09-22 00:00:00.000,"Cal Telephone",68.35,
"Bill",2025-09-22 00:00:00.000,"Vu Contracting",1325,
"Bill",2025-09-25 00:00:00.000,"McClain Appliances",455.5,
"Bill",2025-09-30 00:00:00.000,"Sloan Roofing",500,
"Bill",2025-10-01 00:00:00.000,"Daigle Lighting",1100,
"Bill",2025-10-01 00:00:00.000,"McClain Appliances",1780,
"Bill",2025-10-03 00:00:00.000,"East Bayshore Auto Mall",532.97,
"Bill",2025-10-03 00:00:00.000,"Hamlin Metal",239,
"Bill",2025-10-08 00:00:00.000,"Middlefield Drywall",850,
"Bill",2025-10-10 00:00:00.000,"Keswick Insulation",150,
"Bill",2025-10-10 00:00:00.000,"McClain Appliances",2100,
"Bill",2025-10-10 00:00:00.000,"Sergeant Insurance",712.56,
"Bill",2025-10-15 00:00:00.000,"Larson Flooring",5900,
"Bill",2025-10-15 00:00:00.000,"Lew Plumbing",400,
"Bill",2025-10-15 00:00:00.000,"Wheeler's Tile Etc.",4395,
"Bill",2025-10-20 00:00:00.000,"C.U. Electric",250,
"Bill",2025-10-20 00:00:00.000,"Timberloft Lumber",13780,
"Bill",2025-10-27 00:00:00.000,"Timberloft Lumber",1010,
"Bill",2025-10-27 00:00:00.000,"Washuta & Son Painting",500,
"Bill",2025-10-28 00:00:00.000,"C.U. Electric",250,
"Bill",2025-10-28 00:00:00.000,"Lew Plumbing",180,
"Bill",2025-10-28 00:00:00.000,"Middlefield Drywall",400,
"Bill",2025-10-28 00:00:00.000,"Wheeler's Tile Etc.",450,
"Bill",2025-10-30 00:00:00.000,"Thomas Kitchen & Bath",2017,
"Bill",2025-10-30 00:00:00.000,"Timberloft Lumber",-475,
"Bill",2025-10-30 00:00:00.000,"Wheeler's Tile Etc.",311,
"Bill",2025-10-31 00:00:00.000,"McClain Appliances",3220,
"Bill",2025-10-31 00:00:00.000,"Perry Windows & Doors",200.75,
"Bill",2025-11-01 00:00:00.000,"C.U. Electric",440,
"Bill",2025-11-01 00:00:00.000,"Gallion Masonry",1000,
"Bill",2025-11-01 00:00:00.000,"Patton Hardware Supplies",656.23,
"Bill",2025-11-02 00:00:00.000,"Sloan Roofing",2000,
"Bill",2025-11-03 00:00:00.000,"East Bayshore Auto Mall",532.97,
"Bill",2025-11-03 00:00:00.000,"Lew Plumbing",800,
"Bill",2025-11-05 00:00:00.000,"Washuta & Son Painting",6000,
"Bill",2025-11-07 00:00:00.000,"Hopkins Construction Rentals",300,
"Bill",2025-11-10 00:00:00.000,"East Bayshore Tool & Supply",101.23,
"Bill",2025-11-10 00:00:00.000,"Keswick Insulation",500,
"Bill",2025-11-10 00:00:00.000,"Middlefield Drywall",2400,
"Bill",2025-11-11 00:00:00.000,"Washuta & Son Painting",150,
"Bill",2025-11-13 00:00:00.000,"Sloan Roofing",5700,
"Bill",2025-11-14 00:00:00.000,"Hamlin Metal",950,
"Bill",2025-11-15 00:00:00.000,"Perry Windows & Doors",810,
"Bill",2025-11-17 00:00:00.000,"Patton Hardware Supplies",325,
"Bill",2025-11-20 00:00:00.000,"Lew Plumbing",1000,
"Bill",2025-11-20 00:00:00.000,"Perry Windows & Doors",5925,
"Bill",2025-11-24 00:00:00.000,"Keswick Insulation",900,
"Bill",2025-11-28 00:00:00.000,"Lew Plumbing",700,
"Bill",2025-11-30 00:00:00.000,"C.U. Electric",1500,
"Bill",2025-12-01 00:00:00.000,"East Bayshore Tool & Supply",696.52,
"Bill",2025-12-01 00:00:00.000,"East Bayshore Tool & Supply",740.29,
"Bill",2025-12-01 00:00:00.000,"East Bayshore Tool & Supply",1476.23,
"Bill",2025-12-01 00:00:00.000,"Fay, Maureen Lynn, CPA",250,
"Bill",2025-12-01 00:00:00.000,"Hopkins Construction Rentals",450,
"Bill",2025-12-01 00:00:00.000,"Patton Hardware Supplies",400,
"Bill",2025-12-01 00:00:00.000,"Timberloft Lumber",553,
"Bill",2025-12-01 00:00:00.000,"Timberloft Lumber",805,
"Bill",2025-12-01 00:00:00.000,"Timberloft Lumber",896,
"Bill",2025-12-01 00:00:00.000,"Timberloft Lumber",1610,
"Bill",2025-12-03 00:00:00.000,"East Bayshore Auto Mall",532.97,
"Bill",2025-12-10 00:00:00.000,"Timberloft Lumber",475,
"Bill",2025-12-11 00:00:00.000,"Daigle Lighting",640.92,
"Bill",2025-12-11 00:00:00.000,"Express Delivery Service",70,
"Bill",2025-12-12 00:00:00.000,"Sloan Roofing",-850,
"Bill",2025-12-15 00:00:00.000,"Keswick Insulation",670,
"Check",2023-12-01 00:00:00.000,"Reyes Properties",1200,
"Check",2023-12-05 00:00:00.000,"Express Delivery Service",35,
"Check",2023-12-10 00:00:00.000,"Patton Hardware Supplies",197.59,
"Check",2023-12-20 00:00:00.000,"Davis Business Associates",2100,
"Check",2024-01-15 00:00:00.000,"Bank of Anycity",3495.82,
"Check",2024-01-15 00:00:00.000,"CalOil Company",9521,
"Check",2024-01-15 00:00:00.000,"Federal Treasury",100,
"Check",2024-01-15 00:00:00.000,"QuickBooks MasterCard",12362.89,
"Check",2024-01-15 00:00:00.000,"State Board of Equalization",208.09,
"Check",2024-01-15 00:00:00.000,"State Board of Equalization",308.34,
"Check",2024-01-15 00:00:00.000,"State Fund",1214.31,
"Check",2024-01-31 00:00:00.000,"Bank of Anycity",2710.9,
"Check",2024-01-31 00:00:00.000,"Bayshore CalOil Service",138,
"Check",2024-01-31 00:00:00.000,"Bayshore Water",24,
"Check",2024-01-31 00:00:00.000,"Cal Gas & Electric",123.67,
"Check",2024-01-31 00:00:00.000,"Dianne's Auto Shop",218,
"Check",2024-02-15 00:00:00.000,"CalOil Company",4050.98,
"Check",2024-02-15 00:00:00.000,"Patton Hardware Supplies",268.39,
"Check",2024-02-28 00:00:00.000,"Bank of Anycity",2710.9,
"Check",2024-02-28 00:00:00.000,"Bayshore CalOil Service",142,
"Check",2024-02-28 00:00:00.000,"Bayshore Water",24,
"Check",2024-02-28 00:00:00.000,"Cal Gas & Electric",125.89,
"Check",2024-02-28 00:00:00.000,"Cal Telephone",80,
"Check",2024-02-28 00:00:00.000,"Dianne's Auto Shop",222,
"Check",2024-03-13 00:00:00.000,"Vu Contracting",7500,
"Check",2024-03-15 00:00:00.000,"QuickBooks MasterCard",1600,
"Check",2024-03-31 00:00:00.000,"Bank of Anycity",2710.9,
"Check",2024-03-31 00:00:00.000,"Bayshore CalOil Service",127,
"Check",2024-03-31 00:00:00.000,"Bayshore Water",24,
"Check",2024-03-31 00:00:00.000,"Bruce's Office Machines",450,
"Check",2024-03-31 00:00:00.000,"Cal Gas & Electric",389.2,
"Check",2024-03-31 00:00:00.000,"Cal Telephone",80,
"Check",2024-03-31 00:00:00.000,"Dianne's Auto Shop",232,
"Check",2024-04-30 00:00:00.000,"Bank of Anycity",2710.9,
"Check",2024-04-30 00:00:00.000,"Bayshore CalOil Service",162,
"Check",2024-04-30 00:00:00.000,"Bayshore Water",24,
"Check",2024-04-30 00:00:00.000,"Cal Gas & Electric",120.93,
"Check",2024-04-30 00:00:00.000,"Cal Telephone",80,
"Check",2024-04-30 00:00:00.000,"Dianne's Auto Shop",192,
"Check",2024-05-01 00:00:00.000,"Vu Contracting",7500,
"Check",2024-05-15 00:00:00.000,"Patton Hardware Supplies",950.23,
"Check",2024-05-15 00:00:00.000,"QuickBooks MasterCard",1400,
"Check",2024-05-31 00:00:00.000,"Bank of Anycity",2710.9,
"Check",2024-05-31 00:00:00.000,"Bayshore CalOil Service",143,
"Check",2024-05-31 00:00:00.000,"Bayshore Water",24,
"Check",2024-05-31 00:00:00.000,"Cal Gas & Electric",128.03,
"Check",2024-05-31 00:00:00.000,"Cal Telephone",80,
"Check",2024-05-31 00:00:00.000,"Dianne's Auto Shop",232,
"Check",2024-06-06 00:00:00.000,"Vu Contracting",5275,
"Check",2024-06-16 00:00:00.000,"Sergeant Insurance",1786,
"Check",2024-06-30 00:00:00.000,"Bank of Anycity",2710.9,
"Check",2024-06-30 00:00:00.000,"Bayshore CalOil Service",157,
"Check",2024-06-30 00:00:00.000,"Bayshore Water",24,
"Check",2024-06-30 00:00:00.000,"Bruce's Office Machines",450,
"Check",2024-06-30 00:00:00.000,"Cal Gas & Electric",135.02,
"Check",2024-06-30 00:00:00.000,"Cal Telephone",80,
"Check",2024-06-30 00:00:00.000,"Dianne's Auto Shop",186,
"Check",2024-07-23 00:00:00.000,"Patton Hardware Supplies",239.29,
"Check",2024-07-31 00:00:00.000,"Bank of Anycity",2710.9,
"Check",2024-07-31 00:00:00.000,"Bayshore CalOil Service",126,
"Check",2024-07-31 00:00:00.000,"Bayshore Water",24,
"Check",2024-07-31 00:00:00.000,"Cal Gas & Electric",128.03,
"Check",2024-07-31 00:00:00.000,"Cal Telephone",80,
"Check",2024-07-31 00:00:00.000,"Dianne's Auto Shop",126,
"Check",2024-08-05 00:00:00.000,"City of East Bayshore",0,
"Check",2024-08-05 00:00:00.000,"Vu Contracting",14625,
"Check",2024-08-31 00:00:00.000,"Bank of Anycity",2710.9,
"Check",2024-08-31 00:00:00.000,"Bayshore CalOil Service",136,
"Check",2024-08-31 00:00:00.000,"Bayshore Water",24,
"Check",2024-08-31 00:00:00.000,"Cal Gas & Electric",118.03,
"Check",2024-08-31 00:00:00.000,"Cal Telephone",80,
"Check",2024-08-31 00:00:00.000,"Dianne's Auto Shop",240,
"Check",2024-09-05 00:00:00.000,"Vu Contracting",7325,
"Check",2024-09-15 00:00:00.000,"CalOil Company",2340,
"Check",2024-09-30 00:00:00.000,"Bank of Anycity",2710.9,
"Check",2024-09-30 00:00:00.000,"Bayshore CalOil Service",135,
"Check",2024-09-30 00:00:00.000,"Bayshore Water",24,
"Check",2024-09-30 00:00:00.000,"Bruce's Office Machines",450,
"Check",2024-09-30 00:00:00.000,"Cal Gas & Electric",112.95,
"Check",2024-09-30 00:00:00.000,"Cal Telephone",80,
"Check",2024-09-30 00:00:00.000,"Dianne's Auto Shop",215,
"Check",2024-10-31 00:00:00.000,"Bank of Anycity",2710.9,
"Check",2024-10-31 00:00:00.000,"Bayshore CalOil Service",148,
"Check",2024-10-31 00:00:00.000,"Bayshore Water",24,
"Check",2024-10-31 00:00:00.000,"Cal Gas & Electric",160.39,
"Check",2024-10-31 00:00:00.000,"Cal Telephone",80,
"Check",2024-10-31 00:00:00.000,"Dianne's Auto Shop",231,
"Check",2024-11-15 00:00:00.000,"QuickBooks MasterCard",4050,
"Check",2024-11-30 00:00:00.000,"Bank of Anycity",2710.9,
"Check",2024-11-30 00:00:00.000,"Bayshore CalOil Service",145,
"Check",2024-11-30 00:00:00.000,"Bayshore Water",24,
"Check",2024-11-30 00:00:00.000,"Cal Gas & Electric",166.34,
"Check",2024-11-30 00:00:00.000,"Cal Telephone",80,
"Check",2024-11-30 00:00:00.000,"Dianne's Auto Shop",238,
"Check",2024-12-01 00:00:00.000,"Fay, Maureen Lynn, CPA",250,
"Check",2024-12-30 00:00:00.000,"Bruce's Office Machines",450,
"Check",2024-12-30 00:00:00.000,"Vu Contracting",1650,
"Check",2024-12-31 00:00:00.000,"Bank of Anycity",2710.9,
"Check",2024-12-31 00:00:00.000,"Bayshore CalOil Service",156,
"Check",2024-12-31 00:00:00.000,"Bayshore Water",24,
"Check",2024-12-31 00:00:00.000,"Cal Gas & Electric",132.95,
"Check",2024-12-31 00:00:00.000,"Cal Telephone",80,
"Check",2024-12-31 00:00:00.000,"Dianne's Auto Shop",218,
"Check",2025-01-15 00:00:00.000,"CalOil Company",530,
"Check",2025-01-31 00:00:00.000,"Bank of Anycity",2710.9,
"Check",2025-01-31 00:00:00.000,"Bayshore CalOil Service",142,
"Check",2025-01-31 00:00:00.000,"Bayshore Water",24,
"Check",2025-01-31 00:00:00.000,"Cal Telephone",80,
"Check",2025-01-31 00:00:00.000,"Dianne's Auto Shop",236,
"Check",2025-02-15 00:00:00.000,"CalOil Company",1911.3,
"Check",2025-02-15 00:00:00.000,"QuickBooks MasterCard",695,
"Check",2025-02-28 00:00:00.000,"Bank of Anycity",2710.9,
"Check",2025-02-28 00:00:00.000,"Bayshore CalOil Service",145,
"Check",2025-02-28 00:00:00.000,"Bayshore Water",24,
"Check",2025-02-28 00:00:00.000,"Dianne's Auto Shop",231,
"Check",2025-03-15 00:00:00.000,"QuickBooks MasterCard",700,
"Check",2025-03-30 00:00:00.000,"Bruce's Office Machines",450,
"Check",2025-03-31 00:00:00.000,"Bank of Anycity",2710.9,
"Check",2025-03-31 00:00:00.000,"Bayshore CalOil Service",168,
"Check",2025-03-31 00:00:00.000,"Bayshore Water",24,
"Check",2025-03-31 00:00:00.000,"Dianne's Auto Shop",218,
"Check",2025-04-01 00:00:00.000,"East Bayshore Tool & Supply",445.79,
"Check",2025-04-01 00:00:00.000,"Timberloft Lumber",1080.73,
"Check",2025-04-15 00:00:00.000,"CalOil Company",2142,
"Check",2025-04-30 00:00:00.000,"Bank of Anycity",2710.9,
"Check",2025-04-30 00:00:00.000,"Bayshore CalOil Service",132,
"Check",2025-04-30 00:00:00.000,"Bayshore Water",24,
"Check",2025-04-30 00:00:00.000,"Dianne's Auto Shop",215,
"Check",2025-05-15 00:00:00.000,"CalOil Company",1845.8,
"Check",2025-05-18 00:00:00.000,"Patton Hardware Supplies",36,
"Check",2025-05-31 00:00:00.000,"Bank of Anycity",2710.9,
"Check",2025-05-31 00:00:00.000,"Bayshore CalOil Service",156,
"Check",2025-05-31 00:00:00.000,"Bayshore Water",24,
"Check",2025-05-31 00:00:00.000,"Dianne's Auto Shop",214,
"Check",2025-06-08 00:00:00.000,"Patton Hardware Supplies",72,
"Check",2025-06-15 00:00:00.000,"CalOil Company",9164,
"Check",2025-06-30 00:00:00.000,"Bank of Anycity",2710.9,
"Check",2025-06-30 00:00:00.000,"Bayshore CalOil Service",132,
"Check",2025-06-30 00:00:00.000,"Bayshore Water",24,
"Check",2025-06-30 00:00:00.000,"Bruce's Office Machines",450,
"Check",2025-06-30 00:00:00.000,"Dianne's Auto Shop",246,
"Check",2025-07-15 00:00:00.000,"CalOil Company",4674.89,
"Check",2025-07-31 00:00:00.000,"Bank of Anycity",2710.9,
"Check",2025-07-31 00:00:00.000,"Bayshore CalOil Service",138,
"Check",2025-07-31 00:00:00.000,"Bayshore Water",24,
"Check",2025-07-31 00:00:00.000,"Dianne's Auto Shop",210,
"Check",2025-08-31 00:00:00.000,"Bank of Anycity",2710.9,
"Check",2025-08-31 00:00:00.000,"Bayshore CalOil Service",162,
"Check",2025-08-31 00:00:00.000,"Bayshore Water",24,
"Check",2025-08-31 00:00:00.000,"Dianne's Auto Shop",205,
"Check",2025-09-03 00:00:00.000,"Hamlin Metal",1000,
"Check",2025-09-30 00:00:00.000,"Bank of Anycity",2710.9,
"Check",2025-09-30 00:00:00.000,"Bayshore CalOil Service",172,
"Check",2025-09-30 00:00:00.000,"Bayshore Water",24,
"Check",2025-09-30 00:00:00.000,"Bruce's Office Machines",450,
"Check",2025-09-30 00:00:00.000,"Dianne's Auto Shop",201,
"Check",2025-09-30 00:00:00.000,"Vu Contracting",925,
"Check",2025-10-13 00:00:00.000,"City of Middlefield",300,
"Check",2025-10-15 00:00:00.000,"CalOil Company",6534.28,
"Check",2025-10-22 00:00:00.000,"Bank of Anycity",244.13,
"Check",2025-10-22 00:00:00.000,"Express Delivery Service",35,
"Check",2025-10-25 00:00:00.000,"Cal Gas & Electric",56.87,
"Check",2025-10-25 00:00:00.000,"Cal Telephone",92.94,
"Check",2025-10-31 00:00:00.000,"Bank of Anycity",2710.9,
"Check",2025-10-31 00:00:00.000,"Bayshore Water",24,
"Check",2025-10-31 00:00:00.000,"Dianne's Auto Shop",212,
"Check",2025-11-01 00:00:00.000,"Kershaw Computer Services",0,
"Check",2025-11-01 00:00:00.000,"Thomas Kitchen & Bath",0,
"Check",2025-11-12 00:00:00.000,"Patton Hardware Supplies",48.1,
"Check",2025-11-15 00:00:00.000,"CalOil Company",48.28,
"Check",2025-11-15 00:00:00.000,"Patton Hardware Supplies",489.23,
"Check",2025-11-15 00:00:00.000,"QuickBooks MasterCard",1050,
"Check",2025-11-15 00:00:00.000,"Sergeant Insurance",675,
"Check",2025-11-19 00:00:00.000,"City of Bayshore",225,
"Check",2025-11-22 00:00:00.000,"Bank of Anycity",244.13,
"Check",2025-11-25 00:00:00.000,"Cal Gas & Electric",97.53,
"Check",2025-11-30 00:00:00.000,"Bank of Anycity",2710.9,
"Check",2025-11-30 00:00:00.000,"Bayshore Water",24,
"Check",2025-11-30 00:00:00.000,"Dianne's Auto Shop",218,
"Check",2025-12-02 00:00:00.000,"CalOil Company",135.8,
"Check",2025-12-08 00:00:00.000,"City of Middlefield",175,
"Check",2025-12-15 00:00:00.000,"Vu Contracting",1000,
"Credit Card Charge",2024-01-15 00:00:00.000,"Patton Hardware Supplies",4050.98,
"Credit Card Charge",2024-02-28 00:00:00.000,"Vu Contracting",1600,
"Credit Card Charge",2024-04-03 00:00:00.000,"Vu Contracting",1400,
"Credit Card Charge",2024-08-15 00:00:00.000,"Patton Hardware Supplies",2340,
"Credit Card Charge",2024-10-01 00:00:00.000,"Timberloft Lumber",885,
"Credit Card Charge",2024-10-10 00:00:00.000,"Patton Hardware Supplies",240,
"Credit Card Charge",2024-10-11 00:00:00.000,"Vu Contracting",2925,
"Credit Card Charge",2024-12-02 00:00:00.000,"Patton Hardware Supplies",530,
"Credit Card Charge",2025-01-10 00:00:00.000,"Patton Hardware Supplies",1172.3,
"Credit Card Charge",2025-01-20 00:00:00.000,"Patton Hardware Supplies",739,
"Credit Card Charge",2025-01-28 00:00:00.000,"McClain Appliances",695,
"Credit Card Charge",2025-02-18 00:00:00.000,"Vu Contracting",700,
"Credit Card Charge",2025-03-05 00:00:00.000,"Patton Hardware Supplies",962,
"Credit Card Charge",2025-03-10 00:00:00.000,"Patton Hardware Supplies",1180,
"Credit Card Charge",2025-04-01 00:00:00.000,"Patton Hardware Supplies",975.8,
"Credit Card Charge",2025-04-02 00:00:00.000,"Patton Hardware Supplies",870,
"Credit Card Charge",2025-05-01 00:00:00.000,"Kershaw Computer Services",5000,
"Credit Card Charge",2025-05-01 00:00:00.000,"Timberloft Lumber",820,
"Credit Card Charge",2025-05-02 00:00:00.000,"Patton Hardware Supplies",970,
"Credit Card Charge",2025-05-12 00:00:00.000,"Patton Hardware Supplies",1389,
"Credit Card Charge",2025-05-15 00:00:00.000,"Patton Hardware Supplies",260,
"Credit Card Charge",2025-05-20 00:00:00.000,"Vu Contracting",725,
"Credit Card Charge",2025-06-01 00:00:00.000,"Patton Hardware Supplies",1130,
"Credit Card Charge",2025-06-02 00:00:00.000,"Patton Hardware Supplies",978.39,
"Credit Card Charge",2025-06-02 00:00:00.000,"Patton Hardware Supplies",1280,
"Credit Card Charge",2025-09-01 00:00:00.000,"Patton Hardware Supplies",1200,
"Credit Card Charge",2025-09-11 00:00:00.000,"Patton Hardware Supplies",259,
"Credit Card Charge",2025-09-15 00:00:00.000,"Patton Hardware Supplies",590.39,
"Credit Card Charge",2025-09-15 00:00:00.000,"Patton Hardware Supplies",1599,
"Credit Card Charge",2025-09-15 00:00:00.000,"Vu Contracting",875,
"Credit Card Charge",2025-09-20 00:00:00.000,"Patton Hardware Supplies",2010.89,
"Credit Card Charge",2025-10-14 00:00:00.000,"Bayshore CalOil Service",23,
"Credit Card Charge",2025-10-15 00:00:00.000,"McClain Appliances",1050,
"Credit Card Charge",2025-10-24 00:00:00.000,"Bayshore CalOil Service",25.28,
"Credit Card Charge",2025-11-04 00:00:00.000,"Bayshore CalOil Service",67.23,
"Credit Card Charge",2025-11-05 00:00:00.000,"Patton Hardware Supplies",325,
"Credit Card Charge",2025-11-17 00:00:00.000,"Bayshore CalOil Service",26.1,
"Credit Card Charge",2025-11-25 00:00:00.000,"Bayshore CalOil Service",18.47,
"Credit Card Charge",2025-11-30 00:00:00.000,"Mendoza Mechanical",25,
"Credit Card Charge",2025-12-03 00:00:00.000,"Bayshore CalOil Service",23.5,
"Credit Card Charge",2025-12-10 00:00:00.000,"Express Delivery Service",69.2,
"Credit Card Charge",2025-12-12 00:00:00.000,"Bayshore CalOil Service",47.52,
"Credit Card Charge",2025-12-15 00:00:00.000,"Bayshore CalOil Service",10.6,
"Paycheck",2025-01-13 00:00:00.000,"Dan T. Miller",1299.61,
