Customer ID,Customer name,Country,Region,"Region, Country","Customer, Country"
1463,"Risus Donec Egestas Corp.","Australia","VIC","VIC, Australia","Risus Donec Egestas Corp., Australia"
1464,"Pharetra Felis Eget Corp.","United States","NC","NC, United States","Pharetra Felis Eget Corp., United States"
1465,"Iaculis Nec Eleifend Foundation","Australia","QLD","QLD, Australia","Iaculis Nec Eleifend Foundation, Australia"
1467,"Lobortis Quam A PC","Australia","VIC","VIC, Australia","Lobortis Quam A PC, Australia"
1478,"Sem Pellentesque Industries","Australia","ACT","ACT, Australia","Sem Pellentesque Industries, Australia"
1496,"Sed Malesuada Augue Associates","Australia","ACT","ACT, Australia","Sed Malesuada Augue Associates, Australia"
1503,"Sociis Natoque Corp.","United States","PA","PA, United States","Sociis Natoque Corp., United States"
1520,"Ligula Tortor Dictum Incorporated","United Kingdom","BDS","BDS, United Kingdom","Ligula Tortor Dictum Incorporated, United Kingdom"
1522,"Orci Corporation","United States","ID","ID, United States","Orci Corporation, United States"
1551,"Non Nisi Aenean PC","United States","OK","OK, United States","Non Nisi Aenean PC, United States"
1569,"Curabitur Foundation","Australia","QLD","QLD, Australia","Curabitur Foundation, Australia"
1575,"Consectetuer Adipiscing Limited","United States","WA","WA, United States","Consectetuer Adipiscing Limited, United States"
1584,"Mi Tempor Lorem Corp.","United States","GA","GA, United States","Mi Tempor Lorem Corp., United States"
1586,"Rutrum Foundation","United States","MA","MA, United States","Rutrum Foundation, United States"
1587,"Purus Ac Tellus Ltd","United Kingdom","CVE","CVE, United Kingdom","Purus Ac Tellus Ltd, United Kingdom"
1591,"Nunc Quisque Limited","Australia","WA","WA, Australia","Nunc Quisque Limited, Australia"
1600,"Risus Nulla Eget PC","New Zealand","SI","SI, New Zealand","Risus Nulla Eget PC, New Zealand"
1606,"Ac Mattis Semper LLC","United Kingdom","GNM","GNM, United Kingdom","Ac Mattis Semper LLC, United Kingdom"
1608,"Velit Corp.","Australia","NSW","NSW, Australia","Velit Corp., Australia"
1611,"Orci Sem Ltd","United States","ME","ME, United States","Orci Sem Ltd, United States"
1612,"Mauris Blandit Mattis LLC","United States","AK","AK, United States","Mauris Blandit Mattis LLC, United States"
1613,"Etiam Foundation","United Kingdom","BDS","BDS, United Kingdom","Etiam Foundation, United Kingdom"
1614,"Cum Sociis Natoque Associates","Australia","NSW","NSW, Australia","Cum Sociis Natoque Associates, Australia"
1617,"At Iaculis Quis Institute","Australia","NSW","NSW, Australia","At Iaculis Quis Institute, Australia"
1628,"Leo Vivamus Nibh Industries","Australia","TAS","TAS, Australia","Leo Vivamus Nibh Industries, Australia"
1629,"Dictum Ltd","Australia","NT","NT, Australia","Dictum Ltd, Australia"
1630,"Placerat Orci Lacus Foundation","United States","VA","VA, United States","Placerat Orci Lacus Foundation, United States"
1677,"Nibh Aliquam Institute","United Kingdom","LEC","LEC, United Kingdom","Nibh Aliquam Institute, United Kingdom"
1682,"Ipsum Dolor Corp.","United Kingdom","LDR","LDR, United Kingdom","Ipsum Dolor Corp., United Kingdom"
1693,"Nec Luctus Ltd","New Zealand","NI","NI, New Zealand","Nec Luctus Ltd, New Zealand"
1715,"Tempor Lorem Limited","Australia","WA","WA, Australia","Tempor Lorem Limited, Australia"
1721,"Enim Mauris Quis Inc.","United States","NE","NE, United States","Enim Mauris Quis Inc., United States"
1735,"Nibh Enim Industries","Australia","NT","NT, Australia","Nibh Enim Industries, Australia"
1750,"Egestas Corporation","United States","NE","NE, United States","Egestas Corporation, United States"
1760,"Etiam Gravida Molestie Inc.","United States","AK","AK, United States","Etiam Gravida Molestie Inc., United States"
1790,"Lectus Institute","United States","ID","ID, United States","Lectus Institute, United States"
1794,"Montes Incorporated","United Kingdom","SFK","SFK, United Kingdom","Montes Incorporated, United Kingdom"
1801,"Donec Ltd","United States","GA","GA, United States","Donec Ltd, United States"
1803,"Dictum Magna Institute","Australia","NSW","NSW, Australia","Dictum Magna Institute, Australia"
1806,"Magnis Dis Parturient Company","United Kingdom","GNS","GNS, United Kingdom","Magnis Dis Parturient Company, United Kingdom"
1815,"Eleifend Corp.","United Kingdom","DHM","DHM, United Kingdom","Eleifend Corp., United Kingdom"
1838,"Pede Associates","United Kingdom","IOW","IOW, United Kingdom","Pede Associates, United Kingdom"
1856,"Tempus Eu Consulting","Australia","NT","NT, Australia","Tempus Eu Consulting, Australia"
1864,"Cursus In Associates","United Kingdom","CBA","CBA, United Kingdom","Cursus In Associates, United Kingdom"
1886,"Pellentesque Company","Australia","NSW","NSW, Australia","Pellentesque Company, Australia"
1887,"Lorem Ipsum Sodales Company","Australia","VIC","VIC, Australia","Lorem Ipsum Sodales Company, Australia"
1894,"In Industries","New Zealand","SI","SI, New Zealand","In Industries, New Zealand"
1909,"Posuere Corporation","United Kingdom","TWR","TWR, United Kingdom","Posuere Corporation, United Kingdom"
1917,"Quis Massa Mauris Company","United States","MN","MN, United States","Quis Massa Mauris Company, United States"
1919,"Tristique Neque Venenatis Foundation","United Kingdom","JER","JER, United Kingdom","Tristique Neque Venenatis Foundation, United Kingdom"
1936,"Malesuada Vel Venenatis Corporation","Australia","NSW","NSW, Australia","Malesuada Vel Venenatis Corporation, Australia"
1945,"Imperdiet Erat Nonummy Incorporated","New Zealand","NI","NI, New Zealand","Imperdiet Erat Nonummy Incorporated, New Zealand"
1947,"Rutrum Associates","United Kingdom","FFE","FFE, United Kingdom","Rutrum Associates, United Kingdom"
1955,"Vitae Erat Associates","United Kingdom","TYR","TYR, United Kingdom","Vitae Erat Associates, United Kingdom"
1958,"Porttitor Tellus Non Foundation","United States","VA","VA, United States","Porttitor Tellus Non Foundation, United States"
1973,"Adipiscing Associates","United States","UT","UT, United States","Adipiscing Associates, United States"
1979,"Netus Et Malesuada Associates","United States","OH","OH, United States","Netus Et Malesuada Associates, United States"
1995,"Eget Varius Associates","New Zealand","SI","SI, New Zealand","Eget Varius Associates, New Zealand"
