Date,Year Number,Year,Year Quarter Number,Year Quarter,Year Month Number,Year Month,Month Number,Month,Day of Week Number,Day of Week,Working Day
2005-11-07 00:00:00.000,2005,"CY 2005",20054,"Q4-2005",200511,"November 2005",11,"November",2,"Monday","WorkDay"
2005-11-14 00:00:00.000,2005,"CY 2005",20054,"Q4-2005",200511,"November 2005",11,"November",2,"Monday","WorkDay"
2005-11-21 00:00:00.000,2005,"CY 2005",20054,"Q4-2005",200511,"November 2005",11,"November",2,"Monday","WorkDay"
2005-11-28 00:00:00.000,2005,"CY 2005",20054,"Q4-2005",200511,"November 2005",11,"November",2,"Monday","WorkDay"
2005-12-05 00:00:00.000,2005,"CY 2005",20054,"Q4-2005",200512,"December 2005",12,"December",2,"Monday","WorkDay"
2005-12-12 00:00:00.000,2005,"CY 2005",20054,"Q4-2005",200512,"December 2005",12,"December",2,"Monday","WorkDay"
2005-12-19 00:00:00.000,2005,"CY 2005",20054,"Q4-2005",200512,"December 2005",12,"December",2,"Monday","WorkDay"
2005-12-26 00:00:00.000,2005,"CY 2005",20054,"Q4-2005",200512,"December 2005",12,"December",2,"Monday","WorkDay"
2006-01-02 00:00:00.000,2006,"CY 2006",20061,"Q1-2006",200601,"January 2006",1,"January",2,"Monday","WorkDay"
2006-01-09 00:00:00.000,2006,"CY 2006",20061,"Q1-2006",200601,"January 2006",1,"January",2,"Monday","WorkDay"
2006-01-16 00:00:00.000,2006,"CY 2006",20061,"Q1-2006",200601,"January 2006",1,"January",2,"Monday","WorkDay"
2006-01-23 00:00:00.000,2006,"CY 2006",20061,"Q1-2006",200601,"January 2006",1,"January",2,"Monday","WorkDay"
2006-01-30 00:00:00.000,2006,"CY 2006",20061,"Q1-2006",200601,"January 2006",1,"January",2,"Monday","WorkDay"
2006-02-06 00:00:00.000,2006,"CY 2006",20061,"Q1-2006",200602,"February 2006",2,"February",2,"Monday","WorkDay"
2006-02-13 00:00:00.000,2006,"CY 2006",20061,"Q1-2006",200602,"February 2006",2,"February",2,"Monday","WorkDay"
2006-02-20 00:00:00.000,2006,"CY 2006",20061,"Q1-2006",200602,"February 2006",2,"February",2,"Monday","WorkDay"
2006-02-27 00:00:00.000,2006,"CY 2006",20061,"Q1-2006",200602,"February 2006",2,"February",2,"Monday","WorkDay"
2006-03-06 00:00:00.000,2006,"CY 2006",20061,"Q1-2006",200603,"March 2006",3,"March",2,"Monday","WorkDay"
2006-03-13 00:00:00.000,2006,"CY 2006",20061,"Q1-2006",200603,"March 2006",3,"March",2,"Monday","WorkDay"
2006-03-20 00:00:00.000,2006,"CY 2006",20061,"Q1-2006",200603,"March 2006",3,"March",2,"Monday","WorkDay"
2006-03-27 00:00:00.000,2006,"CY 2006",20061,"Q1-2006",200603,"March 2006",3,"March",2,"Monday","WorkDay"
2006-04-03 00:00:00.000,2006,"CY 2006",20062,"Q2-2006",200604,"April 2006",4,"April",2,"Monday","WorkDay"
2006-04-10 00:00:00.000,2006,"CY 2006",20062,"Q2-2006",200604,"April 2006",4,"April",2,"Monday","WorkDay"
2006-04-17 00:00:00.000,2006,"CY 2006",20062,"Q2-2006",200604,"April 2006",4,"April",2,"Monday","WorkDay"
2006-04-24 00:00:00.000,2006,"CY 2006",20062,"Q2-2006",200604,"April 2006",4,"April",2,"Monday","WorkDay"
2006-05-01 00:00:00.000,2006,"CY 2006",20062,"Q2-2006",200605,"May 2006",5,"May",2,"Monday","WorkDay"
2006-05-08 00:00:00.000,2006,"CY 2006",20062,"Q2-2006",200605,"May 2006",5,"May",2,"Monday","WorkDay"
2006-05-15 00:00:00.000,2006,"CY 2006",20062,"Q2-2006",200605,"May 2006",5,"May",2,"Monday","WorkDay"
2006-05-22 00:00:00.000,2006,"CY 2006",20062,"Q2-2006",200605,"May 2006",5,"May",2,"Monday","WorkDay"
2006-05-29 00:00:00.000,2006,"CY 2006",20062,"Q2-2006",200605,"May 2006",5,"May",2,"Monday","WorkDay"
2006-06-05 00:00:00.000,2006,"CY 2006",20062,"Q2-2006",200606,"June 2006",6,"June",2,"Monday","WorkDay"
2006-06-12 00:00:00.000,2006,"CY 2006",20062,"Q2-2006",200606,"June 2006",6,"June",2,"Monday","WorkDay"
2006-06-19 00:00:00.000,2006,"CY 2006",20062,"Q2-2006",200606,"June 2006",6,"June",2,"Monday","WorkDay"
2006-06-26 00:00:00.000,2006,"CY 2006",20062,"Q2-2006",200606,"June 2006",6,"June",2,"Monday","WorkDay"
2006-07-03 00:00:00.000,2006,"CY 2006",20063,"Q3-2006",200607,"July 2006",7,"July",2,"Monday","WorkDay"
2006-07-10 00:00:00.000,2006,"CY 2006",20063,"Q3-2006",200607,"July 2006",7,"July",2,"Monday","WorkDay"
2006-07-17 00:00:00.000,2006,"CY 2006",20063,"Q3-2006",200607,"July 2006",7,"July",2,"Monday","WorkDay"
2006-07-24 00:00:00.000,2006,"CY 2006",20063,"Q3-2006",200607,"July 2006",7,"July",2,"Monday","WorkDay"
2006-07-31 00:00:00.000,2006,"CY 2006",20063,"Q3-2006",200607,"July 2006",7,"July",2,"Monday","WorkDay"
2006-08-07 00:00:00.000,2006,"CY 2006",20063,"Q3-2006",200608,"August 2006",8,"August",2,"Monday","WorkDay"
2006-08-14 00:00:00.000,2006,"CY 2006",20063,"Q3-2006",200608,"August 2006",8,"August",2,"Monday","WorkDay"
2006-08-21 00:00:00.000,2006,"CY 2006",20063,"Q3-2006",200608,"August 2006",8,"August",2,"Monday","WorkDay"
2006-08-28 00:00:00.000,2006,"CY 2006",20063,"Q3-2006",200608,"August 2006",8,"August",2,"Monday","WorkDay"
2006-09-04 00:00:00.000,2006,"CY 2006",20063,"Q3-2006",200609,"September 2006",9,"September",2,"Monday","WorkDay"
2006-09-11 00:00:00.000,2006,"CY 2006",20063,"Q3-2006",200609,"September 2006",9,"September",2,"Monday","WorkDay"
2006-09-18 00:00:00.000,2006,"CY 2006",20063,"Q3-2006",200609,"September 2006",9,"September",2,"Monday","WorkDay"
2006-09-25 00:00:00.000,2006,"CY 2006",20063,"Q3-2006",200609,"September 2006",9,"September",2,"Monday","WorkDay"
2006-10-02 00:00:00.000,2006,"CY 2006",20064,"Q4-2006",200610,"October 2006",10,"October",2,"Monday","WorkDay"
2006-10-09 00:00:00.000,2006,"CY 2006",20064,"Q4-2006",200610,"October 2006",10,"October",2,"Monday","WorkDay"
2006-10-16 00:00:00.000,2006,"CY 2006",20064,"Q4-2006",200610,"October 2006",10,"October",2,"Monday","WorkDay"
2006-10-23 00:00:00.000,2006,"CY 2006",20064,"Q4-2006",200610,"October 2006",10,"October",2,"Monday","WorkDay"
2006-10-30 00:00:00.000,2006,"CY 2006",20064,"Q4-2006",200610,"October 2006",10,"October",2,"Monday","WorkDay"
2006-11-06 00:00:00.000,2006,"CY 2006",20064,"Q4-2006",200611,"November 2006",11,"November",2,"Monday","WorkDay"
2006-11-13 00:00:00.000,2006,"CY 2006",20064,"Q4-2006",200611,"November 2006",11,"November",2,"Monday","WorkDay"
2006-11-20 00:00:00.000,2006,"CY 2006",20064,"Q4-2006",200611,"November 2006",11,"November",2,"Monday","WorkDay"
2006-11-27 00:00:00.000,2006,"CY 2006",20064,"Q4-2006",200611,"November 2006",11,"November",2,"Monday","WorkDay"
2006-12-04 00:00:00.000,2006,"CY 2006",20064,"Q4-2006",200612,"December 2006",12,"December",2,"Monday","WorkDay"
2006-12-11 00:00:00.000,2006,"CY 2006",20064,"Q4-2006",200612,"December 2006",12,"December",2,"Monday","WorkDay"
2006-12-18 00:00:00.000,2006,"CY 2006",20064,"Q4-2006",200612,"December 2006",12,"December",2,"Monday","WorkDay"
2006-12-25 00:00:00.000,2006,"CY 2006",20064,"Q4-2006",200612,"December 2006",12,"December",2,"Monday","WorkDay"
2007-01-01 00:00:00.000,2007,"CY 2007",20071,"Q1-2007",200701,"January 2007",1,"January",2,"Monday","WorkDay"
2007-01-08 00:00:00.000,2007,"CY 2007",20071,"Q1-2007",200701,"January 2007",1,"January",2,"Monday","WorkDay"
2007-01-15 00:00:00.000,2007,"CY 2007",20071,"Q1-2007",200701,"January 2007",1,"January",2,"Monday","WorkDay"
2007-01-22 00:00:00.000,2007,"CY 2007",20071,"Q1-2007",200701,"January 2007",1,"January",2,"Monday","WorkDay"
2007-01-29 00:00:00.000,2007,"CY 2007",20071,"Q1-2007",200701,"January 2007",1,"January",2,"Monday","WorkDay"
2007-02-05 00:00:00.000,2007,"CY 2007",20071,"Q1-2007",200702,"February 2007",2,"February",2,"Monday","WorkDay"
2007-02-12 00:00:00.000,2007,"CY 2007",20071,"Q1-2007",200702,"February 2007",2,"February",2,"Monday","WorkDay"
2007-02-19 00:00:00.000,2007,"CY 2007",20071,"Q1-2007",200702,"February 2007",2,"February",2,"Monday","WorkDay"
2007-02-26 00:00:00.000,2007,"CY 2007",20071,"Q1-2007",200702,"February 2007",2,"February",2,"Monday","WorkDay"
2007-03-05 00:00:00.000,2007,"CY 2007",20071,"Q1-2007",200703,"March 2007",3,"March",2,"Monday","WorkDay"
2007-03-12 00:00:00.000,2007,"CY 2007",20071,"Q1-2007",200703,"March 2007",3,"March",2,"Monday","WorkDay"
2007-03-19 00:00:00.000,2007,"CY 2007",20071,"Q1-2007",200703,"March 2007",3,"March",2,"Monday","WorkDay"
2007-03-26 00:00:00.000,2007,"CY 2007",20071,"Q1-2007",200703,"March 2007",3,"March",2,"Monday","WorkDay"
2007-04-02 00:00:00.000,2007,"CY 2007",20072,"Q2-2007",200704,"April 2007",4,"April",2,"Monday","WorkDay"
2007-04-09 00:00:00.000,2007,"CY 2007",20072,"Q2-2007",200704,"April 2007",4,"April",2,"Monday","WorkDay"
2007-04-16 00:00:00.000,2007,"CY 2007",20072,"Q2-2007",200704,"April 2007",4,"April",2,"Monday","WorkDay"
2007-04-23 00:00:00.000,2007,"CY 2007",20072,"Q2-2007",200704,"April 2007",4,"April",2,"Monday","WorkDay"
2007-04-30 00:00:00.000,2007,"CY 2007",20072,"Q2-2007",200704,"April 2007",4,"April",2,"Monday","WorkDay"
2007-05-07 00:00:00.000,2007,"CY 2007",20072,"Q2-2007",200705,"May 2007",5,"May",2,"Monday","WorkDay"
2007-05-14 00:00:00.000,2007,"CY 2007",20072,"Q2-2007",200705,"May 2007",5,"May",2,"Monday","WorkDay"
2007-05-21 00:00:00.000,2007,"CY 2007",20072,"Q2-2007",200705,"May 2007",5,"May",2,"Monday","WorkDay"
2007-05-28 00:00:00.000,2007,"CY 2007",20072,"Q2-2007",200705,"May 2007",5,"May",2,"Monday","WorkDay"
2007-06-04 00:00:00.000,2007,"CY 2007",20072,"Q2-2007",200706,"June 2007",6,"June",2,"Monday","WorkDay"
2007-06-11 00:00:00.000,2007,"CY 2007",20072,"Q2-2007",200706,"June 2007",6,"June",2,"Monday","WorkDay"
2007-06-18 00:00:00.000,2007,"CY 2007",20072,"Q2-2007",200706,"June 2007",6,"June",2,"Monday","WorkDay"
2007-06-25 00:00:00.000,2007,"CY 2007",20072,"Q2-2007",200706,"June 2007",6,"June",2,"Monday","WorkDay"
2007-07-02 00:00:00.000,2007,"CY 2007",20073,"Q3-2007",200707,"July 2007",7,"July",2,"Monday","WorkDay"
2007-07-09 00:00:00.000,2007,"CY 2007",20073,"Q3-2007",200707,"July 2007",7,"July",2,"Monday","WorkDay"
2007-07-16 00:00:00.000,2007,"CY 2007",20073,"Q3-2007",200707,"July 2007",7,"July",2,"Monday","WorkDay"
2007-07-23 00:00:00.000,2007,"CY 2007",20073,"Q3-2007",200707,"July 2007",7,"July",2,"Monday","WorkDay"
2007-07-30 00:00:00.000,2007,"CY 2007",20073,"Q3-2007",200707,"July 2007",7,"July",2,"Monday","WorkDay"
2007-08-06 00:00:00.000,2007,"CY 2007",20073,"Q3-2007",200708,"August 2007",8,"August",2,"Monday","WorkDay"
2007-08-13 00:00:00.000,2007,"CY 2007",20073,"Q3-2007",200708,"August 2007",8,"August",2,"Monday","WorkDay"
2007-08-20 00:00:00.000,2007,"CY 2007",20073,"Q3-2007",200708,"August 2007",8,"August",2,"Monday","WorkDay"
2007-08-27 00:00:00.000,2007,"CY 2007",20073,"Q3-2007",200708,"August 2007",8,"August",2,"Monday","WorkDay"
2007-09-03 00:00:00.000,2007,"CY 2007",20073,"Q3-2007",200709,"September 2007",9,"September",2,"Monday","WorkDay"
2007-09-10 00:00:00.000,2007,"CY 2007",20073,"Q3-2007",200709,"September 2007",9,"September",2,"Monday","WorkDay"
2007-09-17 00:00:00.000,2007,"CY 2007",20073,"Q3-2007",200709,"September 2007",9,"September",2,"Monday","WorkDay"
2007-09-24 00:00:00.000,2007,"CY 2007",20073,"Q3-2007",200709,"September 2007",9,"September",2,"Monday","WorkDay"
2007-10-01 00:00:00.000,2007,"CY 2007",20074,"Q4-2007",200710,"October 2007",10,"October",2,"Monday","WorkDay"
2007-10-08 00:00:00.000,2007,"CY 2007",20074,"Q4-2007",200710,"October 2007",10,"October",2,"Monday","WorkDay"
2007-10-15 00:00:00.000,2007,"CY 2007",20074,"Q4-2007",200710,"October 2007",10,"October",2,"Monday","WorkDay"
2007-10-22 00:00:00.000,2007,"CY 2007",20074,"Q4-2007",200710,"October 2007",10,"October",2,"Monday","WorkDay"
2007-10-29 00:00:00.000,2007,"CY 2007",20074,"Q4-2007",200710,"October 2007",10,"October",2,"Monday","WorkDay"
2007-11-05 00:00:00.000,2007,"CY 2007",20074,"Q4-2007",200711,"November 2007",11,"November",2,"Monday","WorkDay"
2007-11-12 00:00:00.000,2007,"CY 2007",20074,"Q4-2007",200711,"November 2007",11,"November",2,"Monday","WorkDay"
2007-11-19 00:00:00.000,2007,"CY 2007",20074,"Q4-2007",200711,"November 2007",11,"November",2,"Monday","WorkDay"
2007-11-26 00:00:00.000,2007,"CY 2007",20074,"Q4-2007",200711,"November 2007",11,"November",2,"Monday","WorkDay"
2007-12-03 00:00:00.000,2007,"CY 2007",20074,"Q4-2007",200712,"December 2007",12,"December",2,"Monday","WorkDay"
2007-12-10 00:00:00.000,2007,"CY 2007",20074,"Q4-2007",200712,"December 2007",12,"December",2,"Monday","WorkDay"
2007-12-17 00:00:00.000,2007,"CY 2007",20074,"Q4-2007",200712,"December 2007",12,"December",2,"Monday","WorkDay"
2007-12-24 00:00:00.000,2007,"CY 2007",20074,"Q4-2007",200712,"December 2007",12,"December",2,"Monday","WorkDay"
2007-12-31 00:00:00.000,2007,"CY 2007",20074,"Q4-2007",200712,"December 2007",12,"December",2,"Monday","WorkDay"
2008-01-07 00:00:00.000,2008,"CY 2008",20081,"Q1-2008",200801,"January 2008",1,"January",2,"Monday","WorkDay"
2008-01-14 00:00:00.000,2008,"CY 2008",20081,"Q1-2008",200801,"January 2008",1,"January",2,"Monday","WorkDay"
2008-01-21 00:00:00.000,2008,"CY 2008",20081,"Q1-2008",200801,"January 2008",1,"January",2,"Monday","WorkDay"
2008-01-28 00:00:00.000,2008,"CY 2008",20081,"Q1-2008",200801,"January 2008",1,"January",2,"Monday","WorkDay"
2008-02-04 00:00:00.000,2008,"CY 2008",20081,"Q1-2008",200802,"February 2008",2,"February",2,"Monday","WorkDay"
2008-02-11 00:00:00.000,2008,"CY 2008",20081,"Q1-2008",200802,"February 2008",2,"February",2,"Monday","WorkDay"
2008-02-18 00:00:00.000,2008,"CY 2008",20081,"Q1-2008",200802,"February 2008",2,"February",2,"Monday","WorkDay"
2008-02-25 00:00:00.000,2008,"CY 2008",20081,"Q1-2008",200802,"February 2008",2,"February",2,"Monday","WorkDay"
2008-03-03 00:00:00.000,2008,"CY 2008",20081,"Q1-2008",200803,"March 2008",3,"March",2,"Monday","WorkDay"
2008-03-10 00:00:00.000,2008,"CY 2008",20081,"Q1-2008",200803,"March 2008",3,"March",2,"Monday","WorkDay"
2008-03-17 00:00:00.000,2008,"CY 2008",20081,"Q1-2008",200803,"March 2008",3,"March",2,"Monday","WorkDay"
2008-03-24 00:00:00.000,2008,"CY 2008",20081,"Q1-2008",200803,"March 2008",3,"March",2,"Monday","WorkDay"
2008-03-31 00:00:00.000,2008,"CY 2008",20081,"Q1-2008",200803,"March 2008",3,"March",2,"Monday","WorkDay"
2008-04-07 00:00:00.000,2008,"CY 2008",20082,"Q2-2008",200804,"April 2008",4,"April",2,"Monday","WorkDay"
2008-04-14 00:00:00.000,2008,"CY 2008",20082,"Q2-2008",200804,"April 2008",4,"April",2,"Monday","WorkDay"
2008-04-21 00:00:00.000,2008,"CY 2008",20082,"Q2-2008",200804,"April 2008",4,"April",2,"Monday","WorkDay"
2008-04-28 00:00:00.000,2008,"CY 2008",20082,"Q2-2008",200804,"April 2008",4,"April",2,"Monday","WorkDay"
2008-05-05 00:00:00.000,2008,"CY 2008",20082,"Q2-2008",200805,"May 2008",5,"May",2,"Monday","WorkDay"
2008-05-12 00:00:00.000,2008,"CY 2008",20082,"Q2-2008",200805,"May 2008",5,"May",2,"Monday","WorkDay"
2008-05-19 00:00:00.000,2008,"CY 2008",20082,"Q2-2008",200805,"May 2008",5,"May",2,"Monday","WorkDay"
2008-05-26 00:00:00.000,2008,"CY 2008",20082,"Q2-2008",200805,"May 2008",5,"May",2,"Monday","WorkDay"
2008-06-02 00:00:00.000,2008,"CY 2008",20082,"Q2-2008",200806,"June 2008",6,"June",2,"Monday","WorkDay"
2008-06-09 00:00:00.000,2008,"CY 2008",20082,"Q2-2008",200806,"June 2008",6,"June",2,"Monday","WorkDay"
2008-06-16 00:00:00.000,2008,"CY 2008",20082,"Q2-2008",200806,"June 2008",6,"June",2,"Monday","WorkDay"
2008-06-23 00:00:00.000,2008,"CY 2008",20082,"Q2-2008",200806,"June 2008",6,"June",2,"Monday","WorkDay"
2008-06-30 00:00:00.000,2008,"CY 2008",20082,"Q2-2008",200806,"June 2008",6,"June",2,"Monday","WorkDay"
2008-07-07 00:00:00.000,2008,"CY 2008",20083,"Q3-2008",200807,"July 2008",7,"July",2,"Monday","WorkDay"
2008-07-14 00:00:00.000,2008,"CY 2008",20083,"Q3-2008",200807,"July 2008",7,"July",2,"Monday","WorkDay"
2008-07-21 00:00:00.000,2008,"CY 2008",20083,"Q3-2008",200807,"July 2008",7,"July",2,"Monday","WorkDay"
2008-07-28 00:00:00.000,2008,"CY 2008",20083,"Q3-2008",200807,"July 2008",7,"July",2,"Monday","WorkDay"
2008-08-04 00:00:00.000,2008,"CY 2008",20083,"Q3-2008",200808,"August 2008",8,"August",2,"Monday","WorkDay"
2008-08-11 00:00:00.000,2008,"CY 2008",20083,"Q3-2008",200808,"August 2008",8,"August",2,"Monday","WorkDay"
2008-08-18 00:00:00.000,2008,"CY 2008",20083,"Q3-2008",200808,"August 2008",8,"August",2,"Monday","WorkDay"
2008-08-25 00:00:00.000,2008,"CY 2008",20083,"Q3-2008",200808,"August 2008",8,"August",2,"Monday","WorkDay"
2008-09-01 00:00:00.000,2008,"CY 2008",20083,"Q3-2008",200809,"September 2008",9,"September",2,"Monday","WorkDay"
2008-09-08 00:00:00.000,2008,"CY 2008",20083,"Q3-2008",200809,"September 2008",9,"September",2,"Monday","WorkDay"
2008-09-15 00:00:00.000,2008,"CY 2008",20083,"Q3-2008",200809,"September 2008",9,"September",2,"Monday","WorkDay"
2008-09-22 00:00:00.000,2008,"CY 2008",20083,"Q3-2008",200809,"September 2008",9,"September",2,"Monday","WorkDay"
2008-09-29 00:00:00.000,2008,"CY 2008",20083,"Q3-2008",200809,"September 2008",9,"September",2,"Monday","WorkDay"
2008-10-06 00:00:00.000,2008,"CY 2008",20084,"Q4-2008",200810,"October 2008",10,"October",2,"Monday","WorkDay"
2008-10-13 00:00:00.000,2008,"CY 2008",20084,"Q4-2008",200810,"October 2008",10,"October",2,"Monday","WorkDay"
2008-10-20 00:00:00.000,2008,"CY 2008",20084,"Q4-2008",200810,"October 2008",10,"October",2,"Monday","WorkDay"
2008-10-27 00:00:00.000,2008,"CY 2008",20084,"Q4-2008",200810,"October 2008",10,"October",2,"Monday","WorkDay"
2008-11-03 00:00:00.000,2008,"CY 2008",20084,"Q4-2008",200811,"November 2008",11,"November",2,"Monday","WorkDay"
2008-11-10 00:00:00.000,2008,"CY 2008",20084,"Q4-2008",200811,"November 2008",11,"November",2,"Monday","WorkDay"
2008-11-17 00:00:00.000,2008,"CY 2008",20084,"Q4-2008",200811,"November 2008",11,"November",2,"Monday","WorkDay"
2008-11-24 00:00:00.000,2008,"CY 2008",20084,"Q4-2008",200811,"November 2008",11,"November",2,"Monday","WorkDay"
2008-12-01 00:00:00.000,2008,"CY 2008",20084,"Q4-2008",200812,"December 2008",12,"December",2,"Monday","WorkDay"
2008-12-08 00:00:00.000,2008,"CY 2008",20084,"Q4-2008",200812,"December 2008",12,"December",2,"Monday","WorkDay"
2008-12-15 00:00:00.000,2008,"CY 2008",20084,"Q4-2008",200812,"December 2008",12,"December",2,"Monday","WorkDay"
2008-12-22 00:00:00.000,2008,"CY 2008",20084,"Q4-2008",200812,"December 2008",12,"December",2,"Monday","WorkDay"
2008-12-29 00:00:00.000,2008,"CY 2008",20084,"Q4-2008",200812,"December 2008",12,"December",2,"Monday","WorkDay"
2009-01-05 00:00:00.000,2009,"CY 2009",20091,"Q1-2009",200901,"January 2009",1,"January",2,"Monday","WorkDay"
2009-01-12 00:00:00.000,2009,"CY 2009",20091,"Q1-2009",200901,"January 2009",1,"January",2,"Monday","WorkDay"
2009-01-19 00:00:00.000,2009,"CY 2009",20091,"Q1-2009",200901,"January 2009",1,"January",2,"Monday","WorkDay"
2009-01-26 00:00:00.000,2009,"CY 2009",20091,"Q1-2009",200901,"January 2009",1,"January",2,"Monday","WorkDay"
2009-02-02 00:00:00.000,2009,"CY 2009",20091,"Q1-2009",200902,"February 2009",2,"February",2,"Monday","WorkDay"
2009-02-09 00:00:00.000,2009,"CY 2009",20091,"Q1-2009",200902,"February 2009",2,"February",2,"Monday","WorkDay"
2009-02-16 00:00:00.000,2009,"CY 2009",20091,"Q1-2009",200902,"February 2009",2,"February",2,"Monday","WorkDay"
