Date,Year,Quarter of Year,Month of Year,Day of Month,Date International,Month Name,Month & Year,Quarter & Year,Day in Week,Day Name,WeekEnding,Week Number,Month Year Sort,Quarter Year Sort,Short Year,Financial Year,Quarter
2020-07-05 00:00:00.000,"2020",3,7,5,20200705,"July","Jul 2020","Q3 2020",6,"Sunday",2020-07-05 00:00:00.000,27,20200700,20200300,"20","FY21","Q3"
2020-07-06 00:00:00.000,"2020",3,7,6,20200706,"July","Jul 2020","Q3 2020",0,"Monday",2020-07-12 00:00:00.000,28,20200700,20200300,"20","FY21","Q3"
2020-07-07 00:00:00.000,"2020",3,7,7,20200707,"July","Jul 2020","Q3 2020",1,"Tuesday",2020-07-12 00:00:00.000,28,20200700,20200300,"20","FY21","Q3"
2020-07-08 00:00:00.000,"2020",3,7,8,20200708,"July","Jul 2020","Q3 2020",2,"Wednesday",2020-07-12 00:00:00.000,28,20200700,20200300,"20","FY21","Q3"
2020-07-09 00:00:00.000,"2020",3,7,9,20200709,"July","Jul 2020","Q3 2020",3,"Thursday",2020-07-12 00:00:00.000,28,20200700,20200300,"20","FY21","Q3"
2020-07-10 00:00:00.000,"2020",3,7,10,20200710,"July","Jul 2020","Q3 2020",4,"Friday",2020-07-12 00:00:00.000,28,20200700,20200300,"20","FY21","Q3"
2020-07-11 00:00:00.000,"2020",3,7,11,20200711,"July","Jul 2020","Q3 2020",5,"Saturday",2020-07-12 00:00:00.000,28,20200700,20200300,"20","FY21","Q3"
2020-07-12 00:00:00.000,"2020",3,7,12,20200712,"July","Jul 2020","Q3 2020",6,"Sunday",2020-07-12 00:00:00.000,28,20200700,20200300,"20","FY21","Q3"
2020-07-13 00:00:00.000,"2020",3,7,13,20200713,"July","Jul 2020","Q3 2020",0,"Monday",2020-07-19 00:00:00.000,29,20200700,20200300,"20","FY21","Q3"
2020-07-14 00:00:00.000,"2020",3,7,14,20200714,"July","Jul 2020","Q3 2020",1,"Tuesday",2020-07-19 00:00:00.000,29,20200700,20200300,"20","FY21","Q3"
2020-07-15 00:00:00.000,"2020",3,7,15,20200715,"July","Jul 2020","Q3 2020",2,"Wednesday",2020-07-19 00:00:00.000,29,20200700,20200300,"20","FY21","Q3"
2020-07-16 00:00:00.000,"2020",3,7,16,20200716,"July","Jul 2020","Q3 2020",3,"Thursday",2020-07-19 00:00:00.000,29,20200700,20200300,"20","FY21","Q3"
2020-07-17 00:00:00.000,"2020",3,7,17,20200717,"July","Jul 2020","Q3 2020",4,"Friday",2020-07-19 00:00:00.000,29,20200700,20200300,"20","FY21","Q3"
2020-07-18 00:00:00.000,"2020",3,7,18,20200718,"July","Jul 2020","Q3 2020",5,"Saturday",2020-07-19 00:00:00.000,29,20200700,20200300,"20","FY21","Q3"
2020-07-19 00:00:00.000,"2020",3,7,19,20200719,"July","Jul 2020","Q3 2020",6,"Sunday",2020-07-19 00:00:00.000,29,20200700,20200300,"20","FY21","Q3"
2020-07-20 00:00:00.000,"2020",3,7,20,20200720,"July","Jul 2020","Q3 2020",0,"Monday",2020-07-26 00:00:00.000,30,20200700,20200300,"20","FY21","Q3"
2020-07-21 00:00:00.000,"2020",3,7,21,20200721,"July","Jul 2020","Q3 2020",1,"Tuesday",2020-07-26 00:00:00.000,30,20200700,20200300,"20","FY21","Q3"
2020-07-22 00:00:00.000,"2020",3,7,22,20200722,"July","Jul 2020","Q3 2020",2,"Wednesday",2020-07-26 00:00:00.000,30,20200700,20200300,"20","FY21","Q3"
2020-07-23 00:00:00.000,"2020",3,7,23,20200723,"July","Jul 2020","Q3 2020",3,"Thursday",2020-07-26 00:00:00.000,30,20200700,20200300,"20","FY21","Q3"
2020-07-24 00:00:00.000,"2020",3,7,24,20200724,"July","Jul 2020","Q3 2020",4,"Friday",2020-07-26 00:00:00.000,30,20200700,20200300,"20","FY21","Q3"
2020-07-25 00:00:00.000,"2020",3,7,25,20200725,"July","Jul 2020","Q3 2020",5,"Saturday",2020-07-26 00:00:00.000,30,20200700,20200300,"20","FY21","Q3"
2020-07-26 00:00:00.000,"2020",3,7,26,20200726,"July","Jul 2020","Q3 2020",6,"Sunday",2020-07-26 00:00:00.000,30,20200700,20200300,"20","FY21","Q3"
2020-07-27 00:00:00.000,"2020",3,7,27,20200727,"July","Jul 2020","Q3 2020",0,"Monday",2020-08-02 00:00:00.000,31,20200700,20200300,"20","FY21","Q3"
2020-07-28 00:00:00.000,"2020",3,7,28,20200728,"July","Jul 2020","Q3 2020",1,"Tuesday",2020-08-02 00:00:00.000,31,20200700,20200300,"20","FY21","Q3"
2020-07-29 00:00:00.000,"2020",3,7,29,20200729,"July","Jul 2020","Q3 2020",2,"Wednesday",2020-08-02 00:00:00.000,31,20200700,20200300,"20","FY21","Q3"
2020-07-30 00:00:00.000,"2020",3,7,30,20200730,"July","Jul 2020","Q3 2020",3,"Thursday",2020-08-02 00:00:00.000,31,20200700,20200300,"20","FY21","Q3"
2020-07-31 00:00:00.000,"2020",3,7,31,20200731,"July","Jul 2020","Q3 2020",4,"Friday",2020-08-02 00:00:00.000,31,20200700,20200300,"20","FY21","Q3"
2021-07-01 00:00:00.000,"2021",3,7,1,20210701,"July","Jul 2021","Q3 2021",3,"Thursday",2021-07-04 00:00:00.000,27,20210700,20210300,"21","FY22","Q3"
2021-07-02 00:00:00.000,"2021",3,7,2,20210702,"July","Jul 2021","Q3 2021",4,"Friday",2021-07-04 00:00:00.000,27,20210700,20210300,"21","FY22","Q3"
2021-07-03 00:00:00.000,"2021",3,7,3,20210703,"July","Jul 2021","Q3 2021",5,"Saturday",2021-07-04 00:00:00.000,27,20210700,20210300,"21","FY22","Q3"
2021-07-04 00:00:00.000,"2021",3,7,4,20210704,"July","Jul 2021","Q3 2021",6,"Sunday",2021-07-04 00:00:00.000,27,20210700,20210300,"21","FY22","Q3"
2021-07-05 00:00:00.000,"2021",3,7,5,20210705,"July","Jul 2021","Q3 2021",0,"Monday",2021-07-11 00:00:00.000,28,20210700,20210300,"21","FY22","Q3"
2021-07-06 00:00:00.000,"2021",3,7,6,20210706,"July","Jul 2021","Q3 2021",1,"Tuesday",2021-07-11 00:00:00.000,28,20210700,20210300,"21","FY22","Q3"
2021-07-07 00:00:00.000,"2021",3,7,7,20210707,"July","Jul 2021","Q3 2021",2,"Wednesday",2021-07-11 00:00:00.000,28,20210700,20210300,"21","FY22","Q3"
2021-07-08 00:00:00.000,"2021",3,7,8,20210708,"July","Jul 2021","Q3 2021",3,"Thursday",2021-07-11 00:00:00.000,28,20210700,20210300,"21","FY22","Q3"
2021-07-09 00:00:00.000,"2021",3,7,9,20210709,"July","Jul 2021","Q3 2021",4,"Friday",2021-07-11 00:00:00.000,28,20210700,20210300,"21","FY22","Q3"
2021-07-10 00:00:00.000,"2021",3,7,10,20210710,"July","Jul 2021","Q3 2021",5,"Saturday",2021-07-11 00:00:00.000,28,20210700,20210300,"21","FY22","Q3"
2021-07-11 00:00:00.000,"2021",3,7,11,20210711,"July","Jul 2021","Q3 2021",6,"Sunday",2021-07-11 00:00:00.000,28,20210700,20210300,"21","FY22","Q3"
2021-07-12 00:00:00.000,"2021",3,7,12,20210712,"July","Jul 2021","Q3 2021",0,"Monday",2021-07-18 00:00:00.000,29,20210700,20210300,"21","FY22","Q3"
2021-07-13 00:00:00.000,"2021",3,7,13,20210713,"July","Jul 2021","Q3 2021",1,"Tuesday",2021-07-18 00:00:00.000,29,20210700,20210300,"21","FY22","Q3"
2021-07-14 00:00:00.000,"2021",3,7,14,20210714,"July","Jul 2021","Q3 2021",2,"Wednesday",2021-07-18 00:00:00.000,29,20210700,20210300,"21","FY22","Q3"
2021-07-15 00:00:00.000,"2021",3,7,15,20210715,"July","Jul 2021","Q3 2021",3,"Thursday",2021-07-18 00:00:00.000,29,20210700,20210300,"21","FY22","Q3"
2021-07-16 00:00:00.000,"2021",3,7,16,20210716,"July","Jul 2021","Q3 2021",4,"Friday",2021-07-18 00:00:00.000,29,20210700,20210300,"21","FY22","Q3"
2021-07-17 00:00:00.000,"2021",3,7,17,20210717,"July","Jul 2021","Q3 2021",5,"Saturday",2021-07-18 00:00:00.000,29,20210700,20210300,"21","FY22","Q3"
2021-07-18 00:00:00.000,"2021",3,7,18,20210718,"July","Jul 2021","Q3 2021",6,"Sunday",2021-07-18 00:00:00.000,29,20210700,20210300,"21","FY22","Q3"
2021-07-19 00:00:00.000,"2021",3,7,19,20210719,"July","Jul 2021","Q3 2021",0,"Monday",2021-07-25 00:00:00.000,30,20210700,20210300,"21","FY22","Q3"
2021-07-20 00:00:00.000,"2021",3,7,20,20210720,"July","Jul 2021","Q3 2021",1,"Tuesday",2021-07-25 00:00:00.000,30,20210700,20210300,"21","FY22","Q3"
2021-07-21 00:00:00.000,"2021",3,7,21,20210721,"July","Jul 2021","Q3 2021",2,"Wednesday",2021-07-25 00:00:00.000,30,20210700,20210300,"21","FY22","Q3"
2021-07-22 00:00:00.000,"2021",3,7,22,20210722,"July","Jul 2021","Q3 2021",3,"Thursday",2021-07-25 00:00:00.000,30,20210700,20210300,"21","FY22","Q3"
2021-07-23 00:00:00.000,"2021",3,7,23,20210723,"July","Jul 2021","Q3 2021",4,"Friday",2021-07-25 00:00:00.000,30,20210700,20210300,"21","FY22","Q3"
2021-07-24 00:00:00.000,"2021",3,7,24,20210724,"July","Jul 2021","Q3 2021",5,"Saturday",2021-07-25 00:00:00.000,30,20210700,20210300,"21","FY22","Q3"
2021-07-25 00:00:00.000,"2021",3,7,25,20210725,"July","Jul 2021","Q3 2021",6,"Sunday",2021-07-25 00:00:00.000,30,20210700,20210300,"21","FY22","Q3"
2021-07-26 00:00:00.000,"2021",3,7,26,20210726,"July","Jul 2021","Q3 2021",0,"Monday",2021-08-01 00:00:00.000,31,20210700,20210300,"21","FY22","Q3"
2021-07-27 00:00:00.000,"2021",3,7,27,20210727,"July","Jul 2021","Q3 2021",1,"Tuesday",2021-08-01 00:00:00.000,31,20210700,20210300,"21","FY22","Q3"
2021-07-28 00:00:00.000,"2021",3,7,28,20210728,"July","Jul 2021","Q3 2021",2,"Wednesday",2021-08-01 00:00:00.000,31,20210700,20210300,"21","FY22","Q3"
2021-07-29 00:00:00.000,"2021",3,7,29,20210729,"July","Jul 2021","Q3 2021",3,"Thursday",2021-08-01 00:00:00.000,31,20210700,20210300,"21","FY22","Q3"
2021-07-30 00:00:00.000,"2021",3,7,30,20210730,"July","Jul 2021","Q3 2021",4,"Friday",2021-08-01 00:00:00.000,31,20210700,20210300,"21","FY22","Q3"
2021-07-31 00:00:00.000,"2021",3,7,31,20210731,"July","Jul 2021","Q3 2021",5,"Saturday",2021-08-01 00:00:00.000,31,20210700,20210300,"21","FY22","Q3"
2022-07-01 00:00:00.000,"2022",3,7,1,20220701,"July","Jul 2022","Q3 2022",4,"Friday",2022-07-03 00:00:00.000,27,20220700,20220300,"22","FY23","Q3"
2022-07-02 00:00:00.000,"2022",3,7,2,20220702,"July","Jul 2022","Q3 2022",5,"Saturday",2022-07-03 00:00:00.000,27,20220700,20220300,"22","FY23","Q3"
2022-07-03 00:00:00.000,"2022",3,7,3,20220703,"July","Jul 2022","Q3 2022",6,"Sunday",2022-07-03 00:00:00.000,27,20220700,20220300,"22","FY23","Q3"
2022-07-04 00:00:00.000,"2022",3,7,4,20220704,"July","Jul 2022","Q3 2022",0,"Monday",2022-07-10 00:00:00.000,28,20220700,20220300,"22","FY23","Q3"
2022-07-05 00:00:00.000,"2022",3,7,5,20220705,"July","Jul 2022","Q3 2022",1,"Tuesday",2022-07-10 00:00:00.000,28,20220700,20220300,"22","FY23","Q3"
2022-07-06 00:00:00.000,"2022",3,7,6,20220706,"July","Jul 2022","Q3 2022",2,"Wednesday",2022-07-10 00:00:00.000,28,20220700,20220300,"22","FY23","Q3"
2022-07-07 00:00:00.000,"2022",3,7,7,20220707,"July","Jul 2022","Q3 2022",3,"Thursday",2022-07-10 00:00:00.000,28,20220700,20220300,"22","FY23","Q3"
2022-07-08 00:00:00.000,"2022",3,7,8,20220708,"July","Jul 2022","Q3 2022",4,"Friday",2022-07-10 00:00:00.000,28,20220700,20220300,"22","FY23","Q3"
2022-07-09 00:00:00.000,"2022",3,7,9,20220709,"July","Jul 2022","Q3 2022",5,"Saturday",2022-07-10 00:00:00.000,28,20220700,20220300,"22","FY23","Q3"
2022-07-10 00:00:00.000,"2022",3,7,10,20220710,"July","Jul 2022","Q3 2022",6,"Sunday",2022-07-10 00:00:00.000,28,20220700,20220300,"22","FY23","Q3"
2022-07-11 00:00:00.000,"2022",3,7,11,20220711,"July","Jul 2022","Q3 2022",0,"Monday",2022-07-17 00:00:00.000,29,20220700,20220300,"22","FY23","Q3"
2022-07-12 00:00:00.000,"2022",3,7,12,20220712,"July","Jul 2022","Q3 2022",1,"Tuesday",2022-07-17 00:00:00.000,29,20220700,20220300,"22","FY23","Q3"
2022-07-13 00:00:00.000,"2022",3,7,13,20220713,"July","Jul 2022","Q3 2022",2,"Wednesday",2022-07-17 00:00:00.000,29,20220700,20220300,"22","FY23","Q3"
2022-07-14 00:00:00.000,"2022",3,7,14,20220714,"July","Jul 2022","Q3 2022",3,"Thursday",2022-07-17 00:00:00.000,29,20220700,20220300,"22","FY23","Q3"
2022-07-15 00:00:00.000,"2022",3,7,15,20220715,"July","Jul 2022","Q3 2022",4,"Friday",2022-07-17 00:00:00.000,29,20220700,20220300,"22","FY23","Q3"
2022-07-16 00:00:00.000,"2022",3,7,16,20220716,"July","Jul 2022","Q3 2022",5,"Saturday",2022-07-17 00:00:00.000,29,20220700,20220300,"22","FY23","Q3"
2022-07-17 00:00:00.000,"2022",3,7,17,20220717,"July","Jul 2022","Q3 2022",6,"Sunday",2022-07-17 00:00:00.000,29,20220700,20220300,"22","FY23","Q3"
2022-07-18 00:00:00.000,"2022",3,7,18,20220718,"July","Jul 2022","Q3 2022",0,"Monday",2022-07-24 00:00:00.000,30,20220700,20220300,"22","FY23","Q3"
2022-07-19 00:00:00.000,"2022",3,7,19,20220719,"July","Jul 2022","Q3 2022",1,"Tuesday",2022-07-24 00:00:00.000,30,20220700,20220300,"22","FY23","Q3"
2022-07-20 00:00:00.000,"2022",3,7,20,20220720,"July","Jul 2022","Q3 2022",2,"Wednesday",2022-07-24 00:00:00.000,30,20220700,20220300,"22","FY23","Q3"
2022-07-21 00:00:00.000,"2022",3,7,21,20220721,"July","Jul 2022","Q3 2022",3,"Thursday",2022-07-24 00:00:00.000,30,20220700,20220300,"22","FY23","Q3"
2022-07-22 00:00:00.000,"2022",3,7,22,20220722,"July","Jul 2022","Q3 2022",4,"Friday",2022-07-24 00:00:00.000,30,20220700,20220300,"22","FY23","Q3"
2022-07-23 00:00:00.000,"2022",3,7,23,20220723,"July","Jul 2022","Q3 2022",5,"Saturday",2022-07-24 00:00:00.000,30,20220700,20220300,"22","FY23","Q3"
2022-07-24 00:00:00.000,"2022",3,7,24,20220724,"July","Jul 2022","Q3 2022",6,"Sunday",2022-07-24 00:00:00.000,30,20220700,20220300,"22","FY23","Q3"
2022-07-25 00:00:00.000,"2022",3,7,25,20220725,"July","Jul 2022","Q3 2022",0,"Monday",2022-07-31 00:00:00.000,31,20220700,20220300,"22","FY23","Q3"
2022-07-26 00:00:00.000,"2022",3,7,26,20220726,"July","Jul 2022","Q3 2022",1,"Tuesday",2022-07-31 00:00:00.000,31,20220700,20220300,"22","FY23","Q3"
2022-07-27 00:00:00.000,"2022",3,7,27,20220727,"July","Jul 2022","Q3 2022",2,"Wednesday",2022-07-31 00:00:00.000,31,20220700,20220300,"22","FY23","Q3"
2022-07-28 00:00:00.000,"2022",3,7,28,20220728,"July","Jul 2022","Q3 2022",3,"Thursday",2022-07-31 00:00:00.000,31,20220700,20220300,"22","FY23","Q3"
2022-07-29 00:00:00.000,"2022",3,7,29,20220729,"July","Jul 2022","Q3 2022",4,"Friday",2022-07-31 00:00:00.000,31,20220700,20220300,"22","FY23","Q3"
2022-07-30 00:00:00.000,"2022",3,7,30,20220730,"July","Jul 2022","Q3 2022",5,"Saturday",2022-07-31 00:00:00.000,31,20220700,20220300,"22","FY23","Q3"
2022-07-31 00:00:00.000,"2022",3,7,31,20220731,"July","Jul 2022","Q3 2022",6,"Sunday",2022-07-31 00:00:00.000,31,20220700,20220300,"22","FY23","Q3"
2023-07-01 00:00:00.000,"2023",3,7,1,20230701,"July","Jul 2023","Q3 2023",5,"Saturday",2023-07-02 00:00:00.000,27,20230700,20230300,"23","FY24","Q3"
2023-07-02 00:00:00.000,"2023",3,7,2,20230702,"July","Jul 2023","Q3 2023",6,"Sunday",2023-07-02 00:00:00.000,27,20230700,20230300,"23","FY24","Q3"
2023-07-03 00:00:00.000,"2023",3,7,3,20230703,"July","Jul 2023","Q3 2023",0,"Monday",2023-07-09 00:00:00.000,28,20230700,20230300,"23","FY24","Q3"
2023-07-04 00:00:00.000,"2023",3,7,4,20230704,"July","Jul 2023","Q3 2023",1,"Tuesday",2023-07-09 00:00:00.000,28,20230700,20230300,"23","FY24","Q3"
2023-07-05 00:00:00.000,"2023",3,7,5,20230705,"July","Jul 2023","Q3 2023",2,"Wednesday",2023-07-09 00:00:00.000,28,20230700,20230300,"23","FY24","Q3"
2023-07-06 00:00:00.000,"2023",3,7,6,20230706,"July","Jul 2023","Q3 2023",3,"Thursday",2023-07-09 00:00:00.000,28,20230700,20230300,"23","FY24","Q3"
2023-07-07 00:00:00.000,"2023",3,7,7,20230707,"July","Jul 2023","Q3 2023",4,"Friday",2023-07-09 00:00:00.000,28,20230700,20230300,"23","FY24","Q3"
2023-07-08 00:00:00.000,"2023",3,7,8,20230708,"July","Jul 2023","Q3 2023",5,"Saturday",2023-07-09 00:00:00.000,28,20230700,20230300,"23","FY24","Q3"
2023-07-09 00:00:00.000,"2023",3,7,9,20230709,"July","Jul 2023","Q3 2023",6,"Sunday",2023-07-09 00:00:00.000,28,20230700,20230300,"23","FY24","Q3"
2023-07-10 00:00:00.000,"2023",3,7,10,20230710,"July","Jul 2023","Q3 2023",0,"Monday",2023-07-16 00:00:00.000,29,20230700,20230300,"23","FY24","Q3"
2023-07-11 00:00:00.000,"2023",3,7,11,20230711,"July","Jul 2023","Q3 2023",1,"Tuesday",2023-07-16 00:00:00.000,29,20230700,20230300,"23","FY24","Q3"
2023-07-12 00:00:00.000,"2023",3,7,12,20230712,"July","Jul 2023","Q3 2023",2,"Wednesday",2023-07-16 00:00:00.000,29,20230700,20230300,"23","FY24","Q3"
2023-07-13 00:00:00.000,"2023",3,7,13,20230713,"July","Jul 2023","Q3 2023",3,"Thursday",2023-07-16 00:00:00.000,29,20230700,20230300,"23","FY24","Q3"
2023-07-14 00:00:00.000,"2023",3,7,14,20230714,"July","Jul 2023","Q3 2023",4,"Friday",2023-07-16 00:00:00.000,29,20230700,20230300,"23","FY24","Q3"
2023-07-15 00:00:00.000,"2023",3,7,15,20230715,"July","Jul 2023","Q3 2023",5,"Saturday",2023-07-16 00:00:00.000,29,20230700,20230300,"23","FY24","Q3"
2023-07-16 00:00:00.000,"2023",3,7,16,20230716,"July","Jul 2023","Q3 2023",6,"Sunday",2023-07-16 00:00:00.000,29,20230700,20230300,"23","FY24","Q3"
2023-07-17 00:00:00.000,"2023",3,7,17,20230717,"July","Jul 2023","Q3 2023",0,"Monday",2023-07-23 00:00:00.000,30,20230700,20230300,"23","FY24","Q3"
2023-07-18 00:00:00.000,"2023",3,7,18,20230718,"July","Jul 2023","Q3 2023",1,"Tuesday",2023-07-23 00:00:00.000,30,20230700,20230300,"23","FY24","Q3"
2023-07-19 00:00:00.000,"2023",3,7,19,20230719,"July","Jul 2023","Q3 2023",2,"Wednesday",2023-07-23 00:00:00.000,30,20230700,20230300,"23","FY24","Q3"
2023-07-20 00:00:00.000,"2023",3,7,20,20230720,"July","Jul 2023","Q3 2023",3,"Thursday",2023-07-23 00:00:00.000,30,20230700,20230300,"23","FY24","Q3"
2023-07-21 00:00:00.000,"2023",3,7,21,20230721,"July","Jul 2023","Q3 2023",4,"Friday",2023-07-23 00:00:00.000,30,20230700,20230300,"23","FY24","Q3"
2023-07-22 00:00:00.000,"2023",3,7,22,20230722,"July","Jul 2023","Q3 2023",5,"Saturday",2023-07-23 00:00:00.000,30,20230700,20230300,"23","FY24","Q3"
2023-07-23 00:00:00.000,"2023",3,7,23,20230723,"July","Jul 2023","Q3 2023",6,"Sunday",2023-07-23 00:00:00.000,30,20230700,20230300,"23","FY24","Q3"
2023-07-24 00:00:00.000,"2023",3,7,24,20230724,"July","Jul 2023","Q3 2023",0,"Monday",2023-07-30 00:00:00.000,31,20230700,20230300,"23","FY24","Q3"
2023-07-25 00:00:00.000,"2023",3,7,25,20230725,"July","Jul 2023","Q3 2023",1,"Tuesday",2023-07-30 00:00:00.000,31,20230700,20230300,"23","FY24","Q3"
2023-07-26 00:00:00.000,"2023",3,7,26,20230726,"July","Jul 2023","Q3 2023",2,"Wednesday",2023-07-30 00:00:00.000,31,20230700,20230300,"23","FY24","Q3"
2023-07-27 00:00:00.000,"2023",3,7,27,20230727,"July","Jul 2023","Q3 2023",3,"Thursday",2023-07-30 00:00:00.000,31,20230700,20230300,"23","FY24","Q3"
