storagearraylun_pk,resource_fk,name,identifier,category,element_type,vendor_define_type,storagearray_fk,storagearray_name,storagearray_type,storagearray_identifier,storagearraypool_fk,storagearraypool_name,block_size,bound,cache_enabled,caption,compressed,compression_rate,created_at,data_format,data_reduction,dataset_type,depth,imported,is_composite,mapped,naa_name,owning_controller,protection,raid_type,rebuild_priority,recovery_enabled,replicated_on,rmr_source,rmr_target,serial_number,num_snapshots,is_thin,capacity,used_capacity,free_capacity,spare_capacity,allocated_capacity,consumable_capacity,metadata_capacity,subscribed_capacity,over_subscribed_capacity,percent_free,percent_used,total_reduction_ratio,total_reduction_savings,num_volumes,wwn,storage_tier,status,first_added,last_edited,last_changed,protocol,technology
"6714","6714","d42do-1143-00","lun|sv_9|array|CKM00164000536","{lun}","lun","LUN","6301","CKM00164000536","Array (UNITY)","array|CKM00164000536","6321","Unity_Pool_01",,"",,"",,,"","","","",,"",,,"","","","",,,"","","","",0,"",1,0,1,"",0,,3.25,,"",100,0,"",,,"6006016069714200abd55561f388a824","","ok",2021-10-01 01:01:34.206,2021-11-01 01:02:12.530,2021-10-01 01:01:34.206,"","sas"
"3254","3254","lunTwo","lun|/vol/d42do_553/lunTwo|array|0142255929","{lun}","lun","LUN","2042","WH-NETAPP-01","Array (NETAPP)","array|0142255929","2055","aggr0",512,"",,"",,,"","","","",,"",,True,"","","","raid_dp",,,"","","","SKXBLKjf3gPQ",,"",1,0.01,,"",,,,,"",,1,"",,,"60a98000534b58424c4b6a6633675051","","online",2021-05-04 15:42:04.936,2021-11-12 01:01:12.426,2021-07-27 15:02:25.350,"fc","sata"
"6323","6323","ArrayIQTest-00","lun|sv_1|array|CKM00164000536","{lun}","lun","LUN","6301","CKM00164000536","Array (UNITY)","array|CKM00164000536","6321","Unity_Pool_01",,"",,"",,,"","","","",,"",,,"","","","",,,"","","","",0,"",50,0,50,"",0,,4,,"",100,0,"",,,"6006016069714200c7505f60034cf7fd","","ok",2021-06-15 17:02:08.693,2021-11-01 01:02:12.483,2021-07-27 15:01:28.670,"","sas"
"6717","6717","d42do-1143-03","lun|sv_12|array|CKM00164000536","{lun}","lun","LUN","6301","CKM00164000536","Array (UNITY)","array|CKM00164000536","6321","Unity_Pool_01",,"",,"",,,"","","","",,"",,,"","","","",,,"","","","",0,"",1,0,1,"",0,,3.25,,"",100,0,"",,,"6006016069714200add55561b806371e","","ok",2021-10-01 01:01:34.230,2021-11-01 01:02:12.556,2021-10-01 01:01:34.226,"","sas"
"6716","6716","d42do-1143-02","lun|sv_11|array|CKM00164000536","{lun}","lun","LUN","6301","CKM00164000536","Array (UNITY)","array|CKM00164000536","6321","Unity_Pool_01",,"",,"",,,"","","","",,"",,,"","","","",,,"","","","",0,"",1,0,1,"",0,,3.25,,"",100,0,"",,,"6006016069714200acd5556161789b28","","ok",2021-10-01 01:01:34.223,2021-11-01 01:02:12.546,2021-10-01 01:01:34.220,"","sas"
"6328","6328","d42do-608-01","lun|sv_8|array|CKM00164000536","{lun}","lun","LUN","6301","CKM00164000536","Array (UNITY)","array|CKM00164000536","6321","Unity_Pool_01",,"",,"",,,"","","","",,"",,,"","","","",,,"","","","",0,"",1,0.01,0.99,"",0.01,,3.25,,"",98.981,1.019,"",,,"6006016069714200ffc3a660ed85938d","","ok",2021-06-15 17:02:08.733,2021-11-01 01:02:12.523,2021-07-27 15:01:28.733,"fc","sas"
"6327","6327","d42do-608-00","lun|sv_7|array|CKM00164000536","{lun}","lun","LUN","6301","CKM00164000536","Array (UNITY)","array|CKM00164000536","6321","Unity_Pool_01",,"",,"",,,"","","","",,"",,,"","","","",,,"","","","",0,"",1,0.031,0.969,"",0.031,,3.25,,"",96.864,3.136,"",,,"6006016069714200ffc3a660ef67cf23","","ok",2021-06-15 17:02:08.723,2021-11-01 01:02:12.513,2021-07-27 15:01:28.720,"fc","sas"
"2348","2348","arrayIQ-Unity-iSCSI-3","lun|sv_2|array|VIRT2039MB5BCH","{lun}","lun","LUN","2318","","Array (UNITY)","array|VIRT2039MB5BCH","2343","Capacity",,"",,"",,,"","","","",,"",,,"","","","",,,"","","","",2,"",5,0.017,4.983,"",0.017,,3.25,,"",99.651,0.349,"",,,"600601608a703829b806865f8431aeed","","ok",2021-02-11 21:04:05.396,2021-11-11 21:03:12.203,2021-11-03 20:02:12.710,"iscsi",""
"6091","6091","testd_3","lun|00003|array|APM00125186274","{lun}","lun","LUN","6069","dev42vnx5100","Array (VNX)","array|APM00125186274","6099","Concrete storage pool 0001 for APM00125186274 storage system",512,"true",False,"",False,1,"","FBA","","",,"false",False,True,"","SP_A","LUN","RAID-1",3,False,"","","","",,"",10,10,,"",10,10,,0,"",,100,"",,,"60060160a64133007539fa084e58ea11","","online",2021-06-07 17:51:30.076,2021-11-12 11:01:12.406,2021-07-27 15:01:25.286,"","ssd"
"6097","6097","StorageTesting_RAW_2","lun|00009|array|APM00125186274","{lun}","lun","LUN","6069","dev42vnx5100","Array (VNX)","array|APM00125186274","6098","Concrete storage pool 0000 for APM00125186274 storage system",512,"true",True,"",False,1,"","FBA","","",,"false",False,True,"","SP_B","LUN","RAID-5",3,False,"","","","",,"",1,1,,"",1,1,,0,"",,100,"",,,"60060160bb4133007f516b38c56beb11","","online",2021-06-07 17:51:30.126,2021-11-12 11:01:12.456,2021-07-27 15:01:25.376,"fc","sas"
"6093","6093","LUN 5","lun|00005|array|APM00125186274","{lun}","lun","LUN","6069","dev42vnx5100","Array (VNX)","array|APM00125186274","6098","Concrete storage pool 0000 for APM00125186274 storage system",512,"true",True,"",False,1,"","FBA","","",,"false",False,True,"","SP_B","LUN","RAID-5",3,False,"","","","",,"",50,50,,"",50,50,,0,"",,100,"",,,"60060160a6413300ba7a33823728eb11","","online",2021-06-07 17:51:30.093,2021-11-12 11:01:12.423,2021-07-27 15:01:25.310,"","sas"
"2257","2257","Pure-02","lun|Pure-02|array|def59bf5-854d-4d07-a456-adcceb18fceb","{lun}","lun","LUN","2080","wbd42pstgr1","Array (PURE)","array|def59bf5-854d-4d07-a456-adcceb18fceb","","",,"",,"",,,"","","","",,"",,True,"","","","",,,"","","","DEF59BF5854D4D070001101F",,"",500,7.595,492.405,"",,,,,"",98.481,1.519,"59.7376",,7365690503,"624a9370def59bf5854d4d070001101f","","ok",2021-02-05 16:28:11.296,2021-11-11 15:54:13.616,2021-11-11 15:54:13.613,"fc","ssd"
"2754","2754","d42-1845102","lun|d42-1845102|array|def59bf5-854d-4d07-a456-adcceb18fceb","{lun}","lun","LUN","2080","wbd42pstgr1","Array (PURE)","array|def59bf5-854d-4d07-a456-adcceb18fceb","","",,"",,"",,,"","","","",,"",,True,"","","","",,,"","","","DEF59BF5854D4D0700011025",,"",2,0,2,"",,,,,"",100,0,"109593",,20539,"624a9370def59bf5854d4d0700011025","","ok",2021-02-16 15:54:06.116,2021-10-04 14:53:35.433,2021-10-04 14:53:35.430,"fc","ssd"
"2254","2254","winub4nfj7qmd6d0","lun|winub4nfj7qmd6d0|array|def59bf5-854d-4d07-a456-adcceb18fceb","{lun}","lun","LUN","2080","wbd42pstgr1","Array (PURE)","array|def59bf5-854d-4d07-a456-adcceb18fceb","","",,"",,"",,,"","","","",,"",,False,"","","","",,,"","","","DEF59BF5854D4D070001101A",,"",32,0,32,"",,,,,"",100,0,"267620",,118774,"624a9370def59bf5854d4d070001101a","","ok",2021-02-05 16:28:11.286,2021-11-11 15:54:13.590,2021-11-11 15:54:13.586,"fc","ssd"
"2064","2064","winsantest","lun|/vol/vol5/winsantest|array|0142255929","{lun}","lun","LUN","2042","WH-NETAPP-01","Array (NETAPP)","array|0142255929","2055","aggr0",512,"",,"",,,"","","","",,"",,True,"","","","raid_dp",,,"","","","SKXBLKJMT4PH",,"",10.004,0,,"",,,,,"",,0,"",,,"60a98000534b58424c4b4a4d54345048","","online",2021-01-26 19:07:55.183,2021-11-12 01:01:12.393,2021-07-27 15:02:25.300,"fc","sata"
"3256","3256","lunTwo","lun|/vol/NetApp02/lunTwo|array|0142255929","{lun}","lun","LUN","2042","WH-NETAPP-01","Array (NETAPP)","array|0142255929","2055","aggr0",512,"",,"",,,"","","","",,"",,True,"","","","raid_dp",,,"","","","SKXBLKiiuQiY",,"",1,0.01,,"",,,,,"",,1,"",,,"60a98000534b58424c4b696975516959","","online",2021-05-04 15:42:04.950,2021-11-12 01:01:12.403,2021-07-27 15:02:25.313,"iscsi","sata"
"3257","3257","lunTwo","lun|/vol/NetApp01/lunTwo|array|0142255929","{lun}","lun","LUN","2042","WH-NETAPP-01","Array (NETAPP)","array|0142255929","2055","aggr0",512,"",,"",,,"","","","",,"",,True,"","","","raid_dp",,,"","","","SKXBLKiiuJ4S",,"",1,0.016,,"",,,,,"",,1.6,"",,,"60a98000534b58424c4b6969754a3453","","online",2021-05-04 15:42:04.956,2021-11-12 01:01:12.410,2021-07-27 15:02:25.326,"iscsi","sata"
"2242","2242","u18ud01tp9208d2","lun|u18ud01tp9208d2|array|def59bf5-854d-4d07-a456-adcceb18fceb","{lun}","lun","LUN","2080","wbd42pstgr1","Array (PURE)","array|def59bf5-854d-4d07-a456-adcceb18fceb","","",,"",,"",,,"","","","",,"",,False,"","","","",,,"","","","DEF59BF5854D4D0700011019",,"",32,0,32,"",,,,,"",100,0,"3.5165e+06",,159928,"624a9370def59bf5854d4d0700011019","","ok",2021-01-26 20:11:55.666,2021-11-11 15:54:13.583,2021-11-07 15:54:13.583,"","ssd"
"2070","2070","xen","lun|/vol/vol1/xen|array|0142255929","{lun}","lun","LUN","2042","WH-NETAPP-01","Array (NETAPP)","array|0142255929","2055","aggr0",512,"",,"",,,"","","","",,"",,True,"","","","raid_dp",,,"","","","SKXBLKDFl6md",,"",449.02,247.338,,"",,,,,"",,55.084,"",,,"60a98000534b58424c4b44466c366d64","","online",2021-01-26 19:07:55.206,2021-11-12 01:01:12.503,2021-11-12 01:01:12.496,"fc","sata"
"6088","6088","testd_0","lun|00000|array|APM00125186274","{lun}","lun","LUN","6069","dev42vnx5100","Array (VNX)","array|APM00125186274","6099","Concrete storage pool 0001 for APM00125186274 storage system",512,"true",False,"",False,1,"","FBA","","",,"false",False,True,"","SP_A","LUN","RAID-1",3,False,"","","","",,"",10,10,,"",10,10,,0,"",,100,"",,,"60060160a64133007239fa084e58ea11","","online",2021-06-07 17:51:30.053,2021-11-12 11:01:12.380,2021-07-27 15:01:25.246,"","ssd"
"2065","2065","esxi","lun|/vol/vol4/esxi|array|0142255929","{lun}","lun","LUN","2042","WH-NETAPP-01","Array (NETAPP)","array|0142255929","2055","aggr0",512,"",,"",,,"","","","",,"",,True,"","","","raid_dp",,,"","","","SKXBLKEpGLuR",,"",800.051,623.212,,"",,,,,"",,77.897,"",,,"60a98000534b58424c4b4570474c7552","","online",2021-01-26 19:07:55.190,2021-11-12 01:01:12.493,2021-08-21 00:01:04.496,"fc","sata"
"2464","2464","admin","lun|60002AC000000000000000000001855E|array|2FF70002AC01855E","{lun}","lun","LUN","2319","Device42_3Par_Sim","Array (HP3PAR)","array|2FF70002AC01855E","2477","all-FC",512,"",,"",,,"","","","",,"",,,"","","","RAID1",,,"","","","",,"",10,10,,"",10,10,,,"",,100,"",,,"60002ac000000000000000000001855e","","error",2021-02-11 21:04:05.920,2021-11-11 20:16:12.960,2021-07-27 15:01:26.156,"fc","fc"
"3255","3255","lunOne","lun|/vol/d42do_553/lunOne|array|0142255929","{lun}","lun","LUN","2042","WH-NETAPP-01","Array (NETAPP)","array|0142255929","2055","aggr0",512,"",,"",,,"","","","",,"",,True,"","","","raid_dp",,,"","","","SKXBLKjf3fec",,"",1,0.032,,"",,,,,"",,3.2,"",,,"60a98000534b58424c4b6a6633666563","","online",2021-05-04 15:42:04.943,2021-11-12 01:01:12.470,2021-07-27 15:02:25.406,"fc","sata"
"6721","6721","d42-18451-01","lun|d42-18451-01|array|def59bf5-854d-4d07-a456-adcceb18fceb","{lun}","lun","LUN","2080","wbd42pstgr1","Array (PURE)","array|def59bf5-854d-4d07-a456-adcceb18fceb","","",,"",,"",,,"","","","",,"",,True,"","","","",,,"","","","DEF59BF5854D4D0700011024",,"",2,0.006,1.994,"",,,,,"",99.7,0.3,"133.663",,,"624a9370def59bf5854d4d0700011024","","ok",2021-10-05 14:53:35.493,2021-11-11 15:54:13.660,2021-11-11 15:54:13.656,"fc","ssd"
"6722","6722","d42-18451-02","lun|d42-18451-02|array|def59bf5-854d-4d07-a456-adcceb18fceb","{lun}","lun","LUN","2080","wbd42pstgr1","Array (PURE)","array|def59bf5-854d-4d07-a456-adcceb18fceb","","",,"",,"",,,"","","","",,"",,True,"","","","",,,"","","","DEF59BF5854D4D0700011025",,"",2,0,2,"",,,,,"",100,0,"111674",,,"624a9370def59bf5854d4d0700011025","","ok",2021-10-05 14:53:35.500,2021-11-11 15:54:13.666,2021-11-11 15:54:13.663,"fc","ssd"
"6725","6725","d42do-1168-03","lun|d42do-1168-03|array|def59bf5-854d-4d07-a456-adcceb18fceb","{lun}","lun","LUN","2080","wbd42pstgr1","Array (PURE)","array|def59bf5-854d-4d07-a456-adcceb18fceb","","",,"",,"",,,"","","","",,"",,True,"","","","",,,"","","","DEF59BF5854D4D0700011029",,"",1,0,1,"",,,,,"",100,0,"7180.83",,,"624a9370def59bf5854d4d0700011029","","ok",2021-10-05 14:53:35.530,2021-11-11 15:54:13.700,2021-11-11 15:54:13.696,"fc","ssd"
"2357","2357","DatastoreTest1","lun|sv_5|array|VIRT2039MB5BCH","{lun}","lun","LUN","2318","","Array (UNITY)","array|VIRT2039MB5BCH","2340","Performance",,"",,"",,,"","","","",,"",,,"","","","",,,"","","","",0,"",10,0,10,"",0,,3.25,,"",100,0,"",,,"600601608a703829919b1160bbe48f95","","ok",2021-02-11 21:04:05.410,2021-11-11 21:03:12.230,2021-07-27 15:01:25.066,"",""
"2354","2354","arrayIQ-Unity-iSCSI-5","lun|sv_4|array|VIRT2039MB5BCH","{lun}","lun","LUN","2318","","Array (UNITY)","array|VIRT2039MB5BCH","2343","Capacity",,"",,"",,,"","","","",,"",,,"","","","",,,"","","","",2,"",5,0.017,4.983,"",0.017,,3.25,,"",99.652,0.348,"",,,"600601608a703829b806865f360b386f","","ok",2021-02-11 21:04:05.406,2021-11-11 21:03:12.220,2021-11-03 20:02:12.726,"iscsi",""
"6089","6089","testd_1","lun|00001|array|APM00125186274","{lun}","lun","LUN","6069","dev42vnx5100","Array (VNX)","array|APM00125186274","6099","Concrete storage pool 0001 for APM00125186274 storage system",512,"true",False,"",False,1,"","FBA","","",,"false",False,True,"","SP_A","LUN","RAID-1",3,False,"","","","",,"",10,10,,"",10,10,,0,"",,100,"",,,"60060160a64133007339fa084e58ea11","","online",2021-06-07 17:51:30.063,2021-11-12 11:01:12.386,2021-07-27 15:01:25.260,"","ssd"
"2239","2239","TPStorage-Lab","lun|TPStorage-Lab|array|def59bf5-854d-4d07-a456-adcceb18fceb","{lun}","lun","LUN","2080","wbd42pstgr1","Array (PURE)","array|def59bf5-854d-4d07-a456-adcceb18fceb","","",,"",,"",,,"","","","",,"",,True,"","","","",,,"","","","DEF59BF5854D4D0700011016",,"",20480,566.754,19913.2,"",,,,,"",97.233,2.767,"32.527",,121229951281,"624a9370def59bf5854d4d0700011016","","ok",2021-01-26 20:11:55.653,2021-11-11 15:54:13.556,2021-11-11 15:54:13.553,"fc","ssd"
"2238","2238","TPStoragecl1-M-wbd42pstgr1-0000","lun|TPStoragecl1-M-wbd42pstgr1-0000|array|def59bf5-854d-4d07-a456-adcceb18fceb","{lun}","lun","LUN","2080","wbd42pstgr1","Array (PURE)","array|def59bf5-854d-4d07-a456-adcceb18fceb","","",,"",,"",,,"","","","",,"",,True,"","","","",,,"","","","DEF59BF5854D4D0700011015",,"",2048,0.006,2047.99,"",,,,,"",100,0,"240637",,1535064,"624a9370def59bf5854d4d0700011015","","ok",2021-01-26 20:11:55.653,2021-11-11 15:54:13.546,2021-11-11 15:54:13.543,"fc","ssd"
"6682","6682","d42do-697-01","lun|066fcdbccae2100adb000000000000000000000001|array|096fcdbccae2100adb000000000000000000000001","{lun}","lun","LUN","6626","AF1000","Array (NIMBLE)","array|096fcdbccae2100adb000000000000000000000001","6673","default",,"",,"",,,"","","","",,"",,,"","","unprotected","",,,"","","","",,"",1,0.016,0.984,"",,,,,"",98.4,1.6,"",,,"abfb2635ede18db56c9ce90011b6dd8d","","online",2021-09-11 00:01:07.536,2021-11-12 01:01:12.606,2021-09-11 00:01:07.533,"fc","ssd"
"2351","2351","arrayIQ-Unity-iSCSI-4","lun|sv_3|array|VIRT2039MB5BCH","{lun}","lun","LUN","2318","","Array (UNITY)","array|VIRT2039MB5BCH","2343","Capacity",,"",,"",,,"","","","",,"",,,"","","","",,,"","","","",2,"",5,0.017,4.983,"",0.017,,3.25,,"",99.652,0.348,"",,,"600601608a703829b806865f9951db81","","ok",2021-02-11 21:04:05.400,2021-11-11 21:03:12.213,2021-11-03 20:02:12.720,"iscsi",""
"6723","6723","d42do-1168-01","lun|d42do-1168-01|array|def59bf5-854d-4d07-a456-adcceb18fceb","{lun}","lun","LUN","2080","wbd42pstgr1","Array (PURE)","array|def59bf5-854d-4d07-a456-adcceb18fceb","","",,"",,"",,,"","","","",,"",,True,"","","","",,,"","","","DEF59BF5854D4D0700011027",,"",1,0,1,"",,,,,"",100,0,"645666",,,"624a9370def59bf5854d4d0700011027","","ok",2021-10-05 14:53:35.516,2021-11-11 15:54:13.683,2021-10-22 14:53:23.883,"fc","ssd"
"6726","6726","d42do-1168-04","lun|d42do-1168-04|array|def59bf5-854d-4d07-a456-adcceb18fceb","{lun}","lun","LUN","2080","wbd42pstgr1","Array (PURE)","array|def59bf5-854d-4d07-a456-adcceb18fceb","","",,"",,"",,,"","","","",,"",,False,"","","","",,,"","","","DEF59BF5854D4D070001102A",,"",1,0,1,"",,,,,"",100,0,"1",,,"624a9370def59bf5854d4d070001102a","","ok",2021-10-05 14:53:35.536,2021-11-11 15:54:13.710,2021-10-05 14:53:35.533,"","ssd"
"6724","6724","d42do-1168-02","lun|d42do-1168-02|array|def59bf5-854d-4d07-a456-adcceb18fceb","{lun}","lun","LUN","2080","wbd42pstgr1","Array (PURE)","array|def59bf5-854d-4d07-a456-adcceb18fceb","","",,"",,"",,,"","","","",,"",,True,"","","","",,,"","","","DEF59BF5854D4D0700011028",,"",1,0,1,"",,,,,"",100,0,"8123.15",,,"624a9370def59bf5854d4d0700011028","","ok",2021-10-05 14:53:35.523,2021-11-11 15:54:13.693,2021-11-11 15:54:13.686,"fc","ssd"
"2235","2235","AIQTest02","lun|AIQTest02|array|def59bf5-854d-4d07-a456-adcceb18fceb","{lun}","lun","LUN","2080","wbd42pstgr1","Array (PURE)","array|def59bf5-854d-4d07-a456-adcceb18fceb","","",,"",,"",,,"","","","",,"",,False,"","","","",,,"","","","DEF59BF5854D4D0700011012",,"",50,0,50,"",,,,,"",100,0,"1",,0,"624a9370def59bf5854d4d0700011012","","ok",2021-01-26 20:11:55.640,2021-11-11 15:54:13.523,2021-07-27 14:53:26.910,"","ssd"
