CorrectAnswer,Difficulty,Options,Points,PowerPlatformArea,QAGUID,Question,References,Used?,RoundID,QuestionNumber,Submited By GUID,Submitted By Name,QuizGUID
"Mobile, Tablet","Easy","Mobile
Web
Tablet
Laptop",1,"Power Apps","481be66d-2aa9-ea11-a812-000d3a59fefc","When you start creating your app you need to select the format. What are the options you are able to select ?","https://docs.microsoft.com/en-us/learn/modules/build-app-solution/2-learn-basic-elements",True,"275496eb-4b84-ea11-a811-000d3a37ef1b",1,"2f11de6e-9a99-ea11-a813-000d3a59fefc","Kasun Pathirana","15878e40-38b8-ea11-a812-000d3a37ef1b"
"False","Easy","True, False",1,"Power Apps","4a1be66d-2aa9-ea11-a812-000d3a59fefc","Dynamics 365 provides a capability of cross-entity duplicate detection. As more and more people are using Power Apps; this cross-entity de-dup is a feature still missing in Canvas Apps which results in a lot of duplicates.
E.g. A lead must be created with 'existing contact' if a contact with the same email ID exists","Use Lookup references to other entity while entering data and set a popup visible if there's a match. On 'cancel' reset the form and on 'Ignore & Save' submit the form.",True,"275496eb-4b84-ea11-a811-000d3a37ef1b",3,"f06f7893-39a9-ea11-a812-000d3a59f7a1","Prashant Shukla","15878e40-38b8-ea11-a812-000d3a37ef1b"
"Zero, Sales Professional doesn't provide access to these types of flows","Challenging","a. 5
b. as many as they want but no more than 10 can be enabled at anytime
c. 15
d. no limit
e. zero, Sales Professional doesn't provide access to these types of flows",1,"Power Automate","4c1be66d-2aa9-ea11-a812-000d3a59fefc","The current licensing model for a user with a Dynamics 365 Sales Professional license allows them to create how many Power Automate flows that run on the Dynamics platform?","",True,"602f10f4-4b84-ea11-a811-000d3a37ef1b",2,"f26f7893-39a9-ea11-a812-000d3a59f7a1","Jerry Weinstock","15878e40-38b8-ea11-a812-000d3a37ef1b"
"Microsoft Power Automate","Easy","a. Microsoft Flow
b. Power Automate Workflows
c. Microsoft Power Automate
d. Citizen Developer Business Logic Tool
e. PowerAutomate",1,"Power Automate","4e1be66d-2aa9-ea11-a812-000d3a59fefc","Which is the current correct brand name?","https://us.flow.microsoft.com/en-us/",True,"9feb3b29-3d84-ea11-a811-000d3a37ef1b",4,"f26f7893-39a9-ea11-a812-000d3a59f7a1","Jerry Weinstock","15878e40-38b8-ea11-a812-000d3a37ef1b"
"Scheduled - from blank","Easy","Recurring - from blank
Scheduled - from blank
Timed - from blank",,"Power Automate","501be66d-2aa9-ea11-a812-000d3a59fefc","Fill the blank. The following options are available when creating a new Flow in Power Automate","",False,"",,"f46f7893-39a9-ea11-a812-000d3a59f7a1","Norm Young",""
"False","Easy","True, False",1,"Power Automate","521be66d-2aa9-ea11-a812-000d3a59fefc","Power Automate can have up to three triggers?","",True,"602f10f4-4b84-ea11-a811-000d3a37ef1b",1,"f46f7893-39a9-ea11-a812-000d3a59f7a1","Norm Young","15878e40-38b8-ea11-a812-000d3a37ef1b"
"True","Easy","True
False",1,"Power Automate","541be66d-2aa9-ea11-a812-000d3a59fefc","If a SharePoint list is made an owner of a Power Automate Flow, users with edit access to the list can also edit the Flow?","",True,"602f10f4-4b84-ea11-a811-000d3a37ef1b",6,"f46f7893-39a9-ea11-a812-000d3a59f7a1","Norm Young","15878e40-38b8-ea11-a812-000d3a37ef1b"
"500","Intermediate","A. 100
B. 250
C. 500
D. 1024",1,"Power Automate","561be66d-2aa9-ea11-a812-000d3a59fefc","What is the maximum amount of Actions you can have in a single Flow?","https://docs.microsoft.com/en-us/power-automate/limits-and-config#definition-limits",True,"602f10f4-4b84-ea11-a811-000d3a37ef1b",7,"f66f7893-39a9-ea11-a812-000d3a59f7a1","Ryan Maclean","15878e40-38b8-ea11-a812-000d3a37ef1b"
"Populates a word template or converts a word doc into a PDF","Intermediate","A) Creates word documents from scratch based on previous inputs
B) Populates a word template or converts a word doc into a PDF
C) Generates a word doc from HTML or prints to the user's default printer
D) Generates a report of the target user based on their browser history",1,"Power Automate","581be66d-2aa9-ea11-a812-000d3a59fefc","What does the Premium Word Online action do in Power Automate?","https://flow.microsoft.com/en-us/blog/generate-word-documents-in-your-flows/",True,"602f10f4-4b84-ea11-a811-000d3a37ef1b",5,"f86f7893-39a9-ea11-a812-000d3a59f7a1","Matt Burr","15878e40-38b8-ea11-a812-000d3a37ef1b"
"Yes, with triggers, actions, and conditions","Intermediate","
Yes, with triggers, actions, and conditions

No, you have to use a computer

Partially. You can add the button and trigger only. Actions and conditions need you to use a computer.",1,"Power Automate","5a1be66d-2aa9-ea11-a812-000d3a59fefc","Can a button flow be built entirely from the Power Automate mobile app?","https://docs.microsoft.com/en-gb/learn/modules/intro-power-automate-buttons/8-check",True,"602f10f4-4b84-ea11-a811-000d3a37ef1b",3,"e86f7893-39a9-ea11-a812-000d3a59f7a1","#PPPQ","15878e40-38b8-ea11-a812-000d3a37ef1b"
"Row Level Security","Intermediate","Region League Security
Refuge Level Safeguard
Redemption Last Stand
Row Level Security
Row League Safeguard",,"Power BI","5c1be66d-2aa9-ea11-a812-000d3a59fefc","Data security is one of the big features for companies to manage secure datasets in the cloud. Power BI enables analysts to build out highly complex data security models using RLS. What does RLS stand for?","https://docs.microsoft.com/en-us/power-bi/service-admin-rls",True,"6cee8687-ca9c-ea11-a812-000d3a37ef1b",8,"fa6f7893-39a9-ea11-a812-000d3a59f7a1","Christopher Wagner","15878e40-38b8-ea11-a812-000d3a37ef1b"
"JSON","Easy","A. CSS
B. JSON
C. PBIT
D. PBIX",,"Power BI","5e1be66d-2aa9-ea11-a812-000d3a59fefc","You can create, apply and reuse a Power BI theme file for design changes (e.g. colours, font sizes, font families). 
Which file type is this Power BI theme file in?","https://docs.microsoft.com/en-us/power-bi/desktop-report-themes",True,"6cee8687-ca9c-ea11-a812-000d3a37ef1b",1,"fc6f7893-39a9-ea11-a812-000d3a59f7a1","Abby Kong","15878e40-38b8-ea11-a812-000d3a37ef1b"
"Monday","Easy","A) Monday
B) Friday
C) Thursday
D) Wednesday",,"Power BI","601be66d-2aa9-ea11-a812-000d3a59fefc","Which day of the week do 'Guy in a Cube' release their weekly roundup videos?","Reference to YouTube Playlist: https://www.youtube.com/playlist?list=PLv2BtOtLblH0NEAt7-LT7phhn8qv718eK",True,"6cee8687-ca9c-ea11-a812-000d3a37ef1b",3,"762d948c-3c81-ea11-a811-000d3a37ef1b","Christian Borovac","15878e40-38b8-ea11-a812-000d3a37ef1b"
"ArcGIS","Intermediate","A. Standard Map
B. ArcGIS
C. Mapbox",,"Power BI","621be66d-2aa9-ea11-a812-000d3a59fefc","Which map can you not publish to the web?","https://doc.arcgis.com/en/maps-for-powerbi/get-started/supported-env.htm",True,"6cee8687-ca9c-ea11-a812-000d3a37ef1b",2,"00707893-39a9-ea11-a812-000d3a59f7a1","Warren Dean","15878e40-38b8-ea11-a812-000d3a37ef1b"
"When naming the folder, separate the desired folder names using a backslash (E.g. Actuals\Budget)","Intermediate","A) Create a second version of that object, and add each to a different folder
B) When naming the folder, separate the desired folder names using a semicolon (E.g. Actuals;Budget)
C) When naming the folder, separate the desired folder names using a backslash (E.g. Actuals\Budget)",,"Power BI","641be66d-2aa9-ea11-a812-000d3a59fefc","How do you organize a table object (E.g. DAX measure, column, hierarchy, etc.) into multiple folders?","https://youtu.be/ZwcF3Vlz43w",True,"6cee8687-ca9c-ea11-a812-000d3a37ef1b",7,"02707893-39a9-ea11-a812-000d3a59f7a1","Reid Havens","15878e40-38b8-ea11-a812-000d3a37ef1b"
".pbiviz","Easy","a) .pbix
b) .pbivis
c) .pbiv
d) .pbiviz",1,"Power BI","661be66d-2aa9-ea11-a812-000d3a59fefc","What is the extension of a Power BI custom visual file, downloaded from the Power BI visuals gallery?","",True,"9feb3b29-3d84-ea11-a811-000d3a37ef1b",3,"bf10de6e-9a99-ea11-a813-000d3a59fefc","Jeremy Corben","15878e40-38b8-ea11-a812-000d3a37ef1b"
"UseRelationship","Easy","A. Keepfilters
B. KeepRelationship
C. UseRelationship
D. Allexcept",1,"Power BI","681be66d-2aa9-ea11-a812-000d3a59fefc","I can help you fix your inactive relationships. Who am I?","",True,"9feb3b29-3d84-ea11-a811-000d3a37ef1b",8,"2111de6e-9a99-ea11-a813-000d3a59fefc","Hemanand Vadivel","15878e40-38b8-ea11-a812-000d3a37ef1b"
"False","Intermediate","True
False",,"Power BI","6a1be66d-2aa9-ea11-a812-000d3a59fefc","True or False - The DAX function: COALESCE(<expression>, ..., <expression>) will return the average value across all of the expressions, or BLANK if all expressions evaluate to BLANK.","https://powerbi.microsoft.com/en-us/blog/power-bi-desktop-march-2020-feature-summary/#_New_DAX_function",True,"6cee8687-ca9c-ea11-a812-000d3a37ef1b",5,"08707893-39a9-ea11-a812-000d3a59f7a1","Sujata Narayana","15878e40-38b8-ea11-a812-000d3a37ef1b"
"Scatter chart","Intermediate","A. Pie chart 
B. Bubble chart
C. Histogram
D. Variable width column chart
E. Scatter chart",,"Power BI","6c1be66d-2aa9-ea11-a812-000d3a59fefc","Which visualization should you use if you are trying to show a distribution based on two different variables?","https://extremepresentation.typepad.com/files/choosing-a-good-chart-09.pdf",True,"6cee8687-ca9c-ea11-a812-000d3a37ef1b",4,"08707893-39a9-ea11-a812-000d3a59f7a1","Sujata Narayana","15878e40-38b8-ea11-a812-000d3a37ef1b"
"Filter","Intermediate","A) Column
B) Situation
C) Geo-political
D) Filter",,"Power BI","6e1be66d-2aa9-ea11-a812-000d3a59fefc","What type of context does DAX use?","https://www.sqlbi.com/articles/row-context-and-filter-context-in-dax/",True,"6cee8687-ca9c-ea11-a812-000d3a37ef1b",6,"f86f7893-39a9-ea11-a812-000d3a59f7a1","Matt Burr","15878e40-38b8-ea11-a812-000d3a37ef1b"
"False","Easy","True
False",1,"Power Virtual Agents","701be66d-2aa9-ea11-a812-000d3a59fefc","True or False: Power VIrutal Agent is built on top of the Azure Bus Framework and Cloud AI","https://www.infoq.com/news/2019/12/Microsoft-AI-Bots/",True,"9feb3b29-3d84-ea11-a811-000d3a37ef1b",5,"827032d6-3c81-ea11-a811-000d3a37ef1b","Amey Holden","15878e40-38b8-ea11-a812-000d3a37ef1b"
"They support some markdown text using Power Automate","Intermediate","A. They support all the markdown by default
B. They support some markdown text using Power Automate
C. They do not support the markdown text",,"Power Virtual Agents","721be66d-2aa9-ea11-a812-000d3a59fefc","Do Power Virtual Agents support Markdown text?","I have a video recording for that, I can provide a proof (Arafat Tehsin)",True,"bfbf4e31-4c84-ea11-a811-000d3a37ef1b",1,"0c707893-39a9-ea11-a812-000d3a59f7a1","Arafat Tehsin","15878e40-38b8-ea11-a812-000d3a37ef1b"
"Canvas, Model-driven, Portal","Easy","Canvas
Model-driven
Canvas Driven
Model App
Power Portal
Portal App
Portal
Native
Web
Hybrid
Apple
Google Play",1,"PowerApps","741be66d-2aa9-ea11-a812-000d3a59fefc","Which of the following are types of power apps?","https://docs.microsoft.com/en-us/powerapps/",True,"9feb3b29-3d84-ea11-a811-000d3a37ef1b",1,"827032d6-3c81-ea11-a811-000d3a37ef1b","Amey Holden","15878e40-38b8-ea11-a812-000d3a37ef1b"
"Restrict user access by Redirected Page","Intermediate","A. Restrict user access on Entity level
B. Restrict user access on Page level
C. Restrict user access by Redirected Page
D. Restrict user access by IP address",1,"PowerApps","761be66d-2aa9-ea11-a812-000d3a59fefc","Which of the following are NOT out of the box access controls you can impose on your Power Portals?","https://docs.microsoft.com/en-us/powerapps/maker/portals/configure/assign-entity-permissions",True,"275496eb-4b84-ea11-a811-000d3a37ef1b",8,"0e707893-39a9-ea11-a812-000d3a59f7a1","Aylwin Wijaya","15878e40-38b8-ea11-a812-000d3a37ef1b"
"Add data step to Stage 2 in BPF, and mark it as Required","Easy","A. Entity Customisation, make Field_Awesome as Business Required
B. Add data step to Stage 2 in BPF, and mark it as Required",1,"PowerApps","781be66d-2aa9-ea11-a812-000d3a59fefc","On a Business Process Flow: What is the simplest solution to ensure a value is captured for Field_Awesome in Stage 2 before proceeding to Stage 3","",True,"602f10f4-4b84-ea11-a811-000d3a37ef1b",8,"fc6f7893-39a9-ea11-a812-000d3a59f7a1","Abby Kong","15878e40-38b8-ea11-a812-000d3a37ef1b"
"Len","Intermediate","A. Countif
B. Count
C. len
D. Char",1,"PowerApps","7a1be66d-2aa9-ea11-a812-000d3a59fefc","I want to restrict the number of characters in my comment box. Which formula could be of help to me?","",True,"275496eb-4b84-ea11-a811-000d3a37ef1b",6,"2111de6e-9a99-ea11-a813-000d3a59fefc","Hemanand Vadivel","15878e40-38b8-ea11-a812-000d3a37ef1b"
"Business Card Reader","Intermediate","Business Card Reader",1,"PowerApps","7c1be66d-2aa9-ea11-a812-000d3a59fefc","Which AI Builder component is available in both types of Power Apps (Model-Driven and Canvas) ?","https://docs.microsoft.com/en-us/ai-builder/business-card-reader-component-in-powerapps",True,"275496eb-4b84-ea11-a811-000d3a37ef1b",5,"10707893-39a9-ea11-a812-000d3a59f7a1","Eric Sauvé","15878e40-38b8-ea11-a812-000d3a37ef1b"
"Patch","Challenging","1. ClearCollect
2. UpdateIf
3. Patch
4. Defaults",1,"PowerApps","7e1be66d-2aa9-ea11-a812-000d3a59fefc","Using which function can you create a record in CDS/datasource without using SubmitForm?","https://docs.microsoft.com/en-us/powerapps/maker/canvas-apps/functions/function-patch",True,"275496eb-4b84-ea11-a811-000d3a37ef1b",4,"0c707893-39a9-ea11-a812-000d3a59f7a1","Arafat Tehsin","15878e40-38b8-ea11-a812-000d3a37ef1b"
"10th June 2019","Intermediate","10th June 2019
3rd July 2019
30th January 2020
18th September 2019
1st May 2020
21st September 2019",,"Wildcard","801be66d-2aa9-ea11-a812-000d3a59fefc","What date was AI Builder was released for public preview?","https://docs.microsoft.com/en-us/ai-builder/overview",True,"bfbf4e31-4c84-ea11-a811-000d3a37ef1b",3,"827032d6-3c81-ea11-a811-000d3a37ef1b","Amey Holden","15878e40-38b8-ea11-a812-000d3a37ef1b"
"140","N/A","",1,"Wildcard","821be66d-2aa9-ea11-a812-000d3a59fefc","How many characters were originally allowed in a ‘Tweet’ when Twitter first launched in 2006?","",True,"9feb3b29-3d84-ea11-a811-000d3a37ef1b",6,"e86f7893-39a9-ea11-a812-000d3a59f7a1","#PPPQ","15878e40-38b8-ea11-a812-000d3a37ef1b"
"Mexico","N/A","",1,"Wildcard","841be66d-2aa9-ea11-a812-000d3a59fefc","Which country was the last to stop manufactiuring the Volkswagon Beetle?","",True,"275496eb-4b84-ea11-a811-000d3a37ef1b",7,"12707893-39a9-ea11-a812-000d3a59f7a1","Monte Wilson","15878e40-38b8-ea11-a812-000d3a37ef1b"
"Dick Grayson","N/A","",,"Wildcard","861be66d-2aa9-ea11-a812-000d3a59fefc","Batman's civilian name was Bruce Wayne, What was Robin's?","",True,"bfbf4e31-4c84-ea11-a811-000d3a37ef1b",7,"12707893-39a9-ea11-a812-000d3a59f7a1","Monte Wilson","15878e40-38b8-ea11-a812-000d3a37ef1b"
"Water","N/A","",1,"Wildcard","881be66d-2aa9-ea11-a812-000d3a59fefc","What is Dihydrogen-Monoxide better known as?","",True,"602f10f4-4b84-ea11-a811-000d3a37ef1b",4,"12707893-39a9-ea11-a812-000d3a59f7a1","Monte Wilson","15878e40-38b8-ea11-a812-000d3a37ef1b"
"https://admin.powerplatform.microsoft.com/","","N/A",1,"Wildcard","8a1be66d-2aa9-ea11-a812-000d3a59fefc","What is the correct URL for the Power Platform Admin centre? ?","",True,"9feb3b29-3d84-ea11-a811-000d3a37ef1b",7,"e86f7893-39a9-ea11-a812-000d3a59f7a1","#PPPQ","15878e40-38b8-ea11-a812-000d3a37ef1b"
"Security, Logic, Data, Storage, Integration","Easy","Multiple choices / choices are below

Security
Logic
Common Data Model
Data
Storage
Integration",,"Wildcard!","8c1be66d-2aa9-ea11-a812-000d3a59fefc","What are the Common Data Service feature categories ?","https://docs.microsoft.com/en-us/learn/modules/introduction-common-data-service/2-overview",True,"bfbf4e31-4c84-ea11-a811-000d3a37ef1b",8,"2f11de6e-9a99-ea11-a813-000d3a59fefc","Kasun Pathirana","15878e40-38b8-ea11-a812-000d3a37ef1b"
"Call intelligence","Intermediate","
Team performance analytics

Sales performance analytics

Call intelligence",,"Artificial Inteligence","8e1be66d-2aa9-ea11-a812-000d3a59fefc","1. Which of the following Dynamics 365 Sales Insights public preview features is used by sales managers to coach their team on effective sales conversations?","",False,"",,"e86f7893-39a9-ea11-a812-000d3a59f7a1","#PPPQ",""
"First, data analysts import and unify data from various sources. Business analysts then optimize that data for specific applications by using AI and machine learning models, among other techniques.","Easy","First, business analysts request up to three data sources to be used for their specific need, and then data analysts import that data.

First, data analysts import and unify data from various sources. Business analysts then optimize that data for specific applications by using AI and machine learning models, among other techniques.

First, business analysts create machine learning models, and then business users train those models by using live data.",,"Artificial Inteligence","901be66d-2aa9-ea11-a812-000d3a59fefc","How do business users gain a 360-degree view of their customers using Dynamics 365 Customer Insights?","",False,"",,"e86f7893-39a9-ea11-a812-000d3a59f7a1","#PPPQ",""
"They're grouped into support topics automatically, without human intervention.","Intermediate","Each individual case is tagged and then grouped into support topics.

They're grouped into support topics automatically, without human intervention.

They're first manually parsed and then grouped into support topics.",,"Artificial Inteligence","921be66d-2aa9-ea11-a812-000d3a59fefc","4. How are cases grouped in Dynamics 365 Customer Service Insights?","",False,"",,"e86f7893-39a9-ea11-a812-000d3a59f7a1","#PPPQ",""
"Marketers, Data Scientists, Engineers.","Easy","Marketing Leadership, AI Integrators, Data Scientists.

IT System Administrators, Marketers, Sales Engineers.

Marketers, Data Scientists, Engineers.

Learning Specialists, Marketers, Data Scientists.",,"Artificial Inteligence","941be66d-2aa9-ea11-a812-000d3a59fefc","When implemented AI technology in Marketing operations, which three important players are required  to work together?","",False,"",,"e86f7893-39a9-ea11-a812-000d3a59f7a1","#PPPQ",""
"Publish it","Easy","Create it

Publish it

Save it

Train it",,"Artificial Inteligence","961be66d-2aa9-ea11-a812-000d3a59fefc","You have customized a model using the guided experience. What is the final step you must take before you can use it?","",False,"",,"e86f7893-39a9-ea11-a812-000d3a59f7a1","#PPPQ",""
"At least fifteen","Intermediate","
a. At least five

b. At least fifteen

c. At least fifty",,"Artificial Inteligence","981be66d-2aa9-ea11-a812-000d3a59fefc","When building an object detection model, how many sample images per object do you need to train your model?","",False,"bfbf4e31-4c84-ea11-a811-000d3a37ef1b",5,"e86f7893-39a9-ea11-a812-000d3a59f7a1","#PPPQ","15878e40-38b8-ea11-a812-000d3a37ef1b"
"1-1","Easy","a. 1-1
b. 1-Many
c. Many-1
d. Many-Many",,"Dynamics 365","9a1be66d-2aa9-ea11-a812-000d3a59fefc","Which of the following is NOT an out of the box Dynamics 365 / Model-Driven Apps entity relationship type?","https://docs.microsoft.com/en-us/dynamics365/customerengagement/on-premises/customize/create-edit-entity-relationships",False,"",,"fe607f4e-49a9-ea11-a812-000d3a59f4b3","Carl de Souza",""
"The SLA on the Case will only succeed if the case field ""First Response Sent"" is manually set to ""Yes""","Challenging","A. You didn't define a client on the SLA configuration record.
B. The SLA on the Case will only succeed if the case field ""First Response Sent"" is manullay set to ""Yes""
C. You didn't click the ""Apply SLA"" button on the case ribbon.",,"Dynamics 365","9c1be66d-2aa9-ea11-a812-000d3a59fefc","You are using enhanced SLA on Cases in Dynamics 365 Customer Service. You configured the ""First Response By KPI"" to be successful on ""First Response Sent"" equals ""Yes"". You activate your SLA. 
You then proceed to create a new case to test your SLA. However after sending an email the account linked to the case, you see that the ""First Response in"" SLA is still in progress and the success condition was not met. What's wrong","https://docs.microsoft.com/en-us/dynamics365/customer-service/define-service-level-agreements#create-an-enhanced-sla",False,"",,"4111de6e-9a99-ea11-a813-000d3a59fefc","Dani Kahil",""
"You create a different ""Schedule Board"" for each timezone you need to view. You can define the Schedule Board timezone in the ""Scheduler Settings""","Challenging","A. You specify the timezone in the the Resource Requirement.
B. You click the ""Map"" icon on the schedule board to change the timezone.
C. You create a different ""Schedule Board"" for each timezone you need to view. You can define the Schedule Board timezone in the ""Scheduler Settings""",,"Dynamics 365","9e1be66d-2aa9-ea11-a812-000d3a59fefc","How do you view different ""Timezones"" on the Schedule Board used by Dynamics 365 Field Services or the Universal Resource Scheduling?","https://www.inogic.com/blog/2018/02/resolve-date-and-time-difference-issue-between-scheduled-board-and-bookable-resource-booking-record/",False,"",,"4111de6e-9a99-ea11-a813-000d3a59fefc","Dani Kahil",""
"5 entities and 30 stages","Easy","5 entities and 30 stages
30 entities and 30 stages
30 entities and 5 stages
5 entities and 5 stages",,"Dynamics 365","a01be66d-2aa9-ea11-a812-000d3a59fefc","In a given business process flow, maximum number of entities and stages associated with it are?","https://docs.microsoft.com/en-us/dynamics365/customerengagement/on-premises/customize/business-process-flows-overview",False,"",,"0a617f4e-49a9-ea11-a812-000d3a59f4b3","Muhammad Hussain Iqbal",""
"Use a Rollup field","Easy","Write a plugin, Design a Power Automate Flow, Use Rollup fields, Use Calculated Fields",,"Dynamics 365","a21be66d-2aa9-ea11-a812-000d3a59fefc","What is the best way to count child records of a specific record and store the results in a numbet field?","",False,"",,"34617f4e-49a9-ea11-a812-000d3a59f4b3","Omar Zaarour",""
"Business Unit","Easy","A. Entity
B. Security Role,
C. Business Unit
D. Help Page",,"Dynamics 365","a41be66d-2aa9-ea11-a812-000d3a59fefc","which Component cannot be packaged in a solution?","",False,"",,"3311de6e-9a99-ea11-a813-000d3a59fefc","Rachel Pang",""
"Help you manage the application lifecycle of your implementations of the Dynamics 365 Finance and Operations apps.","Intermediate","A. Replace Azure DevOps for source control and project planning of Dynamics 365 solutions
B. Help you manage the end-to-end development lifecycle of Power Apps
C. Help you manage the application lifecycle of your implementations of the Dynamics 365 Sales and Marketing apps.
D. Help you manage the application lifecycle of your implementations of the Dynamics 365 Finance and Operations apps.",,"Dynamics 365","a61be66d-2aa9-ea11-a812-000d3a59fefc","Lifecycle Services (LCS) for Dynamics 365 is a collaboration portal that provides an environment and a set of services that...","https://docs.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/lifecycle-services/lcs",False,"",,"10617f4e-49a9-ea11-a812-000d3a59f4b3","Stefano Tempesta",""
