Support Ticket ID,variable,value
13565,Date Created,2018-12-01 00:00:00.000
23654,Date Created,2018-07-30 00:00:00.000
46471,Date Created,2018-08-03 00:00:00.000
73871,Date Created,2018-11-21 00:00:00.000
8263,Date Created,2018-10-28 00:00:00.000
89404,Date Created,2018-07-25 00:00:00.000
53121,Date Created,2018-06-27 00:00:00.000
27072,Date Created,2018-09-23 00:00:00.000
67702,Date Created,2018-08-10 00:00:00.000
60812,Date Created,2018-11-03 00:00:00.000
60043,Date Created,2018-10-28 00:00:00.000
99184,Date Created,2018-11-10 00:00:00.000
41511,Date Created,2018-06-15 00:00:00.000
32495,Date Created,2018-10-08 00:00:00.000
74600,Date Created,2018-10-11 00:00:00.000
3352,Date Created,2018-09-22 00:00:00.000
120400,Date Created,2018-10-21 00:00:00.000
27530,Date Created,2018-11-26 00:00:00.000
110012,Date Created,2018-09-18 00:00:00.000
20157,Date Created,2018-05-30 00:00:00.000
82354,Date Created,2018-10-26 00:00:00.000
104436,Date Created,2018-09-21 00:00:00.000
109417,Date Created,2018-06-03 00:00:00.000
120232,Date Created,2018-09-06 00:00:00.000
57441,Date Created,2018-11-26 00:00:00.000
49309,Date Created,2018-09-17 00:00:00.000
107889,Date Created,2018-05-20 00:00:00.000
65465,Date Created,2018-11-24 00:00:00.000
70936,Date Created,2018-08-23 00:00:00.000
73313,Date Created,2018-10-22 00:00:00.000
99419,Date Created,2018-08-19 00:00:00.000
26517,Date Created,2018-09-06 00:00:00.000
45702,Date Created,2018-11-07 00:00:00.000
62588,Date Created,2018-09-11 00:00:00.000
8409,Date Created,2018-08-14 00:00:00.000
120000,Date Created,2018-10-14 00:00:00.000
59841,Date Created,2018-06-26 00:00:00.000
94097,Date Created,2018-10-25 00:00:00.000
124323,Date Created,2018-11-08 00:00:00.000
12911,Date Created,2018-07-26 00:00:00.000
64699,Date Created,2018-08-22 00:00:00.000
58102,Date Created,2018-11-01 00:00:00.000
46864,Date Created,2018-10-21 00:00:00.000
60763,Date Created,2018-09-16 00:00:00.000
63070,Date Created,2018-05-01 00:00:00.000
65827,Date Created,2018-07-09 00:00:00.000
53602,Date Created,2018-07-15 00:00:00.000
121857,Date Created,2018-07-21 00:00:00.000
95072,Date Created,2018-06-26 00:00:00.000
3104,Date Created,2018-09-11 00:00:00.000
98997,Date Created,2018-07-06 00:00:00.000
53799,Date Created,2018-06-13 00:00:00.000
70733,Date Created,2018-05-04 00:00:00.000
17252,Date Created,2018-06-25 00:00:00.000
52892,Date Created,2018-08-02 00:00:00.000
69861,Date Created,2018-09-13 00:00:00.000
125305,Date Created,2018-10-25 00:00:00.000
102952,Date Created,2018-09-07 00:00:00.000
64738,Date Created,2018-09-05 00:00:00.000
124196,Date Created,2018-06-11 00:00:00.000
95818,Date Created,2018-07-29 00:00:00.000
90205,Date Created,2018-05-25 00:00:00.000
57814,Date Created,2018-11-02 00:00:00.000
24286,Date Created,2018-09-06 00:00:00.000
92426,Date Created,2018-06-11 00:00:00.000
60441,Date Created,2018-08-16 00:00:00.000
116043,Date Created,2018-08-29 00:00:00.000
73296,Date Created,2018-06-23 00:00:00.000
36741,Date Created,2018-11-17 00:00:00.000
121688,Date Created,2018-06-01 00:00:00.000
41499,Date Created,2018-07-11 00:00:00.000
123650,Date Created,2018-09-20 00:00:00.000
9310,Date Created,2018-10-02 00:00:00.000
125113,Date Created,2018-05-31 00:00:00.000
82137,Date Created,2018-07-23 00:00:00.000
106600,Date Created,2018-07-22 00:00:00.000
39804,Date Created,2018-08-31 00:00:00.000
32186,Date Created,2018-06-08 00:00:00.000
16625,Date Created,2018-10-12 00:00:00.000
104083,Date Created,2018-09-23 00:00:00.000
5110,Date Created,2018-10-27 00:00:00.000
120856,Date Created,2018-07-16 00:00:00.000
57628,Date Completed,2018-08-05 00:00:00.000
104145,Date Completed,2018-11-18 00:00:00.000
69841,Date Completed,2018-08-14 00:00:00.000
25156,Date Completed,2018-05-25 00:00:00.000
121502,Date Completed,2018-10-08 00:00:00.000
34213,Date Completed,2018-05-07 00:00:00.000
2035,Date Completed,2018-07-18 00:00:00.000
97667,Date Completed,2018-09-07 00:00:00.000
14795,Date Completed,2018-12-04 00:00:00.000
72719,Date Completed,2018-11-26 00:00:00.000
1568,Date Completed,2018-07-31 00:00:00.000
103417,Date Completed,2018-09-20 00:00:00.000
60660,Date Completed,2018-11-11 00:00:00.000
73791,Date Completed,2018-05-23 00:00:00.000
121625,Date Completed,2018-10-08 00:00:00.000
51567,Date Completed,2018-08-31 00:00:00.000
98519,Date Completed,2018-11-09 00:00:00.000
91260,Date Completed,2018-10-28 00:00:00.000
13565,Date Completed,2018-12-08 00:00:00.000
23654,Date Completed,2018-08-08 00:00:00.000
46471,Date Completed,2018-08-03 00:00:00.000
73871,Date Completed,2018-11-27 00:00:00.000
8263,Date Completed,2018-10-31 00:00:00.000
89404,Date Completed,2018-07-26 00:00:00.000
53121,Date Completed,2018-06-27 00:00:00.000
27072,Date Completed,2018-09-26 00:00:00.000
67702,Date Completed,2018-08-12 00:00:00.000
60812,Date Completed,2018-11-06 00:00:00.000
60043,Date Completed,2018-10-31 00:00:00.000
99184,Date Completed,2018-11-15 00:00:00.000
41511,Date Completed,2018-06-19 00:00:00.000
32495,Date Completed,2018-10-10 00:00:00.000
74600,Date Completed,2018-10-12 00:00:00.000
3352,Date Completed,2018-09-24 00:00:00.000
120400,Date Completed,2018-10-26 00:00:00.000
27530,Date Completed,2018-11-27 00:00:00.000
110012,Date Completed,2018-09-24 00:00:00.000
20157,Date Completed,2018-06-02 00:00:00.000
82354,Date Completed,2018-10-28 00:00:00.000
104436,Date Completed,2018-09-24 00:00:00.000
109417,Date Completed,2018-06-09 00:00:00.000
120232,Date Completed,2018-09-11 00:00:00.000
57441,Date Completed,2018-11-26 00:00:00.000
49309,Date Completed,2018-09-21 00:00:00.000
107889,Date Completed,2018-05-22 00:00:00.000
65465,Date Completed,2018-11-28 00:00:00.000
70936,Date Completed,2018-08-24 00:00:00.000
73313,Date Completed,2018-10-31 00:00:00.000
99419,Date Completed,2018-08-28 00:00:00.000
26517,Date Completed,2018-09-10 00:00:00.000
45702,Date Completed,2018-11-07 00:00:00.000
62588,Date Completed,2018-09-12 00:00:00.000
8409,Date Completed,2018-08-15 00:00:00.000
120000,Date Completed,2018-10-23 00:00:00.000
59841,Date Completed,2018-06-27 00:00:00.000
94097,Date Completed,2018-11-01 00:00:00.000
124323,Date Completed,2018-11-17 00:00:00.000
12911,Date Completed,2018-07-30 00:00:00.000
64699,Date Completed,2018-08-27 00:00:00.000
58102,Date Completed,2018-11-01 00:00:00.000
46864,Date Completed,2018-10-21 00:00:00.000
60763,Date Completed,2018-09-17 00:00:00.000
63070,Date Completed,2018-05-04 00:00:00.000
65827,Date Completed,2018-07-14 00:00:00.000
53602,Date Completed,2018-07-19 00:00:00.000
121857,Date Completed,2018-07-28 00:00:00.000
95072,Date Completed,2018-07-02 00:00:00.000
3104,Date Completed,2018-09-19 00:00:00.000
98997,Date Completed,2018-07-11 00:00:00.000
53799,Date Completed,2018-06-14 00:00:00.000
70733,Date Completed,2018-05-08 00:00:00.000
17252,Date Completed,2018-06-25 00:00:00.000
52892,Date Completed,2018-08-02 00:00:00.000
69861,Date Completed,2018-09-13 00:00:00.000
125305,Date Completed,2018-11-03 00:00:00.000
102952,Date Completed,2018-09-13 00:00:00.000
64738,Date Completed,2018-09-09 00:00:00.000
124196,Date Completed,2018-06-20 00:00:00.000
95818,Date Completed,2018-08-05 00:00:00.000
90205,Date Completed,2018-05-25 00:00:00.000
57814,Date Completed,2018-11-06 00:00:00.000
24286,Date Completed,2018-09-06 00:00:00.000
92426,Date Completed,2018-06-15 00:00:00.000
60441,Date Completed,2018-08-17 00:00:00.000
116043,Date Completed,2018-09-03 00:00:00.000
73296,Date Completed,2018-06-23 00:00:00.000
36741,Date Completed,2018-11-17 00:00:00.000
121688,Date Completed,2018-06-07 00:00:00.000
41499,Date Completed,2018-07-20 00:00:00.000
123650,Date Completed,2018-09-29 00:00:00.000
9310,Date Completed,2018-10-06 00:00:00.000
125113,Date Completed,2018-06-08 00:00:00.000
82137,Date Completed,2018-07-29 00:00:00.000
106600,Date Completed,2018-07-27 00:00:00.000
39804,Date Completed,2018-09-04 00:00:00.000
32186,Date Completed,2018-06-09 00:00:00.000
16625,Date Completed,2018-10-13 00:00:00.000
104083,Date Completed,2018-09-29 00:00:00.000
5110,Date Completed,2018-10-31 00:00:00.000
120856,Date Completed,2018-07-20 00:00:00.000
57628,Escalated,0
104145,Escalated,0
69841,Escalated,0
25156,Escalated,0
121502,Escalated,1
34213,Escalated,0
2035,Escalated,0
97667,Escalated,0
14795,Escalated,0
72719,Escalated,0
1568,Escalated,1
103417,Escalated,1
60660,Escalated,0
73791,Escalated,0
121625,Escalated,1
51567,Escalated,0
98519,Escalated,1
91260,Escalated,0
13565,Escalated,0
23654,Escalated,0
46471,Escalated,0
73871,Escalated,0
8263,Escalated,0
89404,Escalated,0
53121,Escalated,0
27072,Escalated,0
67702,Escalated,0
60812,Escalated,0
60043,Escalated,0
99184,Escalated,0
41511,Escalated,0
32495,Escalated,0
74600,Escalated,0
3352,Escalated,0
120400,Escalated,0
27530,Escalated,0
110012,Escalated,0
20157,Escalated,0
82354,Escalated,0
104436,Escalated,1
109417,Escalated,0
120232,Escalated,0
57441,Escalated,0
49309,Escalated,0
107889,Escalated,0
65465,Escalated,0
70936,Escalated,0
73313,Escalated,0
99419,Escalated,0
26517,Escalated,0
45702,Escalated,0
62588,Escalated,0
8409,Escalated,0
120000,Escalated,0
59841,Escalated,0
94097,Escalated,0
124323,Escalated,1
12911,Escalated,0
64699,Escalated,0
58102,Escalated,0
46864,Escalated,0
60763,Escalated,0
63070,Escalated,0
65827,Escalated,0
53602,Escalated,0
121857,Escalated,0
95072,Escalated,0
3104,Escalated,1
98997,Escalated,0
53799,Escalated,0
70733,Escalated,0
17252,Escalated,0
52892,Escalated,1
69861,Escalated,0
125305,Escalated,1
102952,Escalated,0
64738,Escalated,0
124196,Escalated,0
95818,Escalated,1
90205,Escalated,0
57814,Escalated,0
24286,Escalated,0
92426,Escalated,0
60441,Escalated,0
116043,Escalated,0
73296,Escalated,0
36741,Escalated,0
121688,Escalated,0
41499,Escalated,0
123650,Escalated,0
9310,Escalated,1
125113,Escalated,0
82137,Escalated,0
106600,Escalated,1
39804,Escalated,0
32186,Escalated,0
16625,Escalated,1
104083,Escalated,0
5110,Escalated,0
120856,Escalated,0
57628,Duration,4
104145,Duration,6
69841,Duration,0
25156,Duration,0
121502,Duration,6
34213,Duration,0
2035,Duration,4
97667,Duration,9
14795,Duration,4
72719,Duration,8
1568,Duration,1
103417,Duration,6
60660,Duration,1
73791,Duration,1
121625,Duration,9
51567,Duration,3
98519,Duration,9
91260,Duration,1
13565,Duration,7
23654,Duration,9
46471,Duration,0
73871,Duration,6
8263,Duration,3
89404,Duration,1
53121,Duration,0
27072,Duration,3
67702,Duration,2
60812,Duration,3
60043,Duration,3
99184,Duration,5
41511,Duration,4
32495,Duration,2
74600,Duration,1
3352,Duration,2
120400,Duration,5
27530,Duration,1
110012,Duration,6
20157,Duration,3
82354,Duration,2
104436,Duration,3
109417,Duration,6
120232,Duration,5
57441,Duration,0
49309,Duration,4
107889,Duration,2
65465,Duration,4
70936,Duration,1
73313,Duration,9
99419,Duration,9
26517,Duration,4
45702,Duration,0
62588,Duration,1
8409,Duration,1
120000,Duration,9
59841,Duration,1
94097,Duration,7
124323,Duration,9
12911,Duration,4
64699,Duration,5
58102,Duration,0
46864,Duration,0
60763,Duration,1
63070,Duration,3
65827,Duration,5
53602,Duration,4
121857,Duration,7
95072,Duration,6
3104,Duration,8
98997,Duration,5
53799,Duration,1
70733,Duration,4
17252,Duration,0
52892,Duration,0
69861,Duration,0
125305,Duration,9
102952,Duration,6
64738,Duration,4
124196,Duration,9
95818,Duration,7
90205,Duration,0
57814,Duration,4
24286,Duration,0
92426,Duration,4
60441,Duration,1
116043,Duration,5
73296,Duration,0
36741,Duration,0
121688,Duration,6
41499,Duration,9
123650,Duration,9
9310,Duration,4
125113,Duration,8
82137,Duration,6
106600,Duration,5
39804,Duration,4
32186,Duration,1
16625,Duration,1
104083,Duration,6
5110,Duration,4
120856,Duration,4
