ticket_nmbr,STATUS,change_date,TIME_IN_STATUS_HRS
"IN10233254","RESOLVED","",0
"IN10233487","RESOLVED","",0
"IN10233636","RESOLVED","",0
"IN10234024","RESOLVED","",0
"IN10234141","RESOLVED","",0
"IN10234487","RESOLVED","",0
"IN10234583","RESOLVED","",0
"IN10234938","RESOLVED","",0
"IN10234956","RESOLVED","",0
"IN10235656","RESOLVED","",0
"IN10235667","RESOLVED","",0
"IN10235669","RESOLVED","",0
"IN10235818","RESOLVED","",0
"IN10235841","RESOLVED","",0
"IN10235895","RESOLVED","",0
"IN10236105","RESOLVED","",0
"IN10236125","RESOLVED","",0
"IN10236191","RESOLVED","",0
"IN10236206","RESOLVED","",0
"IN10236218","RESOLVED","",0
"IN10236377","RESOLVED","",0
"IN10236441","RESOLVED","",0
"IN10236504","RESOLVED","",0
"IN10236640","RESOLVED","",0
"IN10236718","RESOLVED","",0
"IN10236744","RESOLVED","",0
"IN10236810","RESOLVED","",0
"IN10236890","RESOLVED","",0
"IN10237092","RESOLVED","",0
"IN10237099","RESOLVED","",0
"IN10237219","RESOLVED","",0
"IN10237261","RESOLVED","",0
"IN10237726","RESOLVED","",0
"IN10237794","RESOLVED","",0
"IN10237879","RESOLVED","",0
"IN10237999","RESOLVED","",0
"IN10238413","RESOLVED","",0
"IN10238671","RESOLVED","",0
"IN10238731","RESOLVED","",0
"IN10238807","RESOLVED","",0
"IN10238891","RESOLVED","",0
"IN10238951","RESOLVED","",0
"IN10238995","RESOLVED","",0
"IN10239112","RESOLVED","",0
"IN10239460","RESOLVED","",0
"IN10239495","RESOLVED","",0
"IN10239522","RESOLVED","",0
"IN10239525","RESOLVED","",0
"IN10239603","RESOLVED","",0
"IN10239695","RESOLVED","",0
"IN10240025","RESOLVED","",0
"IN10240148","RESOLVED","",0
"IN10240376","RESOLVED","",0
"IN10240415","RESOLVED","",0
"IN10240468","RESOLVED","",0
"IN10240565","RESOLVED","",0
"IN10240578","RESOLVED","",0
"IN10240652","RESOLVED","",0
"IN10240782","RESOLVED","",0
"IN10241022","RESOLVED","",0
"IN10241256","RESOLVED","",0
"IN10241512","RESOLVED","",0
"IN10241800","RESOLVED","",0
"IN10241980","RESOLVED","",0
"IN10242004","RESOLVED","",0
"IN10242034","RESOLVED","",0
"IN10242082","RESOLVED","",0
"IN10242287","RESOLVED","",0
"IN10242290","RESOLVED","",0
"IN10242693","RESOLVED","",0
"IN10243007","RESOLVED","",0
"IN10243054","RESOLVED","",0
"IN10243134","RESOLVED","",0
"IN10243256","RESOLVED","",0
"IN10243305","RESOLVED","",0
"IN10243333","RESOLVED","",0
"IN10243815","RESOLVED","",0
"IN10243967","RESOLVED","",0
"IN10244008","RESOLVED","",0
"IN10244020","RESOLVED","",0
"IN10244121","RESOLVED","",0
"IN10244246","RESOLVED","",0
"IN10244297","RESOLVED","",0
"IN10244448","RESOLVED","",0
"IN10244659","RESOLVED","",0
"IN10244762","RESOLVED","",0
"IN10245111","RESOLVED","",0
"IN10245333","RESOLVED","",0
"IN10245459","RESOLVED","",0
"IN10245470","RESOLVED","",0
"IN10245557","RESOLVED","",0
"IN10245680","RESOLVED","",0
"IN10245807","RESOLVED","",0
"IN10245823","RESOLVED","",0
"IN10245917","RESOLVED","",0
"IN10245922","RESOLVED","",0
"IN10245962","RESOLVED","",0
"IN10246042","RESOLVED","",0
"IN10246047","RESOLVED","",0
"IN10246057","RESOLVED","",0
"IN10246070","RESOLVED","",0
"IN10246111","RESOLVED","",0
"IN10246672","RESOLVED","",0
"IN10247086","RESOLVED","",0
"IN10247138","RESOLVED","",0
"IN10247172","RESOLVED","",0
"IN10247272","RESOLVED","",0
"IN10247305","RESOLVED","",0
"IN10247536","RESOLVED","",0
"IN10247567","RESOLVED","",0
"IN10247629","RESOLVED","",0
"IN10247657","RESOLVED","",0
"IN10247709","RESOLVED","",0
"IN10247738","RESOLVED","",0
"IN10247741","RESOLVED","",0
"IN10247789","RESOLVED","",0
"IN10247830","RESOLVED","",0
"IN10247889","RESOLVED","",0
"IN10247906","RESOLVED","",0
"IN10247955","RESOLVED","",0
"IN10248169","RESOLVED","",0
"IN10248195","RESOLVED","",0
"IN10248291","RESOLVED","",0
"IN10248330","RESOLVED","",0
"IN10248478","RESOLVED","",0
"IN10248509","RESOLVED","",0
"IN10248517","RESOLVED","",0
"IN10248518","RESOLVED","",0
"IN10248564","RESOLVED","",0
"IN10248611","RESOLVED","",0
"IN10248769","RESOLVED","",0
"IN10248794","RESOLVED","",0
"IN10248801","RESOLVED","",0
"IN10248891","RESOLVED","",0
"IN10248918","RESOLVED","",0
"IN10249062","RESOLVED","",0
"IN10249343","RESOLVED","",0
"IN10249499","RESOLVED","",0
"IN10249677","RESOLVED","",0
"IN10249699","RESOLVED","",0
"IN10249714","RESOLVED","",0
"IN10249871","RESOLVED","",0
"IN10249879","RESOLVED","",0
"IN10249899","RESOLVED","",0
"IN10249905","RESOLVED","",0
"IN10249938","RESOLVED","",0
"IN10249985","RESOLVED","",0
"IN10249990","RESOLVED","",0
"IN10250392","RESOLVED","",0
"IN10250463","RESOLVED","",0
"IN10250497","RESOLVED","",0
"IN10250558","RESOLVED","",0
"IN10250568","RESOLVED","",0
"IN10250628","RESOLVED","",0
"IN10250640","RESOLVED","",0
"IN10250713","RESOLVED","",0
"IN10250784","RESOLVED","",0
"IN10250897","RESOLVED","",0
"IN10250910","RESOLVED","",0
"IN10250938","RESOLVED","",0
"IN10250984","RESOLVED","",0
"IN10251146","RESOLVED","",0
"IN10251205","RESOLVED","",0
"IN10251212","RESOLVED","",0
"IN10251343","RESOLVED","",0
"IN10251615","RESOLVED","",0
"IN10251679","RESOLVED","",0
"IN10251741","RESOLVED","",0
"IN10251834","RESOLVED","",0
"IN10251846","RESOLVED","",0
"IN10251879","RESOLVED","",0
"IN10251879","RESOLVED","",0
"IN10251885","RESOLVED","",0
"IN10251890","RESOLVED","",0
"IN10252042","RESOLVED","",0
"IN10252118","RESOLVED","",0
"IN10252146","RESOLVED","",0
"IN10252173","RESOLVED","",0
"IN10252257","RESOLVED","",0
"IN10252309","RESOLVED","",0
"IN10252330","RESOLVED","",0
"IN10252334","RESOLVED","",0
"IN10252407","RESOLVED","",0
"IN10252444","RESOLVED","",0
"IN10252493","RESOLVED","",0
"IN10252567","RESOLVED","",0
"IN10252628","RESOLVED","",0
"IN10252646","RESOLVED","",0
"IN10252665","RESOLVED","",0
"IN10252687","RESOLVED","",0
"IN10252688","RESOLVED","",0
"IN10252689","RESOLVED","",0
"IN10252793","RESOLVED","",0
"IN10252828","RESOLVED","",0
"IN10252843","RESOLVED","",0
"IN10252899","RESOLVED","",0
"IN10252904","RESOLVED","",0
"IN10252906","RESOLVED","",0
"IN10252960","RESOLVED","",0
"IN10253042","RESOLVED","",0
"IN10253089","RESOLVED","",0
"IN10253128","RESOLVED","",0
"IN10253176","RESOLVED","",0
"IN10253178","RESOLVED","",0
"IN10253199","RESOLVED","",0
"IN10253324","RESOLVED","",0
"IN10253347","RESOLVED","",0
"IN10253370","RESOLVED","",0
"IN10253376","RESOLVED","",0
"IN10253394","RESOLVED","",0
"IN10253457","RESOLVED","",0
"IN10253586","RESOLVED","",0
"IN10253596","RESOLVED","",0
"IN10253623","RESOLVED","",0
"IN10253676","RESOLVED","",0
"IN10253709","RESOLVED","",0
"IN10253805","RESOLVED","",0
"IN10253825","RESOLVED","",0
"IN10253839","RESOLVED","",0
"IN10253898","RESOLVED","",0
"IN10253927","RESOLVED","",0
"IN10253943","RESOLVED","",0
"IN10253949","RESOLVED","",0
"IN10253957","RESOLVED","",0
"IN10254010","RESOLVED","",0
"IN10254047","RESOLVED","",0
"IN10254063","RESOLVED","",0
"IN10254066","RESOLVED","",0
"IN10254159","RESOLVED","",0
"IN10254192","RESOLVED","",0
"IN10254217","RESOLVED","",0
"IN10254251","RESOLVED","",0
"IN10254281","RESOLVED","",0
"IN10254366","RESOLVED","",0
"IN10254446","RESOLVED","",0
"IN10254458","RESOLVED","",0
"IN10254617","RESOLVED","",0
"IN10254621","RESOLVED","",0
"IN10254622","RESOLVED","",0
"IN10254701","RESOLVED","",0
"IN10254746","RESOLVED","",0
"IN10254763","RESOLVED","",0
"IN10254777","RESOLVED","",0
"IN10254836","RESOLVED","",0
"IN10254857","RESOLVED","",0
"IN10254921","RESOLVED","",0
"IN10254930","RESOLVED","",0
"IN10254934","RESOLVED","",0
"IN10254947","RESOLVED","",0
"IN10255023","RESOLVED","",0
"IN10255033","RESOLVED","",0
"IN10255047","RESOLVED","",0
"IN10255062","RESOLVED","",0
"IN10255086","RESOLVED","",0
"IN10255088","RESOLVED","",0
"IN10255091","RESOLVED","",0
"IN10255098","RESOLVED","",0
"IN10255139","RESOLVED","",0
"IN10255159","RESOLVED","",0
"IN10255196","RESOLVED","",0
"IN10255213","RESOLVED","",0
"IN10255313","RESOLVED","",0
"IN10255316","RESOLVED","",0
"IN10255424","RESOLVED","",0
"IN10255429","RESOLVED","",0
"IN10255522","RESOLVED","",0
"IN10255609","RESOLVED","",0
"IN10255612","RESOLVED","",0
"IN10255635","RESOLVED","",0
"IN10255641","RESOLVED","",0
"IN10255655","RESOLVED","",0
"IN10255659","RESOLVED","",0
"IN10255673","RESOLVED","",0
"IN10255880","RESOLVED","",0
"IN10255883","RESOLVED","",0
"IN10255937","RESOLVED","",0
"IN10255968","RESOLVED","",0
"IN10255992","RESOLVED","",0
"IN10256044","RESOLVED","",0
"IN10256156","RESOLVED","",0
"IN10256161","RESOLVED","",0
"IN10256229","RESOLVED","",0
"IN10256243","RESOLVED","",0
"IN10256266","RESOLVED","",0
"IN10256275","RESOLVED","",0
"IN10256353","RESOLVED","",0
"IN10256433","RESOLVED","",0
"IN10256435","RESOLVED","",0
"IN10256445","RESOLVED","",0
"IN10256476","RESOLVED","",0
"IN10256480","RESOLVED","",0
"IN10256483","RESOLVED","",0
"IN10256494","RESOLVED","",0
"IN10256503","RESOLVED","",0
"IN10256506","RESOLVED","",0
"IN10256528","RESOLVED","",0
"IN10256549","RESOLVED","",0
"IN10256676","RESOLVED","",0
"IN10256713","RESOLVED","",0
"IN10256728","RESOLVED","",0
"IN10256757","RESOLVED","",0
"IN10256762","RESOLVED","",0
"IN10256796","RESOLVED","",0
"IN10256797","RESOLVED","",0
"IN10256802","RESOLVED","",0
"IN10256832","RESOLVED","",0
"IN10256864","RESOLVED","",0
"IN10256896","RESOLVED","",0
"IN10256968","RESOLVED","",0
"IN10257113","RESOLVED","",0
"IN10257141","RESOLVED","",0
"IN10257143","RESOLVED","",0
"IN10257160","RESOLVED","",0
"IN10257163","RESOLVED","",0
"IN10257233","RESOLVED","",0
"IN10257242","RESOLVED","",0
"IN10257244","RESOLVED","",0
"IN10257247","RESOLVED","",0
"IN10257261","RESOLVED","",0
"IN10257284","RESOLVED","",0
"IN10257295","RESOLVED","",0
"IN10257320","RESOLVED","",0
"IN10257435","RESOLVED","",0
"IN10257442","RESOLVED","",0
"IN10257449","RESOLVED","",0
"IN10257454","RESOLVED","",0
"IN10257456","RESOLVED","",0
"IN10257469","RESOLVED","",0
"IN10257474","RESOLVED","",0
"IN10257475","RESOLVED","",0
"IN10257492","RESOLVED","",0
"IN10257495","RESOLVED","",0
"IN10257534","RESOLVED","",0
"IN10257540","RESOLVED","",0
"IN10257669","RESOLVED","",0
"IN10257686","RESOLVED","",0
"IN10257690","RESOLVED","",0
"IN10257736","RESOLVED","",0
"IN10257773","RESOLVED","",0
"IN10257782","RESOLVED","",0
"IN10257864","RESOLVED","",0
"IN10257866","RESOLVED","",0
"IN10257937","RESOLVED","",0
"IN10257940","RESOLVED","",0
"IN10257960","RESOLVED","",0
"IN10258007","RESOLVED","",0
"IN10258073","RESOLVED","",0
"IN10258183","RESOLVED","",0
"IN10258240","RESOLVED","",0
"IN10258337","RESOLVED","",0
"IN10258361","RESOLVED","",0
"IN10258366","RESOLVED","",0
"IN10258377","RESOLVED","",0
"IN10258394","RESOLVED","",0
"IN10258401","RESOLVED","",0
"IN10258426","RESOLVED","",0
"IN10258434","RESOLVED","",0
"IN10258491","RESOLVED","",0
"IN10258493","RESOLVED","",0
"IN10258511","RESOLVED","",0
"IN10258514","RESOLVED","",0
"IN10258528","RESOLVED","",0
"IN10258544","RESOLVED","",0
"IN10258598","RESOLVED","",0
"IN10258700","RESOLVED","",0
"IN10258710","RESOLVED","",0
"IN10258716","RESOLVED","",0
"IN10258726","RESOLVED","",0
"IN10258733","RESOLVED","",0
"IN10258757","RESOLVED","",0
"IN10258766","RESOLVED","",0
"IN10258781","RESOLVED","",0
"IN10258821","RESOLVED","",0
"IN10258850","RESOLVED","",0
"IN10258885","RESOLVED","",0
"IN10258897","RESOLVED","",0
"IN10258900","RESOLVED","",0
"IN10258921","RESOLVED","",0
"IN10258926","RESOLVED","",0
"IN10258931","RESOLVED","",0
"IN10258943","RESOLVED","",0
"IN10258972","RESOLVED","",0
"IN10258998","RESOLVED","",0
"IN10259015","RESOLVED","",0
"IN10259057","RESOLVED","",0
"IN10259060","RESOLVED","",0
"IN10259064","RESOLVED","",0
"IN10259065","RESOLVED","",0
"IN10259134","RESOLVED","",0
"IN10259140","RESOLVED","",0
"IN10259156","RESOLVED","",0
"IN10259208","RESOLVED","",0
"IN10259212","RESOLVED","",0
"IN10259217","RESOLVED","",0
"IN10259262","RESOLVED","",0
"IN10259291","RESOLVED","",0
"IN10259330","RESOLVED","",0
"IN10259369","RESOLVED","",0
"IN10259390","RESOLVED","",0
"IN10259424","RESOLVED","",0
"IN10259444","RESOLVED","",0
"IN10259458","RESOLVED","",0
"IN10259476","RESOLVED","",0
"IN10259478","RESOLVED","",0
"IN10259641","RESOLVED","",0
"IN10259742","RESOLVED","",0
"IN10259857","RESOLVED","",0
"IN10259885","RESOLVED","",0
"IN10259895","RESOLVED","",0
"IN10259906","RESOLVED","",0
"IN10259947","RESOLVED","",0
"IN10260000","RESOLVED","",0
"IN10260003","RESOLVED","",0
"IN10260022","RESOLVED","",0
"IN10260038","RESOLVED","",0
"IN10260072","RESOLVED","",0
"IN10260115","RESOLVED","",0
"IN10260125","RESOLVED","",0
"IN10260140","RESOLVED","",0
"IN10260144","RESOLVED","",0
"IN10260232","RESOLVED","",0
"IN10260249","RESOLVED","",0
"IN10260271","RESOLVED","",0
"IN10260274","RESOLVED","",0
"IN10260286","RESOLVED","",0
"IN10260304","RESOLVED","",0
"IN10260313","RESOLVED","",0
"IN10260323","RESOLVED","",0
"IN10260328","RESOLVED","",0
"IN10260331","RESOLVED","",0
"IN10260332","RESOLVED","",0
"IN10260385","RESOLVED","",0
"IN10260423","RESOLVED","",0
"IN10260424","RESOLVED","",0
"IN10260434","RESOLVED","",0
"IN10260448","RESOLVED","",0
"IN10260458","RESOLVED","",0
"IN10260488","RESOLVED","",0
"IN10260505","RESOLVED","",0
"IN10260511","RESOLVED","",0
"IN10260515","RESOLVED","",0
"IN10260532","RESOLVED","",0
"IN10260539","RESOLVED","",0
"IN10260541","RESOLVED","",0
"IN10260557","RESOLVED","",0
"IN10260561","RESOLVED","",0
"IN10260595","RESOLVED","",0
"IN10260604","RESOLVED","",0
"IN10260607","RESOLVED","",0
"IN10260608","RESOLVED","",0
"IN10260610","RESOLVED","",0
"IN10260621","RESOLVED","",0
"IN10260636","RESOLVED","",0
"IN10260641","RESOLVED","",0
"IN10260646","RESOLVED","",0
"IN10260647","RESOLVED","",0
"IN10260661","RESOLVED","",0
"IN10260692","RESOLVED","",0
"IN10260697","RESOLVED","",0
"IN10260711","RESOLVED","",0
"IN10260721","RESOLVED","",0
"IN10260738","RESOLVED","",0
"IN10260742","RESOLVED","",0
"IN10260781","RESOLVED","",0
"IN10260807","RESOLVED","",0
"IN10260808","RESOLVED","",0
"IN10260828","RESOLVED","",0
"IN10260843","RESOLVED","",0
"IN10260846","RESOLVED","",0
"IN10260862","RESOLVED","",0
"IN10260945","RESOLVED","",0
"IN10261046","RESOLVED","",0
"IN10261054","RESOLVED","",0
"IN10261073","RESOLVED","",0
"IN10261082","RESOLVED","",0
"IN10261099","RESOLVED","",0
"IN10261107","RESOLVED","",0
"IN10261112","RESOLVED","",0
"IN10261135","RESOLVED","",0
"IN10261136","RESOLVED","",0
"IN10261152","RESOLVED","",0
"IN10261154","RESOLVED","",0
"IN10261156","RESOLVED","",0
"IN10261203","RESOLVED","",0
"IN10261234","RESOLVED","",0
"IN10261241","RESOLVED","",0
"IN10261244","RESOLVED","",0
"IN10261252","RESOLVED","",0
"IN10261338","RESOLVED","",0
"IN10261366","RESOLVED","",0
"IN10261389","RESOLVED","",0
"IN10261398","RESOLVED","",0
"IN10261441","RESOLVED","",0
"IN10261445","RESOLVED","",0
"IN10261448","RESOLVED","",0
"IN10261449","RESOLVED","",0
"IN10261571","RESOLVED","",0
"IN10261601","RESOLVED","",0
"IN10261637","RESOLVED","",0
"IN10261676","RESOLVED","",0
"IN10261682","RESOLVED","",0
"IN10261695","RESOLVED","",0
"IN10261766","RESOLVED","",0
"IN10261767","RESOLVED","",0
"IN10261787","RESOLVED","",0
"IN10261788","RESOLVED","",0
"IN10261800","RESOLVED","",0
"IN10261801","RESOLVED","",0
"IN10261819","RESOLVED","",0
"IN10261822","RESOLVED","",0
"IN10261826","RESOLVED","",0
"IN10261833","RESOLVED","",0
"IN10261846","RESOLVED","",0
"IN10261861","RESOLVED","",0
"IN10261866","RESOLVED","",0
"IN10261872","RESOLVED","",0
"IN10261880","RESOLVED","",0
"IN10261931","RESOLVED","",0
"IN10261966","RESOLVED","",0
"IN10261970","RESOLVED","",0
"IN10261986","RESOLVED","",0
"IN10261999","RESOLVED","",0
"IN10262000","RESOLVED","",0
"IN10262002","RESOLVED","",0
"IN10262071","RESOLVED","",0
"IN10262075","RESOLVED","",0
"IN10262117","RESOLVED","",0
"IN10262149","RESOLVED","",0
"IN10262173","RESOLVED","",0
"IN10262192","RESOLVED","",0
"IN10262205","RESOLVED","",0
"IN10262240","RESOLVED","",0
"IN10262357","RESOLVED","",0
"IN10262376","RESOLVED","",0
"IN10262418","RESOLVED","",0
"IN10262430","RESOLVED","",0
"IN10262442","RESOLVED","",0
"IN10262454","RESOLVED","",0
"IN10262456","RESOLVED","",0
"IN10262505","RESOLVED","",0
"IN10262510","RESOLVED","",0
"IN10262566","RESOLVED","",0
"IN10262567","RESOLVED","",0
"IN10262656","RESOLVED","",0
"IN10262667","RESOLVED","",0
"IN10262679","RESOLVED","",0
"IN10262710","RESOLVED","",0
"IN10262720","RESOLVED","",0
"IN10262749","RESOLVED","",0
"IN10262755","RESOLVED","",0
"IN10262757","RESOLVED","",0
"IN10262766","RESOLVED","",0
"IN10262776","RESOLVED","",0
"IN10262779","RESOLVED","",0
"IN10262780","RESOLVED","",0
"IN10262787","RESOLVED","",0
"IN10262788","RESOLVED","",0
"IN10262802","RESOLVED","",0
"IN10262806","RESOLVED","",0
"IN10262818","RESOLVED","",0
"IN10262826","RESOLVED","",0
"IN10262839","RESOLVED","",0
"IN10262844","RESOLVED","",0
"IN10262858","RESOLVED","",0
"IN10262870","RESOLVED","",0
"IN10262885","RESOLVED","",0
"IN10262905","RESOLVED","",0
"IN10262914","RESOLVED","",0
"IN10262941","RESOLVED","",0
"IN10262969","RESOLVED","",0
"IN10262971","RESOLVED","",0
"IN10262972","RESOLVED","",0
"IN10262977","RESOLVED","",0
"IN10262979","RESOLVED","",0
"IN10262982","RESOLVED","",0
"IN10262992","RESOLVED","",0
"IN10262993","RESOLVED","",0
"IN10263098","RESOLVED","",0
"IN10263100","RESOLVED","",0
"IN10263113","RESOLVED","",0
"IN10263134","RESOLVED","",0
"IN10263147","RESOLVED","",0
"IN10263163","RESOLVED","",0
"IN10263175","RESOLVED","",0
"IN10263179","RESOLVED","",0
"IN10263188","RESOLVED","",0
"IN10263201","RESOLVED","",0
"IN10263204","RESOLVED","",0
"IN10263216","RESOLVED","",0
"IN10263219","RESOLVED","",0
"IN10263254","RESOLVED","",0
"IN10263277","RESOLVED","",0
"IN10263281","RESOLVED","",0
"IN10263283","RESOLVED","",0
"IN10263320","RESOLVED","",0
"IN10263333","RESOLVED","",0
"IN10263334","RESOLVED","",0
"IN10263352","RESOLVED","",0
"IN10263360","RESOLVED","",0
"IN10263375","RESOLVED","",0
"IN10263386","RESOLVED","",0
"IN10263389","RESOLVED","",0
"IN10263429","RESOLVED","",0
"IN10263434","RESOLVED","",0
"IN10263637","RESOLVED","",0
"IN10263647","RESOLVED","",0
"IN10263672","RESOLVED","",0
"IN10263679","RESOLVED","",0
"IN10263713","RESOLVED","",0
"IN10263717","RESOLVED","",0
"IN10263743","RESOLVED","",0
"IN10263771","RESOLVED","",0
"IN10263813","RESOLVED","",0
"IN10263860","RESOLVED","",0
"IN10263861","RESOLVED","",0
"IN10263865","RESOLVED","",0
"IN10263888","RESOLVED","",0
"IN10263889","RESOLVED","",0
"IN10263894","RESOLVED","",0
"IN10263907","RESOLVED","",0
"IN10263920","RESOLVED","",0
"IN10263923","RESOLVED","",0
"IN10263932","RESOLVED","",0
"IN10263933","RESOLVED","",0
"IN10263955","RESOLVED","",0
"IN10263960","RESOLVED","",0
"IN10263979","RESOLVED","",0
"IN10263986","RESOLVED","",0
"IN10263987","RESOLVED","",0
"IN10263990","RESOLVED","",0
"IN10263991","RESOLVED","",0
"IN10263996","RESOLVED","",0
"IN10264017","RESOLVED","",0
"IN10264040","RESOLVED","",0
"IN10264400","RESOLVED","",0
"IN10264572","RESOLVED","",0
"IN10264577","RESOLVED","",0
"IN10264677","RESOLVED","",0
"IN10265087","RESOLVED","",0
"IN10265205","RESOLVED","",0
"IN10265418","RESOLVED","",0
"IN10265429","RESOLVED","",0
"IN10265511","RESOLVED","",0
"IN10265611","RESOLVED","",0
"IN10265752","RESOLVED","",0
"IN10265969","RESOLVED","",0
"IN10265970","RESOLVED","",0
"IN10265972","RESOLVED","",0
"IN10265982","RESOLVED","",0
"IN10265983","RESOLVED","",0
"IN10266005","RESOLVED","",0
"IN10266011","RESOLVED","",0
"IN10266046","RESOLVED","",0
"IN10266050","RESOLVED","",0
"IN10266072","RESOLVED","",0
"IN10266097","RESOLVED","",0
"IN10266134","RESOLVED","",0
"IN10266156","RESOLVED","",0
"IN10266157","RESOLVED","",0
"IN10266185","RESOLVED","",0
"IN10266187","RESOLVED","",0
"IN10266197","RESOLVED","",0
"IN10266198","RESOLVED","",0
"IN10266202","RESOLVED","",0
"IN10266212","RESOLVED","",0
"IN10266218","RESOLVED","",0
"IN10266219","RESOLVED","",0
"IN10266224","RESOLVED","",0
"IN10266230","RESOLVED","",0
"IN10266238","RESOLVED","",0
"IN10266270","RESOLVED","",0
"IN10266308","RESOLVED","",0
"IN10266309","RESOLVED","",0
"IN10266312","RESOLVED","",0
"IN10266335","RESOLVED","",0
"IN10266348","RESOLVED","",0
"IN10266368","RESOLVED","",0
"IN10266384","RESOLVED","",0
"IN10266410","RESOLVED","",0
"IN10266417","RESOLVED","",0
"IN10266420","RESOLVED","",0
"IN10266421","RESOLVED","",0
"IN10266424","RESOLVED","",0
"IN10266446","RESOLVED","",0
"IN10266452","RESOLVED","",0
"IN10266467","RESOLVED","",0
"IN10266468","RESOLVED","",0
"IN10266470","RESOLVED","",0
"IN10266474","RESOLVED","",0
"IN10266507","RESOLVED","",0
"IN10266529","RESOLVED","",0
"IN10266531","RESOLVED","",0
"IN10266534","RESOLVED","",0
"IN10266550","RESOLVED","",0
"IN10266551","RESOLVED","",0
"IN10266562","RESOLVED","",0
"IN10266602","RESOLVED","",0
"IN10266603","RESOLVED","",0
"IN10266606","RESOLVED","",0
"IN10266614","RESOLVED","",0
"IN10266619","RESOLVED","",0
"IN10266632","RESOLVED","",0
"IN10266633","RESOLVED","",0
"IN10266638","RESOLVED","",0
"IN10266652","RESOLVED","",0
"IN10266662","RESOLVED","",0
