show all]  vte  COVID-19 pandemic by locations (2)[Location[b],show all]  vte  COVID-19 pandemic by locations (2)[Location[b]_1,show all]  vte  COVID-19 pandemic by locations (2)[Cases[a],show all]  vte  COVID-19 pandemic by locations (2)[Deaths[c],show all]  vte  COVID-19 pandemic by locations (2)[Recov.[d],show all]  vte  COVID-19 pandemic by locations (2)[Ref.
"","Mali",2404,121,"1,650","[155]"
"","Puerto Rico",2811,167,"840","[156][157]"
"","Malawi",2430,39,"747","[158]"
"","Lebanon",2082,36,"1,402","[159]"
"","Congo[ah]",2028,47,"589","[160][161]"
"","South Sudan",2021,38,"333","[162][163]"
"","Estonia",2014,69,"1,895","[164]"
"","Zambia",1895,42,"1,348","[165][166]"
"","Slovakia",1893,28,"1,493","[167]"
"","Iceland",1886,10,"1,859","[168]"
"","Lithuania",1861,79,"1,569","[169]"
"","Guinea-Bissau",1842,26,"773","[170]"
"","Slovenia",1803,111,"1,384","[171][172]"
"","Sierra Leone",1642,63,"1,175","[173][174]"
"","Cape Verde",1591,19,"732","[175]"
"","Hong Kong",1522,8,"1,217","[176]"
"","Yemen",1380,364,"630","[177]"
"","Libya",1342,38,"307","[178][179]"
"","Donetsk PR[ai]",1336,79,"601","[180]"
"","Benin",1285,23,"333","[181]"
"","Eswatini",1257,13,"633","[182]"
"","Rwanda",1252,3,"635","[183][184]"
"","Tunisia",1240,50,"1,067","[185]"
"","New Zealand",1193,22,"1,147","[186]"
"","Jordan",1173,10,"986","[187]"
"","Latvia",1173,30,"1,019","[77][188]"
"","Mozambique",1111,9,"344","[189]"
"","USS Theodore Roosevelt[aj]",1102,1,"751","[190][191]"
"","Niger",1099,68,"978","[192]"
"","Charles de Gaulle[ak]",1081,0,"0","[193]"
"","Burkina Faso",1020,53,"862","[197][198]"
"","Montenegro",1164,23,"325","[199]"
"","Cyprus[al]",1013,19,"839","[200]"
"","Uganda",1006,0,"938","[201][202]"
"","Uruguay[am]",985,29,"886","[203]"
"","Georgia[an]",981,15,"851","[204]"
"","Liberia",963,47,"400","[205]"
"","Zimbabwe",942,13,"320","[206][207]"
"","Chad",874,74,"789","[208]"
"","Namibia",861,1,"28","[209][210]"
"","Andorra",855,52,"803","[211]"
"","Suriname",780,18,"526","[212]"
"","Jamaica",753,10,"603","[213][214]"
"","São Tomé and Príncipe",727,14,"284","[215]"
"","Diamond Princess[w]",712,14,"653","[216][217]"
"","Togo",710,15,"494","[218]"
"","San Marino",699,42,"656","[219]"
"","Malta",674,9,"658","[220]"
"","Somaliland[ao]",560,27,"176","[221]"
"","Luhansk PR[ai]",555,13,"472","[222]"
"","Angola",458,23,"117","[223]"
"","Taiwan[ap]",451,7,"438","[225]"
"","Botswana[aq]",399,1,"38","[227]"
"","Syria[ar]",394,16,"126","[228]"
"","Vietnam",370,0,"350","[229]"
"","Mauritius",342,10,"330","[230]"
"","Isle of Man[as]",336,24,"312","[231]"
"","Myanmar",326,6,"256","[232]"
"","Jersey",325,15,"304","[233]"
"","Comoros",317,7,"296","[234]"
"","Guam[aj]",310,5,"202","[13][235]"
"","Guyana",300,17,"155","[236]"
"","Burundi",269,1,"207","[237]"
"","Guernsey",252,13,"238","[238]"
"","Lesotho",245,3,"33","[239][240]"
"","Mongolia",227,0,"195","[241]"
"","Eritrea",215,0,"56","[242]"
"","Cayman Islands",201,1,"194","[243]"
"","Faroe Islands",188,0,"188","[244]"
"","Gibraltar",179,0,"176","[245]"
"","Cambodia",165,0,"133","[246]"
"","Bermuda",150,9,"137","[247]"
"","Costa Atlantica",148,0,"148","[248][249]"
"","U.S. Virgin Islands",144,6,"81","[250]"
"","Artsakh[at]",142,0,"113","[251]"
"","Brunei",141,3,"138","[252][253]"
"","Trinidad and Tobago",133,8,"117","[254]"
"","Greg Mortimer[am]",128,1,"No data","[255][256]"
"","Northern Cyprus[au]",113,4,"104","[257]"
"","Bahamas",108,11,"89","[258]"
"","Monaco",108,4,"95","[259]"
"","Aruba",105,3,"99","[260]"
"","Seychelles",100,0,"11","[261]"
"","Barbados",98,7,"90","[262]"
"","South Ossetia[av]",87,0,"85","[251]"
"","Bhutan",84,0,"78","[263]"
"","Liechtenstein",84,1,"81","[264][265]"
"","Sint Maarten",78,15,"63","[266]"
"","Antigua and Barbuda",74,3,"57","[267]"
"","Turks and Caicos Islands",72,2,"12","[268]"
"","The Gambia",64,3,"34","[269]"
"","French Polynesia",62,0,"60","[270]"
"","Macau",46,0,"45","[271]"
"","Abkhazia[aw]",38,1,"35","[251]"
"","Belize",37,2,"20","[272]"
"","Saint Vincent[ax]",35,6,"29","[273][274][275]"
"","Northern Mariana Islands",30,2,"19","[276]"
"","Fiji",26,0,"18","[277]"
"","Curaçao",25,1,"24","[278]"
"","East Timor",24,0,"24","[279]"
"","Grenada",23,0,"23","[280][281]"
"","Saint Lucia",22,0,"19","[282][283]"
"","New Caledonia",21,0,"21","[284]"
"","Laos",19,0,"19","[285]"
"","Dominica",18,0,"18","[286]"
"","Saint Kitts and Nevis",17,0,"15","[287]"
"","Falkland Islands",13,0,"13","[288]"
"","Greenland",13,0,"13","[289]"
"","MS Zaandam[ay]",13,4,"No data","[292][293]"
"","Coral Princess[az]",12,3,"No data","[295]"
"","Montserrat",12,1,"10","[296]"
"","Vatican City",12,0,"12","[297]"
"","Papua New Guinea",11,0,"8","[298]"
"","British Virgin Islands",8,1,"7","[299]"
"","HNLMS Dolfijn[ba]",8,0,"8","[300][303]"
"","Anguilla",3,0,"3","[304]"
"","Saba",3,0,"3","[305]"
"","Bonaire",2,0,"2","[306]"
"","Sint Eustatius",2,0,"2","[307]"
"","Saint Pierre and Miquelon",2,0,"1","[308]"
"","Tanzania[bb]",,,"No data","[312][313]"
"As of 13 July 2020 (UTC) · History of cases · History of deaths","As of 13 July 2020 (UTC) · History of cases · History of deaths",,,"As of 13 July 2020 (UTC) · History of cases · History of deaths","As of 13 July 2020 (UTC) · History of cases · History of deaths"
