Team Name,Team Amount Raised,Team Member Count
"John smith team",0,1
"Jorja&andrew",0,1
"Joy seekers",0,1
"Julies",0,1
"Jumanji",0,1
"Just Keep Swimming!",0,1
"Just Walk!",0,1
"Just breathe",0,1
"Just keep swimming",0,1
"Justdoit",0,1
"K Gym buds",0,1
"K Team",0,1
"KC Troops",0,1
"Karen & Co",0,1
"Karma",0,1
"Katie and Emily",0,1
"Kats crew",0,1
"Keasti’s",0,1
"Keep on Truckin’ 🛻",0,1
"Kelly & Matt",0,1
"Kelly Lynch Psychologist",0,1
"Kelly gang",0,1
"Kelly heroes",0,1
"Kenoath",0,1
"Kids Capers Clayfield",0,1
"Kmart Dandy",0,1
"Ko Tahi Aroha",0,1
"Korowa AGS",0,1
"Kyah",0,1
"L team",0,1
"LINK Legends",0,1
"LIVE WELL",0,1
"LOKE",0,1
"LYL",0,1
"Ladybirds",0,1
"Las walkers",0,1
"Laura's Suicide Army",0,1
"Lauren DiBiasi",0,1
"Lauren and Claudia",0,1
"Lean on me.",0,1
"Let's hope together!",0,1
"Let's walk together",0,1
"Lets walk",0,1
"Letter",0,1
"Let’s go",0,1
"Let’s go girls",0,1
"Lewis’s family",0,1
"Life shakers",0,1
"Lifted Up Movement",0,1
"Lighting Bolt",0,1
"Lisa",0,1
"Little Boho Flower Co",0,1
"Little Ducks Annerley",0,1
"Littlejohns",0,1
"Lockdown walkers",0,1
"Lou Jackson",0,1
"Lovemore",0,1
"Loxton walkers",0,1
"Loz and Sarah put two feet forward for Mental Health Month",0,1
"Lozs team",0,1
"Lozz and Brails",0,1
"Lozza's Legends",0,1
"Luson Eden Park Residents",0,1
"MAHI",0,1
"MAXAM",0,1
"MELBOURNE MASTERS",0,1
"MRNC",0,1
"Mac Rob Year 10 PE Classes",0,1
"MacKillop College",0,1
"Mackay Base Hospital Supporters",0,1
"Magda's team",0,1
"Magenta Community Services Gladstone",0,1
"Making a difference.",0,1
"Manly Beach Training",0,1
"Marathon girls",0,1
"Mark's tribute 💕",0,1
"Martha does miles",0,1
"Martinis",0,1
"Matchworks",0,1
"Matt",0,1
"Matty B",0,1
"Matuta Uniting",0,1
"Medtronic",0,1
"Meena Hassani",0,1
"Mental Battle",0,1
"Mental Health",0,1
"Mental Health Champions",0,1
"Mental Health Warrior's",0,1
"Mental Health Wrestling Crew (MHWC)",0,1
"Mental health girls",0,1
"Mental health is everything",0,1
"Mental health matters_ Gavmav",0,1
"Mental health support",0,1
"Mick and Dan",0,1
"Mighty Mercy MCC",0,1
"Minuzzo family",0,1
"Mky gals",0,1
"Modbury South",0,1
"Mongolians in Sydney",0,1
"Moody Flame",0,1
"Mornington Secondary College",0,1
"Mossvages troopers",0,1
"Mother & daughter",0,1
"Mother Duck Bracken Ridge",0,1
"Mother Duck Lawnton",0,1
"Mother Duck Wynnum",0,1
"Move Exercise Physiology",0,1
"Mumma T plus 3",0,1
"MummasGoal",0,1
"Murphy's Law",0,1
"My Place",0,1
"NARA Community",0,1
"NXT LVL",0,1
"Nalinda Mendis",0,1
"Narrabri Pharmacy & Karen Carter Chemist",0,1
"National 360 walkie talkie",0,1
"Natta",0,1
"Nay",0,1
"Nays",0,1
"Nextra Orange",0,1
"Niddrie WalkSTARS",0,1
"No Danger Power Ranger!",0,1
"No More Tortured Mind",0,1
"Northies",0,1
"Not alone",0,1
"Nuggies",0,1
"October walkers!",0,1
"Octobersmober",0,1
"Old chocks",0,1
"On the Brink",0,1
"One On One Heroes",0,1
"One Step Together",0,1
"One Team  One Dream",0,1
"One foot forward with me!",0,1
"OneKloudX",0,1
"Outen",0,1
"POC’s",0,1
"PSA AWAY",0,1
"Pac Piners",0,1
"Panger",0,1
"Passion Project",0,1
"Peace On Earth",0,1
"Peers In Practice",0,1
"People and Culture",0,1
"Percifeet",0,1
"Pest is best!",0,1
"Phillip Island Bridge Walkers",0,1
"Phoenix Community Project",0,1
"Plant Desk Jockeys",0,1
"Polar Bear",0,1
"Polar opposites",0,1
"Port Macquality Care",0,1
"Positive Step",0,1
"Poss & lili",0,1
"Programmed",0,1
"Pukit’s Party",0,1
"Pullman and ibis Adelaide",0,1
"Pure Boxing",0,1
"Purple lemons",0,1
"Pushing Limits",0,1
"Queen Bees",0,1
"Queens of all queen's",0,1
"RUN 40",0,1
"RUOk",0,1
"Raul and Steph",0,1
"Raving hills",0,1
"Real House Wives of Brimbank",0,1
"Reception",0,1
"Red dogs",0,1
"Red_Hot_Chilli_Steppers",0,1
"Rejuvenate",0,1
"Republik Sydney",0,1
"Resilient minds",0,1
"Richards oldies",0,1
"RoadTek Cairns",0,1
"Robbo Physique Fitness",0,1
"Roma Pool Team",0,1
"Roses team",0,1
"Rosies Angels",0,1
"Row&Denna",0,1
"Run run run run",0,1
"Ryan Mobb",0,1
"SHORTY TEAM",0,1
"SMGS Support Walk",0,1
"SOCIAL EMOTIONAL WELL-BEING UNIT ATSICHS MACKAY",0,1
"SQUAD",0,1
"STELLAResults Wellness / Mindset",0,1
"Safe Places for Children",0,1
"Sainters",0,1
"Salisbury Business Association Inc",0,1
"Say hi not bye",0,1
"Scar and ry",0,1
"Schkeastburn",0,1
"Scrambled Legs n Achin'",0,1
"Self love",0,1
"Serotonin Searchers",0,1
"Serotonin Superheroes",0,1
"Severin Steps",0,1
"Shance",0,1
"Shauna",0,1
"Shoot for the stars",0,1
"Sibling duo",0,1
"Siblings",0,1
"Sistas",0,1
"Sisterhood",0,1
"Sloths",0,1
"Slow but furious",0,1
"Smith Street boys",0,1
"Springfield Amazon’s",0,1
"St. Philip’s Steppers",0,1
"Stace&Bec",0,1
"Stefania",0,1
"Step Crew",0,1
"Step Sister",0,1
"Step forward with steff",0,1
"Step'n Up",0,1
"Steph and Raul",0,1
"Stepping Up Together",0,1
"Steps To Recovery",0,1
"Strathalbyn Girl Guides",0,1
"Sud Slingers",0,1
"Summerland",0,1
"Sunrise Walkers",0,1
"Sunshine Warriors",0,1
"Superannuation Advice Australia",0,1
"Superstars2021",0,1
"Supporting life",0,1
"Sweet Dreams",0,1
"Syd T",0,1
"Synergeer Care",0,1
"TAS Tassie Devils",0,1
"TBA but let's do it &lt;3",0,1
"TCG Hair design",0,1
"TEAM FISH",0,1
"THE ODD BALLS",0,1
"Taking One Step Forward",0,1
"Tanya’s training club",0,1
"Taylor-Ray",0,1
"Te Dalmathos",0,1
"Team Alyce",0,1
"Team Armadale",0,1
"Team Bowden",0,1
"Team COOPER",0,1
"Team Chick",0,1
"Team Chris",0,1
"Team Comms",0,1
"Team DEMSER",0,1
"Team Deb",0,1
"Team Dragonfly",0,1
"Team Funrarisn",0,1
"Team Gilchrist",0,1
"Team Happy",0,1
"Team Hey Now!",0,1
"Team Holmwood Aged Care",0,1
"Team Intia",0,1
"Team JJ",0,1
"Team Jones",0,1
"Team Lift",0,1
"Team Metso Outotec",0,1
"Team Morar",0,1
"Team Name...",0,1
"Team New",0,1
"Team Outta Breath",0,1
"Team Panda",0,1
"Team Paul",0,1
"Team Peanut",0,1
"Team RED",0,1
"Team Red Arc",0,1
"Team Rogers-Offer",0,1
"Team Sarge-Gale",0,1
"Team Shire Walkers",0,1
"Team Slay",0,1
"Team TK",0,1
"Team Together",0,1
"Team Tulk",0,1
"Team Tyson",0,1
"Team Walking",0,1
"Team awesome!",0,1
"Team caff",0,1
"Team demzer",0,1
"Team of legends!",0,1
"Team snail",0,1
"Test",0,1
"TestOFF202121",0,1
"The Anxiety Fighters",0,1
"The Banana boats 🍌",0,1
"The Blueberries",0,1
"The Brainers",0,1
"The Brangsters",0,1
"The Cameron ladies",0,1
"The Chonks",0,1
"The Clarkes",0,1
"The Determination Generation",0,1
"The Dynamites",0,1
"The Griggs",0,1
"The Grinch’s",0,1
"The Gumnuts",0,1
"The Jimmies Crew",0,1
"The K team",0,1
"The Logans !",0,1
"The Luzza Legs",0,1
"The Marauders",0,1
"The Mental as Anythings",0,1
"The Millenium Millennials",0,1
"The Natural waffle Team Forster",0,1
"The Neurologicals",0,1
"The Plastics",0,1
"The Rainbow Makers",0,1
"The Rivermouth Crew",0,1
"The Rural Conversation",0,1
"The Scoot’s",0,1
"The Spelman’s",0,1
"The Strength",0,1
"The Swifte's",0,1
"The Tea",0,1
"The Unicorn Initiative",0,1
"The Walking Wallies",0,1
"The Wanders",0,1
"The Wildepeople",0,1
"The ants go marching",0,1
"The baby-sitters club",0,1
"The funny runny runner funners",0,1
"The go get it",0,1
"The walkabouts",0,1
"The...Jog....ons",0,1
"Thelma & Louise",0,1
"Tiffo",0,1
"Tigers 2017",0,1
"Time to change",0,1
"Toowoomba Day Night Pharmacy",0,1
"Trekking on for mental wellness",0,1
"Trio",0,1
"Tubbies",0,1
"Tunnuz Runnuz",0,1
"Turnbull crew",0,1
"UR2GOOD2B4GOT10",0,1
"USYD Northern Clinical School",0,1
"Ulladulla Rats",0,1
"Unholy Rollers",0,1
"Us for others",0,1
"V x J",0,1
"Vacateta",0,1
"Vampets",0,1
"Varsity MGP",0,1
"WALK - ABM",0,1
"WALK TO IT",0,1
"WE SHOWED UP",0,1
"Wackadoodles",0,1
"Walk 4 mental health",0,1
"Walk For Us",0,1
"Walk Forest Walk",0,1
"Walk On",0,1
"Walk for Chronic Pain",0,1
"Walk for Mind",0,1
"Walk for Yvonne",0,1
"Walk towards better",0,1
"Walk, Sparkle and Shine",0,1
"Walk, Talk or Run",0,1
"WalkOctober",0,1
"Walkers for Mental Health Research",0,1
"Walkie Talkie Girls",0,1
"Walking Queens",0,1
"Walking Watt",0,1
"Walking as one",0,1
"Walking clears the mind!",0,1
"Walking for veterans",0,1
"Walking head held high shit happens",0,1
"Walking it off again",0,1
"Walking off the Black Dog",0,1
"Walking on sunshine",0,1
"Walking the Black Dog",0,1
"Walking the Dog",0,1
"WalknTalk",0,1
"Walkwithmetoday",0,1
"Warm souls",0,1
"Warrior Ones",0,1
"Warriors",0,1
"Warriors Mum's",0,1
"Warriors for Mental Health",0,1
"Warriors together",0,1
"Warrnambool Wanderers",0,1
"We Are Bouncin",0,1
"We Love You",0,1
"We Walk To Support Townsville",0,1
"We are strong together",0,1
"We can do t this",0,1
"We can do this",0,1
"We like to walk",0,1
"We're in your corner",0,1
"Weatherill Park Warriors",0,1
"Wellways",0,1
"Wellways Warriors",0,1
"Western Suburbs Rugby Union Club",0,1
"Westpac Digital Engagement",0,1
"White Aura Connect",0,1
"Who's wit me??",0,1
"Whole heartedness",0,1
"Wickos dad",0,1
"Wild bandits",0,1
"Wildegoose",0,1
"Wildmums",0,1
"Willard Team",0,1
"Williams Family",0,1
"Wolf Pack",0,1
"Woochoooo",0,1
"Wood",0,1
"Woolies Wonders",0,1
"Working dogs of Middle Park",0,1
"YOUR PACE OR MINE ROUND TWO",0,1
"Yalari Alumni",0,1
"You Got This!",0,1
"You are not alone",0,1
"Young and breathless",0,1
"Your Pace or Mine?",0,1
"Zagato",0,1
"Zom kids",0,1
"dalaigur",0,1
"funny",0,1
"happy feet 2",0,1
"l am walking for mental health month",0,1
"lala",0,1
"lous",0,1
"penrith possy",0,1
"sisters by chance friends by choice ✨✨",0,1
"stepping up",0,1
"team Brooklyn",0,1
"test 32434234",0,1
"testtest11",0,1
"testttttt",0,1
"the shabeb",0,1
"thyO",0,1
"thyO6",0,1
"tp&tb",0,1
"uni hall",0,1
"walkaholics_2021",0,1
"yinnn",0,1
"🔥Biggus-Maximus🔥",0,1
"#Mind Over Matter",0,2
". . . And two steps back",0,2
"1 Fit 2 Phat",0,2
"2 fast 2 furious",0,2
"2021 Warriors",0,2
"3P Warriors",0,2
"A & B",0,2
"AC Walk for Mental Health",0,2
"Abeysinghe Team",0,2
"Absolute Monsters",0,2
"Accor Apartments and Realty",0,2
"Alex & Jess",0,2
"All 4 one and one for all",0,2
"B Sharps",0,2
"B and R",0,2
"Bandits Crew",0,2
"Be Kind Always",0,2
"Bec + Bridge",0,2
"Black Knight Bandits",0,2
"Black Wolves",0,2
"Blista Sistas",0,2
"Blisters R US",0,2
"Bondi Gurls",0,2
"Bonnie",0,2
"Boo Thangsss Walk",0,2
"Boylez",0,2
"Brangers step it up",0,2
"Break the BLUEs",0,2
"Breaking The Stigma",0,2
"Breaking Wind",0,2
"Brothers in light",0,2
"Brownies",0,2
"CDCSG",0,2
"Canberra Dream Team",0,2
"Catch Me Outside",0,2
"Charnny",0,2
"Chicken on a bear",0,2
"Clinch’s",0,2
"Coastal kids",0,2
"Community sloths",0,2
"Conquering Cahills",0,2
"Continuing on ;",0,2
"Cooper Crew",0,2
"Cooper Trouper’s",0,2
"Coughlin/Gallegos 🤟🏼",0,2
"Crookedmann",0,2
"Crowea crawlers",0,2
"DaonaDog",0,2
"Dinte",0,2
"Dogs and birds",0,2
"Doing it for Mikki",0,2
"Dream Big",0,2
"Dream Works",0,2
"Dynamic",0,2
"Ellie's humans",0,2
"Emily and Eefie",0,2
"Escape The Expected",0,2
"Fambam-1",0,2
"Fenner Hall",0,2
"Find Your Happy Pace",0,2
"For the Love",0,2
"Forever young",0,2
"FukSuicide",0,2
"Full Circle Support",0,2
"G-fam",0,2
"GameChangers",0,2
"Getchyastepsupgals",0,2
"GingerWilson",0,2
"Girl and a Grease Monkey",0,2
"Girls 'Power",0,2
"Glitter",0,2
"Globe Skimmers",0,2
"Going OFF (with One Foot Forward)",0,2
"Golaszewski",0,2
"Goldby’s",0,2
"Goldfields Security Services",0,2
"Gordo girls",0,2
"Griffith United",0,2
"HARROS",0,2
"Happy travellers",0,2
"Happy walkers",0,2
"Heart and Sole",0,2
"Hegarty Family",0,2
"Holly & Patrick",0,2
"IT Department",0,2
"ITS OK NOT TO BE OK !",0,2
"Interpod australia",0,2
"Iykyk",0,2
"JandM",0,2
"Jasmine's Angels",0,2
"Jaz and Adam",0,2
"Jnk Support Services",0,2
"Johnson’s",0,2
"Joju",0,2
"Jones",0,2
"Journey For Hope",0,2
"K&S Reporting Live & Supporting Lives",0,2
"Karoake champs",0,2
"Keep on Truckin’",0,2
"Kia Kaha",0,2
"Kicking goals ✌️",0,2
"Kihljnom",0,2
"Kirra’s team",0,2
"Krystie and petw",0,2
"L&L’s Team",0,2
"LCSS crew",0,2
"LaNa",0,2
"Latin-American students in Australia",0,2
"Lawton & co",0,2
"Layla and Grace",0,2
"Lazy",0,2
"Leah Jay",0,2
"Leash & Maddi",0,2
"Legs Go by the Sea Side",0,2
"Live love 💕 laugh, acceptance... strength ✨",0,2
"LotusFlower",0,2
"M&M’s",0,2
"Maddie & Me",0,2
"Magic Bin",0,2
"Meg Mc Innes",0,2
"Megchan",0,2
"Mental Health Awareness",0,2
"Miles for Mental Health",0,2
"Milky Way",0,2
"Millard",0,2
"Mindful",0,2
"Mitchelton Special School",0,2
"Mohrs",0,2
"Monash Residential Peninsula Campus",0,2
"My Sweet Lady Walkers",0,2
"Nakeeta Connors",0,2
"Never Walk Alone",0,2
"Never walking alone",0,2
"No more nights",0,2
"NoStigma",0,2
"Nostromo",0,2
"ONE STEP FWD",0,2
"On The Bright Side",0,2
"One Day at the time",0,2
"One two three",0,2
"Optimised Living for Mental Health",0,2
"Pace Makers",0,2
"Paul & Sarah",0,2
"Perth Weather Live",0,2
"Pete and Lorena",0,2
"Pho3nix",0,2
"Phoebe's friends",0,2
"Pork Chops",0,2
"Preston Hire Australia",0,2
"Ray of Sunshine",0,2
"Real housewives of Kalgoorlie",0,2
"Red Hot Chili Steppers",0,2
"Reg & Jorg",0,2
"Rippin Rielly Renegades (RRR)",0,2
"Rollinsons",0,2
"SP inc",0,2
"STEPathon",0,2
"Savalivali",0,2
"Savandrew",0,2
"Schultz strong team",0,2
"Science department carine",0,2
"Scrambled Legss",0,2
"Shadow Walkers",0,2
"Shazzza Walks",0,2
"Shelly Shufflers",0,2
"Shrek",0,2
"Shrine of the Children",0,2
"Skinny Legends",0,2
"Small steps, big changes",0,2
"Soph & Mad",0,2
"Step It Real Good",0,2
"Step to health",0,2
"Stepping strong",0,2
"Strisano",0,2
"TBAAA",0,2
"THE A TEAM MC",0,2
"THEPOSSIBlebridge-tPB",0,2
"TINKA Marketing & Events",0,2
"TT and Sab",0,2
"Tamyka and Aleisha",0,2
"Taylor team",0,2
"Teagan & Cody",0,2
"Team BBA",0,2
"Team Berg",0,2
"Team Bucks - WTF... Where's the finish???",0,2
"Team Bugger",0,2
"Team Bungy",0,2
"Team Eliza 💪🏾",0,2
"Team Holman",0,2
"Team Holmes",0,2
"Team Jesse",0,2
"Team Kennedy",0,2
"Team Octopus",0,2
"Team Oz",0,2
"Team Solidarity",0,2
"Team Taylor!",0,2
"Team Waller",0,2
"Team Wellbeing",0,2
"Team black dog",0,2
"Temani and Jess",0,2
"Thai dye",0,2
"The AA Team",0,2
"The Alley Oop Project",0,2
"The Belford Bandits",0,2
"The Birds",0,2
"The Bronze Dragon",0,2
"The Dusty shoes",0,2
"The Fabulous Skarbeks",0,2
"The Flaurets",0,2
"The Hall’s",0,2
"The Metapod Pandas",0,2
"The Mindful Walkers",0,2
"The Never Give up Hopers",0,2
"The Nicolaou’s",0,2
"The Overthinkers",0,2
"The Pop Ups",0,2
"The Sams",0,2
"The Shamrocks",0,2
"The TTS",0,2
"The Three Wheel Gang",0,2
"The Todd’s",0,2
"The Walking Warriors",0,2
"The Wilde Team",0,2
"The big Hikoi",0,2
"The little lads",0,2
"The walkie talkie team",0,2
"Thinking Right Moves",0,2
"Tom, Katie and Maggie",0,2
"Tommy’s clan",0,2
"VanRajShiroi",0,2
"Walk by Faith",0,2
"Walk first, wine later",0,2
"Walk for all",0,2
"Walk to Wellness",0,2
"Walk to awaken awareness",0,2
"Walkalicious",0,2
"Walkin Talkies",0,2
"Walking Mum’s",0,2
"Walking Through It- Break the stigma",0,2
"Walking for a cause ❤️",0,2
"Walks by Schnookums",0,2
"Warwick Walkers",0,2
"We Need To Walk About It",0,2
"We got this ✔",0,2
"Webclan",0,2
"Weismanns",0,2
"Wellness",0,2
"Wildlife Warriors",0,2
"Will Run For Snack",0,2
"Wilson",0,2
"Wing Woman",0,2
"Worst Pace Scenario",0,2
"Worthless without chocolate",0,2
"YourFitWay",0,2
"eloise",0,2
"jazro",0,2
"jessdogindia",0,2
"kandm",0,2
"lockdown legs",0,2
"steps forward",0,2
"walk for mental illness x",0,2
"walkeroos",0,2
"ÇCWRÅP$",0,2
"ඩාවින් පවුල",0,2
"'Mixed Bag of Nuts'",0,3
"A coffee A day",0,3
"AGS",0,3
"Beach Bums",0,3
"Bingo",0,3
"Blomies",0,3
"Blue Pink",0,3
"Bred N Budda",0,3
"Bri & Casey",0,3
"Brown Family",0,3
"C.R.A.P.",0,3
"CT gardens",0,3
"CampQuist",0,3
"Chac",0,3
"Cookie",0,3
"Cool runnings 2.0",0,3
"Cooper clan",0,3
"CottSquad",0,3
"Crompton's Chosen Ones",0,3
"Deer Park Warriors",0,3
"Duckman",0,3
"FAMILY",0,3
"FY KADIR TEAM",0,3
"Fab Mums club Fraser fit",0,3
"Fab3!",0,3
"Family Matters",0,3
"Fitness First North Sydney",0,3
"Frolic",0,3
"G And T",0,3
"Get After It",0,3
"GnT’s ❤️❤️❤️❤️❤️❤️❤️❤️",0,3
"Go Mickey!",0,3
"Goodlife Beenleigh",0,3
"Gosh!",0,3
"Green Leaves Margate",0,3
"H&M Queen St",0,3
"HBSL",0,3
"Hazelwood Estate",0,3
"Hola",0,3
"Hollings",0,3
"I-MED Radiology.",0,3
"In support of Liv",0,3
"In the right direction",0,3
"JArmi",0,3
"Jennifer and Michelle",0,3
"Jumpstart",0,3
"Kick The Dust Up",0,3
"Kindhearts",0,3
"Kinky Boots",0,3
"Kshitiz shrestha",0,3
"LBP!!",0,3
"LET'S GO TEAMWORK",0,3
"Maddi x Sahar",0,3
"Mckayla",0,3
"Mezzy’s support crew",0,3
"Miller Strong",0,3
"Mother Pluckers",0,3
"Motherhood Survivors",0,3
"Moving Forward",0,3
"Munk, Mumma & Son For mental Health",0,3
"NMB213",0,3
"One step closer",0,3
"Poppy & Fergus",0,3
"Resilience",0,3
"Ring A Bell for Mental Health",0,3
"Sass Nation",0,3
"Schmieds",0,3
"Scrambled Leggs",0,3
"Shanty Creek Team",0,3
"Skipbo",0,3
"Smile",0,3
"Solander Superstars",0,3
"Sole2Soul Sisters",0,3
"Soulful Hikers",0,3
"Spiderman",0,3
"Stand tall",0,3
"Step & The City",0,3
"Step mums",0,3
"StepMasters",0,3
"Sunstone",0,3
"Team 3 T's",0,3
"Team KJS",0,3
"Team Plummer",0,3
"The 3 rings",0,3
"The Blister Sisters",0,3
"The Fam",0,3
"The Half Pie",0,3
"The Horkings",0,3
"The Munsie Walk.",0,3
"The Pikes",0,3
"The Speed Machines",0,3
"The Steppers",0,3
"The Unstoppable",0,3
"The good dogs",0,3
"The movers and shakers",0,3
"The real walk",0,3
"True Alliance",0,3
"Varli",0,3
"Vegemite Sandwiches",0,3
"Wackiedooers",0,3
"Walk4Talk",0,3
"Walking and running fam",0,3
"Walking for talking ❤️",0,3
"Walking on Edge",0,3
"Walks For Healing",0,3
"Warriorz",0,3
"We Got The Runs",0,3
"Well-being Chipmunks",0,3
"Wolly Crew 🖤💛❤️",0,3
"ZAMS",0,3
"Bingo",0,3
"bipolar",0,3
"germams",0,3
"✨In this together✨",0,3
"3NE & EDGE FM",0,4
"Allers",0,4
"Azitshe",0,4
"BIRRWC",0,4
"BPD PROJECT",0,4
"Bears and Books",0,4
"Believe & Breathe",0,4
"Berries n Cream",0,4
"Black Dog Warriors",0,4
"Black Rock Strollers",0,4
"Black Swan United",0,4
"Boss",0,4
"Capsicum",0,4
"Couch potatoes",0,4
"Dandenong Market Marketing team",0,4
"Darling Downs South West Region",0,4
"Darlo Bears",0,4
"Duncan",0,4
"Every Step Matters",0,4
"FKR",0,4
"Friends",0,4
"Girls !",0,4
"Glenfield Network Base",0,4
"Griffiths Family",0,4
"HR Operations",0,4
"Hanani's dream",0,4
"Intake Scrambled Eggs",0,4
"JAG Game and Marine",0,4
"LACE",0,4
"LAHC",0,4
"Laverty Adamstown",0,4
"Les Misérables",0,4
"Little monkeys",0,4
"MILE",0,4
"Monto Neighbourhood Centre",0,4
"NanJos",0,4
"Northern Side",0,4
