num_boletim,data_hora_boletim,numero_envolvido,condutor,codigo_severidade,desc_severidade,sexo,cinto_seguranca,Embreagues,Idade,nascimento,categoria_habilitacao,descricao_habilitacao,declaracao_obito,cod_severidade_antiga,especie_veiculo,pedestre,passageiro
2018-031169147-001,2018-07-15 13:37:00.000,1,S,3,SEM FERIMENTOS,F,SIM,NÃO,28,16/11/1989,AB,HABILITADO NAS CATEGORIAS A  e B,0,0,AUTOMOVEL,N,N
2018-044826330-002,2018-10-07 14:18:00.000,1,S,3,SEM FERIMENTOS,M,SIM,NÃO,54,19/09/1964,D,"VEIC. MOTOR. P/ TRANSP. DE PASSAG, C/ MAIS DE 8 PASSAGEIROS",0,0,AUTOMOVEL,N,N
2018-001855379-001,2018-01-13 21:51:00.000,1,S,3,SEM FERIMENTOS,M,SIM,NÃO,59,20/10/1958,AD,HABILITADO NAS CATEGORIAS A e D,0,0,AUTOMOVEL,N,N
2018-011871207-001,2018-03-16 11:25:00.000,1,S,1,NAO FATAL,M,SIM,NÃO,24,11/02/1994,A,"VEÍCULO MOTORIZ. DE 2 OU 3 RODAS, C/ OU S/ CARRO LATERAL",0,0,MOTOCICLETA,N,N
2018-041980105-001,2018-09-19 18:50:00.000,1,S,3,SEM FERIMENTOS,M,SIM,NÃO,52,17/01/1966,N,NAO INFORMADO,0,0,AUTOMOVEL,N,N
2018-023328860-001,2018-05-25 15:15:00.000,1,S,1,NAO FATAL,F,SIM,NÃO,27,20/07/1990,AB,HABILITADO NAS CATEGORIAS A  e B,0,0,MOTOCICLETA,N,N
2018-043304660-001,2018-09-27 18:17:00.000,1,S,3,SEM FERIMENTOS,M,SIM,NÃO,37,10/04/1981,B,"VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,AUTOMOVEL,N,N
2018-042850153-001,2018-07-21 13:00:00.000,3,S,0,NAO INFORMADO,0,NÃO,NÃO INFORMADO,0,00/00/0000,N,NAO INFORMADO,0,0,MOTOCICLETA,,
2018-031786484-003,2018-07-19 08:01:00.000,2,S,3,SEM FERIMENTOS,M,SIM,NÃO,47,00/00/0000,AB,HABILITADO NAS CATEGORIAS A  e B,0,0,AUTOMOVEL,N,N
2018-030785560-001,2018-07-12 21:09:00.000,1,S,1,NAO FATAL,M,NÃO,NÃO,16,12/05/2002,B,"VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,BICICLETA,N,N
2018-005499279-001,2018-02-06 17:48:00.000,2,S,1,NAO FATAL,M,SIM,NÃO,24,10/07/1993,A,"VEÍCULO MOTORIZ. DE 2 OU 3 RODAS, C/ OU S/ CARRO LATERAL",0,0,MOTOCICLETA,N,N
2018-030654996-002,2018-07-12 07:32:00.000,1,S,3,SEM FERIMENTOS,M,SIM,NÃO,58,30/05/1960,AB,HABILITADO NAS CATEGORIAS A  e B,0,0,AUTOMOVEL,N,N
2018-013533830-001,2018-03-26 15:44:00.000,2,S,1,NAO FATAL,M,SIM,NÃO,31,23/05/1986,AB,HABILITADO NAS CATEGORIAS A  e B,0,0,MOTOCICLETA,N,N
2018-037685117-001,2018-08-24 09:28:00.000,2,S,3,SEM FERIMENTOS,M,SIM,NÃO,26,25/08/1991,B,"VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,AUTOMOVEL,N,N
2018-001490699-001,2018-01-11 09:11:00.000,1,S,3,SEM FERIMENTOS,M,SIM,NÃO,52,04/04/1965,AB,HABILITADO NAS CATEGORIAS A  e B,0,0,AUTOMOVEL,N,N
2018-057155366-001,2018-12-24 19:32:00.000,2,S,1,NAO FATAL,M,SIM,NÃO,28,04/06/1990,N,NAO INFORMADO,0,0,AUTOMOVEL,N,N
2018-020013229-001,2018-05-06 14:28:00.000,1,S,1,NAO FATAL,M,SIM,NÃO,39,16/01/1979,AB,HABILITADO NAS CATEGORIAS A  e B,0,0,MOTOCICLETA,N,N
2018-017870040-001,2018-04-22 23:03:00.000,1,S,1,NAO FATAL,M,SIM,NÃO,40,00/00/0000,AE,HABILITADO NAS CATEGORIAS A e E,0,0,MOTOCICLETA,N,N
2018-025805204-001,2018-06-12 07:17:00.000,2,S,1,NAO FATAL,M,SIM,NÃO,40,10/12/1977,AB,HABILITADO NAS CATEGORIAS A  e B,0,0,MOTOCICLETA,N,N
2018-021909200-001,2018-05-17 17:46:00.000,2,S,1,NAO FATAL,M,SIM,NÃO,35,30/07/1982,AD,HABILITADO NAS CATEGORIAS A e D,0,0,MOTOCICLETA,N,N
2018-011982560-001,2018-03-16 19:44:00.000,2,S,1,NAO FATAL,M,SIM,NÃO,32,29/12/1985,N,NAO INFORMADO,0,0,MOTOCICLETA,N,N
2018-000825243-001,2018-01-06 23:02:00.000,3,S,3,SEM FERIMENTOS,M,SIM,NÃO,51,29/06/1966,N,NAO INFORMADO,0,0,AUTOMOVEL,N,N
2018-015051470-002,2018-04-04 23:31:00.000,1,S,1,NAO FATAL,M,SIM,NÃO,27,08/06/1990,B,"VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,AUTOMOVEL,N,N
2018-057649570-001,2018-12-28 09:08:00.000,5,N,3,SEM FERIMENTOS,M,SIM,NÃO,16,03/05/2002,,,0,0,AUTOMOVEL,N,S
2018-044702260-002,2018-10-06 15:51:00.000,3,N,1,NAO FATAL,F,SIM,NÃO,35,22/01/1983,,,0,0,MOTOCICLETA,N,S
2018-037249813-001,2018-08-12 10:40:00.000,2,S,0,NAO INFORMADO,0,NÃO,NÃO INFORMADO,0,00/00/0000,N,NAO INFORMADO,0,0,AUTOMOVEL,N,N
2018-001576306-001,2018-01-11 21:24:00.000,2,N,1,NAO FATAL,M,SIM,NÃO,10,18/03/2007,,,0,0,MOTOCICLETA,N,S
2018-031797900-001,2018-07-19 09:25:00.000,1,S,3,SEM FERIMENTOS,M,SIM,NÃO,54,23/05/1964,C,"VEIC. MOTOR. P/ TRANSP. DE CARGA, C/ PESO MAX. AUT. 3500 KG",0,0,AUTOMOVEL,N,N
2018-043107568-001,2018-09-26 16:49:00.000,1,S,3,SEM FERIMENTOS,M,SIM,NÃO,33,23/07/1985,AB,HABILITADO NAS CATEGORIAS A  e B,0,0,AUTOMOVEL,N,N
2018-038499836-001,2018-08-29 07:39:00.000,2,S,3,SEM FERIMENTOS,M,SIM,NÃO,24,07/06/1994,A,"VEÍCULO MOTORIZ. DE 2 OU 3 RODAS, C/ OU S/ CARRO LATERAL",0,0,MOTOCICLETA,N,N
2018-052339281-001,2018-11-23 21:05:00.000,2,S,1,NAO FATAL,M,SIM,NÃO,21,28/06/1997,AB,HABILITADO NAS CATEGORIAS A  e B,0,0,MOTOCICLETA,N,N
2018-043561110-001,2018-09-29 12:31:00.000,2,S,3,SEM FERIMENTOS,M,SIM,NÃO,64,28/05/1954,B,"VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,AUTOMOVEL,N,N
2018-034832879-001,2018-07-09 09:00:00.000,1,S,1,NAO FATAL,M,SIM,NÃO,34,19/06/1984,N,NAO INFORMADO,0,0,MOTOCICLETA,N,N
2018-009897246-001,2018-03-05 06:55:00.000,1,S,1,NAO FATAL,M,SIM,NÃO,27,14/07/1990,AB,HABILITADO NAS CATEGORIAS A  e B,0,0,MOTOCICLETA,N,N
2018-006116480-001,2018-02-10 08:19:00.000,1,S,1,NAO FATAL,M,SIM,NÃO,39,29/12/1978,AB,HABILITADO NAS CATEGORIAS A  e B,0,0,MOTOCICLETA,N,N
2018-020002532-002,2018-05-06 12:43:00.000,1,S,3,SEM FERIMENTOS,F,SIM,NÃO,46,29/09/1971,B,"VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,AUTOMOVEL,N,N
2018-024731813-001,2018-06-05 15:35:00.000,2,N,1,NAO FATAL,F,SIM,NÃO,16,17/01/2002,,,0,0,MOTOCICLETA,N,S
2018-035965465-001,2018-08-14 06:46:00.000,2,S,3,SEM FERIMENTOS,M,SIM,NÃO,51,29/04/1967,E,"CONJ. VEICULOS ACOPLADOS,QUE NAO SE INCLUE NAS CATEG. B,C,D",0,0,ONIBUS,N,N
2018-008210609-001,2018-02-22 22:32:00.000,5,N,0,NAO INFORMADO,F,NÃO,NÃO INFORMADO,0,00/00/0000,,,0,0,AUTOMOVEL,N,S
2018-010519232-001,2018-03-08 14:18:00.000,3,N,1,NAO FATAL,F,SIM,NÃO,89,27/08/1928,,,0,0,AUTOMOVEL,N,S
2018-016547519-001,2018-04-14 04:02:00.000,1,S,1,NAO FATAL,M,SIM,NÃO,30,22/10/1987,AD,HABILITADO NAS CATEGORIAS A e D,0,0,MOTOCICLETA,N,N
2018-057423294-001,2018-12-26 16:15:00.000,1,S,1,NAO FATAL,F,SIM,NÃO,40,12/01/1978,AB,HABILITADO NAS CATEGORIAS A  e B,0,0,MOTOCICLETA,N,N
2018-011406300-001,2018-03-13 19:21:00.000,2,S,1,NAO FATAL,M,SIM,NÃO,18,26/07/1999,A,"VEÍCULO MOTORIZ. DE 2 OU 3 RODAS, C/ OU S/ CARRO LATERAL",0,0,MOTOCICLETA,N,N
2018-028153961-001,2018-06-26 17:51:00.000,2,N,1,NAO FATAL,M,NÃO,SIM,52,06/09/1965,,,0,0,,S,N
2018-021493084-001,2018-05-15 12:55:00.000,2,S,3,SEM FERIMENTOS,M,SIM,NÃO,54,23/07/1963,B,"VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,AUTOMOVEL,N,N
2018-009144147-001,2018-02-28 13:51:00.000,2,S,1,NAO FATAL,M,SIM,NÃO,36,26/03/1981,A,"VEÍCULO MOTORIZ. DE 2 OU 3 RODAS, C/ OU S/ CARRO LATERAL",0,0,MOTOCICLETA,N,N
2018-009796730-001,2018-03-04 14:17:00.000,2,N,1,NAO FATAL,M,SIM,NÃO,20,28/11/1997,,,0,0,MOTOCICLETA,N,S
2018-010198552-001,2018-03-06 18:43:00.000,3,N,1,NAO FATAL,F,SIM,NÃO,26,04/08/1991,,,0,0,ONIBUS,N,S
2018-020917685-001,2018-05-11 17:29:00.000,4,N,1,NAO FATAL,F,SIM,NÃO,38,23/04/1980,,,0,0,AUTOMOVEL,N,S
2018-019769463-001,2018-05-04 17:01:00.000,2,S,1,NAO FATAL,F,SIM,NÃO,24,23/01/1994,AB,HABILITADO NAS CATEGORIAS A  e B,0,0,MOTOCICLETA,N,N
2018-053076429-002,2018-11-28 17:07:00.000,3,N,1,NAO FATAL,M,SIM,NÃO,31,28/11/1987,,,0,0,,N,S
2018-056376984-001,2018-12-18 15:00:00.000,1,S,1,NAO FATAL,M,SIM,NÃO,26,08/11/1992,AB,HABILITADO NAS CATEGORIAS A  e B,0,0,MOTOCICLETA,N,N
2018-049378147-001,2018-11-05 08:35:00.000,1,S,1,NAO FATAL,M,SIM,NÃO,30,12/07/1988,AB,HABILITADO NAS CATEGORIAS A  e B,0,0,MOTOCICLETA,N,N
2018-022260089-001,2018-05-19 21:24:00.000,5,N,1,NAO FATAL,M,SIM,NÃO,17,22/02/2001,,,0,0,,N,S
2018-026678871-001,2018-06-17 19:26:00.000,2,N,1,NAO FATAL,M,SIM,NÃO,44,26/05/1974,,,0,0,CAMINHONETE,N,S
2018-015450822-001,2018-04-05 19:45:00.000,1,S,1,NAO FATAL,M,SIM,NÃO,20,27/12/1997,A,"VEÍCULO MOTORIZ. DE 2 OU 3 RODAS, C/ OU S/ CARRO LATERAL",0,0,MOTOCICLETA,N,N
2018-051545804-001,2018-11-19 08:52:00.000,1,S,1,NAO FATAL,M,SIM,NÃO,36,27/06/1982,N,NAO INFORMADO,0,0,MOTOCICLETA,N,N
2018-009675124-001,2018-03-03 15:32:00.000,1,S,1,NAO FATAL,M,SIM,NÃO,29,12/07/1988,AB,HABILITADO NAS CATEGORIAS A  e B,0,0,MOTOCICLETA,N,N
2018-026409204-001,2018-06-15 17:57:00.000,2,S,3,SEM FERIMENTOS,0,NÃO,NÃO INFORMADO,0,00/00/0000,IN,INABILITADO,0,0,AUTOMOVEL,N,N
2018-047026435-001,2018-10-21 15:37:00.000,3,S,1,NAO FATAL,M,SIM,NÃO,26,21/10/1992,N,NAO INFORMADO,0,0,MOTOCICLETA,N,N
2018-028856420-001,2018-06-30 23:27:00.000,2,S,3,SEM FERIMENTOS,F,SIM,NÃO,24,10/05/1994,B,"VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,AUTOMOVEL,N,N
2018-043184464-001,2018-09-27 07:40:00.000,2,S,3,SEM FERIMENTOS,F,SIM,NÃO,26,13/04/1992,B,"VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,AUTOMOVEL,N,N
2018-018985173-001,2018-04-29 18:41:00.000,1,S,3,SEM FERIMENTOS,F,SIM,NÃO,51,01/09/1966,B,"VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,AUTOMOVEL,N,N
2018-023717998-001,2018-05-29 15:30:00.000,1,S,3,SEM FERIMENTOS,M,SIM,NÃO,22,23/04/1996,B,"VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,AUTOMOVEL,N,N
2018-007066710-001,2018-02-16 06:35:00.000,1,S,1,NAO FATAL,M,SIM,NÃO,42,07/02/1976,AB,HABILITADO NAS CATEGORIAS A  e B,0,0,MOTOCICLETA,N,N
2018-054469129-001,2018-12-07 09:22:00.000,4,N,3,SEM FERIMENTOS,F,SIM,NÃO,30,24/05/1988,,,0,0,MOTOCICLETA,N,S
2018-053522438-001,2018-12-01 09:02:00.000,1,S,1,NAO FATAL,M,SIM,NÃO,20,05/02/1998,AB,HABILITADO NAS CATEGORIAS A  e B,0,0,MOTOCICLETA,N,N
2018-009774430-001,2018-03-04 09:49:00.000,2,S,1,NAO FATAL,M,SIM,NÃO,36,20/11/1981,A,"VEÍCULO MOTORIZ. DE 2 OU 3 RODAS, C/ OU S/ CARRO LATERAL",0,0,MOTOCICLETA,N,N
2018-042444530-001,2018-09-22 16:47:00.000,1,S,1,NAO FATAL,M,SIM,NÃO,29,21/09/1989,B,"VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,MOTOCICLETA,N,N
2018-021496006-001,2018-05-15 13:13:00.000,1,S,1,NAO FATAL,M,SIM,NÃO,20,27/03/1998,AB,HABILITADO NAS CATEGORIAS A  e B,0,0,MOTOCICLETA,N,N
2018-025763898-002,2018-06-11 19:57:00.000,3,N,1,NAO FATAL,F,SIM,NÃO,19,31/10/1998,,,0,0,MOTOCICLETA,N,S
2018-013757907-001,2018-03-27 19:05:00.000,2,S,1,NAO FATAL,M,SIM,NÃO,25,10/09/1992,AB,HABILITADO NAS CATEGORIAS A  e B,0,0,MOTOCICLETA,N,N
2018-025532474-001,2018-06-10 14:39:00.000,1,S,1,NAO FATAL,M,SIM,NÃO,22,09/01/1996,AB,HABILITADO NAS CATEGORIAS A  e B,0,0,MOTOCICLETA,N,N
