Transaction Type,Date,Name,Amount
"Bill",2025-01-16 00:00:00.000,"C.U. Electric",300
"Bill",2025-01-17 00:00:00.000,"Timberloft Lumber",140
"Bill",2025-01-20 00:00:00.000,"A Cheung Limited",2000
"Bill",2025-01-20 00:00:00.000,"Cal Telephone",56.17
"Bill",2025-01-21 00:00:00.000,"Cal Gas & Electric",122.68
"Bill",2025-01-31 00:00:00.000,"A Cheung Limited",2000
"Bill",2025-02-01 00:00:00.000,"Thomas Kitchen & Bath",1938
"Bill",2025-02-05 00:00:00.000,"Thomas Kitchen & Bath",2320
"Bill",2025-02-20 00:00:00.000,"Cal Telephone",44.94
"Bill",2025-02-21 00:00:00.000,"Wheeler's Tile Etc.",634
"Bill",2025-02-24 00:00:00.000,"Cal Gas & Electric",110.89
"Bill",2025-03-01 00:00:00.000,"East Bayshore Tool & Supply",790
"Bill",2025-03-07 00:00:00.000,"East Bayshore Auto Mall",532.97
"Bill",2025-03-14 00:00:00.000,"Lew Plumbing",295
"Bill",2025-03-15 00:00:00.000,"East Bayshore Auto Mall",0
"Bill",2025-03-15 00:00:00.000,"Sloan Roofing",855
"Bill",2025-03-18 00:00:00.000,"Middlefield Drywall",415
"Bill",2025-03-20 00:00:00.000,"Cal Telephone",37.08
"Bill",2025-03-24 00:00:00.000,"Cal Gas & Electric",104.15
"Bill",2025-03-28 00:00:00.000,"Holly Heating and Electric",289.95
"Bill",2025-04-03 00:00:00.000,"East Bayshore Auto Mall",532.97
"Bill",2025-04-10 00:00:00.000,"Sergeant Insurance",712.56
"Bill",2025-04-21 00:00:00.000,"Cal Gas & Electric",98.68
"Bill",2025-04-21 00:00:00.000,"Cal Telephone",77.92
"Bill",2025-04-28 00:00:00.000,"Custom Kitchens of Bayshore",3076.32
"Bill",2025-05-01 00:00:00.000,"Kershaw Computer Services",6500
"Bill",2025-05-03 00:00:00.000,"East Bayshore Auto Mall",532.97
"Bill",2025-05-20 00:00:00.000,"Cal Telephone",81.79
"Bill",2025-05-20 00:00:00.000,"Custom Kitchens of Bayshore",3076.32
"Bill",2025-05-23 00:00:00.000,"Cal Gas & Electric",95.86
"Bill",2025-06-03 00:00:00.000,"East Bayshore Auto Mall",532.97
"Bill",2025-06-07 00:00:00.000,"Zeng Building Supplies",11807.8
"Bill",2025-06-13 00:00:00.000,"Patton Hardware Supplies",1214.89
"Bill",2025-06-15 00:00:00.000,"Patton Hardware Supplies",1109.15
"Bill",2025-06-16 00:00:00.000,"Sergeant Insurance",4050
"Bill",2025-06-20 00:00:00.000,"Cal Telephone",76.55
"Bill",2025-06-23 00:00:00.000,"Cal Gas & Electric",112.75
"Bill",2025-06-23 00:00:00.000,"Holly Heating and Electric",145
"Bill",2025-06-26 00:00:00.000,"Middlefield Drywall",200
"Bill",2025-06-30 00:00:00.000,"Vu Contracting",1000
"Bill",2025-07-03 00:00:00.000,"East Bayshore Auto Mall",532.97
"Bill",2025-07-10 00:00:00.000,"Sergeant Insurance",712.56
"Bill",2025-07-17 00:00:00.000,"Thomas Kitchen & Bath",1440
"Bill",2025-07-21 00:00:00.000,"Cal Gas & Electric",119.39
"Bill",2025-07-21 00:00:00.000,"Cal Telephone",84.04
"Bill",2025-07-29 00:00:00.000,"McClain Appliances",3915
"Bill",2025-07-30 00:00:00.000,"Patton Hardware Supplies",754.5
"Bill",2025-08-03 00:00:00.000,"East Bayshore Auto Mall",532.97
"Bill",2025-08-05 00:00:00.000,"Thomas Kitchen & Bath",6279.95
"Bill",2025-08-13 00:00:00.000,"Larson Flooring",1570
"Bill",2025-08-13 00:00:00.000,"Lew Plumbing",97.5
"Bill",2025-08-13 00:00:00.000,"Perry Windows & Doors",4998.95
"Bill",2025-08-13 00:00:00.000,"Wheeler's Tile Etc.",675
"Bill",2025-08-15 00:00:00.000,"C.U. Electric",490
"Bill",2025-08-15 00:00:00.000,"Daigle Lighting",525
"Bill",2025-08-15 00:00:00.000,"Keswick Insulation",590
"Bill",2025-08-15 00:00:00.000,"Lew Plumbing",380
"Bill",2025-08-15 00:00:00.000,"Middlefield Drywall",750
"Bill",2025-08-15 00:00:00.000,"Sloan Roofing",4000
"Bill",2025-08-20 00:00:00.000,"Cal Telephone",49.43
"Bill",2025-08-25 00:00:00.000,"Cal Gas & Electric",122.68
"Bill",2025-09-02 00:00:00.000,"Thomas Kitchen & Bath",2540
"Bill",2025-09-02 00:00:00.000,"Timberloft Lumber",638
"Bill",2025-09-03 00:00:00.000,"East Bayshore Auto Mall",532.97
"Bill",2025-09-09 00:00:00.000,"Washuta & Son Painting",597
"Bill",2025-09-22 00:00:00.000,"Cal Telephone",68.35
"Bill",2025-09-22 00:00:00.000,"Vu Contracting",1325
"Bill",2025-09-25 00:00:00.000,"McClain Appliances",455.5
"Bill",2025-09-30 00:00:00.000,"Sloan Roofing",500
"Bill",2025-10-01 00:00:00.000,"Daigle Lighting",1100
"Bill",2025-10-01 00:00:00.000,"McClain Appliances",1780
"Bill",2025-10-03 00:00:00.000,"East Bayshore Auto Mall",532.97
"Bill",2025-10-03 00:00:00.000,"Hamlin Metal",239
"Bill",2025-10-08 00:00:00.000,"Middlefield Drywall",850
"Bill",2025-10-10 00:00:00.000,"Keswick Insulation",150
"Bill",2025-10-10 00:00:00.000,"McClain Appliances",2100
"Bill",2025-10-10 00:00:00.000,"Sergeant Insurance",712.56
"Bill",2025-10-15 00:00:00.000,"Larson Flooring",5900
"Bill",2025-10-15 00:00:00.000,"Lew Plumbing",400
"Bill",2025-10-15 00:00:00.000,"Wheeler's Tile Etc.",4395
"Bill",2025-10-20 00:00:00.000,"C.U. Electric",250
"Bill",2025-10-20 00:00:00.000,"Timberloft Lumber",13780
"Bill",2025-10-25 00:00:00.000,"Perry Windows & Doors",1800
"Bill",2025-10-27 00:00:00.000,"Timberloft Lumber",1010
"Bill",2025-10-27 00:00:00.000,"Washuta & Son Painting",500
"Bill",2025-10-28 00:00:00.000,"C.U. Electric",250
"Bill",2025-10-28 00:00:00.000,"Lew Plumbing",180
"Bill",2025-10-28 00:00:00.000,"Middlefield Drywall",400
"Bill",2025-10-28 00:00:00.000,"Wheeler's Tile Etc.",450
"Bill",2025-10-30 00:00:00.000,"Thomas Kitchen & Bath",2017
"Bill",2025-10-30 00:00:00.000,"Timberloft Lumber",-475
"Bill",2025-10-30 00:00:00.000,"Wheeler's Tile Etc.",311
"Bill",2025-10-31 00:00:00.000,"McClain Appliances",3220
"Bill",2025-10-31 00:00:00.000,"Perry Windows & Doors",200.75
"Bill",2025-11-01 00:00:00.000,"C.U. Electric",440
"Bill",2025-11-01 00:00:00.000,"Gallion Masonry",1000
"Bill",2025-11-01 00:00:00.000,"Patton Hardware Supplies",656.23
"Bill",2025-11-02 00:00:00.000,"Sloan Roofing",2000
"Bill",2025-11-03 00:00:00.000,"East Bayshore Auto Mall",532.97
"Bill",2025-11-03 00:00:00.000,"Lew Plumbing",800
"Bill",2025-11-05 00:00:00.000,"Washuta & Son Painting",6000
"Bill",2025-11-07 00:00:00.000,"Hopkins Construction Rentals",300
"Bill",2025-11-10 00:00:00.000,"Daigle Lighting",1539
"Bill",2025-11-10 00:00:00.000,"East Bayshore Tool & Supply",101.23
"Bill",2025-11-10 00:00:00.000,"Keswick Insulation",500
"Bill",2025-11-10 00:00:00.000,"Middlefield Drywall",2400
"Bill",2025-11-11 00:00:00.000,"Washuta & Son Painting",150
"Bill",2025-11-13 00:00:00.000,"Sloan Roofing",5700
"Bill",2025-11-14 00:00:00.000,"Hamlin Metal",950
"Bill",2025-11-15 00:00:00.000,"Perry Windows & Doors",810
"Bill",2025-11-17 00:00:00.000,"Patton Hardware Supplies",325
"Bill",2025-11-18 00:00:00.000,"Perry Windows & Doors",2325
"Bill",2025-11-20 00:00:00.000,"Lew Plumbing",1000
"Bill",2025-11-20 00:00:00.000,"Perry Windows & Doors",5925
"Bill",2025-11-20 00:00:00.000,"Timberloft Lumber",1960
"Bill",2025-11-24 00:00:00.000,"Keswick Insulation",900
"Bill",2025-11-24 00:00:00.000,"Middlefield Drywall",1200
"Bill",2025-11-25 00:00:00.000,"Cal Telephone",91.94
"Bill",2025-11-28 00:00:00.000,"Lew Plumbing",700
"Bill",2025-11-29 00:00:00.000,"Wheeler's Tile Etc.",1250
"Bill",2025-11-30 00:00:00.000,"C.U. Electric",500
"Bill",2025-11-30 00:00:00.000,"C.U. Electric",1500
"Bill",2025-12-01 00:00:00.000,"East Bayshore Tool & Supply",696.52
"Bill",2025-12-01 00:00:00.000,"East Bayshore Tool & Supply",740.29
"Bill",2025-12-01 00:00:00.000,"East Bayshore Tool & Supply",1476.23
"Bill",2025-12-01 00:00:00.000,"Fay, Maureen Lynn, CPA",250
"Bill",2025-12-01 00:00:00.000,"Hopkins Construction Rentals",450
"Bill",2025-12-01 00:00:00.000,"Patton Hardware Supplies",210
"Bill",2025-12-01 00:00:00.000,"Patton Hardware Supplies",400
"Bill",2025-12-01 00:00:00.000,"Timberloft Lumber",80.5
"Bill",2025-12-01 00:00:00.000,"Timberloft Lumber",553
"Bill",2025-12-01 00:00:00.000,"Timberloft Lumber",805
"Bill",2025-12-01 00:00:00.000,"Timberloft Lumber",896
"Bill",2025-12-01 00:00:00.000,"Timberloft Lumber",1610
"Bill",2025-12-02 00:00:00.000,"Daigle Lighting",52
"Bill",2025-12-02 00:00:00.000,"Perry Windows & Doors",50
"Bill",2025-12-03 00:00:00.000,"East Bayshore Auto Mall",532.97
"Bill",2025-12-04 00:00:00.000,"Perry Windows & Doors",2400
"Bill",2025-12-05 00:00:00.000,"Hopkins Construction Rentals",550
"Bill",2025-12-06 00:00:00.000,"Timberloft Lumber",115
"Bill",2025-12-08 00:00:00.000,"Hopkins Construction Rentals",150
"Bill",2025-12-10 00:00:00.000,"Timberloft Lumber",475
"Bill",2025-12-11 00:00:00.000,"Daigle Lighting",640.92
"Bill",2025-12-11 00:00:00.000,"Express Delivery Service",70
"Bill",2025-12-11 00:00:00.000,"Hamlin Metal",670
"Bill",2025-12-11 00:00:00.000,"Lew Plumbing",1200
"Bill",2025-12-11 00:00:00.000,"Perry Windows & Doors",130
"Bill",2025-12-12 00:00:00.000,"C.U. Electric",250
"Bill",2025-12-12 00:00:00.000,"Lew Plumbing",175
"Bill",2025-12-12 00:00:00.000,"Patton Hardware Supplies",810
"Bill",2025-12-12 00:00:00.000,"Sloan Roofing",-850
"Bill",2025-12-12 00:00:00.000,"Sloan Roofing",1047
"Bill",2025-12-12 00:00:00.000,"Washuta & Son Painting",600
"Bill",2025-12-15 00:00:00.000,"Cal Gas & Electric",122.68
"Bill",2025-12-15 00:00:00.000,"Keswick Insulation",670
"Bill",2025-12-15 00:00:00.000,"Sergeant Insurance",4050
"Bill",2025-12-15 00:00:00.000,"Thomas Kitchen & Bath",585
"Bill",2025-12-15 00:00:00.000,"Vu Contracting",1250
"Check",2023-12-01 00:00:00.000,"Reyes Properties",1200
"Check",2023-12-05 00:00:00.000,"Express Delivery Service",35
"Check",2023-12-10 00:00:00.000,"Patton Hardware Supplies",197.59
"Check",2023-12-20 00:00:00.000,"Davis Business Associates",2100
"Check",2024-01-15 00:00:00.000,"Bank of Anycity",3495.82
"Check",2024-01-15 00:00:00.000,"CalOil Company",9521
"Check",2024-01-15 00:00:00.000,"Federal Treasury",100
"Check",2024-01-15 00:00:00.000,"QuickBooks MasterCard",12362.89
"Check",2024-01-15 00:00:00.000,"State Board of Equalization",208.09
"Check",2024-01-15 00:00:00.000,"State Board of Equalization",308.34
"Check",2024-01-15 00:00:00.000,"State Fund",1214.31
"Check",2024-01-31 00:00:00.000,"Bank of Anycity",2710.9
"Check",2024-01-31 00:00:00.000,"Bayshore CalOil Service",138
"Check",2024-01-31 00:00:00.000,"Bayshore Water",24
"Check",2024-01-31 00:00:00.000,"Cal Gas & Electric",123.67
"Check",2024-01-31 00:00:00.000,"Dianne's Auto Shop",218
"Check",2024-02-15 00:00:00.000,"CalOil Company",4050.98
"Check",2024-02-15 00:00:00.000,"Patton Hardware Supplies",268.39
"Check",2024-02-28 00:00:00.000,"Bank of Anycity",2710.9
"Check",2024-02-28 00:00:00.000,"Bayshore CalOil Service",142
"Check",2024-02-28 00:00:00.000,"Bayshore Water",24
"Check",2024-02-28 00:00:00.000,"Cal Gas & Electric",125.89
"Check",2024-02-28 00:00:00.000,"Cal Telephone",80
"Check",2024-02-28 00:00:00.000,"Dianne's Auto Shop",222
"Check",2024-03-13 00:00:00.000,"Vu Contracting",7500
"Check",2024-03-15 00:00:00.000,"QuickBooks MasterCard",1600
"Check",2024-03-31 00:00:00.000,"Bank of Anycity",2710.9
"Check",2024-03-31 00:00:00.000,"Bayshore CalOil Service",127
"Check",2024-03-31 00:00:00.000,"Bayshore Water",24
"Check",2024-03-31 00:00:00.000,"Bruce's Office Machines",450
"Check",2024-03-31 00:00:00.000,"Cal Gas & Electric",389.2
"Check",2024-03-31 00:00:00.000,"Cal Telephone",80
"Check",2024-03-31 00:00:00.000,"Dianne's Auto Shop",232
"Check",2024-04-30 00:00:00.000,"Bank of Anycity",2710.9
"Check",2024-04-30 00:00:00.000,"Bayshore CalOil Service",162
"Check",2024-04-30 00:00:00.000,"Bayshore Water",24
"Check",2024-04-30 00:00:00.000,"Cal Gas & Electric",120.93
"Check",2024-04-30 00:00:00.000,"Cal Telephone",80
"Check",2024-04-30 00:00:00.000,"Dianne's Auto Shop",192
"Check",2024-05-01 00:00:00.000,"Vu Contracting",7500
"Check",2024-05-15 00:00:00.000,"Patton Hardware Supplies",950.23
"Check",2024-05-15 00:00:00.000,"QuickBooks MasterCard",1400
"Check",2024-05-31 00:00:00.000,"Bank of Anycity",2710.9
"Check",2024-05-31 00:00:00.000,"Bayshore CalOil Service",143
"Check",2024-05-31 00:00:00.000,"Bayshore Water",24
"Check",2024-05-31 00:00:00.000,"Cal Gas & Electric",128.03
"Check",2024-05-31 00:00:00.000,"Cal Telephone",80
"Check",2024-05-31 00:00:00.000,"Dianne's Auto Shop",232
"Check",2024-06-06 00:00:00.000,"Vu Contracting",5275
"Check",2024-06-16 00:00:00.000,"Sergeant Insurance",1786
"Check",2024-06-30 00:00:00.000,"Bank of Anycity",2710.9
"Check",2024-06-30 00:00:00.000,"Bayshore CalOil Service",157
"Check",2024-06-30 00:00:00.000,"Bayshore Water",24
"Check",2024-06-30 00:00:00.000,"Bruce's Office Machines",450
"Check",2024-06-30 00:00:00.000,"Cal Gas & Electric",135.02
"Check",2024-06-30 00:00:00.000,"Cal Telephone",80
"Check",2024-06-30 00:00:00.000,"Dianne's Auto Shop",186
"Check",2024-07-23 00:00:00.000,"Patton Hardware Supplies",239.29
"Check",2024-07-31 00:00:00.000,"Bank of Anycity",2710.9
"Check",2024-07-31 00:00:00.000,"Bayshore CalOil Service",126
"Check",2024-07-31 00:00:00.000,"Bayshore Water",24
"Check",2024-07-31 00:00:00.000,"Cal Gas & Electric",128.03
"Check",2024-07-31 00:00:00.000,"Cal Telephone",80
"Check",2024-07-31 00:00:00.000,"Dianne's Auto Shop",126
"Check",2024-08-05 00:00:00.000,"City of East Bayshore",0
"Check",2024-08-05 00:00:00.000,"Vu Contracting",14625
"Check",2024-08-31 00:00:00.000,"Bank of Anycity",2710.9
"Check",2024-08-31 00:00:00.000,"Bayshore CalOil Service",136
"Check",2024-08-31 00:00:00.000,"Bayshore Water",24
"Check",2024-08-31 00:00:00.000,"Cal Gas & Electric",118.03
"Check",2024-08-31 00:00:00.000,"Cal Telephone",80
"Check",2024-08-31 00:00:00.000,"Dianne's Auto Shop",240
"Check",2024-09-05 00:00:00.000,"Vu Contracting",7325
"Check",2024-09-15 00:00:00.000,"CalOil Company",2340
"Check",2024-09-30 00:00:00.000,"Bank of Anycity",2710.9
"Check",2024-09-30 00:00:00.000,"Bayshore CalOil Service",135
"Check",2024-09-30 00:00:00.000,"Bayshore Water",24
"Check",2024-09-30 00:00:00.000,"Bruce's Office Machines",450
"Check",2024-09-30 00:00:00.000,"Cal Gas & Electric",112.95
"Check",2024-09-30 00:00:00.000,"Cal Telephone",80
"Check",2024-09-30 00:00:00.000,"Dianne's Auto Shop",215
"Check",2024-10-31 00:00:00.000,"Bank of Anycity",2710.9
"Check",2024-10-31 00:00:00.000,"Bayshore CalOil Service",148
"Check",2024-10-31 00:00:00.000,"Bayshore Water",24
"Check",2024-10-31 00:00:00.000,"Cal Gas & Electric",160.39
"Check",2024-10-31 00:00:00.000,"Cal Telephone",80
"Check",2024-10-31 00:00:00.000,"Dianne's Auto Shop",231
"Check",2024-11-15 00:00:00.000,"QuickBooks MasterCard",4050
"Check",2024-11-30 00:00:00.000,"Bank of Anycity",2710.9
"Check",2024-11-30 00:00:00.000,"Bayshore CalOil Service",145
"Check",2024-11-30 00:00:00.000,"Bayshore Water",24
"Check",2024-11-30 00:00:00.000,"Cal Gas & Electric",166.34
"Check",2024-11-30 00:00:00.000,"Cal Telephone",80
"Check",2024-11-30 00:00:00.000,"Dianne's Auto Shop",238
"Check",2024-12-01 00:00:00.000,"Fay, Maureen Lynn, CPA",250
"Check",2024-12-30 00:00:00.000,"Bruce's Office Machines",450
"Check",2024-12-30 00:00:00.000,"Vu Contracting",1650
"Check",2024-12-31 00:00:00.000,"Bank of Anycity",2710.9
"Check",2024-12-31 00:00:00.000,"Bayshore CalOil Service",156
"Check",2024-12-31 00:00:00.000,"Bayshore Water",24
"Check",2024-12-31 00:00:00.000,"Cal Gas & Electric",132.95
"Check",2024-12-31 00:00:00.000,"Cal Telephone",80
"Check",2024-12-31 00:00:00.000,"Dianne's Auto Shop",218
"Check",2025-01-15 00:00:00.000,"CalOil Company",530
"Check",2025-01-31 00:00:00.000,"Bank of Anycity",2710.9
"Check",2025-01-31 00:00:00.000,"Bayshore CalOil Service",142
"Check",2025-01-31 00:00:00.000,"Bayshore Water",24
"Check",2025-01-31 00:00:00.000,"Cal Telephone",80
"Check",2025-01-31 00:00:00.000,"Dianne's Auto Shop",236
"Check",2025-02-15 00:00:00.000,"CalOil Company",1911.3
"Check",2025-02-15 00:00:00.000,"QuickBooks MasterCard",695
"Check",2025-02-28 00:00:00.000,"Bank of Anycity",2710.9
"Check",2025-02-28 00:00:00.000,"Bayshore CalOil Service",145
"Check",2025-02-28 00:00:00.000,"Bayshore Water",24
"Check",2025-02-28 00:00:00.000,"Dianne's Auto Shop",231
"Check",2025-03-15 00:00:00.000,"QuickBooks MasterCard",700
"Check",2025-03-30 00:00:00.000,"Bruce's Office Machines",450
"Check",2025-03-31 00:00:00.000,"Bank of Anycity",2710.9
"Check",2025-03-31 00:00:00.000,"Bayshore CalOil Service",168
"Check",2025-03-31 00:00:00.000,"Bayshore Water",24
"Check",2025-03-31 00:00:00.000,"Dianne's Auto Shop",218
"Check",2025-04-01 00:00:00.000,"East Bayshore Tool & Supply",445.79
"Check",2025-04-01 00:00:00.000,"Timberloft Lumber",1080.73
"Check",2025-04-15 00:00:00.000,"CalOil Company",2142
"Check",2025-04-30 00:00:00.000,"Bank of Anycity",2710.9
"Check",2025-04-30 00:00:00.000,"Bayshore CalOil Service",132
"Check",2025-04-30 00:00:00.000,"Bayshore Water",24
"Check",2025-04-30 00:00:00.000,"Dianne's Auto Shop",215
"Check",2025-05-15 00:00:00.000,"CalOil Company",1845.8
"Check",2025-05-18 00:00:00.000,"Patton Hardware Supplies",36
"Check",2025-05-31 00:00:00.000,"Bank of Anycity",2710.9
"Check",2025-05-31 00:00:00.000,"Bayshore CalOil Service",156
"Check",2025-05-31 00:00:00.000,"Bayshore Water",24
"Check",2025-05-31 00:00:00.000,"Dianne's Auto Shop",214
"Check",2025-06-08 00:00:00.000,"Patton Hardware Supplies",72
"Check",2025-06-15 00:00:00.000,"CalOil Company",9164
"Check",2025-06-30 00:00:00.000,"Bank of Anycity",2710.9
"Check",2025-06-30 00:00:00.000,"Bayshore CalOil Service",132
"Check",2025-06-30 00:00:00.000,"Bayshore Water",24
"Check",2025-06-30 00:00:00.000,"Bruce's Office Machines",450
"Check",2025-06-30 00:00:00.000,"Dianne's Auto Shop",246
"Check",2025-07-15 00:00:00.000,"CalOil Company",4674.89
"Check",2025-07-31 00:00:00.000,"Bank of Anycity",2710.9
"Check",2025-07-31 00:00:00.000,"Bayshore CalOil Service",138
"Check",2025-07-31 00:00:00.000,"Bayshore Water",24
"Check",2025-07-31 00:00:00.000,"Dianne's Auto Shop",210
"Check",2025-08-31 00:00:00.000,"Bank of Anycity",2710.9
"Check",2025-08-31 00:00:00.000,"Bayshore CalOil Service",162
"Check",2025-08-31 00:00:00.000,"Bayshore Water",24
"Check",2025-08-31 00:00:00.000,"Dianne's Auto Shop",205
"Check",2025-09-03 00:00:00.000,"Hamlin Metal",1000
"Check",2025-09-30 00:00:00.000,"Bank of Anycity",2710.9
"Check",2025-09-30 00:00:00.000,"Bayshore CalOil Service",172
"Check",2025-09-30 00:00:00.000,"Bayshore Water",24
"Check",2025-09-30 00:00:00.000,"Bruce's Office Machines",450
"Check",2025-09-30 00:00:00.000,"Dianne's Auto Shop",201
"Check",2025-09-30 00:00:00.000,"Vu Contracting",925
"Check",2025-10-13 00:00:00.000,"City of Middlefield",300
"Check",2025-10-15 00:00:00.000,"CalOil Company",6534.28
"Check",2025-10-22 00:00:00.000,"Bank of Anycity",244.13
"Check",2025-10-22 00:00:00.000,"Express Delivery Service",35
"Check",2025-10-25 00:00:00.000,"Cal Gas & Electric",56.87
"Check",2025-10-25 00:00:00.000,"Cal Telephone",92.94
"Check",2025-10-31 00:00:00.000,"Bank of Anycity",2710.9
"Check",2025-10-31 00:00:00.000,"Bayshore Water",24
"Check",2025-10-31 00:00:00.000,"Dianne's Auto Shop",212
"Check",2025-11-01 00:00:00.000,"Kershaw Computer Services",0
"Check",2025-11-01 00:00:00.000,"Thomas Kitchen & Bath",0
"Check",2025-11-12 00:00:00.000,"Patton Hardware Supplies",48.1
"Check",2025-11-15 00:00:00.000,"CalOil Company",48.28
"Check",2025-11-15 00:00:00.000,"Patton Hardware Supplies",489.23
"Check",2025-11-15 00:00:00.000,"QuickBooks MasterCard",1050
"Check",2025-11-15 00:00:00.000,"Sergeant Insurance",675
"Check",2025-11-19 00:00:00.000,"City of Bayshore",225
"Check",2025-11-22 00:00:00.000,"Bank of Anycity",244.13
"Check",2025-11-25 00:00:00.000,"Cal Gas & Electric",97.53
"Check",2025-11-30 00:00:00.000,"Bank of Anycity",2710.9
"Check",2025-11-30 00:00:00.000,"Bayshore Water",24
"Check",2025-11-30 00:00:00.000,"Dianne's Auto Shop",218
"Check",2025-12-02 00:00:00.000,"CalOil Company",135.8
"Check",2025-12-08 00:00:00.000,"City of Middlefield",175
"Check",2025-12-15 00:00:00.000,"Vu Contracting",1000
"Invoice",2023-11-28 00:00:00.000,"Prentice, Adelaide:Bay Window",431.95
"Invoice",2023-11-30 00:00:00.000,"Melton, Johnny:Basement Remodel",14488.64
"Invoice",2023-12-01 00:00:00.000,"Pretell Real Estate:75 Sunset Rd.",11785.05
"Invoice",2023-12-09 00:00:00.000,"Smallson, Fran:Office remodeling",1665
"Invoice",2023-12-15 00:00:00.000,"Baker, Chris:Garage Repair",1040
"Invoice",2023-12-15 00:00:00.000,"Ecker Designs:Office Expansion",1468.3
"Invoice",2023-12-15 00:00:00.000,"Ecker Designs:Office Expansion",4757.81
"Invoice",2023-12-15 00:00:00.000,"Pretell Real Estate:75 Sunset Rd.",13026.27
"Invoice",2023-12-23 00:00:00.000,"Castillo, Eloisa:Bay Window",361.08
"Invoice",2024-01-28 00:00:00.000,"Vasquez, Anabel:Basement Remodel",862
"Invoice",2024-01-31 00:00:00.000,"Vasquez, Anabel:Basement Remodel",24609.56
"Invoice",2024-02-18 00:00:00.000,"Kanitz, Marion:Bay Window",6278.8
"Invoice",2024-03-28 00:00:00.000,"Bauman, Mark:Home Remodel",16500
"Invoice",2024-04-16 00:00:00.000,"Jacobsen, Doug:Poolhouse",7991.52
"Invoice",2024-05-14 00:00:00.000,"Fisher, Jennifer:Home Remodel",16500
"Invoice",2024-06-16 00:00:00.000,"Nelson, Wilma:Office Remodel",11605
"Invoice",2024-07-20 00:00:00.000,"Ruff, Bryan:Sun Room",5516.05
"Invoice",2024-08-20 00:00:00.000,"Prentice, Adelaide:Guest Villa",36575
"Invoice",2024-09-20 00:00:00.000,"Sauler, Lyn:Home Remodel",16115
"Invoice",2024-10-01 00:00:00.000,"Lamb, Brad:Room Addition",11172.6
"Invoice",2024-10-09 00:00:00.000,"Easley, Paula:Garage",2519.39
"Invoice",2024-10-14 00:00:00.000,"Bolinski, Rafal:2nd story addition",5079.48
"Invoice",2024-11-26 00:00:00.000,"Bolinski, Rafal:2nd story addition",5079.48
"Invoice",2024-12-09 00:00:00.000,"Freeman, Kirby:Remodel Bathroom",1867.89
"Invoice",2024-12-20 00:00:00.000,"Freeman, Kirby:Remodel Bathroom",1867.89
"Invoice",2024-12-27 00:00:00.000,"Freeman, Kirby:Remodel Bathroom",1924.4
"Invoice",2025-01-04 00:00:00.000,"Bristol, Sonya:Repairs",95.69
