Megawatt Hours Generated,BA,Energy Source,Date/Time,Electricity Generated (MWH in 1000's)
1072.0,PJM,Other,2020-12-03 06:00:00.000,1000.0
17.0,LDWP,Solar,2021-05-02 02:00:00.000,0.0
360.0,AECI,Wind,2020-04-06 21:00:00.000,0.0
76.0,SC,Other,2021-01-29 09:00:00.000,0.0
0.0,PGE,Coal,2019-04-28 16:00:00.000,0.0
1307.0,DUK,Natural Gas,2020-04-21 11:00:00.000,1000.0
46.0,PACW,Other,2019-09-18 08:00:00.000,0.0
229.0,PGE,Hydroelectric,2019-11-26 14:00:00.000,0.0
31.0,AZPS,Other,2019-12-25 08:00:00.000,0.0
1069.0,PSCO,Wind,2018-10-19 02:00:00.000,1000.0
0.0,PNM,Solar,2021-02-09 06:00:00.000,0.0
0.0,IPCO,Natural Gas,2019-04-16 16:00:00.000,0.0
2.0,GVL,Natural Gas,2019-01-25 20:00:00.000,0.0
5.0,AEC,Other,2020-12-14 23:00:00.000,0.0
44.0,MISO,Solar,2020-09-02 07:00:00.000,0.0
0.0,TVA,Wind,2020-12-03 09:00:00.000,0.0
13815.0,ERCO,Wind,2020-01-13 15:00:00.000,13000.0
235.0,SPA,Other,2020-01-29 11:00:00.000,0.0
0.0,ISNE,Coal,2018-08-18 12:00:00.000,0.0
277.0,AVA,Natural Gas,2019-02-24 15:00:00.000,0.0
0.0,TAL,Solar,2019-03-19 02:00:00.000,0.0
4024.0,PACE,Coal,2019-08-05 14:00:00.000,4000.0
775.0,SEC,Natural Gas,2020-01-01 05:00:00.000,0.0
61.0,WALC,Hydroelectric,2019-12-23 02:00:00.000,0.0
606.0,AEC,Natural Gas,2019-05-12 21:00:00.000,0.0
3.0,JEA,Other,2018-12-29 08:00:00.000,0.0
29917.0,PJM,Nuclear,2019-11-15 02:00:00.000,29000.0
11834.0,MISO,Nuclear,2019-03-04 07:00:00.000,11000.0
416.0,IID,Other,2021-02-10 19:00:00.000,0.0
201.0,TIDC,Natural Gas,2018-08-15 02:00:00.000,0.0
3484.0,TVA,Natural Gas,2019-05-04 23:00:00.000,3000.0
2529.0,DUK,Natural Gas,2019-10-10 09:00:00.000,2000.0
0.0,EEI,Natural Gas,2020-01-21 11:00:00.000,0.0
233.0,BPAT,Other,2020-11-21 14:00:00.000,0.0
1357.0,PSCO,Coal,2020-12-04 06:00:00.000,1000.0
357.0,TEPC,Coal,2019-09-10 09:00:00.000,0.0
5.0,SCEG,Other,2020-01-30 13:00:00.000,0.0
20.0,FPC,Hydroelectric,2021-01-05 22:00:00.000,0.0
3703.0,CPLE,Nuclear,2020-01-08 22:00:00.000,3000.0
-1.0,HGMA,Natural Gas,2019-11-28 00:00:00.000,-1000.0
1211.0,SCEG,Coal,2019-01-23 14:00:00.000,1000.0
1195.0,CHPD,Hydroelectric,2020-04-28 18:00:00.000,1000.0
206.0,NWMT,Wind,2019-05-31 08:00:00.000,0.0
4.0,LDWP,Solar,2019-07-12 22:00:00.000,0.0
3485.0,PACE,Coal,2020-06-21 00:00:00.000,3000.0
30.0,LDWP,Hydroelectric,2020-02-24 18:00:00.000,0.0
26649.0,ERCO,Natural Gas,2019-09-30 12:00:00.000,26000.0
31.0,FPC,Hydroelectric,2021-01-03 10:00:00.000,0.0
2325.0,SOCO,Hydroelectric,2019-04-20 16:00:00.000,2000.0
718.0,ISNE,Other,2020-02-21 00:00:00.000,0.0
23.0,PSEI,Other,2020-10-13 03:00:00.000,0.0
3.0,BPAT,Solar,2019-03-13 11:00:00.000,0.0
191.0,SOCO,Other,2018-11-23 05:00:00.000,0.0
639.0,LDWP,Coal,2019-07-12 01:00:00.000,0.0
1364.0,PSCO,Coal,2020-04-26 10:00:00.000,1000.0
3388.0,ISNE,Nuclear,2020-02-19 15:00:00.000,3000.0
-5.0,PACE,Other,2019-07-21 07:00:00.000,-1000.0
1367.0,PACW,Coal,2019-03-19 21:00:00.000,1000.0
21.0,YAD,Hydroelectric,2018-09-04 06:00:00.000,0.0
1876.0,CISO,Hydroelectric,2018-11-13 23:00:00.000,1000.0
1018.0,CHPD,Hydroelectric,2020-10-13 21:00:00.000,1000.0
16898.0,PJM,Coal,2020-03-19 10:00:00.000,16000.0
230.0,TPWR,Hydroelectric,2019-10-29 19:00:00.000,0.0
0.0,SEPA,Hydroelectric,2021-01-19 14:00:00.000,0.0
346.0,LDWP,Other,2018-09-10 20:00:00.000,0.0
119.0,SCEG,Hydroelectric,2019-03-21 05:00:00.000,0.0
3.0,IID,Hydroelectric,2020-01-12 05:00:00.000,0.0
17.0,FMPP,Other,2018-11-11 23:00:00.000,0.0
42.0,TAL,Solar,2020-08-15 11:00:00.000,0.0
1847.0,TVA,Natural Gas,2020-01-11 19:00:00.000,1000.0
