Megawatt Hours Demand,BA-Subregion,Date/Time
3800,"AZPS-N/A",2021-05-05 15:00:00.000
3500,"AZPS-N/A",2021-05-05 14:00:00.000
3211,"AZPS-N/A",2021-05-05 13:00:00.000
2990,"AZPS-N/A",2021-05-05 12:00:00.000
2839,"AZPS-N/A",2021-05-05 11:00:00.000
2796,"AZPS-N/A",2021-05-05 10:00:00.000
2848,"AZPS-N/A",2021-05-05 09:00:00.000
2795,"AZPS-N/A",2021-05-05 08:00:00.000
2693,"AZPS-N/A",2021-05-05 07:00:00.000
2597,"AZPS-N/A",2021-05-05 06:00:00.000
2554,"AZPS-N/A",2021-05-05 05:00:00.000
2603,"AZPS-N/A",2021-05-05 04:00:00.000
2728,"AZPS-N/A",2021-05-05 03:00:00.000
2896,"AZPS-N/A",2021-05-05 02:00:00.000
3107,"AZPS-N/A",2021-05-05 01:00:00.000
3460,"AZPS-N/A",2021-05-05 00:00:00.000
3825,"AZPS-N/A",2021-05-04 23:00:00.000
4109,"AZPS-N/A",2021-05-04 22:00:00.000
4178,"AZPS-N/A",2021-05-04 21:00:00.000
4303,"AZPS-N/A",2021-05-04 20:00:00.000
4318,"AZPS-N/A",2021-05-04 19:00:00.000
4088,"AZPS-N/A",2021-05-04 18:00:00.000
3814,"AZPS-N/A",2021-05-04 17:00:00.000
3625,"AZPS-N/A",2021-05-04 16:00:00.000
3371,"AZPS-N/A",2021-05-04 15:00:00.000
3114,"AZPS-N/A",2021-05-04 14:00:00.000
2913,"AZPS-N/A",2021-05-04 13:00:00.000
2758,"AZPS-N/A",2021-05-04 12:00:00.000
2708,"AZPS-N/A",2021-05-04 11:00:00.000
2714,"AZPS-N/A",2021-05-04 10:00:00.000
2767,"AZPS-N/A",2021-05-04 09:00:00.000
2768,"AZPS-N/A",2021-05-04 08:00:00.000
2665,"AZPS-N/A",2021-05-04 07:00:00.000
2572,"AZPS-N/A",2021-05-04 06:00:00.000
2533,"AZPS-N/A",2021-05-04 05:00:00.000
2575,"AZPS-N/A",2021-05-04 04:00:00.000
2670,"AZPS-N/A",2021-05-04 03:00:00.000
2830,"AZPS-N/A",2021-05-04 02:00:00.000
3053,"AZPS-N/A",2021-05-04 01:00:00.000
3378,"AZPS-N/A",2021-05-04 00:00:00.000
3702,"AZPS-N/A",2021-05-03 23:00:00.000
3938,"AZPS-N/A",2021-05-03 22:00:00.000
3965,"AZPS-N/A",2021-05-03 21:00:00.000
4041,"AZPS-N/A",2021-05-03 20:00:00.000
4016,"AZPS-N/A",2021-05-03 19:00:00.000
3790,"AZPS-N/A",2021-05-03 18:00:00.000
3524,"AZPS-N/A",2021-05-03 17:00:00.000
3354,"AZPS-N/A",2021-05-03 16:00:00.000
3141,"AZPS-N/A",2021-05-03 15:00:00.000
2954,"AZPS-N/A",2021-05-03 14:00:00.000
2800,"AZPS-N/A",2021-05-03 13:00:00.000
2711,"AZPS-N/A",2021-05-03 12:00:00.000
2662,"AZPS-N/A",2021-05-03 11:00:00.000
2706,"AZPS-N/A",2021-05-03 10:00:00.000
2794,"AZPS-N/A",2021-05-03 09:00:00.000
2773,"AZPS-N/A",2021-05-03 08:00:00.000
2696,"AZPS-N/A",2021-05-03 07:00:00.000
2560,"AZPS-N/A",2021-05-03 06:00:00.000
2515,"AZPS-N/A",2021-05-03 05:00:00.000
2564,"AZPS-N/A",2021-05-03 04:00:00.000
2664,"AZPS-N/A",2021-05-03 03:00:00.000
2821,"AZPS-N/A",2021-05-03 02:00:00.000
3037,"AZPS-N/A",2021-05-03 01:00:00.000
3336,"AZPS-N/A",2021-05-03 00:00:00.000
3642,"AZPS-N/A",2021-05-02 23:00:00.000
3843,"AZPS-N/A",2021-05-02 22:00:00.000
3937,"AZPS-N/A",2021-05-02 21:00:00.000
3989,"AZPS-N/A",2021-05-02 20:00:00.000
3981,"AZPS-N/A",2021-05-02 19:00:00.000
3757,"AZPS-N/A",2021-05-02 18:00:00.000
3485,"AZPS-N/A",2021-05-02 17:00:00.000
3268,"AZPS-N/A",2021-05-02 16:00:00.000
3064,"AZPS-N/A",2021-05-02 15:00:00.000
2903,"AZPS-N/A",2021-05-02 14:00:00.000
2744,"AZPS-N/A",2021-05-02 13:00:00.000
2619,"AZPS-N/A",2021-05-02 12:00:00.000
2523,"AZPS-N/A",2021-05-02 11:00:00.000
2490,"AZPS-N/A",2021-05-02 10:00:00.000
2464,"AZPS-N/A",2021-05-02 09:00:00.000
2463,"AZPS-N/A",2021-05-02 08:00:00.000
2511,"AZPS-N/A",2021-05-02 07:00:00.000
2536,"AZPS-N/A",2021-05-02 06:00:00.000
2576,"AZPS-N/A",2021-05-02 05:00:00.000
2696,"AZPS-N/A",2021-05-02 04:00:00.000
2855,"AZPS-N/A",2021-05-02 03:00:00.000
3043,"AZPS-N/A",2021-05-02 02:00:00.000
3245,"AZPS-N/A",2021-05-02 01:00:00.000
3520,"AZPS-N/A",2021-05-02 00:00:00.000
3780,"AZPS-N/A",2021-05-01 23:00:00.000
3989,"AZPS-N/A",2021-05-01 22:00:00.000
4149,"AZPS-N/A",2021-05-01 21:00:00.000
4285,"AZPS-N/A",2021-05-01 20:00:00.000
4305,"AZPS-N/A",2021-05-01 19:00:00.000
4234,"AZPS-N/A",2021-05-01 18:00:00.000
4023,"AZPS-N/A",2021-05-01 17:00:00.000
3853,"AZPS-N/A",2021-05-01 16:00:00.000
3587,"AZPS-N/A",2021-05-01 15:00:00.000
3339,"AZPS-N/A",2021-05-01 14:00:00.000
3158,"AZPS-N/A",2021-05-01 13:00:00.000
2974,"AZPS-N/A",2021-05-01 12:00:00.000
2790,"AZPS-N/A",2021-05-01 11:00:00.000
2664,"AZPS-N/A",2021-05-01 10:00:00.000
2594,"AZPS-N/A",2021-05-01 09:00:00.000
2573,"AZPS-N/A",2021-05-01 08:00:00.000
2576,"AZPS-N/A",2021-05-01 07:00:00.000
2575,"AZPS-N/A",2021-05-01 06:00:00.000
2591,"AZPS-N/A",2021-05-01 05:00:00.000
2682,"AZPS-N/A",2021-05-01 04:00:00.000
2792,"AZPS-N/A",2021-05-01 03:00:00.000
2969,"AZPS-N/A",2021-05-01 02:00:00.000
3204,"AZPS-N/A",2021-05-01 01:00:00.000
3508,"AZPS-N/A",2021-05-01 00:00:00.000
3816,"AZPS-N/A",2021-04-30 23:00:00.000
4085,"AZPS-N/A",2021-04-30 22:00:00.000
4234,"AZPS-N/A",2021-04-30 21:00:00.000
4404,"AZPS-N/A",2021-04-30 20:00:00.000
4457,"AZPS-N/A",2021-04-30 19:00:00.000
4215,"AZPS-N/A",2021-04-30 18:00:00.000
3927,"AZPS-N/A",2021-04-30 17:00:00.000
3699,"AZPS-N/A",2021-04-30 16:00:00.000
3409,"AZPS-N/A",2021-04-30 15:00:00.000
3144,"AZPS-N/A",2021-04-30 14:00:00.000
2943,"AZPS-N/A",2021-04-30 13:00:00.000
2817,"AZPS-N/A",2021-04-30 12:00:00.000
2738,"AZPS-N/A",2021-04-30 11:00:00.000
2731,"AZPS-N/A",2021-04-30 10:00:00.000
2774,"AZPS-N/A",2021-04-30 09:00:00.000
2755,"AZPS-N/A",2021-04-30 08:00:00.000
2656,"AZPS-N/A",2021-04-30 07:00:00.000
2554,"AZPS-N/A",2021-04-30 06:00:00.000
2520,"AZPS-N/A",2021-04-30 05:00:00.000
2558,"AZPS-N/A",2021-04-30 04:00:00.000
2662,"AZPS-N/A",2021-04-30 03:00:00.000
2809,"AZPS-N/A",2021-04-30 02:00:00.000
3049,"AZPS-N/A",2021-04-30 01:00:00.000
3368,"AZPS-N/A",2021-04-30 00:00:00.000
3703,"AZPS-N/A",2021-04-29 23:00:00.000
3952,"AZPS-N/A",2021-04-29 22:00:00.000
4023,"AZPS-N/A",2021-04-29 21:00:00.000
4087,"AZPS-N/A",2021-04-29 20:00:00.000
4039,"AZPS-N/A",2021-04-29 19:00:00.000
3763,"AZPS-N/A",2021-04-29 18:00:00.000
3424,"AZPS-N/A",2021-04-29 17:00:00.000
3149,"AZPS-N/A",2021-04-29 16:00:00.000
2886,"AZPS-N/A",2021-04-29 15:00:00.000
2650,"AZPS-N/A",2021-04-29 14:00:00.000
2495,"AZPS-N/A",2021-04-29 13:00:00.000
2421,"AZPS-N/A",2021-04-29 12:00:00.000
2429,"AZPS-N/A",2021-04-29 11:00:00.000
2528,"AZPS-N/A",2021-04-29 10:00:00.000
2673,"AZPS-N/A",2021-04-29 09:00:00.000
2700,"AZPS-N/A",2021-04-29 08:00:00.000
2576,"AZPS-N/A",2021-04-29 07:00:00.000
2452,"AZPS-N/A",2021-04-29 06:00:00.000
2402,"AZPS-N/A",2021-04-29 05:00:00.000
2409,"AZPS-N/A",2021-04-29 04:00:00.000
2461,"AZPS-N/A",2021-04-29 03:00:00.000
2557,"AZPS-N/A",2021-04-29 02:00:00.000
2696,"AZPS-N/A",2021-04-29 01:00:00.000
2919,"AZPS-N/A",2021-04-29 00:00:00.000
3147,"AZPS-N/A",2021-04-28 23:00:00.000
3260,"AZPS-N/A",2021-04-28 22:00:00.000
3224,"AZPS-N/A",2021-04-28 21:00:00.000
3109,"AZPS-N/A",2021-04-28 20:00:00.000
2993,"AZPS-N/A",2021-04-28 19:00:00.000
2915,"AZPS-N/A",2021-04-28 18:00:00.000
2881,"AZPS-N/A",2021-04-28 17:00:00.000
2652,"AZPS-N/A",2021-04-28 16:00:00.000
2464,"AZPS-N/A",2021-04-28 15:00:00.000
2316,"AZPS-N/A",2021-04-28 14:00:00.000
2218,"AZPS-N/A",2021-04-28 13:00:00.000
2240,"AZPS-N/A",2021-04-28 12:00:00.000
2377,"AZPS-N/A",2021-04-28 11:00:00.000
2452,"AZPS-N/A",2021-04-28 10:00:00.000
2646,"AZPS-N/A",2021-04-28 09:00:00.000
2720,"AZPS-N/A",2021-04-28 08:00:00.000
2583,"AZPS-N/A",2021-04-28 07:00:00.000
2446,"AZPS-N/A",2021-04-28 06:00:00.000
2374,"AZPS-N/A",2021-04-28 05:00:00.000
2391,"AZPS-N/A",2021-04-28 04:00:00.000
2421,"AZPS-N/A",2021-04-28 03:00:00.000
2511,"AZPS-N/A",2021-04-28 02:00:00.000
2646,"AZPS-N/A",2021-04-28 01:00:00.000
2852,"AZPS-N/A",2021-04-28 00:00:00.000
3063,"AZPS-N/A",2021-04-27 23:00:00.000
3201,"AZPS-N/A",2021-04-27 22:00:00.000
3124,"AZPS-N/A",2021-04-27 21:00:00.000
3057,"AZPS-N/A",2021-04-27 20:00:00.000
2920,"AZPS-N/A",2021-04-27 19:00:00.000
2670,"AZPS-N/A",2021-04-27 18:00:00.000
2452,"AZPS-N/A",2021-04-27 17:00:00.000
2338,"AZPS-N/A",2021-04-27 16:00:00.000
2238,"AZPS-N/A",2021-04-27 15:00:00.000
2168,"AZPS-N/A",2021-04-27 14:00:00.000
2145,"AZPS-N/A",2021-04-27 13:00:00.000
2236,"AZPS-N/A",2021-04-27 12:00:00.000
2369,"AZPS-N/A",2021-04-27 11:00:00.000
2586,"AZPS-N/A",2021-04-27 10:00:00.000
2748,"AZPS-N/A",2021-04-27 09:00:00.000
2763,"AZPS-N/A",2021-04-27 08:00:00.000
2624,"AZPS-N/A",2021-04-27 07:00:00.000
2504,"AZPS-N/A",2021-04-27 06:00:00.000
2435,"AZPS-N/A",2021-04-27 05:00:00.000
2426,"AZPS-N/A",2021-04-27 04:00:00.000
2454,"AZPS-N/A",2021-04-27 03:00:00.000
2539,"AZPS-N/A",2021-04-27 02:00:00.000
2669,"AZPS-N/A",2021-04-27 01:00:00.000
2898,"AZPS-N/A",2021-04-27 00:00:00.000
3100,"AZPS-N/A",2021-04-26 23:00:00.000
3238,"AZPS-N/A",2021-04-26 22:00:00.000
3248,"AZPS-N/A",2021-04-26 21:00:00.000
3133,"AZPS-N/A",2021-04-26 20:00:00.000
3084,"AZPS-N/A",2021-04-26 19:00:00.000
2965,"AZPS-N/A",2021-04-26 18:00:00.000
2876,"AZPS-N/A",2021-04-26 17:00:00.000
2747,"AZPS-N/A",2021-04-26 16:00:00.000
2623,"AZPS-N/A",2021-04-26 15:00:00.000
2444,"AZPS-N/A",2021-04-26 14:00:00.000
2456,"AZPS-N/A",2021-04-26 13:00:00.000
2547,"AZPS-N/A",2021-04-26 12:00:00.000
2722,"AZPS-N/A",2021-04-26 11:00:00.000
2787,"AZPS-N/A",2021-04-26 10:00:00.000
2800,"AZPS-N/A",2021-04-26 09:00:00.000
2728,"AZPS-N/A",2021-04-26 08:00:00.000
2598,"AZPS-N/A",2021-04-26 07:00:00.000
2466,"AZPS-N/A",2021-04-26 06:00:00.000
2430,"AZPS-N/A",2021-04-26 05:00:00.000
2483,"AZPS-N/A",2021-04-26 04:00:00.000
2566,"AZPS-N/A",2021-04-26 03:00:00.000
2703,"AZPS-N/A",2021-04-26 02:00:00.000
2897,"AZPS-N/A",2021-04-26 01:00:00.000
3185,"AZPS-N/A",2021-04-26 00:00:00.000
3492,"AZPS-N/A",2021-04-25 23:00:00.000
3709,"AZPS-N/A",2021-04-25 22:00:00.000
3828,"AZPS-N/A",2021-04-25 21:00:00.000
3900,"AZPS-N/A",2021-04-25 20:00:00.000
3843,"AZPS-N/A",2021-04-25 19:00:00.000
3646,"AZPS-N/A",2021-04-25 18:00:00.000
3372,"AZPS-N/A",2021-04-25 17:00:00.000
3075,"AZPS-N/A",2021-04-25 16:00:00.000
2818,"AZPS-N/A",2021-04-25 15:00:00.000
2614,"AZPS-N/A",2021-04-25 14:00:00.000
2432,"AZPS-N/A",2021-04-25 13:00:00.000
2321,"AZPS-N/A",2021-04-25 12:00:00.000
2269,"AZPS-N/A",2021-04-25 11:00:00.000
2268,"AZPS-N/A",2021-04-25 10:00:00.000
2297,"AZPS-N/A",2021-04-25 09:00:00.000
2332,"AZPS-N/A",2021-04-25 08:00:00.000
2350,"AZPS-N/A",2021-04-25 07:00:00.000
2349,"AZPS-N/A",2021-04-25 06:00:00.000
2360,"AZPS-N/A",2021-04-25 05:00:00.000
2415,"AZPS-N/A",2021-04-25 04:00:00.000
2527,"AZPS-N/A",2021-04-25 03:00:00.000
2674,"AZPS-N/A",2021-04-25 02:00:00.000
2880,"AZPS-N/A",2021-04-25 01:00:00.000
3114,"AZPS-N/A",2021-04-25 00:00:00.000
3332,"AZPS-N/A",2021-04-24 23:00:00.000
3535,"AZPS-N/A",2021-04-24 22:00:00.000
3649,"AZPS-N/A",2021-04-24 21:00:00.000
3713,"AZPS-N/A",2021-04-24 20:00:00.000
3685,"AZPS-N/A",2021-04-24 19:00:00.000
3458,"AZPS-N/A",2021-04-24 18:00:00.000
3178,"AZPS-N/A",2021-04-24 17:00:00.000
2911,"AZPS-N/A",2021-04-24 16:00:00.000
2705,"AZPS-N/A",2021-04-24 15:00:00.000
2523,"AZPS-N/A",2021-04-24 14:00:00.000
2409,"AZPS-N/A",2021-04-24 13:00:00.000
2341,"AZPS-N/A",2021-04-24 12:00:00.000
2340,"AZPS-N/A",2021-04-24 11:00:00.000
2351,"AZPS-N/A",2021-04-24 10:00:00.000
2390,"AZPS-N/A",2021-04-24 09:00:00.000
2422,"AZPS-N/A",2021-04-24 08:00:00.000
2420,"AZPS-N/A",2021-04-24 07:00:00.000
2378,"AZPS-N/A",2021-04-24 06:00:00.000
2381,"AZPS-N/A",2021-04-24 05:00:00.000
2435,"AZPS-N/A",2021-04-24 04:00:00.000
2529,"AZPS-N/A",2021-04-24 03:00:00.000
2668,"AZPS-N/A",2021-04-24 02:00:00.000
2846,"AZPS-N/A",2021-04-24 01:00:00.000
3084,"AZPS-N/A",2021-04-24 00:00:00.000
3291,"AZPS-N/A",2021-04-23 23:00:00.000
3441,"AZPS-N/A",2021-04-23 22:00:00.000
3467,"AZPS-N/A",2021-04-23 21:00:00.000
3469,"AZPS-N/A",2021-04-23 20:00:00.000
3431,"AZPS-N/A",2021-04-23 19:00:00.000
3214,"AZPS-N/A",2021-04-23 18:00:00.000
2965,"AZPS-N/A",2021-04-23 17:00:00.000
2798,"AZPS-N/A",2021-04-23 16:00:00.000
2634,"AZPS-N/A",2021-04-23 15:00:00.000
2489,"AZPS-N/A",2021-04-23 14:00:00.000
2417,"AZPS-N/A",2021-04-23 13:00:00.000
2390,"AZPS-N/A",2021-04-23 12:00:00.000
2436,"AZPS-N/A",2021-04-23 11:00:00.000
2550,"AZPS-N/A",2021-04-23 10:00:00.000
2675,"AZPS-N/A",2021-04-23 09:00:00.000
2685,"AZPS-N/A",2021-04-23 08:00:00.000
2592,"AZPS-N/A",2021-04-23 07:00:00.000
2467,"AZPS-N/A",2021-04-23 06:00:00.000
2418,"AZPS-N/A",2021-04-23 05:00:00.000
2436,"AZPS-N/A",2021-04-23 04:00:00.000
2512,"AZPS-N/A",2021-04-23 03:00:00.000
2623,"AZPS-N/A",2021-04-23 02:00:00.000
2797,"AZPS-N/A",2021-04-23 01:00:00.000
3034,"AZPS-N/A",2021-04-23 00:00:00.000
3290,"AZPS-N/A",2021-04-22 23:00:00.000
3435,"AZPS-N/A",2021-04-22 22:00:00.000
3461,"AZPS-N/A",2021-04-22 21:00:00.000
3427,"AZPS-N/A",2021-04-22 20:00:00.000
3346,"AZPS-N/A",2021-04-22 19:00:00.000
3129,"AZPS-N/A",2021-04-22 18:00:00.000
2873,"AZPS-N/A",2021-04-22 17:00:00.000
2723,"AZPS-N/A",2021-04-22 16:00:00.000
2565,"AZPS-N/A",2021-04-22 15:00:00.000
2443,"AZPS-N/A",2021-04-22 14:00:00.000
2371,"AZPS-N/A",2021-04-22 13:00:00.000
2360,"AZPS-N/A",2021-04-22 12:00:00.000
2416,"AZPS-N/A",2021-04-22 11:00:00.000
2536,"AZPS-N/A",2021-04-22 10:00:00.000
2668,"AZPS-N/A",2021-04-22 09:00:00.000
2692,"AZPS-N/A",2021-04-22 08:00:00.000
2582,"AZPS-N/A",2021-04-22 07:00:00.000
2447,"AZPS-N/A",2021-04-22 06:00:00.000
2399,"AZPS-N/A",2021-04-22 05:00:00.000
2432,"AZPS-N/A",2021-04-22 04:00:00.000
