Year,Name,Rank,Ranking,Gender,Ranking (groups)
1924,"Horace",70,-70,"Boys","51-70"
1924,"Howard",93,-93,"Boys","71-100"
1924,"Hubert",87,-87,"Boys","71-100"
1924,"Hugh",71,-71,"Boys","71-100"
1924,"Ian",85,-85,"Boys","71-100"
1924,"Ivan",97,-97,"Boys","71-100"
1924,"Ivor",77,-77,"Boys","71-100"
1924,"Jack",33,-33,"Boys","31-50"
1924,"James",4,-4,"Boys","1-10"
1924,"John",1,-1,"Boys","1-10"
1924,"Joseph",16,-16,"Boys","11-20"
1924,"Keith",86,-86,"Boys","71-100"
1924,"Kenneth",7,-7,"Boys","1-10"
1924,"Laurence",100,-100,"Boys","71-100"
1924,"Lawrence",62,-62,"Boys","51-70"
1924,"Leonard",25,-25,"Boys","21-30"
1924,"Leslie",15,-15,"Boys","11-20"
1924,"Lewis",98,-98,"Boys","71-100"
1924,"Lionel",90,-90,"Boys","71-100"
1924,"Martin",89,-89,"Boys","71-100"
1924,"Maurice",47,-47,"Boys","31-50"
1924,"Michael",40,-40,"Boys","31-50"
1924,"Mohammed",91,-91,"Boys","71-100"
1924,"Norman",22,-22,"Boys","21-30"
1924,"Owen",99,-99,"Boys","71-100"
1924,"Patrick",44,-44,"Boys","31-50"
1924,"Paul",88,-88,"Boys","71-100"
1924,"Percy",67,-67,"Boys","51-70"
1924,"Peter",11,-11,"Boys","11-20"
1924,"Philip",53,-53,"Boys","51-70"
1924,"Ralph",64,-64,"Boys","51-70"
1924,"Raymond",28,-28,"Boys","21-30"
1924,"Reginald",31,-31,"Boys","31-50"
1924,"Richard",32,-32,"Boys","31-50"
1924,"Robert",8,-8,"Boys","1-10"
1924,"Roland",82,-82,"Boys","71-100"
1924,"Ronald",6,-6,"Boys","1-10"
1924,"Roy",41,-41,"Boys","31-50"
1924,"Samuel",57,-57,"Boys","51-70"
1924,"Sidney",45,-45,"Boys","31-50"
1924,"Stanley",17,-17,"Boys","11-20"
1924,"Stephen",76,-76,"Boys","71-100"
1924,"Sydney",59,-59,"Boys","51-70"
1924,"Terence",68,-68,"Boys","51-70"
1924,"Thomas",5,-5,"Boys","1-10"
1924,"Trevor",79,-79,"Boys","71-100"
1924,"Victor",50,-50,"Boys","31-50"
1924,"Vincent",78,-78,"Boys","71-100"
1924,"Walter",34,-34,"Boys","31-50"
1924,"Wilfred",55,-55,"Boys","51-70"
1924,"William",2,-2,"Boys","1-10"
1934,"Abdul",78,-78,"Boys","71-100"
1934,"Alan",13,-13,"Boys","11-20"
1934,"Albert",35,-35,"Boys","31-50"
1934,"Alec",100,-100,"Boys","71-100"
1934,"Alexander",66,-66,"Boys","51-70"
1934,"Alfred",49,-49,"Boys","31-50"
1934,"Allan",65,-65,"Boys","51-70"
1934,"Andrew",79,-79,"Boys","71-100"
1934,"Anthony",16,-16,"Boys","11-20"
1934,"Arnold",98,-98,"Boys","71-100"
1934,"Arthur",25,-25,"Boys","21-30"
1934,"Barrie",92,-92,"Boys","71-100"
1934,"Barry",53,-53,"Boys","51-70"
1934,"Bernard",38,-38,"Boys","31-50"
1934,"Brian",4,-4,"Boys","1-10"
1934,"Bryan",58,-58,"Boys","51-70"
1934,"Cecil",94,-94,"Boys","71-100"
1934,"Charles",29,-29,"Boys","21-30"
1934,"Christopher",57,-57,"Boys","51-70"
1934,"Clifford",60,-60,"Boys","51-70"
1934,"Clive",70,-70,"Boys","51-70"
1934,"Colin",26,-26,"Boys","21-30"
1934,"Cyril",61,-61,"Boys","51-70"
1934,"Daniel",71,-71,"Boys","71-100"
1934,"David",5,-5,"Boys","1-10"
1934,"Denis",64,-64,"Boys","51-70"
1934,"Dennis",19,-19,"Boys","11-20"
1934,"Derek",14,-14,"Boys","11-20"
1934,"Derrick",77,-77,"Boys","71-100"
1934,"Desmond",88,-88,"Boys","71-100"
1934,"Donald",18,-18,"Boys","11-20"
1934,"Douglas",44,-44,"Boys","31-50"
1934,"Edward",20,-20,"Boys","11-20"
1934,"Edwin",74,-74,"Boys","71-100"
1934,"Eric",27,-27,"Boys","21-30"
1934,"Ernest",47,-47,"Boys","31-50"
1934,"Francis",42,-42,"Boys","31-50"
1934,"Frank",34,-34,"Boys","31-50"
1934,"Fred",97,-97,"Boys","71-100"
1934,"Frederick",24,-24,"Boys","21-30"
1934,"Geoffrey",33,-33,"Boys","31-50"
1934,"George",10,-10,"Boys","1-10"
1934,"Gerald",40,-40,"Boys","31-50"
1934,"Gordon",21,-21,"Boys","21-30"
1934,"Graham",50,-50,"Boys","31-50"
1934,"Harold",48,-48,"Boys","31-50"
1934,"Harry",51,-51,"Boys","51-70"
1934,"Henry",45,-45,"Boys","31-50"
1934,"Herbert",73,-73,"Boys","71-100"
1934,"Hugh",81,-81,"Boys","71-100"
1934,"Ian",55,-55,"Boys","51-70"
1934,"Ivan",91,-91,"Boys","71-100"
1934,"Ivor",87,-87,"Boys","71-100"
1934,"Jack",52,-52,"Boys","51-70"
1934,"James",6,-6,"Boys","1-10"
1934,"Jeffrey",86,-86,"Boys","71-100"
1934,"John",1,-1,"Boys","1-10"
1934,"Joseph",23,-23,"Boys","21-30"
1934,"Keith",36,-36,"Boys","31-50"
1934,"Kenneth",9,-9,"Boys","1-10"
1934,"Lawrence",72,-72,"Boys","71-100"
1934,"Leonard",37,-37,"Boys","31-50"
1934,"Leslie",31,-31,"Boys","31-50"
1934,"Malcolm",46,-46,"Boys","31-50"
1934,"Martin",80,-80,"Boys","71-100"
1934,"Maurice",43,-43,"Boys","31-50"
1934,"Michael",7,-7,"Boys","1-10"
1934,"Mohammed",68,-68,"Boys","51-70"
1934,"Neil",95,-95,"Boys","71-100"
1934,"Neville",83,-83,"Boys","71-100"
1934,"Noel",96,-96,"Boys","71-100"
1934,"Norman",30,-30,"Boys","21-30"
1934,"Patrick",32,-32,"Boys","31-50"
1934,"Paul",63,-63,"Boys","51-70"
1934,"Peter",2,-2,"Boys","1-10"
1934,"Philip",56,-56,"Boys","51-70"
1934,"Ralph",76,-76,"Boys","71-100"
1934,"Raymond",15,-15,"Boys","11-20"
1934,"Reginald",41,-41,"Boys","31-50"
1934,"Richard",28,-28,"Boys","21-30"
1934,"Robert",11,-11,"Boys","11-20"
1934,"Robin",82,-82,"Boys","71-100"
1934,"Rodney",99,-99,"Boys","71-100"
1934,"Roger",67,-67,"Boys","51-70"
1934,"Ronald",8,-8,"Boys","1-10"
1934,"Roy",17,-17,"Boys","11-20"
1934,"Royston",93,-93,"Boys","71-100"
1934,"Samuel",75,-75,"Boys","71-100"
1934,"Sidney",69,-69,"Boys","51-70"
1934,"Stanley",39,-39,"Boys","31-50"
1934,"Stephen",84,-84,"Boys","71-100"
1934,"Sydney",90,-90,"Boys","71-100"
1934,"Terence",22,-22,"Boys","21-30"
1934,"Thomas",12,-12,"Boys","11-20"
1934,"Trevor",59,-59,"Boys","51-70"
1934,"Victor",62,-62,"Boys","51-70"
1934,"Vincent",85,-85,"Boys","71-100"
1934,"Walter",54,-54,"Boys","51-70"
1934,"Wilfred",89,-89,"Boys","71-100"
1934,"William",3,-3,"Boys","1-10"
1944,"Adrian",74,-74,"Boys","71-100"
1944,"Alan",8,-8,"Boys","1-10"
1944,"Albert",61,-61,"Boys","51-70"
1944,"Alexander",66,-66,"Boys","51-70"
1944,"Alfred",73,-73,"Boys","71-100"
1944,"Allan",58,-58,"Boys","51-70"
1944,"Andrew",45,-45,"Boys","31-50"
1944,"Anthony",6,-6,"Boys","1-10"
1944,"Arthur",47,-47,"Boys","31-50"
1944,"Barrie",70,-70,"Boys","51-70"
1944,"Barry",20,-20,"Boys","11-20"
1944,"Bernard",37,-37,"Boys","31-50"
1944,"Brian",7,-7,"Boys","1-10"
1944,"Bruce",92,-92,"Boys","71-100"
1944,"Bryan",79,-79,"Boys","71-100"
1944,"Charles",38,-38,"Boys","31-50"
1944,"Christopher",16,-16,"Boys","11-20"
1944,"Clifford",68,-68,"Boys","51-70"
1944,"Clive",50,-50,"Boys","31-50"
1944,"Colin",15,-15,"Boys","11-20"
1944,"Cyril",98,-98,"Boys","71-100"
1944,"Daniel",82,-82,"Boys","71-100"
1944,"David",2,-2,"Boys","1-10"
1944,"Denis",85,-85,"Boys","71-100"
1944,"Dennis",34,-34,"Boys","31-50"
1944,"Derek",27,-27,"Boys","21-30"
1944,"Donald",53,-53,"Boys","51-70"
1944,"Douglas",52,-52,"Boys","51-70"
1944,"Edward",29,-29,"Boys","21-30"
1944,"Edwin",89,-89,"Boys","71-100"
1944,"Eric",39,-39,"Boys","31-50"
1944,"Ernest",72,-72,"Boys","71-100"
1944,"Francis",54,-54,"Boys","51-70"
1944,"Frank",46,-46,"Boys","31-50"
1944,"Frederick",42,-42,"Boys","31-50"
1944,"Gary",95,-95,"Boys","71-100"
1944,"Geoffrey",25,-25,"Boys","21-30"
1944,"George",21,-21,"Boys","21-30"
1944,"Gerald",49,-49,"Boys","31-50"
1944,"Gordon",44,-44,"Boys","31-50"
1944,"Graham",22,-22,"Boys","21-30"
1944,"Harold",75,-75,"Boys","71-100"
1944,"Harry",65,-65,"Boys","51-70"
1944,"Henry",63,-63,"Boys","51-70"
1944,"Howard",64,-64,"Boys","51-70"
1944,"Hugh",84,-84,"Boys","71-100"
1944,"Ian",23,-23,"Boys","21-30"
1944,"Ivan",91,-91,"Boys","71-100"
1944,"Jack",81,-81,"Boys","71-100"
1944,"James",10,-10,"Boys","1-10"
1944,"Jeffrey",51,-51,"Boys","51-70"
1944,"John",1,-1,"Boys","1-10"
1944,"Joseph",36,-36,"Boys","31-50"
1944,"Keith",14,-14,"Boys","11-20"
1944,"Kenneth",12,-12,"Boys","11-20"
1944,"Kevin",67,-67,"Boys","51-70"
1944,"Lawrence",83,-83,"Boys","71-100"
1944,"Leonard",59,-59,"Boys","51-70"
1944,"Leslie",35,-35,"Boys","31-50"
1944,"Malcolm",24,-24,"Boys","21-30"
1944,"Martin",41,-41,"Boys","31-50"
1944,"Maurice",62,-62,"Boys","51-70"
1944,"Melvyn",78,-78,"Boys","71-100"
1944,"Michael",3,-3,"Boys","1-10"
1944,"Mohammed",87,-87,"Boys","71-100"
1944,"Neil",80,-80,"Boys","71-100"
1944,"Nicholas",76,-76,"Boys","71-100"
1944,"Nigel",69,-69,"Boys","51-70"
1944,"Norman",43,-43,"Boys","31-50"
1944,"Patrick",31,-31,"Boys","31-50"
1944,"Paul",28,-28,"Boys","21-30"
1944,"Peter",4,-4,"Boys","1-10"
1944,"Philip",32,-32,"Boys","31-50"
1944,"Phillip",93,-93,"Boys","71-100"
1944,"Ralph",90,-90,"Boys","71-100"
1944,"Raymond",17,-17,"Boys","11-20"
1944,"Reginald",71,-71,"Boys","71-100"
1944,"Richard",11,-11,"Boys","11-20"
1944,"Robert",5,-5,"Boys","1-10"
1944,"Robin",57,-57,"Boys","51-70"
1944,"Rodney",48,-48,"Boys","31-50"
1944,"Roger",13,-13,"Boys","11-20"
1944,"Ronald",26,-26,"Boys","21-30"
1944,"Roy",30,-30,"Boys","21-30"
1944,"Royston",100,-100,"Boys","71-100"
1944,"Samuel",97,-97,"Boys","71-100"
1944,"Sidney",99,-99,"Boys","71-100"
1944,"Stanley",60,-60,"Boys","51-70"
1944,"Stephen",40,-40,"Boys","31-50"
1944,"Stuart",55,-55,"Boys","51-70"
1944,"Terence",18,-18,"Boys","11-20"
1944,"Terry",88,-88,"Boys","71-100"
1944,"Thomas",19,-19,"Boys","11-20"
1944,"Timothy",77,-77,"Boys","71-100"
1944,"Tony",96,-96,"Boys","71-100"
1944,"Trevor",33,-33,"Boys","31-50"
1944,"Victor",56,-56,"Boys","51-70"
1944,"Vincent",94,-94,"Boys","71-100"
1944,"Walter",86,-86,"Boys","71-100"
1944,"William",9,-9,"Boys","1-10"
1954,"Abdul",74,-74,"Boys","71-100"
1954,"Adrian",54,-54,"Boys","51-70"
1954,"Alan",8,-8,"Boys","1-10"
1954,"Albert",93,-93,"Boys","71-100"
1954,"Alexander",71,-71,"Boys","71-100"
1954,"Allan",58,-58,"Boys","51-70"
1954,"Andrew",12,-12,"Boys","11-20"
1954,"Anthony",11,-11,"Boys","11-20"
1954,"Antony",99,-99,"Boys","71-100"
1954,"Arthur",72,-72,"Boys","71-100"
1954,"Barry",33,-33,"Boys","31-50"
1954,"Bernard",63,-63,"Boys","51-70"
1954,"Brian",17,-17,"Boys","11-20"
1954,"Bryan",80,-80,"Boys","71-100"
1954,"Charles",38,-38,"Boys","31-50"
1954,"Christopher",9,-9,"Boys","1-10"
1954,"Clifford",81,-81,"Boys","71-100"
1954,"Clive",44,-44,"Boys","31-50"
1954,"Colin",22,-22,"Boys","21-30"
1954,"Daniel",73,-73,"Boys","71-100"
1954,"David",1,-1,"Boys","1-10"
1954,"Denis",97,-97,"Boys","71-100"
1954,"Dennis",55,-55,"Boys","51-70"
1954,"Derek",37,-37,"Boys","31-50"
1954,"Donald",64,-64,"Boys","51-70"
1954,"Douglas",69,-69,"Boys","51-70"
1954,"Edward",45,-45,"Boys","31-50"
1954,"Eric",62,-62,"Boys","51-70"
1954,"Francis",61,-61,"Boys","51-70"
1954,"Frank",65,-65,"Boys","51-70"
1954,"Frederick",67,-67,"Boys","51-70"
1954,"Gareth",85,-85,"Boys","71-100"
1954,"Garry",82,-82,"Boys","71-100"
1954,"Gary",34,-34,"Boys","31-50"
1954,"Geoffrey",28,-28,"Boys","21-30"
1954,"George",35,-35,"Boys","31-50"
1954,"Gerald",60,-60,"Boys","51-70"
1954,"Gerard",78,-78,"Boys","71-100"
1954,"Glenn",98,-98,"Boys","71-100"
1954,"Gordon",51,-51,"Boys","51-70"
1954,"Graham",19,-19,"Boys","11-20"
1954,"Gregory",94,-94,"Boys","71-100"
1954,"Harry",100,-100,"Boys","71-100"
1954,"Henry",83,-83,"Boys","71-100"
1954,"Howard",68,-68,"Boys","51-70"
1954,"Hugh",89,-89,"Boys","71-100"
1954,"Ian",13,-13,"Boys","11-20"
1954,"James",14,-14,"Boys","11-20"
1954,"Jeffrey",48,-48,"Boys","31-50"
1954,"Jeremy",70,-70,"Boys","51-70"
1954,"John",2,-2,"Boys","1-10"
1954,"Jonathan",52,-52,"Boys","51-70"
1954,"Joseph",47,-47,"Boys","31-50"
1954,"Julian",96,-96,"Boys","71-100"
1954,"Keith",18,-18,"Boys","11-20"
1954,"Kenneth",25,-25,"Boys","21-30"
1954,"Kevin",20,-20,"Boys","11-20"
1954,"Lawrence",77,-77,"Boys","71-100"
1954,"Leonard",76,-76,"Boys","71-100"
1954,"Leslie",42,-42,"Boys","31-50"
1954,"Malcolm",31,-31,"Boys","31-50"
1954,"Mark",32,-32,"Boys","31-50"
1954,"Martin",21,-21,"Boys","21-30"
1954,"Martyn",75,-75,"Boys","71-100"
1954,"Maurice",95,-95,"Boys","71-100"
1954,"Michael",4,-4,"Boys","1-10"
1954,"Mohamed",90,-90,"Boys","71-100"
1954,"Mohammad",84,-84,"Boys","71-100"
1954,"Mohammed",56,-56,"Boys","51-70"
1954,"Neil",46,-46,"Boys","31-50"
1954,"Nicholas",36,-36,"Boys","31-50"
1954,"Nigel",27,-27,"Boys","21-30"
1954,"Norman",66,-66,"Boys","51-70"
1954,"Patrick",39,-39,"Boys","31-50"
1954,"Paul",7,-7,"Boys","1-10"
1954,"Peter",5,-5,"Boys","1-10"
1954,"Philip",16,-16,"Boys","11-20"
1954,"Phillip",57,-57,"Boys","51-70"
1954,"Raymond",26,-26,"Boys","21-30"
1954,"Richard",10,-10,"Boys","1-10"
1954,"Robert",6,-6,"Boys","1-10"
1954,"Robin",59,-59,"Boys","51-70"
1954,"Roger",41,-41,"Boys","31-50"
1954,"Ronald",43,-43,"Boys","31-50"
1954,"Roy",50,-50,"Boys","31-50"
1954,"Simon",53,-53,"Boys","51-70"
1954,"Stanley",86,-86,"Boys","71-100"
1954,"Stephen",3,-3,"Boys","1-10"
1954,"Steven",23,-23,"Boys","21-30"
1954,"Stewart",91,-91,"Boys","71-100"
1954,"Stuart",49,-49,"Boys","31-50"
1954,"Terence",29,-29,"Boys","21-30"
