Date,Year,QuarterOfYear,MonthOfYear,DayOfMonth,DateInt,Month Name,Month & Year,Quarter & Year,DayOfWeek,DayOfWeekName,WeekEnding,MonthEnding,ISO Weeknumber,ISO Year,ISO Day of Year,Week & Year,WeeknYear,MonthnYear,QuarternYear,Fiscal Year,Fiscal Quarter,Fiscal Period,IsAfterToday,IsWorkingDay,IsHoliday,IsBusinessDay,Day Type,WeekOffset,MonthOffset,QuarterOffset,YearOffset,FiscalYearOffset,WeekCompleted,MonthCompleted,QuarterCompleted
2019-07-15 00:00:00.000,2019,3,7,15,20190715,"July","Jul 2019","Q3 2019",1,"Monday",2019-07-21 00:00:00.000,2019-07-31 00:00:00.000,29,2019,197,"2019-29",20192900,20190700,20190300,"FY20","FQ1",1,False,True,"Unknown",True,"Weekday",-69,-16,-5,-1,-1,True,True,True
2019-07-16 00:00:00.000,2019,3,7,16,20190716,"July","Jul 2019","Q3 2019",2,"Tuesday",2019-07-21 00:00:00.000,2019-07-31 00:00:00.000,29,2019,198,"2019-29",20192900,20190700,20190300,"FY20","FQ1",1,False,True,"Unknown",True,"Weekday",-69,-16,-5,-1,-1,True,True,True
2019-07-17 00:00:00.000,2019,3,7,17,20190717,"July","Jul 2019","Q3 2019",3,"Wednesday",2019-07-21 00:00:00.000,2019-07-31 00:00:00.000,29,2019,199,"2019-29",20192900,20190700,20190300,"FY20","FQ1",1,False,True,"Unknown",True,"Weekday",-69,-16,-5,-1,-1,True,True,True
2019-07-18 00:00:00.000,2019,3,7,18,20190718,"July","Jul 2019","Q3 2019",4,"Thursday",2019-07-21 00:00:00.000,2019-07-31 00:00:00.000,29,2019,200,"2019-29",20192900,20190700,20190300,"FY20","FQ1",1,False,True,"Unknown",True,"Weekday",-69,-16,-5,-1,-1,True,True,True
2019-07-19 00:00:00.000,2019,3,7,19,20190719,"July","Jul 2019","Q3 2019",5,"Friday",2019-07-21 00:00:00.000,2019-07-31 00:00:00.000,29,2019,201,"2019-29",20192900,20190700,20190300,"FY20","FQ1",1,False,True,"Unknown",True,"Weekday",-69,-16,-5,-1,-1,True,True,True
2019-07-22 00:00:00.000,2019,3,7,22,20190722,"July","Jul 2019","Q3 2019",1,"Monday",2019-07-28 00:00:00.000,2019-07-31 00:00:00.000,30,2019,204,"2019-30",20193000,20190700,20190300,"FY20","FQ1",1,False,True,"Unknown",True,"Weekday",-68,-16,-5,-1,-1,True,True,True
2019-07-23 00:00:00.000,2019,3,7,23,20190723,"July","Jul 2019","Q3 2019",2,"Tuesday",2019-07-28 00:00:00.000,2019-07-31 00:00:00.000,30,2019,205,"2019-30",20193000,20190700,20190300,"FY20","FQ1",1,False,True,"Unknown",True,"Weekday",-68,-16,-5,-1,-1,True,True,True
2019-07-24 00:00:00.000,2019,3,7,24,20190724,"July","Jul 2019","Q3 2019",3,"Wednesday",2019-07-28 00:00:00.000,2019-07-31 00:00:00.000,30,2019,206,"2019-30",20193000,20190700,20190300,"FY20","FQ1",1,False,True,"Unknown",True,"Weekday",-68,-16,-5,-1,-1,True,True,True
2019-07-25 00:00:00.000,2019,3,7,25,20190725,"July","Jul 2019","Q3 2019",4,"Thursday",2019-07-28 00:00:00.000,2019-07-31 00:00:00.000,30,2019,207,"2019-30",20193000,20190700,20190300,"FY20","FQ1",1,False,True,"Unknown",True,"Weekday",-68,-16,-5,-1,-1,True,True,True
2019-07-26 00:00:00.000,2019,3,7,26,20190726,"July","Jul 2019","Q3 2019",5,"Friday",2019-07-28 00:00:00.000,2019-07-31 00:00:00.000,30,2019,208,"2019-30",20193000,20190700,20190300,"FY20","FQ1",1,False,True,"Unknown",True,"Weekday",-68,-16,-5,-1,-1,True,True,True
2019-07-29 00:00:00.000,2019,3,7,29,20190729,"July","Jul 2019","Q3 2019",1,"Monday",2019-08-04 00:00:00.000,2019-07-31 00:00:00.000,31,2019,211,"2019-31",20193100,20190700,20190300,"FY20","FQ1",1,False,True,"Unknown",True,"Weekday",-67,-16,-5,-1,-1,True,True,True
2019-07-30 00:00:00.000,2019,3,7,30,20190730,"July","Jul 2019","Q3 2019",2,"Tuesday",2019-08-04 00:00:00.000,2019-07-31 00:00:00.000,31,2019,212,"2019-31",20193100,20190700,20190300,"FY20","FQ1",1,False,True,"Unknown",True,"Weekday",-67,-16,-5,-1,-1,True,True,True
2019-07-31 00:00:00.000,2019,3,7,31,20190731,"July","Jul 2019","Q3 2019",3,"Wednesday",2019-08-04 00:00:00.000,2019-07-31 00:00:00.000,31,2019,213,"2019-31",20193100,20190700,20190300,"FY20","FQ1",1,False,True,"Unknown",True,"Weekday",-67,-16,-5,-1,-1,True,True,True
2019-08-01 00:00:00.000,2019,3,8,1,20190801,"August","Aug 2019","Q3 2019",4,"Thursday",2019-08-04 00:00:00.000,2019-08-31 00:00:00.000,31,2019,214,"2019-31",20193100,20190800,20190300,"FY20","FQ1",2,False,True,"Unknown",True,"Weekday",-67,-15,-5,-1,-1,True,True,True
2019-08-02 00:00:00.000,2019,3,8,2,20190802,"August","Aug 2019","Q3 2019",5,"Friday",2019-08-04 00:00:00.000,2019-08-31 00:00:00.000,31,2019,215,"2019-31",20193100,20190800,20190300,"FY20","FQ1",2,False,True,"Unknown",True,"Weekday",-67,-15,-5,-1,-1,True,True,True
2019-08-05 00:00:00.000,2019,3,8,5,20190805,"August","Aug 2019","Q3 2019",1,"Monday",2019-08-11 00:00:00.000,2019-08-31 00:00:00.000,32,2019,218,"2019-32",20193200,20190800,20190300,"FY20","FQ1",2,False,True,"Unknown",True,"Weekday",-66,-15,-5,-1,-1,True,True,True
2019-08-06 00:00:00.000,2019,3,8,6,20190806,"August","Aug 2019","Q3 2019",2,"Tuesday",2019-08-11 00:00:00.000,2019-08-31 00:00:00.000,32,2019,219,"2019-32",20193200,20190800,20190300,"FY20","FQ1",2,False,True,"Unknown",True,"Weekday",-66,-15,-5,-1,-1,True,True,True
2019-08-07 00:00:00.000,2019,3,8,7,20190807,"August","Aug 2019","Q3 2019",3,"Wednesday",2019-08-11 00:00:00.000,2019-08-31 00:00:00.000,32,2019,220,"2019-32",20193200,20190800,20190300,"FY20","FQ1",2,False,True,"Unknown",True,"Weekday",-66,-15,-5,-1,-1,True,True,True
2019-08-08 00:00:00.000,2019,3,8,8,20190808,"August","Aug 2019","Q3 2019",4,"Thursday",2019-08-11 00:00:00.000,2019-08-31 00:00:00.000,32,2019,221,"2019-32",20193200,20190800,20190300,"FY20","FQ1",2,False,True,"Unknown",True,"Weekday",-66,-15,-5,-1,-1,True,True,True
2019-08-09 00:00:00.000,2019,3,8,9,20190809,"August","Aug 2019","Q3 2019",5,"Friday",2019-08-11 00:00:00.000,2019-08-31 00:00:00.000,32,2019,222,"2019-32",20193200,20190800,20190300,"FY20","FQ1",2,False,True,"Unknown",True,"Weekday",-66,-15,-5,-1,-1,True,True,True
2019-08-12 00:00:00.000,2019,3,8,12,20190812,"August","Aug 2019","Q3 2019",1,"Monday",2019-08-18 00:00:00.000,2019-08-31 00:00:00.000,33,2019,225,"2019-33",20193300,20190800,20190300,"FY20","FQ1",2,False,True,"Unknown",True,"Weekday",-65,-15,-5,-1,-1,True,True,True
2019-08-13 00:00:00.000,2019,3,8,13,20190813,"August","Aug 2019","Q3 2019",2,"Tuesday",2019-08-18 00:00:00.000,2019-08-31 00:00:00.000,33,2019,226,"2019-33",20193300,20190800,20190300,"FY20","FQ1",2,False,True,"Unknown",True,"Weekday",-65,-15,-5,-1,-1,True,True,True
2019-08-14 00:00:00.000,2019,3,8,14,20190814,"August","Aug 2019","Q3 2019",3,"Wednesday",2019-08-18 00:00:00.000,2019-08-31 00:00:00.000,33,2019,227,"2019-33",20193300,20190800,20190300,"FY20","FQ1",2,False,True,"Unknown",True,"Weekday",-65,-15,-5,-1,-1,True,True,True
2019-08-15 00:00:00.000,2019,3,8,15,20190815,"August","Aug 2019","Q3 2019",4,"Thursday",2019-08-18 00:00:00.000,2019-08-31 00:00:00.000,33,2019,228,"2019-33",20193300,20190800,20190300,"FY20","FQ1",2,False,True,"Unknown",True,"Weekday",-65,-15,-5,-1,-1,True,True,True
2019-08-16 00:00:00.000,2019,3,8,16,20190816,"August","Aug 2019","Q3 2019",5,"Friday",2019-08-18 00:00:00.000,2019-08-31 00:00:00.000,33,2019,229,"2019-33",20193300,20190800,20190300,"FY20","FQ1",2,False,True,"Unknown",True,"Weekday",-65,-15,-5,-1,-1,True,True,True
2019-08-19 00:00:00.000,2019,3,8,19,20190819,"August","Aug 2019","Q3 2019",1,"Monday",2019-08-25 00:00:00.000,2019-08-31 00:00:00.000,34,2019,232,"2019-34",20193400,20190800,20190300,"FY20","FQ1",2,False,True,"Unknown",True,"Weekday",-64,-15,-5,-1,-1,True,True,True
2019-08-20 00:00:00.000,2019,3,8,20,20190820,"August","Aug 2019","Q3 2019",2,"Tuesday",2019-08-25 00:00:00.000,2019-08-31 00:00:00.000,34,2019,233,"2019-34",20193400,20190800,20190300,"FY20","FQ1",2,False,True,"Unknown",True,"Weekday",-64,-15,-5,-1,-1,True,True,True
2019-08-21 00:00:00.000,2019,3,8,21,20190821,"August","Aug 2019","Q3 2019",3,"Wednesday",2019-08-25 00:00:00.000,2019-08-31 00:00:00.000,34,2019,234,"2019-34",20193400,20190800,20190300,"FY20","FQ1",2,False,True,"Unknown",True,"Weekday",-64,-15,-5,-1,-1,True,True,True
2019-08-22 00:00:00.000,2019,3,8,22,20190822,"August","Aug 2019","Q3 2019",4,"Thursday",2019-08-25 00:00:00.000,2019-08-31 00:00:00.000,34,2019,235,"2019-34",20193400,20190800,20190300,"FY20","FQ1",2,False,True,"Unknown",True,"Weekday",-64,-15,-5,-1,-1,True,True,True
2019-08-23 00:00:00.000,2019,3,8,23,20190823,"August","Aug 2019","Q3 2019",5,"Friday",2019-08-25 00:00:00.000,2019-08-31 00:00:00.000,34,2019,236,"2019-34",20193400,20190800,20190300,"FY20","FQ1",2,False,True,"Unknown",True,"Weekday",-64,-15,-5,-1,-1,True,True,True
2019-08-26 00:00:00.000,2019,3,8,26,20190826,"August","Aug 2019","Q3 2019",1,"Monday",2019-09-01 00:00:00.000,2019-08-31 00:00:00.000,35,2019,239,"2019-35",20193500,20190800,20190300,"FY20","FQ1",2,False,True,"Unknown",True,"Weekday",-63,-15,-5,-1,-1,True,True,True
2019-08-27 00:00:00.000,2019,3,8,27,20190827,"August","Aug 2019","Q3 2019",2,"Tuesday",2019-09-01 00:00:00.000,2019-08-31 00:00:00.000,35,2019,240,"2019-35",20193500,20190800,20190300,"FY20","FQ1",2,False,True,"Unknown",True,"Weekday",-63,-15,-5,-1,-1,True,True,True
2019-08-28 00:00:00.000,2019,3,8,28,20190828,"August","Aug 2019","Q3 2019",3,"Wednesday",2019-09-01 00:00:00.000,2019-08-31 00:00:00.000,35,2019,241,"2019-35",20193500,20190800,20190300,"FY20","FQ1",2,False,True,"Unknown",True,"Weekday",-63,-15,-5,-1,-1,True,True,True
2019-08-29 00:00:00.000,2019,3,8,29,20190829,"August","Aug 2019","Q3 2019",4,"Thursday",2019-09-01 00:00:00.000,2019-08-31 00:00:00.000,35,2019,242,"2019-35",20193500,20190800,20190300,"FY20","FQ1",2,False,True,"Unknown",True,"Weekday",-63,-15,-5,-1,-1,True,True,True
2019-08-30 00:00:00.000,2019,3,8,30,20190830,"August","Aug 2019","Q3 2019",5,"Friday",2019-09-01 00:00:00.000,2019-08-31 00:00:00.000,35,2019,243,"2019-35",20193500,20190800,20190300,"FY20","FQ1",2,False,True,"Unknown",True,"Weekday",-63,-15,-5,-1,-1,True,True,True
2019-09-02 00:00:00.000,2019,3,9,2,20190902,"September","Sep 2019","Q3 2019",1,"Monday",2019-09-08 00:00:00.000,2019-09-30 00:00:00.000,36,2019,246,"2019-36",20193600,20190900,20190300,"FY20","FQ1",3,False,True,"Unknown",True,"Weekday",-62,-14,-5,-1,-1,True,True,True
2019-09-03 00:00:00.000,2019,3,9,3,20190903,"September","Sep 2019","Q3 2019",2,"Tuesday",2019-09-08 00:00:00.000,2019-09-30 00:00:00.000,36,2019,247,"2019-36",20193600,20190900,20190300,"FY20","FQ1",3,False,True,"Unknown",True,"Weekday",-62,-14,-5,-1,-1,True,True,True
2019-09-04 00:00:00.000,2019,3,9,4,20190904,"September","Sep 2019","Q3 2019",3,"Wednesday",2019-09-08 00:00:00.000,2019-09-30 00:00:00.000,36,2019,248,"2019-36",20193600,20190900,20190300,"FY20","FQ1",3,False,True,"Unknown",True,"Weekday",-62,-14,-5,-1,-1,True,True,True
2019-09-05 00:00:00.000,2019,3,9,5,20190905,"September","Sep 2019","Q3 2019",4,"Thursday",2019-09-08 00:00:00.000,2019-09-30 00:00:00.000,36,2019,249,"2019-36",20193600,20190900,20190300,"FY20","FQ1",3,False,True,"Unknown",True,"Weekday",-62,-14,-5,-1,-1,True,True,True
2019-09-06 00:00:00.000,2019,3,9,6,20190906,"September","Sep 2019","Q3 2019",5,"Friday",2019-09-08 00:00:00.000,2019-09-30 00:00:00.000,36,2019,250,"2019-36",20193600,20190900,20190300,"FY20","FQ1",3,False,True,"Unknown",True,"Weekday",-62,-14,-5,-1,-1,True,True,True
2019-09-09 00:00:00.000,2019,3,9,9,20190909,"September","Sep 2019","Q3 2019",1,"Monday",2019-09-15 00:00:00.000,2019-09-30 00:00:00.000,37,2019,253,"2019-37",20193700,20190900,20190300,"FY20","FQ1",3,False,True,"Unknown",True,"Weekday",-61,-14,-5,-1,-1,True,True,True
2019-09-10 00:00:00.000,2019,3,9,10,20190910,"September","Sep 2019","Q3 2019",2,"Tuesday",2019-09-15 00:00:00.000,2019-09-30 00:00:00.000,37,2019,254,"2019-37",20193700,20190900,20190300,"FY20","FQ1",3,False,True,"Unknown",True,"Weekday",-61,-14,-5,-1,-1,True,True,True
2019-09-11 00:00:00.000,2019,3,9,11,20190911,"September","Sep 2019","Q3 2019",3,"Wednesday",2019-09-15 00:00:00.000,2019-09-30 00:00:00.000,37,2019,255,"2019-37",20193700,20190900,20190300,"FY20","FQ1",3,False,True,"Unknown",True,"Weekday",-61,-14,-5,-1,-1,True,True,True
2019-09-12 00:00:00.000,2019,3,9,12,20190912,"September","Sep 2019","Q3 2019",4,"Thursday",2019-09-15 00:00:00.000,2019-09-30 00:00:00.000,37,2019,256,"2019-37",20193700,20190900,20190300,"FY20","FQ1",3,False,True,"Unknown",True,"Weekday",-61,-14,-5,-1,-1,True,True,True
2019-09-13 00:00:00.000,2019,3,9,13,20190913,"September","Sep 2019","Q3 2019",5,"Friday",2019-09-15 00:00:00.000,2019-09-30 00:00:00.000,37,2019,257,"2019-37",20193700,20190900,20190300,"FY20","FQ1",3,False,True,"Unknown",True,"Weekday",-61,-14,-5,-1,-1,True,True,True
2019-09-16 00:00:00.000,2019,3,9,16,20190916,"September","Sep 2019","Q3 2019",1,"Monday",2019-09-22 00:00:00.000,2019-09-30 00:00:00.000,38,2019,260,"2019-38",20193800,20190900,20190300,"FY20","FQ1",3,False,True,"Unknown",True,"Weekday",-60,-14,-5,-1,-1,True,True,True
2019-09-17 00:00:00.000,2019,3,9,17,20190917,"September","Sep 2019","Q3 2019",2,"Tuesday",2019-09-22 00:00:00.000,2019-09-30 00:00:00.000,38,2019,261,"2019-38",20193800,20190900,20190300,"FY20","FQ1",3,False,True,"Unknown",True,"Weekday",-60,-14,-5,-1,-1,True,True,True
2019-09-18 00:00:00.000,2019,3,9,18,20190918,"September","Sep 2019","Q3 2019",3,"Wednesday",2019-09-22 00:00:00.000,2019-09-30 00:00:00.000,38,2019,262,"2019-38",20193800,20190900,20190300,"FY20","FQ1",3,False,True,"Unknown",True,"Weekday",-60,-14,-5,-1,-1,True,True,True
2019-09-19 00:00:00.000,2019,3,9,19,20190919,"September","Sep 2019","Q3 2019",4,"Thursday",2019-09-22 00:00:00.000,2019-09-30 00:00:00.000,38,2019,263,"2019-38",20193800,20190900,20190300,"FY20","FQ1",3,False,True,"Unknown",True,"Weekday",-60,-14,-5,-1,-1,True,True,True
2019-09-20 00:00:00.000,2019,3,9,20,20190920,"September","Sep 2019","Q3 2019",5,"Friday",2019-09-22 00:00:00.000,2019-09-30 00:00:00.000,38,2019,264,"2019-38",20193800,20190900,20190300,"FY20","FQ1",3,False,True,"Unknown",True,"Weekday",-60,-14,-5,-1,-1,True,True,True
2019-09-23 00:00:00.000,2019,3,9,23,20190923,"September","Sep 2019","Q3 2019",1,"Monday",2019-09-29 00:00:00.000,2019-09-30 00:00:00.000,39,2019,267,"2019-39",20193900,20190900,20190300,"FY20","FQ1",3,False,True,"Unknown",True,"Weekday",-59,-14,-5,-1,-1,True,True,True
2019-09-24 00:00:00.000,2019,3,9,24,20190924,"September","Sep 2019","Q3 2019",2,"Tuesday",2019-09-29 00:00:00.000,2019-09-30 00:00:00.000,39,2019,268,"2019-39",20193900,20190900,20190300,"FY20","FQ1",3,False,True,"Unknown",True,"Weekday",-59,-14,-5,-1,-1,True,True,True
2019-09-25 00:00:00.000,2019,3,9,25,20190925,"September","Sep 2019","Q3 2019",3,"Wednesday",2019-09-29 00:00:00.000,2019-09-30 00:00:00.000,39,2019,269,"2019-39",20193900,20190900,20190300,"FY20","FQ1",3,False,True,"Unknown",True,"Weekday",-59,-14,-5,-1,-1,True,True,True
2019-09-26 00:00:00.000,2019,3,9,26,20190926,"September","Sep 2019","Q3 2019",4,"Thursday",2019-09-29 00:00:00.000,2019-09-30 00:00:00.000,39,2019,270,"2019-39",20193900,20190900,20190300,"FY20","FQ1",3,False,True,"Unknown",True,"Weekday",-59,-14,-5,-1,-1,True,True,True
2019-09-27 00:00:00.000,2019,3,9,27,20190927,"September","Sep 2019","Q3 2019",5,"Friday",2019-09-29 00:00:00.000,2019-09-30 00:00:00.000,39,2019,271,"2019-39",20193900,20190900,20190300,"FY20","FQ1",3,False,True,"Unknown",True,"Weekday",-59,-14,-5,-1,-1,True,True,True
2019-09-30 00:00:00.000,2019,3,9,30,20190930,"September","Sep 2019","Q3 2019",1,"Monday",2019-10-06 00:00:00.000,2019-09-30 00:00:00.000,40,2019,274,"2019-40",20194000,20190900,20190300,"FY20","FQ1",3,False,True,"Unknown",True,"Weekday",-58,-14,-5,-1,-1,True,True,True
2019-10-01 00:00:00.000,2019,4,10,1,20191001,"October","Oct 2019","Q4 2019",2,"Tuesday",2019-10-06 00:00:00.000,2019-10-31 00:00:00.000,40,2019,275,"2019-40",20194000,20191000,20190400,"FY20","FQ2",4,False,True,"Unknown",True,"Weekday",-58,-13,-4,-1,-1,True,True,True
2019-10-02 00:00:00.000,2019,4,10,2,20191002,"October","Oct 2019","Q4 2019",3,"Wednesday",2019-10-06 00:00:00.000,2019-10-31 00:00:00.000,40,2019,276,"2019-40",20194000,20191000,20190400,"FY20","FQ2",4,False,True,"Unknown",True,"Weekday",-58,-13,-4,-1,-1,True,True,True
2019-10-03 00:00:00.000,2019,4,10,3,20191003,"October","Oct 2019","Q4 2019",4,"Thursday",2019-10-06 00:00:00.000,2019-10-31 00:00:00.000,40,2019,277,"2019-40",20194000,20191000,20190400,"FY20","FQ2",4,False,True,"Unknown",True,"Weekday",-58,-13,-4,-1,-1,True,True,True
2019-10-04 00:00:00.000,2019,4,10,4,20191004,"October","Oct 2019","Q4 2019",5,"Friday",2019-10-06 00:00:00.000,2019-10-31 00:00:00.000,40,2019,278,"2019-40",20194000,20191000,20190400,"FY20","FQ2",4,False,True,"Unknown",True,"Weekday",-58,-13,-4,-1,-1,True,True,True
2019-10-07 00:00:00.000,2019,4,10,7,20191007,"October","Oct 2019","Q4 2019",1,"Monday",2019-10-13 00:00:00.000,2019-10-31 00:00:00.000,41,2019,281,"2019-41",20194100,20191000,20190400,"FY20","FQ2",4,False,True,"Unknown",True,"Weekday",-57,-13,-4,-1,-1,True,True,True
2019-10-08 00:00:00.000,2019,4,10,8,20191008,"October","Oct 2019","Q4 2019",2,"Tuesday",2019-10-13 00:00:00.000,2019-10-31 00:00:00.000,41,2019,282,"2019-41",20194100,20191000,20190400,"FY20","FQ2",4,False,True,"Unknown",True,"Weekday",-57,-13,-4,-1,-1,True,True,True
2019-10-09 00:00:00.000,2019,4,10,9,20191009,"October","Oct 2019","Q4 2019",3,"Wednesday",2019-10-13 00:00:00.000,2019-10-31 00:00:00.000,41,2019,283,"2019-41",20194100,20191000,20190400,"FY20","FQ2",4,False,True,"Unknown",True,"Weekday",-57,-13,-4,-1,-1,True,True,True
2019-10-10 00:00:00.000,2019,4,10,10,20191010,"October","Oct 2019","Q4 2019",4,"Thursday",2019-10-13 00:00:00.000,2019-10-31 00:00:00.000,41,2019,284,"2019-41",20194100,20191000,20190400,"FY20","FQ2",4,False,True,"Unknown",True,"Weekday",-57,-13,-4,-1,-1,True,True,True
2019-10-11 00:00:00.000,2019,4,10,11,20191011,"October","Oct 2019","Q4 2019",5,"Friday",2019-10-13 00:00:00.000,2019-10-31 00:00:00.000,41,2019,285,"2019-41",20194100,20191000,20190400,"FY20","FQ2",4,False,True,"Unknown",True,"Weekday",-57,-13,-4,-1,-1,True,True,True
2019-10-14 00:00:00.000,2019,4,10,14,20191014,"October","Oct 2019","Q4 2019",1,"Monday",2019-10-20 00:00:00.000,2019-10-31 00:00:00.000,42,2019,288,"2019-42",20194200,20191000,20190400,"FY20","FQ2",4,False,True,"Unknown",True,"Weekday",-56,-13,-4,-1,-1,True,True,True
2019-10-15 00:00:00.000,2019,4,10,15,20191015,"October","Oct 2019","Q4 2019",2,"Tuesday",2019-10-20 00:00:00.000,2019-10-31 00:00:00.000,42,2019,289,"2019-42",20194200,20191000,20190400,"FY20","FQ2",4,False,True,"Unknown",True,"Weekday",-56,-13,-4,-1,-1,True,True,True
2019-10-16 00:00:00.000,2019,4,10,16,20191016,"October","Oct 2019","Q4 2019",3,"Wednesday",2019-10-20 00:00:00.000,2019-10-31 00:00:00.000,42,2019,290,"2019-42",20194200,20191000,20190400,"FY20","FQ2",4,False,True,"Unknown",True,"Weekday",-56,-13,-4,-1,-1,True,True,True
2019-10-17 00:00:00.000,2019,4,10,17,20191017,"October","Oct 2019","Q4 2019",4,"Thursday",2019-10-20 00:00:00.000,2019-10-31 00:00:00.000,42,2019,291,"2019-42",20194200,20191000,20190400,"FY20","FQ2",4,False,True,"Unknown",True,"Weekday",-56,-13,-4,-1,-1,True,True,True
2019-10-18 00:00:00.000,2019,4,10,18,20191018,"October","Oct 2019","Q4 2019",5,"Friday",2019-10-20 00:00:00.000,2019-10-31 00:00:00.000,42,2019,292,"2019-42",20194200,20191000,20190400,"FY20","FQ2",4,False,True,"Unknown",True,"Weekday",-56,-13,-4,-1,-1,True,True,True
2019-10-21 00:00:00.000,2019,4,10,21,20191021,"October","Oct 2019","Q4 2019",1,"Monday",2019-10-27 00:00:00.000,2019-10-31 00:00:00.000,43,2019,295,"2019-43",20194300,20191000,20190400,"FY20","FQ2",4,False,True,"Unknown",True,"Weekday",-55,-13,-4,-1,-1,True,True,True
2019-10-22 00:00:00.000,2019,4,10,22,20191022,"October","Oct 2019","Q4 2019",2,"Tuesday",2019-10-27 00:00:00.000,2019-10-31 00:00:00.000,43,2019,296,"2019-43",20194300,20191000,20190400,"FY20","FQ2",4,False,True,"Unknown",True,"Weekday",-55,-13,-4,-1,-1,True,True,True
2019-10-23 00:00:00.000,2019,4,10,23,20191023,"October","Oct 2019","Q4 2019",3,"Wednesday",2019-10-27 00:00:00.000,2019-10-31 00:00:00.000,43,2019,297,"2019-43",20194300,20191000,20190400,"FY20","FQ2",4,False,True,"Unknown",True,"Weekday",-55,-13,-4,-1,-1,True,True,True
2019-10-24 00:00:00.000,2019,4,10,24,20191024,"October","Oct 2019","Q4 2019",4,"Thursday",2019-10-27 00:00:00.000,2019-10-31 00:00:00.000,43,2019,298,"2019-43",20194300,20191000,20190400,"FY20","FQ2",4,False,True,"Unknown",True,"Weekday",-55,-13,-4,-1,-1,True,True,True
